* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 8:03:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.DU Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.986 174.6449
0.732422 56.047 167.0274
1.098633 55.679 157.0763
1.464844 54.540 146.8720
1.831055 52.448 140.9852
2.197266 50.039 148.5088
2.563477 50.422 168.4058
2.929688 53.389 174.3397
3.295899 56.001 167.4032
3.662110 57.770 156.4888
4.028321 58.886 146.0156
4.394532 59.637 138.1550
4.760743 60.360 133.4389
5.126954 61.310 130.6204
5.493164 62.475 127.7405
5.859375 63.647 123.8945
6.225586 64.655 119.4741
6.591797 65.459 115.3001
6.958008 66.124 111.9186
7.324219 66.742 109.3211
7.690430 67.367 107.0737
8.056641 67.983 104.7375
8.422852 68.544 102.1869
8.789063 69.023 99.5783
9.155274 69.429 97.1165
9.521485 69.792 94.8673
9.887696 70.135 92.7384
10.253907 70.461 90.5988
10.620118 70.760 88.4018
10.986329 71.025 86.2003
11.352540 71.262 84.0705
11.718751 71.483 82.0343
12.084962 71.698 80.0510
12.451173 71.905 78.0698
12.817384 72.100 76.0824
13.183595 72.277 74.1253
13.549806 72.439 72.2401
13.916017 72.591 70.4373
14.282228 72.737 68.6974
14.648439 72.875 66.9990
15.014650 73.001 65.3422
15.380861 73.114 63.7443
15.747072 73.218 62.2167
16.113283 73.314 60.7496
16.479493 73.404 59.3194
16.845704 73.487 57.9075
17.211915 73.559 56.5126
17.578126 73.621 55.1447
17.944337 73.674 53.8109
18.310548 73.721 52.5079
18.676759 73.763 51.2260
19.042970 73.800 49.9579
19.409181 73.833 48.7025
19.775392 73.862 47.4608
20.141603 73.888 46.2327
20.507814 73.910 45.0186
20.874025 73.930 43.8225
21.240236 73.947 42.6525
21.606447 73.963 41.5140
21.972658 73.979 40.4035
22.338869 73.995 39.3103
22.705080 74.011 38.2254
23.071291 74.024 37.1503
23.437502 74.032 36.0965
23.803713 74.037 35.0761
24.169924 74.040 34.0917
24.536135 74.043 33.1355
24.902346 74.044 32.1963
25.268557 74.043 31.2688
25.634768 74.040 30.3557
26.000979 74.033 29.4622
26.367190 74.025 28.5898
26.733401 74.016 27.7342
27.099612 74.007 26.8882
27.465823 73.997 26.0471
27.832033 73.987 25.2100
28.198244 73.975 24.3783
28.564455 73.962 23.5538
28.930666 73.947 22.7384
29.296877 73.931 21.9357
29.663088 73.915 21.1504
30.029299 73.897 20.3864
30.395510 73.880 19.6444
30.761721 73.864 18.9214
31.127932 73.849 18.2126
31.494143 73.834 17.5141
31.860354 73.820 16.8244
32.226565 73.805 16.1441
32.592776 73.789 15.4746
32.958987 73.772 14.8175
33.325198 73.754 14.1733
33.691409 73.735 13.5420
34.057620 73.715 12.9225
34.423831 73.695 12.3133
34.790042 73.674 11.7133
35.156253 73.652 11.1223
35.522464 73.630 10.5408
35.888675 73.607 9.9691
36.254886 73.585 9.4060
36.621097 73.562 8.8494
36.987308 73.540 8.2970
37.353519 73.518 7.7475
37.719730 73.496 7.2011
38.085941 73.473 6.6596
38.452152 73.450 6.1255
38.818363 73.426 5.6019
39.184573 73.401 5.0908
39.550784 73.377 4.5921
39.916995 73.354 4.1035
40.283206 73.331 3.6218
40.649417 73.308 3.1452
41.015628 73.284 2.6751
41.381839 73.260 2.2146
41.748050 73.236 1.7653
42.114261 73.212 1.3256
42.480472 73.188 0.8909
42.846683 73.164 0.4575
43.212894 73.140 0.0261
43.579105 73.114 -0.3985
43.945316 73.087 -0.8112
44.311527 73.061 -1.2104
44.677738 73.035 -1.6001
45.043949 73.010 -1.9863
45.410160 72.986 -2.3731
45.776371 72.962 -2.7601
46.142582 72.936 -3.1441
46.508793 72.911 -3.5217
46.875004 72.885 -3.8920
47.241215 72.860 -4.2560
47.607426 72.834 -4.6151
47.973637 72.809 -4.9696
48.339848 72.784 -5.3185
48.706059 72.758 -5.6610
49.072270 72.733 -5.9974
49.438481 72.709 -6.3290
49.804692 72.684 -6.6571
50.170902 72.660 -6.9819
50.537113 72.635 -7.3029
50.903324 72.611 -7.6193
51.269535 72.586 -7.9309
51.635746 72.562 -8.2384
52.001957 72.538 -8.5430
52.368168 72.514 -8.8458
52.734379 72.490 -9.1472
53.100590 72.465 -9.4461
53.466801 72.440 -9.7410
53.833012 72.415 -10.0301
54.199223 72.389 -10.3122
54.565434 72.362 -10.5866
54.931645 72.336 -10.8532
55.297856 72.310 -11.1122
55.664067 72.285 -11.3650
56.030278 72.261 -11.6145
56.396489 72.237 -11.8645
56.762700 72.214 -12.1177
57.128911 72.190 -12.3740
57.495122 72.165 -12.6295
57.861333 72.139 -12.8786
58.227544 72.112 -13.1169
58.593755 72.086 -13.3442
58.959966 72.061 -13.5640
59.326177 72.038 -13.7813
59.692388 72.015 -13.9993
60.058599 71.992 -14.2184
60.424810 71.970 -14.4379
60.791021 71.948 -14.6580
61.157232 71.927 -14.8808
61.523442 71.906 -15.1086
61.889653 71.883 -15.3416
62.255864 71.860 -15.5758
62.622075 71.834 -15.8047
62.988286 71.807 -16.0217
63.354497 71.779 -16.2236
63.720708 71.753 -16.4113
64.086919 71.727 -16.5888
64.453130 71.703 -16.7609
64.819341 71.680 -16.9315
65.185552 71.658 -17.1036
65.551763 71.637 -17.2796
65.917974 71.617 -17.4614
66.284185 71.597 -17.6503
66.650396 71.576 -17.8458
67.016607 71.554 -18.0453
67.382818 71.531 -18.2448
67.749029 71.507 -18.4403
68.115240 71.483 -18.6293
68.481451 71.458 -18.8107
68.847662 71.433 -18.9846
69.213873 71.408 -19.1513
69.580084 71.383 -19.3111
69.946295 71.360 -19.4646
70.312506 71.336 -19.6126
70.678717 71.314 -19.7565
71.044928 71.292 -19.8976
71.411139 71.272 -20.0371
71.777350 71.251 -20.1756
72.143561 71.232 -20.3141
72.509771 71.213 -20.4541
72.875982 71.194 -20.5967
73.242193 71.175 -20.7423
73.608404 71.155 -20.8897
73.974615 71.135 -21.0369
74.340826 71.115 -21.1818
74.707037 71.094 -21.3242
75.073248 71.073 -21.4652
75.439459 71.053 -21.6070
75.805670 71.032 -21.7510
76.171881 71.011 -21.8970
76.538092 70.989 -22.0427
76.904303 70.967 -22.1856
77.270514 70.943 -22.3236
77.636725 70.920 -22.4562
78.002936 70.897 -22.5839
78.369147 70.874 -22.7074
78.735358 70.851 -22.8272
79.101569 70.828 -22.9427
79.467780 70.806 -23.0535
79.833991 70.784 -23.1601
80.200202 70.764 -23.2641
80.566413 70.744 -23.3680
80.932624 70.725 -23.4742
81.298835 70.707 -23.5837
81.665046 70.689 -23.6960
82.031257 70.670 -23.8093
82.397468 70.651 -23.9212
82.763679 70.632 -24.0303
83.129890 70.613 -24.1361
83.496101 70.595 -24.2391
83.862311 70.576 -24.3402
84.228522 70.558 -24.4401
84.594733 70.540 -24.5391
84.960944 70.523 -24.6374
85.327155 70.505 -24.7353
85.693366 70.488 -24.8333
86.059577 70.470 -24.9318
86.425788 70.453 -25.0308
86.791999 70.435 -25.1293
87.158210 70.416 -25.2263
87.524421 70.397 -25.3206
87.890632 70.379 -25.4124
88.256843 70.360 -25.5027
88.623054 70.342 -25.5930
88.989265 70.324 -25.6846
89.355476 70.305 -25.7775
89.721687 70.287 -25.8707
90.087898 70.267 -25.9626
90.454109 70.248 -26.0519
90.820320 70.229 -26.1380
91.186531 70.210 -26.2214
91.552742 70.191 -26.3032
91.918953 70.173 -26.3846
92.285164 70.154 -26.4666
92.651375 70.137 -26.5493
93.017586 70.119 -26.6319
93.383797 70.101 -26.7133
93.750008 70.082 -26.7922
94.116219 70.064 -26.8679
94.482430 70.047 -26.9405
94.848641 70.030 -27.0111
95.214851 70.013 -27.0808
95.581062 69.996 -27.1508
95.947273 69.980 -27.2212
96.313484 69.964 -27.2921
96.679695 69.948 -27.3631
97.045906 69.932 -27.4346
97.412117 69.916 -27.5069
97.778328 69.900 -27.5802
98.144539 69.883 -27.6542
98.510750 69.867 -27.7278
98.876961 69.850 -27.7999
99.243172 69.833 -27.8698
99.609383 69.816 -27.9373
99.975594 69.800 -28.0029
100.341805 69.783 -28.0676
100.708016 69.767 -28.1321
101.074227 69.752 -28.1971
101.440438 69.736 -28.2628
101.806649 69.721 -28.3290
102.172860 69.705 -28.3952
102.539071 69.689 -28.4605
102.905282 69.674 -28.5243
103.271493 69.658 -28.5860
103.637704 69.642 -28.6453
104.003915 69.626 -28.7026
104.370126 69.611 -28.7582
104.736337 69.595 -28.8129
105.102548 69.580 -28.8672
105.468759 69.565 -28.9216
105.834970 69.550 -28.9761
106.201180 69.534 -29.0305
106.567391 69.519 -29.0846
106.933602 69.503 -29.1380
107.299813 69.488 -29.1905
107.666024 69.472 -29.2419
108.032235 69.456 -29.2920
108.398446 69.441 -29.3408
108.764657 69.425 -29.3883
109.130868 69.410 -29.4347
109.497079 69.395 -29.4806
109.863290 69.380 -29.5267
110.229501 69.365 -29.5733
110.595712 69.351 -29.6208
110.961923 69.337 -29.6688
111.328134 69.323 -29.7171
111.694345 69.309 -29.7650
112.060556 69.295 -29.8122
112.426767 69.281 -29.8585
112.792978 69.267 -29.9040
113.159189 69.253 -29.9490
113.525400 69.240 -29.9935
113.891611 69.227 -30.0378
114.257822 69.213 -30.0822
114.624033 69.200 -30.1269
114.990244 69.187 -30.1719
115.356455 69.174 -30.2170
115.722666 69.161 -30.2618
116.088877 69.147 -30.3059
116.455088 69.133 -30.3487
116.821299 69.120 -30.3901
117.187510 69.106 -30.4302
117.553720 69.093 -30.4693
117.919931 69.079 -30.5079
118.286142 69.066 -30.5462
118.652353 69.053 -30.5842
119.018564 69.039 -30.6218
119.384775 69.026 -30.6590
119.750986 69.013 -30.6960
120.117197 69.000 -30.7330
120.483408 68.986 -30.7701
120.849619 68.973 -30.8073
121.215830 68.960 -30.8443
121.582041 68.947 -30.8808
121.948252 68.933 -30.9170
122.314463 68.920 -30.9529
122.680674 68.907 -30.9890
123.046885 68.895 -31.0256
123.413096 68.882 -31.0629
123.779307 68.869 -31.1010
124.145518 68.856 -31.1394
124.511729 68.844 -31.1781
124.877940 68.831 -31.2166
125.244151 68.819 -31.2547
125.610362 68.806 -31.2919
125.976573 68.794 -31.3283
126.342784 68.782 -31.3637
126.708995 68.770 -31.3983
127.075206 68.758 -31.4325
127.441417 68.746 -31.4666
127.807628 68.735 -31.5006
128.173839 68.724 -31.5345
128.540049 68.713 -31.5681
128.906260 68.702 -31.6012
129.272471 68.691 -31.6338
129.638682 68.679 -31.6658
130.004893 68.668 -31.6971
130.371104 68.657 -31.7276
130.737315 68.645 -31.7571
131.103526 68.634 -31.7858
131.469737 68.622 -31.8136
131.835948 68.610 -31.8404
132.202159 68.598 -31.8663
132.568370 68.586 -31.8909
132.934581 68.574 -31.9143
133.300792 68.562 -31.9367
133.667003 68.550 -31.9588
134.033214 68.538 -31.9810
134.399425 68.526 -32.0036
134.765636 68.514 -32.0267
135.131847 68.502 -32.0500
135.498058 68.490 -32.0732
135.864269 68.478 -32.0961
136.230480 68.466 -32.1188
136.596691 68.454 -32.1415
136.962902 68.442 -32.1642
137.329113 68.431 -32.1867
137.695324 68.419 -32.2086
138.061535 68.408 -32.2298
138.427746 68.396 -32.2503
138.793957 68.385 -32.2703
139.160168 68.374 -32.2901
139.526379 68.364 -32.3100
139.892589 68.353 -32.3301
140.258800 68.343 -32.3505
140.625011 68.333 -32.3712
140.991222 68.323 -32.3922
141.357433 68.313 -32.4134
141.723644 68.303 -32.4348
142.089855 68.292 -32.4561
142.456066 68.282 -32.4772
142.822277 68.272 -32.4982
143.188488 68.262 -32.5191
143.554699 68.252 -32.5404
143.920910 68.242 -32.5621
144.287121 68.233 -32.5844
144.653332 68.223 -32.6071
145.019543 68.213 -32.6301
145.385754 68.203 -32.6534
145.751965 68.193 -32.6771
