* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 8:02:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.DU Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.048 -28.3081
0.732422 62.985 -58.6105
1.098633 59.285 -95.3797
1.464844 54.550 -151.1924
1.831055 53.504 137.9719
2.197266 54.071 93.1267
2.563477 51.407 69.0463
2.929688 42.823 105.0288
3.295899 52.719 162.6279
3.662110 58.418 152.4448
4.028321 61.051 138.8016
4.394532 62.077 127.8832
4.760743 62.256 122.3860
5.126954 62.437 122.9516
5.493164 63.292 125.5336
5.859375 64.585 125.0325
6.225586 65.725 121.0279
6.591797 66.465 115.7000
6.958008 66.876 111.0425
7.324219 67.176 107.9436
7.690430 67.576 105.9423
8.056641 68.125 103.8555
8.422852 68.712 100.9898
8.789063 69.219 97.5615
9.155274 69.613 94.1926
9.521485 69.939 91.3188
9.887696 70.260 88.9388
10.253907 70.603 86.7583
10.620118 70.945 84.5341
10.986329 71.254 82.2613
11.352540 71.519 80.0823
11.718751 71.752 78.0931
12.084962 71.970 76.2542
12.451173 72.176 74.4585
12.817384 72.361 72.6503
13.183595 72.517 70.8658
13.549806 72.648 69.1665
13.916017 72.766 67.5579
14.282228 72.879 65.9799
14.648439 72.986 64.3680
15.014650 73.079 62.7166
15.380861 73.154 61.0753
15.747072 73.218 59.4941
16.113283 73.279 57.9761
16.479493 73.342 56.4838
16.845704 73.404 54.9843
17.211915 73.462 53.4831
17.578126 73.511 52.0135
17.944337 73.557 50.6012
18.310548 73.601 49.2426
18.676759 73.644 47.9176
19.042970 73.684 46.6162
19.409181 73.718 45.3485
19.775392 73.745 44.1306
20.141603 73.769 42.9644
20.507814 73.791 41.8351
20.874025 73.809 40.7279
21.240236 73.822 39.6400
21.606447 73.830 38.5792
21.972658 73.835 37.5466
22.338869 73.840 36.5296
22.705080 73.843 35.5101
23.071291 73.842 34.4823
23.437502 73.836 33.4576
23.803713 73.827 32.4545
24.169924 73.816 31.4808
24.536135 73.807 30.5280
24.902346 73.799 29.5815
25.268557 73.792 28.6351
25.634768 73.784 27.6954
26.000979 73.774 26.7742
26.367190 73.764 25.8776
26.733401 73.754 25.0044
27.099612 73.744 24.1509
27.465823 73.734 23.3177
27.832033 73.722 22.5070
28.198244 73.711 21.7186
28.564455 73.698 20.9479
28.930666 73.685 20.1897
29.296877 73.669 19.4446
29.663088 73.652 18.7173
30.029299 73.633 18.0111
30.395510 73.613 17.3228
30.761721 73.594 16.6437
31.127932 73.574 15.9672
31.494143 73.553 15.2926
31.860354 73.531 14.6249
32.226565 73.507 13.9681
32.592776 73.484 13.3222
32.958987 73.461 12.6841
33.325198 73.438 12.0519
33.691409 73.415 11.4274
34.057620 73.393 10.8135
34.423831 73.370 10.2109
34.790042 73.349 9.6180
35.156253 73.327 9.0328
35.522464 73.306 8.4554
35.888675 73.283 7.8889
36.254886 73.261 7.3357
36.621097 73.238 6.7962
36.987308 73.214 6.2692
37.353519 73.191 5.7534
37.719730 73.167 5.2483
38.085941 73.143 4.7540
38.452152 73.119 4.2687
38.818363 73.094 3.7903
39.184573 73.070 3.3173
39.550784 73.045 2.8499
39.916995 73.019 2.3887
40.283206 72.993 1.9336
40.649417 72.967 1.4840
41.015628 72.941 1.0398
41.381839 72.914 0.6024
41.748050 72.887 0.1738
42.114261 72.860 -0.2454
42.480472 72.834 -0.6581
42.846683 72.809 -1.0677
43.212894 72.783 -1.4756
43.579105 72.757 -1.8785
43.945316 72.730 -2.2717
44.311527 72.703 -2.6522
44.677738 72.676 -3.0219
45.043949 72.651 -3.3855
45.410160 72.625 -3.7469
45.776371 72.600 -4.1062
46.142582 72.573 -4.4606
46.508793 72.547 -4.8071
46.875004 72.520 -5.1452
47.241215 72.494 -5.4766
47.607426 72.468 -5.8037
47.973637 72.442 -6.1282
48.339848 72.416 -6.4506
48.706059 72.391 -6.7704
49.072270 72.365 -7.0872
49.438481 72.339 -7.4004
49.804692 72.312 -7.7096
50.170902 72.286 -8.0135
50.537113 72.259 -8.3114
50.903324 72.232 -8.6027
51.269535 72.206 -8.8878
51.635746 72.180 -9.1685
52.001957 72.154 -9.4465
52.368168 72.129 -9.7234
52.734379 72.103 -9.9991
53.100590 72.077 -10.2716
53.466801 72.050 -10.5386
53.833012 72.023 -10.7985
54.199223 71.997 -11.0527
54.565434 71.971 -11.3039
54.931645 71.946 -11.5542
55.297856 71.920 -11.8032
55.664067 71.895 -12.0488
56.030278 71.869 -12.2886
56.396489 71.843 -12.5231
56.762700 71.818 -12.7550
57.128911 71.793 -12.9868
57.495122 71.768 -13.2178
57.861333 71.743 -13.4439
58.227544 71.716 -13.6606
58.593755 71.691 -13.8666
58.959966 71.666 -14.0652
59.326177 71.643 -14.2628
59.692388 71.620 -14.4646
60.058599 71.597 -14.6718
60.424810 71.573 -14.8810
60.791021 71.548 -15.0875
61.157232 71.523 -15.2872
61.523442 71.497 -15.4795
61.889653 71.471 -15.6661
62.255864 71.446 -15.8502
62.622075 71.421 -16.0336
62.988286 71.397 -16.2166
63.354497 71.371 -16.3978
63.720708 71.346 -16.5759
64.086919 71.321 -16.7502
64.453130 71.297 -16.9211
64.819341 71.273 -17.0901
65.185552 71.250 -17.2582
65.551763 71.226 -17.4263
65.917974 71.204 -17.5942
66.284185 71.181 -17.7619
66.650396 71.158 -17.9294
67.016607 71.135 -18.0963
67.382818 71.112 -18.2612
67.749029 71.088 -18.4221
68.115240 71.064 -18.5770
68.481451 71.040 -18.7250
68.847662 71.016 -18.8666
69.213873 70.993 -19.0039
69.580084 70.971 -19.1392
69.946295 70.948 -19.2742
70.312506 70.926 -19.4095
70.678717 70.904 -19.5449
71.044928 70.882 -19.6801
71.411139 70.860 -19.8146
71.777350 70.837 -19.9482
72.143561 70.815 -20.0802
72.509771 70.792 -20.2098
72.875982 70.769 -20.3363
73.242193 70.747 -20.4599
73.608404 70.725 -20.5818
73.974615 70.703 -20.7040
74.340826 70.682 -20.8278
74.707037 70.660 -20.9531
75.073248 70.638 -21.0778
75.439459 70.616 -21.1990
75.805670 70.593 -21.3144
76.171881 70.571 -21.4242
76.538092 70.549 -21.5306
76.904303 70.529 -21.6367
77.270514 70.508 -21.7445
77.636725 70.488 -21.8542
78.002936 70.468 -21.9647
78.369147 70.447 -22.0743
78.735358 70.427 -22.1821
79.101569 70.406 -22.2883
79.467780 70.386 -22.3932
79.833991 70.365 -22.4968
80.200202 70.345 -22.5986
80.566413 70.324 -22.6978
80.932624 70.303 -22.7940
81.298835 70.283 -22.8877
81.665046 70.263 -22.9795
82.031257 70.244 -23.0707
82.397468 70.225 -23.1619
82.763679 70.206 -23.2537
83.129890 70.186 -23.3461
83.496101 70.167 -23.4382
83.862311 70.147 -23.5287
84.228522 70.127 -23.6165
84.594733 70.107 -23.7007
84.960944 70.087 -23.7819
85.327155 70.067 -23.8605
85.693366 70.048 -23.9377
86.059577 70.028 -24.0140
86.425788 70.009 -24.0894
86.791999 69.990 -24.1641
87.158210 69.971 -24.2383
87.524421 69.951 -24.3123
87.890632 69.933 -24.3860
88.256843 69.914 -24.4592
88.623054 69.895 -24.5314
88.989265 69.876 -24.6022
89.355476 69.857 -24.6718
89.721687 69.839 -24.7411
90.087898 69.821 -24.8112
90.454109 69.803 -24.8823
90.820320 69.785 -24.9543
91.186531 69.767 -25.0261
91.552742 69.749 -25.0962
91.918953 69.730 -25.1637
92.285164 69.712 -25.2284
92.651375 69.694 -25.2911
93.017586 69.676 -25.3531
93.383797 69.659 -25.4154
93.750008 69.641 -25.4780
94.116219 69.624 -25.5403
94.482430 69.606 -25.6014
94.848641 69.589 -25.6608
95.214851 69.571 -25.7180
95.581062 69.554 -25.7736
95.947273 69.537 -25.8282
96.313484 69.520 -25.8826
96.679695 69.503 -25.9370
97.045906 69.486 -25.9915
97.412117 69.470 -26.0459
97.778328 69.453 -26.1001
98.144539 69.437 -26.1539
98.510750 69.420 -26.2073
98.876961 69.404 -26.2601
99.243172 69.388 -26.3125
99.609383 69.372 -26.3642
99.975594 69.356 -26.4153
100.341805 69.339 -26.4656
100.708016 69.324 -26.5154
101.074227 69.308 -26.5646
101.440438 69.292 -26.6135
101.806649 69.276 -26.6623
102.172860 69.260 -26.7109
102.539071 69.245 -26.7595
102.905282 69.229 -26.8074
103.271493 69.213 -26.8544
103.637704 69.197 -26.9002
104.003915 69.181 -26.9448
104.370126 69.165 -26.9883
104.736337 69.150 -27.0310
105.102548 69.134 -27.0733
105.468759 69.118 -27.1152
105.834970 69.103 -27.1566
106.201180 69.088 -27.1974
106.567391 69.072 -27.2375
106.933602 69.057 -27.2773
107.299813 69.042 -27.3170
107.666024 69.027 -27.3568
108.032235 69.012 -27.3966
108.398446 68.998 -27.4364
108.764657 68.983 -27.4757
109.130868 68.968 -27.5142
109.497079 68.953 -27.5518
109.863290 68.939 -27.5884
110.229501 68.924 -27.6243
110.595712 68.910 -27.6594
110.961923 68.896 -27.6938
111.328134 68.881 -27.7272
111.694345 68.867 -27.7592
112.060556 68.853 -27.7893
112.426767 68.839 -27.8179
112.792978 68.825 -27.8451
113.159189 68.811 -27.8716
113.525400 68.797 -27.8982
113.891611 68.784 -27.9252
114.257822 68.770 -27.9530
114.624033 68.757 -27.9816
114.990244 68.743 -28.0111
115.356455 68.729 -28.0416
115.722666 68.716 -28.0729
116.088877 68.701 -28.1046
116.455088 68.687 -28.1360
116.821299 68.672 -28.1660
117.187510 68.657 -28.1937
117.553720 68.642 -28.2189
117.919931 68.628 -28.2421
118.286142 68.614 -28.2642
118.652353 68.600 -28.2861
119.018564 68.586 -28.3085
119.384775 68.573 -28.3311
119.750986 68.560 -28.3535
120.117197 68.547 -28.3755
120.483408 68.534 -28.3973
120.849619 68.521 -28.4193
121.215830 68.509 -28.4418
121.582041 68.496 -28.4648
121.948252 68.484 -28.4877
122.314463 68.471 -28.5098
122.680674 68.459 -28.5305
123.046885 68.446 -28.5503
123.413096 68.434 -28.5697
123.779307 68.422 -28.5894
124.145518 68.409 -28.6095
124.511729 68.397 -28.6299
124.877940 68.384 -28.6499
125.244151 68.371 -28.6692
125.610362 68.359 -28.6874
125.976573 68.346 -28.7048
126.342784 68.333 -28.7214
126.708995 68.321 -28.7377
127.075206 68.308 -28.7539
127.441417 68.296 -28.7706
127.807628 68.284 -28.7880
128.173839 68.272 -28.8060
128.540049 68.260 -28.8245
128.906260 68.248 -28.8429
129.272471 68.236 -28.8610
129.638682 68.225 -28.8784
130.004893 68.213 -28.8954
130.371104 68.202 -28.9122
130.737315 68.191 -28.9289
131.103526 68.180 -28.9455
131.469737 68.168 -28.9619
131.835948 68.157 -28.9778
132.202159 68.146 -28.9929
132.568370 68.135 -29.0076
132.934581 68.124 -29.0219
133.300792 68.113 -29.0359
133.667003 68.102 -29.0502
134.033214 68.091 -29.0647
134.399425 68.080 -29.0792
134.765636 68.069 -29.0935
135.131847 68.058 -29.1075
135.498058 68.046 -29.1211
135.864269 68.035 -29.1343
136.230480 68.024 -29.1471
136.596691 68.012 -29.1595
136.962902 68.001 -29.1718
137.329113 67.990 -29.1834
137.695324 67.978 -29.1945
138.061535 67.967 -29.2047
138.427746 67.956 -29.2144
138.793957 67.945 -29.2238
139.160168 67.935 -29.2334
139.526379 67.924 -29.2436
139.892589 67.914 -29.2542
140.258800 67.903 -29.2646
140.625011 67.893 -29.2742
140.991222 67.882 -29.2825
141.357433 67.871 -29.2892
141.723644 67.861 -29.2946
142.089855 67.851 -29.2994
142.456066 67.841 -29.3041
142.822277 67.831 -29.3092
143.188488 67.821 -29.3148
143.554699 67.811 -29.3207
143.920910 67.802 -29.3269
144.287121 67.792 -29.3332
144.653332 67.782 -29.3397
145.019543 67.772 -29.3462
145.385754 67.762 -29.3529
