* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 7:58:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.UD Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.478 178.8968
0.732422 56.139 172.4968
1.098633 56.273 161.2200
1.464844 55.427 148.1815
1.831055 53.306 138.1225
2.197266 50.026 141.9350
2.563477 49.471 169.4031
2.929688 53.179 -179.7101
3.295899 56.280 172.9232
3.662110 58.215 160.8688
4.028321 59.317 149.5302
4.394532 59.959 141.4558
4.760743 60.579 137.3441
5.126954 61.533 135.5100
5.493164 62.797 133.2314
5.859375 64.073 129.4103
6.225586 65.139 124.7377
6.591797 65.957 120.3508
6.958008 66.619 116.9521
7.324219 67.250 114.4998
7.690430 67.911 112.4029
8.056641 68.574 110.1002
8.422852 69.176 107.4725
8.789063 69.681 104.7629
9.155274 70.101 102.2530
9.521485 70.478 100.0240
9.887696 70.842 97.9415
10.253907 71.193 95.8213
10.620118 71.516 93.5951
10.986329 71.799 91.3323
11.352540 72.045 89.1391
11.718751 72.270 87.0573
12.084962 72.485 85.0469
12.451173 72.693 83.0472
12.817384 72.886 81.0410
13.183595 73.061 79.0616
13.549806 73.219 77.1502
13.916017 73.367 75.3160
14.282228 73.508 73.5367
14.648439 73.640 71.7898
15.014650 73.759 70.0761
15.380861 73.865 68.4150
15.747072 73.960 66.8188
16.113283 74.046 65.2794
16.479493 74.125 63.7773
16.845704 74.194 62.3007
17.211915 74.254 60.8531
17.578126 74.305 59.4425
17.944337 74.349 58.0662
18.310548 74.389 56.7099
18.676759 74.424 55.3600
19.042970 74.453 54.0164
19.409181 74.476 52.6906
19.775392 74.495 51.3929
20.141603 74.512 50.1214
20.507814 74.529 48.8649
20.874025 74.545 47.6152
21.240236 74.559 46.3756
21.606447 74.570 45.1578
21.972658 74.579 43.9701
22.338869 74.589 42.8115
22.705080 74.598 41.6754
23.071291 74.606 40.5581
23.437502 74.612 39.4635
23.803713 74.616 38.3986
24.169924 74.619 37.3651
24.536135 74.622 36.3568
24.902346 74.625 35.3636
25.268557 74.626 34.3784
25.634768 74.624 33.4015
26.000979 74.620 32.4380
26.367190 74.612 31.4931
26.733401 74.603 30.5694
27.099612 74.592 29.6662
27.465823 74.581 28.7799
27.832033 74.571 27.9048
28.198244 74.561 27.0357
28.564455 74.551 26.1698
28.930666 74.540 25.3098
29.296877 74.528 24.4620
29.663088 74.515 23.6323
30.029299 74.502 22.8217
30.395510 74.491 22.0256
30.761721 74.479 21.2389
31.127932 74.468 20.4611
31.494143 74.455 19.6969
31.860354 74.442 18.9524
32.226565 74.428 18.2293
32.592776 74.415 17.5235
32.958987 74.402 16.8282
33.325198 74.389 16.1395
33.691409 74.375 15.4581
34.057620 74.359 14.7882
34.423831 74.342 14.1325
34.790042 74.324 13.4910
35.156253 74.306 12.8607
35.522464 74.289 12.2382
35.888675 74.270 11.6216
36.254886 74.252 11.0107
36.621097 74.232 10.4068
36.987308 74.212 9.8120
37.353519 74.192 9.2283
37.719730 74.171 8.6564
38.085941 74.152 8.0948
38.452152 74.132 7.5403
38.818363 74.113 6.9906
39.184573 74.094 6.4457
39.550784 74.074 5.9087
39.916995 74.053 5.3833
40.283206 74.033 4.8709
40.649417 74.013 4.3694
41.015628 73.993 3.8752
41.381839 73.973 3.3859
41.748050 73.952 2.9017
42.114261 73.931 2.4250
42.480472 73.909 1.9581
42.846683 73.887 1.5018
43.212894 73.864 1.0547
43.579105 73.842 0.6149
43.945316 73.820 0.1809
44.311527 73.798 -0.2481
44.677738 73.775 -0.6723
45.043949 73.753 -1.0912
45.410160 73.730 -1.5043
45.776371 73.707 -1.9113
46.142582 73.684 -2.3124
46.508793 73.661 -2.7081
46.875004 73.638 -3.0993
47.241215 73.615 -3.4858
47.607426 73.592 -3.8669
47.973637 73.568 -4.2412
48.339848 73.544 -4.6082
48.706059 73.521 -4.9684
49.072270 73.497 -5.3228
49.438481 73.474 -5.6725
49.804692 73.451 -6.0179
50.170902 73.428 -6.3591
50.537113 73.405 -6.6958
50.903324 73.382 -7.0274
51.269535 73.358 -7.3538
51.635746 73.335 -7.6750
52.001957 73.312 -7.9915
52.368168 73.289 -8.3042
52.734379 73.266 -8.6139
53.100590 73.243 -8.9208
53.466801 73.220 -9.2243
53.833012 73.196 -9.5237
54.199223 73.173 -9.8186
54.565434 73.149 -10.1094
54.931645 73.126 -10.3964
55.297856 73.102 -10.6796
55.664067 73.078 -10.9580
56.030278 73.053 -11.2309
56.396489 73.029 -11.4983
56.762700 73.005 -11.7613
57.128911 72.981 -12.0216
57.495122 72.957 -12.2799
57.861333 72.934 -12.5359
58.227544 72.909 -12.7883
58.593755 72.885 -13.0359
58.959966 72.861 -13.2783
59.326177 72.838 -13.5166
59.692388 72.814 -13.7522
60.058599 72.792 -13.9869
60.424810 72.769 -14.2217
60.791021 72.747 -14.4567
61.157232 72.724 -14.6904
61.523442 72.701 -14.9208
61.889653 72.677 -15.1458
62.255864 72.653 -15.3644
62.622075 72.630 -15.5774
62.988286 72.607 -15.7864
63.354497 72.585 -15.9931
63.720708 72.563 -16.1981
64.086919 72.540 -16.4009
64.453130 72.518 -16.6005
64.819341 72.495 -16.7966
65.185552 72.473 -16.9896
65.551763 72.451 -17.1808
65.917974 72.430 -17.3713
66.284185 72.408 -17.5612
66.650396 72.386 -17.7500
67.016607 72.364 -17.9366
67.382818 72.341 -18.1202
67.749029 72.319 -18.3007
68.115240 72.297 -18.4784
68.481451 72.275 -18.6542
68.847662 72.253 -18.8288
69.213873 72.231 -19.0025
69.580084 72.209 -19.1752
69.946295 72.187 -19.3464
70.312506 72.165 -19.5155
70.678717 72.143 -19.6817
71.044928 72.120 -19.8443
71.411139 72.098 -20.0027
71.777350 72.076 -20.1574
72.143561 72.055 -20.3096
72.509771 72.034 -20.4610
72.875982 72.013 -20.6130
73.242193 71.992 -20.7659
73.608404 71.971 -20.9189
73.974615 71.950 -21.0702
74.340826 71.928 -21.2185
74.707037 71.907 -21.3636
75.073248 71.885 -21.5060
75.439459 71.864 -21.6466
75.805670 71.843 -21.7856
76.171881 71.822 -21.9227
76.538092 71.801 -22.0572
76.904303 71.781 -22.1892
77.270514 71.761 -22.3195
77.636725 71.741 -22.4497
78.002936 71.721 -22.5805
78.369147 71.701 -22.7115
78.735358 71.681 -22.8412
79.101569 71.660 -22.9676
79.467780 71.639 -23.0898
79.833991 71.619 -23.2084
80.200202 71.599 -23.3252
80.566413 71.580 -23.4422
80.932624 71.560 -23.5603
81.298835 71.541 -23.6790
81.665046 71.521 -23.7970
82.031257 71.501 -23.9127
82.397468 71.481 -24.0256
82.763679 71.462 -24.1366
83.129890 71.442 -24.2470
83.496101 71.423 -24.3579
83.862311 71.404 -24.4696
84.228522 71.385 -24.5813
84.594733 71.365 -24.6915
84.960944 71.346 -24.7990
85.327155 71.326 -24.9033
85.693366 71.307 -25.0048
86.059577 71.288 -25.1046
86.425788 71.270 -25.2037
86.791999 71.251 -25.3027
87.158210 71.233 -25.4015
87.524421 71.215 -25.4997
87.890632 71.197 -25.5967
88.256843 71.179 -25.6924
88.623054 71.160 -25.7871
88.989265 71.142 -25.8809
89.355476 71.124 -25.9737
89.721687 71.106 -26.0651
90.087898 71.088 -26.1545
90.454109 71.070 -26.2419
90.820320 71.052 -26.3277
91.186531 71.034 -26.4127
91.552742 71.017 -26.4980
91.918953 70.999 -26.5839
92.285164 70.982 -26.6706
92.651375 70.965 -26.7572
93.017586 70.947 -26.8429
93.383797 70.930 -26.9269
93.750008 70.912 -27.0089
94.116219 70.895 -27.0891
94.482430 70.878 -27.1681
94.848641 70.861 -27.2465
95.214851 70.844 -27.3250
95.581062 70.827 -27.4034
95.947273 70.811 -27.4815
96.313484 70.794 -27.5587
96.679695 70.777 -27.6350
97.045906 70.760 -27.7104
97.412117 70.744 -27.7853
97.778328 70.727 -27.8596
98.144539 70.710 -27.9331
98.510750 70.693 -28.0048
98.876961 70.676 -28.0744
99.243172 70.660 -28.1417
99.609383 70.643 -28.2076
99.975594 70.627 -28.2733
100.341805 70.611 -28.3398
100.708016 70.596 -28.4078
101.074227 70.580 -28.4772
101.440438 70.564 -28.5470
101.806649 70.548 -28.6165
102.172860 70.532 -28.6849
102.539071 70.515 -28.7516
102.905282 70.499 -28.8165
103.271493 70.483 -28.8795
103.637704 70.467 -28.9407
104.003915 70.451 -29.0006
104.370126 70.436 -29.0598
104.736337 70.421 -29.1192
105.102548 70.406 -29.1791
105.468759 70.391 -29.2398
105.834970 70.376 -29.3008
106.201180 70.361 -29.3612
106.567391 70.346 -29.4203
106.933602 70.331 -29.4777
107.299813 70.315 -29.5337
107.666024 70.300 -29.5886
108.032235 70.286 -29.6431
108.398446 70.271 -29.6976
108.764657 70.257 -29.7524
109.130868 70.242 -29.8074
109.497079 70.228 -29.8626
109.863290 70.213 -29.9176
110.229501 70.199 -29.9720
110.595712 70.184 -30.0256
110.961923 70.169 -30.0778
111.328134 70.154 -30.1287
111.694345 70.140 -30.1782
112.060556 70.125 -30.2268
112.426767 70.111 -30.2747
112.792978 70.097 -30.3222
113.159189 70.083 -30.3695
113.525400 70.069 -30.4168
113.891611 70.055 -30.4642
114.257822 70.041 -30.5118
114.624033 70.027 -30.5595
114.990244 70.013 -30.6070
115.356455 69.999 -30.6539
115.722666 69.985 -30.7000
116.088877 69.971 -30.7452
116.455088 69.957 -30.7896
116.821299 69.943 -30.8333
117.187510 69.930 -30.8762
117.553720 69.916 -30.9183
117.919931 69.903 -30.9595
118.286142 69.890 -31.0002
118.652353 69.877 -31.0412
119.018564 69.865 -31.0836
119.384775 69.853 -31.1282
119.750986 69.840 -31.1747
120.117197 69.828 -31.2224
120.483408 69.815 -31.2695
120.849619 69.802 -31.3147
121.215830 69.788 -31.3574
121.582041 69.775 -31.3978
121.948252 69.763 -31.4369
122.314463 69.750 -31.4759
122.680674 69.738 -31.5154
123.046885 69.725 -31.5558
123.413096 69.713 -31.5968
123.779307 69.700 -31.6375
124.145518 69.687 -31.6773
124.511729 69.674 -31.7153
124.877940 69.660 -31.7510
125.244151 69.647 -31.7847
125.610362 69.635 -31.8167
125.976573 69.622 -31.8480
126.342784 69.610 -31.8791
126.708995 69.598 -31.9108
127.075206 69.586 -31.9430
127.441417 69.574 -31.9760
127.807628 69.562 -32.0095
128.173839 69.551 -32.0433
128.540049 69.539 -32.0771
128.906260 69.527 -32.1107
129.272471 69.516 -32.1437
129.638682 69.504 -32.1760
130.004893 69.492 -32.2077
130.371104 69.481 -32.2392
130.737315 69.470 -32.2707
131.103526 69.459 -32.3027
131.469737 69.448 -32.3353
131.835948 69.437 -32.3683
132.202159 69.426 -32.4015
132.568370 69.414 -32.4346
132.934581 69.403 -32.4674
133.300792 69.392 -32.5000
133.667003 69.381 -32.5320
134.033214 69.369 -32.5634
134.399425 69.358 -32.5940
134.765636 69.347 -32.6239
135.131847 69.335 -32.6534
135.498058 69.324 -32.6827
135.864269 69.313 -32.7121
136.230480 69.302 -32.7420
136.596691 69.291 -32.7725
136.962902 69.280 -32.8033
137.329113 69.270 -32.8344
137.695324 69.258 -32.8652
138.061535 69.247 -32.8952
138.427746 69.236 -32.9240
138.793957 69.225 -32.9513
139.160168 69.215 -32.9774
139.526379 69.204 -33.0026
139.892589 69.194 -33.0277
140.258800 69.184 -33.0530
140.625011 69.174 -33.0787
140.991222 69.164 -33.1048
141.357433 69.154 -33.1310
141.723644 69.144 -33.1572
142.089855 69.134 -33.1836
142.456066 69.124 -33.2102
142.822277 69.114 -33.2371
143.188488 69.104 -33.2639
143.554699 69.094 -33.2905
143.920910 69.083 -33.3163
144.287121 69.073 -33.3414
144.653332 69.062 -33.3661
145.019543 69.052 -33.3907
145.385754 69.042 -33.4155
145.751965 69.032 -33.4407
