* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 7:58:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.UD Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.019 -28.3997
0.732422 62.959 -58.7222
1.098633 59.247 -95.2611
1.464844 54.344 -150.5538
1.831055 53.014 136.6431
2.197266 53.567 89.2381
2.563477 50.686 60.9484
2.929688 37.050 98.1801
3.295899 52.039 172.6505
3.662110 57.934 157.9125
4.028321 60.530 142.9054
4.394532 61.468 131.8018
4.760743 61.574 127.0688
5.126954 61.810 128.9977
5.493164 62.859 132.3426
5.859375 64.312 131.7196
6.225586 65.521 127.4417
6.591797 66.284 122.0731
6.958008 66.715 117.6345
7.324219 67.061 114.8616
7.690430 67.531 113.0769
8.056641 68.147 111.0183
8.422852 68.779 108.0967
8.789063 69.316 104.6477
9.155274 69.738 101.3214
9.521485 70.097 98.5065
9.887696 70.458 96.1412
10.253907 70.836 93.9165
10.620118 71.208 91.6214
10.986329 71.541 89.2869
11.352540 71.828 87.0605
11.718751 72.084 85.0204
12.084962 72.324 83.1127
12.451173 72.549 81.2381
12.817384 72.748 79.3612
13.183595 72.916 77.5285
13.549806 73.061 75.7919
13.916017 73.194 74.1374
14.282228 73.321 72.4923
14.648439 73.439 70.7986
15.014650 73.537 69.0670
15.380861 73.615 67.3598
15.747072 73.682 65.7258
16.113283 73.746 64.1572
16.479493 73.813 62.6052
16.845704 73.879 61.0329
17.211915 73.938 59.4497
17.578126 73.988 57.8948
17.944337 74.032 56.3984
18.310548 74.074 54.9597
18.676759 74.116 53.5591
19.042970 74.155 52.1855
19.409181 74.188 50.8462
19.775392 74.217 49.5537
20.141603 74.243 48.3073
20.507814 74.266 47.0927
20.874025 74.285 45.8977
21.240236 74.299 44.7237
21.606447 74.308 43.5800
21.972658 74.314 42.4679
22.338869 74.320 41.3731
22.705080 74.324 40.2770
23.071291 74.325 39.1732
23.437502 74.321 38.0729
23.803713 74.314 36.9933
24.169924 74.305 35.9406
24.536135 74.298 34.9067
24.902346 74.292 33.8793
25.268557 74.285 32.8555
25.634768 74.278 31.8444
26.000979 74.270 30.8571
26.367190 74.263 29.8964
26.733401 74.257 28.9562
27.099612 74.252 28.0298
27.465823 74.246 27.1174
27.832033 74.238 26.2250
28.198244 74.230 25.3578
28.564455 74.220 24.5154
28.930666 74.210 23.6932
29.296877 74.200 22.8872
29.663088 74.189 22.0956
30.029299 74.176 21.3174
30.395510 74.162 20.5499
30.761721 74.148 19.7897
31.127932 74.131 19.0369
31.494143 74.113 18.2955
31.860354 74.094 17.5701
32.226565 74.075 16.8606
32.592776 74.056 16.1616
32.958987 74.038 15.4671
33.325198 74.021 14.7753
33.691409 74.002 14.0900
34.057620 73.983 13.4167
34.423831 73.964 12.7584
34.790042 73.946 12.1130
35.156253 73.928 11.4779
35.522464 73.911 10.8518
35.888675 73.893 10.2365
36.254886 73.874 9.6328
36.621097 73.855 9.0415
36.987308 73.835 8.4620
37.353519 73.815 7.8950
37.719730 73.794 7.3423
38.085941 73.772 6.8040
38.452152 73.751 6.2776
38.818363 73.730 5.7584
39.184573 73.709 5.2426
39.550784 73.688 4.7294
39.916995 73.665 4.2213
40.283206 73.642 3.7206
40.649417 73.618 3.2285
41.015628 73.595 2.7442
41.381839 73.571 2.2671
41.748050 73.547 1.7966
42.114261 73.523 1.3328
42.480472 73.500 0.8760
42.846683 73.476 0.4261
43.212894 73.452 -0.0157
43.579105 73.428 -0.4481
43.945316 73.405 -0.8711
44.311527 73.383 -1.2872
44.677738 73.361 -1.7007
45.043949 73.339 -2.1143
45.410160 73.316 -2.5266
45.776371 73.292 -2.9330
46.142582 73.267 -3.3279
46.508793 73.241 -3.7091
46.875004 73.216 -4.0786
47.241215 73.191 -4.4406
47.607426 73.167 -4.7988
47.973637 73.143 -5.1547
48.339848 73.119 -5.5081
48.706059 73.095 -5.8586
49.072270 73.071 -6.2064
49.438481 73.047 -6.5510
49.804692 73.022 -6.8914
50.170902 72.996 -7.2258
50.537113 72.971 -7.5524
50.903324 72.945 -7.8705
51.269535 72.919 -8.1810
51.635746 72.894 -8.4855
52.001957 72.870 -8.7858
52.368168 72.846 -9.0836
52.734379 72.822 -9.3799
53.100590 72.798 -9.6745
53.466801 72.774 -9.9664
53.833012 72.749 -10.2544
54.199223 72.724 -10.5376
54.565434 72.700 -10.8160
54.931645 72.675 -11.0902
55.297856 72.650 -11.3605
55.664067 72.626 -11.6268
56.030278 72.601 -11.8891
56.396489 72.577 -12.1478
56.762700 72.552 -12.4037
57.128911 72.528 -12.6572
57.495122 72.504 -12.9084
57.861333 72.480 -13.1565
58.227544 72.456 -13.4004
58.593755 72.431 -13.6394
58.959966 72.407 -13.8737
59.326177 72.383 -14.1035
59.692388 72.359 -14.3295
60.058599 72.335 -14.5522
60.424810 72.311 -14.7725
60.791021 72.288 -14.9912
61.157232 72.264 -15.2085
61.523442 72.241 -15.4236
61.889653 72.217 -15.6354
62.255864 72.193 -15.8436
62.622075 72.169 -16.0485
62.988286 72.146 -16.2511
63.354497 72.123 -16.4521
63.720708 72.099 -16.6516
64.086919 72.076 -16.8488
64.453130 72.052 -17.0426
64.819341 72.029 -17.2328
65.185552 72.006 -17.4196
65.551763 71.983 -17.6035
65.917974 71.960 -17.7854
66.284185 71.938 -17.9658
66.650396 71.915 -18.1451
67.016607 71.893 -18.3231
67.382818 71.870 -18.4991
67.749029 71.848 -18.6719
68.115240 71.825 -18.8408
68.481451 71.802 -19.0061
68.847662 71.780 -19.1685
69.213873 71.758 -19.3291
69.580084 71.735 -19.4885
69.946295 71.713 -19.6465
70.312506 71.691 -19.8025
70.678717 71.669 -19.9565
71.044928 71.647 -20.1090
71.411139 71.626 -20.2607
71.777350 71.604 -20.4120
72.143561 71.582 -20.5624
72.509771 71.560 -20.7109
72.875982 71.538 -20.8569
73.242193 71.516 -21.0002
73.608404 71.494 -21.1410
73.974615 71.473 -21.2799
74.340826 71.452 -21.4176
74.707037 71.431 -21.5540
75.073248 71.409 -21.6890
75.439459 71.388 -21.8222
75.805670 71.368 -21.9537
76.171881 71.347 -22.0836
76.538092 71.326 -22.2125
76.904303 71.306 -22.3406
77.270514 71.285 -22.4683
77.636725 71.265 -22.5953
78.002936 71.244 -22.7216
78.369147 71.224 -22.8470
78.735358 71.203 -22.9708
79.101569 71.181 -23.0918
79.467780 71.160 -23.2087
79.833991 71.139 -23.3207
80.200202 71.118 -23.4280
80.566413 71.098 -23.5325
80.932624 71.078 -23.6367
81.298835 71.060 -23.7427
81.665046 71.041 -23.8508
82.031257 71.022 -23.9604
82.397468 71.003 -24.0699
82.763679 70.984 -24.1783
83.129890 70.965 -24.2852
83.496101 70.945 -24.3909
83.862311 70.926 -24.4951
84.228522 70.907 -24.5973
84.594733 70.887 -24.6968
84.960944 70.868 -24.7935
85.327155 70.849 -24.8880
85.693366 70.830 -24.9819
86.059577 70.811 -25.0763
86.425788 70.793 -25.1716
86.791999 70.774 -25.2670
87.158210 70.756 -25.3616
87.524421 70.737 -25.4543
87.890632 70.719 -25.5455
88.256843 70.700 -25.6356
88.623054 70.682 -25.7255
88.989265 70.664 -25.8154
89.355476 70.646 -25.9047
89.721687 70.627 -25.9927
90.087898 70.609 -26.0785
90.454109 70.591 -26.1624
90.820320 70.573 -26.2450
91.186531 70.555 -26.3271
91.552742 70.538 -26.4094
91.918953 70.520 -26.4917
92.285164 70.502 -26.5732
92.651375 70.484 -26.6528
93.017586 70.466 -26.7299
93.383797 70.448 -26.8040
93.750008 70.430 -26.8760
94.116219 70.413 -26.9467
94.482430 70.395 -27.0173
94.848641 70.378 -27.0883
95.214851 70.362 -27.1597
95.581062 70.345 -27.2310
95.947273 70.328 -27.3018
96.313484 70.311 -27.3716
96.679695 70.294 -27.4406
97.045906 70.278 -27.5090
97.412117 70.261 -27.5773
97.778328 70.245 -27.6454
98.144539 70.229 -27.7131
98.510750 70.212 -27.7805
98.876961 70.196 -27.8470
99.243172 70.180 -27.9126
99.609383 70.164 -27.9771
99.975594 70.148 -28.0406
100.341805 70.132 -28.1034
100.708016 70.116 -28.1655
101.074227 70.101 -28.2274
101.440438 70.085 -28.2891
101.806649 70.069 -28.3505
102.172860 70.054 -28.4114
102.539071 70.038 -28.4713
102.905282 70.022 -28.5300
103.271493 70.006 -28.5875
103.637704 69.991 -28.6438
104.003915 69.975 -28.6995
104.370126 69.960 -28.7548
104.736337 69.944 -28.8101
105.102548 69.929 -28.8654
105.468759 69.914 -28.9202
105.834970 69.898 -28.9743
106.201180 69.883 -29.0277
106.567391 69.868 -29.0807
106.933602 69.853 -29.1337
107.299813 69.838 -29.1868
107.666024 69.823 -29.2400
108.032235 69.808 -29.2928
108.398446 69.793 -29.3450
108.764657 69.778 -29.3960
109.130868 69.764 -29.4460
109.497079 69.749 -29.4955
109.863290 69.735 -29.5446
110.229501 69.720 -29.5935
110.595712 69.706 -29.6420
110.961923 69.692 -29.6898
111.328134 69.678 -29.7367
111.694345 69.664 -29.7827
112.060556 69.650 -29.8280
112.426767 69.636 -29.8729
112.792978 69.622 -29.9178
113.159189 69.609 -29.9630
113.525400 69.595 -30.0083
113.891611 69.581 -30.0536
114.257822 69.567 -30.0986
114.624033 69.554 -30.1428
114.990244 69.540 -30.1858
115.356455 69.526 -30.2271
115.722666 69.512 -30.2666
116.088877 69.498 -30.3047
116.455088 69.484 -30.3422
116.821299 69.471 -30.3794
117.187510 69.457 -30.4170
117.553720 69.444 -30.4550
117.919931 69.431 -30.4932
118.286142 69.418 -30.5314
118.652353 69.405 -30.5695
119.018564 69.392 -30.6075
119.384775 69.379 -30.6458
119.750986 69.367 -30.6840
120.117197 69.354 -30.7219
120.483408 69.341 -30.7590
120.849619 69.328 -30.7953
121.215830 69.316 -30.8311
121.582041 69.304 -30.8666
121.948252 69.292 -30.9025
122.314463 69.280 -30.9391
122.680674 69.268 -30.9762
123.046885 69.256 -31.0134
123.413096 69.244 -31.0504
123.779307 69.232 -31.0869
124.145518 69.220 -31.1231
124.511729 69.208 -31.1590
124.877940 69.195 -31.1945
125.244151 69.183 -31.2294
125.610362 69.170 -31.2631
125.976573 69.158 -31.2953
126.342784 69.145 -31.3262
126.708995 69.133 -31.3562
127.075206 69.121 -31.3859
127.441417 69.109 -31.4158
127.807628 69.097 -31.4459
128.173839 69.085 -31.4758
128.540049 69.073 -31.5051
128.906260 69.061 -31.5335
129.272471 69.049 -31.5612
129.638682 69.038 -31.5886
130.004893 69.026 -31.6163
130.371104 69.015 -31.6442
130.737315 69.004 -31.6722
131.103526 68.992 -31.7001
131.469737 68.981 -31.7273
131.835948 68.970 -31.7538
132.202159 68.958 -31.7798
132.568370 68.947 -31.8051
132.934581 68.936 -31.8297
133.300792 68.925 -31.8538
133.667003 68.914 -31.8774
134.033214 68.903 -31.9011
134.399425 68.893 -31.9252
134.765636 68.882 -31.9504
135.131847 68.872 -31.9768
135.498058 68.861 -32.0043
135.864269 68.850 -32.0320
136.230480 68.839 -32.0594
136.596691 68.828 -32.0857
136.962902 68.817 -32.1107
137.329113 68.805 -32.1343
137.695324 68.794 -32.1569
138.061535 68.783 -32.1790
138.427746 68.773 -32.2009
138.793957 68.762 -32.2230
139.160168 68.751 -32.2455
139.526379 68.741 -32.2683
139.892589 68.731 -32.2915
140.258800 68.720 -32.3151
140.625011 68.710 -32.3387
140.991222 68.700 -32.3624
141.357433 68.689 -32.3862
141.723644 68.679 -32.4095
142.089855 68.669 -32.4324
142.456066 68.658 -32.4546
142.822277 68.648 -32.4760
143.188488 68.637 -32.4968
143.554699 68.627 -32.5171
143.920910 68.617 -32.5371
144.287121 68.607 -32.5571
144.653332 68.597 -32.5771
145.019543 68.587 -32.5972
145.385754 68.577 -32.6174
