* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 7:57:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.UU Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.893 175.7216
0.732422 56.095 168.4139
1.098633 55.829 158.0014
1.464844 54.692 146.7895
1.831055 52.400 139.5726
2.197266 49.390 147.4788
2.563477 49.632 172.9360
2.929688 53.084 -179.6948
3.295899 55.880 172.6765
3.662110 57.653 161.1337
4.028321 58.694 150.4366
4.394532 59.356 142.8880
4.760743 60.046 138.9410
5.126954 61.059 136.8652
5.493164 62.333 134.2595
5.859375 63.592 130.3009
6.225586 64.645 125.6905
6.591797 65.469 121.4586
6.958008 66.155 118.1967
7.324219 66.815 115.7994
7.690430 67.502 113.6864
8.056641 68.181 111.3519
8.422852 68.792 108.7188
8.789063 69.304 106.0390
9.155274 69.734 103.5857
9.521485 70.123 101.4300
9.887696 70.503 99.4256
10.253907 70.876 97.3677
10.620118 71.225 95.1613
10.986329 71.533 92.8578
11.352540 71.797 90.5726
11.718751 72.029 88.3883
12.084962 72.241 86.3190
12.451173 72.443 84.3379
12.817384 72.636 82.4189
13.183595 72.821 80.5509
13.549806 73.000 78.7238
13.916017 73.172 76.9185
14.282228 73.335 75.1185
14.648439 73.482 73.3297
15.014650 73.612 71.5831
15.380861 73.725 69.9128
15.747072 73.828 68.3294
16.113283 73.925 66.8126
16.479493 74.016 65.3299
16.845704 74.099 63.8608
17.211915 74.172 62.4063
17.578126 74.234 60.9771
17.944337 74.288 59.5774
18.310548 74.335 58.2006
18.676759 74.375 56.8381
19.042970 74.409 55.4891
19.409181 74.438 54.1600
19.775392 74.462 52.8555
20.141603 74.484 51.5717
20.507814 74.505 50.3008
20.874025 74.524 49.0391
21.240236 74.540 47.7921
21.606447 74.554 46.5688
21.972658 74.566 45.3732
22.338869 74.579 44.2019
22.705080 74.590 43.0500
23.071291 74.600 41.9189
23.437502 74.607 40.8161
23.803713 74.613 39.7477
24.169924 74.618 38.7114
24.536135 74.624 37.6960
24.902346 74.630 36.6899
25.268557 74.632 35.6892
25.634768 74.631 34.6997
26.000979 74.626 33.7308
26.367190 74.619 32.7885
26.733401 74.609 31.8725
27.099612 74.600 30.9778
27.465823 74.591 30.0975
27.832033 74.582 29.2247
28.198244 74.573 28.3536
28.564455 74.564 27.4815
28.930666 74.552 26.6117
29.296877 74.538 25.7531
29.663088 74.523 24.9165
30.029299 74.507 24.1073
30.395510 74.492 23.3223
30.761721 74.480 22.5513
31.127932 74.469 21.7848
31.494143 74.458 21.0202
31.860354 74.446 20.2620
32.226565 74.432 19.5182
32.592776 74.417 18.7941
32.958987 74.401 18.0896
33.325198 74.386 17.4005
33.691409 74.371 16.7216
34.057620 74.356 16.0495
34.423831 74.340 15.3839
34.790042 74.323 14.7269
35.156253 74.304 14.0813
35.522464 74.285 13.4492
35.888675 74.265 12.8303
36.254886 74.245 12.2220
36.621097 74.226 11.6211
36.987308 74.206 11.0262
37.353519 74.185 10.4385
37.719730 74.164 9.8617
38.085941 74.142 9.2990
38.452152 74.121 8.7514
38.818363 74.100 8.2165
39.184573 74.081 7.6903
39.550784 74.062 7.1682
39.916995 74.044 6.6473
40.283206 74.026 6.1266
40.649417 74.007 5.6073
41.015628 73.986 5.0926
41.381839 73.964 4.5869
41.748050 73.941 4.0939
42.114261 73.918 3.6155
42.480472 73.894 3.1503
42.846683 73.871 2.6952
43.212894 73.848 2.2471
43.579105 73.826 1.8040
43.945316 73.803 1.3657
44.311527 73.780 0.9333
44.677738 73.757 0.5077
45.043949 73.734 0.0892
45.410160 73.711 -0.3223
45.776371 73.689 -0.7276
46.142582 73.666 -1.1278
46.508793 73.644 -1.5239
46.875004 73.622 -1.9164
47.241215 73.600 -2.3050
47.607426 73.578 -2.6887
47.973637 73.555 -3.0665
48.339848 73.532 -3.4381
48.706059 73.509 -3.8038
49.072270 73.486 -4.1644
49.438481 73.464 -4.5208
49.804692 73.440 -4.8737
50.170902 73.417 -5.2231
50.537113 73.393 -5.5683
50.903324 73.369 -5.9078
51.269535 73.343 -6.2393
51.635746 73.318 -6.5618
52.001957 73.293 -6.8757
52.368168 73.269 -7.1834
52.734379 73.245 -7.4878
53.100590 73.221 -7.7903
53.466801 73.197 -8.0903
53.833012 73.173 -8.3861
54.199223 73.150 -8.6765
54.565434 73.126 -8.9623
54.931645 73.103 -9.2455
55.297856 73.080 -9.5276
55.664067 73.057 -9.8086
56.030278 73.034 -10.0871
56.396489 73.010 -10.3620
56.762700 72.986 -10.6325
57.128911 72.963 -10.8989
57.495122 72.939 -11.1607
57.861333 72.915 -11.4169
58.227544 72.891 -11.6665
58.593755 72.868 -11.9104
58.959966 72.846 -12.1517
59.326177 72.824 -12.3942
59.692388 72.802 -12.6398
60.058599 72.780 -12.8872
60.424810 72.757 -13.1326
60.791021 72.733 -13.3718
61.157232 72.709 -13.6031
61.523442 72.686 -13.8282
61.889653 72.662 -14.0503
62.255864 72.639 -14.2716
62.622075 72.616 -14.4918
62.988286 72.592 -14.7081
63.354497 72.568 -14.9179
63.720708 72.544 -15.1208
64.086919 72.521 -15.3189
64.453130 72.498 -15.5156
64.819341 72.476 -15.7136
65.185552 72.454 -15.9130
65.551763 72.432 -16.1121
65.917974 72.410 -16.3088
66.284185 72.387 -16.5026
66.650396 72.365 -16.6938
67.016607 72.343 -16.8836
67.382818 72.322 -17.0721
67.749029 72.300 -17.2585
68.115240 72.278 -17.4417
68.481451 72.257 -17.6218
68.847662 72.235 -17.7997
69.213873 72.214 -17.9768
69.580084 72.193 -18.1533
69.946295 72.172 -18.3277
70.312506 72.150 -18.4980
70.678717 72.128 -18.6629
71.044928 72.107 -18.8229
71.411139 72.085 -18.9802
71.777350 72.064 -19.1368
72.143561 72.043 -19.2934
72.509771 72.022 -19.4485
72.875982 72.000 -19.6004
73.242193 71.978 -19.7483
73.608404 71.957 -19.8940
73.974615 71.936 -20.0406
74.340826 71.915 -20.1902
74.707037 71.894 -20.3423
75.073248 71.871 -20.4931
75.439459 71.849 -20.6383
75.805670 71.826 -20.7757
76.171881 71.804 -20.9065
76.538092 71.783 -21.0351
76.904303 71.763 -21.1655
77.270514 71.744 -21.2993
77.636725 71.724 -21.4351
78.002936 71.704 -21.5697
78.369147 71.684 -21.7011
78.735358 71.665 -21.8293
79.101569 71.646 -21.9557
79.467780 71.626 -22.0817
79.833991 71.607 -22.2069
80.200202 71.588 -22.3299
80.566413 71.568 -22.4496
80.932624 71.549 -22.5660
81.298835 71.530 -22.6807
81.665046 71.511 -22.7954
82.031257 71.492 -22.9110
82.397468 71.473 -23.0273
82.763679 71.453 -23.1429
83.129890 71.433 -23.2567
83.496101 71.413 -23.3678
83.862311 71.392 -23.4758
84.228522 71.372 -23.5807
84.594733 71.352 -23.6831
84.960944 71.332 -23.7841
85.327155 71.313 -23.8849
85.693366 71.293 -23.9866
86.059577 71.275 -24.0894
86.425788 71.256 -24.1928
86.791999 71.237 -24.2960
87.158210 71.219 -24.3989
87.524421 71.201 -24.5020
87.890632 71.183 -24.6060
88.256843 71.165 -24.7107
88.623054 71.147 -24.8149
88.989265 71.128 -24.9169
89.355476 71.110 -25.0154
89.721687 71.092 -25.1103
90.087898 71.075 -25.2031
90.454109 71.057 -25.2951
90.820320 71.040 -25.3868
91.186531 71.023 -25.4773
91.552742 71.006 -25.5653
91.918953 70.989 -25.6498
92.285164 70.971 -25.7311
92.651375 70.955 -25.8107
93.017586 70.938 -25.8901
93.383797 70.922 -25.9698
93.750008 70.906 -26.0495
94.116219 70.889 -26.1282
94.482430 70.872 -26.2049
94.848641 70.855 -26.2794
95.214851 70.838 -26.3521
95.581062 70.821 -26.4237
95.947273 70.804 -26.4950
96.313484 70.788 -26.5667
96.679695 70.772 -26.6394
97.045906 70.755 -26.7134
97.412117 70.739 -26.7884
97.778328 70.722 -26.8639
98.144539 70.705 -26.9390
98.510750 70.688 -27.0129
98.876961 70.671 -27.0856
99.243172 70.655 -27.1575
99.609383 70.638 -27.2294
99.975594 70.622 -27.3020
100.341805 70.606 -27.3752
100.708016 70.590 -27.4487
101.074227 70.573 -27.5214
101.440438 70.557 -27.5925
101.806649 70.541 -27.6616
102.172860 70.525 -27.7289
102.539071 70.509 -27.7949
102.905282 70.493 -27.8604
103.271493 70.478 -27.9258
103.637704 70.463 -27.9915
104.003915 70.447 -28.0569
104.370126 70.432 -28.1215
104.736337 70.416 -28.1847
105.102548 70.401 -28.2462
105.468759 70.385 -28.3064
105.834970 70.370 -28.3659
106.201180 70.355 -28.4252
106.567391 70.340 -28.4843
106.933602 70.325 -28.5429
107.299813 70.310 -28.6005
107.666024 70.295 -28.6568
108.032235 70.280 -28.7119
108.398446 70.265 -28.7662
108.764657 70.250 -28.8201
109.130868 70.236 -28.8734
109.497079 70.221 -28.9258
109.863290 70.206 -28.9769
110.229501 70.192 -29.0265
110.595712 70.178 -29.0748
110.961923 70.164 -29.1221
111.328134 70.150 -29.1689
111.694345 70.136 -29.2151
112.060556 70.122 -29.2606
112.426767 70.108 -29.3052
112.792978 70.094 -29.3491
113.159189 70.081 -29.3927
113.525400 70.068 -29.4370
113.891611 70.055 -29.4827
114.257822 70.042 -29.5303
114.624033 70.029 -29.5796
114.990244 70.015 -29.6302
115.356455 70.002 -29.6810
115.722666 69.988 -29.7314
116.088877 69.974 -29.7807
116.455088 69.959 -29.8285
116.821299 69.945 -29.8748
117.187510 69.931 -29.9196
117.553720 69.918 -29.9632
117.919931 69.904 -30.0060
118.286142 69.891 -30.0485
118.652353 69.878 -30.0913
119.018564 69.865 -30.1346
119.384775 69.853 -30.1790
119.750986 69.840 -30.2243
120.117197 69.828 -30.2704
120.483408 69.815 -30.3164
120.849619 69.802 -30.3617
121.215830 69.789 -30.4054
121.582041 69.776 -30.4472
121.948252 69.764 -30.4875
122.314463 69.751 -30.5273
122.680674 69.738 -30.5674
123.046885 69.726 -30.6086
123.413096 69.713 -30.6504
123.779307 69.701 -30.6923
124.145518 69.688 -30.7331
124.511729 69.675 -30.7726
124.877940 69.662 -30.8108
125.244151 69.650 -30.8484
125.610362 69.637 -30.8859
125.976573 69.625 -30.9235
126.342784 69.613 -30.9610
126.708995 69.601 -30.9980
127.075206 69.589 -31.0345
127.441417 69.577 -31.0706
127.807628 69.565 -31.1065
128.173839 69.553 -31.1420
128.540049 69.542 -31.1771
128.906260 69.530 -31.2109
129.272471 69.518 -31.2430
129.638682 69.506 -31.2731
130.004893 69.494 -31.3011
130.371104 69.483 -31.3277
130.737315 69.471 -31.3531
131.103526 69.460 -31.3782
131.469737 69.449 -31.4031
131.835948 69.438 -31.4283
132.202159 69.426 -31.4536
132.568370 69.415 -31.4789
132.934581 69.404 -31.5042
133.300792 69.392 -31.5293
133.667003 69.381 -31.5544
134.033214 69.369 -31.5797
134.399425 69.358 -31.6056
134.765636 69.346 -31.6324
135.131847 69.335 -31.6602
135.498058 69.324 -31.6889
135.864269 69.312 -31.7185
136.230480 69.301 -31.7486
136.596691 69.289 -31.7788
136.962902 69.277 -31.8086
137.329113 69.265 -31.8375
137.695324 69.254 -31.8652
138.061535 69.242 -31.8917
138.427746 69.231 -31.9173
138.793957 69.219 -31.9424
139.160168 69.208 -31.9669
139.526379 69.197 -31.9910
139.892589 69.186 -32.0144
140.258800 69.176 -32.0369
140.625011 69.165 -32.0589
140.991222 69.155 -32.0806
141.357433 69.145 -32.1027
141.723644 69.135 -32.1257
142.089855 69.125 -32.1498
142.456066 69.116 -32.1751
142.822277 69.106 -32.2015
143.188488 69.096 -32.2289
143.554699 69.087 -32.2571
143.920910 69.077 -32.2862
144.287121 69.068 -32.3161
144.653332 69.058 -32.3467
145.019543 69.048 -32.3779
145.385754 69.039 -32.4095
145.751965 69.029 -32.4414
