* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 7:56:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.UU Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.114 -29.6265
0.732422 61.057 -61.6563
1.098633 57.500 -101.1557
1.464844 53.550 -158.7823
1.831055 52.860 136.9152
2.197266 52.713 95.0937
2.563477 48.987 73.1009
2.929688 41.725 141.1288
3.295899 53.143 169.4959
3.662110 58.184 156.5399
4.028321 60.554 142.6440
4.394532 61.477 132.2643
4.760743 61.697 127.7245
5.126954 62.073 128.9075
5.493164 63.134 131.1102
5.859375 64.514 129.9499
6.225586 65.673 125.7121
6.591797 66.433 120.5994
6.958008 66.899 116.3821
7.324219 67.292 113.6670
7.690430 67.790 111.8069
8.056641 68.407 109.6884
8.422852 69.027 106.8167
8.789063 69.551 103.5067
9.155274 69.967 100.3402
9.521485 70.326 97.6508
9.887696 70.684 95.3596
10.253907 71.057 93.1716
10.620118 71.420 90.8941
10.986329 71.742 88.5656
11.352540 72.017 86.3362
11.718751 72.260 84.2905
12.084962 72.487 82.3847
12.451173 72.701 80.5226
12.817384 72.893 78.6611
13.183595 73.057 76.8345
13.549806 73.199 75.0906
13.916017 73.328 73.4240
14.282228 73.451 71.7772
14.648439 73.565 70.1003
15.014650 73.662 68.3974
15.380861 73.741 66.7163
15.747072 73.809 65.0952
16.113283 73.873 63.5282
16.479493 73.936 61.9804
16.845704 73.995 60.4298
17.211915 74.047 58.8915
17.578126 74.092 57.3983
17.944337 74.134 55.9654
18.310548 74.177 54.5764
18.676759 74.220 53.2025
19.042970 74.260 51.8334
19.409181 74.292 50.4852
19.775392 74.318 49.1819
20.141603 74.340 47.9308
20.507814 74.360 46.7177
20.874025 74.377 45.5238
21.240236 74.390 44.3437
21.606447 74.398 43.1872
21.972658 74.400 42.0651
22.338869 74.402 40.9760
22.705080 74.402 39.9069
23.071291 74.403 38.8453
23.437502 74.402 37.7877
23.803713 74.399 36.7380
24.169924 74.396 35.6996
24.536135 74.392 34.6712
24.902346 74.387 33.6507
25.268557 74.382 32.6408
25.634768 74.376 31.6476
26.000979 74.369 30.6757
26.367190 74.363 29.7248
26.733401 74.356 28.7908
27.099612 74.350 27.8723
27.465823 74.342 26.9725
27.832033 74.334 26.0960
28.198244 74.324 25.2440
28.564455 74.314 24.4139
28.930666 74.304 23.6023
29.296877 74.292 22.8087
29.663088 74.280 22.0334
30.029299 74.268 21.2742
30.395510 74.256 20.5244
30.761721 74.243 19.7776
31.127932 74.228 19.0330
31.494143 74.211 18.2969
31.860354 74.192 17.5774
32.226565 74.172 16.8771
32.592776 74.153 16.1920
32.958987 74.135 15.5156
33.325198 74.117 14.8446
33.691409 74.099 14.1815
34.057620 74.080 13.5300
34.423831 74.062 12.8915
34.790042 74.044 12.2639
35.156253 74.026 11.6448
35.522464 74.008 11.0341
35.888675 73.989 10.4343
36.254886 73.970 9.8472
36.621097 73.951 9.2724
36.987308 73.932 8.7085
37.353519 73.912 8.1547
37.719730 73.891 7.6125
38.085941 73.870 7.0830
38.452152 73.849 6.5649
38.818363 73.828 6.0549
39.184573 73.807 5.5497
39.550784 73.786 5.0475
39.916995 73.764 4.5493
40.283206 73.742 4.0568
40.649417 73.719 3.5710
41.015628 73.695 3.0935
41.381839 73.671 2.6255
41.748050 73.647 2.1683
42.114261 73.624 1.7211
42.480472 73.601 1.2808
42.846683 73.579 0.8439
43.212894 73.557 0.4092
43.579105 73.534 -0.0214
43.945316 73.510 -0.4434
44.311527 73.486 -0.8539
44.677738 73.462 -1.2529
45.043949 73.438 -1.6432
45.410160 73.415 -2.0275
45.776371 73.391 -2.4067
46.142582 73.368 -2.7800
46.508793 73.343 -3.1467
46.875004 73.319 -3.5074
47.241215 73.295 -3.8633
47.607426 73.270 -4.2150
47.973637 73.245 -4.5618
48.339848 73.220 -4.9023
48.706059 73.194 -5.2360
49.072270 73.168 -5.5631
49.438481 73.143 -5.8851
49.804692 73.118 -6.2037
50.170902 73.093 -6.5201
50.537113 73.068 -6.8338
50.903324 73.043 -7.1434
51.269535 73.017 -7.4465
51.635746 72.991 -7.7417
52.001957 72.966 -8.0298
52.368168 72.942 -8.3138
52.734379 72.918 -8.5969
53.100590 72.894 -8.8806
53.466801 72.870 -9.1633
53.833012 72.845 -9.4418
54.199223 72.820 -9.7134
54.565434 72.795 -9.9779
54.931645 72.771 -10.2375
55.297856 72.746 -10.4948
55.664067 72.722 -10.7504
56.030278 72.697 -11.0035
56.396489 72.673 -11.2520
56.762700 72.648 -11.4948
57.128911 72.623 -11.7317
57.495122 72.599 -11.9642
57.861333 72.575 -12.1937
58.227544 72.551 -12.4218
58.593755 72.528 -12.6494
58.959966 72.504 -12.8765
59.326177 72.481 -13.1024
59.692388 72.457 -13.3258
60.058599 72.432 -13.5449
60.424810 72.407 -13.7585
60.791021 72.382 -13.9661
61.157232 72.358 -14.1678
61.523442 72.333 -14.3645
61.889653 72.310 -14.5574
62.255864 72.287 -14.7490
62.622075 72.265 -14.9421
62.988286 72.243 -15.1384
63.354497 72.220 -15.3374
63.720708 72.197 -15.5361
64.086919 72.172 -15.7303
64.453130 72.148 -15.9172
64.819341 72.123 -16.0967
65.185552 72.099 -16.2706
65.551763 72.076 -16.4416
65.917974 72.053 -16.6113
66.284185 72.031 -16.7802
66.650396 72.008 -16.9479
67.016607 71.985 -17.1142
67.382818 71.963 -17.2789
67.749029 71.940 -17.4417
68.115240 71.917 -17.6011
68.481451 71.893 -17.7555
68.847662 71.870 -17.9037
69.213873 71.847 -18.0463
69.580084 71.825 -18.1854
69.946295 71.804 -18.3242
70.312506 71.783 -18.4651
70.678717 71.763 -18.6093
71.044928 71.742 -18.7563
71.411139 71.721 -18.9040
71.777350 71.698 -19.0500
72.143561 71.676 -19.1923
72.509771 71.653 -19.3293
72.875982 71.630 -19.4610
73.242193 71.608 -19.5885
73.608404 71.587 -19.7136
73.974615 71.565 -19.8386
74.340826 71.545 -19.9650
74.707037 71.524 -20.0934
75.073248 71.503 -20.2228
75.439459 71.482 -20.3516
75.805670 71.460 -20.4775
76.171881 71.438 -20.5998
76.538092 71.416 -20.7181
76.904303 71.395 -20.8336
77.270514 71.374 -20.9473
77.636725 71.353 -21.0601
78.002936 71.332 -21.1721
78.369147 71.312 -21.2834
78.735358 71.291 -21.3934
79.101569 71.271 -21.5018
79.467780 71.250 -21.6084
79.833991 71.230 -21.7131
80.200202 71.210 -21.8162
80.566413 71.190 -21.9180
80.932624 71.170 -22.0186
81.298835 71.150 -22.1179
81.665046 71.130 -22.2155
82.031257 71.110 -22.3109
82.397468 71.090 -22.4041
82.763679 71.071 -22.4952
83.129890 71.051 -22.5854
83.496101 71.032 -22.6753
83.862311 71.013 -22.7655
84.228522 70.994 -22.8555
84.594733 70.975 -22.9446
84.960944 70.956 -23.0321
85.327155 70.937 -23.1182
85.693366 70.918 -23.2035
86.059577 70.900 -23.2891
86.425788 70.881 -23.3752
86.791999 70.863 -23.4617
87.158210 70.844 -23.5473
87.524421 70.825 -23.6310
87.890632 70.806 -23.7122
88.256843 70.788 -23.7914
88.623054 70.769 -23.8695
88.989265 70.751 -23.9470
89.355476 70.733 -24.0239
89.721687 70.715 -24.0991
90.087898 70.696 -24.1719
90.454109 70.678 -24.2420
90.820320 70.661 -24.3105
91.186531 70.644 -24.3790
91.552742 70.627 -24.4494
91.918953 70.610 -24.5224
92.285164 70.593 -24.5974
92.651375 70.576 -24.6727
93.017586 70.558 -24.7460
93.383797 70.540 -24.8159
93.750008 70.522 -24.8822
94.116219 70.504 -24.9464
94.482430 70.487 -25.0106
94.848641 70.470 -25.0768
95.214851 70.454 -25.1452
95.581062 70.437 -25.2148
95.947273 70.420 -25.2838
96.313484 70.402 -25.3505
96.679695 70.385 -25.4142
97.045906 70.368 -25.4749
97.412117 70.351 -25.5334
97.778328 70.334 -25.5902
98.144539 70.318 -25.6457
98.510750 70.301 -25.7003
98.876961 70.285 -25.7544
99.243172 70.269 -25.8080
99.609383 70.253 -25.8608
99.975594 70.237 -25.9122
100.341805 70.221 -25.9612
100.708016 70.204 -26.0077
101.074227 70.188 -26.0524
101.440438 70.172 -26.0962
101.806649 70.157 -26.1403
102.172860 70.141 -26.1851
102.539071 70.125 -26.2302
102.905282 70.109 -26.2750
103.271493 70.093 -26.3188
103.637704 70.077 -26.3619
104.003915 70.062 -26.4047
104.370126 70.046 -26.4476
104.736337 70.031 -26.4911
105.102548 70.015 -26.5351
105.468759 70.000 -26.5793
105.834970 69.985 -26.6237
106.201180 69.970 -26.6682
106.567391 69.955 -26.7128
106.933602 69.940 -26.7577
107.299813 69.925 -26.8027
107.666024 69.910 -26.8473
108.032235 69.895 -26.8910
108.398446 69.880 -26.9336
108.764657 69.865 -26.9747
109.130868 69.850 -27.0143
109.497079 69.835 -27.0526
109.863290 69.820 -27.0900
110.229501 69.806 -27.1268
110.595712 69.792 -27.1637
110.961923 69.778 -27.2008
111.328134 69.764 -27.2383
111.694345 69.750 -27.2760
112.060556 69.736 -27.3138
112.426767 69.721 -27.3514
112.792978 69.707 -27.3887
113.159189 69.693 -27.4252
113.525400 69.678 -27.4606
113.891611 69.664 -27.4948
114.257822 69.650 -27.5277
114.624033 69.636 -27.5597
114.990244 69.622 -27.5912
115.356455 69.608 -27.6228
115.722666 69.594 -27.6542
116.088877 69.581 -27.6849
116.455088 69.567 -27.7146
116.821299 69.554 -27.7430
117.187510 69.541 -27.7704
117.553720 69.528 -27.7976
117.919931 69.515 -27.8254
118.286142 69.503 -27.8544
118.652353 69.490 -27.8841
119.018564 69.478 -27.9140
119.384775 69.465 -27.9435
119.750986 69.453 -27.9722
120.117197 69.440 -28.0000
120.483408 69.428 -28.0272
120.849619 69.415 -28.0537
121.215830 69.403 -28.0797
121.582041 69.390 -28.1052
121.948252 69.378 -28.1302
122.314463 69.366 -28.1552
122.680674 69.353 -28.1801
123.046885 69.341 -28.2052
123.413096 69.329 -28.2300
123.779307 69.316 -28.2539
124.145518 69.304 -28.2766
124.511729 69.291 -28.2980
124.877940 69.279 -28.3182
125.244151 69.267 -28.3379
125.610362 69.255 -28.3577
125.976573 69.243 -28.3781
126.342784 69.231 -28.3992
126.708995 69.219 -28.4208
127.075206 69.207 -28.4427
127.441417 69.195 -28.4651
127.807628 69.182 -28.4877
128.173839 69.170 -28.5104
128.540049 69.158 -28.5331
128.906260 69.145 -28.5554
129.272471 69.132 -28.5772
129.638682 69.120 -28.5984
130.004893 69.107 -28.6189
130.371104 69.095 -28.6389
130.737315 69.082 -28.6583
131.103526 69.070 -28.6772
131.469737 69.058 -28.6954
131.835948 69.046 -28.7133
132.202159 69.034 -28.7306
132.568370 69.022 -28.7478
132.934581 69.011 -28.7649
133.300792 69.000 -28.7819
133.667003 68.989 -28.7985
134.033214 68.978 -28.8143
134.399425 68.967 -28.8292
134.765636 68.956 -28.8431
135.131847 68.946 -28.8564
135.498058 68.936 -28.8696
135.864269 68.926 -28.8829
136.230480 68.916 -28.8966
136.596691 68.906 -28.9108
136.962902 68.896 -28.9253
137.329113 68.886 -28.9399
137.695324 68.876 -28.9545
138.061535 68.866 -28.9691
138.427746 68.856 -28.9835
138.793957 68.845 -28.9976
139.160168 68.834 -29.0115
139.526379 68.824 -29.0250
139.892589 68.813 -29.0384
140.258800 68.802 -29.0517
140.625011 68.791 -29.0651
140.991222 68.780 -29.0786
141.357433 68.769 -29.0922
141.723644 68.758 -29.1057
142.089855 68.747 -29.1190
142.456066 68.736 -29.1318
142.822277 68.725 -29.1441
143.188488 68.714 -29.1557
143.554699 68.703 -29.1667
143.920910 68.693 -29.1772
144.287121 68.683 -29.1874
144.653332 68.672 -29.1973
145.019543 68.663 -29.2070
145.385754 68.653 -29.2164
