* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:26:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Green Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.820 -38.1719
0.732422 74.508 -80.2769
1.098633 73.134 -129.4325
1.464844 72.863 178.9685
1.831055 73.325 135.5686
2.197266 73.168 102.9496
2.563477 71.600 80.9303
2.929688 68.408 76.8841
3.295899 67.344 103.9049
3.662110 71.188 116.9537
4.028321 74.161 110.0727
4.394532 75.619 98.7870
4.760743 75.979 88.9383
5.126954 75.731 83.5446
5.493164 75.562 83.3205
5.859375 76.012 84.8369
6.225586 76.865 83.7539
6.591797 77.590 79.6270
6.958008 77.939 74.4244
7.324219 77.963 70.1011
7.690430 77.882 67.5908
8.056641 77.924 66.3838
8.422852 78.140 65.1103
8.789063 78.403 62.9476
9.155274 78.572 60.1514
9.521485 78.615 57.4580
9.887696 78.591 55.3672
10.253907 78.512 53.8295
10.620118 78.454 52.4381
10.986329 78.418 50.8878
11.352540 78.366 49.1985
11.718751 78.288 47.5594
12.084962 78.201 46.0693
12.451173 78.125 44.6595
12.817384 78.102 43.2227
13.183595 78.078 41.7606
13.549806 78.039 40.3723
13.916017 78.002 39.1233
14.282228 77.982 37.9542
14.648439 77.979 36.7377
15.014650 77.978 35.4156
15.380861 77.961 34.0587
15.747072 77.930 32.7929
16.113283 77.905 31.6761
16.479493 77.906 30.6512
16.845704 77.923 29.6148
17.211915 77.942 28.5206
17.578126 77.952 27.4111
17.944337 77.953 26.3589
18.310548 77.952 25.3914
18.676759 77.956 24.4772
19.042970 77.962 23.5726
19.409181 77.965 22.6700
19.775392 77.962 21.7962
20.141603 77.958 20.9714
20.507814 77.957 20.1817
20.874025 77.959 19.3929
21.240236 77.960 18.5876
21.606447 77.956 17.7792
21.972658 77.948 16.9916
22.338869 77.940 16.2311
22.705080 77.933 15.4808
23.071291 77.928 14.7233
23.437502 77.920 13.9605
23.803713 77.911 13.2094
24.169924 77.901 12.4819
24.536135 77.892 11.7721
24.902346 77.885 11.0675
25.268557 77.878 10.3679
25.634768 77.868 9.6890
26.000979 77.858 9.0455
26.367190 77.851 8.4329
26.733401 77.847 7.8281
27.099612 77.845 7.2122
27.465823 77.839 6.5876
27.832033 77.829 5.9751
28.198244 77.816 5.3927
28.564455 77.803 4.8394
28.930666 77.792 4.2986
29.296877 77.780 3.7567
29.663088 77.767 3.2141
30.029299 77.751 2.6804
30.395510 77.735 2.1609
30.761721 77.720 1.6493
31.127932 77.705 1.1348
31.494143 77.689 0.6151
31.860354 77.671 0.0988
32.226565 77.652 -0.4028
32.592776 77.633 -0.8865
32.958987 77.617 -1.3600
33.325198 77.602 -1.8336
33.691409 77.587 -2.3111
34.057620 77.571 -2.7881
34.423831 77.554 -3.2562
34.790042 77.535 -3.7096
35.156253 77.517 -4.1467
35.522464 77.500 -4.5701
35.888675 77.482 -4.9835
36.254886 77.466 -5.3915
36.621097 77.449 -5.7971
36.987308 77.431 -6.1995
37.353519 77.412 -6.5943
37.719730 77.393 -6.9772
38.085941 77.374 -7.3485
38.452152 77.355 -7.7157
38.818363 77.338 -8.0869
39.184573 77.319 -8.4647
39.550784 77.299 -8.8430
39.916995 77.277 -9.2127
40.283206 77.256 -9.5699
40.649417 77.236 -9.9188
41.015628 77.217 -10.2670
41.381839 77.198 -10.6171
41.748050 77.178 -10.9647
42.114261 77.157 -11.3027
42.480472 77.136 -11.6283
42.846683 77.117 -11.9459
43.212894 77.098 -12.2625
43.579105 77.080 -12.5817
43.945316 77.061 -12.9012
44.311527 77.041 -13.2163
44.677738 77.021 -13.5242
45.043949 77.001 -13.8251
45.410160 76.980 -14.1210
45.776371 76.959 -14.4125
46.142582 76.938 -14.6990
46.508793 76.917 -14.9802
46.875004 76.896 -15.2581
47.241215 76.875 -15.5342
47.607426 76.854 -15.8094
47.973637 76.833 -16.0826
48.339848 76.811 -16.3528
48.706059 76.790 -16.6204
49.072270 76.768 -16.8860
49.438481 76.746 -17.1498
49.804692 76.724 -17.4096
50.170902 76.701 -17.6631
50.537113 76.679 -17.9094
50.903324 76.658 -18.1505
51.269535 76.637 -18.3892
51.635746 76.616 -18.6277
52.001957 76.596 -18.8658
52.368168 76.575 -19.1022
52.734379 76.554 -19.3354
53.100590 76.533 -19.5653
53.466801 76.512 -19.7916
53.833012 76.491 -20.0148
54.199223 76.470 -20.2350
54.565434 76.449 -20.4525
54.931645 76.428 -20.6677
55.297856 76.407 -20.8812
55.664067 76.386 -21.0934
56.030278 76.365 -21.3041
56.396489 76.343 -21.5128
56.762700 76.321 -21.7181
57.128911 76.298 -21.9180
57.495122 76.276 -22.1101
57.861333 76.253 -22.2944
58.227544 76.232 -22.4742
58.593755 76.212 -22.6553
58.959966 76.192 -22.8427
59.326177 76.171 -23.0367
59.692388 76.150 -23.2334
60.058599 76.127 -23.4260
60.424810 76.104 -23.6105
60.791021 76.080 -23.7872
61.157232 76.058 -23.9603
61.523442 76.036 -24.1339
61.889653 76.014 -24.3091
62.255864 75.993 -24.4847
62.622075 75.971 -24.6586
62.988286 75.949 -24.8304
63.354497 75.927 -25.0009
63.720708 75.905 -25.1711
64.086919 75.883 -25.3418
64.453130 75.861 -25.5118
64.819341 75.839 -25.6799
65.185552 75.816 -25.8452
65.551763 75.794 -26.0074
65.917974 75.772 -26.1667
66.284185 75.750 -26.3236
66.650396 75.728 -26.4786
67.016607 75.706 -26.6317
67.382818 75.684 -26.7826
67.749029 75.661 -26.9303
68.115240 75.639 -27.0744
68.481451 75.616 -27.2150
68.847662 75.593 -27.3528
69.213873 75.570 -27.4888
69.580084 75.548 -27.6232
69.946295 75.525 -27.7560
70.312506 75.502 -27.8871
70.678717 75.479 -28.0170
71.044928 75.457 -28.1465
71.411139 75.434 -28.2761
71.777350 75.412 -28.4055
72.143561 75.389 -28.5337
72.509771 75.367 -28.6603
72.875982 75.345 -28.7855
73.242193 75.323 -28.9108
73.608404 75.301 -29.0369
73.974615 75.280 -29.1641
74.340826 75.258 -29.2918
74.707037 75.237 -29.4189
75.073248 75.215 -29.5446
75.439459 75.193 -29.6680
75.805670 75.171 -29.7888
76.171881 75.150 -29.9067
76.538092 75.128 -30.0221
76.904303 75.106 -30.1354
77.270514 75.085 -30.2480
77.636725 75.064 -30.3610
78.002936 75.042 -30.4744
78.369147 75.020 -30.5873
78.735358 74.998 -30.6975
79.101569 74.975 -30.8030
79.467780 74.952 -30.9026
79.833991 74.930 -30.9972
80.200202 74.908 -31.0887
80.566413 74.887 -31.1803
80.932624 74.866 -31.2740
81.298835 74.846 -31.3708
81.665046 74.825 -31.4702
82.031257 74.805 -31.5710
82.397468 74.784 -31.6722
82.763679 74.762 -31.7730
83.129890 74.741 -31.8730
83.496101 74.720 -31.9718
83.862311 74.698 -32.0693
84.228522 74.677 -32.1653
84.594733 74.656 -32.2595
84.960944 74.634 -32.3523
85.327155 74.613 -32.4436
85.693366 74.592 -32.5332
86.059577 74.571 -32.6209
86.425788 74.550 -32.7065
86.791999 74.529 -32.7900
87.158210 74.508 -32.8718
87.524421 74.487 -32.9518
87.890632 74.467 -33.0304
88.256843 74.447 -33.1077
88.623054 74.427 -33.1840
88.989265 74.407 -33.2599
89.355476 74.387 -33.3363
89.721687 74.367 -33.4133
90.087898 74.347 -33.4910
90.454109 74.327 -33.5687
90.820320 74.306 -33.6452
91.186531 74.286 -33.7196
91.552742 74.265 -33.7913
91.918953 74.244 -33.8600
92.285164 74.223 -33.9269
92.651375 74.203 -33.9934
93.017586 74.183 -34.0612
93.383797 74.164 -34.1313
93.750008 74.144 -34.2042
94.116219 74.125 -34.2791
94.482430 74.105 -34.3547
94.848641 74.085 -34.4297
95.214851 74.064 -34.5028
95.581062 74.044 -34.5735
95.947273 74.023 -34.6414
96.313484 74.003 -34.7070
96.679695 73.983 -34.7711
97.045906 73.964 -34.8346
97.412117 73.944 -34.8977
97.778328 73.925 -34.9604
98.144539 73.906 -35.0223
98.510750 73.886 -35.0829
98.876961 73.867 -35.1420
99.243172 73.848 -35.2000
99.609383 73.828 -35.2573
99.975594 73.809 -35.3143
100.341805 73.790 -35.3711
100.708016 73.770 -35.4276
101.074227 73.751 -35.4834
101.440438 73.732 -35.5388
101.806649 73.712 -35.5940
102.172860 73.692 -35.6489
102.539071 73.673 -35.7034
102.905282 73.653 -35.7570
103.271493 73.633 -35.8092
103.637704 73.613 -35.8599
104.003915 73.594 -35.9092
104.370126 73.575 -35.9576
104.736337 73.556 -36.0060
105.102548 73.538 -36.0548
105.468759 73.520 -36.1042
105.834970 73.502 -36.1542
106.201180 73.484 -36.2045
106.567391 73.466 -36.2554
106.933602 73.448 -36.3066
107.299813 73.431 -36.3584
107.666024 73.413 -36.4102
108.032235 73.395 -36.4609
108.398446 73.376 -36.5100
108.764657 73.358 -36.5568
109.130868 73.340 -36.6012
109.497079 73.321 -36.6433
109.863290 73.303 -36.6836
110.229501 73.285 -36.7220
110.595712 73.267 -36.7590
110.961923 73.249 -36.7946
111.328134 73.231 -36.8292
111.694345 73.213 -36.8636
112.060556 73.196 -36.8981
112.426767 73.179 -36.9335
112.792978 73.161 -36.9696
113.159189 73.144 -37.0063
113.525400 73.126 -37.0432
113.891611 73.109 -37.0798
114.257822 73.091 -37.1163
114.624033 73.074 -37.1530
114.990244 73.056 -37.1906
115.356455 73.038 -37.2294
115.722666 73.021 -37.2694
116.088877 73.003 -37.3101
116.455088 72.985 -37.3506
116.821299 72.966 -37.3905
117.187510 72.948 -37.4297
117.553720 72.930 -37.4683
117.919931 72.911 -37.5060
118.286142 72.893 -37.5426
118.652353 72.874 -37.5771
119.018564 72.856 -37.6091
119.384775 72.838 -37.6385
119.750986 72.821 -37.6664
120.117197 72.804 -37.6946
120.483408 72.788 -37.7241
120.849619 72.772 -37.7556
121.215830 72.755 -37.7886
121.582041 72.739 -37.8221
121.948252 72.723 -37.8549
122.314463 72.706 -37.8862
122.680674 72.689 -37.9157
123.046885 72.673 -37.9430
123.413096 72.656 -37.9678
123.779307 72.640 -37.9904
124.145518 72.623 -38.0109
124.511729 72.607 -38.0302
124.877940 72.592 -38.0492
125.244151 72.577 -38.0687
125.610362 72.562 -38.0890
125.976573 72.547 -38.1102
126.342784 72.532 -38.1317
126.708995 72.516 -38.1533
127.075206 72.501 -38.1750
127.441417 72.486 -38.1967
127.807628 72.470 -38.2181
128.173839 72.455 -38.2395
128.540049 72.439 -38.2605
128.906260 72.424 -38.2812
129.272471 72.409 -38.3020
129.638682 72.393 -38.3231
130.004893 72.378 -38.3448
130.371104 72.363 -38.3669
130.737315 72.348 -38.3889
131.103526 72.333 -38.4105
131.469737 72.318 -38.4310
131.835948 72.303 -38.4504
132.202159 72.288 -38.4685
132.568370 72.273 -38.4856
132.934581 72.259 -38.5017
133.300792 72.244 -38.5173
133.667003 72.230 -38.5326
134.033214 72.216 -38.5481
134.399425 72.202 -38.5643
134.765636 72.188 -38.5811
135.131847 72.174 -38.5983
135.498058 72.160 -38.6154
135.864269 72.146 -38.6318
136.230480 72.131 -38.6476
136.596691 72.116 -38.6626
136.962902 72.102 -38.6774
137.329113 72.087 -38.6919
137.695324 72.072 -38.7062
138.061535 72.057 -38.7201
138.427746 72.042 -38.7335
138.793957 72.027 -38.7463
139.160168 72.012 -38.7587
139.526379 71.998 -38.7710
139.892589 71.983 -38.7832
140.258800 71.969 -38.7953
140.625011 71.954 -38.8072
140.991222 71.940 -38.8190
141.357433 71.927 -38.8311
141.723644 71.913 -38.8436
142.089855 71.899 -38.8570
142.456066 71.886 -38.8712
142.822277 71.873 -38.8859
143.188488 71.859 -38.9005
143.554699 71.846 -38.9144
143.920910 71.832 -38.9271
144.287121 71.819 -38.9385
144.653332 71.805 -38.9485
