* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:36:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Pink Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.409 -121.0606
0.732422 68.765 -147.3585
1.098633 71.174 -174.2333
1.464844 72.063 159.5904
1.831055 71.810 135.2773
2.197266 70.486 115.0576
2.563477 68.157 104.1976
2.929688 66.171 112.0563
3.295899 67.726 126.6355
3.662110 70.685 125.3594
4.028321 72.817 115.5390
4.394532 74.001 104.4201
4.760743 74.496 95.4738
5.126954 74.682 90.3484
5.493164 75.004 88.5899
5.859375 75.671 87.6142
6.225586 76.487 85.2133
6.591797 77.156 81.3403
6.958008 77.552 77.1711
7.324219 77.726 73.8208
7.690430 77.827 71.6717
8.056641 77.978 70.2387
8.422852 78.194 68.7014
8.789063 78.397 66.6547
9.155274 78.517 64.2919
9.521485 78.549 62.0346
9.887696 78.537 60.1210
10.253907 78.462 58.4621
10.620118 78.382 56.8062
10.986329 78.311 55.0086
11.352540 78.229 53.1231
11.718751 78.138 51.2831
12.084962 78.052 49.5454
12.451173 77.985 47.8629
12.817384 77.975 46.1765
13.183595 77.974 44.5050
13.549806 77.968 42.9286
13.916017 77.965 41.5000
14.282228 77.974 40.1870
14.648439 77.995 38.9088
15.014650 78.016 37.6212
15.380861 78.025 36.3563
15.747072 78.022 35.1801
16.113283 78.020 34.1201
16.479493 78.030 33.1371
16.845704 78.044 32.1642
17.211915 78.055 31.1672
17.578126 78.056 30.1633
17.944337 78.050 29.1873
18.310548 78.041 28.2488
18.676759 78.034 27.3231
19.042970 78.030 26.3798
19.409181 78.024 25.4125
19.775392 78.015 24.4407
20.141603 78.007 23.4865
20.507814 78.001 22.5571
20.874025 77.999 21.6466
21.240236 77.999 20.7513
21.606447 78.001 19.8774
21.972658 78.004 19.0315
22.338869 78.009 18.2115
22.705080 78.016 17.4091
23.071291 78.022 16.6211
23.437502 78.024 15.8586
23.803713 78.023 15.1367
24.169924 78.022 14.4580
24.536135 78.022 13.8063
24.902346 78.022 13.1589
25.268557 78.020 12.5053
25.634768 78.014 11.8541
26.000979 78.003 11.2215
26.367190 77.991 10.6130
26.733401 77.979 10.0161
27.099612 77.970 9.4100
27.465823 77.959 8.7828
27.832033 77.946 8.1406
28.198244 77.928 7.5027
28.564455 77.908 6.8878
28.930666 77.888 6.3049
29.296877 77.871 5.7491
29.663088 77.858 5.2072
30.029299 77.850 4.6643
30.395510 77.843 4.1119
30.761721 77.836 3.5524
31.127932 77.826 2.9978
31.494143 77.814 2.4639
31.860354 77.800 1.9587
32.226565 77.788 1.4783
32.592776 77.777 1.0096
32.958987 77.766 0.5413
33.325198 77.754 0.0727
33.691409 77.738 -0.3882
34.057620 77.721 -0.8331
34.423831 77.704 -1.2620
34.790042 77.687 -1.6838
35.156253 77.671 -2.1080
35.522464 77.654 -2.5383
35.888675 77.636 -2.9709
36.254886 77.616 -3.4010
36.621097 77.597 -3.8267
36.987308 77.577 -4.2490
37.353519 77.557 -4.6683
37.719730 77.536 -5.0817
38.085941 77.515 -5.4846
38.452152 77.495 -5.8754
38.818363 77.476 -6.2568
39.184573 77.458 -6.6331
39.550784 77.440 -7.0068
39.916995 77.423 -7.3765
40.283206 77.405 -7.7390
40.649417 77.388 -8.0924
41.015628 77.371 -8.4374
41.381839 77.354 -8.7760
41.748050 77.336 -9.1096
42.114261 77.319 -9.4390
42.480472 77.301 -9.7640
42.846683 77.282 -10.0854
43.212894 77.264 -10.4041
43.579105 77.245 -10.7212
43.945316 77.226 -11.0378
44.311527 77.206 -11.3544
44.677738 77.186 -11.6697
45.043949 77.164 -11.9804
45.410160 77.142 -12.2817
45.776371 77.119 -12.5704
46.142582 77.098 -12.8482
46.508793 77.079 -13.1221
46.875004 77.062 -13.4009
47.241215 77.044 -13.6893
47.607426 77.026 -13.9850
47.973637 77.006 -14.2797
48.339848 76.984 -14.5654
48.706059 76.962 -14.8384
49.072270 76.940 -15.1006
49.438481 76.919 -15.3562
49.804692 76.898 -15.6086
50.170902 76.878 -15.8588
50.537113 76.858 -16.1060
50.903324 76.838 -16.3500
51.269535 76.818 -16.5916
51.635746 76.798 -16.8318
52.001957 76.779 -17.0715
52.368168 76.759 -17.3108
52.734379 76.739 -17.5491
53.100590 76.719 -17.7854
53.466801 76.698 -18.0178
53.833012 76.677 -18.2443
54.199223 76.656 -18.4640
54.565434 76.635 -18.6779
54.931645 76.615 -18.8890
55.297856 76.595 -19.1006
55.664067 76.576 -19.3134
56.030278 76.556 -19.5256
56.396489 76.535 -19.7343
56.762700 76.514 -19.9379
57.128911 76.494 -20.1381
57.495122 76.474 -20.3392
57.861333 76.455 -20.5449
58.227544 76.434 -20.7551
58.593755 76.413 -20.9655
58.959966 76.390 -21.1692
59.326177 76.366 -21.3614
59.692388 76.343 -21.5424
60.058599 76.322 -21.7175
60.424810 76.301 -21.8941
60.791021 76.282 -22.0765
61.157232 76.263 -22.2646
61.523442 76.242 -22.4543
61.889653 76.221 -22.6409
62.255864 76.200 -22.8223
62.622075 76.178 -22.9985
62.988286 76.157 -23.1706
63.354497 76.135 -23.3384
63.720708 76.112 -23.5010
64.086919 76.091 -23.6581
64.453130 76.069 -23.8115
64.819341 76.049 -23.9642
65.185552 76.029 -24.1188
65.551763 76.008 -24.2759
65.917974 75.988 -24.4337
66.284185 75.967 -24.5911
66.650396 75.946 -24.7471
67.016607 75.924 -24.9020
67.382818 75.902 -25.0560
67.749029 75.880 -25.2078
68.115240 75.858 -25.3564
68.481451 75.835 -25.5015
68.847662 75.813 -25.6447
69.213873 75.792 -25.7874
69.580084 75.770 -25.9301
69.946295 75.747 -26.0713
70.312506 75.725 -26.2087
70.678717 75.703 -26.3413
71.044928 75.681 -26.4708
71.411139 75.661 -26.6003
71.777350 75.640 -26.7323
72.143561 75.619 -26.8668
72.509771 75.598 -27.0021
72.875982 75.577 -27.1353
73.242193 75.555 -27.2651
73.608404 75.534 -27.3915
73.974615 75.513 -27.5164
74.340826 75.492 -27.6414
74.707037 75.472 -27.7677
75.073248 75.451 -27.8952
75.439459 75.430 -28.0228
75.805670 75.408 -28.1492
76.171881 75.387 -28.2728
76.538092 75.365 -28.3930
76.904303 75.343 -28.5098
77.270514 75.322 -28.6235
77.636725 75.300 -28.7347
78.002936 75.279 -28.8439
78.369147 75.258 -28.9512
78.735358 75.237 -29.0566
79.101569 75.217 -29.1602
79.467780 75.196 -29.2625
79.833991 75.176 -29.3646
80.200202 75.157 -29.4678
80.566413 75.137 -29.5728
80.932624 75.117 -29.6796
81.298835 75.097 -29.7870
81.665046 75.076 -29.8931
82.031257 75.055 -29.9960
82.397468 75.033 -30.0950
82.763679 75.012 -30.1909
83.129890 74.992 -30.2856
83.496101 74.972 -30.3807
83.862311 74.951 -30.4771
84.228522 74.931 -30.5735
84.594733 74.911 -30.6682
84.960944 74.890 -30.7597
85.327155 74.870 -30.8479
85.693366 74.850 -30.9341
86.059577 74.830 -31.0205
86.425788 74.811 -31.1085
86.791999 74.792 -31.1978
87.158210 74.773 -31.2867
87.524421 74.753 -31.3732
87.890632 74.733 -31.4562
88.256843 74.713 -31.5361
88.623054 74.694 -31.6152
88.989265 74.675 -31.6958
89.355476 74.657 -31.7789
89.721687 74.638 -31.8641
90.087898 74.618 -31.9493
90.454109 74.598 -32.0327
90.820320 74.578 -32.1131
91.186531 74.558 -32.1908
91.552742 74.538 -32.2668
91.918953 74.519 -32.3420
92.285164 74.499 -32.4166
92.651375 74.480 -32.4905
93.017586 74.460 -32.5631
93.383797 74.441 -32.6344
93.750008 74.421 -32.7048
94.116219 74.402 -32.7745
94.482430 74.383 -32.8436
94.848641 74.364 -32.9116
95.214851 74.345 -32.9781
95.581062 74.326 -33.0433
95.947273 74.307 -33.1073
96.313484 74.288 -33.1712
96.679695 74.270 -33.2358
97.045906 74.252 -33.3018
97.412117 74.233 -33.3689
97.778328 74.215 -33.4373
98.144539 74.196 -33.5063
98.510750 74.178 -33.5757
98.876961 74.159 -33.6449
99.243172 74.139 -33.7133
99.609383 74.120 -33.7798
99.975594 74.100 -33.8439
100.341805 74.081 -33.9054
100.708016 74.062 -33.9647
101.074227 74.043 -34.0227
101.440438 74.025 -34.0805
101.806649 74.007 -34.1387
102.172860 73.988 -34.1969
102.539071 73.970 -34.2542
102.905282 73.951 -34.3091
103.271493 73.933 -34.3607
103.637704 73.914 -34.4087
104.003915 73.896 -34.4540
104.370126 73.879 -34.4984
104.736337 73.862 -34.5441
105.102548 73.845 -34.5923
105.468759 73.829 -34.6436
105.834970 73.812 -34.6970
106.201180 73.794 -34.7513
106.567391 73.776 -34.8051
106.933602 73.758 -34.8574
107.299813 73.740 -34.9081
107.666024 73.721 -34.9569
108.032235 73.703 -35.0038
108.398446 73.685 -35.0486
108.764657 73.667 -35.0917
109.130868 73.649 -35.1338
109.497079 73.632 -35.1764
109.863290 73.615 -35.2211
110.229501 73.599 -35.2686
110.595712 73.582 -35.3186
110.961923 73.565 -35.3696
111.328134 73.547 -35.4193
111.694345 73.529 -35.4655
112.060556 73.510 -35.5067
112.426767 73.492 -35.5432
112.792978 73.475 -35.5762
113.159189 73.458 -35.6077
113.525400 73.441 -35.6399
113.891611 73.426 -35.6744
114.257822 73.410 -35.7124
114.624033 73.394 -35.7538
114.990244 73.378 -35.7979
115.356455 73.362 -35.8436
115.722666 73.345 -35.8899
116.088877 73.328 -35.9358
116.455088 73.310 -35.9808
116.821299 73.292 -36.0246
117.187510 73.274 -36.0668
117.553720 73.256 -36.1066
117.919931 73.238 -36.1434
118.286142 73.219 -36.1763
118.652353 73.201 -36.2052
119.018564 73.184 -36.2307
119.384775 73.167 -36.2540
119.750986 73.151 -36.2773
120.117197 73.135 -36.3019
120.483408 73.120 -36.3290
120.849619 73.106 -36.3589
121.215830 73.091 -36.3913
121.582041 73.076 -36.4254
121.948252 73.061 -36.4604
122.314463 73.045 -36.4954
122.680674 73.030 -36.5295
123.046885 73.014 -36.5623
123.413096 72.998 -36.5937
123.779307 72.981 -36.6237
124.145518 72.965 -36.6526
124.511729 72.949 -36.6807
124.877940 72.933 -36.7076
125.244151 72.918 -36.7336
125.610362 72.902 -36.7581
125.976573 72.887 -36.7811
126.342784 72.872 -36.8033
126.708995 72.857 -36.8254
127.075206 72.843 -36.8481
127.441417 72.829 -36.8719
127.807628 72.814 -36.8967
128.173839 72.800 -36.9220
128.540049 72.786 -36.9470
128.906260 72.771 -36.9710
129.272471 72.756 -36.9938
129.638682 72.742 -37.0150
130.004893 72.728 -37.0350
130.371104 72.713 -37.0541
130.737315 72.699 -37.0725
131.103526 72.686 -37.0907
131.469737 72.672 -37.1090
131.835948 72.658 -37.1277
132.202159 72.644 -37.1469
132.568370 72.631 -37.1662
132.934581 72.617 -37.1854
133.300792 72.603 -37.2040
133.667003 72.589 -37.2218
134.033214 72.574 -37.2390
134.399425 72.560 -37.2557
134.765636 72.546 -37.2725
135.131847 72.533 -37.2897
135.498058 72.519 -37.3074
135.864269 72.505 -37.3258
136.230480 72.492 -37.3448
136.596691 72.478 -37.3646
136.962902 72.465 -37.3853
137.329113 72.451 -37.4069
137.695324 72.438 -37.4292
138.061535 72.425 -37.4520
138.427746 72.411 -37.4746
138.793957 72.398 -37.4962
139.160168 72.384 -37.5162
139.526379 72.370 -37.5339
139.892589 72.357 -37.5494
140.258800 72.344 -37.5627
140.625011 72.330 -37.5741
140.991222 72.318 -37.5842
141.357433 72.305 -37.5934
141.723644 72.292 -37.6018
142.089855 72.280 -37.6099
142.456066 72.267 -37.6174
142.822277 72.255 -37.6249
143.188488 72.243 -37.6323
143.554699 72.230 -37.6400
143.920910 72.218 -37.6482
144.287121 72.205 -37.6568
144.653332 72.192 -37.6658
