* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 6:46:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Penon 10 Anniversary Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.314 161.5460
0.732422 63.098 142.6504
1.098633 58.511 121.4475
1.464844 47.770 75.6416
1.831055 52.452 -54.2143
2.197266 58.222 -76.7201
2.563477 60.359 -86.5698
2.929688 61.192 -89.2560
3.295899 61.867 -86.4847
3.662110 62.949 -82.6684
4.028321 64.212 -81.5519
4.394532 65.249 -83.1147
4.760743 65.919 -85.6380
5.126954 66.311 -87.6622
5.493164 66.616 -88.6596
5.859375 66.991 -89.0997
6.225586 67.467 -89.8572
6.591797 67.970 -91.3874
6.958008 68.421 -93.5098
7.324219 68.799 -95.7687
7.690430 69.137 -97.8287
8.056641 69.477 -99.6345
8.422852 69.837 -101.3227
8.789063 70.207 -103.0230
9.155274 70.566 -104.7397
9.521485 70.902 -106.3833
9.887696 71.215 -107.8709
10.253907 71.439 -109.1889
10.620118 71.622 -110.3822
10.986329 71.796 -111.5034
11.352540 71.956 -112.5779
11.718751 72.097 -113.6070
12.084962 72.221 -114.5904
12.451173 72.327 -115.5375
12.817384 72.470 -116.4627
13.183595 72.605 -117.3756
13.549806 72.726 -118.2803
13.916017 72.837 -119.1830
14.282228 72.939 -120.0964
14.648439 73.036 -121.0338
15.014650 73.125 -121.9997
15.380861 73.209 -122.9861
15.747072 73.288 -123.9790
16.113283 73.370 -124.9678
16.479493 73.461 -125.9498
16.845704 73.551 -126.9252
17.211915 73.641 -127.8911
17.578126 73.729 -128.8392
17.944337 73.814 -129.7590
18.310548 73.897 -130.6431
18.676759 73.977 -131.4898
19.042970 74.055 -132.3007
19.409181 74.129 -133.0789
19.775392 74.200 -133.8275
20.141603 74.267 -134.5501
20.507814 74.331 -135.2508
20.874025 74.390 -135.9328
21.240236 74.443 -136.5986
21.606447 74.491 -137.2505
21.972658 74.534 -137.8921
22.338869 74.574 -138.5291
22.705080 74.610 -139.1671
23.071291 74.643 -139.8090
23.437502 74.674 -140.4548
23.803713 74.702 -141.1026
24.169924 74.728 -141.7509
24.536135 74.754 -142.3990
24.902346 74.779 -143.0460
25.268557 74.804 -143.6892
25.634768 74.828 -144.3245
26.000979 74.852 -144.9482
26.367190 74.877 -145.5581
26.733401 74.901 -146.1544
27.099612 74.926 -146.7377
27.465823 74.950 -147.3081
27.832033 74.973 -147.8650
28.198244 74.995 -148.4076
28.564455 75.015 -148.9360
28.930666 75.033 -149.4505
29.296877 75.049 -149.9517
29.663088 75.064 -150.4403
30.029299 75.076 -150.9180
30.395510 75.088 -151.3875
30.761721 75.098 -151.8516
31.127932 75.106 -152.3126
31.494143 75.114 -152.7712
31.860354 75.120 -153.2279
32.226565 75.125 -153.6833
32.592776 75.130 -154.1387
32.958987 75.134 -154.5948
33.325198 75.138 -155.0510
33.691409 75.142 -155.5054
34.057620 75.145 -155.9557
34.423831 75.148 -156.4007
34.790042 75.151 -156.8401
35.156253 75.155 -157.2744
35.522464 75.158 -157.7033
35.888675 75.161 -158.1258
36.254886 75.163 -158.5408
36.621097 75.165 -158.9476
36.987308 75.167 -159.3464
37.353519 75.168 -159.7375
37.719730 75.168 -160.1214
38.085941 75.168 -160.4988
38.452152 75.168 -160.8708
38.818363 75.167 -161.2386
39.184573 75.165 -161.6028
39.550784 75.163 -161.9631
39.916995 75.160 -162.3188
40.283206 75.157 -162.6696
40.649417 75.155 -163.0165
41.015628 75.152 -163.3613
41.381839 75.150 -163.7057
41.748050 75.147 -164.0497
42.114261 75.143 -164.3912
42.480472 75.139 -164.7277
42.846683 75.135 -165.0573
43.212894 75.131 -165.3806
43.579105 75.128 -165.7001
43.945316 75.124 -166.0187
44.311527 75.121 -166.3376
44.677738 75.117 -166.6560
45.043949 75.113 -166.9715
45.410160 75.107 -167.2815
45.776371 75.102 -167.5852
46.142582 75.096 -167.8836
46.508793 75.091 -168.1785
46.875004 75.086 -168.4712
47.241215 75.080 -168.7620
47.607426 75.074 -169.0506
47.973637 75.068 -169.3365
48.339848 75.062 -169.6200
48.706059 75.057 -169.9019
49.072270 75.051 -170.1828
49.438481 75.045 -170.4623
49.804692 75.038 -170.7396
50.170902 75.032 -171.0134
50.537113 75.026 -171.2835
50.903324 75.019 -171.5497
51.269535 75.013 -171.8124
51.635746 75.007 -172.0721
52.001957 75.000 -172.3292
52.368168 74.994 -172.5842
52.734379 74.987 -172.8374
53.100590 74.980 -173.0888
53.466801 74.973 -173.3380
53.833012 74.965 -173.5844
54.199223 74.957 -173.8277
54.565434 74.950 -174.0680
54.931645 74.942 -174.3058
55.297856 74.934 -174.5418
55.664067 74.926 -174.7769
56.030278 74.918 -175.0116
56.396489 74.911 -175.2462
56.762700 74.903 -175.4805
57.128911 74.894 -175.7133
57.495122 74.886 -175.9429
57.861333 74.877 -176.1684
58.227544 74.869 -176.3899
58.593755 74.860 -176.6092
58.959966 74.853 -176.8280
59.326177 74.845 -177.0473
59.692388 74.837 -177.2661
60.058599 74.828 -177.4824
60.424810 74.819 -177.6948
60.791021 74.810 -177.9034
61.157232 74.801 -178.1098
61.523442 74.792 -178.3154
61.889653 74.783 -178.5203
62.255864 74.774 -178.7233
62.622075 74.764 -178.9229
62.988286 74.754 -179.1187
63.354497 74.744 -179.3118
63.720708 74.734 -179.5044
64.086919 74.724 -179.6985
64.453130 74.714 -179.8948
64.819341 74.704 179.9073
65.185552 74.694 179.7092
65.551763 74.683 179.5127
65.917974 74.673 179.3194
66.284185 74.662 179.1301
66.650396 74.651 178.9445
67.016607 74.641 178.7610
67.382818 74.631 178.5776
67.749029 74.621 178.3931
68.115240 74.610 178.2081
68.481451 74.600 178.0250
68.847662 74.589 177.8461
69.213873 74.577 177.6725
69.580084 74.567 177.5025
69.946295 74.556 177.3331
70.312506 74.546 177.1619
70.678717 74.536 176.9888
71.044928 74.525 176.8163
71.411139 74.514 176.6474
71.777350 74.502 176.4828
72.143561 74.492 176.3206
72.509771 74.481 176.1574
72.875982 74.471 175.9914
73.242193 74.460 175.8237
73.608404 74.448 175.6581
73.974615 74.436 175.4979
74.340826 74.425 175.3436
74.707037 74.414 175.1922
75.073248 74.403 175.0396
75.439459 74.393 174.8833
75.805670 74.383 174.7246
76.171881 74.371 174.5671
76.538092 74.359 174.4141
76.904303 74.348 174.2662
77.270514 74.337 174.1208
77.636725 74.326 173.9745
78.002936 74.315 173.8256
78.369147 74.304 173.6752
78.735358 74.292 173.5263
79.101569 74.280 173.3815
79.467780 74.268 173.2409
79.833991 74.256 173.1025
80.200202 74.245 172.9639
80.566413 74.234 172.8235
80.932624 74.223 172.6823
81.298835 74.212 172.5422
81.665046 74.200 172.4043
82.031257 74.189 172.2686
82.397468 74.178 172.1333
82.763679 74.167 171.9971
83.129890 74.157 171.8598
83.496101 74.145 171.7228
83.862311 74.134 171.5880
84.228522 74.122 171.4562
84.594733 74.111 171.3268
84.960944 74.100 171.1984
85.327155 74.089 171.0701
85.693366 74.077 170.9417
86.059577 74.066 170.8139
86.425788 74.055 170.6870
86.791999 74.044 170.5603
87.158210 74.033 170.4326
87.524421 74.022 170.3033
87.890632 74.010 170.1739
88.256843 73.998 170.0466
88.623054 73.986 169.9235
88.989265 73.973 169.8049
89.355476 73.962 169.6887
89.721687 73.950 169.5720
90.087898 73.939 169.4532
90.454109 73.928 169.3328
90.820320 73.917 169.2130
91.186531 73.905 169.0955
91.552742 73.894 168.9803
91.918953 73.882 168.8661
92.285164 73.871 168.7515
92.651375 73.860 168.6363
93.017586 73.848 168.5220
93.383797 73.836 168.4099
93.750008 73.825 168.3001
94.116219 73.814 168.1909
94.482430 73.803 168.0804
94.848641 73.791 167.9682
95.214851 73.780 167.8556
95.581062 73.768 167.7450
95.947273 73.756 167.6378
96.313484 73.744 167.5334
96.679695 73.732 167.4297
97.045906 73.721 167.3248
97.412117 73.710 167.2184
97.778328 73.698 167.1116
98.144539 73.686 167.0060
98.510750 73.674 166.9019
98.876961 73.663 166.7987
99.243172 73.651 166.6960
99.609383 73.639 166.5941
99.975594 73.626 166.4943
100.341805 73.614 166.3975
100.708016 73.602 166.3036
101.074227 73.591 166.2107
101.440438 73.580 166.1165
101.806649 73.569 166.0197
102.172860 73.557 165.9207
102.539071 73.546 165.8211
102.905282 73.534 165.7227
103.271493 73.522 165.6264
103.637704 73.509 165.5326
104.003915 73.497 165.4410
104.370126 73.485 165.3509
104.736337 73.474 165.2617
105.102548 73.462 165.1724
105.468759 73.450 165.0825
105.834970 73.439 164.9920
106.201180 73.427 164.9019
106.567391 73.415 164.8134
106.933602 73.404 164.7269
107.299813 73.392 164.6419
107.666024 73.381 164.5568
108.032235 73.369 164.4704
108.398446 73.358 164.3828
108.764657 73.346 164.2957
109.130868 73.334 164.2106
109.497079 73.322 164.1279
109.863290 73.310 164.0467
110.229501 73.298 163.9651
110.595712 73.286 163.8824
110.961923 73.274 163.7992
111.328134 73.262 163.7172
111.694345 73.250 163.6371
112.060556 73.238 163.5586
112.426767 73.226 163.4800
112.792978 73.215 163.3998
113.159189 73.203 163.3181
113.525400 73.191 163.2365
113.891611 73.179 163.1567
114.257822 73.167 163.0797
114.624033 73.154 163.0049
114.990244 73.143 162.9313
115.356455 73.131 162.8580
115.722666 73.119 162.7846
116.088877 73.108 162.7110
116.455088 73.097 162.6369
116.821299 73.085 162.5615
117.187510 73.074 162.4846
117.553720 73.062 162.4075
117.919931 73.050 162.3321
118.286142 73.037 162.2604
118.652353 73.025 162.1929
119.018564 73.013 162.1279
119.384775 73.001 162.0630
119.750986 72.990 161.9959
120.117197 72.979 161.9266
120.483408 72.967 161.8562
120.849619 72.955 161.7865
121.215830 72.943 161.7184
121.582041 72.932 161.6513
121.948252 72.920 161.5839
122.314463 72.909 161.5154
122.680674 72.897 161.4462
123.046885 72.885 161.3777
123.413096 72.873 161.3116
123.779307 72.860 161.2489
124.145518 72.849 161.1887
124.511729 72.837 161.1292
124.877940 72.826 161.0677
125.244151 72.816 161.0033
125.610362 72.807 160.9367
125.976573 72.796 160.8706
126.342784 72.786 160.8076
126.708995 72.775 160.7484
127.075206 72.766 160.6908
127.441417 72.757 160.6312
127.807628 72.747 160.5669
128.173839 72.738 160.4987
128.540049 72.727 160.4305
128.906260 72.716 160.3671
129.272471 72.705 160.3102
129.638682 72.694 160.2578
130.004893 72.685 160.2051
130.371104 72.675 160.1484
130.737315 72.666 160.0880
131.103526 72.656 160.0272
131.469737 72.645 159.9702
131.835948 72.635 159.9182
132.202159 72.625 159.8682
132.568370 72.616 159.8156
132.934581 72.607 159.7573
133.300792 72.598 159.6940
133.667003 72.588 159.6294
134.033214 72.577 159.5674
134.399425 72.565 159.5103
134.765636 72.554 159.4573
135.131847 72.544 159.4068
135.498058 72.533 159.3570
135.864269 72.523 159.3063
136.230480 72.513 159.2536
136.596691 72.504 159.1977
136.962902 72.494 159.1385
137.329113 72.483 159.0781
137.695324 72.471 159.0196
138.061535 72.459 158.9660
138.427746 72.448 158.9180
138.793957 72.436 158.8731
139.160168 72.426 158.8278
139.526379 72.416 158.7794
139.892589 72.405 158.7280
140.258800 72.395 158.6753
140.625011 72.383 158.6234
140.991222 72.372 158.5731
141.357433 72.361 158.5239
141.723644 72.350 158.4753
142.089855 72.338 158.4268
142.456066 72.327 158.3786
142.822277 72.315 158.3308
143.188488 72.303 158.2835
143.554699 72.292 158.2371
143.920910 72.279 158.1922
144.287121 72.267 158.1498
144.653332 72.255 158.1094
145.019543 72.244 158.0695
145.385754 72.232 158.0282
145.751965 72.221 157.9850
146.118176 72.208 157.9417
146.484387 72.196 157.9011
146.850598 72.183 157.8649
147.216809 72.171 157.8319
147.583020 72.159 157.7991
147.949231 72.148 157.7635
148.315442 72.136 157.7254
148.681653 72.123 157.6873
