* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 2, 2023 7:40:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fan 2 S2 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.572 161.4705
0.732422 57.854 142.6210
1.098633 54.688 122.5092
1.464844 49.385 96.9295
1.831055 41.866 40.2400
2.197266 43.795 -33.7165
2.563477 46.936 -50.3534
2.929688 49.025 -46.3435
3.295899 51.723 -38.6577
3.662110 54.541 -36.3832
4.028321 56.782 -38.4510
4.394532 58.370 -41.8689
4.760743 59.495 -44.8230
5.126954 60.398 -46.7673
5.493164 61.259 -48.1537
5.859375 62.125 -49.7857
6.225586 62.947 -52.0882
6.591797 63.666 -54.9224
6.958008 64.273 -57.8877
7.324219 64.805 -60.6737
7.690430 65.311 -63.2261
8.056641 65.820 -65.6894
8.422852 66.328 -68.2198
8.789063 66.814 -70.8422
9.155274 67.265 -73.4531
9.521485 67.681 -75.9223
9.887696 68.074 -78.1889
10.253907 68.385 -80.2852
10.620118 68.659 -82.2892
10.986329 68.921 -84.2573
11.352540 69.160 -86.1924
11.718751 69.373 -88.0600
12.084962 69.560 -89.8246
12.451173 69.730 -91.4766
12.817384 69.932 -93.0337
13.183595 70.129 -94.5270
13.549806 70.314 -95.9846
13.916017 70.485 -97.4229
14.282228 70.643 -98.8468
14.648439 70.787 -100.2530
15.014650 70.919 -101.6341
15.380861 71.041 -102.9843
15.747072 71.158 -104.3035
16.113283 71.275 -105.5987
16.479493 71.398 -106.8801
16.845704 71.518 -108.1539
17.211915 71.633 -109.4158
17.578126 71.741 -110.6522
17.944337 71.843 -111.8473
18.310548 71.941 -112.9914
18.676759 72.037 -114.0859
19.042970 72.132 -115.1400
19.409181 72.224 -116.1649
19.775392 72.312 -117.1669
20.141603 72.397 -118.1458
20.507814 72.477 -119.0972
20.874025 72.552 -120.0168
21.240236 72.621 -120.9033
21.606447 72.685 -121.7593
21.972658 72.746 -122.5903
22.338869 72.803 -123.4027
22.705080 72.857 -124.2021
23.071291 72.907 -124.9926
23.437502 72.955 -125.7759
23.803713 72.999 -126.5511
24.169924 73.040 -127.3149
24.536135 73.078 -128.0638
24.902346 73.115 -128.7963
25.268557 73.153 -129.5153
25.634768 73.190 -130.2265
26.000979 73.227 -130.9344
26.367190 73.261 -131.6371
26.733401 73.293 -132.3253
27.099612 73.323 -132.9863
27.465823 73.351 -133.6121
27.832033 73.381 -134.2070
28.198244 73.414 -134.7858
28.564455 73.448 -135.3653
28.930666 73.480 -135.9529
29.296877 73.509 -136.5409
29.663088 73.533 -137.1129
30.029299 73.555 -137.6560
30.395510 73.576 -138.1717
30.761721 73.599 -138.6757
31.127932 73.623 -139.1869
31.494143 73.645 -139.7143
31.860354 73.662 -140.2505
32.226565 73.674 -140.7776
32.592776 73.682 -141.2792
32.958987 73.690 -141.7510
33.325198 73.699 -142.2018
33.691409 73.709 -142.6462
34.057620 73.721 -143.0943
34.423831 73.732 -143.5466
34.790042 73.742 -143.9955
35.156253 73.750 -144.4329
35.522464 73.759 -144.8556
35.888675 73.768 -145.2673
36.254886 73.779 -145.6761
36.621097 73.791 -146.0884
36.987308 73.801 -146.5059
37.353519 73.810 -146.9232
37.719730 73.816 -147.3311
38.085941 73.821 -147.7218
38.452152 73.826 -148.0934
38.818363 73.832 -148.4525
39.184573 73.840 -148.8100
39.550784 73.848 -149.1743
39.916995 73.855 -149.5464
40.283206 73.860 -149.9179
40.649417 73.863 -150.2778
41.015628 73.865 -150.6193
41.381839 73.868 -150.9448
41.748050 73.872 -151.2637
42.114261 73.877 -151.5851
42.480472 73.882 -151.9118
42.846683 73.885 -152.2394
43.212894 73.888 -152.5607
43.579105 73.889 -152.8720
43.945316 73.891 -153.1757
44.311527 73.894 -153.4775
44.677738 73.896 -153.7811
45.043949 73.898 -154.0851
45.410160 73.899 -154.3845
45.776371 73.898 -154.6744
46.142582 73.898 -154.9542
46.508793 73.899 -155.2281
46.875004 73.901 -155.5017
47.241215 73.903 -155.7785
47.607426 73.905 -156.0582
47.973637 73.905 -156.3372
48.339848 73.905 -156.6116
48.706059 73.905 -156.8790
49.072270 73.904 -157.1396
49.438481 73.904 -157.3958
49.804692 73.904 -157.6499
50.170902 73.905 -157.9029
50.537113 73.905 -158.1538
50.903324 73.905 -158.4009
51.269535 73.905 -158.6435
51.635746 73.905 -158.8838
52.001957 73.906 -159.1253
52.368168 73.906 -159.3708
52.734379 73.905 -159.6189
53.100590 73.902 -159.8637
53.466801 73.898 -160.0984
53.833012 73.893 -160.3196
54.199223 73.890 -160.5302
54.565434 73.887 -160.7373
54.931645 73.886 -160.9473
55.297856 73.884 -161.1612
55.664067 73.882 -161.3748
56.030278 73.880 -161.5836
56.396489 73.878 -161.7872
56.762700 73.877 -161.9909
57.128911 73.877 -162.2011
57.495122 73.876 -162.4187
57.861333 73.873 -162.6368
58.227544 73.868 -162.8445
58.593755 73.863 -163.0345
58.959966 73.860 -163.2096
59.326177 73.859 -163.3809
59.692388 73.860 -163.5611
60.058599 73.861 -163.7555
60.424810 73.860 -163.9591
60.791021 73.857 -164.1603
61.157232 73.852 -164.3493
61.523442 73.848 -164.5238
61.889653 73.844 -164.6897
62.255864 73.842 -164.8557
62.622075 73.841 -165.0277
62.988286 73.839 -165.2061
63.354497 73.835 -165.3874
63.720708 73.831 -165.5672
64.086919 73.826 -165.7431
64.453130 73.821 -165.9154
64.819341 73.815 -166.0846
65.185552 73.810 -166.2514
65.551763 73.804 -166.4153
65.917974 73.799 -166.5759
66.284185 73.793 -166.7336
66.650396 73.789 -166.8893
67.016607 73.784 -167.0446
67.382818 73.781 -167.2013
67.749029 73.777 -167.3600
68.115240 73.772 -167.5202
68.481451 73.768 -167.6798
68.847662 73.762 -167.8363
69.213873 73.757 -167.9877
69.580084 73.751 -168.1340
69.946295 73.746 -168.2775
70.312506 73.742 -168.4206
70.678717 73.737 -168.5648
71.044928 73.733 -168.7099
71.411139 73.728 -168.8546
71.777350 73.723 -168.9986
72.143561 73.717 -169.1428
72.509771 73.712 -169.2877
72.875982 73.706 -169.4323
73.242193 73.698 -169.5727
73.608404 73.691 -169.7045
73.974615 73.684 -169.8266
74.340826 73.679 -169.9429
74.707037 73.675 -170.0613
75.073248 73.673 -170.1891
75.439459 73.670 -170.3282
75.805670 73.666 -170.4747
76.171881 73.661 -170.6206
76.538092 73.655 -170.7598
76.904303 73.648 -170.8911
77.270514 73.643 -171.0180
77.636725 73.638 -171.1455
78.002936 73.633 -171.2761
78.369147 73.628 -171.4084
78.735358 73.621 -171.5385
79.101569 73.615 -171.6627
79.467780 73.608 -171.7806
79.833991 73.602 -171.8943
80.200202 73.597 -172.0077
80.566413 73.592 -172.1236
80.932624 73.587 -172.2424
81.298835 73.582 -172.3623
81.665046 73.576 -172.4806
82.031257 73.570 -172.5957
82.397468 73.563 -172.7077
82.763679 73.557 -172.8178
83.129890 73.551 -172.9276
83.496101 73.545 -173.0370
83.862311 73.538 -173.1442
84.228522 73.531 -173.2475
84.594733 73.525 -173.3463
84.960944 73.520 -173.4429
85.327155 73.515 -173.5412
85.693366 73.512 -173.6448
86.059577 73.508 -173.7548
86.425788 73.503 -173.8691
86.791999 73.498 -173.9836
87.158210 73.492 -174.0952
87.524421 73.486 -174.2028
87.890632 73.480 -174.3079
88.256843 73.475 -174.4127
88.623054 73.470 -174.5183
88.989265 73.464 -174.6240
89.355476 73.458 -174.7275
89.721687 73.451 -174.8273
90.087898 73.445 -174.9231
90.454109 73.440 -175.0164
90.820320 73.434 -175.1096
91.186531 73.429 -175.2048
91.552742 73.424 -175.3023
91.918953 73.419 -175.4009
92.285164 73.412 -175.4988
92.651375 73.406 -175.5946
93.017586 73.400 -175.6885
93.383797 73.394 -175.7823
93.750008 73.388 -175.8778
94.116219 73.381 -175.9755
94.482430 73.374 -176.0736
94.848641 73.366 -176.1683
95.214851 73.358 -176.2559
95.581062 73.350 -176.3356
95.947273 73.343 -176.4100
96.313484 73.338 -176.4843
96.679695 73.334 -176.5636
97.045906 73.330 -176.6502
97.412117 73.326 -176.7430
97.778328 73.321 -176.8383
98.144539 73.316 -176.9322
98.510750 73.310 -177.0226
98.876961 73.305 -177.1097
99.243172 73.299 -177.1948
99.609383 73.294 -177.2790
99.975594 73.288 -177.3624
100.341805 73.283 -177.4443
100.708016 73.277 -177.5242
101.074227 73.272 -177.6025
101.440438 73.267 -177.6800
101.806649 73.261 -177.7578
102.172860 73.256 -177.8358
102.539071 73.251 -177.9136
102.905282 73.245 -177.9904
103.271493 73.239 -178.0655
103.637704 73.233 -178.1389
104.003915 73.227 -178.2108
104.370126 73.221 -178.2810
104.736337 73.215 -178.3501
105.102548 73.210 -178.4187
105.468759 73.205 -178.4885
105.834970 73.200 -178.5614
106.201180 73.196 -178.6382
106.567391 73.191 -178.7184
106.933602 73.185 -178.7996
107.299813 73.178 -178.8790
107.666024 73.171 -178.9546
108.032235 73.164 -179.0261
108.398446 73.157 -179.0945
108.764657 73.151 -179.1617
109.130868 73.144 -179.2287
109.497079 73.138 -179.2957
109.863290 73.132 -179.3627
110.229501 73.126 -179.4294
110.595712 73.119 -179.4960
110.961923 73.113 -179.5627
111.328134 73.107 -179.6296
111.694345 73.101 -179.6960
112.060556 73.095 -179.7615
112.426767 73.089 -179.8258
112.792978 73.083 -179.8893
113.159189 73.077 -179.9527
113.525400 73.071 179.9833
113.891611 73.066 179.9184
114.257822 73.060 179.8531
114.624033 73.055 179.7878
114.990244 73.049 179.7228
115.356455 73.043 179.6581
115.722666 73.037 179.5935
116.088877 73.032 179.5291
116.455088 73.026 179.4652
116.821299 73.019 179.4022
117.187510 73.013 179.3407
117.553720 73.007 179.2809
117.919931 73.000 179.2228
118.286142 72.994 179.1665
118.652353 72.988 179.1116
119.018564 72.982 179.0579
119.384775 72.976 179.0046
119.750986 72.970 178.9510
120.117197 72.965 178.8960
120.483408 72.959 178.8394
120.849619 72.954 178.7810
121.215830 72.948 178.7214
121.582041 72.942 178.6614
121.948252 72.936 178.6017
122.314463 72.930 178.5433
122.680674 72.924 178.4865
123.046885 72.918 178.4315
123.413096 72.912 178.3781
123.779307 72.907 178.3253
124.145518 72.902 178.2722
124.511729 72.897 178.2184
124.877940 72.893 178.1638
125.244151 72.889 178.1086
125.610362 72.885 178.0530
125.976573 72.882 177.9967
126.342784 72.878 177.9388
126.708995 72.875 177.8790
127.075206 72.870 177.8178
127.441417 72.865 177.7577
127.807628 72.859 177.7015
128.173839 72.853 177.6519
128.540049 72.847 177.6096
128.906260 72.841 177.5732
129.272471 72.836 177.5396
129.638682 72.832 177.5052
130.004893 72.828 177.4680
130.371104 72.825 177.4273
130.737315 72.821 177.3842
131.103526 72.817 177.3400
131.469737 72.813 177.2957
131.835948 72.809 177.2518
132.202159 72.805 177.2080
132.568370 72.800 177.1640
132.934581 72.796 177.1196
133.300792 72.792 177.0747
133.667003 72.787 177.0298
134.033214 72.783 176.9855
134.399425 72.778 176.9423
134.765636 72.773 176.9005
135.131847 72.768 176.8599
135.498058 72.764 176.8198
135.864269 72.759 176.7798
136.230480 72.754 176.7402
136.596691 72.749 176.7022
136.962902 72.743 176.6675
137.329113 72.738 176.6370
137.695324 72.733 176.6100
138.061535 72.730 176.5836
138.427746 72.727 176.5538
138.793957 72.725 176.5174
139.160168 72.722 176.4730
139.526379 72.719 176.4222
139.892589 72.715 176.3681
140.258800 72.711 176.3144
140.625011 72.705 176.2635
140.991222 72.700 176.2160
141.357433 72.695 176.1712
141.723644 72.689 176.1278
142.089855 72.685 176.0850
142.456066 72.680 176.0424
142.822277 72.675 176.0001
143.188488 72.671 175.9582
143.554699 72.667 175.9167
143.920910 72.663 175.8758
144.287121 72.659 175.8354
144.653332 72.655 175.7958
145.019543 72.651 175.7573
