* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2023 6:33:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fan 2 L Foam
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.540 162.6017
0.732422 58.888 144.8086
1.098633 55.841 125.5078
1.464844 50.761 99.8950
1.831055 44.128 41.9558
2.197266 46.681 -26.8668
2.563477 50.136 -45.3887
2.929688 52.322 -46.7286
3.295899 54.522 -42.9824
3.662110 56.840 -41.0213
4.028321 58.871 -42.1970
4.394532 60.437 -45.0639
4.760743 61.594 -48.1467
5.126954 62.494 -50.6849
5.493164 63.288 -52.6661
5.859375 64.062 -54.5503
6.225586 64.816 -56.7894
6.591797 65.512 -59.4982
6.958008 66.124 -62.4830
7.324219 66.658 -65.4653
7.690430 67.146 -68.2736
8.056641 67.617 -70.9050
8.422852 68.086 -73.4569
8.789063 68.548 -76.0101
9.155274 68.988 -78.5619
9.521485 69.398 -81.0435
9.887696 69.778 -83.3820
10.253907 70.065 -85.5494
10.620118 70.306 -87.5660
10.986329 70.534 -89.4724
11.352540 70.747 -91.2971
11.718751 70.941 -93.0471
12.084962 71.116 -94.7192
12.451173 71.275 -96.3146
12.817384 71.465 -97.8444
13.183595 71.648 -99.3233
13.549806 71.816 -100.7627
13.916017 71.970 -102.1683
14.282228 72.111 -103.5445
14.648439 72.242 -104.8970
15.014650 72.364 -106.2327
15.380861 72.478 -107.5554
15.747072 72.585 -108.8635
16.113283 72.690 -110.1518
16.479493 72.799 -111.4148
16.845704 72.905 -112.6497
17.211915 73.007 -113.8550
17.578126 73.106 -115.0291
17.944337 73.202 -116.1690
18.310548 73.294 -117.2722
18.676759 73.383 -118.3382
19.042970 73.469 -119.3688
19.409181 73.552 -120.3662
19.775392 73.630 -121.3313
20.141603 73.704 -122.2637
20.507814 73.775 -123.1630
20.874025 73.842 -124.0310
21.240236 73.905 -124.8721
21.606447 73.964 -125.6917
21.972658 74.019 -126.4943
22.338869 74.070 -127.2831
22.705080 74.117 -128.0589
23.071291 74.161 -128.8223
23.437502 74.202 -129.5732
23.803713 74.240 -130.3119
24.169924 74.276 -131.0393
24.536135 74.312 -131.7566
24.902346 74.346 -132.4651
25.268557 74.379 -133.1649
25.634768 74.412 -133.8546
26.000979 74.443 -134.5318
26.367190 74.474 -135.1937
26.733401 74.504 -135.8386
27.099612 74.533 -136.4672
27.465823 74.562 -137.0812
27.832033 74.590 -137.6818
28.198244 74.617 -138.2693
28.564455 74.642 -138.8427
28.930666 74.665 -139.4006
29.296877 74.687 -139.9430
29.663088 74.708 -140.4716
30.029299 74.727 -140.9889
30.395510 74.745 -141.4974
30.761721 74.762 -141.9983
31.127932 74.777 -142.4916
31.494143 74.791 -142.9771
31.860354 74.804 -143.4549
32.226565 74.816 -143.9264
32.592776 74.828 -144.3932
32.958987 74.839 -144.8566
33.325198 74.849 -145.3164
33.691409 74.859 -145.7712
34.057620 74.868 -146.2189
34.423831 74.876 -146.6582
34.790042 74.884 -147.0884
35.156253 74.893 -147.5103
35.522464 74.901 -147.9248
35.888675 74.910 -148.3324
36.254886 74.918 -148.7339
36.621097 74.926 -149.1289
36.987308 74.933 -149.5177
37.353519 74.940 -149.9003
37.719730 74.947 -150.2767
38.085941 74.952 -150.6466
38.452152 74.957 -151.0100
38.818363 74.962 -151.3672
39.184573 74.966 -151.7186
39.550784 74.969 -152.0645
39.916995 74.972 -152.4048
40.283206 74.976 -152.7397
40.649417 74.979 -153.0701
41.015628 74.983 -153.3974
41.381839 74.986 -153.7230
41.748050 74.989 -154.0471
42.114261 74.992 -154.3685
42.480472 74.994 -154.6855
42.846683 74.996 -154.9967
43.212894 74.997 -155.3025
43.579105 74.999 -155.6037
43.945316 75.001 -155.9016
44.311527 75.002 -156.1960
44.677738 75.004 -156.4866
45.043949 75.005 -156.7730
45.410160 75.006 -157.0558
45.776371 75.007 -157.3360
46.142582 75.008 -157.6138
46.508793 75.008 -157.8885
46.875004 75.008 -158.1586
47.241215 75.008 -158.4231
47.607426 75.008 -158.6832
47.973637 75.008 -158.9410
48.339848 75.009 -159.1986
48.706059 75.009 -159.4561
49.072270 75.008 -159.7115
49.438481 75.007 -159.9625
49.804692 75.005 -160.2075
50.170902 75.004 -160.4472
50.537113 75.004 -160.6838
50.903324 75.003 -160.9194
51.269535 75.003 -161.1542
51.635746 75.002 -161.3872
52.001957 75.001 -161.6169
52.368168 75.000 -161.8428
52.734379 74.999 -162.0661
53.100590 74.998 -162.2882
53.466801 74.997 -162.5103
53.833012 74.995 -162.7325
54.199223 74.993 -162.9537
54.565434 74.991 -163.1723
54.931645 74.988 -163.3871
55.297856 74.985 -163.5974
55.664067 74.982 -163.8038
56.030278 74.980 -164.0078
56.396489 74.978 -164.2115
56.762700 74.976 -164.4168
57.128911 74.973 -164.6240
57.495122 74.970 -164.8314
57.861333 74.967 -165.0353
58.227544 74.963 -165.2323
58.593755 74.959 -165.4208
58.959966 74.956 -165.6029
59.326177 74.953 -165.7829
59.692388 74.952 -165.9651
60.058599 74.951 -166.1513
60.424810 74.949 -166.3402
60.791021 74.946 -166.5281
61.157232 74.943 -166.7115
61.523442 74.939 -166.8893
61.889653 74.936 -167.0630
62.255864 74.933 -167.2350
62.622075 74.930 -167.4074
62.988286 74.927 -167.5807
63.354497 74.924 -167.7541
63.720708 74.920 -167.9264
64.086919 74.916 -168.0972
64.453130 74.911 -168.2670
64.819341 74.907 -168.4363
65.185552 74.902 -168.6051
65.551763 74.898 -168.7725
65.917974 74.893 -168.9372
66.284185 74.887 -169.0984
66.650396 74.883 -169.2565
67.016607 74.878 -169.4131
67.382818 74.874 -169.5698
67.749029 74.870 -169.7278
68.115240 74.866 -169.8866
68.481451 74.861 -170.0446
68.847662 74.856 -170.2001
69.213873 74.850 -170.3518
69.580084 74.845 -170.5001
69.946295 74.840 -170.6460
70.312506 74.835 -170.7907
70.678717 74.830 -170.9345
71.044928 74.824 -171.0769
71.411139 74.819 -171.2174
71.777350 74.814 -171.3564
72.143561 74.810 -171.4950
72.509771 74.805 -171.6347
72.875982 74.801 -171.7763
73.242193 74.796 -171.9194
73.608404 74.791 -172.0627
73.974615 74.785 -172.2044
74.340826 74.780 -172.3435
74.707037 74.774 -172.4799
75.073248 74.768 -172.6138
75.439459 74.763 -172.7458
75.805670 74.758 -172.8765
76.171881 74.753 -173.0068
76.538092 74.748 -173.1372
76.904303 74.744 -173.2680
77.270514 74.739 -173.3990
77.636725 74.734 -173.5290
78.002936 74.729 -173.6569
78.369147 74.723 -173.7823
78.735358 74.718 -173.9056
79.101569 74.713 -174.0277
79.467780 74.709 -174.1499
79.833991 74.704 -174.2724
80.200202 74.699 -174.3949
80.566413 74.694 -174.5164
80.932624 74.688 -174.6363
81.298835 74.683 -174.7542
81.665046 74.678 -174.8705
82.031257 74.672 -174.9856
82.397468 74.667 -175.1003
82.763679 74.662 -175.2150
83.129890 74.657 -175.3300
83.496101 74.652 -175.4456
83.862311 74.647 -175.5618
84.228522 74.641 -175.6779
84.594733 74.635 -175.7931
84.960944 74.629 -175.9065
85.327155 74.623 -176.0172
85.693366 74.618 -176.1254
86.059577 74.612 -176.2318
86.425788 74.607 -176.3380
86.791999 74.602 -176.4456
87.158210 74.598 -176.5554
87.524421 74.593 -176.6671
87.890632 74.588 -176.7792
88.256843 74.582 -176.8900
88.623054 74.576 -176.9981
88.989265 74.570 -177.1033
89.355476 74.565 -177.2063
89.721687 74.559 -177.3079
90.087898 74.554 -177.4091
90.454109 74.548 -177.5101
90.820320 74.543 -177.6106
91.186531 74.538 -177.7103
91.552742 74.532 -177.8089
91.918953 74.527 -177.9068
92.285164 74.521 -178.0043
92.651375 74.516 -178.1017
93.017586 74.511 -178.1989
93.383797 74.505 -178.2959
93.750008 74.500 -178.3925
94.116219 74.494 -178.4888
94.482430 74.489 -178.5848
94.848641 74.483 -178.6805
95.214851 74.478 -178.7761
95.581062 74.473 -178.8713
95.947273 74.467 -178.9662
96.313484 74.462 -179.0608
96.679695 74.456 -179.1552
97.045906 74.451 -179.2495
97.412117 74.446 -179.3436
97.778328 74.440 -179.4372
98.144539 74.435 -179.5301
98.510750 74.429 -179.6221
98.876961 74.423 -179.7130
99.243172 74.418 -179.8028
99.609383 74.412 -179.8918
99.975594 74.407 -179.9804
100.341805 74.401 179.9310
100.708016 74.396 179.8422
101.074227 74.390 179.7534
101.440438 74.384 179.6650
101.806649 74.378 179.5777
102.172860 74.372 179.4917
102.539071 74.366 179.4071
102.905282 74.360 179.3237
103.271493 74.354 179.2410
103.637704 74.348 179.1586
104.003915 74.343 179.0762
104.370126 74.337 178.9938
104.736337 74.331 178.9114
105.102548 74.325 178.8295
105.468759 74.320 178.7481
105.834970 74.314 178.6675
106.201180 74.308 178.5875
106.567391 74.302 178.5080
106.933602 74.297 178.4287
107.299813 74.291 178.3494
107.666024 74.286 178.2703
108.032235 74.280 178.1918
108.398446 74.275 178.1141
108.764657 74.269 178.0378
109.130868 74.263 177.9626
109.497079 74.258 177.8882
109.863290 74.252 177.8141
110.229501 74.247 177.7399
110.595712 74.242 177.6655
110.961923 74.236 177.5912
111.328134 74.231 177.5171
111.694345 74.225 177.4433
112.060556 74.220 177.3696
112.426767 74.214 177.2960
112.792978 74.208 177.2225
113.159189 74.203 177.1492
113.525400 74.197 177.0765
113.891611 74.191 177.0046
114.257822 74.185 176.9333
114.624033 74.180 176.8624
114.990244 74.174 176.7913
115.356455 74.168 176.7199
115.722666 74.162 176.6483
116.088877 74.156 176.5768
116.455088 74.150 176.5060
116.821299 74.144 176.4361
117.187510 74.138 176.3675
117.553720 74.132 176.3000
117.919931 74.126 176.2336
118.286142 74.120 176.1678
118.652353 74.114 176.1021
119.018564 74.108 176.0362
119.384775 74.103 175.9699
119.750986 74.097 175.9031
120.117197 74.092 175.8361
120.483408 74.086 175.7695
120.849619 74.080 175.7035
121.215830 74.074 175.6383
121.582041 74.069 175.5736
121.948252 74.063 175.5090
122.314463 74.057 175.4441
122.680674 74.052 175.3790
123.046885 74.046 175.3137
123.413096 74.040 175.2489
123.779307 74.035 175.1848
124.145518 74.029 175.1216
124.511729 74.024 175.0594
124.877940 74.018 174.9979
125.244151 74.013 174.9369
125.610362 74.008 174.8761
125.976573 74.004 174.8154
126.342784 73.999 174.7548
126.708995 73.995 174.6942
127.075206 73.991 174.6336
127.441417 73.986 174.5733
127.807628 73.982 174.5133
128.173839 73.977 174.4538
128.540049 73.973 174.3949
128.906260 73.969 174.3365
129.272471 73.964 174.2784
129.638682 73.960 174.2204
130.004893 73.955 174.1624
130.371104 73.951 174.1044
130.737315 73.947 174.0466
131.103526 73.942 173.9892
131.469737 73.938 173.9323
131.835948 73.933 173.8758
132.202159 73.929 173.8198
132.568370 73.924 173.7639
132.934581 73.920 173.7084
133.300792 73.915 173.6531
133.667003 73.911 173.5982
134.033214 73.906 173.5436
134.399425 73.902 173.4893
134.765636 73.897 173.4350
135.131847 73.893 173.3808
135.498058 73.888 173.3266
135.864269 73.884 173.2723
136.230480 73.880 173.2181
136.596691 73.875 173.1638
136.962902 73.871 173.1095
137.329113 73.866 173.0552
137.695324 73.862 173.0011
138.061535 73.857 172.9473
138.427746 73.852 172.8940
138.793957 73.848 172.8412
139.160168 73.843 172.7889
139.526379 73.839 172.7371
139.892589 73.834 172.6858
140.258800 73.829 172.6349
140.625011 73.825 172.5848
140.991222 73.820 172.5352
141.357433 73.816 172.4861
141.723644 73.811 172.4375
142.089855 73.807 172.3890
142.456066 73.802 172.3406
142.822277 73.798 172.2920
143.188488 73.794 172.2433
143.554699 73.789 172.1946
143.920910 73.785 172.1460
144.287121 73.780 172.0978
144.653332 73.776 172.0501
145.019543 73.771 172.0029
145.385754 73.766 171.9561
145.751965 73.762 171.9096
146.118176 73.757 171.8631
