* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2023 6:34:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fan 2 R Foam
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.742 -22.6846
0.732422 62.824 -45.1144
1.098633 59.083 -66.6626
1.464844 51.548 -83.6695
1.831055 41.324 27.6875
2.197266 52.673 31.7993
2.563477 55.471 12.8470
2.929688 55.638 -6.1733
3.295899 54.192 -21.0168
3.662110 51.929 -24.9962
4.028321 51.253 -14.9522
4.394532 53.371 -10.5663
4.760743 55.753 -18.3458
5.126954 57.399 -30.2545
5.493164 58.351 -41.0363
5.859375 58.900 -48.0330
6.225586 59.473 -50.7865
6.591797 60.389 -51.4219
6.958008 61.557 -52.7181
7.324219 62.667 -55.4744
7.690430 63.536 -58.8312
8.056641 64.171 -61.7247
8.422852 64.687 -63.6852
8.789063 65.195 -64.9826
9.155274 65.725 -66.2244
9.521485 66.237 -67.7833
9.887696 66.681 -69.6118
10.253907 66.984 -71.4752
10.620118 67.213 -73.2347
10.986329 67.428 -74.9331
11.352540 67.639 -76.6840
11.718751 67.837 -78.5289
12.084962 68.018 -80.4109
12.451173 68.189 -82.2555
12.817384 68.407 -84.0468
13.183595 68.635 -85.8209
13.549806 68.860 -87.6011
13.916017 69.073 -89.3559
14.282228 69.274 -91.0236
14.648439 69.468 -92.5709
15.014650 69.661 -94.0199
15.380861 69.852 -95.4194
15.747072 70.035 -96.7947
16.113283 70.206 -98.1287
16.479493 70.371 -99.3877
16.845704 70.526 -100.5611
17.211915 70.674 -101.6744
17.578126 70.814 -102.7662
17.944337 70.946 -103.8573
18.310548 71.065 -104.9419
18.676759 71.173 -106.0046
19.042970 71.273 -107.0418
19.409181 71.369 -108.0655
19.775392 71.461 -109.0895
20.141603 71.550 -110.1171
20.507814 71.636 -111.1405
20.874025 71.719 -112.1513
21.240236 71.800 -113.1477
21.606447 71.880 -114.1317
21.972658 71.958 -115.1013
22.338869 72.034 -116.0486
22.705080 72.108 -116.9660
23.071291 72.181 -117.8528
23.437502 72.254 -118.7147
23.803713 72.324 -119.5563
24.169924 72.392 -120.3756
24.536135 72.455 -121.1666
24.902346 72.515 -121.9262
25.268557 72.573 -122.6586
25.634768 72.629 -123.3729
26.000979 72.681 -124.0760
26.367190 72.730 -124.7687
26.733401 72.775 -125.4485
27.099612 72.817 -126.1141
27.465823 72.856 -126.7686
27.832033 72.894 -127.4164
28.198244 72.929 -128.0603
28.564455 72.963 -128.7000
28.930666 72.996 -129.3340
29.296877 73.027 -129.9617
29.663088 73.057 -130.5826
30.029299 73.087 -131.1953
30.395510 73.116 -131.7975
30.761721 73.144 -132.3882
31.127932 73.173 -132.9688
31.494143 73.201 -133.5415
31.860354 73.229 -134.1071
32.226565 73.254 -134.6623
32.592776 73.278 -135.2019
32.958987 73.301 -135.7232
33.325198 73.324 -136.2287
33.691409 73.346 -136.7240
34.057620 73.368 -137.2141
34.423831 73.388 -137.7000
34.790042 73.407 -138.1792
35.156253 73.424 -138.6490
35.522464 73.439 -139.1089
35.888675 73.454 -139.5606
36.254886 73.468 -140.0066
36.621097 73.482 -140.4480
36.987308 73.496 -140.8855
37.353519 73.508 -141.3190
37.719730 73.521 -141.7489
38.085941 73.532 -142.1750
38.452152 73.544 -142.5963
38.818363 73.554 -143.0116
39.184573 73.565 -143.4200
39.550784 73.575 -143.8217
39.916995 73.585 -144.2172
40.283206 73.596 -144.6070
40.649417 73.606 -144.9909
41.015628 73.616 -145.3682
41.381839 73.626 -145.7392
41.748050 73.635 -146.1045
42.114261 73.644 -146.4653
42.480472 73.653 -146.8226
42.846683 73.661 -147.1761
43.212894 73.668 -147.5249
43.579105 73.674 -147.8683
43.945316 73.681 -148.2059
44.311527 73.687 -148.5387
44.677738 73.693 -148.8688
45.043949 73.700 -149.1981
45.410160 73.705 -149.5273
45.776371 73.711 -149.8546
46.142582 73.715 -150.1767
46.508793 73.719 -150.4905
46.875004 73.722 -150.7957
47.241215 73.727 -151.0947
47.607426 73.732 -151.3912
47.973637 73.737 -151.6877
48.339848 73.741 -151.9842
48.706059 73.745 -152.2784
49.072270 73.748 -152.5679
49.438481 73.751 -152.8517
49.804692 73.753 -153.1302
50.170902 73.756 -153.4050
50.537113 73.759 -153.6773
50.903324 73.761 -153.9480
51.269535 73.764 -154.2174
51.635746 73.766 -154.4851
52.001957 73.767 -154.7502
52.368168 73.768 -155.0117
52.734379 73.770 -155.2689
53.100590 73.771 -155.5226
53.466801 73.773 -155.7748
53.833012 73.775 -156.0271
54.199223 73.776 -156.2789
54.565434 73.778 -156.5282
54.931645 73.778 -156.7722
55.297856 73.779 -157.0107
55.664067 73.781 -157.2458
56.030278 73.782 -157.4809
56.396489 73.783 -157.7171
56.762700 73.784 -157.9517
57.128911 73.783 -158.1796
57.495122 73.781 -158.3970
57.861333 73.781 -158.6054
58.227544 73.781 -158.8107
58.593755 73.783 -159.0205
58.959966 73.784 -159.2386
59.326177 73.784 -159.4627
59.692388 73.782 -159.6857
60.058599 73.779 -159.9011
60.424810 73.776 -160.1066
60.791021 73.774 -160.3055
61.157232 73.773 -160.5034
61.523442 73.772 -160.7046
61.889653 73.771 -160.9095
62.255864 73.770 -161.1151
62.622075 73.768 -161.3185
62.988286 73.765 -161.5181
63.354497 73.763 -161.7146
63.720708 73.761 -161.9093
64.086919 73.759 -162.1029
64.453130 73.757 -162.2955
64.819341 73.755 -162.4869
65.185552 73.752 -162.6772
65.551763 73.750 -162.8662
65.917974 73.746 -163.0532
66.284185 73.743 -163.2370
66.650396 73.739 -163.4164
67.016607 73.735 -163.5908
67.382818 73.731 -163.7604
67.749029 73.727 -163.9258
68.115240 73.723 -164.0876
68.481451 73.720 -164.2474
68.847662 73.717 -164.4080
69.213873 73.715 -164.5724
69.580084 73.713 -164.7425
69.946295 73.710 -164.9169
70.312506 73.706 -165.0910
70.678717 73.701 -165.2597
71.044928 73.696 -165.4205
71.411139 73.692 -165.5753
71.777350 73.689 -165.7288
72.143561 73.687 -165.8856
72.509771 73.685 -166.0474
72.875982 73.683 -166.2133
73.242193 73.681 -166.3817
73.608404 73.678 -166.5520
73.974615 73.675 -166.7241
74.340826 73.670 -166.8968
74.707037 73.665 -167.0665
75.073248 73.658 -167.2279
75.439459 73.651 -167.3777
75.805670 73.644 -167.5165
76.171881 73.639 -167.6496
76.538092 73.635 -167.7832
76.904303 73.632 -167.9212
77.270514 73.628 -168.0629
77.636725 73.624 -168.2045
78.002936 73.619 -168.3422
78.369147 73.615 -168.4752
78.735358 73.611 -168.6065
79.101569 73.607 -168.7402
79.467780 73.604 -168.8790
79.833991 73.600 -169.0219
80.200202 73.595 -169.1652
80.566413 73.590 -169.3041
80.932624 73.584 -169.4362
81.298835 73.578 -169.5618
81.665046 73.573 -169.6844
82.031257 73.569 -169.8078
82.397468 73.566 -169.9346
82.763679 73.563 -170.0651
83.129890 73.559 -170.1976
83.496101 73.554 -170.3302
83.862311 73.550 -170.4613
84.228522 73.545 -170.5906
84.594733 73.540 -170.7186
84.960944 73.536 -170.8455
85.327155 73.531 -170.9710
85.693366 73.526 -171.0947
86.059577 73.520 -171.2160
86.425788 73.515 -171.3350
86.791999 73.510 -171.4520
87.158210 73.505 -171.5674
87.524421 73.500 -171.6814
87.890632 73.496 -171.7942
88.256843 73.491 -171.9062
88.623054 73.486 -172.0179
88.989265 73.482 -172.1299
89.355476 73.478 -172.2427
89.721687 73.473 -172.3561
90.087898 73.468 -172.4698
90.454109 73.464 -172.5833
90.820320 73.459 -172.6960
91.186531 73.453 -172.8081
91.552742 73.448 -172.9193
91.918953 73.443 -173.0296
92.285164 73.438 -173.1386
92.651375 73.433 -173.2464
93.017586 73.427 -173.3532
93.383797 73.422 -173.4595
93.750008 73.417 -173.5655
94.116219 73.412 -173.6714
94.482430 73.407 -173.7764
94.848641 73.402 -173.8799
95.214851 73.396 -173.9814
95.581062 73.391 -174.0811
95.947273 73.386 -174.1799
96.313484 73.382 -174.2788
96.679695 73.377 -174.3783
97.045906 73.372 -174.4782
97.412117 73.367 -174.5777
97.778328 73.361 -174.6760
98.144539 73.356 -174.7728
98.510750 73.351 -174.8684
98.876961 73.345 -174.9631
99.243172 73.340 -175.0575
99.609383 73.335 -175.1520
99.975594 73.330 -175.2465
100.341805 73.325 -175.3411
100.708016 73.320 -175.4357
101.074227 73.314 -175.5302
101.440438 73.309 -175.6244
101.806649 73.304 -175.7179
102.172860 73.298 -175.8104
102.539071 73.293 -175.9021
102.905282 73.288 -175.9934
103.271493 73.283 -176.0845
103.637704 73.277 -176.1753
104.003915 73.272 -176.2653
104.370126 73.267 -176.3540
104.736337 73.261 -176.4411
105.102548 73.256 -176.5271
105.468759 73.251 -176.6126
105.834970 73.247 -176.6984
106.201180 73.242 -176.7847
106.567391 73.237 -176.8712
106.933602 73.232 -176.9573
107.299813 73.226 -177.0426
107.666024 73.221 -177.1268
108.032235 73.216 -177.2100
108.398446 73.210 -177.2922
108.764657 73.205 -177.3736
109.130868 73.200 -177.4546
109.497079 73.194 -177.5356
109.863290 73.189 -177.6169
110.229501 73.184 -177.6988
110.595712 73.178 -177.7809
110.961923 73.173 -177.8625
111.328134 73.167 -177.9429
111.694345 73.161 -178.0217
112.060556 73.155 -178.0989
112.426767 73.149 -178.1751
112.792978 73.144 -178.2508
113.159189 73.138 -178.3261
113.525400 73.133 -178.4010
113.891611 73.127 -178.4754
114.257822 73.122 -178.5491
114.624033 73.117 -178.6228
114.990244 73.112 -178.6969
115.356455 73.107 -178.7722
115.722666 73.102 -178.8486
116.088877 73.097 -178.9258
116.455088 73.091 -179.0028
116.821299 73.086 -179.0786
117.187510 73.080 -179.1526
117.553720 73.075 -179.2247
117.919931 73.069 -179.2953
118.286142 73.064 -179.3653
118.652353 73.059 -179.4353
119.018564 73.054 -179.5058
119.384775 73.049 -179.5770
119.750986 73.043 -179.6485
120.117197 73.038 -179.7196
120.483408 73.032 -179.7900
120.849619 73.027 -179.8591
121.215830 73.021 -179.9268
121.582041 73.015 -179.9933
121.948252 73.010 179.9408
122.314463 73.005 179.8751
122.680674 72.999 179.8092
123.046885 72.994 179.7429
123.413096 72.989 179.6763
123.779307 72.983 179.6097
124.145518 72.978 179.5435
124.511729 72.973 179.4779
124.877940 72.968 179.4130
125.244151 72.963 179.3490
125.610362 72.958 179.2856
125.976573 72.953 179.2231
126.342784 72.949 179.1612
126.708995 72.945 179.0998
127.075206 72.941 179.0386
127.441417 72.937 178.9776
127.807628 72.933 178.9164
128.173839 72.929 178.8552
128.540049 72.925 178.7939
128.906260 72.921 178.7328
129.272471 72.917 178.6721
129.638682 72.913 178.6120
130.004893 72.908 178.5526
130.371104 72.904 178.4938
130.737315 72.900 178.4359
131.103526 72.896 178.3785
131.469737 72.892 178.3214
131.835948 72.888 178.2642
132.202159 72.884 178.2068
132.568370 72.880 178.1494
132.934581 72.876 178.0919
133.300792 72.872 178.0349
133.667003 72.868 177.9784
134.033214 72.864 177.9224
134.399425 72.860 177.8667
134.765636 72.856 177.8110
135.131847 72.852 177.7551
135.498058 72.848 177.6989
135.864269 72.844 177.6427
136.230480 72.840 177.5865
136.596691 72.836 177.5306
136.962902 72.832 177.4753
137.329113 72.827 177.4207
137.695324 72.823 177.3669
138.061535 72.819 177.3141
138.427746 72.814 177.2620
138.793957 72.810 177.2105
139.160168 72.806 177.1594
139.526379 72.802 177.1084
139.892589 72.798 177.0574
140.258800 72.794 177.0063
140.625011 72.789 176.9550
140.991222 72.785 176.9035
141.357433 72.781 176.8521
141.723644 72.777 176.8008
142.089855 72.773 176.7498
142.456066 72.769 176.6993
142.822277 72.765 176.6495
143.188488 72.760 176.6003
143.554699 72.756 176.5516
143.920910 72.752 176.5034
144.287121 72.748 176.4555
