* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 2, 2023 7:41:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fan 2 S2 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.491 -22.9606
0.732422 62.561 -45.6730
1.098633 58.783 -67.5118
1.464844 51.068 -84.6748
1.831055 41.979 30.9602
2.197266 52.887 30.7554
2.563477 55.682 11.3426
2.929688 55.947 -7.8696
3.295899 54.690 -22.8050
3.662110 52.719 -27.3332
4.028321 52.196 -19.0169
4.394532 54.203 -15.0309
4.760743 56.534 -21.9959
5.126954 58.187 -33.0326
5.493164 59.167 -43.1872
5.859375 59.744 -49.9158
6.225586 60.319 -52.7600
6.591797 61.189 -53.6110
6.958008 62.286 -54.9854
7.324219 63.333 -57.6668
7.690430 64.161 -60.8981
8.056641 64.774 -63.6934
8.422852 65.280 -65.6218
8.789063 65.784 -66.9604
9.155274 66.309 -68.2977
9.521485 66.810 -69.9742
9.887696 67.241 -71.9112
10.253907 67.527 -73.8490
10.620118 67.739 -75.6364
10.986329 67.943 -77.3259
11.352540 68.148 -79.0601
11.718751 68.345 -80.9090
12.084962 68.523 -82.8228
12.451173 68.686 -84.7088
12.817384 68.890 -86.5237
13.183595 69.103 -88.2887
13.549806 69.314 -90.0349
13.916017 69.517 -91.7523
14.282228 69.708 -93.3954
14.648439 69.891 -94.9305
15.014650 70.072 -96.3675
15.380861 70.250 -97.7465
15.747072 70.421 -99.0968
16.113283 70.583 -100.4135
16.479493 70.739 -101.6698
16.845704 70.883 -102.8477
17.211915 71.018 -103.9556
17.578126 71.146 -105.0202
17.944337 71.269 -106.0682
18.310548 71.384 -107.1155
18.676759 71.492 -108.1687
19.042970 71.590 -109.2293
19.409181 71.679 -110.2918
19.775392 71.759 -111.3416
20.141603 71.833 -112.3609
20.507814 71.906 -113.3413
20.874025 71.980 -114.2925
21.240236 72.057 -115.2352
21.606447 72.133 -116.1839
21.972658 72.208 -117.1342
22.338869 72.278 -118.0684
22.705080 72.346 -118.9719
23.071291 72.413 -119.8445
23.437502 72.479 -120.6958
23.803713 72.542 -121.5301
24.169924 72.601 -122.3389
24.536135 72.655 -123.1075
24.902346 72.707 -123.8317
25.268557 72.761 -124.5260
25.634768 72.815 -125.2154
26.000979 72.867 -125.9164
26.367190 72.913 -126.6255
26.733401 72.952 -127.3229
27.099612 72.985 -127.9892
27.465823 73.016 -128.6200
27.832033 73.048 -129.2284
28.198244 73.082 -129.8352
28.564455 73.116 -130.4549
28.930666 73.148 -131.0871
29.296877 73.176 -131.7187
29.663088 73.200 -132.3327
30.029299 73.224 -132.9186
30.395510 73.249 -133.4787
30.761721 73.276 -134.0268
31.127932 73.306 -134.5792
31.494143 73.336 -135.1446
31.860354 73.363 -135.7179
32.226565 73.385 -136.2830
32.592776 73.403 -136.8236
32.958987 73.420 -137.3327
33.325198 73.436 -137.8153
33.691409 73.454 -138.2834
34.057620 73.472 -138.7464
34.423831 73.490 -139.2065
34.790042 73.506 -139.6611
35.156253 73.520 -140.1082
35.522464 73.535 -140.5494
35.888675 73.548 -140.9879
36.254886 73.560 -141.4247
36.621097 73.571 -141.8564
36.987308 73.581 -142.2782
37.353519 73.591 -142.6882
37.719730 73.602 -143.0900
38.085941 73.613 -143.4908
38.452152 73.626 -143.8969
38.818363 73.638 -144.3098
39.184573 73.648 -144.7255
39.550784 73.655 -145.1364
39.916995 73.662 -145.5352
40.283206 73.668 -145.9179
40.649417 73.674 -146.2848
41.015628 73.680 -146.6400
41.381839 73.688 -146.9886
41.748050 73.695 -147.3344
42.114261 73.703 -147.6785
42.480472 73.710 -148.0196
42.846683 73.716 -148.3561
43.212894 73.722 -148.6878
43.579105 73.728 -149.0162
43.945316 73.734 -149.3429
44.311527 73.740 -149.6685
44.677738 73.745 -149.9921
45.043949 73.750 -150.3121
45.410160 73.754 -150.6273
45.776371 73.758 -150.9382
46.142582 73.762 -151.2456
46.508793 73.766 -151.5502
46.875004 73.769 -151.8518
47.241215 73.773 -152.1493
47.607426 73.775 -152.4412
47.973637 73.777 -152.7260
48.339848 73.779 -153.0032
48.706059 73.782 -153.2735
49.072270 73.784 -153.5394
49.438481 73.787 -153.8040
49.804692 73.790 -154.0699
50.170902 73.793 -154.3377
50.537113 73.795 -154.6057
50.903324 73.796 -154.8711
51.269535 73.797 -155.1312
51.635746 73.797 -155.3854
52.001957 73.797 -155.6349
52.368168 73.797 -155.8822
52.734379 73.797 -156.1292
53.100590 73.798 -156.3762
53.466801 73.798 -156.6215
53.833012 73.797 -156.8621
54.199223 73.797 -157.0963
54.565434 73.797 -157.3254
54.931645 73.799 -157.5535
55.297856 73.801 -157.7853
55.664067 73.803 -158.0228
56.030278 73.804 -158.2629
56.396489 73.804 -158.4986
56.762700 73.803 -158.7238
57.128911 73.802 -158.9372
57.495122 73.802 -159.1434
57.861333 73.803 -159.3498
58.227544 73.804 -159.5613
58.593755 73.804 -159.7772
58.959966 73.803 -159.9921
59.326177 73.801 -160.1999
59.692388 73.799 -160.3986
60.058599 73.797 -160.5906
60.424810 73.796 -160.7809
60.791021 73.794 -160.9729
61.157232 73.793 -161.1666
61.523442 73.791 -161.3597
61.889653 73.789 -161.5499
62.255864 73.787 -161.7373
62.622075 73.785 -161.9237
62.988286 73.783 -162.1114
63.354497 73.781 -162.3006
63.720708 73.778 -162.4899
64.086919 73.774 -162.6772
64.453130 73.771 -162.8610
64.819341 73.767 -163.0414
65.185552 73.763 -163.2196
65.551763 73.760 -163.3963
65.917974 73.757 -163.5720
66.284185 73.754 -163.7464
66.650396 73.751 -163.9198
67.016607 73.748 -164.0927
67.382818 73.745 -164.2652
67.749029 73.741 -164.4364
68.115240 73.737 -164.6042
68.481451 73.733 -164.7666
68.847662 73.729 -164.9234
69.213873 73.725 -165.0764
69.580084 73.722 -165.2292
69.946295 73.720 -165.3846
70.312506 73.717 -165.5432
70.678717 73.714 -165.7030
71.044928 73.710 -165.8615
71.411139 73.706 -166.0170
71.777350 73.702 -166.1696
72.143561 73.698 -166.3210
72.509771 73.695 -166.4726
72.875982 73.691 -166.6248
73.242193 73.687 -166.7768
73.608404 73.682 -166.9273
73.974615 73.678 -167.0756
74.340826 73.673 -167.2219
74.707037 73.669 -167.3671
75.073248 73.665 -167.5119
75.439459 73.661 -167.6567
75.805670 73.656 -167.8010
76.171881 73.652 -167.9438
76.538092 73.647 -168.0836
76.904303 73.642 -168.2196
77.270514 73.638 -168.3520
77.636725 73.634 -168.4818
78.002936 73.630 -168.6110
78.369147 73.626 -168.7408
78.735358 73.622 -168.8706
79.101569 73.618 -168.9984
79.467780 73.613 -169.1217
79.833991 73.609 -169.2396
80.200202 73.606 -169.3540
80.566413 73.603 -169.4694
80.932624 73.602 -169.5907
81.298835 73.600 -169.7208
81.665046 73.597 -169.8589
82.031257 73.593 -170.0009
82.397468 73.588 -170.1408
82.763679 73.581 -170.2737
83.129890 73.574 -170.3976
83.496101 73.567 -170.5143
83.862311 73.562 -170.6277
84.228522 73.557 -170.7422
84.594733 73.552 -170.8599
84.960944 73.548 -170.9797
85.327155 73.543 -171.0984
85.693366 73.538 -171.2131
86.059577 73.533 -171.3234
86.425788 73.530 -171.4325
86.791999 73.527 -171.5453
87.158210 73.525 -171.6657
87.524421 73.523 -171.7938
87.890632 73.519 -171.9251
88.256843 73.513 -172.0533
88.623054 73.506 -172.1732
88.989265 73.499 -172.2835
89.355476 73.493 -172.3867
89.721687 73.487 -172.4868
90.087898 73.482 -172.5872
90.454109 73.477 -172.6889
90.820320 73.472 -172.7911
91.186531 73.467 -172.8930
91.552742 73.463 -172.9946
91.918953 73.458 -173.0968
92.285164 73.453 -173.2004
92.651375 73.448 -173.3051
93.017586 73.443 -173.4098
93.383797 73.437 -173.5127
93.750008 73.432 -173.6133
94.116219 73.427 -173.7120
94.482430 73.422 -173.8100
94.848641 73.417 -173.9087
95.214851 73.413 -174.0084
95.581062 73.409 -174.1090
95.947273 73.404 -174.2094
96.313484 73.400 -174.3088
96.679695 73.395 -174.4065
97.045906 73.390 -174.5025
97.412117 73.385 -174.5967
97.778328 73.380 -174.6892
98.144539 73.375 -174.7796
98.510750 73.370 -174.8679
98.876961 73.365 -174.9544
99.243172 73.360 -175.0399
99.609383 73.356 -175.1257
99.975594 73.351 -175.2129
100.341805 73.347 -175.3020
100.708016 73.342 -175.3927
101.074227 73.337 -175.4841
101.440438 73.332 -175.5754
101.806649 73.326 -175.6658
102.172860 73.321 -175.7552
102.539071 73.315 -175.8436
102.905282 73.310 -175.9312
103.271493 73.304 -176.0180
103.637704 73.299 -176.1043
104.003915 73.294 -176.1904
104.370126 73.289 -176.2767
104.736337 73.284 -176.3633
105.102548 73.279 -176.4501
105.468759 73.274 -176.5364
105.834970 73.269 -176.6213
106.201180 73.264 -176.7045
106.567391 73.259 -176.7857
106.933602 73.254 -176.8654
107.299813 73.249 -176.9442
107.666024 73.244 -177.0226
108.032235 73.239 -177.1009
108.398446 73.234 -177.1788
108.764657 73.229 -177.2563
109.130868 73.224 -177.3329
109.497079 73.219 -177.4084
109.863290 73.214 -177.4827
110.229501 73.209 -177.5558
110.595712 73.204 -177.6284
110.961923 73.199 -177.7009
111.328134 73.194 -177.7740
111.694345 73.189 -177.8478
112.060556 73.184 -177.9225
112.426767 73.179 -177.9977
112.792978 73.174 -178.0727
113.159189 73.169 -178.1470
113.525400 73.164 -178.2205
113.891611 73.159 -178.2933
114.257822 73.154 -178.3658
114.624033 73.149 -178.4383
114.990244 73.144 -178.5113
115.356455 73.139 -178.5846
115.722666 73.134 -178.6579
116.088877 73.130 -178.7309
116.455088 73.125 -178.8033
116.821299 73.120 -178.8751
117.187510 73.115 -178.9463
117.553720 73.110 -179.0173
117.919931 73.105 -179.0880
118.286142 73.100 -179.1585
118.652353 73.094 -179.2281
119.018564 73.089 -179.2966
119.384775 73.083 -179.3634
119.750986 73.078 -179.4285
120.117197 73.072 -179.4922
120.483408 73.067 -179.5553
120.849619 73.062 -179.6185
121.215830 73.057 -179.6824
121.582041 73.052 -179.7471
121.948252 73.047 -179.8123
122.314463 73.042 -179.8774
122.680674 73.036 -179.9420
123.046885 73.031 179.9939
123.413096 73.026 179.9300
123.779307 73.021 179.8658
124.145518 73.017 179.8015
124.511729 73.012 179.7375
124.877940 73.007 179.6743
125.244151 73.003 179.6125
125.610362 72.998 179.5523
125.976573 72.995 179.4929
126.342784 72.991 179.4335
126.708995 72.988 179.3736
127.075206 72.984 179.3130
127.441417 72.981 179.2523
127.807628 72.977 179.1921
128.173839 72.973 179.1330
128.540049 72.969 179.0752
128.906260 72.966 179.0182
129.272471 72.962 178.9617
129.638682 72.958 178.9054
130.004893 72.954 178.8492
130.371104 72.950 178.7936
130.737315 72.946 178.7387
131.103526 72.942 178.6848
131.469737 72.938 178.6318
131.835948 72.934 178.5790
132.202159 72.930 178.5261
132.568370 72.927 178.4726
132.934581 72.923 178.4183
133.300792 72.919 178.3635
133.667003 72.916 178.3085
134.033214 72.912 178.2536
134.399425 72.908 178.1991
134.765636 72.905 178.1450
135.131847 72.901 178.0915
135.498058 72.897 178.0385
135.864269 72.893 177.9860
136.230480 72.889 177.9339
136.596691 72.886 177.8821
136.962902 72.882 177.8305
137.329113 72.878 177.7788
137.695324 72.874 177.7271
138.061535 72.870 177.6755
138.427746 72.866 177.6244
138.793957 72.862 177.5740
139.160168 72.858 177.5246
139.526379 72.854 177.4761
139.892589 72.850 177.4282
140.258800 72.846 177.3804
140.625011 72.842 177.3323
140.991222 72.838 177.2838
141.357433 72.834 177.2348
141.723644 72.830 177.1855
142.089855 72.826 177.1362
142.456066 72.823 177.0870
142.822277 72.819 177.0379
143.188488 72.815 176.9890
143.554699 72.811 176.9404
143.920910 72.808 176.8920
144.287121 72.804 176.8439
