* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2023 6:25:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Serial L Foam
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.010 174.2210
0.732422 61.383 167.2417
1.098633 61.832 158.7821
1.464844 62.269 149.4384
1.831055 62.708 140.1091
2.197266 63.238 131.4521
2.563477 63.948 123.5593
2.929688 64.854 116.0368
3.295899 65.873 108.4768
3.662110 66.882 100.8435
4.028321 67.786 93.4586
4.394532 68.547 86.7586
4.760743 69.185 81.0553
5.126954 69.748 76.3899
5.493164 70.278 72.5283
5.859375 70.786 69.1206
6.225586 71.251 65.9160
6.591797 71.648 62.8632
6.958008 71.970 60.0439
7.324219 72.229 57.5372
7.690430 72.451 55.3226
8.056641 72.650 53.2852
8.422852 72.831 51.2989
8.789063 72.985 49.3056
9.155274 73.109 47.3247
9.521485 73.207 45.4032
9.887696 73.287 43.5605
10.253907 73.289 41.7739
10.620118 73.259 40.0074
10.986329 73.227 38.2467
11.352540 73.194 36.5096
11.718751 73.159 34.8257
12.084962 73.126 33.2132
12.451173 73.099 31.6720
12.817384 73.124 30.1947
13.183595 73.158 28.7802
13.549806 73.192 27.4342
13.916017 73.224 26.1611
14.282228 73.253 24.9581
14.648439 73.279 23.8178
15.014650 73.301 22.7350
15.380861 73.317 21.7083
15.747072 73.328 20.7343
16.113283 73.340 19.8021
16.479493 73.358 18.8952
16.845704 73.372 18.0001
17.211915 73.379 17.1143
17.578126 73.381 16.2438
17.944337 73.379 15.3941
18.310548 73.376 14.5610
18.676759 73.373 13.7322
19.042970 73.371 12.8967
19.409181 73.368 12.0528
19.775392 73.365 11.2097
20.141603 73.362 10.3803
20.507814 73.361 9.5726
20.874025 73.363 8.7874
21.240236 73.367 8.0208
21.606447 73.372 7.2700
21.972658 73.378 6.5360
22.338869 73.384 5.8226
22.705080 73.389 5.1336
23.071291 73.394 4.4703
23.437502 73.397 3.8312
23.803713 73.400 3.2130
24.169924 73.402 2.6113
24.536135 73.402 2.0225
24.902346 73.400 1.4445
25.268557 73.396 0.8760
25.634768 73.391 0.3154
26.000979 73.384 -0.2400
26.367190 73.377 -0.7939
26.733401 73.368 -1.3486
27.099612 73.358 -1.9036
27.465823 73.347 -2.4560
27.832033 73.336 -3.0025
28.198244 73.325 -3.5427
28.564455 73.315 -4.0790
28.930666 73.307 -4.6150
29.296877 73.300 -5.1521
29.663088 73.293 -5.6881
30.029299 73.285 -6.2187
30.395510 73.277 -6.7395
30.761721 73.270 -7.2475
31.127932 73.262 -7.7417
31.494143 73.254 -8.2224
31.860354 73.247 -8.6915
32.226565 73.240 -9.1517
32.592776 73.233 -9.6066
32.958987 73.225 -10.0594
33.325198 73.217 -10.5106
33.691409 73.207 -10.9588
34.057620 73.196 -11.4011
34.423831 73.183 -11.8357
34.790042 73.170 -12.2627
35.156253 73.157 -12.6840
35.522464 73.144 -13.1020
35.888675 73.131 -13.5181
36.254886 73.118 -13.9332
36.621097 73.105 -14.3478
36.987308 73.092 -14.7628
37.353519 73.080 -15.1785
37.719730 73.067 -15.5944
38.085941 73.055 -16.0080
38.452152 73.041 -16.4164
38.818363 73.028 -16.8168
39.184573 73.014 -17.2088
39.550784 73.002 -17.5937
39.916995 72.990 -17.9739
40.283206 72.979 -18.3514
40.649417 72.968 -18.7266
41.015628 72.958 -19.0990
41.381839 72.947 -19.4686
41.748050 72.937 -19.8371
42.114261 72.927 -20.2073
42.480472 72.917 -20.5812
42.846683 72.905 -20.9577
43.212894 72.892 -21.3318
43.579105 72.877 -21.6970
43.945316 72.862 -22.0490
44.311527 72.847 -22.3881
44.677738 72.834 -22.7200
45.043949 72.823 -23.0524
45.410160 72.813 -23.3917
45.776371 72.803 -23.7394
46.142582 72.791 -24.0923
46.508793 72.778 -24.4441
46.875004 72.764 -24.7887
47.241215 72.749 -25.1227
47.607426 72.734 -25.4469
47.973637 72.720 -25.7652
48.339848 72.707 -26.0829
48.706059 72.695 -26.4038
49.072270 72.682 -26.7283
49.438481 72.669 -27.0539
49.804692 72.655 -27.3771
50.170902 72.640 -27.6960
50.537113 72.626 -28.0115
50.903324 72.613 -28.3262
51.269535 72.600 -28.6423
51.635746 72.586 -28.9594
52.001957 72.572 -29.2751
52.368168 72.558 -29.5867
52.734379 72.544 -29.8932
53.100590 72.531 -30.1964
53.466801 72.519 -30.4988
53.833012 72.506 -30.8026
54.199223 72.494 -31.1073
54.565434 72.481 -31.4106
54.931645 72.467 -31.7096
55.297856 72.454 -32.0026
55.664067 72.441 -32.2899
56.030278 72.428 -32.5737
56.396489 72.415 -32.8566
56.762700 72.403 -33.1404
57.128911 72.390 -33.4249
57.495122 72.377 -33.7087
57.861333 72.364 -33.9902
58.227544 72.350 -34.2691
58.593755 72.337 -34.5466
58.959966 72.324 -34.8247
59.326177 72.310 -35.1048
59.692388 72.296 -35.3860
60.058599 72.281 -35.6656
60.424810 72.266 -35.9409
60.791021 72.250 -36.2103
61.157232 72.235 -36.4746
61.523442 72.221 -36.7355
61.889653 72.206 -36.9950
62.255864 72.193 -37.2539
62.622075 72.179 -37.5125
62.988286 72.165 -37.7711
63.354497 72.152 -38.0302
63.720708 72.138 -38.2905
64.086919 72.124 -38.5514
64.453130 72.109 -38.8118
64.819341 72.094 -39.0703
65.185552 72.079 -39.3266
65.551763 72.064 -39.5813
65.917974 72.049 -39.8359
66.284185 72.034 -40.0904
66.650396 72.019 -40.3438
67.016607 72.003 -40.5942
67.382818 71.988 -40.8412
67.749029 71.972 -41.0858
68.115240 71.958 -41.3301
68.481451 71.943 -41.5757
68.847662 71.928 -41.8221
69.213873 71.913 -42.0673
69.580084 71.899 -42.3094
69.946295 71.884 -42.5486
70.312506 71.870 -42.7873
70.678717 71.857 -43.0282
71.044928 71.843 -43.2724
71.411139 71.829 -43.5181
71.777350 71.814 -43.7618
72.143561 71.799 -44.0004
72.509771 71.784 -44.2328
72.875982 71.769 -44.4604
73.242193 71.754 -44.6852
73.608404 71.740 -44.9092
73.974615 71.726 -45.1333
74.340826 71.713 -45.3585
74.707037 71.699 -45.5856
75.073248 71.686 -45.8153
75.439459 71.672 -46.0470
75.805670 71.657 -46.2783
76.171881 71.641 -46.5059
76.538092 71.625 -46.7276
76.904303 71.609 -46.9441
77.270514 71.594 -47.1587
77.636725 71.580 -47.3755
78.002936 71.566 -47.5960
78.369147 71.551 -47.8191
78.735358 71.536 -48.0412
79.101569 71.521 -48.2598
79.467780 71.506 -48.4751
79.833991 71.491 -48.6895
80.200202 71.477 -48.9060
80.566413 71.463 -49.1253
80.932624 71.449 -49.3457
81.298835 71.435 -49.5640
81.665046 71.420 -49.7782
82.031257 71.406 -49.9883
82.397468 71.393 -50.1965
82.763679 71.380 -50.4051
83.129890 71.367 -50.6152
83.496101 71.354 -50.8259
83.862311 71.341 -51.0352
84.228522 71.328 -51.2409
84.594733 71.315 -51.4422
84.960944 71.303 -51.6395
85.327155 71.291 -51.8352
85.693366 71.280 -52.0324
86.059577 71.269 -52.2343
86.425788 71.258 -52.4422
86.791999 71.246 -52.6548
87.158210 71.232 -52.8679
87.524421 71.217 -53.0764
87.890632 71.201 -53.2771
88.256843 71.185 -53.4701
88.623054 71.169 -53.6586
88.989265 71.154 -53.8468
89.355476 71.139 -54.0368
89.721687 71.124 -54.2280
90.087898 71.108 -54.4180
90.454109 71.093 -54.6052
90.820320 71.078 -54.7900
91.186531 71.063 -54.9749
91.552742 71.049 -55.1627
91.918953 71.036 -55.3543
92.285164 71.022 -55.5484
92.651375 71.007 -55.7426
93.017586 70.993 -55.9347
93.383797 70.979 -56.1244
93.750008 70.965 -56.3126
94.116219 70.952 -56.5007
94.482430 70.938 -56.6893
94.848641 70.925 -56.8782
95.214851 70.911 -57.0663
95.581062 70.898 -57.2525
95.947273 70.884 -57.4360
96.313484 70.870 -57.6168
96.679695 70.857 -57.7955
97.045906 70.844 -57.9731
97.412117 70.831 -58.1507
97.778328 70.818 -58.3285
98.144539 70.804 -58.5062
98.510750 70.791 -58.6833
98.876961 70.777 -58.8590
99.243172 70.764 -59.0332
99.609383 70.750 -59.2061
99.975594 70.737 -59.3784
100.341805 70.724 -59.5505
100.708016 70.711 -59.7229
101.074227 70.698 -59.8956
101.440438 70.685 -60.0688
101.806649 70.673 -60.2426
102.172860 70.660 -60.4168
102.539071 70.647 -60.5908
102.905282 70.634 -60.7641
103.271493 70.621 -60.9363
103.637704 70.608 -61.1073
104.003915 70.595 -61.2776
104.370126 70.582 -61.4477
104.736337 70.569 -61.6178
105.102548 70.556 -61.7876
105.468759 70.543 -61.9566
105.834970 70.529 -62.1243
106.201180 70.516 -62.2907
106.567391 70.503 -62.4559
106.933602 70.490 -62.6201
107.299813 70.476 -62.7833
107.666024 70.463 -62.9451
108.032235 70.450 -63.1055
108.398446 70.438 -63.2648
108.764657 70.425 -63.4235
109.130868 70.413 -63.5826
109.497079 70.401 -63.7425
109.863290 70.389 -63.9030
110.229501 70.376 -64.0637
110.595712 70.364 -64.2237
110.961923 70.352 -64.3828
111.328134 70.339 -64.5406
111.694345 70.327 -64.6974
112.060556 70.315 -64.8535
112.426767 70.302 -65.0091
112.792978 70.290 -65.1643
113.159189 70.278 -65.3193
113.525400 70.266 -65.4742
113.891611 70.253 -65.6290
114.257822 70.241 -65.7837
114.624033 70.229 -65.9381
114.990244 70.216 -66.0919
115.356455 70.204 -66.2448
115.722666 70.191 -66.3967
116.088877 70.179 -66.5481
116.455088 70.167 -66.6996
116.821299 70.155 -66.8519
117.187510 70.144 -67.0052
117.553720 70.132 -67.1595
117.919931 70.120 -67.3140
118.286142 70.108 -67.4679
118.652353 70.096 -67.6205
119.018564 70.083 -67.7715
119.384775 70.072 -67.9212
119.750986 70.060 -68.0702
120.117197 70.048 -68.2193
120.483408 70.037 -68.3690
120.849619 70.025 -68.5191
121.215830 70.013 -68.6687
121.582041 70.001 -68.8167
121.948252 69.989 -68.9620
122.314463 69.977 -69.1040
122.680674 69.965 -69.2432
123.046885 69.953 -69.3807
123.413096 69.941 -69.5178
123.779307 69.930 -69.6556
124.145518 69.919 -69.7942
124.511729 69.908 -69.9333
124.877940 69.897 -70.0722
125.244151 69.886 -70.2104
125.610362 69.876 -70.3478
125.976573 69.865 -70.4844
126.342784 69.855 -70.6206
126.708995 69.845 -70.7566
127.075206 69.835 -70.8927
127.441417 69.825 -71.0290
127.807628 69.815 -71.1657
128.173839 69.805 -71.3030
128.540049 69.796 -71.4408
128.906260 69.786 -71.5789
129.272471 69.776 -71.7169
129.638682 69.766 -71.8548
130.004893 69.756 -71.9923
130.371104 69.746 -72.1295
130.737315 69.736 -72.2664
131.103526 69.727 -72.4029
131.469737 69.716 -72.5389
131.835948 69.706 -72.6738
132.202159 69.696 -72.8074
132.568370 69.686 -72.9395
132.934581 69.677 -73.0705
133.300792 69.667 -73.2009
133.667003 69.657 -73.3311
134.033214 69.648 -73.4615
134.399425 69.639 -73.5923
134.765636 69.630 -73.7234
135.131847 69.620 -73.8544
135.498058 69.611 -73.9852
135.864269 69.601 -74.1155
136.230480 69.592 -74.2449
136.596691 69.582 -74.3732
136.962902 69.573 -74.5001
137.329113 69.563 -74.6257
137.695324 69.554 -74.7502
138.061535 69.545 -74.8742
138.427746 69.536 -74.9982
138.793957 69.527 -75.1225
139.160168 69.518 -75.2473
139.526379 69.509 -75.3724
139.892589 69.500 -75.4976
140.258800 69.491 -75.6227
140.625011 69.482 -75.7473
140.991222 69.473 -75.8714
141.357433 69.463 -75.9947
141.723644 69.454 -76.1172
142.089855 69.445 -76.2391
142.456066 69.436 -76.3607
142.822277 69.427 -76.4822
143.188488 69.418 -76.6039
143.554699 69.408 -76.7257
143.920910 69.399 -76.8473
144.287121 69.390 -76.9685
144.653332 69.381 -77.0892
