* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2023 6:26:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Serial R Foam
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.268 -25.6844
0.732422 67.174 -53.1889
1.098633 63.313 -87.1756
1.464844 58.267 -143.9407
1.831055 58.582 143.3983
2.197266 60.799 106.1559
2.563477 61.043 90.3181
2.929688 60.346 92.7081
3.295899 61.433 107.1086
3.662110 64.162 112.3376
4.028321 66.361 107.7370
4.394532 67.575 100.0394
4.760743 68.008 93.2290
5.126954 68.047 89.3549
5.493164 68.164 88.3654
5.859375 68.628 87.9316
6.225586 69.291 85.7969
6.591797 69.864 81.8307
6.958008 70.211 77.2526
7.324219 70.379 73.2867
7.690430 70.514 70.4295
8.056641 70.741 68.2923
8.422852 71.070 66.1166
8.789063 71.421 63.5262
9.155274 71.718 60.7196
9.521485 71.945 58.1149
9.887696 72.134 55.9522
10.253907 72.256 54.1595
10.620118 72.360 52.5057
10.986329 72.460 50.8429
11.352540 72.536 49.1920
11.718751 72.583 47.6429
12.084962 72.615 46.2231
12.451173 72.642 44.8737
12.817384 72.708 43.5236
13.183595 72.766 42.1637
13.549806 72.808 40.8352
13.916017 72.841 39.5641
14.282228 72.876 38.3213
14.648439 72.912 37.0505
15.014650 72.946 35.7296
15.380861 72.972 34.3937
15.747072 72.993 33.0984
16.113283 73.020 31.8673
16.479493 73.064 30.6764
16.845704 73.115 29.4900
17.211915 73.165 28.3031
17.578126 73.210 27.1467
17.944337 73.251 26.0571
18.310548 73.292 25.0422
18.676759 73.334 24.0803
19.042970 73.376 23.1462
19.409181 73.414 22.2344
19.775392 73.445 21.3564
20.141603 73.473 20.5208
20.507814 73.498 19.7195
20.874025 73.521 18.9349
21.240236 73.540 18.1569
21.606447 73.554 17.3867
21.972658 73.564 16.6281
22.338869 73.573 15.8760
22.705080 73.582 15.1168
23.071291 73.589 14.3427
23.437502 73.593 13.5596
23.803713 73.595 12.7841
24.169924 73.596 12.0280
24.536135 73.599 11.2905
24.902346 73.605 10.5620
25.268557 73.614 9.8362
25.634768 73.623 9.1158
26.000979 73.633 8.4090
26.367190 73.642 7.7200
26.733401 73.652 7.0481
27.099612 73.661 6.3917
27.465823 73.668 5.7542
27.832033 73.674 5.1409
28.198244 73.679 4.5520
28.564455 73.684 3.9795
28.930666 73.689 3.4111
29.296877 73.692 2.8406
29.663088 73.692 2.2711
30.029299 73.689 1.7110
30.395510 73.684 1.1651
30.761721 73.678 0.6296
31.127932 73.674 0.0956
31.494143 73.669 -0.4436
31.860354 73.663 -0.9891
32.226565 73.657 -1.5366
32.592776 73.650 -2.0815
32.958987 73.644 -2.6215
33.325198 73.637 -3.1559
33.691409 73.631 -3.6844
34.057620 73.626 -4.2063
34.423831 73.621 -4.7218
34.790042 73.616 -5.2309
35.156253 73.611 -5.7327
35.522464 73.606 -6.2249
35.888675 73.600 -6.7052
36.254886 73.595 -7.1745
36.621097 73.590 -7.6364
36.987308 73.584 -8.0952
37.353519 73.578 -8.5522
37.719730 73.570 -9.0053
38.085941 73.561 -9.4509
38.452152 73.552 -9.8877
38.818363 73.542 -10.3181
39.184573 73.533 -10.7468
39.550784 73.524 -11.1769
39.916995 73.515 -11.6091
40.283206 73.506 -12.0420
40.649417 73.496 -12.4734
41.015628 73.487 -12.9021
41.381839 73.477 -13.3271
41.748050 73.467 -13.7478
42.114261 73.457 -14.1634
42.480472 73.448 -14.5745
42.846683 73.439 -14.9817
43.212894 73.430 -15.3858
43.579105 73.421 -15.7867
43.945316 73.412 -16.1841
44.311527 73.403 -16.5780
44.677738 73.393 -16.9691
45.043949 73.383 -17.3577
45.410160 73.373 -17.7427
45.776371 73.362 -18.1224
46.142582 73.351 -18.4957
46.508793 73.340 -18.8641
46.875004 73.330 -19.2303
47.241215 73.320 -19.5973
47.607426 73.310 -19.9659
47.973637 73.299 -20.3348
48.339848 73.288 -20.7023
48.706059 73.277 -21.0669
49.072270 73.265 -21.4283
49.438481 73.254 -21.7869
49.804692 73.242 -22.1425
50.170902 73.231 -22.4951
50.537113 73.220 -22.8447
50.903324 73.208 -23.1909
51.269535 73.196 -23.5333
51.635746 73.184 -23.8707
52.001957 73.173 -24.2030
52.368168 73.161 -24.5312
52.734379 73.150 -24.8581
53.100590 73.139 -25.1860
53.466801 73.127 -25.5154
53.833012 73.115 -25.8444
54.199223 73.102 -26.1705
54.565434 73.090 -26.4934
54.931645 73.078 -26.8148
55.297856 73.065 -27.1372
55.664067 73.053 -27.4611
56.030278 73.040 -27.7843
56.396489 73.027 -28.1036
56.762700 73.014 -28.4178
57.128911 73.002 -28.7292
57.495122 72.991 -29.0424
57.861333 72.980 -29.3604
58.227544 72.968 -29.6816
58.593755 72.954 -30.0002
58.959966 72.940 -30.3091
59.326177 72.926 -30.6047
59.692388 72.912 -30.8896
60.058599 72.900 -31.1709
60.424810 72.889 -31.4556
60.791021 72.879 -31.7468
61.157232 72.867 -32.0416
61.523442 72.855 -32.3348
61.889653 72.842 -32.6224
62.255864 72.829 -32.9047
62.622075 72.816 -33.1858
62.988286 72.804 -33.4701
63.354497 72.791 -33.7588
63.720708 72.777 -34.0488
64.086919 72.762 -34.3354
64.453130 72.747 -34.6155
64.819341 72.731 -34.8892
65.185552 72.717 -35.1597
65.551763 72.703 -35.4309
65.917974 72.690 -35.7046
66.284185 72.676 -35.9805
66.650396 72.663 -36.2566
67.016607 72.648 -36.5310
67.382818 72.634 -36.8026
67.749029 72.619 -37.0709
68.115240 72.605 -37.3362
68.481451 72.591 -37.5990
68.847662 72.576 -37.8596
69.213873 72.562 -38.1189
69.580084 72.549 -38.3773
69.946295 72.535 -38.6353
70.312506 72.521 -38.8928
70.678717 72.507 -39.1503
71.044928 72.493 -39.4075
71.411139 72.479 -39.6641
71.777350 72.465 -39.9194
72.143561 72.450 -40.1728
72.509771 72.436 -40.4240
72.875982 72.422 -40.6733
73.242193 72.407 -40.9216
73.608404 72.393 -41.1697
73.974615 72.379 -41.4180
74.340826 72.365 -41.6656
74.707037 72.350 -41.9115
75.073248 72.336 -42.1542
75.439459 72.321 -42.3934
75.805670 72.307 -42.6298
76.171881 72.293 -42.8650
76.538092 72.279 -43.1006
76.904303 72.266 -43.3378
77.270514 72.252 -43.5758
77.636725 72.238 -43.8132
78.002936 72.224 -44.0487
78.369147 72.209 -44.2820
78.735358 72.195 -44.5141
79.101569 72.182 -44.7466
79.467780 72.168 -44.9805
79.833991 72.154 -45.2150
80.200202 72.140 -45.4487
80.566413 72.125 -45.6801
80.932624 72.111 -45.9083
81.298835 72.096 -46.1339
81.665046 72.082 -46.3575
82.031257 72.068 -46.5800
82.397468 72.054 -46.8009
82.763679 72.040 -47.0204
83.129890 72.026 -47.2390
83.496101 72.013 -47.4576
83.862311 71.999 -47.6770
84.228522 71.986 -47.8971
84.594733 71.972 -48.1168
84.960944 71.958 -48.3351
85.327155 71.944 -48.5510
85.693366 71.930 -48.7655
86.059577 71.916 -48.9794
86.425788 71.903 -49.1934
86.791999 71.889 -49.4071
87.158210 71.875 -49.6198
87.524421 71.861 -49.8306
87.890632 71.848 -50.0399
88.256843 71.834 -50.2489
88.623054 71.821 -50.4587
88.989265 71.808 -50.6692
89.355476 71.794 -50.8792
89.721687 71.780 -51.0867
90.087898 71.765 -51.2907
90.454109 71.751 -51.4917
90.820320 71.738 -51.6912
91.186531 71.724 -51.8907
91.552742 71.711 -52.0914
91.918953 71.697 -52.2927
92.285164 71.684 -52.4941
92.651375 71.670 -52.6947
93.017586 71.656 -52.8943
93.383797 71.642 -53.0927
93.750008 71.627 -53.2895
94.116219 71.613 -53.4840
94.482430 71.599 -53.6763
94.848641 71.586 -53.8669
95.214851 71.572 -54.0577
95.581062 71.560 -54.2503
95.947273 71.547 -54.4457
96.313484 71.534 -54.6433
96.679695 71.521 -54.8411
97.045906 71.507 -55.0371
97.412117 71.494 -55.2299
97.778328 71.480 -55.4196
98.144539 71.467 -55.6072
98.510750 71.454 -55.7941
98.876961 71.441 -55.9809
99.243172 71.428 -56.1676
99.609383 71.415 -56.3538
99.975594 71.402 -56.5388
100.341805 71.389 -56.7227
100.708016 71.376 -56.9059
101.074227 71.364 -57.0889
101.440438 71.351 -57.2720
101.806649 71.338 -57.4550
102.172860 71.325 -57.6376
102.539071 71.311 -57.8192
102.905282 71.298 -57.9993
103.271493 71.285 -58.1779
103.637704 71.271 -58.3551
104.003915 71.258 -58.5316
104.370126 71.245 -58.7080
104.736337 71.232 -58.8849
105.102548 71.220 -59.0624
105.468759 71.207 -59.2400
105.834970 71.193 -59.4166
106.201180 71.180 -59.5913
106.567391 71.167 -59.7638
106.933602 71.154 -59.9341
107.299813 71.141 -60.1030
107.666024 71.128 -60.2712
108.032235 71.116 -60.4397
108.398446 71.104 -60.6088
108.764657 71.092 -60.7786
109.130868 71.080 -60.9495
109.497079 71.068 -61.1215
109.863290 71.056 -61.2942
110.229501 71.043 -61.4667
110.595712 71.030 -61.6380
110.961923 71.017 -61.8073
111.328134 71.004 -61.9739
111.694345 70.992 -62.1385
112.060556 70.979 -62.3018
112.426767 70.967 -62.4647
112.792978 70.955 -62.6278
113.159189 70.943 -62.7914
113.525400 70.930 -62.9554
113.891611 70.918 -63.1196
114.257822 70.906 -63.2838
114.624033 70.893 -63.4473
114.990244 70.881 -63.6097
115.356455 70.868 -63.7705
115.722666 70.855 -63.9297
116.088877 70.843 -64.0875
116.455088 70.830 -64.2446
116.821299 70.818 -64.4017
117.187510 70.806 -64.5592
117.553720 70.793 -64.7170
117.919931 70.781 -64.8748
118.286142 70.769 -65.0323
118.652353 70.756 -65.1894
119.018564 70.744 -65.3461
119.384775 70.732 -65.5024
119.750986 70.720 -65.6583
120.117197 70.708 -65.8137
120.483408 70.695 -65.9685
120.849619 70.683 -66.1228
121.215830 70.671 -66.2766
121.582041 70.659 -66.4301
121.948252 70.647 -66.5825
122.314463 70.635 -66.7338
122.680674 70.624 -66.8833
123.046885 70.612 -67.0313
123.413096 70.600 -67.1782
123.779307 70.589 -67.3248
124.145518 70.578 -67.4718
124.511729 70.567 -67.6196
124.877940 70.556 -67.7679
125.244151 70.545 -67.9162
125.610362 70.535 -68.0640
125.976573 70.524 -68.2108
126.342784 70.513 -68.3566
126.708995 70.503 -68.5011
127.075206 70.492 -68.6447
127.441417 70.482 -68.7876
127.807628 70.472 -68.9301
128.173839 70.462 -69.0723
128.540049 70.452 -69.2145
128.906260 70.442 -69.3566
129.272471 70.432 -69.4986
129.638682 70.422 -69.6404
130.004893 70.412 -69.7820
130.371104 70.403 -69.9237
130.737315 70.393 -70.0657
131.103526 70.383 -70.2079
131.469737 70.374 -70.3504
131.835948 70.364 -70.4928
132.202159 70.354 -70.6346
132.568370 70.344 -70.7753
132.934581 70.334 -70.9142
133.300792 70.323 -71.0511
133.667003 70.313 -71.1863
134.033214 70.303 -71.3199
134.399425 70.294 -71.4529
134.765636 70.284 -71.5859
135.131847 70.275 -71.7197
135.498058 70.265 -71.8542
135.864269 70.256 -71.9891
136.230480 70.246 -72.1239
136.596691 70.236 -72.2577
136.962902 70.226 -72.3901
137.329113 70.217 -72.5214
137.695324 70.207 -72.6519
138.061535 70.198 -72.7822
138.427746 70.188 -72.9129
138.793957 70.179 -73.0442
139.160168 70.170 -73.1760
139.526379 70.160 -73.3082
139.892589 70.151 -73.4403
140.258800 70.141 -73.5720
140.625011 70.131 -73.7032
140.991222 70.122 -73.8336
141.357433 70.112 -73.9634
141.723644 70.102 -74.0922
142.089855 70.093 -74.2202
142.456066 70.083 -74.3476
142.822277 70.074 -74.4744
143.188488 70.064 -74.6005
143.554699 70.055 -74.7259
143.920910 70.046 -74.8506
144.287121 70.036 -74.9749
144.653332 70.027 -75.0989
