* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 3:08:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZxHBB Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 54.886 -113.9944
0.732422 59.513 -142.4856
1.098633 60.566 -172.9554
1.464844 59.388 149.1854
1.831055 57.594 92.7400
2.197266 59.430 29.3619
2.563477 62.585 -10.8576
2.929688 64.428 -35.6643
3.295899 65.002 -50.5233
3.662110 64.956 -55.3741
4.028321 65.447 -51.8480
4.394532 67.029 -48.5255
4.760743 68.861 -50.7583
5.126954 70.247 -56.6384
5.493164 71.078 -63.1240
5.859375 71.524 -68.2148
6.225586 71.870 -71.2898
6.591797 72.346 -73.2200
6.958008 72.971 -75.4851
7.324219 73.598 -78.7670
7.690430 74.096 -82.6802
8.056641 74.443 -86.4567
8.422852 74.707 -89.5948
8.789063 74.972 -92.1320
9.155274 75.275 -94.4744
9.521485 75.590 -96.9641
9.887696 75.865 -99.6144
10.253907 76.010 -102.2072
10.620118 76.081 -104.5472
10.986329 76.140 -106.6206
11.352540 76.202 -108.5568
11.718751 76.260 -110.4761
12.084962 76.299 -112.3885
12.451173 76.318 -114.2290
12.817384 76.369 -115.9527
13.183595 76.423 -117.5873
13.549806 76.473 -119.1951
13.916017 76.514 -120.8037
14.282228 76.540 -122.3856
14.648439 76.555 -123.8994
15.014650 76.569 -125.3427
15.380861 76.584 -126.7549
15.747072 76.599 -128.1735
16.113283 76.612 -129.5934
16.479493 76.625 -130.9707
16.845704 76.635 -132.2681
17.211915 76.648 -133.4900
17.578126 76.666 -134.6749
17.944337 76.686 -135.8568
18.310548 76.703 -137.0336
18.676759 76.712 -138.1742
19.042970 76.716 -139.2494
19.409181 76.720 -140.2572
19.775392 76.726 -141.2205
20.141603 76.735 -142.1658
20.507814 76.744 -143.1054
20.874025 76.749 -144.0363
21.240236 76.749 -144.9473
21.606447 76.744 -145.8277
21.972658 76.736 -146.6713
22.338869 76.728 -147.4790
22.705080 76.721 -148.2643
23.071291 76.717 -149.0508
23.437502 76.714 -149.8593
23.803713 76.706 -150.6888
24.169924 76.690 -151.5106
24.536135 76.668 -152.2839
24.902346 76.645 -152.9840
25.268557 76.630 -153.6232
25.634768 76.625 -154.2444
26.000979 76.627 -154.8933
26.367190 76.631 -155.5898
26.733401 76.630 -156.3192
27.099612 76.621 -157.0461
27.465823 76.606 -157.7357
27.832033 76.587 -158.3701
28.198244 76.569 -158.9524
28.564455 76.556 -159.5002
28.930666 76.547 -160.0376
29.296877 76.540 -160.5850
29.663088 76.533 -161.1504
30.029299 76.522 -161.7250
30.395510 76.507 -162.2889
30.761721 76.489 -162.8244
31.127932 76.472 -163.3289
31.494143 76.458 -163.8175
31.860354 76.446 -164.3114
32.226565 76.435 -164.8214
32.592776 76.422 -165.3404
32.958987 76.405 -165.8494
33.325198 76.387 -166.3325
33.691409 76.371 -166.7893
34.057620 76.358 -167.2339
34.423831 76.348 -167.6841
34.790042 76.339 -168.1484
35.156253 76.327 -168.6214
35.522464 76.312 -169.0873
35.888675 76.295 -169.5303
36.254886 76.278 -169.9433
36.621097 76.262 -170.3322
36.987308 76.250 -170.7122
37.353519 76.240 -171.0991
37.719730 76.230 -171.4998
38.085941 76.217 -171.9081
38.452152 76.201 -172.3096
38.818363 76.183 -172.6909
39.184573 76.166 -173.0495
39.550784 76.151 -173.3954
39.916995 76.138 -173.7440
40.283206 76.127 -174.1058
40.649417 76.114 -174.4790
41.015628 76.100 -174.8534
41.381839 76.083 -175.2170
41.748050 76.066 -175.5641
42.114261 76.050 -175.8973
42.480472 76.035 -176.2239
42.846683 76.022 -176.5503
43.212894 76.009 -176.8788
43.579105 75.996 -177.2074
43.945316 75.982 -177.5325
44.311527 75.969 -177.8527
44.677738 75.955 -178.1695
45.043949 75.943 -178.4860
45.410160 75.929 -178.8041
45.776371 75.915 -179.1219
46.142582 75.899 -179.4332
46.508793 75.882 -179.7317
46.875004 75.865 179.9855
47.241215 75.850 179.7143
47.607426 75.837 179.4459
47.973637 75.824 179.1719
48.339848 75.812 178.8896
48.706059 75.799 178.6032
49.072270 75.784 178.3204
49.438481 75.768 178.0473
49.804692 75.752 177.7845
50.170902 75.737 177.5284
50.537113 75.723 177.2740
50.903324 75.710 177.0188
51.269535 75.696 176.7639
51.635746 75.681 176.5125
52.001957 75.667 176.2670
52.368168 75.652 176.0267
52.734379 75.639 175.7878
53.100590 75.626 175.5461
53.466801 75.613 175.2992
53.833012 75.599 175.0488
54.199223 75.583 174.8002
54.565434 75.566 174.5595
54.931645 75.549 174.3306
55.297856 75.533 174.1129
55.664067 75.517 173.9017
56.030278 75.504 173.6913
56.396489 75.491 173.4769
56.762700 75.478 173.2570
57.128911 75.465 173.0329
57.495122 75.451 172.8081
57.861333 75.437 172.5865
58.227544 75.422 172.3708
58.593755 75.407 172.1617
58.959966 75.392 171.9578
59.326177 75.378 171.7563
59.692388 75.364 171.5546
60.058599 75.350 171.3517
60.424810 75.336 171.1496
60.791021 75.320 170.9510
61.157232 75.305 170.7576
61.523442 75.290 170.5693
61.889653 75.275 170.3843
62.255864 75.260 170.2009
62.622075 75.245 170.0188
62.988286 75.230 169.8389
63.354497 75.215 169.6616
63.720708 75.200 169.4857
64.086919 75.185 169.3088
64.453130 75.171 169.1290
64.819341 75.156 168.9462
65.185552 75.140 168.7629
65.551763 75.124 168.5817
65.917974 75.108 168.4048
66.284185 75.092 168.2326
66.650396 75.076 168.0637
67.016607 75.060 167.8967
67.382818 75.044 167.7307
67.749029 75.028 167.5660
68.115240 75.012 167.4036
68.481451 74.996 167.2442
68.847662 74.980 167.0875
69.213873 74.964 166.9327
69.580084 74.949 166.7783
69.946295 74.934 166.6237
70.312506 74.918 166.4688
70.678717 74.903 166.3150
71.044928 74.887 166.1635
71.411139 74.871 166.0148
71.777350 74.856 165.8685
72.143561 74.841 165.7227
72.509771 74.825 165.5760
72.875982 74.810 165.4284
73.242193 74.795 165.2819
73.608404 74.778 165.1392
73.974615 74.762 165.0028
74.340826 74.746 164.8723
74.707037 74.732 164.7451
75.073248 74.718 164.6171
75.439459 74.704 164.4851
75.805670 74.690 164.3486
76.171881 74.676 164.2101
76.538092 74.661 164.0735
76.904303 74.646 163.9411
77.270514 74.630 163.8123
77.636725 74.616 163.6838
78.002936 74.601 163.5522
78.369147 74.586 163.4164
78.735358 74.570 163.2791
79.101569 74.553 163.1450
79.467780 74.536 163.0184
79.833991 74.518 162.9002
80.200202 74.502 162.7880
80.566413 74.487 162.6768
80.932624 74.472 162.5620
81.298835 74.458 162.4415
81.665046 74.444 162.3161
82.031257 74.429 162.1890
82.397468 74.414 162.0638
82.763679 74.398 161.9427
83.129890 74.382 161.8264
83.496101 74.366 161.7135
83.862311 74.351 161.6025
84.228522 74.336 161.4922
84.594733 74.321 161.3828
84.960944 74.306 161.2747
85.327155 74.291 161.1685
85.693366 74.276 161.0635
86.059577 74.261 160.9590
86.425788 74.247 160.8542
86.791999 74.232 160.7490
87.158210 74.217 160.6451
87.524421 74.201 160.5441
87.890632 74.186 160.4468
88.256843 74.171 160.3525
88.623054 74.157 160.2593
88.989265 74.143 160.1649
89.355476 74.129 160.0676
89.721687 74.115 159.9676
90.087898 74.101 159.8661
90.454109 74.087 159.7648
90.820320 74.072 159.6646
91.186531 74.057 159.5659
91.552742 74.042 159.4683
91.918953 74.027 159.3723
92.285164 74.011 159.2782
92.651375 73.996 159.1871
93.017586 73.980 159.0999
93.383797 73.965 159.0162
93.750008 73.949 158.9352
94.116219 73.935 158.8554
94.482430 73.920 158.7755
94.848641 73.906 158.6948
95.214851 73.892 158.6135
95.581062 73.878 158.5319
95.947273 73.864 158.4500
96.313484 73.850 158.3677
96.679695 73.835 158.2847
97.045906 73.821 158.2012
97.412117 73.807 158.1179
97.778328 73.792 158.0361
98.144539 73.777 157.9564
98.510750 73.763 157.8788
98.876961 73.748 157.8023
99.243172 73.734 157.7260
99.609383 73.721 157.6487
99.975594 73.707 157.5704
100.341805 73.693 157.4916
100.708016 73.680 157.4129
101.074227 73.666 157.3350
101.440438 73.652 157.2578
101.806649 73.638 157.1809
102.172860 73.625 157.1042
102.539071 73.611 157.0281
102.905282 73.596 156.9532
103.271493 73.582 156.8804
103.637704 73.568 156.8101
104.003915 73.553 156.7419
104.370126 73.539 156.6753
104.736337 73.525 156.6093
105.102548 73.511 156.5437
105.468759 73.497 156.4786
105.834970 73.483 156.4144
106.201180 73.470 156.3507
106.567391 73.456 156.2872
106.933602 73.443 156.2234
107.299813 73.429 156.1585
107.666024 73.416 156.0926
108.032235 73.403 156.0261
108.398446 73.389 155.9596
108.764657 73.375 155.8937
109.130868 73.362 155.8290
109.497079 73.348 155.7653
109.863290 73.334 155.7028
110.229501 73.321 155.6416
110.595712 73.307 155.5820
110.961923 73.293 155.5240
111.328134 73.280 155.4673
111.694345 73.266 155.4113
112.060556 73.253 155.3555
112.426767 73.239 155.2997
112.792978 73.226 155.2446
113.159189 73.212 155.1907
113.525400 73.198 155.1390
113.891611 73.184 155.0896
114.257822 73.171 155.0422
114.624033 73.157 154.9957
114.990244 73.144 154.9487
115.356455 73.131 154.9003
115.722666 73.118 154.8501
116.088877 73.106 154.7982
116.455088 73.093 154.7450
116.821299 73.080 154.6912
117.187510 73.067 154.6373
117.553720 73.054 154.5836
117.919931 73.041 154.5302
118.286142 73.028 154.4771
118.652353 73.014 154.4247
119.018564 73.001 154.3734
119.384775 72.988 154.3230
119.750986 72.975 154.2737
120.117197 72.962 154.2254
120.483408 72.949 154.1781
120.849619 72.936 154.1319
121.215830 72.923 154.0872
121.582041 72.910 154.0443
121.948252 72.897 154.0031
122.314463 72.885 153.9634
122.680674 72.872 153.9243
123.046885 72.859 153.8850
123.413096 72.847 153.8450
123.779307 72.834 153.8043
124.145518 72.821 153.7634
124.511729 72.809 153.7227
124.877940 72.796 153.6826
125.244151 72.784 153.6429
125.610362 72.772 153.6031
125.976573 72.760 153.5629
126.342784 72.749 153.5219
126.708995 72.737 153.4802
127.075206 72.726 153.4381
127.441417 72.715 153.3958
127.807628 72.704 153.3533
128.173839 72.694 153.3107
128.540049 72.683 153.2676
128.906260 72.673 153.2242
129.272471 72.662 153.1808
129.638682 72.652 153.1380
130.004893 72.642 153.0961
130.371104 72.631 153.0557
130.737315 72.621 153.0165
131.103526 72.610 152.9786
131.469737 72.600 152.9417
131.835948 72.589 152.9058
132.202159 72.579 152.8709
132.568370 72.568 152.8375
132.934581 72.556 152.8055
133.300792 72.545 152.7751
133.667003 72.534 152.7462
134.033214 72.523 152.7182
134.399425 72.511 152.6907
134.765636 72.500 152.6633
135.131847 72.488 152.6354
135.498058 72.477 152.6070
135.864269 72.466 152.5781
136.230480 72.454 152.5490
136.596691 72.443 152.5198
136.962902 72.431 152.4907
137.329113 72.420 152.4615
137.695324 72.409 152.4321
138.061535 72.398 152.4019
138.427746 72.387 152.3713
138.793957 72.376 152.3408
139.160168 72.366 152.3113
139.526379 72.355 152.2833
139.892589 72.344 152.2574
140.258800 72.334 152.2332
140.625011 72.324 152.2101
140.991222 72.315 152.1874
141.357433 72.305 152.1644
141.723644 72.296 152.1410
142.089855 72.286 152.1175
142.456066 72.277 152.0942
142.822277 72.268 152.0714
143.188488 72.258 152.0491
143.554699 72.248 152.0271
143.920910 72.238 152.0052
144.287121 72.229 151.9832
144.653332 72.219 151.9612
145.019543 72.208 151.9390
145.385754 72.198 151.9168
145.751965 72.188 151.8945
146.118176 72.177 151.8719
146.484387 72.166 151.8491
146.850598 72.156 151.8259
147.216809 72.145 151.8024
147.583020 72.134 151.7787
147.949231 72.123 151.7550
148.315442 72.113 151.7315
148.681653 72.102 151.7083
149.047864 72.091 151.6853
149.414075 72.081 151.6625
149.780286 72.071 151.6399
