* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 8:23:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ X HBB Khan CP155 L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.705 158.2156
0.732422 70.802 136.2128
1.098633 67.174 113.3826
1.464844 60.407 86.4637
1.831055 46.421 -14.9221
2.197266 56.619 -103.2863
2.563477 58.448 -123.9102
2.929688 55.908 -129.5118
3.295899 52.311 -90.5023
3.662110 57.628 -57.1267
4.028321 61.470 -59.5642
4.394532 63.033 -67.6594
4.760743 63.165 -73.7266
5.126954 62.635 -74.0888
5.493164 62.466 -68.9459
5.859375 63.155 -64.5980
6.225586 64.081 -65.3732
6.591797 64.652 -69.7284
6.958008 64.776 -74.7416
7.324219 64.662 -78.3851
7.690430 64.638 -80.2677
8.056641 64.908 -81.6727
8.422852 65.398 -84.0352
8.789063 65.909 -87.4881
9.155274 66.327 -91.1882
9.521485 66.665 -94.2899
9.887696 67.000 -96.5130
10.253907 67.307 -98.1371
10.620118 67.617 -99.5679
10.986329 67.917 -100.9515
11.352540 68.177 -102.1888
11.718751 68.402 -103.1860
12.084962 68.608 -104.0072
12.451173 68.795 -104.8014
12.817384 69.000 -105.6399
13.183595 69.169 -106.4660
13.549806 69.303 -107.1975
13.916017 69.427 -107.8512
14.282228 69.553 -108.5517
14.648439 69.678 -109.4197
15.014650 69.787 -110.4658
15.380861 69.876 -111.5979
15.747072 69.954 -112.7186
16.113283 70.043 -113.8080
16.479493 70.158 -114.9173
16.845704 70.284 -116.0931
17.211915 70.412 -117.3187
17.578126 70.538 -118.5256
17.944337 70.663 -119.6522
18.310548 70.795 -120.6853
18.676759 70.933 -121.6504
19.042970 71.074 -122.5730
19.409181 71.211 -123.4543
19.775392 71.340 -124.2799
20.141603 71.464 -125.0433
20.507814 71.581 -125.7542
20.874025 71.690 -126.4274
21.240236 71.790 -127.0713
21.606447 71.880 -127.6895
21.972658 71.963 -128.2919
22.338869 72.040 -128.8974
22.705080 72.111 -129.5230
23.071291 72.175 -130.1716
23.437502 72.234 -130.8331
23.803713 72.289 -131.4990
24.169924 72.345 -132.1741
24.536135 72.403 -132.8727
24.902346 72.463 -133.6022
25.268557 72.522 -134.3530
25.634768 72.580 -135.1039
26.000979 72.638 -135.8376
26.367190 72.699 -136.5512
26.733401 72.763 -137.2507
27.099612 72.827 -137.9385
27.465823 72.891 -138.6076
27.832033 72.953 -139.2473
28.198244 73.013 -139.8535
28.564455 73.073 -140.4319
28.930666 73.131 -140.9915
29.296877 73.186 -141.5374
29.663088 73.239 -142.0698
30.029299 73.288 -142.5902
30.395510 73.334 -143.1052
30.761721 73.378 -143.6247
31.127932 73.418 -144.1541
31.494143 73.454 -144.6908
31.860354 73.485 -145.2269
32.226565 73.514 -145.7560
32.592776 73.541 -146.2776
32.958987 73.570 -146.7952
33.325198 73.599 -147.3128
33.691409 73.629 -147.8331
34.057620 73.661 -148.3579
34.423831 73.695 -148.8896
34.790042 73.729 -149.4287
35.156253 73.762 -149.9722
35.522464 73.794 -150.5134
35.888675 73.824 -151.0450
36.254886 73.852 -151.5615
36.621097 73.879 -152.0605
36.987308 73.905 -152.5409
37.353519 73.931 -153.0037
37.719730 73.956 -153.4526
38.085941 73.981 -153.8951
38.452152 74.006 -154.3393
38.818363 74.028 -154.7872
39.184573 74.047 -155.2325
39.550784 74.063 -155.6645
39.916995 74.077 -156.0777
40.283206 74.094 -156.4782
40.649417 74.113 -156.8806
41.015628 74.133 -157.2976
41.381839 74.151 -157.7306
41.748050 74.168 -158.1708
42.114261 74.182 -158.6086
42.480472 74.197 -159.0421
42.846683 74.211 -159.4775
43.212894 74.225 -159.9200
43.579105 74.236 -160.3653
43.945316 74.244 -160.7994
44.311527 74.250 -161.2083
44.677738 74.257 -161.5894
45.043949 74.267 -161.9535
45.410160 74.280 -162.3172
45.776371 74.294 -162.6914
46.142582 74.307 -163.0755
46.508793 74.318 -163.4611
46.875004 74.329 -163.8409
47.241215 74.339 -164.2151
47.607426 74.349 -164.5896
47.973637 74.359 -164.9696
48.339848 74.367 -165.3536
48.706059 74.372 -165.7342
49.072270 74.376 -166.1037
49.438481 74.380 -166.4602
49.804692 74.385 -166.8088
50.170902 74.390 -167.1574
50.537113 74.396 -167.5101
50.903324 74.400 -167.8647
51.269535 74.403 -168.2150
51.635746 74.405 -168.5562
52.001957 74.407 -168.8892
52.368168 74.410 -169.2196
52.734379 74.413 -169.5534
53.100590 74.415 -169.8926
53.466801 74.416 -170.2343
53.833012 74.416 -170.5732
54.199223 74.416 -170.9057
54.565434 74.415 -171.2319
54.931645 74.414 -171.5549
55.297856 74.414 -171.8777
55.664067 74.415 -172.2014
56.030278 74.415 -172.5254
56.396489 74.415 -172.8489
56.762700 74.416 -173.1723
57.128911 74.417 -173.4983
57.495122 74.418 -173.8302
57.861333 74.418 -174.1693
58.227544 74.416 -174.5114
58.593755 74.412 -174.8473
58.959966 74.405 -175.1657
59.326177 74.397 -175.4597
59.692388 74.391 -175.7323
60.058599 74.387 -175.9955
60.424810 74.386 -176.2646
60.791021 74.385 -176.5483
61.157232 74.382 -176.8442
61.523442 74.377 -177.1413
61.889653 74.370 -177.4286
62.255864 74.362 -177.7022
62.622075 74.355 -177.9670
62.988286 74.349 -178.2314
63.354497 74.343 -178.5014
63.720708 74.336 -178.7779
64.086919 74.330 -179.0584
64.453130 74.322 -179.3406
64.819341 74.314 -179.6235
65.185552 74.306 -179.9059
65.551763 74.297 179.8145
65.917974 74.287 179.5406
66.284185 74.278 179.2732
66.650396 74.269 179.0099
67.016607 74.260 178.7472
67.382818 74.251 178.4836
67.749029 74.242 178.2217
68.115240 74.232 177.9654
68.481451 74.222 177.7166
68.847662 74.212 177.4724
69.213873 74.203 177.2272
69.580084 74.194 176.9761
69.946295 74.184 176.7186
70.312506 74.172 176.4594
70.678717 74.159 176.2050
71.044928 74.145 175.9599
71.411139 74.131 175.7241
71.777350 74.118 175.4932
72.143561 74.105 175.2598
72.509771 74.094 175.0182
72.875982 74.082 174.7673
73.242193 74.068 174.5122
73.608404 74.052 174.2618
73.974615 74.036 174.0240
74.340826 74.020 173.7999
74.707037 74.006 173.5828
75.073248 73.994 173.3614
75.439459 73.982 173.1284
75.805670 73.969 172.8857
76.171881 73.954 172.6438
76.538092 73.937 172.4149
76.904303 73.920 172.2044
77.270514 73.905 172.0067
77.636725 73.893 171.8085
78.002936 73.881 171.5979
78.369147 73.870 171.3716
78.735358 73.856 171.1368
79.101569 73.839 170.9060
79.467780 73.821 170.6893
79.833991 73.803 170.4882
80.200202 73.787 170.2954
80.566413 73.773 170.0996
80.932624 73.759 169.8920
81.298835 73.745 169.6714
81.665046 73.729 169.4448
82.031257 73.710 169.2229
82.397468 73.690 169.0147
82.763679 73.670 168.8221
83.129890 73.652 168.6387
83.496101 73.636 168.4530
83.862311 73.620 168.2559
84.228522 73.604 168.0463
84.594733 73.585 167.8332
84.960944 73.564 167.6298
85.327155 73.543 167.4446
85.693366 73.523 167.2746
86.059577 73.506 167.1061
86.425788 73.490 166.9240
86.791999 73.474 166.7229
87.158210 73.456 166.5117
87.524421 73.434 166.3077
87.890632 73.410 166.1248
88.256843 73.388 165.9629
88.623054 73.370 165.8081
88.989265 73.354 165.6432
89.355476 73.338 165.4600
89.721687 73.320 165.2642
90.087898 73.300 165.0700
90.454109 73.279 164.8887
90.820320 73.258 164.7204
91.186531 73.239 164.5559
91.552742 73.221 164.3856
91.918953 73.202 164.2074
92.285164 73.182 164.0278
92.651375 73.161 163.8551
93.017586 73.140 163.6911
93.383797 73.120 163.5298
93.750008 73.101 163.3626
94.116219 73.081 163.1863
94.482430 73.059 163.0071
94.848641 73.035 162.8361
95.214851 73.010 162.6805
95.581062 72.987 162.5374
95.947273 72.966 162.3955
96.313484 72.946 162.2437
96.679695 72.925 162.0801
97.045906 72.902 161.9136
97.412117 72.877 161.7572
97.778328 72.853 161.6176
98.144539 72.830 161.4895
98.510750 72.810 161.3590
98.876961 72.790 161.2144
99.243172 72.770 161.0554
99.609383 72.747 160.8932
99.975594 72.723 160.7416
100.341805 72.698 160.6060
100.708016 72.675 160.4783
101.074227 72.654 160.3436
101.440438 72.633 160.1923
101.806649 72.610 160.0285
102.172860 72.583 159.8688
102.539071 72.553 159.7303
102.905282 72.524 159.6190
103.271493 72.498 159.5249
103.637704 72.476 159.4285
104.003915 72.457 159.3129
104.370126 72.436 159.1735
104.736337 72.414 159.0190
105.102548 72.388 158.8651
105.468759 72.359 158.7251
105.834970 72.330 158.6040
106.201180 72.302 158.4977
106.567391 72.276 158.3968
106.933602 72.252 158.2920
107.299813 72.229 158.1779
107.666024 72.205 158.0545
108.032235 72.180 157.9257
108.398446 72.154 157.7970
108.764657 72.126 157.6728
109.130868 72.098 157.5550
109.497079 72.070 157.4435
109.863290 72.042 157.3378
110.229501 72.015 157.2366
110.595712 71.988 157.1374
110.961923 71.963 157.0349
111.328134 71.939 156.9222
111.694345 71.914 156.7949
112.060556 71.887 156.6556
112.426767 71.856 156.5159
112.792978 71.823 156.3917
113.159189 71.788 156.2939
113.525400 71.755 156.2218
113.891611 71.725 156.1620
114.257822 71.699 156.0967
114.624033 71.674 156.0139
114.990244 71.649 155.9139
115.356455 71.621 155.8076
115.722666 71.590 155.7086
116.088877 71.558 155.6251
116.455088 71.526 155.5573
116.821299 71.496 155.4996
117.187510 71.466 155.4448
117.553720 71.438 155.3870
117.919931 71.410 155.3232
118.286142 71.381 155.2532
118.652353 71.351 155.1804
119.018564 71.319 155.1114
119.384775 71.285 155.0534
119.750986 71.251 155.0104
120.117197 71.218 154.9800
120.483408 71.186 154.9553
120.849619 71.155 154.9294
121.215830 71.125 154.9005
121.582041 71.095 154.8715
121.948252 71.064 154.8460
122.314463 71.035 154.8235
122.680674 71.006 154.7996
123.046885 70.977 154.7700
123.413096 70.949 154.7356
123.779307 70.919 154.7021
124.145518 70.888 154.6758
124.511729 70.858 154.6584
124.877940 70.828 154.6468
125.244151 70.800 154.6380
125.610362 70.773 154.6331
125.976573 70.746 154.6356
126.342784 70.721 154.6461
126.708995 70.698 154.6578
127.075206 70.678 154.6588
127.441417 70.658 154.6423
127.807628 70.636 154.6128
128.173839 70.612 154.5849
128.540049 70.586 154.5718
128.906260 70.562 154.5742
129.272471 70.541 154.5781
129.638682 70.521 154.5666
130.004893 70.501 154.5335
130.371104 70.477 154.4899
130.737315 70.450 154.4557
131.103526 70.422 154.4448
131.469737 70.395 154.4548
131.835948 70.371 154.4702
132.202159 70.349 154.4752
132.568370 70.326 154.4655
132.934581 70.302 154.4493
133.300792 70.276 154.4393
133.667003 70.250 154.4413
134.033214 70.225 154.4516
134.399425 70.201 154.4623
134.765636 70.178 154.4684
135.131847 70.155 154.4708
135.498058 70.131 154.4721
135.864269 70.107 154.4730
136.230480 70.084 154.4709
136.596691 70.060 154.4651
136.962902 70.034 154.4605
137.329113 70.008 154.4658
137.695324 69.981 154.4861
138.061535 69.957 154.5169
138.427746 69.935 154.5449
138.793957 69.915 154.5569
139.160168 69.893 154.5513
139.526379 69.868 154.5410
139.892589 69.841 154.5459
140.258800 69.813 154.5789
140.625011 69.787 154.6350
140.991222 69.767 154.6931
141.357433 69.750 154.7289
141.723644 69.732 154.7323
142.089855 69.710 154.7158
142.456066 69.683 154.7080
142.822277 69.652 154.7352
143.188488 69.624 154.8027
143.554699 69.601 154.8889
143.920910 69.585 154.9583
144.287121 69.570 154.9858
144.653332 69.552 154.9757
145.019543 69.527 154.9597
145.385754 69.497 154.9753
145.751965 69.467 155.0389
146.118176 69.443 155.1327
146.484387 69.426 155.2171
146.850598 69.412 155.2591
147.216809 69.396 155.2567
147.583020 69.374 155.2381
147.949231 69.346 155.2405
148.315442 69.316 155.2825
