* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 8:24:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ X HBB Khan CP155 R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.722 -21.6685
0.732422 73.874 -43.0852
1.098633 70.347 -63.6711
1.464844 63.705 -80.6716
1.831055 48.053 -16.7016
2.197266 60.828 32.7496
2.563477 63.823 15.1343
2.929688 63.488 -5.7725
3.295899 60.841 -26.8361
3.662110 55.630 -43.9683
4.028321 47.779 -31.7402
4.394532 50.096 2.7970
4.760743 54.568 -17.7880
5.126954 57.621 -46.5996
5.493164 59.626 -70.5777
5.859375 60.567 -86.8178
6.225586 60.746 -93.8267
6.591797 61.012 -91.6697
6.958008 62.139 -86.4393
7.324219 63.678 -84.8637
7.690430 64.874 -86.8179
8.056641 65.511 -89.4817
8.422852 65.745 -90.7384
8.789063 65.883 -90.0694
9.155274 66.150 -88.6373
9.521485 66.526 -87.9836
9.887696 66.854 -88.5463
10.253907 66.971 -89.7745
10.620118 66.953 -91.0336
10.986329 66.918 -92.1584
11.352540 66.921 -93.3979
11.718751 66.955 -94.9854
12.084962 66.997 -96.8601
12.451173 67.049 -98.7862
12.817384 67.185 -100.6234
13.183595 67.378 -102.4195
13.549806 67.605 -104.2599
13.916017 67.835 -106.0901
14.282228 68.053 -107.7262
14.648439 68.266 -109.0237
15.014650 68.492 -110.0128
15.380861 68.734 -110.8592
15.747072 68.971 -111.6979
16.113283 69.181 -112.5227
16.479493 69.363 -113.2328
16.845704 69.518 -113.7631
17.211915 69.660 -114.1605
17.578126 69.799 -114.5447
17.944337 69.926 -115.0062
18.310548 70.035 -115.5561
18.676759 70.126 -116.1607
19.042970 70.206 -116.8058
19.409181 70.282 -117.5150
19.775392 70.355 -118.3134
20.141603 70.425 -119.1896
20.507814 70.495 -120.1012
20.874025 70.568 -121.0157
21.240236 70.651 -121.9345
21.606447 70.743 -122.8751
21.972658 70.840 -123.8318
22.338869 70.937 -124.7628
22.705080 71.035 -125.6191
23.071291 71.138 -126.3852
23.437502 71.250 -127.0883
23.803713 71.366 -127.7691
24.169924 71.479 -128.4434
24.536135 71.582 -129.0922
24.902346 71.675 -129.6869
25.268557 71.760 -130.2192
25.634768 71.842 -130.7098
26.000979 71.919 -131.1909
26.367190 71.991 -131.6843
26.733401 72.055 -132.1938
27.099612 72.111 -132.7148
27.465823 72.162 -133.2442
27.832033 72.209 -133.7843
28.198244 72.254 -134.3385
28.564455 72.298 -134.9095
28.930666 72.343 -135.4997
29.296877 72.390 -136.1106
29.663088 72.436 -136.7392
30.029299 72.483 -137.3743
30.395510 72.531 -138.0005
30.761721 72.579 -138.6067
31.127932 72.631 -139.1924
31.494143 72.686 -139.7649
31.860354 72.742 -140.3291
32.226565 72.797 -140.8822
32.592776 72.850 -141.4164
32.958987 72.902 -141.9282
33.325198 72.952 -142.4214
33.691409 72.999 -142.9022
34.057620 73.043 -143.3720
34.423831 73.084 -143.8272
34.790042 73.121 -144.2668
35.156253 73.158 -144.6987
35.522464 73.195 -145.1372
35.888675 73.229 -145.5925
36.254886 73.260 -146.0634
36.621097 73.287 -146.5396
36.987308 73.312 -147.0118
37.353519 73.335 -147.4781
37.719730 73.359 -147.9409
38.085941 73.382 -148.4001
38.452152 73.406 -148.8509
38.818363 73.431 -149.2899
39.184573 73.459 -149.7233
39.550784 73.491 -150.1654
39.916995 73.523 -150.6279
40.283206 73.554 -151.1073
40.649417 73.581 -151.5851
41.015628 73.603 -152.0394
41.381839 73.625 -152.4600
41.748050 73.648 -152.8548
42.114261 73.673 -153.2423
42.480472 73.700 -153.6388
42.846683 73.725 -154.0488
43.212894 73.748 -154.4661
43.579105 73.767 -154.8800
43.945316 73.784 -155.2825
44.311527 73.801 -155.6721
44.677738 73.817 -156.0533
45.043949 73.835 -156.4339
45.410160 73.853 -156.8210
45.776371 73.871 -157.2169
46.142582 73.886 -157.6167
46.508793 73.900 -158.0114
46.875004 73.913 -158.3932
47.241215 73.926 -158.7611
47.607426 73.940 -159.1211
47.973637 73.956 -159.4820
48.339848 73.972 -159.8493
48.706059 73.987 -160.2225
49.072270 74.000 -160.5972
49.438481 74.012 -160.9685
49.804692 74.022 -161.3326
50.170902 74.031 -161.6874
50.537113 74.040 -162.0323
50.903324 74.049 -162.3700
51.269535 74.060 -162.7067
51.635746 74.071 -163.0496
52.001957 74.081 -163.4015
52.368168 74.090 -163.7577
52.734379 74.096 -164.1090
53.100590 74.103 -164.4493
53.466801 74.110 -164.7812
53.833012 74.118 -165.1145
54.199223 74.127 -165.4570
54.565434 74.134 -165.8074
54.931645 74.139 -166.1542
55.297856 74.141 -166.4849
55.664067 74.144 -166.7962
56.030278 74.149 -167.0965
56.396489 74.156 -167.3997
56.762700 74.162 -167.7133
57.128911 74.166 -168.0330
57.495122 74.168 -168.3467
57.861333 74.169 -168.6443
58.227544 74.170 -168.9263
58.593755 74.174 -169.2034
58.959966 74.180 -169.4892
59.326177 74.185 -169.7908
59.692388 74.190 -170.1057
60.058599 74.192 -170.4257
60.424810 74.193 -170.7431
60.791021 74.193 -171.0554
61.157232 74.192 -171.3642
61.523442 74.191 -171.6708
61.889653 74.190 -171.9735
62.255864 74.187 -172.2685
62.622075 74.186 -172.5542
62.988286 74.185 -172.8337
63.354497 74.184 -173.1135
63.720708 74.183 -173.3981
64.086919 74.181 -173.6861
64.453130 74.178 -173.9703
64.819341 74.174 -174.2433
65.185552 74.170 -174.5038
65.551763 74.167 -174.7584
65.917974 74.165 -175.0173
66.284185 74.164 -175.2866
66.650396 74.161 -175.5642
67.016607 74.156 -175.8414
67.382818 74.149 -176.1100
67.749029 74.142 -176.3681
68.115240 74.137 -176.6220
68.481451 74.133 -176.8809
68.847662 74.128 -177.1504
69.213873 74.122 -177.4276
69.580084 74.114 -177.7035
69.946295 74.105 -177.9683
70.312506 74.095 -178.2180
70.678717 74.087 -178.4568
71.044928 74.080 -178.6936
71.411139 74.075 -178.9364
71.777350 74.070 -179.1875
72.143561 74.064 -179.4440
72.509771 74.057 -179.7009
72.875982 74.049 -179.9544
73.242193 74.041 179.7966
73.608404 74.032 179.5528
73.974615 74.022 179.3152
74.340826 74.013 179.0842
74.707037 74.004 178.8578
75.073248 73.996 178.6301
75.439459 73.989 178.3948
75.805670 73.981 178.1502
76.171881 73.972 177.9017
76.538092 73.960 177.6590
76.904303 73.948 177.4290
77.270514 73.936 177.2104
77.636725 73.926 176.9949
78.002936 73.917 176.7736
78.369147 73.907 176.5449
78.735358 73.896 176.3151
79.101569 73.884 176.0927
79.467780 73.873 175.8806
79.833991 73.862 175.6725
80.200202 73.853 175.4587
80.566413 73.844 175.2335
80.932624 73.833 175.0012
81.298835 73.820 174.7727
81.665046 73.805 174.5580
82.031257 73.791 174.3580
82.397468 73.779 174.1641
82.763679 73.768 173.9647
83.129890 73.758 173.7537
83.496101 73.746 173.5349
83.862311 73.732 173.3183
84.228522 73.717 173.1118
84.594733 73.703 172.9154
84.960944 73.690 172.7215
85.327155 73.678 172.5222
85.693366 73.666 172.3170
86.059577 73.651 172.1143
86.425788 73.636 171.9238
86.791999 73.622 171.7470
87.158210 73.611 171.5728
87.524421 73.602 171.3839
87.890632 73.593 171.1700
88.256843 73.580 170.9377
88.623054 73.563 170.7079
88.989265 73.541 170.5027
89.355476 73.520 170.3301
89.721687 73.501 170.1791
90.087898 73.486 170.0278
90.454109 73.473 169.8594
90.820320 73.460 169.6732
91.186531 73.443 169.4825
91.552742 73.425 169.3023
91.918953 73.407 169.1382
92.285164 73.391 168.9827
92.651375 73.378 168.8223
93.017586 73.365 168.6480
93.383797 73.352 168.4609
93.750008 73.336 168.2697
94.116219 73.320 168.0828
94.482430 73.303 167.9034
94.848641 73.286 167.7288
95.214851 73.269 167.5553
95.581062 73.252 167.3823
95.947273 73.235 167.2130
96.313484 73.217 167.0509
96.679695 73.200 166.8956
97.045906 73.184 166.7415
97.412117 73.169 166.5812
97.778328 73.153 166.4107
98.144539 73.136 166.2337
98.510750 73.116 166.0600
98.876961 73.095 165.8995
99.243172 73.074 165.7557
99.609383 73.054 165.6230
99.975594 73.037 165.4897
100.341805 73.021 165.3455
100.708016 73.005 165.1879
101.074227 72.987 165.0238
101.440438 72.968 164.8640
101.806649 72.947 164.7164
102.172860 72.927 164.5808
102.539071 72.909 164.4491
102.905282 72.893 164.3108
103.271493 72.877 164.1595
103.637704 72.860 163.9966
104.003915 72.841 163.8303
104.370126 72.820 163.6707
104.736337 72.797 163.5247
105.102548 72.775 163.3926
105.468759 72.754 163.2687
105.834970 72.734 163.1451
106.201180 72.715 163.0164
106.567391 72.697 162.8817
106.933602 72.677 162.7440
107.299813 72.656 162.6072
107.666024 72.635 162.4734
108.032235 72.614 162.3428
108.398446 72.593 162.2149
108.764657 72.572 162.0906
109.130868 72.550 161.9714
109.497079 72.530 161.8565
109.863290 72.511 161.7413
110.229501 72.493 161.6181
110.595712 72.475 161.4814
110.961923 72.455 161.3331
111.328134 72.432 161.1834
111.694345 72.407 161.0461
112.060556 72.380 160.9305
112.426767 72.355 160.8347
112.792978 72.333 160.7466
113.159189 72.314 160.6518
113.525400 72.295 160.5417
113.891611 72.276 160.4189
114.257822 72.254 160.2933
114.624033 72.231 160.1747
114.990244 72.207 160.0660
115.356455 72.185 159.9628
115.722666 72.163 159.8596
116.088877 72.141 159.7546
116.455088 72.118 159.6517
116.821299 72.096 159.5547
117.187510 72.075 159.4618
117.553720 72.056 159.3638
117.919931 72.037 159.2513
118.286142 72.016 159.1239
118.652353 71.992 158.9937
119.018564 71.965 158.8792
119.384775 71.938 158.7919
119.750986 71.913 158.7261
120.117197 71.892 158.6616
120.483408 71.874 158.5775
120.849619 71.854 158.4683
121.215830 71.831 158.3489
121.582041 71.804 158.2443
121.948252 71.775 158.1702
122.314463 71.750 158.1214
122.680674 71.729 158.0746
123.046885 71.712 158.0058
123.413096 71.694 157.9080
123.779307 71.672 157.7950
124.145518 71.647 157.6891
124.511729 71.620 157.6046
124.877940 71.595 157.5377
125.244151 71.573 157.4731
125.610362 71.552 157.3986
125.976573 71.531 157.3151
126.342784 71.507 157.2343
126.708995 71.483 157.1661
127.075206 71.461 157.1082
127.441417 71.440 157.0480
127.807628 71.421 156.9733
128.173839 71.399 156.8848
128.540049 71.375 156.7961
128.906260 71.349 156.7234
129.272471 71.323 156.6718
129.638682 71.299 156.6308
130.004893 71.279 156.5824
130.371104 71.258 156.5155
130.737315 71.236 156.4342
131.103526 71.211 156.3546
131.469737 71.184 156.2925
131.835948 71.157 156.2521
132.202159 71.133 156.2239
132.568370 71.112 156.1916
132.934581 71.093 156.1425
133.300792 71.073 156.0742
133.667003 71.051 155.9942
134.033214 71.026 155.9154
134.399425 70.999 155.8500
134.765636 70.971 155.8046
135.131847 70.944 155.7782
135.498058 70.920 155.7623
135.864269 70.898 155.7443
136.230480 70.878 155.7140
136.596691 70.858 155.6687
136.962902 70.836 155.6152
137.329113 70.812 155.5652
137.695324 70.786 155.5272
138.061535 70.761 155.5015
138.427746 70.737 155.4804
138.793957 70.714 155.4561
139.160168 70.691 155.4271
139.526379 70.666 155.4000
139.892589 70.641 155.3830
140.258800 70.617 155.3773
140.625011 70.595 155.3740
140.991222 70.576 155.3598
141.357433 70.556 155.3272
141.723644 70.534 155.2816
142.089855 70.509 155.2384
142.456066 70.482 155.2125
142.822277 70.455 155.2077
143.188488 70.432 155.2136
143.554699 70.412 155.2134
143.920910 70.392 155.1946
144.287121 70.372 155.1568
144.653332 70.349 155.1107
145.019543 70.323 155.0707
145.385754 70.295 155.0471
145.751965 70.267 155.0428
146.118176 70.241 155.0543
146.484387 70.217 155.0745
146.850598 70.195 155.0952
147.216809 70.175 155.1082
147.583020 70.156 155.1078
147.949231 70.136 155.0937
