* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 7:06:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bridge s.00 f.S Stock White R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.384 -24.1389
0.732422 85.475 -48.0053
1.098633 81.720 -70.8317
1.464844 73.939 -87.6887
1.831055 66.775 21.8214
2.197266 76.980 19.8303
2.563477 80.107 -1.1689
2.929688 80.994 -22.4897
3.295899 80.632 -40.6527
3.662110 79.607 -51.7831
4.028321 78.985 -52.8606
4.394532 79.974 -50.0032
4.760743 81.919 -52.7519
5.126954 83.633 -60.4758
5.493164 84.755 -69.2371
5.859375 85.373 -76.2662
6.225586 85.769 -80.2862
6.591797 86.264 -81.8426
6.958008 86.980 -82.8912
7.324219 87.766 -84.9085
7.690430 88.423 -87.8607
8.056641 88.877 -90.9083
8.422852 89.183 -93.3423
8.789063 89.449 -95.0540
9.155274 89.743 -96.4738
9.521485 90.058 -98.0901
9.887696 90.343 -100.0391
10.253907 90.570 -102.1307
10.620118 90.751 -104.1347
10.986329 90.917 -105.9912
11.352540 91.089 -107.8005
11.718751 91.264 -109.6643
12.084962 91.428 -111.5721
12.451173 91.579 -113.4339
12.817384 91.726 -115.1864
13.183595 91.879 -116.8490
13.549806 92.035 -118.4774
13.916017 92.185 -120.0858
14.282228 92.322 -121.6252
14.648439 92.447 -123.0372
15.014650 92.569 -124.3162
15.380861 92.691 -125.5158
15.747072 92.810 -126.6953
16.113283 92.917 -127.8682
16.479493 93.007 -129.0023
16.845704 93.083 -130.0650
17.211915 93.153 -131.0618
17.578126 93.219 -132.0315
17.944337 93.280 -133.0093
18.310548 93.334 -133.9998
18.676759 93.379 -134.9848
19.042970 93.418 -135.9507
19.409181 93.457 -136.9034
19.775392 93.495 -137.8583
20.141603 93.532 -138.8196
20.507814 93.567 -139.7753
20.874025 93.601 -140.7098
21.240236 93.636 -141.6197
21.606447 93.673 -142.5122
21.972658 93.710 -143.3922
22.338869 93.746 -144.2521
22.705080 93.780 -145.0778
23.071291 93.814 -145.8628
23.437502 93.847 -146.6147
23.803713 93.880 -147.3460
24.169924 93.909 -148.0614
24.536135 93.935 -148.7539
24.902346 93.956 -149.4155
25.268557 93.975 -150.0483
25.634768 93.993 -150.6653
26.000979 94.009 -151.2797
26.367190 94.022 -151.8951
26.733401 94.031 -152.5057
27.099612 94.037 -153.1058
27.465823 94.042 -153.6967
27.832033 94.047 -154.2852
28.198244 94.052 -154.8759
28.564455 94.055 -155.4669
28.930666 94.058 -156.0531
29.296877 94.062 -156.6323
29.663088 94.066 -157.2064
30.029299 94.071 -157.7769
30.395510 94.075 -158.3408
30.761721 94.079 -158.8913
31.127932 94.083 -159.4236
31.494143 94.087 -159.9389
31.860354 94.091 -160.4420
32.226565 94.096 -160.9361
32.592776 94.099 -161.4193
32.958987 94.100 -161.8874
33.325198 94.101 -162.3390
33.691409 94.102 -162.7775
34.057620 94.102 -163.2093
34.423831 94.101 -163.6389
34.790042 94.100 -164.0672
35.156253 94.096 -164.4926
35.522464 94.092 -164.9135
35.888675 94.086 -165.3289
36.254886 94.079 -165.7387
36.621097 94.073 -166.1434
36.987308 94.066 -166.5449
37.353519 94.059 -166.9457
37.719730 94.053 -167.3463
38.085941 94.045 -167.7435
38.452152 94.037 -168.1321
38.818363 94.030 -168.5097
39.184573 94.023 -168.8794
39.550784 94.018 -169.2486
39.916995 94.013 -169.6215
40.283206 94.006 -169.9946
40.649417 93.998 -170.3590
41.015628 93.989 -170.7080
41.381839 93.981 -171.0438
41.748050 93.974 -171.3755
42.114261 93.967 -171.7110
42.480472 93.958 -172.0492
42.846683 93.948 -172.3810
43.212894 93.936 -172.6977
43.579105 93.926 -172.9997
43.945316 93.917 -173.2968
44.311527 93.910 -173.6014
44.677738 93.902 -173.9185
45.043949 93.893 -174.2427
45.410160 93.881 -174.5631
45.776371 93.868 -174.8709
46.142582 93.855 -175.1648
46.508793 93.843 -175.4491
46.875004 93.831 -175.7295
47.241215 93.820 -176.0087
47.607426 93.809 -176.2859
47.973637 93.798 -176.5592
48.339848 93.787 -176.8280
48.706059 93.776 -177.0937
49.072270 93.766 -177.3585
49.438481 93.755 -177.6238
49.804692 93.744 -177.8888
50.170902 93.731 -178.1509
50.537113 93.719 -178.4077
50.903324 93.706 -178.6581
51.269535 93.694 -178.9041
51.635746 93.681 -179.1488
52.001957 93.670 -179.3952
52.368168 93.657 -179.6433
52.734379 93.645 -179.8911
53.100590 93.631 179.8649
53.466801 93.617 179.6270
53.833012 93.603 179.3951
54.199223 93.590 179.1676
54.565434 93.577 178.9417
54.931645 93.564 178.7154
55.297856 93.552 178.4883
55.664067 93.538 178.2622
56.030278 93.524 178.0402
56.396489 93.510 177.8244
56.762700 93.495 177.6146
57.128911 93.482 177.4072
57.495122 93.469 177.1982
57.861333 93.455 176.9858
58.227544 93.441 176.7733
58.593755 93.425 176.5665
58.959966 93.409 176.3696
59.326177 93.394 176.1818
59.692388 93.381 175.9972
60.058599 93.368 175.8093
60.424810 93.356 175.6156
60.791021 93.344 175.4185
61.157232 93.331 175.2228
61.523442 93.317 175.0308
61.889653 93.304 174.8414
62.255864 93.292 174.6514
62.622075 93.278 174.4597
62.988286 93.264 174.2689
63.354497 93.249 174.0842
63.720708 93.234 173.9095
64.086919 93.219 173.7445
64.453130 93.205 173.5849
64.819341 93.191 173.4248
65.185552 93.179 173.2601
65.551763 93.166 173.0905
65.917974 93.152 172.9185
66.284185 93.137 172.7478
66.650396 93.122 172.5809
67.016607 93.106 172.4185
67.382818 93.090 172.2600
67.749029 93.074 172.1051
68.115240 93.059 171.9540
68.481451 93.044 171.8062
68.847662 93.030 171.6595
69.213873 93.017 171.5098
69.580084 93.004 171.3537
69.946295 92.990 171.1908
70.312506 92.976 171.0254
70.678717 92.960 170.8639
71.044928 92.944 170.7112
71.411139 92.927 170.5677
71.777350 92.912 170.4296
72.143561 92.897 170.2924
72.509771 92.883 170.1539
72.875982 92.868 170.0151
73.242193 92.854 169.8781
73.608404 92.839 169.7435
73.974615 92.824 169.6109
74.340826 92.809 169.4790
74.707037 92.795 169.3475
75.073248 92.780 169.2171
75.439459 92.766 169.0878
75.805670 92.751 168.9588
76.171881 92.737 168.8287
76.538092 92.723 168.6972
76.904303 92.708 168.5659
77.270514 92.693 168.4368
77.636725 92.678 168.3105
78.002936 92.663 168.1862
78.369147 92.648 168.0621
78.735358 92.634 167.9384
79.101569 92.618 167.8167
79.467780 92.603 167.6993
79.833991 92.588 167.5867
80.200202 92.574 167.4761
80.566413 92.560 167.3638
80.932624 92.547 167.2473
81.298835 92.533 167.1271
81.665046 92.518 167.0074
82.031257 92.502 166.8925
82.397468 92.486 166.7845
82.763679 92.471 166.6819
83.129890 92.456 166.5814
83.496101 92.441 166.4796
83.862311 92.427 166.3757
84.228522 92.413 166.2711
84.594733 92.398 166.1672
84.960944 92.384 166.0645
85.327155 92.370 165.9616
85.693366 92.355 165.8574
86.059577 92.341 165.7523
86.425788 92.326 165.6486
86.791999 92.310 165.5486
87.158210 92.295 165.4529
87.524421 92.281 165.3595
87.890632 92.266 165.2656
88.256843 92.252 165.1704
88.623054 92.238 165.0754
88.989265 92.223 164.9828
89.355476 92.208 164.8928
89.721687 92.194 164.8028
90.087898 92.181 164.7092
90.454109 92.167 164.6112
90.820320 92.152 164.5123
91.186531 92.136 164.4179
91.552742 92.120 164.3316
91.918953 92.104 164.2517
92.285164 92.090 164.1728
92.651375 92.076 164.0892
93.017586 92.063 163.9996
93.383797 92.048 163.9077
93.750008 92.033 163.8187
94.116219 92.018 163.7358
94.482430 92.003 163.6581
94.848641 91.988 163.5815
95.214851 91.975 163.5023
95.581062 91.961 163.4202
95.947273 91.946 163.3379
96.313484 91.931 163.2592
96.679695 91.916 163.1858
97.045906 91.902 163.1165
97.412117 91.888 163.0475
97.778328 91.875 162.9747
98.144539 91.862 162.8964
98.510750 91.849 162.8139
98.876961 91.834 162.7309
99.243172 91.819 162.6513
99.609383 91.804 162.5771
99.975594 91.788 162.5080
100.341805 91.773 162.4415
100.708016 91.759 162.3751
101.074227 91.745 162.3073
101.440438 91.731 162.2382
101.806649 91.717 162.1685
102.172860 91.703 162.0984
102.539071 91.690 162.0277
102.905282 91.675 161.9560
103.271493 91.661 161.8843
103.637704 91.645 161.8159
104.003915 91.629 161.7540
104.370126 91.614 161.7006
104.736337 91.599 161.6534
105.102548 91.586 161.6069
105.468759 91.574 161.5548
105.834970 91.562 161.4942
106.201180 91.550 161.4274
106.567391 91.536 161.3600
106.933602 91.522 161.2975
107.299813 91.507 161.2409
107.666024 91.494 161.1868
108.032235 91.480 161.1302
108.398446 91.467 161.0690
108.764657 91.453 161.0052
109.130868 91.439 160.9441
109.497079 91.424 160.8889
109.863290 91.410 160.8384
110.229501 91.396 160.7877
110.595712 91.383 160.7320
110.961923 91.370 160.6708
111.328134 91.356 160.6081
111.694345 91.341 160.5495
112.060556 91.326 160.4976
112.426767 91.312 160.4504
112.792978 91.298 160.4034
113.159189 91.285 160.3535
113.525400 91.271 160.3023
113.891611 91.257 160.2544
114.257822 91.243 160.2129
114.624033 91.229 160.1760
114.990244 91.218 160.1376
115.356455 91.206 160.0918
115.722666 91.195 160.0376
116.088877 91.182 159.9802
116.455088 91.168 159.9270
116.821299 91.154 159.8821
117.187510 91.141 159.8431
117.553720 91.128 159.8035
117.919931 91.116 159.7580
118.286142 91.104 159.7073
118.652353 91.090 159.6571
119.018564 91.075 159.6138
119.384775 91.061 159.5786
119.750986 91.048 159.5474
120.117197 91.036 159.5138
120.483408 91.023 159.4743
120.849619 91.011 159.4305
121.215830 90.998 159.3868
121.582041 90.984 159.3467
121.948252 90.970 159.3103
122.314463 90.957 159.2749
122.680674 90.944 159.2382
123.046885 90.931 159.2001
123.413096 90.918 159.1624
123.779307 90.905 159.1262
124.145518 90.892 159.0903
124.511729 90.879 159.0522
124.877940 90.867 159.0106
125.244151 90.853 158.9673
125.610362 90.839 158.9265
125.976573 90.825 158.8917
126.342784 90.811 158.8634
126.708995 90.798 158.8378
127.075206 90.787 158.8097
127.441417 90.775 158.7756
127.807628 90.763 158.7359
128.173839 90.751 158.6949
128.540049 90.737 158.6577
128.906260 90.724 158.6267
129.272471 90.711 158.6007
129.638682 90.699 158.5753
130.004893 90.687 158.5459
130.371104 90.676 158.5111
130.737315 90.664 158.4729
131.103526 90.651 158.4355
131.469737 90.637 158.4027
131.835948 90.624 158.3758
132.202159 90.611 158.3533
132.568370 90.599 158.3320
132.934581 90.587 158.3094
133.300792 90.576 158.2840
133.667003 90.564 158.2561
134.033214 90.552 158.2266
134.399425 90.540 158.1968
134.765636 90.528 158.1682
135.131847 90.515 158.1424
135.498058 90.502 158.1204
135.864269 90.489 158.1020
136.230480 90.477 158.0855
136.596691 90.466 158.0685
136.962902 90.454 158.0490
137.329113 90.443 158.0267
137.695324 90.431 158.0027
138.061535 90.420 157.9781
138.427746 90.408 157.9537
138.793957 90.395 157.9293
139.160168 90.383 157.9046
139.526379 90.370 157.8805
139.892589 90.358 157.8582
140.258800 90.345 157.8381
140.625011 90.333 157.8187
140.991222 90.321 157.7976
141.357433 90.309 157.7733
141.723644 90.296 157.7479
142.089855 90.283 157.7262
142.456066 90.270 157.7122
142.822277 90.258 157.7053
143.188488 90.247 157.6989
143.554699 90.238 157.6837
143.920910 90.229 157.6542
144.287121 90.219 157.6135
144.653332 90.206 157.5726
145.019543 90.191 157.5439
145.385754 90.176 157.5338
145.751965 90.163 157.5378
146.118176 90.152 157.5440
146.484387 90.143 157.5405
146.850598 90.135 157.5229
147.216809 90.125 157.4958
147.583020 90.113 157.4689
147.949231 90.101 157.4500
148.315442 90.088 157.4398
148.681653 90.077 157.4330
149.047864 90.066 157.4230
149.414075 90.056 157.4064
