* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 6:40:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bridge s.01 f.B Stock White R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.588 -23.2293
0.732422 64.676 -46.2581
1.098633 60.943 -68.5688
1.464844 53.378 -87.0095
1.831055 43.006 30.1056
2.197266 54.733 29.8965
2.563477 57.661 9.5972
2.929688 58.030 -10.6986
3.295899 56.892 -27.3261
3.662110 54.958 -34.7240
4.028321 54.100 -28.9208
4.394532 55.837 -24.2645
4.760743 58.222 -30.4601
5.126954 60.001 -41.5475
5.493164 61.073 -52.3165
5.859375 61.660 -59.9754
6.225586 62.139 -63.6279
6.591797 62.865 -64.6930
6.958008 63.863 -65.8247
7.324219 64.878 -68.3363
7.690430 65.693 -71.7455
8.056641 66.273 -75.0270
8.422852 66.701 -77.5432
8.789063 67.091 -79.3416
9.155274 67.496 -80.9218
9.521485 67.899 -82.7107
9.887696 68.255 -84.7645
10.253907 68.550 -86.8968
10.620118 68.805 -88.9537
10.986329 69.047 -90.9472
11.352540 69.284 -92.9787
11.718751 69.508 -95.0901
12.084962 69.714 -97.2151
12.451173 69.907 -99.2572
12.817384 70.100 -101.1878
13.183595 70.301 -103.0579
13.549806 70.505 -104.9228
13.916017 70.699 -106.7714
14.282228 70.877 -108.5346
14.648439 71.044 -110.1561
15.014650 71.209 -111.6462
15.380861 71.372 -113.0664
15.747072 71.528 -114.4665
16.113283 71.666 -115.8405
16.479493 71.784 -117.1432
16.845704 71.888 -118.3439
17.211915 71.986 -119.4613
17.578126 72.082 -120.5496
17.944337 72.172 -121.6543
18.310548 72.253 -122.7826
18.676759 72.322 -123.9133
19.042970 72.383 -125.0262
19.409181 72.439 -126.1212
19.775392 72.494 -127.2111
20.141603 72.547 -128.3021
20.507814 72.598 -129.3856
20.874025 72.647 -130.4484
21.240236 72.697 -131.4865
21.606447 72.749 -132.5078
21.972658 72.802 -133.5187
22.338869 72.851 -134.5109
22.705080 72.897 -135.4609
23.071291 72.940 -136.3466
23.437502 72.985 -137.1671
23.803713 73.035 -137.9486
24.169924 73.088 -138.7326
24.536135 73.139 -139.5487
24.902346 73.180 -140.3933
25.268557 73.206 -141.2267
25.634768 73.218 -141.9953
26.000979 73.224 -142.6664
26.367190 73.235 -143.2550
26.733401 73.255 -143.8218
27.099612 73.283 -144.4363
27.465823 73.309 -145.1311
27.832033 73.326 -145.8805
28.198244 73.329 -146.6213
28.564455 73.326 -147.2989
28.930666 73.326 -147.9065
29.296877 73.336 -148.4863
29.663088 73.356 -149.0939
30.029299 73.377 -149.7550
30.395510 73.394 -150.4503
30.761721 73.404 -151.1356
31.127932 73.410 -151.7768
31.494143 73.417 -152.3700
31.860354 73.428 -152.9353
32.226565 73.442 -153.4945
32.592776 73.455 -154.0541
32.958987 73.466 -154.6058
33.325198 73.473 -155.1382
33.691409 73.479 -155.6464
34.057620 73.485 -156.1333
34.423831 73.490 -156.6059
34.790042 73.495 -157.0730
35.156253 73.500 -157.5435
35.522464 73.502 -158.0228
35.888675 73.501 -158.5063
36.254886 73.494 -158.9772
36.621097 73.485 -159.4148
36.987308 73.477 -159.8124
37.353519 73.475 -160.1901
37.719730 73.480 -160.5869
38.085941 73.488 -161.0352
38.452152 73.492 -161.5350
38.818363 73.488 -162.0500
39.184573 73.476 -162.5322
39.550784 73.463 -162.9566
39.916995 73.455 -163.3394
40.283206 73.454 -163.7246
40.649417 73.456 -164.1481
41.015628 73.454 -164.6085
41.381839 73.443 -165.0668
41.748050 73.426 -165.4761
42.114261 73.409 -165.8159
42.480472 73.398 -166.1066
42.846683 73.396 -166.3938
43.212894 73.399 -166.7152
43.579105 73.401 -167.0774
43.945316 73.397 -167.4565
44.311527 73.388 -167.8210
44.677738 73.377 -168.1543
45.043949 73.368 -168.4632
45.410160 73.362 -168.7675
45.776371 73.357 -169.0828
46.142582 73.352 -169.4106
46.508793 73.344 -169.7418
46.875004 73.335 -170.0674
47.241215 73.325 -170.3850
47.607426 73.315 -170.6981
47.973637 73.305 -171.0093
48.339848 73.294 -171.3166
48.706059 73.282 -171.6155
49.072270 73.271 -171.9045
49.438481 73.261 -172.1879
49.804692 73.252 -172.4735
50.170902 73.244 -172.7663
50.537113 73.235 -173.0642
50.903324 73.224 -173.3604
51.269535 73.213 -173.6486
51.635746 73.201 -173.9273
52.001957 73.191 -174.2009
52.368168 73.181 -174.4746
52.734379 73.171 -174.7499
53.100590 73.159 -175.0226
53.466801 73.146 -175.2856
53.833012 73.134 -175.5342
54.199223 73.122 -175.7704
54.565434 73.112 -176.0027
54.931645 73.103 -176.2403
55.297856 73.093 -176.4867
55.664067 73.082 -176.7365
56.030278 73.068 -176.9785
56.396489 73.054 -177.2054
56.762700 73.040 -177.4195
57.128911 73.029 -177.6326
57.495122 73.018 -177.8565
57.861333 73.005 -178.0921
58.227544 72.990 -178.3267
58.593755 72.973 -178.5434
58.959966 72.956 -178.7350
59.326177 72.944 -178.9128
59.692388 72.936 -179.1006
60.058599 72.930 -179.3175
60.424810 72.922 -179.5641
60.791021 72.910 -179.8216
61.157232 72.895 179.9343
61.523442 72.878 179.7157
61.889653 72.864 179.5154
62.255864 72.853 179.3146
62.622075 72.843 179.0989
62.988286 72.832 178.8686
63.354497 72.818 178.6369
63.720708 72.802 178.4188
64.086919 72.786 178.2199
64.453130 72.770 178.0359
64.819341 72.756 177.8584
65.185552 72.743 177.6831
65.551763 72.730 177.5112
65.917974 72.717 177.3444
66.284185 72.707 177.1798
66.650396 72.698 177.0093
67.016607 72.690 176.8243
67.382818 72.681 176.6219
67.749029 72.671 176.4066
68.115240 72.657 176.1870
68.481451 72.641 175.9707
68.847662 72.623 175.7632
69.213873 72.603 175.5687
69.580084 72.581 175.3930
69.946295 72.558 175.2427
70.312506 72.537 175.1210
70.678717 72.519 175.0223
71.044928 72.507 174.9317
71.411139 72.500 174.8293
71.777350 72.496 174.6989
72.143561 72.492 174.5349
72.509771 72.486 174.3441
72.875982 72.475 174.1413
73.242193 72.461 173.9417
73.608404 72.444 173.7554
73.974615 72.426 173.5853
74.340826 72.408 173.4295
74.707037 72.390 173.2849
75.073248 72.373 173.1494
75.439459 72.356 173.0222
75.805670 72.341 172.9021
76.171881 72.327 172.7855
76.538092 72.315 172.6672
76.904303 72.305 172.5421
77.270514 72.295 172.4075
77.636725 72.284 172.2641
78.002936 72.273 172.1158
78.369147 72.260 171.9680
78.735358 72.246 171.8250
79.101569 72.232 171.6895
79.467780 72.218 171.5607
79.833991 72.205 171.4351
80.200202 72.193 171.3076
80.566413 72.180 171.1745
80.932624 72.167 171.0356
81.298835 72.152 170.8958
81.665046 72.136 170.7625
82.031257 72.118 170.6419
82.397468 72.101 170.5349
82.763679 72.085 170.4357
83.129890 72.072 170.3357
83.496101 72.059 170.2280
83.862311 72.046 170.1119
84.228522 72.032 169.9924
84.594733 72.017 169.8760
84.960944 72.002 169.7661
85.327155 71.988 169.6606
85.693366 71.975 169.5544
86.059577 71.963 169.4432
86.425788 71.950 169.3268
86.791999 71.936 169.2088
87.158210 71.922 169.0936
87.524421 71.907 168.9835
87.890632 71.892 168.8782
88.256843 71.878 168.7754
88.623054 71.863 168.6740
88.989265 71.849 168.5747
89.355476 71.834 168.4794
89.721687 71.819 168.3887
90.087898 71.805 168.3011
90.454109 71.792 168.2131
90.820320 71.779 168.1208
91.186531 71.767 168.0226
91.552742 71.753 167.9203
91.918953 71.739 167.8176
92.285164 71.724 167.7180
92.651375 71.709 167.6230
93.017586 71.695 167.5305
93.383797 71.681 167.4370
93.750008 71.668 167.3394
94.116219 71.654 167.2378
94.482430 71.639 167.1351
94.848641 71.624 167.0358
95.214851 71.608 166.9432
95.581062 71.593 166.8576
95.947273 71.578 166.7767
96.313484 71.564 166.6970
96.679695 71.550 166.6164
97.045906 71.537 166.5347
97.412117 71.523 166.4532
97.778328 71.510 166.3732
98.144539 71.496 166.2946
98.510750 71.483 166.2164
98.876961 71.469 166.1378
99.243172 71.455 166.0590
99.609383 71.441 165.9814
99.975594 71.427 165.9067
100.341805 71.412 165.8351
100.708016 71.399 165.7648
101.074227 71.385 165.6928
101.440438 71.372 165.6169
101.806649 71.358 165.5368
102.172860 71.344 165.4552
102.539071 71.329 165.3755
102.905282 71.314 165.3002
103.271493 71.299 165.2293
103.637704 71.284 165.1607
104.003915 71.271 165.0912
104.370126 71.258 165.0190
104.736337 71.245 164.9441
105.102548 71.231 164.8679
105.468759 71.217 164.7925
105.834970 71.204 164.7194
106.201180 71.190 164.6494
106.567391 71.176 164.5821
106.933602 71.163 164.5171
107.299813 71.150 164.4538
107.666024 71.137 164.3914
108.032235 71.125 164.3295
108.398446 71.112 164.2678
108.764657 71.100 164.2066
109.130868 71.087 164.1465
109.497079 71.074 164.0878
109.863290 71.062 164.0301
110.229501 71.050 163.9720
110.595712 71.037 163.9123
110.961923 71.025 163.8503
111.328134 71.012 163.7870
111.694345 70.998 163.7242
112.060556 70.984 163.6640
112.426767 70.970 163.6072
112.792978 70.956 163.5531
113.159189 70.942 163.4993
113.525400 70.929 163.4435
113.891611 70.915 163.3846
114.257822 70.901 163.3238
114.624033 70.887 163.2639
114.990244 70.872 163.2078
115.356455 70.857 163.1568
115.722666 70.843 163.1101
116.088877 70.829 163.0648
116.455088 70.817 163.0177
116.821299 70.805 162.9666
117.187510 70.793 162.9113
117.553720 70.780 162.8539
117.919931 70.768 162.7967
118.286142 70.755 162.7416
118.652353 70.742 162.6895
119.018564 70.729 162.6394
119.384775 70.717 162.5903
119.750986 70.705 162.5411
120.117197 70.692 162.4915
120.483408 70.680 162.4421
120.849619 70.667 162.3937
121.215830 70.655 162.3475
121.582041 70.642 162.3038
121.948252 70.629 162.2626
122.314463 70.616 162.2236
122.680674 70.604 162.1861
123.046885 70.591 162.1492
123.413096 70.579 162.1124
123.779307 70.568 162.0748
124.145518 70.556 162.0358
124.511729 70.544 161.9946
124.877940 70.532 161.9516
125.244151 70.519 161.9077
125.610362 70.506 161.8649
125.976573 70.493 161.8253
126.342784 70.479 161.7898
126.708995 70.466 161.7581
127.075206 70.453 161.7281
127.441417 70.441 161.6973
127.807628 70.429 161.6635
128.173839 70.418 161.6261
128.540049 70.406 161.5861
128.906260 70.393 161.5453
129.272471 70.381 161.5051
129.638682 70.368 161.4665
130.004893 70.356 161.4293
130.371104 70.343 161.3931
130.737315 70.330 161.3575
131.103526 70.318 161.3226
131.469737 70.305 161.2888
131.835948 70.293 161.2565
132.202159 70.281 161.2255
132.568370 70.268 161.1951
132.934581 70.257 161.1646
133.300792 70.245 161.1335
133.667003 70.233 161.1017
134.033214 70.222 161.0695
134.399425 70.210 161.0372
134.765636 70.198 161.0051
135.131847 70.186 160.9732
135.498058 70.175 160.9414
135.864269 70.162 160.9099
136.230480 70.150 160.8790
136.596691 70.138 160.8495
136.962902 70.125 160.8220
137.329113 70.113 160.7967
137.695324 70.100 160.7734
138.061535 70.088 160.7511
138.427746 70.077 160.7288
138.793957 70.065 160.7053
139.160168 70.054 160.6801
139.526379 70.043 160.6535
139.892589 70.031 160.6258
140.258800 70.020 160.5978
140.625011 70.008 160.5702
140.991222 69.996 160.5430
141.357433 69.985 160.5162
141.723644 69.973 160.4894
142.089855 69.962 160.4620
142.456066 69.950 160.4338
142.822277 69.939 160.4048
143.188488 69.927 160.3755
143.554699 69.915 160.3469
143.920910 69.903 160.3199
144.287121 69.890 160.2954
144.653332 69.878 160.2739
145.019543 69.865 160.2553
145.385754 69.853 160.2391
145.751965 69.842 160.2243
146.118176 69.830 160.2100
146.484387 69.819 160.1956
146.850598 69.808 160.1809
147.216809 69.798 160.1659
147.583020 69.787 160.1507
147.949231 69.776 160.1355
148.315442 69.765 160.1202
148.681653 69.755 160.1048
