* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 7:05:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bridge s.01 f.S Stock White L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 82.114 160.5051
0.732422 80.334 140.7549
1.098633 77.027 119.9774
1.464844 71.343 94.4902
1.831055 62.155 34.4307
2.197266 64.775 -51.6244
2.563477 67.548 -66.5556
2.929688 68.922 -56.5344
3.295899 71.897 -42.3701
3.662110 75.216 -38.9458
4.028321 77.646 -41.9651
4.394532 79.191 -46.4114
4.760743 80.159 -49.8377
5.126954 80.899 -51.5966
5.493164 81.669 -52.5023
5.859375 82.517 -53.8979
6.225586 83.339 -56.4291
6.591797 84.030 -59.8111
6.958008 84.575 -63.3947
7.324219 85.026 -66.6979
7.690430 85.456 -69.6288
8.056641 85.910 -72.4004
8.422852 86.382 -75.2542
8.789063 86.842 -78.2470
9.155274 87.267 -81.2525
9.521485 87.655 -84.1012
9.887696 88.018 -86.7034
10.253907 88.368 -89.0776
10.620118 88.710 -91.2965
10.986329 89.036 -93.4169
11.352540 89.340 -95.4527
11.718751 89.618 -97.3931
12.084962 89.870 -99.2309
12.451173 90.100 -100.9740
12.817384 90.309 -102.6382
13.183595 90.500 -104.2399
13.549806 90.675 -105.7952
13.916017 90.836 -107.3232
14.282228 90.985 -108.8420
14.648439 91.122 -110.3601
15.014650 91.246 -111.8709
15.380861 91.359 -113.3585
15.747072 91.466 -114.8120
16.113283 91.570 -116.2341
16.479493 91.673 -117.6370
16.845704 91.775 -119.0294
17.211915 91.872 -120.4061
17.578126 91.965 -121.7505
17.944337 92.054 -123.0453
18.310548 92.141 -124.2830
18.676759 92.226 -125.4681
19.042970 92.310 -126.6109
19.409181 92.391 -127.7201
19.775392 92.468 -128.7983
20.141603 92.539 -129.8434
20.507814 92.603 -130.8521
20.874025 92.661 -131.8226
21.240236 92.714 -132.7574
21.606447 92.764 -133.6638
21.972658 92.809 -134.5518
22.338869 92.851 -135.4300
22.705080 92.889 -136.3012
23.071291 92.922 -137.1616
23.437502 92.951 -138.0055
23.803713 92.979 -138.8317
24.169924 93.007 -139.6460
24.536135 93.035 -140.4577
24.902346 93.063 -141.2718
25.268557 93.089 -142.0841
25.634768 93.113 -142.8844
26.000979 93.136 -143.6639
26.367190 93.160 -144.4209
26.733401 93.183 -145.1604
27.099612 93.207 -145.8872
27.465823 93.229 -146.6002
27.832033 93.248 -147.2927
28.198244 93.266 -147.9581
28.564455 93.284 -148.5958
28.930666 93.301 -149.2122
29.296877 93.317 -149.8160
29.663088 93.333 -150.4131
30.029299 93.347 -151.0042
30.395510 93.358 -151.5876
30.761721 93.367 -152.1621
31.127932 93.375 -152.7282
31.494143 93.380 -153.2870
31.860354 93.384 -153.8375
32.226565 93.387 -154.3774
32.592776 93.389 -154.9059
32.958987 93.392 -155.4256
33.325198 93.396 -155.9426
33.691409 93.400 -156.4627
34.057620 93.403 -156.9866
34.423831 93.405 -157.5088
34.790042 93.406 -158.0207
35.156253 93.405 -158.5162
35.522464 93.406 -158.9954
35.888675 93.407 -159.4643
36.254886 93.409 -159.9302
36.621097 93.412 -160.3965
36.987308 93.412 -160.8604
37.353519 93.411 -161.3154
37.719730 93.409 -161.7556
38.085941 93.406 -162.1799
38.452152 93.404 -162.5919
38.818363 93.402 -162.9972
39.184573 93.400 -163.4001
39.550784 93.398 -163.8024
39.916995 93.395 -164.2037
40.283206 93.391 -164.6026
40.649417 93.385 -164.9969
41.015628 93.378 -165.3830
41.381839 93.370 -165.7562
41.748050 93.362 -166.1127
42.114261 93.355 -166.4530
42.480472 93.350 -166.7841
42.846683 93.348 -167.1179
43.212894 93.347 -167.4660
43.579105 93.347 -167.8340
43.945316 93.343 -168.2175
44.311527 93.336 -168.6036
44.677738 93.325 -168.9771
45.043949 93.312 -169.3273
45.410160 93.299 -169.6526
45.776371 93.288 -169.9609
46.142582 93.279 -170.2639
46.508793 93.272 -170.5716
46.875004 93.265 -170.8875
47.241215 93.257 -171.2085
47.607426 93.249 -171.5285
47.973637 93.239 -171.8429
48.339848 93.229 -172.1506
48.706059 93.219 -172.4529
49.072270 93.209 -172.7508
49.438481 93.199 -173.0439
49.804692 93.189 -173.3307
50.170902 93.180 -173.6119
50.537113 93.171 -173.8906
50.903324 93.162 -174.1710
51.269535 93.153 -174.4550
51.635746 93.143 -174.7398
52.001957 93.132 -175.0197
52.368168 93.119 -175.2898
52.734379 93.107 -175.5496
53.100590 93.095 -175.8035
53.466801 93.083 -176.0561
53.833012 93.071 -176.3087
54.199223 93.059 -176.5586
54.565434 93.046 -176.8018
54.931645 93.034 -177.0388
55.297856 93.024 -177.2751
55.664067 93.014 -177.5178
56.030278 93.003 -177.7687
56.396489 92.991 -178.0217
56.762700 92.977 -178.2654
57.128911 92.963 -178.4922
57.495122 92.951 -178.7050
57.861333 92.941 -178.9166
58.227544 92.934 -179.1409
58.593755 92.926 -179.3825
58.959966 92.915 -179.6329
59.326177 92.902 -179.8758
59.692388 92.887 179.9015
60.058599 92.872 179.6988
60.424810 92.860 179.5043
60.791021 92.850 179.3037
61.157232 92.839 179.0916
61.523442 92.826 178.8742
61.889653 92.812 178.6643
62.255864 92.796 178.4703
62.622075 92.782 178.2896
62.988286 92.769 178.1113
63.354497 92.758 177.9244
63.720708 92.746 177.7256
64.086919 92.733 177.5215
64.453130 92.718 177.3215
64.819341 92.702 177.1318
65.185552 92.687 176.9507
65.551763 92.674 176.7718
65.917974 92.661 176.5895
66.284185 92.647 176.4032
66.650396 92.634 176.2165
67.016607 92.620 176.0337
67.382818 92.605 175.8562
67.749029 92.592 175.6826
68.115240 92.578 175.5106
68.481451 92.565 175.3392
68.847662 92.552 175.1691
69.213873 92.539 175.0004
69.580084 92.526 174.8321
69.946295 92.514 174.6626
70.312506 92.500 174.4922
70.678717 92.486 174.3245
71.044928 92.470 174.1642
71.411139 92.455 174.0140
71.777350 92.441 173.8709
72.143561 92.429 173.7278
72.509771 92.417 173.5774
72.875982 92.405 173.4174
73.242193 92.392 173.2522
73.608404 92.377 173.0900
73.974615 92.361 172.9373
74.340826 92.345 172.7945
74.707037 92.331 172.6570
75.073248 92.318 172.5184
75.439459 92.305 172.3744
75.805670 92.292 172.2248
76.171881 92.278 172.0722
76.538092 92.264 171.9197
76.904303 92.248 171.7703
77.270514 92.232 171.6270
77.636725 92.216 171.4925
78.002936 92.201 171.3675
78.369147 92.186 171.2488
78.735358 92.174 171.1293
79.101569 92.163 171.0017
79.467780 92.152 170.8633
79.833991 92.139 170.7187
80.200202 92.124 170.5770
80.566413 92.109 170.4456
80.932624 92.094 170.3248
81.298835 92.081 170.2073
81.665046 92.068 170.0848
82.031257 92.055 169.9550
82.397468 92.041 169.8239
82.763679 92.025 169.7010
83.129890 92.008 169.5917
83.496101 91.994 169.4915
83.862311 91.981 169.3893
84.228522 91.969 169.2756
84.594733 91.956 169.1501
84.960944 91.942 169.0223
85.327155 91.925 168.9039
85.693366 91.909 168.7994
86.059577 91.895 168.7020
86.425788 91.882 168.5984
86.791999 91.870 168.4798
87.158210 91.857 168.3480
87.524421 91.841 168.2151
87.890632 91.824 168.0945
88.256843 91.806 167.9919
88.623054 91.790 167.9020
88.989265 91.776 167.8136
89.355476 91.763 167.7180
89.721687 91.751 167.6143
90.087898 91.737 167.5080
90.454109 91.723 167.4060
90.820320 91.709 167.3108
91.186531 91.695 167.2194
91.552742 91.683 167.1270
91.918953 91.670 167.0306
92.285164 91.657 166.9308
92.651375 91.643 166.8304
93.017586 91.629 166.7321
93.383797 91.614 166.6372
93.750008 91.598 166.5464
94.116219 91.583 166.4601
94.482430 91.568 166.3780
94.848641 91.554 166.2983
95.214851 91.541 166.2169
95.581062 91.528 166.1293
95.947273 91.515 166.0342
96.313484 91.501 165.9352
96.679695 91.486 165.8389
97.045906 91.471 165.7507
97.412117 91.456 165.6703
97.778328 91.443 165.5916
98.144539 91.430 165.5074
98.510750 91.418 165.4146
98.876961 91.404 165.3178
99.243172 91.389 165.2257
99.609383 91.373 165.1443
99.975594 91.359 165.0728
100.341805 91.345 165.0036
100.708016 91.333 164.9294
101.074227 91.320 164.8484
101.440438 91.306 164.7659
101.806649 91.291 164.6890
102.172860 91.277 164.6206
102.539071 91.263 164.5568
102.905282 91.250 164.4902
103.271493 91.238 164.4166
103.637704 91.224 164.3381
104.003915 91.210 164.2612
104.370126 91.195 164.1906
104.736337 91.181 164.1252
105.102548 91.168 164.0593
105.468759 91.155 163.9879
105.834970 91.142 163.9109
106.201180 91.128 163.8337
106.567391 91.113 163.7620
106.933602 91.098 163.6982
107.299813 91.084 163.6393
107.666024 91.071 163.5804
108.032235 91.059 163.5179
108.398446 91.047 163.4512
108.764657 91.035 163.3819
109.130868 91.022 163.3118
109.497079 91.009 163.2425
109.863290 90.995 163.1752
110.229501 90.981 163.1113
110.595712 90.967 163.0508
110.961923 90.953 162.9924
111.328134 90.940 162.9336
111.694345 90.926 162.8733
112.060556 90.912 162.8135
112.426767 90.897 162.7578
112.792978 90.883 162.7075
113.159189 90.869 162.6591
113.525400 90.857 162.6062
113.891611 90.844 162.5449
114.257822 90.830 162.4785
114.624033 90.814 162.4166
114.990244 90.797 162.3679
115.356455 90.782 162.3322
115.722666 90.769 162.3002
116.088877 90.758 162.2589
116.455088 90.748 162.2023
116.821299 90.736 162.1358
117.187510 90.722 162.0714
117.553720 90.707 162.0181
117.919931 90.693 161.9752
118.286142 90.681 161.9334
118.652353 90.670 161.8835
119.018564 90.659 161.8243
119.384775 90.646 161.7629
119.750986 90.633 161.7080
120.117197 90.619 161.6625
120.483408 90.607 161.6207
120.849619 90.596 161.5742
121.215830 90.585 161.5191
121.582041 90.572 161.4595
121.948252 90.558 161.4041
122.314463 90.543 161.3593
122.680674 90.530 161.3244
123.046885 90.517 161.2923
123.413096 90.506 161.2553
123.779307 90.495 161.2104
124.145518 90.483 161.1605
124.511729 90.469 161.1118
124.877940 90.455 161.0690
125.244151 90.442 161.0331
125.610362 90.429 161.0013
125.976573 90.417 160.9688
126.342784 90.405 160.9317
126.708995 90.394 160.8885
127.075206 90.382 160.8409
127.441417 90.369 160.7926
127.807628 90.355 160.7475
128.173839 90.341 160.7079
128.540049 90.327 160.6738
128.906260 90.314 160.6426
129.272471 90.301 160.6117
129.638682 90.289 160.5796
130.004893 90.278 160.5462
130.371104 90.266 160.5117
130.737315 90.255 160.4756
131.103526 90.243 160.4366
131.469737 90.231 160.3945
131.835948 90.219 160.3516
132.202159 90.205 160.3115
132.568370 90.192 160.2775
132.934581 90.178 160.2500
133.300792 90.166 160.2258
133.667003 90.154 160.2000
134.033214 90.143 160.1690
134.399425 90.132 160.1329
134.765636 90.119 160.0948
135.131847 90.107 160.0590
135.498058 90.093 160.0279
135.864269 90.080 160.0009
136.230480 90.068 159.9752
136.596691 90.057 159.9474
136.962902 90.045 159.9158
137.329113 90.033 159.8813
137.695324 90.021 159.8470
138.061535 90.008 159.8160
138.427746 89.995 159.7892
138.793957 89.983 159.7645
139.160168 89.972 159.7383
139.526379 89.961 159.7084
139.892589 89.949 159.6763
140.258800 89.937 159.6459
140.625011 89.924 159.6210
140.991222 89.912 159.6012
141.357433 89.902 159.5819
141.723644 89.891 159.5577
142.089855 89.881 159.5270
142.456066 89.869 159.4932
142.822277 89.857 159.4625
143.188488 89.844 159.4390
143.554699 89.831 159.4213
143.920910 89.820 159.4048
144.287121 89.808 159.3860
144.653332 89.796 159.3658
145.019543 89.784 159.3478
145.385754 89.773 159.3344
145.751965 89.762 159.3224
146.118176 89.752 159.3062
146.484387 89.742 159.2814
146.850598 89.731 159.2504
147.216809 89.719 159.2205
147.583020 89.706 159.1985
147.949231 89.694 159.1844
148.315442 89.683 159.1718
148.681653 89.673 159.1526
149.047864 89.662 159.1241
