* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 6:54:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bridge s.10 f.G Stock White L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.025 162.7137
0.732422 59.299 144.9297
1.098633 56.065 125.1758
1.464844 50.518 96.4080
1.831055 44.971 22.7774
2.197266 49.709 -35.0753
2.563477 53.155 -50.5835
2.929688 55.307 -54.0894
3.295899 57.215 -53.5898
3.662110 59.094 -53.5897
4.028321 60.756 -55.5342
4.394532 62.062 -58.7995
4.760743 63.028 -62.3463
5.126954 63.759 -65.4962
5.493164 64.379 -68.1296
5.859375 64.973 -70.5646
6.225586 65.558 -73.2057
6.591797 66.104 -76.2217
6.958008 66.585 -79.4908
7.324219 66.997 -82.7582
7.690430 67.364 -85.8221
8.056641 67.717 -88.6293
8.422852 68.075 -91.2554
8.789063 68.440 -93.8074
9.155274 68.797 -96.3372
9.521485 69.134 -98.8203
9.887696 69.443 -101.1923
10.253907 69.726 -103.3983
10.620118 69.988 -105.4211
10.986329 70.233 -107.2805
11.352540 70.464 -109.0164
11.718751 70.680 -110.6689
12.084962 70.877 -112.2649
12.451173 71.053 -113.8132
12.817384 71.208 -115.3067
13.183595 71.344 -116.7334
13.549806 71.465 -118.0907
13.916017 71.578 -119.3949
14.282228 71.686 -120.6783
14.648439 71.790 -121.9721
15.014650 71.886 -123.2879
15.380861 71.973 -124.6116
15.747072 72.052 -125.9147
16.113283 72.126 -127.1752
16.479493 72.200 -128.3916
16.845704 72.276 -129.5807
17.211915 72.354 -130.7607
17.578126 72.430 -131.9334
17.944337 72.501 -133.0812
18.310548 72.566 -134.1788
18.676759 72.627 -135.2110
19.042970 72.689 -136.1820
19.409181 72.750 -137.1106
19.775392 72.809 -138.0144
20.141603 72.864 -138.8971
20.507814 72.912 -139.7487
20.874025 72.956 -140.5586
21.240236 72.996 -141.3292
21.606447 73.037 -142.0809
21.972658 73.076 -142.8416
22.338869 73.111 -143.6270
22.705080 73.137 -144.4277
23.071291 73.153 -145.2119
23.437502 73.162 -145.9451
23.803713 73.170 -146.6140
24.169924 73.184 -147.2386
24.536135 73.207 -147.8627
24.902346 73.236 -148.5283
25.268557 73.263 -149.2494
25.634768 73.284 -150.0039
26.000979 73.296 -150.7469
26.367190 73.301 -151.4373
26.733401 73.305 -152.0595
27.099612 73.314 -152.6283
27.465823 73.328 -153.1758
27.832033 73.347 -153.7297
28.198244 73.367 -154.2996
28.564455 73.383 -154.8770
28.930666 73.395 -155.4465
29.296877 73.404 -155.9982
29.663088 73.410 -156.5317
30.029299 73.416 -157.0515
30.395510 73.419 -157.5601
30.761721 73.420 -158.0544
31.127932 73.420 -158.5306
31.494143 73.420 -158.9899
31.860354 73.422 -159.4419
32.226565 73.425 -159.8993
32.592776 73.428 -160.3692
32.958987 73.429 -160.8471
33.325198 73.427 -161.3199
33.691409 73.424 -161.7755
34.057620 73.422 -162.2117
34.423831 73.421 -162.6376
34.790042 73.423 -163.0657
35.156253 73.424 -163.5012
35.522464 73.423 -163.9368
35.888675 73.420 -164.3580
36.254886 73.416 -164.7542
36.621097 73.414 -165.1270
36.987308 73.415 -165.4905
37.353519 73.418 -165.8615
37.719730 73.421 -166.2495
38.085941 73.422 -166.6511
38.452152 73.418 -167.0533
38.818363 73.411 -167.4420
39.184573 73.402 -167.8086
39.550784 73.392 -168.1533
39.916995 73.384 -168.4835
40.283206 73.377 -168.8095
40.649417 73.371 -169.1404
41.015628 73.365 -169.4804
41.381839 73.357 -169.8257
41.748050 73.346 -170.1665
42.114261 73.333 -170.4908
42.480472 73.320 -170.7925
42.846683 73.310 -171.0766
43.212894 73.303 -171.3581
43.579105 73.299 -171.6542
43.945316 73.295 -171.9733
44.311527 73.288 -172.3095
44.677738 73.277 -172.6454
45.043949 73.263 -172.9629
45.410160 73.249 -173.2532
45.776371 73.236 -173.5214
46.142582 73.226 -173.7814
46.508793 73.219 -174.0467
46.875004 73.212 -174.3227
47.241215 73.205 -174.6063
47.607426 73.196 -174.8904
47.973637 73.187 -175.1695
48.339848 73.177 -175.4433
48.706059 73.168 -175.7144
49.072270 73.158 -175.9846
49.438481 73.148 -176.2521
49.804692 73.136 -176.5122
50.170902 73.124 -176.7608
50.537113 73.113 -176.9985
50.903324 73.104 -177.2304
51.269535 73.095 -177.4642
51.635746 73.087 -177.7048
52.001957 73.078 -177.9518
52.368168 73.067 -178.1992
52.734379 73.055 -178.4398
53.100590 73.042 -178.6696
53.466801 73.029 -178.8897
53.833012 73.018 -179.1051
54.199223 73.007 -179.3212
54.565434 72.996 -179.5408
54.931645 72.985 -179.7646
55.297856 72.973 -179.9916
55.664067 72.961 179.7791
56.030278 72.947 179.5489
56.396489 72.931 179.3228
56.762700 72.913 179.1088
57.128911 72.894 178.9157
57.495122 72.876 178.7477
57.861333 72.861 178.5998
58.227544 72.851 178.4578
58.593755 72.845 178.3037
58.959966 72.840 178.1244
59.326177 72.835 177.9174
59.692388 72.828 177.6918
60.058599 72.816 177.4633
60.424810 72.801 177.2467
60.791021 72.784 177.0502
61.157232 72.768 176.8726
61.523442 72.754 176.7059
61.889653 72.741 176.5397
62.255864 72.730 176.3671
62.622075 72.718 176.1864
62.988286 72.705 176.0016
63.354497 72.691 175.8190
63.720708 72.677 175.6431
64.086919 72.663 175.4747
64.453130 72.649 175.3109
64.819341 72.637 175.1470
65.185552 72.625 174.9803
65.551763 72.612 174.8113
65.917974 72.600 174.6433
66.284185 72.586 174.4799
66.650396 72.574 174.3224
67.016607 72.562 174.1689
67.382818 72.551 174.0146
67.749029 72.541 173.8544
68.115240 72.530 173.6848
68.481451 72.519 173.5063
68.847662 72.506 173.3235
69.213873 72.490 173.1443
69.580084 72.471 172.9777
69.946295 72.452 172.8302
70.312506 72.433 172.7028
70.678717 72.416 172.5901
71.044928 72.402 172.4823
71.411139 72.390 172.3688
71.777350 72.379 172.2433
72.143561 72.369 172.1051
72.509771 72.357 171.9582
72.875982 72.344 171.8079
73.242193 72.330 171.6578
73.608404 72.316 171.5098
73.974615 72.301 171.3644
74.340826 72.285 171.2227
74.707037 72.269 171.0858
75.073248 72.254 170.9544
75.439459 72.239 170.8273
75.805670 72.224 170.7027
76.171881 72.210 170.5798
76.538092 72.196 170.4600
76.904303 72.182 170.3458
77.270514 72.169 170.2376
77.636725 72.158 170.1317
78.002936 72.148 170.0211
78.369147 72.139 169.8997
78.735358 72.129 169.7668
79.101569 72.118 169.6286
79.467780 72.105 169.4946
79.833991 72.090 169.3720
80.200202 72.076 169.2617
80.566413 72.062 169.1586
80.932624 72.049 169.0555
81.298835 72.037 168.9491
81.665046 72.024 168.8404
82.031257 72.010 168.7335
82.397468 71.995 168.6313
82.763679 71.981 168.5333
83.129890 71.967 168.4365
83.496101 71.954 168.3383
83.862311 71.940 168.2377
84.228522 71.926 168.1361
84.594733 71.912 168.0346
84.960944 71.897 167.9332
85.327155 71.883 167.8317
85.693366 71.868 167.7305
86.059577 71.853 167.6312
86.425788 71.839 167.5350
86.791999 71.825 167.4407
87.158210 71.812 167.3447
87.524421 71.799 167.2426
87.890632 71.787 167.1334
88.256843 71.773 167.0203
88.623054 71.758 166.9099
88.989265 71.742 166.8076
89.355476 71.727 166.7149
89.721687 71.712 166.6285
90.087898 71.699 166.5431
90.454109 71.686 166.4551
90.820320 71.673 166.3643
91.186531 71.660 166.2730
91.552742 71.646 166.1841
91.918953 71.633 166.0986
92.285164 71.619 166.0159
92.651375 71.606 165.9344
93.017586 71.593 165.8533
93.383797 71.580 165.7716
93.750008 71.567 165.6888
94.116219 71.554 165.6041
94.482430 71.542 165.5173
94.848641 71.528 165.4293
95.214851 71.514 165.3422
95.581062 71.500 165.2580
95.947273 71.486 165.1773
96.313484 71.472 165.0988
96.679695 71.459 165.0209
97.045906 71.445 164.9424
97.412117 71.432 164.8643
97.778328 71.418 164.7886
98.144539 71.404 164.7167
98.510750 71.390 164.6485
98.876961 71.377 164.5820
99.243172 71.364 164.5149
99.609383 71.352 164.4461
99.975594 71.339 164.3762
100.341805 71.326 164.3068
100.708016 71.312 164.2392
101.074227 71.299 164.1734
101.440438 71.285 164.1087
101.806649 71.272 164.0438
102.172860 71.259 163.9780
102.539071 71.245 163.9116
102.905282 71.232 163.8450
103.271493 71.218 163.7785
103.637704 71.205 163.7118
104.003915 71.192 163.6445
104.370126 71.178 163.5768
104.736337 71.164 163.5093
105.102548 71.150 163.4435
105.468759 71.136 163.3808
105.834970 71.122 163.3215
106.201180 71.109 163.2651
106.567391 71.097 163.2099
106.933602 71.084 163.1536
107.299813 71.073 163.0947
107.666024 71.061 163.0328
108.032235 71.049 162.9691
108.398446 71.036 162.9054
108.764657 71.023 162.8437
109.130868 71.010 162.7851
109.497079 70.996 162.7297
109.863290 70.983 162.6770
110.229501 70.969 162.6259
110.595712 70.956 162.5760
110.961923 70.942 162.5266
111.328134 70.929 162.4777
111.694345 70.916 162.4292
112.060556 70.902 162.3810
112.426767 70.889 162.3329
112.792978 70.876 162.2849
113.159189 70.863 162.2368
113.525400 70.850 162.1880
113.891611 70.837 162.1382
114.257822 70.824 162.0873
114.624033 70.811 162.0359
114.990244 70.797 161.9849
115.356455 70.784 161.9356
115.722666 70.771 161.8885
116.088877 70.757 161.8436
116.455088 70.745 161.7997
116.821299 70.732 161.7556
117.187510 70.720 161.7103
117.553720 70.708 161.6636
117.919931 70.696 161.6164
118.286142 70.683 161.5695
118.652353 70.670 161.5239
119.018564 70.658 161.4797
119.384775 70.645 161.4364
119.750986 70.633 161.3932
120.117197 70.621 161.3495
120.483408 70.608 161.3052
120.849619 70.596 161.2609
121.215830 70.583 161.2172
121.582041 70.570 161.1750
121.948252 70.557 161.1346
122.314463 70.544 161.0957
122.680674 70.532 161.0578
123.046885 70.519 161.0204
123.413096 70.506 160.9831
123.779307 70.494 160.9460
124.145518 70.482 160.9090
124.511729 70.469 160.8721
124.877940 70.457 160.8353
125.244151 70.444 160.7987
125.610362 70.432 160.7623
125.976573 70.419 160.7267
126.342784 70.407 160.6922
126.708995 70.394 160.6590
127.075206 70.382 160.6271
127.441417 70.369 160.5959
127.807628 70.357 160.5651
128.173839 70.345 160.5342
128.540049 70.333 160.5032
128.906260 70.321 160.4721
129.272471 70.309 160.4411
129.638682 70.297 160.4100
130.004893 70.285 160.3787
130.371104 70.273 160.3467
130.737315 70.261 160.3141
131.103526 70.249 160.2809
131.469737 70.237 160.2476
131.835948 70.224 160.2149
132.202159 70.212 160.1831
132.568370 70.199 160.1524
132.934581 70.187 160.1225
133.300792 70.175 160.0931
133.667003 70.163 160.0641
134.033214 70.151 160.0354
134.399425 70.139 160.0072
134.765636 70.127 159.9795
135.131847 70.115 159.9523
135.498058 70.103 159.9257
135.864269 70.091 159.9000
136.230480 70.080 159.8752
136.596691 70.068 159.8515
136.962902 70.057 159.8288
137.329113 70.046 159.8065
137.695324 70.035 159.7841
138.061535 70.024 159.7611
138.427746 70.014 159.7374
138.793957 70.003 159.7133
139.160168 69.991 159.6894
139.526379 69.980 159.6663
139.892589 69.968 159.6444
140.258800 69.956 159.6241
140.625011 69.945 159.6054
140.991222 69.933 159.5883
141.357433 69.921 159.5726
141.723644 69.909 159.5580
142.089855 69.897 159.5438
142.456066 69.885 159.5294
142.822277 69.874 159.5142
143.188488 69.862 159.4977
143.554699 69.851 159.4800
143.920910 69.839 159.4612
144.287121 69.828 159.4420
144.653332 69.816 159.4225
145.019543 69.804 159.4034
145.385754 69.792 159.3847
145.751965 69.781 159.3665
146.118176 69.769 159.3488
146.484387 69.758 159.3314
146.850598 69.747 159.3138
147.216809 69.736 159.2962
147.583020 69.725 159.2783
147.949231 69.715 159.2602
148.315442 69.704 159.2421
148.681653 69.694 159.2241
149.047864 69.684 159.2064
