* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 6:54:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bridge s.10 f.G Stock White R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.731 -24.1014
0.732422 64.824 -47.9466
1.098633 61.075 -70.8189
1.464844 53.329 -88.0425
1.831055 45.828 22.7963
2.197266 56.190 20.7064
2.563477 59.319 -0.3721
2.929688 60.188 -21.7554
3.295899 59.799 -39.9908
3.662110 58.744 -51.1796
4.028321 58.101 -52.2556
4.394532 59.093 -49.3960
4.760743 61.051 -52.2086
5.126954 62.774 -60.0182
5.493164 63.903 -68.8556
5.859375 64.526 -75.9397
6.225586 64.926 -79.9940
6.591797 65.425 -81.5644
6.958008 66.143 -82.6020
7.324219 66.932 -84.5876
7.690430 67.593 -87.5030
8.056641 68.053 -90.5224
8.422852 68.364 -92.9429
8.789063 68.633 -94.6494
9.155274 68.927 -96.0544
9.521485 69.242 -97.6331
9.887696 69.529 -99.5293
10.253907 69.763 -101.5778
10.620118 69.953 -103.5735
10.986329 70.128 -105.4647
11.352540 70.302 -107.3348
11.718751 70.472 -109.2538
12.084962 70.628 -111.1852
12.451173 70.770 -113.0309
12.817384 70.911 -114.7382
13.183595 71.063 -116.3459
13.549806 71.222 -117.9281
13.916017 71.378 -119.5083
14.282228 71.520 -121.0383
14.648439 71.650 -122.4545
15.014650 71.775 -123.7438
15.380861 71.899 -124.9521
15.747072 72.019 -126.1338
16.113283 72.126 -127.3011
16.479493 72.218 -128.4247
16.845704 72.297 -129.4772
17.211915 72.370 -130.4696
17.578126 72.439 -131.4436
17.944337 72.503 -132.4333
18.310548 72.557 -133.4382
18.676759 72.601 -134.4314
19.042970 72.639 -135.3924
19.409181 72.677 -136.3274
19.775392 72.716 -137.2600
20.141603 72.757 -138.2070
20.507814 72.795 -139.1637
20.874025 72.831 -140.1118
21.240236 72.866 -141.0371
21.606447 72.902 -141.9378
21.972658 72.939 -142.8184
22.338869 72.974 -143.6775
22.705080 73.006 -144.5034
23.071291 73.037 -145.2815
23.437502 73.067 -146.0058
23.803713 73.100 -146.6862
24.169924 73.136 -147.3476
24.536135 73.174 -148.0191
24.902346 73.208 -148.7193
25.268557 73.234 -149.4424
25.634768 73.248 -150.1559
26.000979 73.251 -150.8157
26.367190 73.250 -151.3957
26.733401 73.254 -151.9128
27.099612 73.269 -152.4248
27.465823 73.290 -152.9956
27.832033 73.309 -153.6505
28.198244 73.315 -154.3547
28.564455 73.306 -155.0349
28.930666 73.290 -155.6276
29.296877 73.278 -156.1212
29.663088 73.279 -156.5620
30.029299 73.293 -157.0195
30.395510 73.313 -157.5390
30.761721 73.331 -158.1173
31.127932 73.340 -158.7137
31.494143 73.341 -159.2818
31.860354 73.338 -159.7974
32.226565 73.338 -160.2659
32.592776 73.340 -160.7102
32.958987 73.345 -161.1522
33.325198 73.350 -161.6016
33.691409 73.352 -162.0545
34.057620 73.351 -162.5001
34.423831 73.348 -162.9288
34.790042 73.345 -163.3389
35.156253 73.343 -163.7376
35.522464 73.342 -164.1385
35.888675 73.343 -164.5551
36.254886 73.342 -164.9927
36.621097 73.338 -165.4450
36.987308 73.328 -165.8948
37.353519 73.315 -166.3216
37.719730 73.301 -166.7123
38.085941 73.289 -167.0689
38.452152 73.282 -167.4094
38.818363 73.280 -167.7592
39.184573 73.280 -168.1369
39.550784 73.278 -168.5413
39.916995 73.271 -168.9509
40.283206 73.258 -169.3356
40.649417 73.244 -169.6761
41.015628 73.232 -169.9774
41.381839 73.227 -170.2677
41.748050 73.226 -170.5792
42.114261 73.225 -170.9267
42.480472 73.218 -171.2969
42.846683 73.205 -171.6573
43.212894 73.188 -171.9782
43.579105 73.171 -172.2525
43.945316 73.161 -172.5007
44.311527 73.157 -172.7574
44.677738 73.155 -173.0494
45.043949 73.152 -173.3801
45.410160 73.144 -173.7286
45.776371 73.129 -174.0635
46.142582 73.111 -174.3612
46.508793 73.095 -174.6191
46.875004 73.084 -174.8550
47.241215 73.077 -175.0951
47.607426 73.073 -175.3586
47.973637 73.069 -175.6468
48.339848 73.061 -175.9457
48.706059 73.050 -176.2364
49.072270 73.037 -176.5077
49.438481 73.025 -176.7614
49.804692 73.015 -177.0080
50.170902 73.006 -177.2571
50.537113 72.997 -177.5117
50.903324 72.987 -177.7679
51.269535 72.976 -178.0205
51.635746 72.965 -178.2679
52.001957 72.953 -178.5113
52.368168 72.941 -178.7522
52.734379 72.929 -178.9892
53.100590 72.917 -179.2203
53.466801 72.905 -179.4465
53.833012 72.894 -179.6729
54.199223 72.883 -179.9059
54.565434 72.872 179.8523
54.931645 72.858 179.6070
55.297856 72.842 179.3679
55.664067 72.825 179.1428
56.030278 72.808 178.9329
56.396489 72.792 178.7327
56.762700 72.777 178.5349
57.128911 72.764 178.3349
57.495122 72.751 178.1328
57.861333 72.737 177.9305
58.227544 72.725 177.7289
58.593755 72.713 177.5267
58.959966 72.701 177.3226
59.326177 72.690 177.1163
59.692388 72.678 176.9090
60.058599 72.667 176.7007
60.424810 72.657 176.4896
60.791021 72.646 176.2731
61.157232 72.634 176.0522
61.523442 72.619 175.8335
61.889653 72.603 175.6276
62.255864 72.585 175.4432
62.622075 72.569 175.2808
62.988286 72.555 175.1317
63.354497 72.543 174.9826
63.720708 72.532 174.8237
64.086919 72.521 174.6539
64.453130 72.508 174.4810
64.819341 72.493 174.3146
65.185552 72.478 174.1600
65.551763 72.463 174.0137
65.917974 72.451 173.8651
66.284185 72.439 173.7032
66.650396 72.427 173.5225
67.016607 72.413 173.3270
67.382818 72.394 173.1292
67.749029 72.372 172.9458
68.115240 72.348 172.7905
68.481451 72.325 172.6683
68.847662 72.306 172.5727
69.213873 72.292 172.4874
69.580084 72.283 172.3931
69.946295 72.278 172.2750
70.312506 72.273 172.1280
70.678717 72.268 171.9575
71.044928 72.259 171.7754
71.411139 72.247 171.5950
71.777350 72.233 171.4263
72.143561 72.218 171.2736
72.509771 72.203 171.1351
72.875982 72.189 171.0045
73.242193 72.177 170.8729
73.608404 72.164 170.7339
73.974615 72.150 170.5867
74.340826 72.134 170.4376
74.707037 72.116 170.2967
75.073248 72.096 170.1726
75.439459 72.076 170.0669
75.805670 72.058 169.9728
76.171881 72.042 169.8798
76.538092 72.029 169.7796
76.904303 72.015 169.6699
77.270514 72.002 169.5531
77.636725 71.989 169.4329
78.002936 71.976 169.3101
78.369147 71.963 169.1834
78.735358 71.950 169.0524
79.101569 71.937 168.9188
79.467780 71.923 168.7866
79.833991 71.909 168.6583
80.200202 71.895 168.5333
80.566413 71.881 168.4088
80.932624 71.867 168.2834
81.298835 71.853 168.1598
81.665046 71.838 168.0421
82.031257 71.823 167.9328
82.397468 71.808 167.8289
82.763679 71.795 167.7242
83.129890 71.782 167.6144
83.496101 71.767 167.5016
83.862311 71.751 167.3927
84.228522 71.735 167.2940
84.594733 71.719 167.2042
84.960944 71.705 167.1143
85.327155 71.692 167.0141
85.693366 71.678 166.9013
86.059577 71.662 166.7853
86.425788 71.643 166.6816
86.791999 71.623 166.6010
87.158210 71.607 166.5403
87.524421 71.594 166.4826
87.890632 71.585 166.4081
88.256843 71.578 166.3058
88.623054 71.568 166.1803
88.989265 71.554 166.0476
89.355476 71.538 165.9244
89.721687 71.521 165.8187
90.087898 71.505 165.7267
90.454109 71.490 165.6387
90.820320 71.477 165.5466
91.186531 71.463 165.4497
91.552742 71.447 165.3531
91.918953 71.432 165.2632
92.285164 71.416 165.1827
92.651375 71.401 165.1088
93.017586 71.387 165.0358
93.383797 71.374 164.9588
93.750008 71.361 164.8765
94.116219 71.347 164.7909
94.482430 71.333 164.7054
94.848641 71.318 164.6228
95.214851 71.303 164.5440
95.581062 71.287 164.4683
95.947273 71.272 164.3944
96.313484 71.258 164.3210
96.679695 71.243 164.2473
97.045906 71.229 164.1730
97.412117 71.215 164.0981
97.778328 71.201 164.0229
98.144539 71.187 163.9482
98.510750 71.172 163.8744
98.876961 71.158 163.8019
99.243172 71.145 163.7307
99.609383 71.131 163.6602
99.975594 71.118 163.5903
100.341805 71.105 163.5205
100.708016 71.092 163.4509
101.074227 71.079 163.3815
101.440438 71.066 163.3129
101.806649 71.053 163.2455
102.172860 71.039 163.1801
102.539071 71.026 163.1180
102.905282 71.012 163.0598
103.271493 70.999 163.0054
103.637704 70.986 162.9531
104.003915 70.973 162.9001
104.370126 70.961 162.8442
104.736337 70.949 162.7839
105.102548 70.936 162.7203
105.468759 70.922 162.6553
105.834970 70.907 162.5916
106.201180 70.892 162.5305
106.567391 70.877 162.4719
106.933602 70.862 162.4146
107.299813 70.847 162.3572
107.666024 70.833 162.2985
108.032235 70.818 162.2379
108.398446 70.803 162.1759
108.764657 70.788 162.1132
109.130868 70.772 162.0514
109.497079 70.756 161.9925
109.863290 70.740 161.9380
110.229501 70.725 161.8885
110.595712 70.711 161.8426
110.961923 70.697 161.7975
111.328134 70.684 161.7507
111.694345 70.672 161.7006
112.060556 70.660 161.6483
112.426767 70.648 161.5960
112.792978 70.635 161.5460
113.159189 70.623 161.4985
113.525400 70.612 161.4511
113.891611 70.601 161.4006
114.257822 70.590 161.3447
114.624033 70.578 161.2841
114.990244 70.565 161.2225
115.356455 70.551 161.1650
115.722666 70.536 161.1155
116.088877 70.521 161.0748
116.455088 70.507 161.0403
116.821299 70.493 161.0076
117.187510 70.481 160.9723
117.553720 70.469 160.9318
117.919931 70.457 160.8859
118.286142 70.444 160.8364
118.652353 70.431 160.7855
119.018564 70.417 160.7354
119.384775 70.403 160.6873
119.750986 70.389 160.6419
120.117197 70.375 160.5988
120.483408 70.360 160.5573
120.849619 70.347 160.5171
121.215830 70.333 160.4779
121.582041 70.319 160.4401
121.948252 70.305 160.4044
122.314463 70.292 160.3713
122.680674 70.279 160.3402
123.046885 70.266 160.3099
123.413096 70.254 160.2788
123.779307 70.243 160.2454
124.145518 70.231 160.2094
124.511729 70.219 160.1717
124.877940 70.207 160.1339
125.244151 70.194 160.0976
125.610362 70.181 160.0637
125.976573 70.169 160.0319
126.342784 70.156 160.0013
126.708995 70.144 159.9706
127.075206 70.131 159.9393
127.441417 70.119 159.9070
127.807628 70.106 159.8746
128.173839 70.093 159.8429
128.540049 70.080 159.8125
128.906260 70.067 159.7838
129.272471 70.054 159.7566
129.638682 70.041 159.7300
130.004893 70.029 159.7036
130.371104 70.016 159.6769
130.737315 70.004 159.6498
131.103526 69.991 159.6226
131.469737 69.979 159.5954
131.835948 69.966 159.5684
132.202159 69.954 159.5412
132.568370 69.942 159.5139
132.934581 69.929 159.4861
133.300792 69.917 159.4583
133.667003 69.905 159.4309
134.033214 69.892 159.4045
134.399425 69.879 159.3796
134.765636 69.867 159.3564
135.131847 69.855 159.3347
135.498058 69.842 159.3137
135.864269 69.831 159.2928
136.230480 69.819 159.2714
136.596691 69.807 159.2493
136.962902 69.795 159.2269
137.329113 69.784 159.2046
137.695324 69.772 159.1829
138.061535 69.760 159.1619
138.427746 69.749 159.1416
138.793957 69.737 159.1215
139.160168 69.726 159.1010
139.526379 69.715 159.0798
139.892589 69.703 159.0578
140.258800 69.692 159.0352
140.625011 69.680 159.0125
140.991222 69.669 158.9904
141.357433 69.657 158.9694
141.723644 69.645 158.9497
142.089855 69.632 158.9315
142.456066 69.620 158.9145
142.822277 69.608 158.8986
143.188488 69.596 158.8832
143.554699 69.585 158.8683
143.920910 69.573 158.8535
144.287121 69.561 158.8384
144.653332 69.550 158.8228
145.019543 69.538 158.8068
145.385754 69.527 158.7902
145.751965 69.515 158.7733
146.118176 69.504 158.7563
146.484387 69.492 158.7393
146.850598 69.480 158.7224
147.216809 69.469 158.7059
147.583020 69.457 158.6898
147.949231 69.445 158.6743
148.315442 69.434 158.6592
148.681653 69.422 158.6449
149.047864 69.411 158.6313
