* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 6:38:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bridge s.11 f.B Stock White L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.703 160.8281
0.732422 60.952 141.4219
1.098633 57.707 121.0538
1.464844 52.154 96.2701
1.831055 43.055 39.5123
2.197266 45.237 -48.7367
2.563477 48.286 -65.2501
2.929688 49.739 -57.3380
3.295899 52.475 -44.0731
3.662110 55.647 -39.9656
4.028321 58.053 -42.2964
4.394532 59.620 -46.3455
4.760743 60.619 -49.6367
5.126954 61.378 -51.4406
5.493164 62.146 -52.4355
5.859375 62.982 -53.8610
6.225586 63.794 -56.3733
6.591797 64.484 -59.7535
6.958008 65.027 -63.3877
7.324219 65.470 -66.7698
7.690430 65.885 -69.7450
8.056641 66.322 -72.4792
8.422852 66.788 -75.2299
8.789063 67.256 -78.1205
9.155274 67.699 -81.0888
9.521485 68.104 -83.9829
9.887696 68.475 -86.6778
10.253907 68.823 -89.1322
10.620118 69.157 -91.3767
10.986329 69.477 -93.4698
11.352540 69.781 -95.4601
11.718751 70.063 -97.3728
12.084962 70.319 -99.2116
12.451173 70.549 -100.9691
12.817384 70.756 -102.6381
13.183595 70.943 -104.2238
13.549806 71.117 -105.7496
13.916017 71.279 -107.2495
14.282228 71.430 -108.7504
14.648439 71.568 -110.2579
15.014650 71.694 -111.7569
15.380861 71.809 -113.2286
15.747072 71.919 -114.6671
16.113283 72.026 -116.0818
16.479493 72.131 -117.4844
16.845704 72.232 -118.8733
17.211915 72.329 -120.2320
17.578126 72.422 -121.5424
17.944337 72.514 -122.8018
18.310548 72.606 -124.0240
18.676759 72.695 -125.2254
19.042970 72.777 -126.4059
19.409181 72.850 -127.5446
19.775392 72.914 -128.6139
20.141603 72.974 -129.6038
20.507814 73.033 -130.5330
20.874025 73.094 -131.4397
21.240236 73.152 -132.3552
21.606447 73.204 -133.2831
21.972658 73.246 -134.2003
22.338869 73.282 -135.0793
22.705080 73.316 -135.9154
23.071291 73.354 -136.7372
23.437502 73.396 -137.5889
23.803713 73.435 -138.4972
24.169924 73.466 -139.4476
24.536135 73.485 -140.3890
24.902346 73.494 -141.2645
25.268557 73.503 -142.0484
25.634768 73.519 -142.7624
26.000979 73.545 -143.4576
26.367190 73.577 -144.1757
26.733401 73.607 -144.9188
27.099612 73.631 -145.6520
27.465823 73.650 -146.3336
27.832033 73.669 -146.9504
28.198244 73.695 -147.5286
28.564455 73.726 -148.1140
28.930666 73.758 -148.7371
29.296877 73.784 -149.3922
29.663088 73.800 -150.0457
30.029299 73.808 -150.6631
30.395510 73.814 -151.2350
30.761721 73.821 -151.7797
31.127932 73.830 -152.3264
31.494143 73.838 -152.8909
31.860354 73.842 -153.4655
32.226565 73.841 -154.0289
32.592776 73.838 -154.5643
32.958987 73.837 -155.0733
33.325198 73.839 -155.5737
33.691409 73.843 -156.0850
34.057620 73.847 -156.6124
34.423831 73.848 -157.1422
34.790042 73.845 -157.6504
35.156253 73.842 -158.1204
35.522464 73.843 -158.5560
35.888675 73.849 -158.9816
36.254886 73.860 -159.4273
36.621097 73.870 -159.9085
36.987308 73.875 -160.4134
37.353519 73.872 -160.9079
37.719730 73.864 -161.3571
38.085941 73.856 -161.7491
38.452152 73.853 -162.1052
38.818363 73.858 -162.4683
39.184573 73.866 -162.8749
39.550784 73.871 -163.3313
39.916995 73.867 -163.8090
40.283206 73.853 -164.2634
40.649417 73.836 -164.6619
41.015628 73.821 -165.0035
41.381839 73.812 -165.3167
41.748050 73.811 -165.6395
42.114261 73.812 -165.9958
42.480472 73.812 -166.3847
42.846683 73.808 -166.7856
43.212894 73.799 -167.1753
43.579105 73.789 -167.5411
43.945316 73.779 -167.8850
44.311527 73.771 -168.2167
44.677738 73.765 -168.5454
45.043949 73.758 -168.8742
45.410160 73.751 -169.2012
45.776371 73.744 -169.5236
46.142582 73.736 -169.8410
46.508793 73.729 -170.1546
46.875004 73.721 -170.4659
47.241215 73.712 -170.7746
47.607426 73.703 -171.0792
47.973637 73.694 -171.3789
48.339848 73.685 -171.6743
48.706059 73.676 -171.9675
49.072270 73.667 -172.2606
49.438481 73.657 -172.5538
49.804692 73.648 -172.8455
50.170902 73.637 -173.1330
50.537113 73.627 -173.4148
50.903324 73.616 -173.6908
51.269535 73.606 -173.9628
51.635746 73.597 -174.2330
52.001957 73.587 -174.5029
52.368168 73.578 -174.7724
52.734379 73.568 -175.0404
53.100590 73.557 -175.3054
53.466801 73.546 -175.5661
53.833012 73.534 -175.8211
54.199223 73.522 -176.0689
54.565434 73.510 -176.3082
54.931645 73.498 -176.5395
55.297856 73.488 -176.7672
55.664067 73.478 -176.9989
56.030278 73.470 -177.2423
56.396489 73.460 -177.4993
56.762700 73.446 -177.7623
57.128911 73.430 -178.0158
57.495122 73.411 -178.2442
57.861333 73.393 -178.4422
58.227544 73.379 -178.6201
58.593755 73.370 -178.8002
58.959966 73.364 -179.0041
59.326177 73.358 -179.2400
59.692388 73.349 -179.4979
60.058599 73.335 -179.7556
60.424810 73.317 -179.9921
60.791021 73.299 179.8008
61.157232 73.284 179.6159
61.523442 73.271 179.4376
61.889653 73.261 179.2527
62.255864 73.251 179.0568
62.622075 73.241 178.8535
62.988286 73.230 178.6493
63.354497 73.218 178.4478
63.720708 73.206 178.2491
64.086919 73.193 178.0524
64.453130 73.180 177.8582
64.819341 73.167 177.6686
65.185552 73.153 177.4849
65.551763 73.139 177.3058
65.917974 73.126 177.1282
66.284185 73.113 176.9495
66.650396 73.099 176.7700
67.016607 73.085 176.5929
67.382818 73.070 176.4213
67.749029 73.056 176.2557
68.115240 73.043 176.0930
68.481451 73.030 175.9285
68.847662 73.018 175.7592
69.213873 73.005 175.5851
69.580084 72.992 175.4097
69.946295 72.978 175.2373
70.312506 72.964 175.0707
70.678717 72.950 174.9101
71.044928 72.938 174.7526
71.411139 72.926 174.5948
71.777350 72.914 174.4342
72.143561 72.902 174.2709
72.509771 72.891 174.1072
72.875982 72.878 173.9457
73.242193 72.866 173.7872
73.608404 72.853 173.6299
73.974615 72.841 173.4707
74.340826 72.828 173.3084
74.707037 72.813 173.1457
75.073248 72.797 172.9885
75.439459 72.780 172.8428
75.805670 72.762 172.7113
76.171881 72.745 172.5915
76.538092 72.729 172.4780
76.904303 72.714 172.3657
77.270514 72.700 172.2523
77.636725 72.687 172.1372
78.002936 72.675 172.0189
78.369147 72.664 171.8937
78.735358 72.654 171.7573
79.101569 72.642 171.6080
79.467780 72.629 171.4500
79.833991 72.614 171.2926
80.200202 72.596 171.1462
80.566413 72.579 171.0167
80.932624 72.562 170.9029
81.298835 72.547 170.7978
81.665046 72.535 170.6927
82.031257 72.523 170.5812
82.397468 72.513 170.4617
82.763679 72.501 170.3365
83.129890 72.489 170.2101
83.496101 72.475 170.0872
83.862311 72.461 169.9713
84.228522 72.447 169.8636
84.594733 72.433 169.7631
84.960944 72.420 169.6666
85.327155 72.408 169.5695
85.693366 72.397 169.4673
86.059577 72.385 169.3578
86.425788 72.373 169.2415
86.791999 72.360 169.1208
87.158210 72.346 168.9988
87.524421 72.331 168.8784
87.890632 72.316 168.7609
88.256843 72.300 168.6468
88.623054 72.283 168.5364
88.989265 72.267 168.4298
89.355476 72.251 168.3273
89.721687 72.236 168.2283
90.087898 72.221 168.1314
90.454109 72.207 168.0347
90.820320 72.193 167.9364
91.186531 72.180 167.8359
91.552742 72.167 167.7338
91.918953 72.153 167.6324
92.285164 72.139 167.5341
92.651375 72.125 167.4404
93.017586 72.111 167.3510
93.383797 72.097 167.2643
93.750008 72.084 167.1782
94.116219 72.072 167.0910
94.482430 72.059 167.0026
94.848641 72.046 166.9138
95.214851 72.032 166.8260
95.581062 72.019 166.7397
95.947273 72.006 166.6544
96.313484 71.992 166.5688
96.679695 71.979 166.4819
97.045906 71.965 166.3936
97.412117 71.951 166.3049
97.778328 71.937 166.2179
98.144539 71.922 166.1342
98.510750 71.907 166.0545
98.876961 71.893 165.9778
99.243172 71.880 165.9019
99.609383 71.867 165.8244
99.975594 71.854 165.7438
100.341805 71.841 165.6603
100.708016 71.828 165.5756
101.074227 71.814 165.4918
101.440438 71.800 165.4108
101.806649 71.786 165.3331
102.172860 71.773 165.2577
102.539071 71.759 165.1828
102.905282 71.746 165.1074
103.271493 71.732 165.0314
103.637704 71.719 164.9564
104.003915 71.705 164.8839
104.370126 71.691 164.8145
104.736337 71.677 164.7476
105.102548 71.664 164.6811
105.468759 71.651 164.6129
105.834970 71.637 164.5427
106.201180 71.624 164.4715
106.567391 71.610 164.4016
106.933602 71.596 164.3349
107.299813 71.582 164.2720
107.666024 71.568 164.2114
108.032235 71.555 164.1515
108.398446 71.542 164.0908
108.764657 71.529 164.0290
109.130868 71.516 163.9671
109.497079 71.502 163.9061
109.863290 71.489 163.8464
110.229501 71.476 163.7875
110.595712 71.463 163.7285
110.961923 71.450 163.6689
111.328134 71.437 163.6087
111.694345 71.424 163.5485
112.060556 71.410 163.4887
112.426767 71.397 163.4295
112.792978 71.383 163.3706
113.159189 71.370 163.3120
113.525400 71.356 163.2538
113.891611 71.342 163.1968
114.257822 71.328 163.1418
114.624033 71.315 163.0889
114.990244 71.301 163.0372
115.356455 71.288 162.9855
115.722666 71.275 162.9328
116.088877 71.263 162.8788
116.455088 71.250 162.8241
116.821299 71.237 162.7698
117.187510 71.224 162.7169
117.553720 71.211 162.6656
117.919931 71.198 162.6154
118.286142 71.185 162.5655
118.652353 71.173 162.5156
119.018564 71.160 162.4657
119.384775 71.147 162.4161
119.750986 71.135 162.3675
120.117197 71.122 162.3198
120.483408 71.110 162.2726
120.849619 71.097 162.2254
121.215830 71.085 162.1774
121.582041 71.073 162.1287
121.948252 71.060 162.0797
122.314463 71.047 162.0313
122.680674 71.034 161.9846
123.046885 71.021 161.9398
123.413096 71.008 161.8972
123.779307 70.996 161.8558
124.145518 70.983 161.8147
124.511729 70.971 161.7729
124.877940 70.959 161.7301
125.244151 70.947 161.6863
125.610362 70.934 161.6422
125.976573 70.921 161.5990
126.342784 70.909 161.5576
126.708995 70.896 161.5188
127.075206 70.883 161.4827
127.441417 70.870 161.4484
127.807628 70.858 161.4148
128.173839 70.846 161.3807
128.540049 70.835 161.3452
128.906260 70.823 161.3083
129.272471 70.811 161.2711
129.638682 70.798 161.2346
130.004893 70.786 161.1999
130.371104 70.773 161.1669
130.737315 70.761 161.1351
131.103526 70.749 161.1033
131.469737 70.737 161.0707
131.835948 70.725 161.0371
132.202159 70.713 161.0028
132.568370 70.701 160.9683
132.934581 70.689 160.9339
133.300792 70.676 160.8998
133.667003 70.664 160.8658
134.033214 70.651 160.8325
134.399425 70.639 160.8001
134.765636 70.626 160.7693
135.131847 70.613 160.7403
135.498058 70.601 160.7129
135.864269 70.589 160.6862
136.230480 70.577 160.6593
136.596691 70.565 160.6314
136.962902 70.554 160.6021
137.329113 70.542 160.5717
137.695324 70.530 160.5408
138.061535 70.518 160.5101
138.427746 70.506 160.4803
138.793957 70.494 160.4517
139.160168 70.482 160.4243
139.526379 70.470 160.3981
139.892589 70.458 160.3726
140.258800 70.446 160.3473
140.625011 70.434 160.3219
140.991222 70.422 160.2961
141.357433 70.410 160.2697
141.723644 70.399 160.2429
142.089855 70.387 160.2157
142.456066 70.375 160.1888
142.822277 70.363 160.1627
143.188488 70.351 160.1381
143.554699 70.339 160.1151
143.920910 70.327 160.0937
144.287121 70.316 160.0731
144.653332 70.305 160.0526
145.019543 70.294 160.0314
145.385754 70.283 160.0095
145.751965 70.273 159.9869
146.118176 70.262 159.9640
146.484387 70.251 159.9410
146.850598 70.240 159.9185
147.216809 70.230 159.8963
147.583020 70.218 159.8746
147.949231 70.207 159.8536
148.315442 70.196 159.8335
148.681653 70.185 159.8146
