* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 1, 2023 6:15:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Venus Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.100 164.2009
0.732422 59.601 147.8617
1.098633 56.853 129.6630
1.464844 52.386 104.6436
1.831055 47.021 51.8074
2.197266 49.094 -11.8338
2.563477 52.730 -34.3151
2.929688 55.141 -40.6486
3.295899 57.172 -41.1351
3.662110 59.168 -40.8585
4.028321 61.018 -42.0803
4.394532 62.567 -44.7641
4.760743 63.782 -48.0510
5.126954 64.735 -51.1989
5.493164 65.535 -53.9133
5.859375 66.277 -56.3539
6.225586 66.998 -58.8933
6.591797 67.682 -61.7875
6.958008 68.297 -65.0145
7.324219 68.829 -68.3510
7.690430 69.292 -71.5524
8.056641 69.717 -74.4949
8.422852 70.132 -77.2107
8.789063 70.548 -79.8163
9.155274 70.956 -82.4023
9.521485 71.342 -84.9729
9.887696 71.696 -87.4658
10.253907 71.948 -89.8135
10.620118 72.148 -91.9902
10.986329 72.334 -94.0187
11.352540 72.509 -95.9427
11.718751 72.670 -97.7967
12.084962 72.815 -99.5937
12.451173 72.943 -101.3319
12.817384 73.101 -103.0073
13.183595 73.251 -104.6207
13.549806 73.387 -106.1774
13.916017 73.511 -107.6863
14.282228 73.626 -109.1595
14.648439 73.732 -110.6103
15.014650 73.831 -112.0475
15.380861 73.921 -113.4698
15.747072 74.004 -114.8658
16.113283 74.086 -116.2221
16.479493 74.174 -117.5342
16.845704 74.262 -118.8105
17.211915 74.349 -120.0653
17.578126 74.434 -121.3063
17.944337 74.513 -122.5275
18.310548 74.586 -123.7121
18.676759 74.654 -124.8441
19.042970 74.717 -125.9182
19.409181 74.779 -126.9406
19.775392 74.838 -127.9226
20.141603 74.896 -128.8727
20.507814 74.952 -129.7937
20.874025 75.004 -130.6867
21.240236 75.052 -131.5530
21.606447 75.098 -132.3968
21.972658 75.140 -133.2227
22.338869 75.181 -134.0350
22.705080 75.219 -134.8392
23.071291 75.256 -135.6421
23.437502 75.290 -136.4500
23.803713 75.320 -137.2642
24.169924 75.345 -138.0771
24.536135 75.366 -138.8733
24.902346 75.382 -139.6371
25.268557 75.398 -140.3616
25.634768 75.415 -141.0523
26.000979 75.435 -141.7234
26.367190 75.458 -142.3902
26.733401 75.482 -143.0617
27.099612 75.504 -143.7394
27.465823 75.524 -144.4188
27.832033 75.539 -145.0910
28.198244 75.549 -145.7434
28.564455 75.555 -146.3606
28.930666 75.558 -146.9296
29.296877 75.563 -147.4492
29.663088 75.572 -147.9370
30.029299 75.588 -148.4254
30.395510 75.607 -148.9452
30.761721 75.625 -149.5071
31.127932 75.635 -150.0934
31.494143 75.638 -150.6687
31.860354 75.636 -151.2030
32.226565 75.634 -151.6913
32.592776 75.636 -152.1550
32.958987 75.642 -152.6242
33.325198 75.649 -153.1138
33.691409 75.652 -153.6128
34.057620 75.651 -154.0948
34.423831 75.648 -154.5396
34.790042 75.648 -154.9498
35.156253 75.652 -155.3474
35.522464 75.659 -155.7563
35.888675 75.667 -156.1843
36.254886 75.671 -156.6203
36.621097 75.673 -157.0460
36.987308 75.673 -157.4528
37.353519 75.673 -157.8470
37.719730 75.675 -158.2418
38.085941 75.675 -158.6428
38.452152 75.672 -159.0422
38.818363 75.667 -159.4241
39.184573 75.661 -159.7792
39.550784 75.658 -160.1132
39.916995 75.659 -160.4445
40.283206 75.662 -160.7917
40.649417 75.666 -161.1615
41.015628 75.668 -161.5459
41.381839 75.666 -161.9292
41.748050 75.662 -162.2986
42.114261 75.657 -162.6505
42.480472 75.653 -162.9899
42.846683 75.650 -163.3244
43.212894 75.646 -163.6577
43.579105 75.642 -163.9887
43.945316 75.637 -164.3125
44.311527 75.631 -164.6246
44.677738 75.625 -164.9232
45.043949 75.620 -165.2104
45.410160 75.616 -165.4909
45.776371 75.613 -165.7708
46.142582 75.611 -166.0552
46.508793 75.609 -166.3466
46.875004 75.606 -166.6443
47.241215 75.602 -166.9446
47.607426 75.597 -167.2429
47.973637 75.590 -167.5358
48.339848 75.584 -167.8227
48.706059 75.577 -168.1048
49.072270 75.570 -168.3833
49.438481 75.562 -168.6582
49.804692 75.555 -168.9281
50.170902 75.548 -169.1920
50.537113 75.542 -169.4507
50.903324 75.536 -169.7068
51.269535 75.530 -169.9626
51.635746 75.525 -170.2188
52.001957 75.519 -170.4731
52.368168 75.512 -170.7219
52.734379 75.505 -170.9635
53.100590 75.498 -171.1990
53.466801 75.492 -171.4315
53.833012 75.486 -171.6633
54.199223 75.479 -171.8946
54.565434 75.472 -172.1230
54.931645 75.465 -172.3469
55.297856 75.459 -172.5676
55.664067 75.453 -172.7888
56.030278 75.447 -173.0137
56.396489 75.440 -173.2410
56.762700 75.432 -173.4648
57.128911 75.423 -173.6782
57.495122 75.415 -173.8791
57.861333 75.408 -174.0731
58.227544 75.404 -174.2715
58.593755 75.402 -174.4845
58.959966 75.398 -174.7136
59.326177 75.392 -174.9510
59.692388 75.382 -175.1830
60.058599 75.371 -175.3984
60.424810 75.360 -175.5943
60.791021 75.351 -175.7764
61.157232 75.343 -175.9548
61.523442 75.336 -176.1371
61.889653 75.330 -176.3251
62.255864 75.323 -176.5162
62.622075 75.315 -176.7061
62.988286 75.307 -176.8929
63.354497 75.299 -177.0773
63.720708 75.290 -177.2614
64.086919 75.282 -177.4459
64.453130 75.273 -177.6305
64.819341 75.263 -177.8140
65.185552 75.254 -177.9958
65.551763 75.244 -178.1764
65.917974 75.234 -178.3562
66.284185 75.224 -178.5348
66.650396 75.213 -178.7104
67.016607 75.203 -178.8813
67.382818 75.192 -179.0466
67.749029 75.182 -179.2073
68.115240 75.173 -179.3660
68.481451 75.165 -179.5258
68.847662 75.157 -179.6889
69.213873 75.150 -179.8556
69.580084 75.142 179.9753
69.946295 75.133 179.8059
70.312506 75.124 179.6382
70.678717 75.115 179.4729
71.044928 75.106 179.3098
71.411139 75.097 179.1481
71.777350 75.087 178.9883
72.143561 75.077 178.8315
72.509771 75.067 178.6790
72.875982 75.058 178.5311
73.242193 75.048 178.3857
73.608404 75.040 178.2397
73.974615 75.031 178.0908
74.340826 75.023 177.9386
74.707037 75.013 177.7853
75.073248 75.003 177.6343
75.439459 74.992 177.4876
75.805670 74.982 177.3452
76.171881 74.971 177.2051
76.538092 74.960 177.0653
76.904303 74.950 176.9249
77.270514 74.939 176.7847
77.636725 74.927 176.6463
78.002936 74.915 176.5117
78.369147 74.903 176.3822
78.735358 74.892 176.2581
79.101569 74.881 176.1382
79.467780 74.871 176.0195
79.833991 74.862 175.8987
80.200202 74.854 175.7727
80.566413 74.845 175.6408
80.932624 74.837 175.5049
81.298835 74.827 175.3684
81.665046 74.817 175.2346
82.031257 74.807 175.1046
82.397468 74.797 174.9783
82.763679 74.787 174.8550
83.129890 74.777 174.7350
83.496101 74.767 174.6186
83.862311 74.758 174.5047
84.228522 74.750 174.3903
84.594733 74.743 174.2713
84.960944 74.735 174.1453
85.327155 74.727 174.0146
85.693366 74.717 173.8852
86.059577 74.706 173.7637
86.425788 74.695 173.6530
86.791999 74.685 173.5496
87.158210 74.677 173.4458
87.524421 74.669 173.3343
87.890632 74.662 173.2128
88.256843 74.653 173.0851
88.623054 74.643 172.9582
88.989265 74.632 172.8381
89.355476 74.620 172.7263
89.721687 74.609 172.6201
90.087898 74.599 172.5150
90.454109 74.589 172.4081
90.820320 74.579 172.2994
91.186531 74.569 172.1906
91.552742 74.559 172.0836
91.918953 74.549 171.9787
92.285164 74.539 171.8750
92.651375 74.529 171.7713
93.017586 74.520 171.6672
93.383797 74.510 171.5630
93.750008 74.500 171.4596
94.116219 74.490 171.3570
94.482430 74.480 171.2549
94.848641 74.471 171.1531
95.214851 74.461 171.0518
95.581062 74.451 170.9519
95.947273 74.440 170.8547
96.313484 74.430 170.7609
96.679695 74.420 170.6698
97.045906 74.410 170.5802
97.412117 74.401 170.4904
97.778328 74.392 170.3994
98.144539 74.383 170.3071
98.510750 74.373 170.2144
98.876961 74.364 170.1224
99.243172 74.354 170.0317
99.609383 74.344 169.9424
99.975594 74.334 169.8540
100.341805 74.324 169.7656
100.708016 74.314 169.6769
101.074227 74.303 169.5876
101.440438 74.293 169.4983
101.806649 74.282 169.4091
102.172860 74.272 169.3203
102.539071 74.261 169.2320
102.905282 74.250 169.1441
103.271493 74.239 169.0568
103.637704 74.228 168.9703
104.003915 74.217 168.8845
104.370126 74.206 168.7992
104.736337 74.196 168.7138
105.102548 74.186 168.6279
105.468759 74.176 168.5417
105.834970 74.165 168.4559
106.201180 74.155 168.3716
106.567391 74.145 168.2893
106.933602 74.136 168.2086
107.299813 74.126 168.1285
107.666024 74.117 168.0479
108.032235 74.108 167.9660
108.398446 74.099 167.8835
108.764657 74.090 167.8013
109.130868 74.080 167.7206
109.497079 74.071 167.6424
109.863290 74.061 167.5665
110.229501 74.051 167.4925
110.595712 74.041 167.4198
110.961923 74.032 167.3477
111.328134 74.022 167.2757
111.694345 74.012 167.2037
112.060556 74.002 167.1318
112.426767 73.992 167.0602
112.792978 73.982 166.9891
113.159189 73.972 166.9188
113.525400 73.962 166.8492
113.891611 73.952 166.7803
114.257822 73.942 166.7116
114.624033 73.932 166.6432
114.990244 73.922 166.5752
115.356455 73.912 166.5076
115.722666 73.902 166.4406
116.088877 73.892 166.3741
116.455088 73.883 166.3078
116.821299 73.873 166.2414
117.187510 73.864 166.1746
117.553720 73.855 166.1072
117.919931 73.846 166.0393
118.286142 73.837 165.9708
118.652353 73.827 165.9017
119.018564 73.818 165.8322
119.384775 73.808 165.7626
119.750986 73.798 165.6937
120.117197 73.788 165.6263
120.483408 73.777 165.5612
120.849619 73.766 165.4986
121.215830 73.756 165.4385
121.582041 73.745 165.3803
121.948252 73.735 165.3232
122.314463 73.725 165.2667
122.680674 73.715 165.2101
123.046885 73.706 165.1533
123.413096 73.696 165.0956
123.779307 73.687 165.0368
124.145518 73.678 164.9766
124.511729 73.669 164.9153
124.877940 73.660 164.8535
125.244151 73.651 164.7922
125.610362 73.642 164.7322
125.976573 73.633 164.6739
126.342784 73.624 164.6171
126.708995 73.616 164.5609
127.075206 73.608 164.5046
127.441417 73.600 164.4477
127.807628 73.592 164.3902
128.173839 73.584 164.3326
128.540049 73.576 164.2755
128.906260 73.568 164.2188
129.272471 73.560 164.1628
129.638682 73.552 164.1069
130.004893 73.544 164.0510
130.371104 73.536 163.9952
130.737315 73.528 163.9397
131.103526 73.520 163.8849
131.469737 73.511 163.8312
131.835948 73.503 163.7787
132.202159 73.494 163.7275
132.568370 73.486 163.6774
132.934581 73.477 163.6285
133.300792 73.469 163.5808
133.667003 73.460 163.5341
134.033214 73.452 163.4879
134.399425 73.444 163.4415
134.765636 73.436 163.3945
135.131847 73.429 163.3464
135.498058 73.421 163.2977
135.864269 73.412 163.2488
136.230480 73.404 163.2005
136.596691 73.395 163.1534
136.962902 73.386 163.1078
137.329113 73.378 163.0636
137.695324 73.369 163.0203
138.061535 73.361 162.9772
138.427746 73.353 162.9337
138.793957 73.345 162.8892
139.160168 73.336 162.8438
139.526379 73.328 162.7977
139.892589 73.319 162.7519
140.258800 73.311 162.7069
140.625011 73.302 162.6633
140.991222 73.294 162.6210
141.357433 73.285 162.5794
141.723644 73.277 162.5379
142.089855 73.269 162.4959
142.456066 73.261 162.4531
142.822277 73.253 162.4098
143.188488 73.245 162.3665
143.554699 73.237 162.3236
143.920910 73.229 162.2815
144.287121 73.221 162.2403
144.653332 73.212 162.1996
145.019543 73.204 162.1592
145.385754 73.196 162.1188
145.751965 73.188 162.0785
146.118176 73.180 162.0383
146.484387 73.171 161.9985
146.850598 73.163 161.9594
147.216809 73.154 161.9209
147.583020 73.146 161.8831
147.949231 73.137 161.8460
148.315442 73.129 161.8094
