* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 1, 2023 6:13:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Venus Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.767 -24.0773
0.732422 86.822 -47.9279
1.098633 82.967 -70.9287
1.464844 74.751 -88.9238
1.831055 68.671 34.5257
2.197266 78.616 25.5533
2.563477 81.536 4.6897
2.929688 82.206 -15.3628
3.295899 81.595 -31.1821
3.662110 80.432 -38.4025
4.028321 80.161 -35.5085
4.394532 81.701 -32.8593
4.760743 83.783 -37.7030
5.126954 85.408 -46.6568
5.493164 86.428 -55.6489
5.859375 87.026 -62.2642
6.225586 87.525 -65.7683
6.591797 88.209 -67.3439
6.958008 89.092 -69.0541
7.324219 89.972 -71.8887
7.690430 90.674 -75.4198
8.056641 91.169 -78.7519
8.422852 91.536 -81.3112
8.789063 91.883 -83.1517
9.155274 92.262 -84.7723
9.521485 92.652 -86.6207
9.887696 93.004 -88.7791
10.253907 93.221 -91.0606
10.620118 93.358 -93.2726
10.986329 93.475 -95.3691
11.352540 93.585 -97.4121
11.718751 93.687 -99.4468
12.084962 93.778 -101.4411
12.451173 93.863 -103.3360
12.817384 94.003 -105.1260
13.183595 94.160 -106.8712
13.549806 94.319 -108.6308
13.916017 94.466 -110.3959
14.282228 94.595 -112.0948
14.648439 94.709 -113.6588
15.014650 94.820 -115.0810
15.380861 94.932 -116.4151
15.747072 95.041 -117.7210
16.113283 95.145 -119.0161
16.479493 95.244 -120.2742
16.845704 95.328 -121.4625
17.211915 95.404 -122.5745
17.578126 95.476 -123.6336
17.944337 95.545 -124.6723
18.310548 95.610 -125.7141
18.676759 95.670 -126.7697
19.042970 95.723 -127.8385
19.409181 95.768 -128.9071
19.775392 95.804 -129.9477
20.141603 95.838 -130.9310
20.507814 95.876 -131.8507
20.874025 95.924 -132.7391
21.240236 95.980 -133.6501
21.606447 96.037 -134.6158
21.972658 96.085 -135.6153
22.338869 96.122 -136.5855
22.705080 96.151 -137.4693
23.071291 96.182 -138.2607
23.437502 96.220 -139.0064
23.803713 96.261 -139.7615
24.169924 96.298 -140.5372
24.536135 96.324 -141.2917
24.902346 96.341 -141.9699
25.268557 96.361 -142.5590
25.634768 96.390 -143.1089
26.000979 96.428 -143.6996
26.367190 96.465 -144.3804
26.733401 96.489 -145.1326
27.099612 96.494 -145.8830
27.465823 96.485 -146.5544
27.832033 96.474 -147.1153
28.198244 96.473 -147.5980
28.564455 96.485 -148.0736
28.930666 96.506 -148.6054
29.296877 96.527 -149.2124
29.663088 96.540 -149.8649
30.029299 96.543 -150.5098
30.395510 96.541 -151.1040
30.761721 96.539 -151.6375
31.127932 96.543 -152.1323
31.494143 96.553 -152.6221
31.860354 96.565 -153.1281
32.226565 96.576 -153.6483
32.592776 96.584 -154.1650
32.958987 96.589 -154.6622
33.325198 96.594 -155.1365
33.691409 96.598 -155.5957
34.057620 96.603 -156.0466
34.423831 96.606 -156.4875
34.790042 96.608 -156.9110
35.156253 96.611 -157.3155
35.522464 96.617 -157.7124
35.888675 96.624 -158.1209
36.254886 96.632 -158.5540
36.621097 96.635 -159.0062
36.987308 96.633 -159.4550
37.353519 96.626 -159.8748
37.719730 96.618 -160.2537
38.085941 96.613 -160.6009
38.452152 96.613 -160.9400
38.818363 96.616 -161.2928
39.184573 96.619 -161.6668
39.550784 96.618 -162.0527
39.916995 96.615 -162.4333
40.283206 96.610 -162.7960
40.649417 96.605 -163.1390
41.015628 96.602 -163.4701
41.381839 96.599 -163.7979
41.748050 96.595 -164.1251
42.114261 96.591 -164.4482
42.480472 96.587 -164.7632
42.846683 96.584 -165.0715
43.212894 96.582 -165.3805
43.579105 96.580 -165.6973
43.945316 96.578 -166.0220
44.311527 96.573 -166.3459
44.677738 96.567 -166.6589
45.043949 96.561 -166.9570
45.410160 96.557 -167.2471
45.776371 96.555 -167.5415
46.142582 96.553 -167.8488
46.508793 96.549 -168.1665
46.875004 96.543 -168.4830
47.241215 96.534 -168.7850
47.607426 96.524 -169.0652
47.973637 96.515 -169.3260
48.339848 96.509 -169.5768
48.706059 96.505 -169.8282
49.072270 96.501 -170.0883
49.438481 96.498 -170.3590
49.804692 96.493 -170.6360
50.170902 96.486 -170.9110
50.537113 96.478 -171.1754
50.903324 96.470 -171.4259
51.269535 96.463 -171.6668
51.635746 96.458 -171.9075
52.001957 96.454 -172.1557
52.368168 96.449 -172.4117
52.734379 96.443 -172.6684
53.100590 96.437 -172.9180
53.466801 96.430 -173.1586
53.833012 96.425 -173.3959
54.199223 96.419 -173.6369
54.565434 96.413 -173.8820
54.931645 96.405 -174.1228
55.297856 96.395 -174.3478
55.664067 96.386 -174.5530
56.030278 96.379 -174.7461
56.396489 96.374 -174.9419
56.762700 96.370 -175.1504
57.128911 96.365 -175.3697
57.495122 96.357 -175.5876
57.861333 96.349 -175.7931
58.227544 96.340 -175.9863
58.593755 96.334 -176.1789
58.959966 96.329 -176.3845
59.326177 96.323 -176.6066
59.692388 96.313 -176.8340
60.058599 96.301 -177.0490
60.424810 96.288 -177.2404
60.791021 96.277 -177.4125
61.157232 96.270 -177.5818
61.523442 96.265 -177.7647
61.889653 96.260 -177.9661
62.255864 96.254 -178.1772
62.622075 96.245 -178.3841
62.988286 96.236 -178.5788
63.354497 96.227 -178.7638
63.720708 96.219 -178.9477
64.086919 96.212 -179.1364
64.453130 96.204 -179.3279
64.819341 96.194 -179.5150
65.185552 96.184 -179.6927
65.551763 96.175 -179.8624
65.917974 96.167 179.9691
66.284185 96.159 179.7959
66.650396 96.150 179.6185
67.016607 96.140 179.4426
67.382818 96.129 179.2742
67.749029 96.119 179.1151
68.115240 96.108 178.9615
68.481451 96.099 178.8076
68.847662 96.090 178.6495
69.213873 96.081 178.4870
69.580084 96.072 178.3220
69.946295 96.061 178.1569
70.312506 96.050 177.9938
70.678717 96.039 177.8348
71.044928 96.027 177.6815
71.411139 96.016 177.5338
71.777350 96.006 177.3884
72.143561 95.997 177.2405
72.509771 95.987 177.0870
72.875982 95.978 176.9294
73.242193 95.967 176.7737
73.608404 95.956 176.6252
73.974615 95.947 176.4842
74.340826 95.938 176.3435
74.707037 95.931 176.1942
75.073248 95.924 176.0320
75.439459 95.915 175.8616
75.805670 95.904 175.6942
76.171881 95.892 175.5398
76.538092 95.880 175.4007
76.904303 95.870 175.2711
77.270514 95.861 175.1415
77.636725 95.854 175.0054
78.002936 95.846 174.8621
78.369147 95.838 174.7151
78.735358 95.829 174.5686
79.101569 95.819 174.4251
79.467780 95.808 174.2864
79.833991 95.797 174.1536
80.200202 95.785 174.0275
80.566413 95.775 173.9068
80.932624 95.764 173.7893
81.298835 95.753 173.6735
81.665046 95.743 173.5602
82.031257 95.732 173.4512
82.397468 95.723 173.3445
82.763679 95.715 173.2325
83.129890 95.707 173.1058
83.496101 95.698 172.9628
83.862311 95.685 172.8147
84.228522 95.669 172.6817
84.594733 95.652 172.5786
84.960944 95.638 172.5014
85.327155 95.630 172.4276
85.693366 95.625 172.3310
86.059577 95.620 172.2022
86.425788 95.612 172.0561
86.791999 95.600 171.9201
87.158210 95.587 171.8118
87.524421 95.577 171.7241
87.890632 95.572 171.6301
88.256843 95.570 171.5053
88.623054 95.565 171.3477
88.989265 95.554 171.1799
89.355476 95.538 171.0329
89.721687 95.521 170.9233
90.087898 95.507 170.8434
90.454109 95.497 170.7693
90.820320 95.490 170.6794
91.186531 95.483 170.5687
91.552742 95.473 170.4482
91.918953 95.461 170.3335
92.285164 95.448 170.2323
92.651375 95.436 170.1416
93.017586 95.425 170.0532
93.383797 95.415 169.9612
93.750008 95.405 169.8656
94.116219 95.394 169.7693
94.482430 95.384 169.6743
94.848641 95.373 169.5790
95.214851 95.363 169.4814
95.581062 95.353 169.3809
95.947273 95.343 169.2794
96.313484 95.333 169.1793
96.679695 95.322 169.0813
97.045906 95.312 168.9835
97.412117 95.302 168.8839
97.778328 95.292 168.7829
98.144539 95.281 168.6831
98.510750 95.270 168.5873
98.876961 95.259 168.4953
99.243172 95.249 168.4039
99.609383 95.240 168.3091
99.975594 95.230 168.2107
100.341805 95.219 168.1124
100.708016 95.207 168.0204
101.074227 95.195 167.9376
101.440438 95.185 167.8611
101.806649 95.175 167.7833
102.172860 95.167 167.6974
102.539071 95.157 167.6031
102.905282 95.147 167.5069
103.271493 95.135 167.4177
103.637704 95.122 167.3401
104.003915 95.111 167.2708
104.370126 95.102 167.2011
104.736337 95.094 167.1230
105.102548 95.085 167.0351
105.468759 95.075 166.9424
105.834970 95.064 166.8528
106.201180 95.053 166.7704
106.567391 95.042 166.6931
106.933602 95.032 166.6154
107.299813 95.023 166.5328
107.666024 95.013 166.4456
108.032235 95.002 166.3588
108.398446 94.990 166.2775
108.764657 94.979 166.2033
109.130868 94.968 166.1332
109.497079 94.959 166.0615
109.863290 94.950 165.9839
110.229501 94.940 165.9008
110.595712 94.929 165.8166
110.961923 94.918 165.7372
111.328134 94.906 165.6661
111.694345 94.895 165.6025
112.060556 94.885 165.5409
112.426767 94.876 165.4746
112.792978 94.868 165.3994
113.159189 94.858 165.3161
113.525400 94.848 165.2304
113.891611 94.835 165.1500
114.257822 94.822 165.0801
114.624033 94.810 165.0208
114.990244 94.799 164.9666
115.356455 94.790 164.9103
115.722666 94.781 164.8470
116.088877 94.772 164.7766
116.455088 94.762 164.7026
116.821299 94.752 164.6295
117.187510 94.741 164.5601
117.553720 94.729 164.4946
117.919931 94.719 164.4326
118.286142 94.708 164.3734
118.652353 94.698 164.3167
119.018564 94.689 164.2599
119.384775 94.680 164.1991
119.750986 94.672 164.1305
120.117197 94.663 164.0543
120.483408 94.653 163.9761
120.849619 94.641 163.9039
121.215830 94.629 163.8427
121.582041 94.618 163.7894
121.948252 94.609 163.7350
122.314463 94.600 163.6706
122.680674 94.591 163.5947
123.046885 94.580 163.5153
123.413096 94.566 163.4446
123.779307 94.553 163.3902
124.145518 94.540 163.3492
124.511729 94.531 163.3105
124.877940 94.523 163.2625
125.244151 94.516 163.2007
125.610362 94.508 163.1306
125.976573 94.499 163.0616
126.342784 94.489 163.0012
126.708995 94.479 162.9496
127.075206 94.471 162.9017
127.441417 94.463 162.8515
127.807628 94.456 162.7963
128.173839 94.448 162.7376
128.540049 94.439 162.6788
128.906260 94.430 162.6227
129.272471 94.421 162.5703
129.638682 94.412 162.5209
130.004893 94.404 162.4731
130.371104 94.396 162.4253
130.737315 94.388 162.3754
131.103526 94.380 162.3223
131.469737 94.371 162.2672
131.835948 94.362 162.2130
132.202159 94.352 162.1628
132.568370 94.343 162.1178
132.934581 94.334 162.0758
133.300792 94.325 162.0328
133.667003 94.317 161.9858
134.033214 94.309 161.9348
134.399425 94.300 161.8824
134.765636 94.291 161.8311
135.131847 94.282 161.7814
135.498058 94.273 161.7322
135.864269 94.264 161.6830
136.230480 94.255 161.6346
136.596691 94.246 161.5881
136.962902 94.237 161.5433
137.329113 94.229 161.4974
137.695324 94.221 161.4473
138.061535 94.212 161.3936
138.427746 94.203 161.3409
138.793957 94.192 161.2958
139.160168 94.183 161.2605
139.526379 94.174 161.2309
139.892589 94.167 161.1981
140.258800 94.161 161.1553
140.625011 94.155 161.1024
140.991222 94.147 161.0468
141.357433 94.137 160.9970
141.723644 94.127 160.9565
142.089855 94.118 160.9218
142.456066 94.110 160.8861
142.822277 94.102 160.8451
143.188488 94.094 160.8002
143.554699 94.084 160.7570
143.920910 94.075 160.7193
144.287121 94.065 160.6862
144.653332 94.057 160.6529
145.019543 94.049 160.6156
145.385754 94.041 160.5744
145.751965 94.032 160.5328
146.118176 94.023 160.4940
146.484387 94.014 160.4570
146.850598 94.006 160.4175
147.216809 93.999 160.3715
147.583020 93.990 160.3200
147.949231 93.980 160.2693
148.315442 93.969 160.2266
148.681653 93.959 160.1952
