* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 3, 2023 9:19:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Eru Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.802 158.2955
0.732422 68.924 136.5039
1.098633 65.356 114.3635
1.464844 58.728 90.4647
1.831055 38.875 7.9916
2.197266 53.700 -117.0090
2.563477 55.893 -139.4415
2.929688 52.946 -156.3804
3.295899 39.741 -134.7053
3.662110 51.285 -32.7605
4.028321 56.703 -42.0918
4.394532 58.427 -51.8916
4.760743 58.404 -55.7572
5.126954 57.996 -50.1653
5.493164 58.734 -40.0651
5.859375 60.342 -36.0992
6.225586 61.649 -38.7981
6.591797 62.292 -44.0493
6.958008 62.416 -48.7390
7.324219 62.366 -51.4123
7.690430 62.501 -52.5927
8.056641 62.937 -54.1165
8.422852 63.520 -57.1205
8.789063 64.068 -61.2574
9.155274 64.521 -65.5586
9.521485 64.920 -69.3089
9.887696 65.331 -72.3504
10.253907 65.713 -74.9063
10.620118 66.088 -77.2087
10.986329 66.458 -79.3163
11.352540 66.812 -81.2096
11.718751 67.149 -82.9402
12.084962 67.462 -84.6290
12.451173 67.732 -86.3451
12.817384 67.989 -88.0294
13.183595 68.194 -89.5554
13.549806 68.363 -90.8621
13.916017 68.521 -92.0287
14.282228 68.679 -93.2186
14.648439 68.828 -94.5504
15.014650 68.956 -96.0253
15.380861 69.061 -97.5659
15.747072 69.153 -99.1043
16.113283 69.248 -100.6304
16.479493 69.357 -102.1664
16.845704 69.470 -103.7146
17.211915 69.586 -105.2422
17.578126 69.708 -106.7134
17.944337 69.839 -108.1240
18.310548 69.981 -109.4971
18.676759 70.125 -110.8446
19.042970 70.265 -112.1432
19.409181 70.398 -113.3537
19.775392 70.527 -114.4622
20.141603 70.656 -115.4966
20.507814 70.781 -116.4991
20.874025 70.894 -117.4820
21.240236 70.989 -118.4176
21.606447 71.071 -119.2732
21.972658 71.148 -120.0588
22.338869 71.225 -120.8362
22.705080 71.298 -121.6745
23.071291 71.357 -122.5909
23.437502 71.395 -123.5311
23.803713 71.413 -124.4088
24.169924 71.426 -125.1714
24.536135 71.450 -125.8413
24.902346 71.492 -126.5016
25.268557 71.551 -127.2391
25.634768 71.614 -128.0908
26.000979 71.672 -129.0314
26.367190 71.718 -129.9979
26.733401 71.753 -130.9258
27.099612 71.783 -131.7720
27.465823 71.813 -132.5204
27.832033 71.848 -133.1788
28.198244 71.893 -133.7738
28.564455 71.949 -134.3456
28.930666 72.013 -134.9375
29.296877 72.079 -135.5803
29.663088 72.138 -136.2769
30.029299 72.185 -137.0000
30.395510 72.218 -137.7031
30.761721 72.239 -138.3441
31.127932 72.256 -138.9072
31.494143 72.275 -139.4121
31.860354 72.299 -139.9023
32.226565 72.327 -140.4171
32.592776 72.351 -140.9667
32.958987 72.369 -141.5251
33.325198 72.380 -142.0499
33.691409 72.392 -142.5163
34.057620 72.412 -142.9409
34.423831 72.443 -143.3774
34.790042 72.481 -143.8824
35.156253 72.515 -144.4749
35.522464 72.537 -145.1177
35.888675 72.542 -145.7363
36.254886 72.536 -146.2606
36.621097 72.530 -146.6671
36.987308 72.536 -146.9938
37.353519 72.557 -147.3178
37.719730 72.587 -147.7101
38.085941 72.614 -148.1952
38.452152 72.629 -148.7393
38.818363 72.627 -149.2715
39.184573 72.614 -149.7233
39.550784 72.600 -150.0665
39.916995 72.597 -150.3291
40.283206 72.609 -150.5816
40.649417 72.635 -150.8979
41.015628 72.662 -151.3144
41.381839 72.680 -151.8100
41.748050 72.683 -152.3188
42.114261 72.674 -152.7665
42.480472 72.662 -153.1112
42.846683 72.659 -153.3663
43.212894 72.671 -153.5917
43.579105 72.696 -153.8578
43.945316 72.725 -154.2046
44.311527 72.747 -154.6206
44.677738 72.758 -155.0533
45.043949 72.759 -155.4416
45.410160 72.756 -155.7516
45.776371 72.759 -155.9938
46.142582 72.772 -156.2153
46.508793 72.793 -156.4704
46.875004 72.816 -156.7904
47.241215 72.834 -157.1685
47.607426 72.841 -157.5681
47.973637 72.839 -157.9449
48.339848 72.832 -158.2711
48.706059 72.825 -158.5463
49.072270 72.823 -158.7931
49.438481 72.826 -159.0403
49.804692 72.832 -159.3061
50.170902 72.837 -159.5902
50.537113 72.840 -159.8788
50.903324 72.841 -160.1570
51.269535 72.844 -160.4208
51.635746 72.848 -160.6799
52.001957 72.855 -160.9501
52.368168 72.860 -161.2401
52.734379 72.863 -161.5427
53.100590 72.860 -161.8369
53.466801 72.855 -162.1004
53.833012 72.849 -162.3249
54.199223 72.848 -162.5228
54.565434 72.852 -162.7207
54.931645 72.860 -162.9431
55.297856 72.867 -163.1975
55.664067 72.871 -163.4716
56.030278 72.870 -163.7439
56.396489 72.866 -163.9981
56.762700 72.862 -164.2323
57.128911 72.860 -164.4556
57.495122 72.858 -164.6764
57.861333 72.857 -164.8948
58.227544 72.856 -165.1038
58.593755 72.857 -165.2994
58.959966 72.861 -165.4897
59.326177 72.869 -165.6931
59.692388 72.879 -165.9268
60.058599 72.887 -166.1921
60.424810 72.890 -166.4713
60.791021 72.887 -166.7377
61.157232 72.882 -166.9730
61.523442 72.879 -167.1791
61.889653 72.879 -167.3757
62.255864 72.881 -167.5854
62.622075 72.883 -167.8176
62.988286 72.881 -168.0637
63.354497 72.874 -168.3046
63.720708 72.864 -168.5245
64.086919 72.853 -168.7193
64.453130 72.843 -168.8950
64.819341 72.835 -169.0598
65.185552 72.828 -169.2182
65.551763 72.824 -169.3727
65.917974 72.821 -169.5285
66.284185 72.822 -169.6959
66.650396 72.823 -169.8851
67.016607 72.823 -170.0968
67.382818 72.820 -170.3180
67.749029 72.813 -170.5283
68.115240 72.806 -170.7128
68.481451 72.800 -170.8732
68.847662 72.799 -171.0269
69.213873 72.800 -171.1945
69.580084 72.802 -171.3854
69.946295 72.800 -171.5903
70.312506 72.793 -171.7886
70.678717 72.784 -171.9615
71.044928 72.774 -172.1036
71.411139 72.766 -172.2231
71.777350 72.760 -172.3327
72.143561 72.754 -172.4390
72.509771 72.749 -172.5395
72.875982 72.743 -172.6277
73.242193 72.741 -172.7041
73.608404 72.742 -172.7819
73.974615 72.747 -172.8830
74.340826 72.753 -173.0270
74.707037 72.757 -173.2188
75.073248 72.755 -173.4429
75.439459 72.745 -173.6696
75.805670 72.729 -173.8692
76.171881 72.712 -174.0283
76.538092 72.699 -174.1576
76.904303 72.692 -174.2873
77.270514 72.691 -174.4502
77.636725 72.690 -174.6624
78.002936 72.684 -174.9122
78.369147 72.670 -175.1653
78.735358 72.649 -175.3822
79.101569 72.627 -175.5389
79.467780 72.609 -175.6378
79.833991 72.600 -175.7030
80.200202 72.599 -175.7657
80.566413 72.604 -175.8479
80.932624 72.613 -175.9576
81.298835 72.623 -176.0927
81.665046 72.632 -176.2493
82.031257 72.640 -176.4244
82.397468 72.644 -176.6137
82.763679 72.643 -176.8059
83.129890 72.637 -176.9842
83.496101 72.628 -177.1332
83.862311 72.617 -177.2478
84.228522 72.609 -177.3375
84.594733 72.603 -177.4204
84.960944 72.600 -177.5130
85.327155 72.596 -177.6212
85.693366 72.590 -177.7394
86.059577 72.582 -177.8569
86.425788 72.573 -177.9661
86.791999 72.564 -178.0672
87.158210 72.557 -178.1669
87.524421 72.552 -178.2741
87.890632 72.547 -178.3947
88.256843 72.542 -178.5298
88.623054 72.536 -178.6752
88.989265 72.528 -178.8232
89.355476 72.519 -178.9655
89.721687 72.509 -179.0958
90.087898 72.499 -179.2122
90.454109 72.492 -179.3186
90.820320 72.486 -179.4220
91.186531 72.482 -179.5288
91.552742 72.478 -179.6417
91.918953 72.474 -179.7590
92.285164 72.470 -179.8769
92.651375 72.465 -179.9926
93.017586 72.459 179.8940
93.383797 72.454 179.7816
93.750008 72.447 179.6697
94.116219 72.440 179.5602
94.482430 72.432 179.4562
94.848641 72.423 179.3600
95.214851 72.415 179.2704
95.581062 72.408 179.1835
95.947273 72.402 179.0936
96.313484 72.396 178.9961
96.679695 72.391 178.8892
97.045906 72.384 178.7744
97.412117 72.377 178.6562
97.778328 72.368 178.5403
98.144539 72.358 178.4316
98.510750 72.349 178.3328
98.876961 72.340 178.2426
99.243172 72.333 178.1567
99.609383 72.327 178.0692
99.975594 72.323 177.9755
100.341805 72.318 177.8743
100.708016 72.313 177.7683
101.074227 72.308 177.6616
101.440438 72.301 177.5580
101.806649 72.294 177.4593
102.172860 72.288 177.3653
102.539071 72.281 177.2748
102.905282 72.275 177.1866
103.271493 72.269 177.0995
103.637704 72.263 177.0119
104.003915 72.258 176.9214
104.370126 72.252 176.8255
104.736337 72.246 176.7237
105.102548 72.239 176.6183
105.468759 72.230 176.5144
105.834970 72.220 176.4177
106.201180 72.210 176.3315
106.567391 72.200 176.2550
106.933602 72.191 176.1837
107.299813 72.184 176.1117
107.666024 72.177 176.0354
108.032235 72.170 175.9550
108.398446 72.163 175.8739
108.764657 72.155 175.7963
109.130868 72.147 175.7242
109.497079 72.140 175.6564
109.863290 72.134 175.5889
110.229501 72.129 175.5179
110.595712 72.123 175.4414
110.961923 72.118 175.3603
111.328134 72.112 175.2772
111.694345 72.105 175.1946
112.060556 72.098 175.1131
112.426767 72.091 175.0324
112.792978 72.084 174.9515
113.159189 72.077 174.8704
113.525400 72.069 174.7898
113.891611 72.061 174.7107
114.257822 72.053 174.6333
114.624033 72.045 174.5569
114.990244 72.038 174.4802
115.356455 72.030 174.4023
115.722666 72.023 174.3235
116.088877 72.015 174.2450
116.455088 72.007 174.1679
116.821299 71.999 174.0930
117.187510 71.991 174.0204
117.553720 71.983 173.9497
117.919931 71.975 173.8806
118.286142 71.968 173.8123
118.652353 71.961 173.7439
119.018564 71.955 173.6740
119.384775 71.948 173.6017
119.750986 71.942 173.5271
120.117197 71.934 173.4515
120.483408 71.926 173.3774
120.849619 71.918 173.3072
121.215830 71.910 173.2417
121.582041 71.901 173.1801
121.948252 71.894 173.1203
122.314463 71.886 173.0602
122.680674 71.879 172.9989
123.046885 71.871 172.9367
123.413096 71.863 172.8748
123.779307 71.855 172.8141
124.145518 71.848 172.7548
124.511729 71.841 172.6964
124.877940 71.834 172.6378
125.244151 71.827 172.5783
125.610362 71.821 172.5177
125.976573 71.815 172.4562
126.342784 71.809 172.3940
126.708995 71.803 172.3308
127.075206 71.798 172.2662
127.441417 71.792 172.1998
127.807628 71.787 172.1317
128.173839 71.781 172.0623
128.540049 71.775 171.9927
128.906260 71.768 171.9238
129.272471 71.762 171.8565
129.638682 71.755 171.7916
130.004893 71.748 171.7296
130.371104 71.742 171.6707
130.737315 71.736 171.6144
131.103526 71.730 171.5596
131.469737 71.724 171.5049
131.835948 71.719 171.4494
132.202159 71.714 171.3926
132.568370 71.708 171.3352
132.934581 71.703 171.2785
133.300792 71.697 171.2233
133.667003 71.692 171.1694
134.033214 71.686 171.1154
134.399425 71.681 171.0590
134.765636 71.676 170.9985
135.131847 71.671 170.9332
135.498058 71.664 170.8646
135.864269 71.657 170.7958
136.230480 71.648 170.7311
136.596691 71.637 170.6744
136.962902 71.627 170.6282
137.329113 71.617 170.5925
137.695324 71.608 170.5649
138.061535 71.601 170.5408
138.427746 71.595 170.5148
138.793957 71.591 170.4822
139.160168 71.587 170.4406
139.526379 71.583 170.3898
139.892589 71.579 170.3322
140.258800 71.574 170.2710
140.625011 71.568 170.2090
140.991222 71.562 170.1481
141.357433 71.556 170.0887
141.723644 71.549 170.0306
142.089855 71.543 169.9733
142.456066 71.536 169.9168
142.822277 71.530 169.8612
143.188488 71.523 169.8065
143.554699 71.517 169.7524
143.920910 71.511 169.6985
144.287121 71.505 169.6443
144.653332 71.499 169.5900
145.019543 71.492 169.5365
145.385754 71.486 169.4847
145.751965 71.479 169.4355
146.118176 71.472 169.3894
146.484387 71.466 169.3461
