* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 3, 2023 9:25:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Eru Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.728 -21.8748
0.732422 71.840 -43.6110
1.098633 68.209 -64.9104
1.464844 61.206 -84.2508
1.831055 42.394 22.3996
2.197266 59.189 42.2043
2.563477 61.899 22.9831
2.929688 61.190 3.4200
3.295899 57.764 -12.9987
3.662110 50.729 -11.4976
4.028321 49.011 47.3063
4.394532 53.729 47.0667
4.760743 55.401 23.0173
5.126954 55.790 -7.3673
5.493164 55.847 -36.4136
5.859375 55.719 -56.6848
6.225586 55.627 -63.4833
6.591797 56.600 -59.6586
6.958008 58.729 -56.7745
7.324219 60.794 -59.0629
7.690430 62.202 -63.4978
8.056641 62.997 -67.1019
8.422852 63.470 -68.4833
8.789063 63.937 -68.0727
9.155274 64.522 -67.5108
9.521485 65.117 -67.9694
9.887696 65.581 -69.3774
10.253907 65.811 -71.0772
10.620118 65.913 -72.6242
10.986329 65.998 -74.0680
11.352540 66.100 -75.7130
11.718751 66.202 -77.7162
12.084962 66.291 -79.9592
12.451173 66.380 -82.2400
12.817384 66.543 -84.4904
13.183595 66.753 -86.7881
13.549806 66.985 -89.1906
13.916017 67.213 -91.6074
14.282228 67.426 -93.8497
14.648439 67.635 -95.7848
15.014650 67.855 -97.4326
15.380861 68.086 -98.9166
15.747072 68.311 -100.3298
16.113283 68.517 -101.6599
16.479493 68.702 -102.8349
16.845704 68.868 -103.8218
17.211915 69.025 -104.6768
17.578126 69.178 -105.5073
17.944337 69.320 -106.3969
18.310548 69.444 -107.3687
18.676759 69.546 -108.4081
19.042970 69.628 -109.4983
19.409181 69.692 -110.6276
19.775392 69.741 -111.7734
20.141603 69.781 -112.8961
20.507814 69.821 -113.9644
20.874025 69.870 -114.9880
21.240236 69.935 -116.0156
21.606447 70.011 -117.0932
21.972658 70.089 -118.2170
22.338869 70.163 -119.3307
22.705080 70.235 -120.3699
23.071291 70.311 -121.3130
23.437502 70.397 -122.1938
23.803713 70.489 -123.0657
24.169924 70.578 -123.9530
24.536135 70.656 -124.8330
24.902346 70.720 -125.6610
25.268557 70.774 -126.4094
25.634768 70.824 -127.0874
26.000979 70.871 -127.7282
26.367190 70.914 -128.3592
26.733401 70.950 -128.9830
27.099612 70.979 -129.5845
27.465823 71.007 -130.1520
27.832033 71.037 -130.6963
28.198244 71.074 -131.2509
28.564455 71.117 -131.8531
28.930666 71.162 -132.5213
29.296877 71.203 -133.2424
29.663088 71.238 -133.9808
30.029299 71.268 -134.7009
30.395510 71.299 -135.3891
30.761721 71.333 -136.0572
31.127932 71.369 -136.7236
31.494143 71.402 -137.3889
31.860354 71.430 -138.0278
32.226565 71.453 -138.6073
32.592776 71.478 -139.1176
32.958987 71.509 -139.5863
33.325198 71.544 -140.0598
33.691409 71.579 -140.5651
34.057620 71.606 -141.0870
34.423831 71.624 -141.5827
34.790042 71.640 -142.0239
35.156253 71.660 -142.4285
35.522464 71.687 -142.8524
35.888675 71.716 -143.3449
36.254886 71.737 -143.9062
36.621097 71.744 -144.4845
36.987308 71.739 -145.0137
37.353519 71.731 -145.4604
37.719730 71.727 -145.8410
38.085941 71.731 -146.1976
38.452152 71.740 -146.5564
38.818363 71.748 -146.9071
39.184573 71.757 -147.2211
39.550784 71.773 -147.4888
39.916995 71.800 -147.7409
40.283206 71.838 -148.0332
40.649417 71.879 -148.4059
41.015628 71.913 -148.8534
41.381839 71.935 -149.3272
41.748050 71.944 -149.7687
42.114261 71.948 -150.1456
42.480472 71.952 -150.4664
42.846683 71.962 -150.7674
43.212894 71.975 -151.0835
43.579105 71.986 -151.4258
43.945316 71.993 -151.7806
44.311527 71.996 -152.1226
44.677738 71.996 -152.4335
45.043949 71.998 -152.7107
45.410160 72.005 -152.9680
45.776371 72.017 -153.2287
46.142582 72.035 -153.5161
46.508793 72.053 -153.8440
46.875004 72.068 -154.2093
47.241215 72.077 -154.5904
47.607426 72.078 -154.9545
47.973637 72.074 -155.2728
48.339848 72.070 -155.5356
48.706059 72.071 -155.7581
49.072270 72.077 -155.9700
49.438481 72.088 -156.1977
49.804692 72.098 -156.4494
50.170902 72.106 -156.7149
50.537113 72.112 -156.9778
50.903324 72.115 -157.2293
51.269535 72.119 -157.4724
51.635746 72.124 -157.7169
52.001957 72.129 -157.9690
52.368168 72.132 -158.2275
52.734379 72.135 -158.4863
53.100590 72.136 -158.7405
53.466801 72.137 -158.9879
53.833012 72.138 -159.2276
54.199223 72.139 -159.4568
54.565434 72.142 -159.6741
54.931645 72.148 -159.8841
55.297856 72.157 -160.0997
55.664067 72.169 -160.3370
56.030278 72.180 -160.6050
56.396489 72.187 -160.8972
56.762700 72.188 -161.1924
57.128911 72.183 -161.4646
57.495122 72.174 -161.6945
57.861333 72.165 -161.8767
58.227544 72.159 -162.0192
58.593755 72.159 -162.1389
58.959966 72.165 -162.2570
59.326177 72.178 -162.3956
59.692388 72.193 -162.5738
60.058599 72.209 -162.8019
60.424810 72.221 -163.0750
60.791021 72.225 -163.3714
61.157232 72.222 -163.6599
61.523442 72.213 -163.9126
61.889653 72.202 -164.1183
62.255864 72.195 -164.2858
62.622075 72.193 -164.4377
62.988286 72.195 -164.5962
63.354497 72.199 -164.7712
63.720708 72.202 -164.9586
64.086919 72.203 -165.1469
64.453130 72.203 -165.3270
64.819341 72.203 -165.4983
65.185552 72.204 -165.6666
65.551763 72.205 -165.8375
65.917974 72.205 -166.0113
66.284185 72.203 -166.1827
66.650396 72.200 -166.3465
67.016607 72.197 -166.5016
67.382818 72.194 -166.6520
67.749029 72.192 -166.8034
68.115240 72.189 -166.9581
68.481451 72.185 -167.1137
68.847662 72.181 -167.2664
69.213873 72.177 -167.4154
69.580084 72.175 -167.5648
69.946295 72.174 -167.7217
70.312506 72.174 -167.8909
70.678717 72.173 -168.0712
71.044928 72.171 -168.2562
71.411139 72.169 -168.4383
71.777350 72.167 -168.6146
72.143561 72.166 -168.7885
72.509771 72.166 -168.9681
72.875982 72.166 -169.1590
73.242193 72.164 -169.3583
73.608404 72.159 -169.5516
73.974615 72.149 -169.7172
74.340826 72.139 -169.8362
74.707037 72.133 -169.9050
75.073248 72.134 -169.9421
75.439459 72.146 -169.9849
75.805670 72.165 -170.0748
76.171881 72.185 -170.2366
76.538092 72.199 -170.4643
76.904303 72.202 -170.7210
77.270514 72.193 -170.9552
77.636725 72.176 -171.1254
78.002936 72.159 -171.2197
78.369147 72.149 -171.2623
78.735358 72.148 -171.2992
79.101569 72.155 -171.3747
79.467780 72.163 -171.5095
79.833991 72.166 -171.6939
80.200202 72.161 -171.8963
80.566413 72.149 -172.0816
80.932624 72.133 -172.2283
81.298835 72.118 -172.3350
81.665046 72.108 -172.4172
82.031257 72.102 -172.4969
82.397468 72.100 -172.5924
82.763679 72.100 -172.7115
83.129890 72.099 -172.8505
83.496101 72.095 -172.9966
83.862311 72.089 -173.1341
84.228522 72.082 -173.2513
84.594733 72.078 -173.3474
84.960944 72.077 -173.4344
85.327155 72.080 -173.5315
85.693366 72.085 -173.6547
86.059577 72.089 -173.8067
86.425788 72.089 -173.9742
86.791999 72.083 -174.1352
87.158210 72.074 -174.2722
87.524421 72.065 -174.3820
87.890632 72.058 -174.4756
88.256843 72.052 -174.5683
88.623054 72.046 -174.6679
88.989265 72.038 -174.7690
89.355476 72.028 -174.8590
89.721687 72.019 -174.9290
90.087898 72.012 -174.9828
90.454109 72.008 -175.0360
90.820320 72.008 -175.1065
91.186531 72.009 -175.2041
91.552742 72.009 -175.3253
91.918953 72.006 -175.4575
92.285164 72.001 -175.5877
92.651375 71.994 -175.7092
93.017586 71.988 -175.8229
93.383797 71.983 -175.9332
93.750008 71.978 -176.0432
94.116219 71.973 -176.1528
94.482430 71.969 -176.2598
94.848641 71.965 -176.3632
95.214851 71.961 -176.4641
95.581062 71.958 -176.5649
95.947273 71.955 -176.6670
96.313484 71.952 -176.7698
96.679695 71.948 -176.8707
97.045906 71.944 -176.9673
97.412117 71.939 -177.0587
97.778328 71.935 -177.1456
98.144539 71.931 -177.2300
98.510750 71.926 -177.3134
98.876961 71.922 -177.3969
99.243172 71.919 -177.4813
99.609383 71.915 -177.5672
99.975594 71.911 -177.6552
100.341805 71.907 -177.7457
100.708016 71.902 -177.8382
101.074227 71.897 -177.9313
101.440438 71.892 -178.0231
101.806649 71.886 -178.1123
102.172860 71.881 -178.1990
102.539071 71.877 -178.2849
102.905282 71.873 -178.3730
103.271493 71.869 -178.4662
103.637704 71.866 -178.5656
104.003915 71.861 -178.6696
104.370126 71.856 -178.7742
104.736337 71.849 -178.8740
105.102548 71.841 -178.9649
105.468759 71.833 -179.0452
105.834970 71.827 -179.1166
106.201180 71.821 -179.1831
106.567391 71.817 -179.2499
106.933602 71.814 -179.3208
107.299813 71.811 -179.3975
107.666024 71.808 -179.4792
108.032235 71.804 -179.5636
108.398446 71.800 -179.6475
108.764657 71.795 -179.7293
109.130868 71.791 -179.8087
109.497079 71.787 -179.8870
109.863290 71.783 -179.9660
110.229501 71.779 179.9531
110.595712 71.775 179.8707
110.961923 71.770 179.7878
111.328134 71.765 179.7057
111.694345 71.760 179.6254
112.060556 71.754 179.5475
112.426767 71.749 179.4722
112.792978 71.743 179.4007
113.159189 71.737 179.3336
113.525400 71.732 179.2708
113.891611 71.728 179.2097
114.257822 71.724 179.1464
114.624033 71.721 179.0770
114.990244 71.718 178.9997
115.356455 71.715 178.9161
115.722666 71.710 178.8305
116.088877 71.703 178.7479
116.455088 71.697 178.6714
116.821299 71.690 178.6012
117.187510 71.684 178.5346
117.553720 71.679 178.4685
117.919931 71.674 178.4006
118.286142 71.669 178.3304
118.652353 71.664 178.2586
119.018564 71.659 178.1862
119.384775 71.654 178.1142
119.750986 71.648 178.0432
120.117197 71.643 177.9736
120.483408 71.637 177.9059
120.849619 71.632 177.8403
121.215830 71.626 177.7761
121.582041 71.621 177.7122
121.948252 71.616 177.6473
122.314463 71.612 177.5809
122.680674 71.607 177.5135
123.046885 71.601 177.4467
123.413096 71.596 177.3818
123.779307 71.590 177.3195
124.145518 71.585 177.2595
124.511729 71.581 177.2007
124.877940 71.576 177.1420
125.244151 71.573 177.0826
125.610362 71.569 177.0220
125.976573 71.566 176.9601
126.342784 71.563 176.8974
126.708995 71.559 176.8342
127.075206 71.556 176.7712
127.441417 71.552 176.7091
127.807628 71.548 176.6479
128.173839 71.545 176.5874
128.540049 71.541 176.5269
128.906260 71.537 176.4656
129.272471 71.532 176.4037
129.638682 71.528 176.3419
130.004893 71.523 176.2812
130.371104 71.518 176.2224
130.737315 71.512 176.1656
131.103526 71.507 176.1103
131.469737 71.503 176.0554
131.835948 71.498 175.9998
132.202159 71.493 175.9432
132.568370 71.489 175.8853
132.934581 71.485 175.8268
133.300792 71.480 175.7683
133.667003 71.475 175.7107
134.033214 71.471 175.6544
134.399425 71.466 175.5998
134.765636 71.461 175.5471
135.131847 71.457 175.4966
135.498058 71.452 175.4492
135.864269 71.448 175.4058
136.230480 71.444 175.3668
136.596691 71.441 175.3314
136.962902 71.439 175.2967
137.329113 71.437 175.2589
137.695324 71.437 175.2144
138.061535 71.436 175.1612
138.427746 71.434 175.1005
138.793957 71.431 175.0358
139.160168 71.427 174.9719
139.526379 71.421 174.9127
139.892589 71.415 174.8595
140.258800 71.409 174.8116
140.625011 71.403 174.7664
140.991222 71.398 174.7209
141.357433 71.393 174.6729
141.723644 71.388 174.6216
142.089855 71.383 174.5677
142.456066 71.378 174.5126
142.822277 71.372 174.4576
143.188488 71.366 174.4036
143.554699 71.361 174.3507
143.920910 71.355 174.2988
144.287121 71.350 174.2474
144.653332 71.345 174.1966
145.019543 71.341 174.1465
145.385754 71.336 174.0975
