* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 5, 2023 5:47:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SB Glamdring Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.929 159.3466
0.732422 68.077 138.3965
1.098633 64.604 116.3045
1.464844 58.493 88.9617
1.831055 48.433 17.1886
2.197266 52.645 -69.4581
2.563477 54.457 -84.1760
2.929688 54.301 -68.8838
3.295899 57.495 -44.5329
3.662110 61.514 -39.8446
4.028321 64.164 -44.1999
4.394532 65.651 -49.8730
4.760743 66.434 -53.7682
5.126954 66.992 -55.1041
5.493164 67.687 -55.1924
5.859375 68.557 -56.1526
6.225586 69.408 -58.8660
6.591797 70.085 -62.7699
6.958008 70.571 -66.8751
7.324219 70.949 -70.5196
7.690430 71.327 -73.6370
8.056641 71.758 -76.5927
8.422852 72.226 -79.7430
8.789063 72.681 -83.1296
9.155274 73.090 -86.5331
9.521485 73.456 -89.7082
9.887696 73.796 -92.5561
10.253907 74.056 -95.1350
10.620118 74.276 -97.5489
10.986329 74.477 -99.8422
11.352540 74.650 -101.9876
11.718751 74.798 -103.9485
12.084962 74.930 -105.7380
12.451173 75.052 -107.4197
12.817384 75.209 -109.0607
13.183595 75.356 -110.6892
13.549806 75.482 -112.2936
13.916017 75.589 -113.8546
14.282228 75.685 -115.3746
14.648439 75.776 -116.8812
15.014650 75.861 -118.4050
15.380861 75.939 -119.9561
15.747072 76.009 -121.5175
16.113283 76.075 -123.0562
16.479493 76.147 -124.5424
16.845704 76.219 -125.9634
17.211915 76.296 -127.3274
17.578126 76.377 -128.6539
17.944337 76.462 -129.9589
18.310548 76.545 -131.2423
18.676759 76.624 -132.4879
19.042970 76.697 -133.6765
19.409181 76.767 -134.8026
19.775392 76.834 -135.8797
20.141603 76.897 -136.9276
20.507814 76.954 -137.9518
20.874025 76.999 -138.9347
21.240236 77.034 -139.8491
21.606447 77.064 -140.6845
21.972658 77.096 -141.4638
22.338869 77.131 -142.2337
22.705080 77.167 -143.0329
23.071291 77.198 -143.8680
23.437502 77.221 -144.7150
23.803713 77.240 -145.5468
24.169924 77.258 -146.3595
24.536135 77.279 -147.1766
24.902346 77.301 -148.0252
25.268557 77.320 -148.9074
25.634768 77.330 -149.7918
26.000979 77.333 -150.6323
26.367190 77.335 -151.4006
26.733401 77.342 -152.1058
27.099612 77.358 -152.7886
27.465823 77.380 -153.4924
27.832033 77.400 -154.2333
28.198244 77.411 -154.9887
28.564455 77.412 -155.7096
28.930666 77.404 -156.3482
29.296877 77.396 -156.8851
29.663088 77.396 -157.3432
30.029299 77.408 -157.7786
30.395510 77.430 -158.2525
30.761721 77.453 -158.7991
31.127932 77.469 -159.4082
31.494143 77.474 -160.0339
31.860354 77.468 -160.6245
32.226565 77.458 -161.1546
32.592776 77.452 -161.6385
32.958987 77.451 -162.1158
33.325198 77.454 -162.6197
33.691409 77.454 -163.1530
34.057620 77.449 -163.6890
34.423831 77.440 -164.1956
34.790042 77.431 -164.6617
35.156253 77.427 -165.1046
35.522464 77.427 -165.5540
35.888675 77.429 -166.0278
36.254886 77.428 -166.5210
36.621097 77.423 -167.0146
36.987308 77.415 -167.4946
37.353519 77.405 -167.9607
37.719730 77.392 -168.4177
38.085941 77.375 -168.8587
38.452152 77.354 -169.2604
38.818363 77.332 -169.5974
39.184573 77.316 -169.8688
39.550784 77.312 -170.1108
39.916995 77.320 -170.3824
40.283206 77.335 -170.7296
40.649417 77.347 -171.1575
41.015628 77.350 -171.6291
41.381839 77.343 -172.0929
41.748050 77.330 -172.5149
42.114261 77.317 -172.8947
42.480472 77.307 -173.2551
42.846683 77.299 -173.6178
43.212894 77.290 -173.9866
43.579105 77.279 -174.3499
43.945316 77.267 -174.6962
44.311527 77.256 -175.0264
44.677738 77.246 -175.3520
45.043949 77.236 -175.6833
45.410160 77.225 -176.0185
45.776371 77.212 -176.3459
46.142582 77.198 -176.6552
46.508793 77.185 -176.9466
46.875004 77.174 -177.2316
47.241215 77.166 -177.5233
47.607426 77.157 -177.8270
47.973637 77.147 -178.1382
48.339848 77.136 -178.4489
48.706059 77.124 -178.7554
49.072270 77.112 -179.0590
49.438481 77.100 -179.3623
49.804692 77.086 -179.6631
50.170902 77.071 -179.9543
50.537113 77.055 179.7708
50.903324 77.041 179.5124
51.269535 77.029 179.2634
51.635746 77.019 179.0132
52.001957 77.010 178.7541
52.368168 77.000 178.4854
52.734379 76.989 178.2116
53.100590 76.977 177.9382
53.466801 76.963 177.6697
53.833012 76.949 177.4086
54.199223 76.933 177.1571
54.565434 76.917 176.9172
54.931645 76.901 176.6889
55.297856 76.886 176.4689
55.664067 76.873 176.2510
56.030278 76.861 176.0292
56.396489 76.849 175.8012
56.762700 76.836 175.5688
57.128911 76.824 175.3353
57.495122 76.811 175.1021
57.861333 76.797 174.8679
58.227544 76.784 174.6301
58.593755 76.769 174.3891
58.959966 76.753 174.1491
59.326177 76.735 173.9170
59.692388 76.716 173.6982
60.058599 76.696 173.4944
60.424810 76.678 173.3036
60.791021 76.660 173.1219
61.157232 76.645 172.9457
61.523442 76.630 172.7711
61.889653 76.617 172.5943
62.255864 76.605 172.4109
62.622075 76.593 172.2183
62.988286 76.580 172.0173
63.354497 76.565 171.8126
63.720708 76.549 171.6104
64.086919 76.531 171.4153
64.453130 76.514 171.2285
64.819341 76.496 171.0476
65.185552 76.480 170.8699
65.551763 76.463 170.6936
65.917974 76.447 170.5179
66.284185 76.431 170.3422
66.650396 76.415 170.1654
67.016607 76.399 169.9872
67.382818 76.382 169.8089
67.749029 76.364 169.6347
68.115240 76.346 169.4689
68.481451 76.329 169.3136
68.847662 76.313 169.1652
69.213873 76.299 169.0159
69.580084 76.287 168.8568
69.946295 76.274 168.6828
70.312506 76.261 168.4962
70.678717 76.245 168.3059
71.044928 76.226 168.1235
71.411139 76.206 167.9568
71.777350 76.187 167.8065
72.143561 76.168 167.6666
72.509771 76.151 167.5294
72.875982 76.135 167.3917
73.242193 76.118 167.2568
73.608404 76.101 167.1315
73.974615 76.085 167.0196
74.340826 76.072 166.9151
74.707037 76.063 166.8029
75.073248 76.055 166.6659
75.439459 76.047 166.4951
75.805670 76.035 166.2971
76.171881 76.017 166.0934
76.538092 75.992 165.9104
76.904303 75.965 165.7670
77.270514 75.939 165.6646
77.636725 75.917 165.5872
78.002936 75.900 165.5093
78.369147 75.888 165.4099
78.735358 75.875 165.2812
79.101569 75.860 165.1320
79.467780 75.842 164.9793
79.833991 75.822 164.8389
80.200202 75.801 164.7158
80.566413 75.783 164.6033
80.932624 75.766 164.4886
81.298835 75.751 164.3618
81.665046 75.735 164.2223
82.031257 75.717 164.0782
82.397468 75.697 163.9413
82.763679 75.676 163.8192
83.129890 75.656 163.7122
83.496101 75.638 163.6139
83.862311 75.622 163.5163
84.228522 75.606 163.4142
84.594733 75.592 163.3069
84.960944 75.576 163.1965
85.327155 75.561 163.0851
85.693366 75.546 162.9734
86.059577 75.530 162.8615
86.425788 75.514 162.7494
86.791999 75.498 162.6385
87.158210 75.480 162.5309
87.524421 75.463 162.4282
87.890632 75.446 162.3307
88.256843 75.429 162.2375
88.623054 75.413 162.1470
88.989265 75.397 162.0582
89.355476 75.381 161.9706
89.721687 75.366 161.8835
90.087898 75.351 161.7961
90.454109 75.337 161.7070
90.820320 75.323 161.6153
91.186531 75.308 161.5212
91.552742 75.293 161.4264
91.918953 75.278 161.3329
92.285164 75.262 161.2425
92.651375 75.246 161.1553
93.017586 75.230 161.0704
93.383797 75.215 160.9862
93.750008 75.199 160.9019
94.116219 75.183 160.8178
94.482430 75.167 160.7348
94.848641 75.151 160.6537
95.214851 75.135 160.5743
95.581062 75.119 160.4954
95.947273 75.104 160.4161
96.313484 75.088 160.3358
96.679695 75.073 160.2549
97.045906 75.057 160.1741
97.412117 75.041 160.0939
97.778328 75.025 160.0142
98.144539 75.009 159.9349
98.510750 74.993 159.8561
98.876961 74.977 159.7785
99.243172 74.962 159.7024
99.609383 74.946 159.6277
99.975594 74.930 159.5539
100.341805 74.914 159.4802
100.708016 74.899 159.4064
101.074227 74.883 159.3336
101.440438 74.867 159.2628
101.806649 74.851 159.1949
102.172860 74.835 159.1297
102.539071 74.819 159.0665
102.905282 74.804 159.0045
103.271493 74.789 158.9431
103.637704 74.774 158.8818
104.003915 74.759 158.8199
104.370126 74.745 158.7558
104.736337 74.730 158.6884
105.102548 74.716 158.6178
105.468759 74.701 158.5457
105.834970 74.685 158.4751
106.201180 74.668 158.4084
106.567391 74.652 158.3461
106.933602 74.636 158.2865
107.299813 74.620 158.2270
107.666024 74.605 158.1658
108.032235 74.590 158.1030
108.398446 74.575 158.0402
108.764657 74.559 157.9793
109.130868 74.543 157.9214
109.497079 74.528 157.8659
109.863290 74.513 157.8116
110.229501 74.499 157.7570
110.595712 74.485 157.7014
110.961923 74.471 157.6442
111.328134 74.457 157.5853
111.694345 74.443 157.5250
112.060556 74.428 157.4640
112.426767 74.414 157.4039
112.792978 74.398 157.3466
113.159189 74.383 157.2931
113.525400 74.368 157.2434
113.891611 74.353 157.1963
114.257822 74.338 157.1499
114.624033 74.323 157.1033
114.990244 74.309 157.0565
115.356455 74.294 157.0105
115.722666 74.279 156.9662
116.088877 74.265 156.9238
116.455088 74.250 156.8822
116.821299 74.236 156.8402
117.187510 74.222 156.7968
117.553720 74.208 156.7515
117.919931 74.194 156.7048
118.286142 74.180 156.6572
118.652353 74.166 156.6091
119.018564 74.152 156.5609
119.384775 74.137 156.5125
119.750986 74.123 156.4641
120.117197 74.108 156.4161
120.483408 74.094 156.3687
120.849619 74.079 156.3221
121.215830 74.064 156.2769
121.582041 74.049 156.2334
121.948252 74.034 156.1919
122.314463 74.020 156.1523
122.680674 74.006 156.1139
123.046885 73.992 156.0758
123.413096 73.978 156.0371
123.779307 73.965 155.9976
124.145518 73.952 155.9574
124.511729 73.939 155.9173
124.877940 73.925 155.8780
125.244151 73.912 155.8399
125.610362 73.900 155.8029
125.976573 73.887 155.7664
126.342784 73.875 155.7300
126.708995 73.863 155.6932
127.075206 73.852 155.6560
127.441417 73.840 155.6184
127.807628 73.828 155.5809
128.173839 73.815 155.5443
128.540049 73.803 155.5090
128.906260 73.791 155.4754
129.272471 73.779 155.4429
129.638682 73.767 155.4109
130.004893 73.755 155.3783
130.371104 73.743 155.3447
130.737315 73.731 155.3104
131.103526 73.719 155.2759
131.469737 73.707 155.2423
131.835948 73.695 155.2102
132.202159 73.682 155.1794
132.568370 73.670 155.1494
132.934581 73.658 155.1198
133.300792 73.645 155.0903
133.667003 73.633 155.0612
134.033214 73.620 155.0332
134.399425 73.608 155.0066
134.765636 73.595 154.9816
135.131847 73.583 154.9581
135.498058 73.570 154.9365
135.864269 73.558 154.9173
136.230480 73.546 154.9008
136.596691 73.534 154.8867
136.962902 73.523 154.8738
137.329113 73.513 154.8595
137.695324 73.504 154.8412
138.061535 73.495 154.8173
138.427746 73.485 154.7878
138.793957 73.475 154.7550
139.160168 73.464 154.7217
139.526379 73.453 154.6907
139.892589 73.441 154.6633
140.258800 73.429 154.6392
140.625011 73.418 154.6169
140.991222 73.406 154.5951
141.357433 73.395 154.5729
141.723644 73.384 154.5502
142.089855 73.372 154.5274
142.456066 73.360 154.5049
142.822277 73.349 154.4825
143.188488 73.337 154.4599
143.554699 73.325 154.4369
143.920910 73.313 154.4139
144.287121 73.301 154.3916
144.653332 73.289 154.3706
145.019543 73.277 154.3513
145.385754 73.265 154.3334
145.751965 73.253 154.3162
146.118176 73.241 154.2989
146.484387 73.230 154.2809
146.850598 73.218 154.2622
147.216809 73.207 154.2432
147.583020 73.196 154.2243
147.949231 73.185 154.2061
148.315442 73.174 154.1887
148.681653 73.163 154.1719
149.047864 73.152 154.1554
149.414075 73.142 154.1386
