* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 5, 2023 5:57:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SB Glamdring Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.913 -22.0760
0.732422 72.041 -43.8744
1.098633 68.431 -64.7421
1.464844 61.429 -81.2525
1.831055 48.362 8.5283
2.197266 60.630 32.1133
2.563477 63.597 14.3642
2.929688 63.697 -4.8162
3.295899 62.033 -21.0895
3.662110 59.254 -27.9886
4.028321 57.661 -18.8846
4.394532 59.498 -13.0942
4.760743 62.028 -22.1419
5.126954 63.863 -36.6143
5.493164 64.965 -50.1913
5.859375 65.555 -59.7456
6.225586 66.028 -64.2094
6.591797 66.802 -65.2213
6.958008 67.921 -66.1199
7.324219 69.062 -68.6201
7.690430 69.964 -72.1598
8.056641 70.581 -75.5182
8.422852 71.017 -77.9393
8.789063 71.414 -79.4943
9.155274 71.838 -80.8244
9.521485 72.263 -82.4850
9.887696 72.630 -84.5529
10.253907 72.848 -86.7825
10.620118 72.984 -88.9576
10.986329 73.104 -91.0708
11.352540 73.225 -93.2427
11.718751 73.340 -95.5346
12.084962 73.438 -97.8693
12.451173 73.527 -100.1162
12.817384 73.671 -102.2203
13.183595 73.841 -104.2364
13.549806 74.022 -106.2441
13.916017 74.199 -108.2489
14.282228 74.360 -110.1702
14.648439 74.506 -111.9196
15.014650 74.649 -113.4806
15.380861 74.795 -114.9163
15.747072 74.938 -116.3064
16.113283 75.074 -117.6831
16.479493 75.200 -119.0230
16.845704 75.306 -120.2909
17.211915 75.399 -121.4814
17.578126 75.483 -122.6230
17.944337 75.560 -123.7503
18.310548 75.628 -124.8806
18.676759 75.688 -126.0142
19.042970 75.742 -127.1503
19.409181 75.793 -128.2945
19.775392 75.841 -129.4504
20.141603 75.887 -130.6105
20.507814 75.933 -131.7596
20.874025 75.980 -132.8884
21.240236 76.030 -134.0008
21.606447 76.080 -135.1031
21.972658 76.129 -136.1875
22.338869 76.174 -137.2290
22.705080 76.217 -138.2012
23.071291 76.261 -139.0984
23.437502 76.309 -139.9411
23.803713 76.360 -140.7604
24.169924 76.409 -141.5747
24.536135 76.452 -142.3806
24.902346 76.487 -143.1632
25.268557 76.516 -143.9120
25.634768 76.540 -144.6276
26.000979 76.561 -145.3154
26.367190 76.578 -145.9775
26.733401 76.594 -146.6143
27.099612 76.612 -147.2358
27.465823 76.635 -147.8674
27.832033 76.662 -148.5417
28.198244 76.689 -149.2793
28.564455 76.710 -150.0730
28.930666 76.722 -150.8891
29.296877 76.724 -151.6845
29.663088 76.722 -152.4276
30.029299 76.719 -153.1088
30.395510 76.720 -153.7387
30.761721 76.727 -154.3364
31.127932 76.737 -154.9180
31.494143 76.750 -155.4911
31.860354 76.763 -156.0557
32.226565 76.775 -156.6079
32.592776 76.786 -157.1432
32.958987 76.795 -157.6593
33.325198 76.804 -158.1567
33.691409 76.812 -158.6393
34.057620 76.821 -159.1137
34.423831 76.828 -159.5881
34.790042 76.836 -160.0707
35.156253 76.841 -160.5673
35.522464 76.844 -161.0792
35.888675 76.842 -161.6016
36.254886 76.835 -162.1240
36.621097 76.824 -162.6328
36.987308 76.810 -163.1156
37.353519 76.795 -163.5662
37.719730 76.783 -163.9870
38.085941 76.775 -164.3894
38.452152 76.772 -164.7906
38.818363 76.772 -165.2063
39.184573 76.774 -165.6443
39.550784 76.773 -166.0986
39.916995 76.768 -166.5518
40.283206 76.761 -166.9825
40.649417 76.752 -167.3769
41.015628 76.745 -167.7364
41.381839 76.742 -168.0770
41.748050 76.743 -168.4202
42.114261 76.745 -168.7812
42.480472 76.746 -169.1611
42.846683 76.743 -169.5486
43.212894 76.736 -169.9280
43.579105 76.727 -170.2890
43.945316 76.717 -170.6311
44.311527 76.709 -170.9626
44.677738 76.701 -171.2933
45.043949 76.694 -171.6285
45.410160 76.686 -171.9669
45.776371 76.677 -172.3029
46.142582 76.668 -172.6329
46.508793 76.659 -172.9582
46.875004 76.652 -173.2847
47.241215 76.644 -173.6170
47.607426 76.635 -173.9539
47.973637 76.625 -174.2879
48.339848 76.614 -174.6107
48.706059 76.603 -174.9204
49.072270 76.594 -175.2236
49.438481 76.586 -175.5306
49.804692 76.577 -175.8466
50.170902 76.567 -176.1667
50.537113 76.554 -176.4792
50.903324 76.541 -176.7744
51.269535 76.527 -177.0517
51.635746 76.515 -177.3192
52.001957 76.504 -177.5855
52.368168 76.492 -177.8515
52.734379 76.480 -178.1106
53.100590 76.467 -178.3554
53.466801 76.457 -178.5876
53.833012 76.448 -178.8195
54.199223 76.442 -179.0663
54.565434 76.434 -179.3336
54.931645 76.423 -179.6115
55.297856 76.407 -179.8789
55.664067 76.390 179.8815
56.030278 76.374 179.6705
56.396489 76.362 179.4705
56.762700 76.355 179.2554
57.128911 76.350 179.0078
57.495122 76.342 178.7290
57.861333 76.329 178.4380
58.227544 76.311 178.1577
58.593755 76.292 177.9017
58.959966 76.273 177.6673
59.326177 76.257 177.4421
59.692388 76.242 177.2150
60.058599 76.227 176.9856
60.424810 76.211 176.7628
60.791021 76.195 176.5560
61.157232 76.181 176.3666
61.523442 76.170 176.1849
61.889653 76.162 175.9962
62.255864 76.155 175.7911
62.622075 76.146 175.5715
62.988286 76.134 175.3497
63.354497 76.118 175.1418
63.720708 76.101 174.9589
64.086919 76.085 174.8019
64.453130 76.072 174.6606
64.819341 76.062 174.5180
65.185552 76.056 174.3566
65.551763 76.050 174.1664
65.917974 76.042 173.9482
66.284185 76.029 173.7142
66.650396 76.012 173.4824
67.016607 75.992 173.2674
67.382818 75.971 173.0746
67.749029 75.951 172.8977
68.115240 75.935 172.7236
68.481451 75.921 172.5399
68.847662 75.907 172.3408
69.213873 75.892 172.1292
69.580084 75.875 171.9145
69.946295 75.856 171.7077
70.312506 75.836 171.5181
70.678717 75.817 171.3504
71.044928 75.799 171.2035
71.411139 75.784 171.0707
71.777350 75.772 170.9423
72.143561 75.762 170.8085
72.509771 75.754 170.6635
72.875982 75.745 170.5082
73.242193 75.734 170.3492
73.608404 75.721 170.1957
73.974615 75.707 170.0556
74.340826 75.692 169.9325
74.707037 75.678 169.8232
75.073248 75.666 169.7190
75.439459 75.656 169.6067
75.805670 75.648 169.4743
76.171881 75.638 169.3159
76.538092 75.624 169.1366
76.904303 75.605 168.9523
77.270514 75.581 168.7835
77.636725 75.554 168.6451
78.002936 75.529 168.5372
78.369147 75.508 168.4444
78.735358 75.491 168.3431
79.101569 75.477 168.2151
79.467780 75.463 168.0577
79.833991 75.445 167.8849
80.200202 75.424 167.7175
80.566413 75.402 167.5696
80.932624 75.382 167.4409
81.298835 75.366 167.3172
81.665046 75.352 167.1822
82.031257 75.340 167.0283
82.397468 75.326 166.8618
82.763679 75.311 166.6967
83.129890 75.294 166.5442
83.496101 75.279 166.4045
83.862311 75.265 166.2682
84.228522 75.252 166.1258
84.594733 75.237 165.9781
84.960944 75.218 165.8396
85.327155 75.198 165.7292
85.693366 75.178 165.6568
86.059577 75.163 165.6133
86.425788 75.154 165.5725
86.791999 75.149 165.5063
87.158210 75.144 165.4015
87.524421 75.135 165.2682
87.890632 75.119 165.1341
88.256843 75.099 165.0266
88.623054 75.077 164.9566
88.989265 75.060 164.9122
89.355476 75.046 164.8676
89.721687 75.036 164.7996
90.087898 75.025 164.7010
90.454109 75.012 164.5827
90.820320 74.994 164.4635
91.186531 74.974 164.3577
91.552742 74.955 164.2671
91.918953 74.937 164.1824
92.285164 74.921 164.0921
92.651375 74.906 163.9908
93.017586 74.890 163.8815
93.383797 74.873 163.7723
93.750008 74.856 163.6698
94.116219 74.839 163.5748
94.482430 74.823 163.4833
94.848641 74.809 163.3897
95.214851 74.796 163.2905
95.581062 74.782 163.1862
95.947273 74.768 163.0800
96.313484 74.752 162.9764
96.679695 74.736 162.8792
97.045906 74.720 162.7903
97.412117 74.704 162.7099
97.778328 74.689 162.6356
98.144539 74.674 162.5635
98.510750 74.661 162.4899
98.876961 74.647 162.4123
99.243172 74.634 162.3311
99.609383 74.620 162.2482
99.975594 74.605 162.1656
100.341805 74.591 162.0836
100.708016 74.576 162.0011
101.074227 74.560 161.9179
101.440438 74.544 161.8359
101.806649 74.528 161.7593
102.172860 74.511 161.6918
102.539071 74.495 161.6340
102.905282 74.480 161.5815
103.271493 74.468 161.5268
103.637704 74.457 161.4626
104.003915 74.447 161.3858
104.370126 74.435 161.2978
104.736337 74.422 161.2036
105.102548 74.408 161.1089
105.468759 74.391 161.0190
105.834970 74.374 160.9378
106.201180 74.356 160.8680
106.567391 74.338 160.8110
106.933602 74.321 160.7649
107.299813 74.305 160.7246
107.666024 74.292 160.6828
108.032235 74.280 160.6324
108.398446 74.268 160.5703
108.764657 74.256 160.4980
109.130868 74.242 160.4205
109.497079 74.227 160.3433
109.863290 74.212 160.2696
110.229501 74.196 160.2001
110.595712 74.180 160.1339
110.961923 74.164 160.0706
111.328134 74.148 160.0105
111.694345 74.132 159.9537
112.060556 74.118 159.8989
112.426767 74.104 159.8437
112.792978 74.091 159.7853
113.159189 74.077 159.7234
113.525400 74.064 159.6597
113.891611 74.050 159.5976
114.257822 74.036 159.5394
114.624033 74.022 159.4853
114.990244 74.008 159.4330
115.356455 73.996 159.3802
115.722666 73.983 159.3255
116.088877 73.970 159.2700
116.455088 73.956 159.2155
116.821299 73.943 159.1632
117.187510 73.929 159.1132
117.553720 73.915 159.0642
117.919931 73.901 159.0156
118.286142 73.887 158.9680
118.652353 73.873 158.9229
119.018564 73.859 158.8813
119.384775 73.845 158.8427
119.750986 73.832 158.8040
120.117197 73.820 158.7617
120.483408 73.808 158.7134
120.849619 73.795 158.6591
121.215830 73.782 158.6015
121.582041 73.768 158.5448
121.948252 73.753 158.4923
122.314463 73.738 158.4454
122.680674 73.723 158.4029
123.046885 73.709 158.3625
123.413096 73.696 158.3221
123.779307 73.683 158.2803
124.145518 73.670 158.2373
124.511729 73.657 158.1940
124.877940 73.645 158.1512
125.244151 73.633 158.1088
125.610362 73.621 158.0663
125.976573 73.609 158.0228
126.342784 73.597 157.9779
126.708995 73.585 157.9323
127.075206 73.573 157.8871
127.441417 73.560 157.8440
127.807628 73.547 157.8043
128.173839 73.534 157.7682
128.540049 73.522 157.7354
128.906260 73.509 157.7045
129.272471 73.497 157.6746
129.638682 73.486 157.6445
130.004893 73.475 157.6134
130.371104 73.464 157.5807
130.737315 73.454 157.5459
131.103526 73.444 157.5081
131.469737 73.434 157.4668
131.835948 73.424 157.4216
132.202159 73.413 157.3725
132.568370 73.403 157.3207
132.934581 73.391 157.2681
133.300792 73.379 157.2173
133.667003 73.365 157.1712
134.033214 73.351 157.1319
134.399425 73.338 157.1001
134.765636 73.324 157.0745
135.131847 73.312 157.0528
135.498058 73.300 157.0320
135.864269 73.288 157.0103
136.230480 73.276 156.9875
136.596691 73.264 156.9650
136.962902 73.252 156.9448
137.329113 73.240 156.9284
137.695324 73.228 156.9155
138.061535 73.217 156.9044
138.427746 73.206 156.8923
138.793957 73.197 156.8770
139.160168 73.187 156.8573
139.526379 73.178 156.8333
139.892589 73.169 156.8058
140.258800 73.159 156.7759
140.625011 73.150 156.7439
140.991222 73.140 156.7097
141.357433 73.130 156.6732
141.723644 73.120 156.6347
142.089855 73.110 156.5952
142.456066 73.099 156.5565
142.822277 73.087 156.5203
143.188488 73.075 156.4881
143.554699 73.063 156.4602
143.920910 73.052 156.4361
144.287121 73.040 156.4143
144.653332 73.029 156.3931
145.019543 73.019 156.3713
145.385754 73.008 156.3487
145.751965 72.996 156.3260
146.118176 72.985 156.3046
146.484387 72.973 156.2860
146.850598 72.961 156.2707
147.216809 72.949 156.2582
147.583020 72.938 156.2473
147.949231 72.928 156.2359
148.315442 72.917 156.2226
148.681653 72.907 156.2064
149.047864 72.897 156.1879
