* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 7:05:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Olina filter installed in the Nozzle of the Black; 
* Measurement: EA500 Black Olina Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.536 -22.6878
0.732422 64.615 -45.1208
1.098633 60.868 -66.6567
1.464844 53.313 -83.4729
1.831055 43.410 26.8766
2.197266 54.578 30.7649
2.563477 57.410 11.4130
2.929688 57.680 -8.4231
3.295899 56.426 -24.9087
3.662110 54.365 -32.4764
4.028321 53.383 -26.9822
4.394532 55.060 -22.6717
4.760743 57.447 -29.3432
5.126954 59.263 -40.8934
5.493164 60.394 -52.0421
5.859375 61.051 -60.0346
6.225586 61.592 -64.0356
6.591797 62.352 -65.4259
6.958008 63.357 -66.7345
7.324219 64.370 -69.2428
7.690430 65.189 -72.5383
8.056641 65.781 -75.6810
8.422852 66.225 -78.0967
8.789063 66.627 -79.8552
9.155274 67.034 -81.4244
9.521485 67.426 -83.1747
9.887696 67.765 -85.1294
10.253907 67.976 -87.1119
10.620118 68.124 -89.0110
10.986329 68.268 -90.8826
11.352540 68.411 -92.8435
11.718751 68.541 -94.9158
12.084962 68.651 -97.0004
12.451173 68.752 -98.9844
12.817384 68.907 -100.8510
13.183595 69.083 -102.6784
13.549806 69.262 -104.5364
13.916017 69.427 -106.3968
14.282228 69.569 -108.1498
14.648439 69.698 -109.7019
15.014650 69.829 -111.0598
15.380861 69.971 -112.3246
15.747072 70.115 -113.6025
16.113283 70.249 -114.9189
16.479493 70.365 -116.2092
16.845704 70.458 -117.3827
17.211915 70.540 -118.4016
17.578126 70.626 -119.3141
17.944337 70.720 -120.2228
18.310548 70.815 -121.2138
18.676759 70.899 -122.3002
19.042970 70.961 -123.4186
19.409181 71.005 -124.4762
19.775392 71.044 -125.4197
20.141603 71.094 -126.2804
20.507814 71.163 -127.1578
20.874025 71.238 -128.1406
21.240236 71.300 -129.2241
21.606447 71.337 -130.2935
21.972658 71.357 -131.1993
22.338869 71.382 -131.8774
22.705080 71.438 -132.4247
23.071291 71.526 -133.0472
23.437502 71.621 -133.9005
23.803713 71.689 -134.9554
24.169924 71.706 -136.0025
24.536135 71.686 -136.7897
24.902346 71.665 -137.2027
25.268557 71.685 -137.3663
25.634768 71.758 -137.5705
26.000979 71.860 -138.0636
26.367190 71.948 -138.8862
26.733401 71.994 -139.8754
27.099612 71.996 -140.7987
27.465823 71.978 -141.5076
27.832033 71.969 -142.0133
28.198244 71.983 -142.4487
28.564455 72.017 -142.9533
28.930666 72.053 -143.5771
29.296877 72.077 -144.2699
29.663088 72.088 -144.9400
30.029299 72.091 -145.5241
30.395510 72.098 -146.0199
30.761721 72.115 -146.4703
31.127932 72.140 -146.9244
31.494143 72.168 -147.4059
31.860354 72.194 -147.9077
32.226565 72.214 -148.4061
32.592776 72.231 -148.8799
32.958987 72.245 -149.3220
33.325198 72.260 -149.7404
33.691409 72.277 -150.1514
34.057620 72.292 -150.5684
34.423831 72.306 -150.9943
34.790042 72.316 -151.4210
35.156253 72.322 -151.8368
35.522464 72.327 -152.2370
35.888675 72.332 -152.6284
36.254886 72.338 -153.0239
36.621097 72.342 -153.4289
36.987308 72.343 -153.8333
37.353519 72.342 -154.2172
37.719730 72.342 -154.5684
38.085941 72.347 -154.8993
38.452152 72.359 -155.2455
38.818363 72.374 -155.6430
39.184573 72.385 -156.0985
39.550784 72.383 -156.5755
39.916995 72.369 -157.0097
40.283206 72.349 -157.3466
40.649417 72.333 -157.5758
41.015628 72.330 -157.7397
41.381839 72.342 -157.9079
41.748050 72.363 -158.1351
42.114261 72.384 -158.4333
42.480472 72.398 -158.7743
42.846683 72.406 -159.1169
43.212894 72.409 -159.4353
43.579105 72.413 -159.7299
43.945316 72.419 -160.0182
44.311527 72.426 -160.3167
44.677738 72.432 -160.6292
45.043949 72.436 -160.9476
45.410160 72.437 -161.2607
45.776371 72.437 -161.5612
46.142582 72.436 -161.8478
46.508793 72.436 -162.1221
46.875004 72.436 -162.3869
47.241215 72.437 -162.6453
47.607426 72.438 -162.9011
47.973637 72.440 -163.1566
48.339848 72.441 -163.4113
48.706059 72.442 -163.6618
49.072270 72.442 -163.9058
49.438481 72.443 -164.1444
49.804692 72.444 -164.3829
50.170902 72.446 -164.6260
50.537113 72.446 -164.8727
50.903324 72.444 -165.1161
51.269535 72.441 -165.3479
51.635746 72.438 -165.5658
52.001957 72.436 -165.7764
52.368168 72.437 -165.9911
52.734379 72.438 -166.2182
53.100590 72.437 -166.4563
53.466801 72.434 -166.6951
53.833012 72.429 -166.9230
54.199223 72.424 -167.1352
54.565434 72.420 -167.3371
54.931645 72.418 -167.5396
55.297856 72.416 -167.7499
55.664067 72.413 -167.9658
56.030278 72.408 -168.1770
56.396489 72.401 -168.3729
56.762700 72.396 -168.5521
57.128911 72.392 -168.7241
57.495122 72.391 -168.9030
57.861333 72.389 -169.0968
58.227544 72.386 -169.2998
58.593755 72.379 -169.4957
58.959966 72.372 -169.6690
59.326177 72.366 -169.8176
59.692388 72.365 -169.9565
60.058599 72.368 -170.1097
60.424810 72.374 -170.2958
60.791021 72.378 -170.5165
61.157232 72.378 -170.7559
61.523442 72.372 -170.9900
61.889653 72.364 -171.2005
62.255864 72.355 -171.3835
62.622075 72.349 -171.5486
62.988286 72.345 -171.7105
63.354497 72.341 -171.8788
63.720708 72.338 -172.0534
64.086919 72.333 -172.2269
64.453130 72.327 -172.3923
64.819341 72.322 -172.5489
65.185552 72.319 -172.7035
65.551763 72.316 -172.8644
65.917974 72.312 -173.0341
66.284185 72.306 -173.2052
66.650396 72.298 -173.3655
67.016607 72.290 -173.5066
67.382818 72.285 -173.6326
67.749029 72.282 -173.7598
68.115240 72.282 -173.9072
68.481451 72.281 -174.0829
68.847662 72.277 -174.2774
69.213873 72.267 -174.4679
69.580084 72.254 -174.6323
69.946295 72.241 -174.7632
70.312506 72.231 -174.8716
70.678717 72.225 -174.9793
71.044928 72.221 -175.1039
71.411139 72.218 -175.2495
71.777350 72.212 -175.4064
72.143561 72.203 -175.5603
72.509771 72.193 -175.7015
72.875982 72.183 -175.8294
73.242193 72.173 -175.9496
73.608404 72.165 -176.0675
73.974615 72.156 -176.1849
74.340826 72.148 -176.2994
74.707037 72.140 -176.4076
75.073248 72.133 -176.5079
75.439459 72.128 -176.6020
75.805670 72.125 -176.6947
76.171881 72.124 -176.7934
76.538092 72.126 -176.9064
76.904303 72.128 -177.0395
77.270514 72.130 -177.1938
77.636725 72.129 -177.3639
78.002936 72.125 -177.5399
78.369147 72.118 -177.7118
78.735358 72.108 -177.8724
79.101569 72.096 -178.0180
79.467780 72.084 -178.1466
79.833991 72.070 -178.2566
80.200202 72.058 -178.3476
80.566413 72.047 -178.4234
80.932624 72.039 -178.4934
81.298835 72.034 -178.5697
81.665046 72.030 -178.6607
82.031257 72.025 -178.7665
82.397468 72.019 -178.8801
82.763679 72.011 -178.9931
83.129890 72.003 -179.1033
83.496101 71.996 -179.2149
83.862311 71.989 -179.3349
84.228522 71.981 -179.4650
84.594733 71.972 -179.5994
84.960944 71.961 -179.7284
85.327155 71.950 -179.8453
85.693366 71.940 -179.9523
86.059577 71.932 179.9420
86.425788 71.925 179.8296
86.791999 71.918 179.7095
87.158210 71.910 179.5884
87.524421 71.901 179.4755
87.890632 71.892 179.3750
88.256843 71.885 179.2839
88.623054 71.879 179.1943
88.989265 71.875 179.1001
89.355476 71.870 179.0012
89.721687 71.864 178.9026
90.087898 71.858 178.8095
90.454109 71.852 178.7227
90.820320 71.847 178.6378
91.186531 71.842 178.5490
91.552742 71.836 178.4537
91.918953 71.829 178.3553
92.285164 71.820 178.2606
92.651375 71.811 178.1753
93.017586 71.801 178.1000
93.383797 71.792 178.0299
93.750008 71.785 177.9583
94.116219 71.778 177.8804
94.482430 71.771 177.7958
94.848641 71.763 177.7075
95.214851 71.755 177.6191
95.581062 71.746 177.5325
95.947273 71.738 177.4476
96.313484 71.729 177.3631
96.679695 71.721 177.2784
97.045906 71.713 177.1939
97.412117 71.705 177.1104
97.778328 71.697 177.0278
98.144539 71.690 176.9457
98.510750 71.682 176.8631
98.876961 71.675 176.7800
99.243172 71.667 176.6969
99.609383 71.660 176.6149
99.975594 71.652 176.5348
100.341805 71.644 176.4564
100.708016 71.636 176.3796
101.074227 71.628 176.3045
101.440438 71.619 176.2313
101.806649 71.611 176.1603
102.172860 71.603 176.0911
102.539071 71.596 176.0225
102.905282 71.588 175.9533
103.271493 71.580 175.8832
103.637704 71.572 175.8127
104.003915 71.564 175.7429
104.370126 71.556 175.6746
104.736337 71.548 175.6075
105.102548 71.541 175.5405
105.468759 71.533 175.4725
105.834970 71.526 175.4030
106.201180 71.518 175.3320
106.567391 71.511 175.2604
106.933602 71.503 175.1890
107.299813 71.495 175.1182
107.666024 71.486 175.0484
108.032235 71.478 174.9797
108.398446 71.470 174.9120
108.764657 71.462 174.8455
109.130868 71.453 174.7797
109.497079 71.445 174.7143
109.863290 71.437 174.6490
110.229501 71.429 174.5842
110.595712 71.421 174.5203
110.961923 71.412 174.4579
111.328134 71.404 174.3972
111.694345 71.395 174.3378
112.060556 71.387 174.2790
112.426767 71.379 174.2203
112.792978 71.371 174.1617
113.159189 71.363 174.1032
113.525400 71.355 174.0452
113.891611 71.348 173.9879
114.257822 71.340 173.9312
114.624033 71.332 173.8749
114.990244 71.325 173.8187
115.356455 71.317 173.7620
115.722666 71.310 173.7045
116.088877 71.303 173.6461
116.455088 71.296 173.5869
116.821299 71.288 173.5273
117.187510 71.281 173.4677
117.553720 71.273 173.4088
117.919931 71.265 173.3508
118.286142 71.256 173.2941
118.652353 71.248 173.2389
119.018564 71.240 173.1854
119.384775 71.231 173.1337
119.750986 71.223 173.0835
120.117197 71.215 173.0344
120.483408 71.206 172.9856
120.849619 71.199 172.9365
121.215830 71.191 172.8869
121.582041 71.182 172.8370
121.948252 71.174 172.7874
122.314463 71.166 172.7388
122.680674 71.157 172.6916
123.046885 71.149 172.6462
123.413096 71.141 172.6025
123.779307 71.133 172.5598
124.145518 71.126 172.5173
124.511729 71.119 172.4739
124.877940 71.112 172.4290
125.244151 71.106 172.3824
125.610362 71.100 172.3345
125.976573 71.094 172.2861
126.342784 71.087 172.2382
126.708995 71.081 172.1911
127.075206 71.075 172.1451
127.441417 71.068 172.1001
127.807628 71.062 172.0561
128.173839 71.056 172.0132
128.540049 71.050 171.9713
128.906260 71.044 171.9297
129.272471 71.038 171.8875
129.638682 71.032 171.8439
130.004893 71.025 171.7988
130.371104 71.019 171.7530
130.737315 71.012 171.7079
131.103526 71.004 171.6649
131.469737 70.997 171.6247
131.835948 70.989 171.5870
132.202159 70.982 171.5507
132.568370 70.975 171.5147
132.934581 70.969 171.4781
133.300792 70.962 171.4408
133.667003 70.956 171.4028
134.033214 70.949 171.3643
134.399425 70.943 171.3253
134.765636 70.937 171.2852
135.131847 70.931 171.2437
135.498058 70.925 171.2001
135.864269 70.919 171.1542
136.230480 70.913 171.1060
136.596691 70.907 171.0562
136.962902 70.900 171.0059
137.329113 70.892 170.9568
137.695324 70.884 170.9111
138.061535 70.876 170.8704
138.427746 70.868 170.8357
138.793957 70.860 170.8064
139.160168 70.853 170.7808
139.526379 70.847 170.7564
139.892589 70.842 170.7304
140.258800 70.837 170.7012
140.625011 70.833 170.6682
140.991222 70.828 170.6325
141.357433 70.823 170.5956
141.723644 70.817 170.5590
142.089855 70.811 170.5239
142.456066 70.805 170.4904
142.822277 70.798 170.4584
143.188488 70.792 170.4272
143.554699 70.785 170.3966
143.920910 70.779 170.3666
144.287121 70.772 170.3377
144.653332 70.765 170.3100
145.019543 70.758 170.2837
145.385754 70.750 170.2585
145.751965 70.743 170.2339
146.118176 70.736 170.2095
146.484387 70.729 170.1848
