* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 7:04:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Olina filter installed in the Nozzle of the Black; 
* Measurement: EA500 Black Olina Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.794 159.5136
0.732422 59.932 138.8264
1.098633 56.433 117.3121
1.464844 50.206 91.7408
1.831055 38.417 21.9519
2.197266 43.593 -76.7135
2.563477 45.353 -90.3895
2.929688 44.591 -70.5609
3.295899 48.355 -40.4059
3.662110 52.818 -35.9320
4.028321 55.578 -40.7040
4.394532 57.074 -46.2440
4.760743 57.857 -49.4830
5.126954 58.467 -49.8599
5.493164 59.278 -49.1452
5.859375 60.273 -49.7093
6.225586 61.214 -52.2538
6.591797 61.942 -55.9696
6.958008 62.459 -59.7564
7.324219 62.867 -62.9529
7.690430 63.282 -65.5534
8.056641 63.762 -67.9939
8.422852 64.287 -70.6778
8.789063 64.802 -73.6738
9.155274 65.272 -76.7832
9.521485 65.692 -79.7631
9.887696 66.073 -82.4740
10.253907 66.360 -84.8945
10.620118 66.604 -87.0619
10.986329 66.838 -89.0251
11.352540 67.066 -90.8404
11.718751 67.286 -92.5773
12.084962 67.489 -94.2976
12.451173 67.669 -96.0170
12.817384 67.863 -97.6947
13.183595 68.035 -99.2708
13.549806 68.188 -100.7226
13.916017 68.333 -102.0917
14.282228 68.475 -103.4526
14.648439 68.607 -104.8535
15.014650 68.724 -106.2821
15.380861 68.826 -107.6858
15.747072 68.919 -109.0235
16.113283 69.018 -110.2991
16.479493 69.132 -111.5510
16.845704 69.249 -112.8127
17.211915 69.363 -114.0843
17.578126 69.472 -115.3391
17.944337 69.575 -116.5511
18.310548 69.675 -117.7124
18.676759 69.771 -118.8257
19.042970 69.861 -119.8853
19.409181 69.946 -120.8740
19.775392 70.029 -121.7835
20.141603 70.116 -122.6384
20.507814 70.208 -123.4935
20.874025 70.297 -124.3961
21.240236 70.371 -125.3423
21.606447 70.425 -126.2695
21.972658 70.463 -127.0970
22.338869 70.498 -127.7916
22.705080 70.547 -128.4059
23.071291 70.612 -129.0518
23.437502 70.684 -129.8212
23.803713 70.745 -130.7176
24.169924 70.785 -131.6525
24.536135 70.807 -132.5112
24.902346 70.827 -133.2380
25.268557 70.861 -133.8789
25.634768 70.912 -134.5440
26.000979 70.968 -135.3154
26.367190 71.011 -136.1760
26.733401 71.029 -137.0148
27.099612 71.031 -137.7039
27.465823 71.034 -138.1900
27.832033 71.058 -138.5357
28.198244 71.109 -138.8771
28.564455 71.174 -139.3296
28.930666 71.235 -139.9162
29.296877 71.279 -140.5701
29.663088 71.304 -141.1968
30.029299 71.320 -141.7414
30.395510 71.337 -142.2158
30.761721 71.359 -142.6728
31.127932 71.382 -143.1564
31.494143 71.401 -143.6696
31.860354 71.413 -144.1819
32.226565 71.420 -144.6620
32.592776 71.429 -145.1066
32.958987 71.442 -145.5416
33.325198 71.460 -146.0002
33.691409 71.477 -146.4949
34.057620 71.489 -147.0077
34.423831 71.495 -147.5016
34.790042 71.499 -147.9449
35.156253 71.506 -148.3323
35.522464 71.522 -148.6891
35.888675 71.547 -149.0577
36.254886 71.577 -149.4731
36.621097 71.604 -149.9415
36.987308 71.623 -150.4344
37.353519 71.631 -150.9033
37.719730 71.633 -151.3062
38.085941 71.635 -151.6325
38.452152 71.646 -151.9107
38.818363 71.665 -152.1921
39.184573 71.688 -152.5204
39.550784 71.709 -152.9063
39.916995 71.720 -153.3228
40.283206 71.722 -153.7242
40.649417 71.718 -154.0740
41.015628 71.714 -154.3657
41.381839 71.714 -154.6227
41.748050 71.721 -154.8811
42.114261 71.731 -155.1665
42.480472 71.740 -155.4818
42.846683 71.746 -155.8105
43.212894 71.749 -156.1321
43.579105 71.751 -156.4371
43.945316 71.755 -156.7321
44.311527 71.762 -157.0325
44.677738 71.769 -157.3499
45.043949 71.774 -157.6821
45.410160 71.776 -158.0137
45.776371 71.774 -158.3256
46.142582 71.772 -158.6077
46.508793 71.773 -158.8652
46.875004 71.777 -159.1154
47.241215 71.784 -159.3763
47.607426 71.790 -159.6546
47.973637 71.795 -159.9422
48.339848 71.796 -160.2221
48.706059 71.795 -160.4807
49.072270 71.795 -160.7168
49.438481 71.798 -160.9424
49.804692 71.802 -161.1736
50.170902 71.808 -161.4191
50.537113 71.811 -161.6751
50.903324 71.812 -161.9288
51.269535 71.811 -162.1687
51.635746 71.810 -162.3928
52.001957 71.811 -162.6086
52.368168 71.813 -162.8269
52.734379 71.815 -163.0529
53.100590 71.816 -163.2832
53.466801 71.817 -163.5099
53.833012 71.817 -163.7278
54.199223 71.817 -163.9386
54.565434 71.820 -164.1499
54.931645 71.823 -164.3694
55.297856 71.826 -164.5996
55.664067 71.826 -164.8359
56.030278 71.825 -165.0694
56.396489 71.821 -165.2903
56.762700 71.816 -165.4908
57.128911 71.811 -165.6680
57.495122 71.808 -165.8250
57.861333 71.809 -165.9721
58.227544 71.813 -166.1248
58.593755 71.821 -166.2985
58.959966 71.828 -166.5013
59.326177 71.833 -166.7301
59.692388 71.833 -166.9715
60.058599 71.828 -167.2085
60.424810 71.819 -167.4275
60.791021 71.809 -167.6227
61.157232 71.799 -167.7956
61.523442 71.791 -167.9517
61.889653 71.784 -168.0979
62.255864 71.781 -168.2416
62.622075 71.779 -168.3908
62.988286 71.779 -168.5520
63.354497 71.779 -168.7279
63.720708 71.778 -168.9155
64.086919 71.776 -169.1078
64.453130 71.773 -169.2976
64.819341 71.769 -169.4814
65.185552 71.765 -169.6596
65.551763 71.762 -169.8340
65.917974 71.758 -170.0050
66.284185 71.755 -170.1714
66.650396 71.753 -170.3331
67.016607 71.751 -170.4928
67.382818 71.750 -170.6554
67.749029 71.748 -170.8238
68.115240 71.745 -170.9955
68.481451 71.740 -171.1637
68.847662 71.733 -171.3205
69.213873 71.726 -171.4620
69.580084 71.719 -171.5896
69.946295 71.713 -171.7082
70.312506 71.709 -171.8228
70.678717 71.706 -171.9384
71.044928 71.704 -172.0603
71.411139 71.703 -172.1943
71.777350 71.701 -172.3428
72.143561 71.697 -172.5011
72.509771 71.690 -172.6563
72.875982 71.680 -172.7941
73.242193 71.671 -172.9084
73.608404 71.665 -173.0079
73.974615 71.662 -173.1120
74.340826 71.662 -173.2377
74.707037 71.659 -173.3863
75.073248 71.653 -173.5414
75.439459 71.644 -173.6801
75.805670 71.634 -173.7901
76.171881 71.628 -173.8802
76.538092 71.626 -173.9752
76.904303 71.627 -174.0984
77.270514 71.626 -174.2543
77.636725 71.621 -174.4253
78.002936 71.610 -174.5832
78.369147 71.597 -174.7087
78.735358 71.586 -174.8032
79.101569 71.579 -174.8865
79.467780 71.577 -174.9823
79.833991 71.576 -175.1031
80.200202 71.573 -175.2446
80.566413 71.568 -175.3924
80.932624 71.562 -175.5343
81.298835 71.555 -175.6679
81.665046 71.548 -175.7992
82.031257 71.542 -175.9341
82.397468 71.534 -176.0709
82.763679 71.525 -176.2003
83.129890 71.514 -176.3116
83.496101 71.505 -176.4021
83.862311 71.498 -176.4800
84.228522 71.495 -176.5606
84.594733 71.494 -176.6570
84.960944 71.493 -176.7723
85.327155 71.489 -176.8989
85.693366 71.483 -177.0240
86.059577 71.476 -177.1377
86.425788 71.468 -177.2383
86.791999 71.462 -177.3320
87.158210 71.457 -177.4274
87.524421 71.453 -177.5302
87.890632 71.447 -177.6400
88.256843 71.441 -177.7519
88.623054 71.434 -177.8602
88.989265 71.427 -177.9621
89.355476 71.420 -178.0588
89.721687 71.415 -178.1547
90.087898 71.410 -178.2546
90.454109 71.405 -178.3612
90.820320 71.400 -178.4742
91.186531 71.394 -178.5902
91.552742 71.386 -178.7045
91.918953 71.378 -178.8125
92.285164 71.369 -178.9112
92.651375 71.360 -179.0004
93.017586 71.352 -179.0821
93.383797 71.345 -179.1599
93.750008 71.339 -179.2372
94.116219 71.333 -179.3169
94.482430 71.328 -179.3998
94.848641 71.323 -179.4853
95.214851 71.317 -179.5717
95.581062 71.310 -179.6571
95.947273 71.303 -179.7404
96.313484 71.297 -179.8218
96.679695 71.290 -179.9025
97.045906 71.284 -179.9840
97.412117 71.277 179.9328
97.778328 71.270 179.8480
98.144539 71.263 179.7626
98.510750 71.256 179.6780
98.876961 71.249 179.5947
99.243172 71.241 179.5126
99.609383 71.234 179.4311
99.975594 71.227 179.3495
100.341805 71.220 179.2680
100.708016 71.212 179.1869
101.074227 71.206 179.1067
101.440438 71.199 179.0271
101.806649 71.192 178.9473
102.172860 71.186 178.8666
102.539071 71.179 178.7849
102.905282 71.172 178.7026
103.271493 71.165 178.6212
103.637704 71.158 178.5420
104.003915 71.151 178.4657
104.370126 71.143 178.3921
104.736337 71.136 178.3206
105.102548 71.129 178.2502
105.468759 71.122 178.1805
105.834970 71.116 178.1113
106.201180 71.109 178.0426
106.567391 71.102 177.9744
106.933602 71.096 177.9067
107.299813 71.089 177.8392
107.666024 71.082 177.7715
108.032235 71.076 177.7033
108.398446 71.069 177.6344
108.764657 71.062 177.5648
109.130868 71.055 177.4949
109.497079 71.048 177.4255
109.863290 71.040 177.3576
110.229501 71.032 177.2922
110.595712 71.025 177.2299
110.961923 71.017 177.1700
111.328134 71.010 177.1114
111.694345 71.003 177.0521
112.060556 70.996 176.9911
112.426767 70.990 176.9279
112.792978 70.983 176.8637
113.159189 70.976 176.7997
113.525400 70.968 176.7372
113.891611 70.961 176.6764
114.257822 70.954 176.6167
114.624033 70.947 176.5572
114.990244 70.940 176.4971
115.356455 70.933 176.4366
115.722666 70.926 176.3764
116.088877 70.918 176.3175
116.455088 70.911 176.2601
116.821299 70.904 176.2040
117.187510 70.896 176.1481
117.553720 70.889 176.0919
117.919931 70.882 176.0352
118.286142 70.875 175.9786
118.652353 70.867 175.9229
119.018564 70.860 175.8687
119.384775 70.853 175.8156
119.750986 70.846 175.7625
120.117197 70.839 175.7082
120.483408 70.832 175.6522
120.849619 70.825 175.5948
121.215830 70.818 175.5372
121.582041 70.811 175.4810
121.948252 70.803 175.4266
122.314463 70.796 175.3743
122.680674 70.789 175.3231
123.046885 70.782 175.2723
123.413096 70.775 175.2210
123.779307 70.769 175.1693
124.145518 70.762 175.1171
124.511729 70.756 175.0650
124.877940 70.750 175.0135
125.244151 70.743 174.9631
125.610362 70.737 174.9140
125.976573 70.731 174.8665
126.342784 70.725 174.8203
126.708995 70.720 174.7753
127.075206 70.714 174.7307
127.441417 70.709 174.6860
127.807628 70.703 174.6405
128.173839 70.698 174.5937
128.540049 70.693 174.5452
128.906260 70.687 174.4951
129.272471 70.681 174.4439
129.638682 70.675 174.3926
130.004893 70.668 174.3423
130.371104 70.661 174.2940
130.737315 70.653 174.2486
131.103526 70.646 174.2061
131.469737 70.639 174.1659
131.835948 70.632 174.1270
132.202159 70.626 174.0884
132.568370 70.620 174.0495
132.934581 70.614 174.0099
133.300792 70.609 173.9696
133.667003 70.603 173.9290
134.033214 70.598 173.8883
134.399425 70.593 173.8477
134.765636 70.588 173.8073
135.131847 70.583 173.7674
135.498058 70.578 173.7278
135.864269 70.574 173.6881
136.230480 70.570 173.6475
136.596691 70.565 173.6049
136.962902 70.561 173.5601
137.329113 70.557 173.5132
137.695324 70.552 173.4658
138.061535 70.546 173.4197
138.427746 70.540 173.3770
138.793957 70.533 173.3384
139.160168 70.527 173.3041
139.526379 70.521 173.2725
139.892589 70.515 173.2420
140.258800 70.510 173.2108
140.625011 70.505 173.1782
140.991222 70.500 173.1437
141.357433 70.494 173.1077
141.723644 70.489 173.0706
142.089855 70.483 173.0330
142.456066 70.477 172.9953
142.822277 70.471 172.9579
143.188488 70.464 172.9213
143.554699 70.457 172.8859
143.920910 70.451 172.8516
144.287121 70.444 172.8186
144.653332 70.437 172.7864
145.019543 70.430 172.7546
145.385754 70.424 172.7228
145.751965 70.418 172.6909
