* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 7:17:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Red Nozzle Modded with Low Density and High Density Foam; Red Nozzle Modded with Low Density and High Density Foam
* Measurement: EA500 Red Dual L-HDF Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.735 159.2736
0.732422 58.894 138.2807
1.098633 55.451 116.2641
1.464844 49.414 89.5982
1.831055 38.927 22.6556
2.197266 42.616 -70.8402
2.563477 44.372 -86.3109
2.929688 43.890 -68.0625
3.295899 47.545 -40.3481
3.662110 51.873 -36.0787
4.028321 54.607 -40.7576
4.394532 56.124 -46.2774
4.760743 56.949 -49.6648
5.126954 57.594 -50.4140
5.493164 58.404 -50.1743
5.859375 59.362 -51.0811
6.225586 60.255 -53.7386
6.591797 60.943 -57.3744
6.958008 61.441 -60.9618
7.324219 61.855 -63.9390
7.690430 62.295 -66.4165
8.056641 62.802 -68.8948
8.422852 63.336 -71.7339
8.789063 63.838 -74.8893
9.155274 64.278 -78.0594
9.521485 64.668 -80.9678
9.887696 65.035 -83.5288
10.253907 65.324 -85.8283
10.620118 65.577 -87.9850
10.986329 65.810 -90.0392
11.352540 66.017 -91.9511
11.718751 66.201 -93.6757
12.084962 66.372 -95.2261
12.451173 66.538 -96.6723
12.817384 66.742 -98.0923
13.183595 66.939 -99.5253
13.549806 67.115 -100.9661
13.916017 67.267 -102.3883
14.282228 67.402 -103.7723
14.648439 67.523 -105.1168
15.014650 67.637 -106.4355
15.380861 67.746 -107.7462
15.747072 67.849 -109.0607
16.113283 67.953 -110.3770
16.479493 68.060 -111.6802
16.845704 68.164 -112.9516
17.211915 68.267 -114.1839
17.578126 68.372 -115.3890
17.944337 68.477 -116.5868
18.310548 68.577 -117.7820
18.676759 68.668 -118.9478
19.042970 68.749 -120.0383
19.409181 68.826 -121.0222
19.775392 68.906 -121.9144
20.141603 68.996 -122.7737
20.507814 69.089 -123.6634
20.874025 69.173 -124.6039
21.240236 69.240 -125.5547
21.606447 69.287 -126.4413
21.972658 69.323 -127.2048
22.338869 69.361 -127.8402
22.705080 69.410 -128.4003
23.071291 69.473 -128.9651
23.437502 69.546 -129.6024
23.803713 69.620 -130.3439
24.169924 69.685 -131.1813
24.536135 69.735 -132.0737
24.902346 69.766 -132.9586
25.268557 69.782 -133.7685
25.634768 69.793 -134.4568
26.000979 69.810 -135.0249
26.367190 69.842 -135.5310
26.733401 69.890 -136.0617
27.099612 69.943 -136.6797
27.465823 69.989 -137.3809
27.832033 70.018 -138.0959
28.198244 70.031 -138.7347
28.564455 70.040 -139.2464
28.930666 70.059 -139.6531
29.296877 70.093 -140.0341
29.663088 70.138 -140.4711
30.029299 70.182 -140.9964
30.395510 70.217 -141.5812
30.761721 70.239 -142.1657
31.127932 70.251 -142.7027
31.494143 70.262 -143.1830
31.860354 70.275 -143.6294
32.226565 70.291 -144.0707
32.592776 70.309 -144.5202
32.958987 70.324 -144.9730
33.325198 70.339 -145.4181
33.691409 70.354 -145.8517
34.057620 70.369 -146.2786
34.423831 70.385 -146.7041
34.790042 70.400 -147.1274
35.156253 70.413 -147.5413
35.522464 70.427 -147.9397
35.888675 70.440 -148.3224
36.254886 70.455 -148.6944
36.621097 70.471 -149.0617
36.987308 70.488 -149.4285
37.353519 70.504 -149.7989
37.719730 70.520 -150.1771
38.085941 70.534 -150.5652
38.452152 70.544 -150.9579
38.818363 70.550 -151.3406
39.184573 70.553 -151.6967
39.550784 70.555 -152.0200
39.916995 70.561 -152.3225
40.283206 70.570 -152.6282
40.649417 70.582 -152.9557
41.015628 70.590 -153.3024
41.381839 70.593 -153.6449
41.748050 70.594 -153.9564
42.114261 70.595 -154.2282
42.480472 70.602 -154.4786
42.846683 70.614 -154.7397
43.212894 70.628 -155.0337
43.579105 70.639 -155.3558
43.945316 70.645 -155.6784
44.311527 70.646 -155.9732
44.677738 70.649 -156.2328
45.043949 70.655 -156.4754
45.410160 70.665 -156.7291
45.776371 70.675 -157.0086
46.142582 70.682 -157.3042
46.508793 70.683 -157.5904
46.875004 70.683 -157.8470
47.241215 70.685 -158.0760
47.607426 70.690 -158.3002
47.973637 70.699 -158.5455
48.339848 70.707 -158.8210
48.706059 70.710 -159.1120
49.072270 70.708 -159.3912
49.438481 70.704 -159.6386
49.804692 70.702 -159.8541
50.170902 70.703 -160.0564
50.537113 70.709 -160.2674
50.903324 70.716 -160.4977
51.269535 70.721 -160.7413
51.635746 70.723 -160.9831
52.001957 70.725 -161.2113
52.368168 70.727 -161.4251
52.734379 70.730 -161.6334
53.100590 70.735 -161.8471
53.466801 70.739 -162.0709
53.833012 70.742 -162.3003
54.199223 70.741 -162.5247
54.565434 70.739 -162.7327
54.931645 70.736 -162.9188
55.297856 70.734 -163.0863
55.664067 70.735 -163.2472
56.030278 70.739 -163.4174
56.396489 70.743 -163.6078
56.762700 70.744 -163.8171
57.128911 70.741 -164.0288
57.495122 70.733 -164.2188
57.861333 70.724 -164.3689
58.227544 70.718 -164.4798
58.593755 70.718 -164.5741
58.959966 70.726 -164.6854
59.326177 70.738 -164.8401
59.692388 70.749 -165.0435
60.058599 70.756 -165.2789
60.424810 70.756 -165.5202
60.791021 70.752 -165.7474
61.157232 70.747 -165.9553
61.523442 70.742 -166.1500
61.889653 70.737 -166.3387
62.255864 70.732 -166.5219
62.622075 70.726 -166.6935
62.988286 70.720 -166.8484
63.354497 70.716 -166.9896
63.720708 70.715 -167.1281
64.086919 70.715 -167.2759
64.453130 70.716 -167.4380
64.819341 70.716 -167.6097
65.185552 70.714 -167.7811
65.551763 70.711 -167.9438
65.917974 70.707 -168.0956
66.284185 70.705 -168.2393
66.650396 70.703 -168.3798
67.016607 70.702 -168.5208
67.382818 70.702 -168.6657
67.749029 70.702 -168.8183
68.115240 70.702 -168.9818
68.481451 70.700 -169.1556
68.847662 70.695 -169.3326
69.213873 70.688 -169.5009
69.580084 70.678 -169.6492
69.946295 70.669 -169.7737
70.312506 70.662 -169.8807
70.678717 70.659 -169.9833
71.044928 70.658 -170.0942
71.411139 70.658 -170.2196
71.777350 70.658 -170.3580
72.143561 70.656 -170.5029
72.509771 70.654 -170.6468
72.875982 70.650 -170.7840
73.242193 70.646 -170.9121
73.608404 70.643 -171.0330
73.974615 70.642 -171.1523
74.340826 70.642 -171.2785
74.707037 70.642 -171.4197
75.073248 70.641 -171.5779
75.439459 70.636 -171.7464
75.805670 70.627 -171.9106
76.171881 70.615 -172.0544
76.538092 70.601 -172.1672
76.904303 70.588 -172.2493
77.270514 70.579 -172.3110
77.636725 70.574 -172.3679
78.002936 70.572 -172.4342
78.369147 70.572 -172.5183
78.735358 70.573 -172.6215
79.101569 70.573 -172.7394
79.467780 70.571 -172.8650
79.833991 70.568 -172.9918
80.200202 70.565 -173.1159
80.566413 70.562 -173.2378
80.932624 70.559 -173.3605
81.298835 70.556 -173.4870
81.665046 70.553 -173.6174
82.031257 70.548 -173.7480
82.397468 70.542 -173.8733
82.763679 70.536 -173.9894
83.129890 70.530 -174.0966
83.496101 70.525 -174.1982
83.862311 70.521 -174.2978
84.228522 70.516 -174.3964
84.594733 70.512 -174.4928
84.960944 70.508 -174.5862
85.327155 70.504 -174.6786
85.693366 70.501 -174.7742
86.059577 70.497 -174.8759
86.425788 70.493 -174.9824
86.791999 70.487 -175.0869
87.158210 70.479 -175.1822
87.524421 70.472 -175.2651
87.890632 70.466 -175.3401
88.256843 70.462 -175.4173
88.623054 70.460 -175.5061
88.989265 70.457 -175.6101
89.355476 70.453 -175.7250
89.721687 70.447 -175.8418
90.087898 70.439 -175.9523
90.454109 70.431 -176.0525
90.820320 70.423 -176.1438
91.186531 70.416 -176.2300
91.552742 70.410 -176.3146
91.918953 70.404 -176.3991
92.285164 70.399 -176.4839
92.651375 70.394 -176.5689
93.017586 70.389 -176.6551
93.383797 70.385 -176.7431
93.750008 70.380 -176.8331
94.116219 70.375 -176.9234
94.482430 70.370 -177.0118
94.848641 70.364 -177.0965
95.214851 70.358 -177.1772
95.581062 70.352 -177.2551
95.947273 70.347 -177.3321
96.313484 70.342 -177.4096
96.679695 70.336 -177.4880
97.045906 70.331 -177.5666
97.412117 70.325 -177.6444
97.778328 70.320 -177.7209
98.144539 70.314 -177.7963
98.510750 70.309 -177.8717
98.876961 70.304 -177.9484
99.243172 70.299 -178.0272
99.609383 70.293 -178.1080
99.975594 70.288 -178.1900
100.341805 70.282 -178.2713
100.708016 70.275 -178.3503
101.074227 70.269 -178.4260
101.440438 70.263 -178.4983
101.806649 70.257 -178.5681
102.172860 70.251 -178.6368
102.539071 70.246 -178.7054
102.905282 70.241 -178.7749
103.271493 70.236 -178.8454
103.637704 70.231 -178.9171
104.003915 70.226 -178.9899
104.370126 70.221 -179.0635
104.736337 70.216 -179.1372
105.102548 70.210 -179.2102
105.468759 70.204 -179.2816
105.834970 70.198 -179.3511
106.201180 70.192 -179.4188
106.567391 70.186 -179.4853
106.933602 70.180 -179.5510
107.299813 70.174 -179.6163
107.666024 70.168 -179.6812
108.032235 70.162 -179.7458
108.398446 70.156 -179.8102
108.764657 70.150 -179.8742
109.130868 70.143 -179.9375
109.497079 70.137 -179.9997
109.863290 70.130 179.9398
110.229501 70.124 179.8814
110.595712 70.117 179.8247
110.961923 70.111 179.7688
111.328134 70.106 179.7123
111.694345 70.100 179.6545
112.060556 70.095 179.5950
112.426767 70.090 179.5340
112.792978 70.084 179.4725
113.159189 70.078 179.4113
113.525400 70.072 179.3513
113.891611 70.065 179.2931
114.257822 70.059 179.2367
114.624033 70.053 179.1817
114.990244 70.047 179.1276
115.356455 70.041 179.0735
115.722666 70.036 179.0190
116.088877 70.030 178.9636
116.455088 70.024 178.9074
116.821299 70.019 178.8508
117.187510 70.013 178.7942
117.553720 70.007 178.7380
117.919931 70.001 178.6826
118.286142 69.995 178.6282
118.652353 69.989 178.5751
119.018564 69.983 178.5231
119.384775 69.977 178.4716
119.750986 69.971 178.4201
120.117197 69.966 178.3680
120.483408 69.960 178.3150
120.849619 69.954 178.2618
121.215830 69.949 178.2090
121.582041 69.942 178.1572
121.948252 69.936 178.1068
122.314463 69.930 178.0573
122.680674 69.924 178.0082
123.046885 69.918 177.9595
123.413096 69.912 177.9111
123.779307 69.906 177.8636
124.145518 69.899 177.8171
124.511729 69.894 177.7717
124.877940 69.888 177.7267
125.244151 69.883 177.6811
125.610362 69.878 177.6342
125.976573 69.874 177.5856
126.342784 69.869 177.5352
126.708995 69.865 177.4836
127.075206 69.860 177.4317
127.441417 69.855 177.3807
127.807628 69.849 177.3314
128.173839 69.844 177.2843
128.540049 69.839 177.2390
128.906260 69.834 177.1949
129.272471 69.830 177.1510
129.638682 69.826 177.1066
130.004893 69.821 177.0616
130.371104 69.817 177.0159
130.737315 69.813 176.9698
131.103526 69.808 176.9239
131.469737 69.804 176.8784
131.835948 69.798 176.8340
132.202159 69.793 176.7914
132.568370 69.788 176.7509
132.934581 69.782 176.7126
133.300792 69.777 176.6761
133.667003 69.772 176.6405
134.033214 69.767 176.6049
134.399425 69.763 176.5687
134.765636 69.758 176.5315
135.131847 69.753 176.4932
135.498058 69.749 176.4539
135.864269 69.744 176.4136
136.230480 69.739 176.3723
136.596691 69.735 176.3303
136.962902 69.730 176.2879
137.329113 69.725 176.2463
137.695324 69.719 176.2063
138.061535 69.714 176.1686
138.427746 69.709 176.1334
138.793957 69.705 176.0997
139.160168 69.700 176.0662
139.526379 69.697 176.0315
139.892589 69.693 175.9946
140.258800 69.689 175.9556
140.625011 69.685 175.9156
140.991222 69.680 175.8763
141.357433 69.675 175.8392
141.723644 69.670 175.8050
142.089855 69.665 175.7735
142.456066 69.659 175.7437
142.822277 69.654 175.7146
143.188488 69.649 175.6852
143.554699 69.644 175.6553
143.920910 69.639 175.6251
