* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 7:17:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Red Nozzle Modded with Low Density and High Density Foam; Red Nozzle Modded with Low Density and High Density Foam
* Measurement: EA500 Red Dual L-HDF Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.852 -22.4466
0.732422 62.935 -44.5858
1.098633 59.200 -65.6457
1.464844 51.724 -81.1136
1.831055 42.258 21.3265
2.197266 52.896 29.2833
2.563477 55.713 10.6239
2.929688 55.986 -8.9829
3.295899 54.744 -25.4058
3.662110 52.700 -33.0086
4.028321 51.737 -27.5890
4.394532 53.429 -23.2726
4.760743 55.835 -29.8931
5.126954 57.663 -41.3924
5.493164 58.793 -52.4862
5.859375 59.430 -60.3733
6.225586 59.942 -64.1387
6.591797 60.686 -65.1687
6.958008 61.702 -66.1533
7.324219 62.734 -68.4966
7.690430 63.562 -71.7620
8.056641 64.142 -74.9103
8.422852 64.560 -77.2612
8.789063 64.939 -78.8391
9.155274 65.340 -80.1806
9.521485 65.747 -81.7901
9.887696 66.104 -83.7739
10.253907 66.317 -85.9261
10.620118 66.443 -88.0126
10.986329 66.546 -89.9544
11.352540 66.652 -91.8186
11.718751 66.770 -93.7015
12.084962 66.896 -95.6446
12.451173 67.027 -97.6420
12.817384 67.206 -99.6786
13.183595 67.386 -101.7334
13.549806 67.551 -103.7508
13.916017 67.698 -105.6388
14.282228 67.833 -107.3176
14.648439 67.972 -108.7848
15.014650 68.121 -110.1247
15.380861 68.274 -111.4407
15.747072 68.416 -112.7695
16.113283 68.539 -114.0588
16.479493 68.648 -115.2266
16.845704 68.748 -116.2456
17.211915 68.848 -117.1751
17.578126 68.951 -118.1132
17.944337 69.046 -119.1160
18.310548 69.123 -120.1608
18.676759 69.184 -121.1827
19.042970 69.237 -122.1441
19.409181 69.293 -123.0721
19.775392 69.356 -124.0317
20.141603 69.418 -125.0611
20.507814 69.474 -126.1332
20.874025 69.519 -127.1769
21.240236 69.564 -128.1403
21.606447 69.618 -129.0411
21.972658 69.686 -129.9572
22.338869 69.757 -130.9594
22.705080 69.813 -132.0389
23.071291 69.842 -133.0890
23.437502 69.845 -133.9599
23.803713 69.844 -134.5543
24.169924 69.864 -134.9057
24.536135 69.920 -135.1748
24.902346 70.006 -135.5535
25.268557 70.098 -136.1424
25.634768 70.168 -136.8986
26.000979 70.206 -137.6806
26.367190 70.218 -138.3512
26.733401 70.224 -138.8628
27.099612 70.240 -139.2745
27.465823 70.270 -139.6920
27.832033 70.305 -140.1841
28.198244 70.334 -140.7417
28.564455 70.353 -141.3070
28.930666 70.368 -141.8324
29.296877 70.387 -142.3209
29.663088 70.413 -142.8150
30.029299 70.442 -143.3535
30.395510 70.468 -143.9363
30.761721 70.487 -144.5262
31.127932 70.499 -145.0802
31.494143 70.509 -145.5798
31.860354 70.523 -146.0377
32.226565 70.541 -146.4788
32.592776 70.560 -146.9189
32.958987 70.579 -147.3556
33.325198 70.596 -147.7792
33.691409 70.613 -148.1867
34.057620 70.631 -148.5879
34.423831 70.650 -148.9988
34.790042 70.666 -149.4285
35.156253 70.677 -149.8700
35.522464 70.682 -150.3025
35.888675 70.681 -150.7021
36.254886 70.679 -151.0561
36.621097 70.680 -151.3716
36.987308 70.687 -151.6726
37.353519 70.698 -151.9865
37.719730 70.712 -152.3277
38.085941 70.723 -152.6897
38.452152 70.732 -153.0520
38.818363 70.740 -153.3972
39.184573 70.749 -153.7255
39.550784 70.762 -154.0547
39.916995 70.776 -154.4050
40.283206 70.788 -154.7809
40.649417 70.794 -155.1638
41.015628 70.794 -155.5231
41.381839 70.790 -155.8364
41.748050 70.787 -156.1028
42.114261 70.788 -156.3413
42.480472 70.793 -156.5760
42.846683 70.799 -156.8199
43.212894 70.805 -157.0719
43.579105 70.809 -157.3245
43.945316 70.814 -157.5751
44.311527 70.819 -157.8293
44.677738 70.824 -158.0944
45.043949 70.827 -158.3690
45.410160 70.827 -158.6419
45.776371 70.825 -158.8991
46.142582 70.824 -159.1368
46.508793 70.827 -159.3670
46.875004 70.833 -159.6106
47.241215 70.840 -159.8829
47.607426 70.845 -160.1812
47.973637 70.844 -160.4850
48.339848 70.839 -160.7696
48.706059 70.833 -161.0212
49.072270 70.829 -161.2447
49.438481 70.829 -161.4572
49.804692 70.831 -161.6744
50.170902 70.834 -161.9003
50.537113 70.837 -162.1279
50.903324 70.839 -162.3486
51.269535 70.842 -162.5623
51.635746 70.846 -162.7777
52.001957 70.851 -163.0031
52.368168 70.854 -163.2367
52.734379 70.854 -163.4651
53.100590 70.852 -163.6731
53.466801 70.851 -163.8569
53.833012 70.854 -164.0299
54.199223 70.859 -164.2146
54.565434 70.865 -164.4257
54.931645 70.867 -164.6567
55.297856 70.863 -164.8829
55.664067 70.854 -165.0771
56.030278 70.846 -165.2288
56.396489 70.842 -165.3518
56.762700 70.842 -165.4735
57.128911 70.846 -165.6158
57.495122 70.848 -165.7813
57.861333 70.848 -165.9554
58.227544 70.846 -166.1215
58.593755 70.843 -166.2762
58.959966 70.843 -166.4310
59.326177 70.843 -166.6003
59.692388 70.842 -166.7866
60.058599 70.838 -166.9759
60.424810 70.831 -167.1491
60.791021 70.825 -167.2985
61.157232 70.824 -167.4365
61.523442 70.827 -167.5880
61.889653 70.831 -167.7722
62.255864 70.834 -167.9883
62.622075 70.832 -168.2163
62.988286 70.825 -168.4309
63.354497 70.817 -168.6178
63.720708 70.810 -168.7800
64.086919 70.805 -168.9317
64.453130 70.803 -169.0861
64.819341 70.801 -169.2470
65.185552 70.798 -169.4107
65.551763 70.795 -169.5718
65.917974 70.792 -169.7281
66.284185 70.787 -169.8796
66.650396 70.782 -170.0246
67.016607 70.777 -170.1591
67.382818 70.771 -170.2809
67.749029 70.767 -170.3935
68.115240 70.766 -170.5078
68.481451 70.765 -170.6355
68.847662 70.764 -170.7812
69.213873 70.761 -170.9384
69.580084 70.755 -171.0944
69.946295 70.747 -171.2388
70.312506 70.739 -171.3710
70.678717 70.733 -171.4989
71.044928 70.728 -171.6313
71.411139 70.723 -171.7709
71.777350 70.717 -171.9142
72.143561 70.712 -172.0579
72.509771 70.707 -172.2050
72.875982 70.702 -172.3627
73.242193 70.694 -172.5329
73.608404 70.682 -172.7023
73.974615 70.665 -172.8428
74.340826 70.647 -172.9270
74.707037 70.632 -172.9487
75.073248 70.629 -172.9354
75.439459 70.637 -172.9382
75.805670 70.653 -173.0052
76.171881 70.669 -173.1521
76.538092 70.677 -173.3539
76.904303 70.673 -173.5600
77.270514 70.663 -173.7254
77.636725 70.651 -173.8359
78.002936 70.644 -173.9120
78.369147 70.642 -173.9902
78.735358 70.644 -174.0972
79.101569 70.643 -174.2340
79.467780 70.638 -174.3801
79.833991 70.630 -174.5122
80.200202 70.621 -174.6209
80.566413 70.614 -174.7151
80.932624 70.609 -174.8122
81.298835 70.606 -174.9242
81.665046 70.601 -175.0494
82.031257 70.594 -175.1764
82.397468 70.586 -175.2933
82.763679 70.577 -175.3960
83.129890 70.570 -175.4889
83.496101 70.563 -175.5791
83.862311 70.558 -175.6707
84.228522 70.552 -175.7624
84.594733 70.547 -175.8504
84.960944 70.542 -175.9325
85.327155 70.538 -176.0106
85.693366 70.535 -176.0898
86.059577 70.534 -176.1761
86.425788 70.532 -176.2740
86.791999 70.531 -176.3845
87.158210 70.527 -176.5049
87.524421 70.520 -176.6285
87.890632 70.511 -176.7458
88.256843 70.499 -176.8472
88.623054 70.487 -176.9273
88.989265 70.476 -176.9884
89.355476 70.469 -177.0402
89.721687 70.464 -177.0964
90.087898 70.462 -177.1684
90.454109 70.459 -177.2598
90.820320 70.456 -177.3662
91.186531 70.450 -177.4780
91.552742 70.443 -177.5858
91.918953 70.434 -177.6843
92.285164 70.426 -177.7732
92.651375 70.419 -177.8553
93.017586 70.412 -177.9341
93.383797 70.406 -178.0118
93.750008 70.401 -178.0896
94.116219 70.396 -178.1680
94.482430 70.392 -178.2474
94.848641 70.387 -178.3281
95.214851 70.383 -178.4100
95.581062 70.378 -178.4926
95.947273 70.373 -178.5747
96.313484 70.368 -178.6554
96.679695 70.362 -178.7340
97.045906 70.356 -178.8105
97.412117 70.350 -178.8853
97.778328 70.344 -178.9588
98.144539 70.337 -179.0316
98.510750 70.331 -179.1042
98.876961 70.325 -179.1769
99.243172 70.319 -179.2500
99.609383 70.313 -179.3239
99.975594 70.307 -179.3989
100.341805 70.301 -179.4750
100.708016 70.295 -179.5516
101.074227 70.288 -179.6274
101.440438 70.281 -179.7011
101.806649 70.274 -179.7718
102.172860 70.268 -179.8395
102.539071 70.262 -179.9054
102.905282 70.256 -179.9713
103.271493 70.250 179.9617
103.637704 70.245 179.8939
104.003915 70.239 179.8263
104.370126 70.233 179.7604
104.736337 70.227 179.6965
105.102548 70.222 179.6336
105.468759 70.217 179.5698
105.834970 70.211 179.5035
106.201180 70.206 179.4352
106.567391 70.200 179.3662
106.933602 70.193 179.2991
107.299813 70.186 179.2353
107.666024 70.179 179.1745
108.032235 70.173 179.1150
108.398446 70.167 179.0546
108.764657 70.161 178.9920
109.130868 70.154 178.9276
109.497079 70.148 178.8629
109.863290 70.141 178.7998
110.229501 70.134 178.7394
110.595712 70.127 178.6812
110.961923 70.121 178.6239
111.328134 70.115 178.5664
111.694345 70.109 178.5085
112.060556 70.102 178.4507
112.426767 70.096 178.3942
112.792978 70.090 178.3394
113.159189 70.084 178.2857
113.525400 70.078 178.2321
113.891611 70.072 178.1774
114.257822 70.066 178.1214
114.624033 70.060 178.0645
114.990244 70.054 178.0078
115.356455 70.048 177.9521
115.722666 70.041 177.8979
116.088877 70.035 177.8448
116.455088 70.028 177.7922
116.821299 70.022 177.7399
117.187510 70.015 177.6877
117.553720 70.009 177.6357
117.919931 70.002 177.5836
118.286142 69.996 177.5316
118.652353 69.989 177.4793
119.018564 69.983 177.4272
119.384775 69.976 177.3755
119.750986 69.969 177.3251
120.117197 69.962 177.2766
120.483408 69.955 177.2299
120.849619 69.948 177.1846
121.215830 69.942 177.1400
121.582041 69.935 177.0948
121.948252 69.929 177.0485
122.314463 69.923 177.0010
122.680674 69.916 176.9528
123.046885 69.910 176.9053
123.413096 69.903 176.8597
123.779307 69.896 176.8166
124.145518 69.890 176.7756
124.511729 69.884 176.7354
124.877940 69.879 176.6942
125.244151 69.874 176.6508
125.610362 69.870 176.6048
125.976573 69.865 176.5568
126.342784 69.861 176.5081
126.708995 69.856 176.4603
127.075206 69.852 176.4141
127.441417 69.847 176.3698
127.807628 69.842 176.3264
128.173839 69.838 176.2831
128.540049 69.834 176.2391
128.906260 69.829 176.1943
129.272471 69.825 176.1491
129.638682 69.820 176.1044
130.004893 69.815 176.0611
130.371104 69.809 176.0196
130.737315 69.804 175.9799
131.103526 69.798 175.9415
131.469737 69.793 175.9041
131.835948 69.788 175.8673
132.202159 69.783 175.8307
132.568370 69.778 175.7943
132.934581 69.772 175.7577
133.300792 69.767 175.7209
133.667003 69.762 175.6838
134.033214 69.758 175.6463
134.399425 69.753 175.6084
134.765636 69.748 175.5701
135.131847 69.743 175.5314
135.498058 69.738 175.4927
135.864269 69.733 175.4545
136.230480 69.728 175.4172
136.596691 69.722 175.3813
136.962902 69.717 175.3467
137.329113 69.713 175.3133
137.695324 69.708 175.2803
138.061535 69.703 175.2469
138.427746 69.699 175.2128
138.793957 69.695 175.1777
139.160168 69.690 175.1416
139.526379 69.685 175.1049
139.892589 69.680 175.0683
140.258800 69.675 175.0324
140.625011 69.670 174.9981
140.991222 69.664 174.9659
141.357433 69.658 174.9357
141.723644 69.653 174.9065
142.089855 69.648 174.8771
142.456066 69.643 174.8464
142.822277 69.638 174.8140
143.188488 69.634 174.7801
143.554699 69.628 174.7454
143.920910 69.623 174.7111
144.287121 69.617 174.6779
