* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 7:10:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Stock Red Nozzle with Foam Tips; 
* Measurement: EA500 Red Stock Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.951 158.1642
0.732422 58.159 135.8832
1.098633 54.844 112.0885
1.464844 49.255 82.4983
1.831055 40.987 20.7365
2.197266 42.022 -62.0437
2.563477 43.138 -83.2440
2.929688 42.249 -65.6355
3.295899 46.175 -36.6305
3.662110 50.717 -33.6321
4.028321 53.510 -39.4485
4.394532 55.027 -45.7468
4.760743 55.828 -49.5575
5.126954 56.457 -50.3819
5.493164 57.285 -50.0484
5.859375 58.288 -50.9439
6.225586 59.220 -53.7280
6.591797 59.924 -57.5281
6.958008 60.411 -61.1933
7.324219 60.801 -64.0713
7.690430 61.223 -66.2689
8.056641 61.733 -68.3885
8.422852 62.289 -70.9221
8.789063 62.819 -73.8980
9.155274 63.285 -77.0162
9.521485 63.688 -79.9604
9.887696 64.054 -82.5931
10.253907 64.334 -84.9585
10.620118 64.573 -87.1584
10.986329 64.793 -89.2374
11.352540 64.989 -91.1669
11.718751 65.163 -92.9060
12.084962 65.325 -94.4610
12.451173 65.485 -95.8923
12.817384 65.689 -97.2771
13.183595 65.891 -98.6698
13.549806 66.078 -100.0886
13.916017 66.245 -101.5239
14.282228 66.390 -102.9510
14.648439 66.517 -104.3404
15.014650 66.631 -105.6705
15.380861 66.740 -106.9432
15.747072 66.849 -108.1883
16.113283 66.964 -109.4484
16.479493 67.085 -110.7470
16.845704 67.195 -112.0667
17.211915 67.293 -113.3569
17.578126 67.382 -114.5685
17.944337 67.471 -115.6883
18.310548 67.564 -116.7481
18.676759 67.662 -117.7974
19.042970 67.759 -118.8641
19.409181 67.845 -119.9331
19.775392 67.919 -120.9583
20.141603 67.986 -121.8969
20.507814 68.052 -122.7404
20.874025 68.123 -123.5219
21.240236 68.199 -124.2946
21.606447 68.275 -125.0983
21.972658 68.343 -125.9353
22.338869 68.400 -126.7724
22.705080 68.447 -127.5656
23.071291 68.489 -128.2904
23.437502 68.533 -128.9600
23.803713 68.583 -129.6163
24.169924 68.636 -130.3004
24.536135 68.686 -131.0230
24.902346 68.726 -131.7563
25.268557 68.758 -132.4543
25.634768 68.786 -133.0847
26.000979 68.816 -133.6489
26.367190 68.851 -134.1764
26.733401 68.892 -134.6986
27.099612 68.932 -135.2250
27.465823 68.972 -135.7424
27.832033 69.012 -136.2360
28.198244 69.055 -136.7123
28.564455 69.104 -137.2030
28.930666 69.154 -137.7438
29.296877 69.199 -138.3458
29.663088 69.233 -138.9822
30.029299 69.253 -139.6017
30.395510 69.264 -140.1600
30.761721 69.274 -140.6460
31.127932 69.289 -141.0874
31.494143 69.311 -141.5301
31.860354 69.335 -142.0076
32.226565 69.356 -142.5213
32.592776 69.370 -143.0435
32.958987 69.377 -143.5379
33.325198 69.381 -143.9828
33.691409 69.388 -144.3808
34.057620 69.401 -144.7530
34.423831 69.418 -145.1234
34.790042 69.438 -145.5069
35.156253 69.460 -145.9076
35.522464 69.481 -146.3247
35.888675 69.501 -146.7576
36.254886 69.517 -147.2024
36.621097 69.527 -147.6462
36.987308 69.532 -148.0658
37.353519 69.534 -148.4387
37.719730 69.538 -148.7608
38.085941 69.549 -149.0563
38.452152 69.568 -149.3685
38.818363 69.589 -149.7330
39.184573 69.606 -150.1518
39.550784 69.613 -150.5871
39.916995 69.610 -150.9838
40.283206 69.604 -151.3046
40.649417 69.604 -151.5554
41.015628 69.614 -151.7809
41.381839 69.632 -152.0337
41.748050 69.651 -152.3374
42.114261 69.665 -152.6728
42.480472 69.671 -152.9945
42.846683 69.673 -153.2649
43.212894 69.677 -153.4808
43.579105 69.689 -153.6736
43.945316 69.707 -153.8860
44.311527 69.727 -154.1421
44.677738 69.743 -154.4347
45.043949 69.752 -154.7352
45.410160 69.756 -155.0161
45.776371 69.759 -155.2683
46.142582 69.763 -155.5027
46.508793 69.769 -155.7373
46.875004 69.776 -155.9836
47.241215 69.782 -156.2407
47.607426 69.786 -156.5009
47.973637 69.789 -156.7577
48.339848 69.791 -157.0102
48.706059 69.793 -157.2605
49.072270 69.795 -157.5095
49.438481 69.797 -157.7545
49.804692 69.799 -157.9922
50.170902 69.801 -158.2221
50.537113 69.805 -158.4480
50.903324 69.810 -158.6747
51.269535 69.814 -158.9040
51.635746 69.817 -159.1322
52.001957 69.819 -159.3516
52.368168 69.820 -159.5550
52.734379 69.822 -159.7401
53.100590 69.826 -159.9123
53.466801 69.832 -160.0832
53.833012 69.840 -160.2654
54.199223 69.848 -160.4658
54.565434 69.854 -160.6817
54.931645 69.856 -160.9012
55.297856 69.856 -161.1103
55.664067 69.855 -161.3025
56.030278 69.855 -161.4826
56.396489 69.856 -161.6631
56.762700 69.858 -161.8542
57.128911 69.859 -162.0552
57.495122 69.857 -162.2545
57.861333 69.854 -162.4385
58.227544 69.852 -162.6027
58.593755 69.852 -162.7556
58.959966 69.855 -162.9128
59.326177 69.859 -163.0853
59.692388 69.862 -163.2719
60.058599 69.864 -163.4605
60.424810 69.863 -163.6380
60.791021 69.862 -163.7994
61.157232 69.863 -163.9504
61.523442 69.866 -164.1027
61.889653 69.869 -164.2656
62.255864 69.872 -164.4401
62.622075 69.873 -164.6194
62.988286 69.870 -164.7934
63.354497 69.867 -164.9545
63.720708 69.863 -165.1013
64.086919 69.860 -165.2383
64.453130 69.858 -165.3730
64.819341 69.857 -165.5114
65.185552 69.856 -165.6551
65.551763 69.855 -165.8013
65.917974 69.853 -165.9458
66.284185 69.851 -166.0868
66.650396 69.849 -166.2259
67.016607 69.847 -166.3658
67.382818 69.845 -166.5062
67.749029 69.842 -166.6434
68.115240 69.839 -166.7728
68.481451 69.837 -166.8945
68.847662 69.837 -167.0156
69.213873 69.837 -167.1455
69.580084 69.838 -167.2892
69.946295 69.836 -167.4421
70.312506 69.833 -167.5930
70.678717 69.827 -167.7325
71.044928 69.823 -167.8600
71.411139 69.819 -167.9833
71.777350 69.817 -168.1113
72.143561 69.815 -168.2464
72.509771 69.811 -168.3835
72.875982 69.808 -168.5168
73.242193 69.806 -168.6472
73.608404 69.804 -168.7830
73.974615 69.803 -168.9328
74.340826 69.800 -169.0957
74.707037 69.794 -169.2587
75.073248 69.785 -169.4035
75.439459 69.775 -169.5199
75.805670 69.769 -169.6134
76.171881 69.765 -169.7021
76.538092 69.765 -169.8045
76.904303 69.764 -169.9263
77.270514 69.760 -170.0569
77.636725 69.752 -170.1761
78.002936 69.743 -170.2671
78.369147 69.735 -170.3262
78.735358 69.731 -170.3645
79.101569 69.731 -170.4019
79.467780 69.736 -170.4574
79.833991 69.743 -170.5423
80.200202 69.748 -170.6576
80.566413 69.751 -170.7946
80.932624 69.749 -170.9390
81.298835 69.744 -171.0760
81.665046 69.737 -171.1953
82.031257 69.729 -171.2954
82.397468 69.724 -171.3843
82.763679 69.721 -171.4746
83.129890 69.719 -171.5764
83.496101 69.717 -171.6909
83.862311 69.712 -171.8091
84.228522 69.706 -171.9180
84.594733 69.700 -172.0090
84.960944 69.696 -172.0846
85.327155 69.695 -172.1579
85.693366 69.698 -172.2451
86.059577 69.701 -172.3557
86.425788 69.703 -172.4874
86.791999 69.701 -172.6276
87.158210 69.695 -172.7602
87.524421 69.687 -172.8737
87.890632 69.679 -172.9653
88.256843 69.671 -173.0400
88.623054 69.665 -173.1051
88.989265 69.661 -173.1671
89.355476 69.658 -173.2294
89.721687 69.655 -173.2933
90.087898 69.653 -173.3602
90.454109 69.651 -173.4317
90.820320 69.650 -173.5096
91.186531 69.648 -173.5943
91.552742 69.645 -173.6842
91.918953 69.640 -173.7761
92.285164 69.635 -173.8665
92.651375 69.629 -173.9529
93.017586 69.623 -174.0344
93.383797 69.618 -174.1123
93.750008 69.612 -174.1892
94.116219 69.608 -174.2677
94.482430 69.603 -174.3492
94.848641 69.599 -174.4335
95.214851 69.594 -174.5185
95.581062 69.589 -174.6022
95.947273 69.584 -174.6836
96.313484 69.579 -174.7630
96.679695 69.575 -174.8416
97.045906 69.571 -174.9203
97.412117 69.566 -174.9987
97.778328 69.562 -175.0757
98.144539 69.557 -175.1504
98.510750 69.553 -175.2228
98.876961 69.549 -175.2944
99.243172 69.545 -175.3672
99.609383 69.542 -175.4422
99.975594 69.537 -175.5189
100.341805 69.533 -175.5953
100.708016 69.527 -175.6690
101.074227 69.522 -175.7383
101.440438 69.516 -175.8033
101.806649 69.511 -175.8654
102.172860 69.506 -175.9269
102.539071 69.502 -175.9899
102.905282 69.498 -176.0555
103.271493 69.494 -176.1236
103.637704 69.489 -176.1934
104.003915 69.485 -176.2635
104.370126 69.480 -176.3331
104.736337 69.474 -176.4016
105.102548 69.469 -176.4690
105.468759 69.464 -176.5353
105.834970 69.459 -176.6007
106.201180 69.454 -176.6654
106.567391 69.449 -176.7294
106.933602 69.445 -176.7929
107.299813 69.440 -176.8560
107.666024 69.435 -176.9193
108.032235 69.431 -176.9828
108.398446 69.426 -177.0467
108.764657 69.422 -177.1104
109.130868 69.417 -177.1731
109.497079 69.412 -177.2342
109.863290 69.407 -177.2931
110.229501 69.402 -177.3501
110.595712 69.397 -177.4060
110.961923 69.392 -177.4618
111.328134 69.388 -177.5181
111.694345 69.383 -177.5753
112.060556 69.379 -177.6327
112.426767 69.374 -177.6897
112.792978 69.369 -177.7458
113.159189 69.364 -177.8010
113.525400 69.359 -177.8554
113.891611 69.355 -177.9097
114.257822 69.350 -177.9640
114.624033 69.345 -178.0186
114.990244 69.341 -178.0736
115.356455 69.336 -178.1292
115.722666 69.332 -178.1855
116.088877 69.327 -178.2426
116.455088 69.322 -178.3003
116.821299 69.318 -178.3579
117.187510 69.312 -178.4146
117.553720 69.307 -178.4697
117.919931 69.302 -178.5231
118.286142 69.297 -178.5748
118.652353 69.291 -178.6253
119.018564 69.286 -178.6749
119.384775 69.281 -178.7235
119.750986 69.276 -178.7712
120.117197 69.272 -178.8178
120.483408 69.267 -178.8633
120.849619 69.262 -178.9082
121.215830 69.258 -178.9531
121.582041 69.254 -178.9986
121.948252 69.250 -179.0453
122.314463 69.246 -179.0935
122.680674 69.242 -179.1436
123.046885 69.238 -179.1957
123.413096 69.234 -179.2495
123.779307 69.229 -179.3049
124.145518 69.224 -179.3609
124.511729 69.219 -179.4165
124.877940 69.213 -179.4702
125.244151 69.207 -179.5206
125.610362 69.201 -179.5669
125.976573 69.196 -179.6091
126.342784 69.191 -179.6479
126.708995 69.186 -179.6847
127.075206 69.182 -179.7210
127.441417 69.178 -179.7577
127.807628 69.175 -179.7955
128.173839 69.172 -179.8344
128.540049 69.168 -179.8743
128.906260 69.165 -179.9150
129.272471 69.161 -179.9564
129.638682 69.158 -179.9985
130.004893 69.154 179.9592
130.371104 69.150 179.9171
130.737315 69.146 179.8759
131.103526 69.142 179.8358
131.469737 69.138 179.7968
131.835948 69.134 179.7583
132.202159 69.131 179.7194
132.568370 69.127 179.6793
132.934581 69.123 179.6379
133.300792 69.120 179.5956
133.667003 69.116 179.5530
134.033214 69.112 179.5107
134.399425 69.108 179.4690
134.765636 69.104 179.4279
135.131847 69.100 179.3869
135.498058 69.096 179.3461
135.864269 69.092 179.3054
136.230480 69.088 179.2651
136.596691 69.083 179.2258
136.962902 69.079 179.1885
137.329113 69.074 179.1541
137.695324 69.070 179.1232
138.061535 69.066 179.0955
138.427746 69.062 179.0698
138.793957 69.059 179.0445
139.160168 69.057 179.0175
139.526379 69.054 178.9878
139.892589 69.052 178.9551
140.258800 69.049 178.9202
140.625011 69.046 178.8846
140.991222 69.042 178.8491
141.357433 69.039 178.8143
141.723644 69.035 178.7800
142.089855 69.031 178.7461
142.456066 69.026 178.7122
142.822277 69.022 178.6784
143.188488 69.018 178.6448
