* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 7:09:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Stock Red Nozzle with Foam Tips; 
* Measurement: EA500 Red Stock Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.486 -22.7565
0.732422 62.636 -45.2607
1.098633 59.068 -66.9004
1.464844 52.129 -84.4004
1.831055 38.875 5.9267
2.197266 51.565 28.3912
2.563477 54.788 9.8276
2.929688 55.265 -9.8497
3.295899 54.189 -26.3432
3.662110 52.291 -34.2362
4.028321 51.350 -29.4274
4.394532 52.938 -24.8908
4.760743 55.287 -30.7738
5.126954 57.098 -41.6495
5.493164 58.231 -52.3026
5.859375 58.897 -59.9593
6.225586 59.454 -63.8066
6.591797 60.226 -65.2526
6.958008 61.222 -66.7522
7.324219 62.199 -69.4422
7.690430 62.965 -72.7892
8.056641 63.501 -75.7717
8.422852 63.914 -77.8150
8.789063 64.332 -79.1420
9.155274 64.798 -80.4753
9.521485 65.259 -82.3424
9.887696 65.637 -84.7108
10.253907 65.834 -87.1885
10.620118 65.922 -89.4066
10.986329 65.990 -91.2642
11.352540 66.083 -92.9253
11.718751 66.206 -94.6249
12.084962 66.341 -96.4792
12.451173 66.472 -98.4510
12.817384 66.636 -100.4362
13.183595 66.797 -102.3487
13.549806 66.951 -104.1468
13.916017 67.104 -105.8187
14.282228 67.258 -107.3712
14.648439 67.413 -108.8318
15.014650 67.567 -110.2403
15.380861 67.713 -111.6215
15.747072 67.840 -112.9586
16.113283 67.952 -114.2016
16.479493 68.059 -115.3112
16.845704 68.161 -116.3007
17.211915 68.264 -117.2367
17.578126 68.366 -118.1923
17.944337 68.458 -119.1966
18.310548 68.534 -120.2244
18.676759 68.596 -121.2316
19.042970 68.650 -122.1981
19.409181 68.702 -123.1409
19.775392 68.756 -124.0897
20.141603 68.808 -125.0534
20.507814 68.860 -126.0126
20.874025 68.912 -126.9434
21.240236 68.970 -127.8480
21.606447 69.037 -128.7605
21.972658 69.107 -129.7212
22.338869 69.172 -130.7383
22.705080 69.223 -131.7681
23.071291 69.256 -132.7300
23.437502 69.277 -133.5457
23.803713 69.299 -134.1843
24.169924 69.335 -134.6860
24.536135 69.392 -135.1470
24.902346 69.462 -135.6694
25.268557 69.532 -136.3038
25.634768 69.586 -137.0225
26.000979 69.617 -137.7389
26.367190 69.630 -138.3611
26.733401 69.637 -138.8495
27.099612 69.653 -139.2406
27.465823 69.683 -139.6226
27.832033 69.721 -140.0760
28.198244 69.757 -140.6253
28.564455 69.781 -141.2319
28.930666 69.791 -141.8288
29.296877 69.794 -142.3656
29.663088 69.797 -142.8348
30.029299 69.807 -143.2662
30.395510 69.825 -143.6993
30.761721 69.847 -144.1582
31.127932 69.869 -144.6432
31.494143 69.888 -145.1395
31.860354 69.905 -145.6302
32.226565 69.919 -146.1039
32.592776 69.934 -146.5562
32.958987 69.948 -146.9885
33.325198 69.964 -147.4071
33.691409 69.981 -147.8213
34.057620 69.999 -148.2398
34.423831 70.014 -148.6640
34.790042 70.026 -149.0854
35.156253 70.035 -149.4894
35.522464 70.041 -149.8651
35.888675 70.049 -150.2134
36.254886 70.059 -150.5479
36.621097 70.072 -150.8850
36.987308 70.085 -151.2323
37.353519 70.096 -151.5846
37.719730 70.106 -151.9300
38.085941 70.116 -152.2626
38.452152 70.126 -152.5894
38.818363 70.138 -152.9242
39.184573 70.149 -153.2737
39.550784 70.156 -153.6280
39.916995 70.158 -153.9645
40.283206 70.158 -154.2646
40.649417 70.161 -154.5284
41.015628 70.168 -154.7763
41.381839 70.178 -155.0342
41.748050 70.189 -155.3146
42.114261 70.198 -155.6105
42.480472 70.203 -155.9039
42.846683 70.207 -156.1830
43.212894 70.210 -156.4506
43.579105 70.215 -156.7190
43.945316 70.220 -156.9963
44.311527 70.223 -157.2783
44.677738 70.223 -157.5532
45.043949 70.224 -157.8134
45.410160 70.225 -158.0625
45.776371 70.228 -158.3122
46.142582 70.232 -158.5710
46.508793 70.234 -158.8368
46.875004 70.235 -159.0987
47.241215 70.234 -159.3467
47.607426 70.235 -159.5798
47.973637 70.237 -159.8057
48.339848 70.240 -160.0340
48.706059 70.244 -160.2693
49.072270 70.247 -160.5099
49.438481 70.249 -160.7510
49.804692 70.250 -160.9883
50.170902 70.249 -161.2189
50.537113 70.248 -161.4398
50.903324 70.246 -161.6481
51.269535 70.245 -161.8429
51.635746 70.245 -162.0284
52.001957 70.247 -162.2126
52.368168 70.251 -162.4036
52.734379 70.254 -162.6044
53.100590 70.256 -162.8115
53.466801 70.257 -163.0181
53.833012 70.257 -163.2182
54.199223 70.256 -163.4105
54.565434 70.256 -163.5972
54.931645 70.256 -163.7821
55.297856 70.257 -163.9686
55.664067 70.257 -164.1586
56.030278 70.257 -164.3535
56.396489 70.256 -164.5527
56.762700 70.253 -164.7526
57.128911 70.248 -164.9466
57.495122 70.241 -165.1265
57.861333 70.234 -165.2860
58.227544 70.228 -165.4240
58.593755 70.224 -165.5458
58.959966 70.225 -165.6619
59.326177 70.230 -165.7853
59.692388 70.237 -165.9284
60.058599 70.247 -166.1004
60.424810 70.255 -166.3031
60.791021 70.260 -166.5288
61.157232 70.261 -166.7609
61.523442 70.256 -166.9793
61.889653 70.249 -167.1686
62.255864 70.242 -167.3258
62.622075 70.238 -167.4612
62.988286 70.237 -167.5923
63.354497 70.237 -167.7333
63.720708 70.238 -167.8872
64.086919 70.236 -168.0462
64.453130 70.232 -168.1984
64.819341 70.227 -168.3367
65.185552 70.222 -168.4631
65.551763 70.219 -168.5861
65.917974 70.216 -168.7140
66.284185 70.214 -168.8494
66.650396 70.209 -168.9879
67.016607 70.204 -169.1234
67.382818 70.199 -169.2535
67.749029 70.195 -169.3819
68.115240 70.191 -169.5160
68.481451 70.188 -169.6608
68.847662 70.183 -169.8143
69.213873 70.176 -169.9673
69.580084 70.169 -170.1092
69.946295 70.161 -170.2351
70.312506 70.156 -170.3500
70.678717 70.154 -170.4658
71.044928 70.153 -170.5930
71.411139 70.152 -170.7330
71.777350 70.149 -170.8767
72.143561 70.145 -171.0117
72.509771 70.141 -171.1328
72.875982 70.139 -171.2462
73.242193 70.138 -171.3648
73.608404 70.136 -171.4960
73.974615 70.131 -171.6320
74.340826 70.121 -171.7526
74.707037 70.110 -171.8374
75.073248 70.101 -171.8821
75.439459 70.097 -171.9052
75.805670 70.101 -171.9392
76.171881 70.108 -172.0125
76.538092 70.115 -172.1336
76.904303 70.117 -172.2881
77.270514 70.114 -172.4490
77.636725 70.106 -172.5941
78.002936 70.097 -172.7164
78.369147 70.090 -172.8256
78.735358 70.086 -172.9383
79.101569 70.082 -173.0665
79.467780 70.078 -173.2105
79.833991 70.071 -173.3599
80.200202 70.062 -173.5007
80.566413 70.052 -173.6239
80.932624 70.044 -173.7303
81.298835 70.039 -173.8303
81.665046 70.037 -173.9372
82.031257 70.036 -174.0591
82.397468 70.033 -174.1943
82.763679 70.028 -174.3315
83.129890 70.021 -174.4573
83.496101 70.013 -174.5633
83.862311 70.006 -174.6510
84.228522 70.002 -174.7299
84.594733 69.999 -174.8106
84.960944 69.997 -174.8992
85.327155 69.995 -174.9947
85.693366 69.991 -175.0923
86.059577 69.986 -175.1875
86.425788 69.981 -175.2783
86.791999 69.975 -175.3652
87.158210 69.969 -175.4482
87.524421 69.962 -175.5264
87.890632 69.956 -175.5992
88.256843 69.951 -175.6685
88.623054 69.946 -175.7386
88.989265 69.943 -175.8144
89.355476 69.939 -175.8981
89.721687 69.935 -175.9881
90.087898 69.931 -176.0803
90.454109 69.925 -176.1712
90.820320 69.920 -176.2598
91.186531 69.914 -176.3469
91.552742 69.908 -176.4329
91.918953 69.902 -176.5169
92.285164 69.896 -176.5966
92.651375 69.889 -176.6703
93.017586 69.884 -176.7391
93.383797 69.879 -176.8059
93.750008 69.875 -176.8741
94.116219 69.871 -176.9453
94.482430 69.867 -177.0192
94.848641 69.862 -177.0942
95.214851 69.857 -177.1692
95.581062 69.852 -177.2439
95.947273 69.847 -177.3185
96.313484 69.842 -177.3934
96.679695 69.836 -177.4680
97.045906 69.830 -177.5419
97.412117 69.824 -177.6150
97.778328 69.818 -177.6877
98.144539 69.812 -177.7606
98.510750 69.806 -177.8339
98.876961 69.800 -177.9071
99.243172 69.794 -177.9797
99.609383 69.788 -178.0513
99.975594 69.782 -178.1221
100.341805 69.777 -178.1926
100.708016 69.771 -178.2628
101.074227 69.765 -178.3326
101.440438 69.760 -178.4011
101.806649 69.754 -178.4677
102.172860 69.749 -178.5325
102.539071 69.744 -178.5959
102.905282 69.739 -178.6589
103.271493 69.735 -178.7224
103.637704 69.730 -178.7866
104.003915 69.725 -178.8510
104.370126 69.720 -178.9147
104.736337 69.715 -178.9774
105.102548 69.710 -179.0393
105.468759 69.705 -179.1013
105.834970 69.700 -179.1646
106.201180 69.696 -179.2299
106.567391 69.690 -179.2971
106.933602 69.685 -179.3651
107.299813 69.678 -179.4322
107.666024 69.672 -179.4971
108.032235 69.665 -179.5590
108.398446 69.658 -179.6182
108.764657 69.652 -179.6754
109.130868 69.645 -179.7318
109.497079 69.639 -179.7878
109.863290 69.633 -179.8438
110.229501 69.627 -179.8996
110.595712 69.621 -179.9548
110.961923 69.615 179.9906
111.328134 69.610 179.9365
111.694345 69.604 179.8825
112.060556 69.598 179.8284
112.426767 69.593 179.7739
112.792978 69.587 179.7194
113.159189 69.582 179.6649
113.525400 69.576 179.6107
113.891611 69.571 179.5565
114.257822 69.565 179.5021
114.624033 69.560 179.4476
114.990244 69.555 179.3931
115.356455 69.549 179.3389
115.722666 69.544 179.2851
116.088877 69.538 179.2316
116.455088 69.533 179.1784
116.821299 69.527 179.1259
117.187510 69.522 179.0744
117.553720 69.516 179.0242
117.919931 69.511 178.9754
118.286142 69.505 178.9272
118.652353 69.500 178.8791
119.018564 69.494 178.8303
119.384775 69.489 178.7811
119.750986 69.483 178.7319
120.117197 69.476 178.6840
120.483408 69.470 178.6382
120.849619 69.463 178.5947
121.215830 69.456 178.5535
121.582041 69.449 178.5140
121.948252 69.443 178.4757
122.314463 69.437 178.4377
122.680674 69.431 178.3994
123.046885 69.425 178.3601
123.413096 69.420 178.3194
123.779307 69.414 178.2768
124.145518 69.409 178.2322
124.511729 69.404 178.1859
124.877940 69.399 178.1382
125.244151 69.395 178.0898
125.610362 69.390 178.0416
125.976573 69.385 177.9944
126.342784 69.380 177.9488
126.708995 69.376 177.9050
127.075206 69.371 177.8627
127.441417 69.367 177.8212
127.807628 69.363 177.7802
128.173839 69.359 177.7392
128.540049 69.355 177.6986
128.906260 69.350 177.6587
129.272471 69.346 177.6198
129.638682 69.341 177.5819
130.004893 69.337 177.5450
130.371104 69.332 177.5088
130.737315 69.328 177.4727
131.103526 69.324 177.4362
131.469737 69.319 177.3990
131.835948 69.315 177.3610
132.202159 69.310 177.3221
132.568370 69.306 177.2826
132.934581 69.301 177.2427
133.300792 69.296 177.2031
133.667003 69.291 177.1645
134.033214 69.286 177.1278
134.399425 69.281 177.0938
134.765636 69.276 177.0622
135.131847 69.272 177.0320
135.498058 69.268 177.0013
135.864269 69.265 176.9681
136.230480 69.263 176.9312
136.596691 69.259 176.8907
136.962902 69.256 176.8481
137.329113 69.252 176.8056
137.695324 69.247 176.7648
138.061535 69.242 176.7269
138.427746 69.237 176.6923
138.793957 69.231 176.6609
139.160168 69.225 176.6328
139.526379 69.220 176.6078
139.892589 69.215 176.5851
140.258800 69.210 176.5635
140.625011 69.205 176.5413
140.991222 69.201 176.5169
141.357433 69.197 176.4894
141.723644 69.193 176.4588
142.089855 69.188 176.4257
142.456066 69.183 176.3913
142.822277 69.178 176.3564
143.188488 69.173 176.3218
143.554699 69.168 176.2878
143.920910 69.162 176.2545
144.287121 69.157 176.2219
144.653332 69.151 176.1898
