* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 3:14:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 Olina Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.750 158.2146
0.732422 63.871 136.1060
1.098633 60.328 112.8276
1.464844 53.966 84.3240
1.831055 42.764 3.1485
2.197266 48.583 -88.8821
2.563477 49.939 -109.7616
2.929688 46.866 -102.7389
3.295899 48.069 -52.0939
3.662110 53.832 -40.4524
4.028321 57.059 -46.2160
4.394532 58.518 -53.5647
4.760743 58.950 -57.9273
5.126954 59.076 -57.6305
5.493164 59.571 -54.5973
5.859375 60.520 -53.1058
6.225586 61.496 -54.8655
6.591797 62.197 -58.6397
6.958008 62.605 -62.6637
7.324219 62.866 -65.8695
7.690430 63.155 -68.2095
8.056641 63.559 -70.3517
8.422852 64.039 -72.8899
8.789063 64.511 -75.8479
9.155274 64.931 -78.8518
9.521485 65.307 -81.5361
9.887696 65.668 -83.7741
10.253907 65.966 -85.6513
10.620118 66.244 -87.3055
10.986329 66.523 -88.8221
11.352540 66.796 -90.2509
11.718751 67.058 -91.6531
12.084962 67.296 -93.0877
12.451173 67.496 -94.5500
12.817384 67.696 -95.9523
13.183595 67.865 -97.1865
13.549806 68.016 -98.2244
13.916017 68.171 -99.1613
14.282228 68.333 -100.1531
14.648439 68.489 -101.2971
15.014650 68.623 -102.5666
15.380861 68.732 -103.8514
15.747072 68.828 -105.0557
16.113283 68.934 -106.1709
16.479493 69.064 -107.2681
16.845704 69.207 -108.4252
17.211915 69.352 -109.6589
17.578126 69.489 -110.9169
17.944337 69.619 -112.1262
18.310548 69.748 -113.2513
18.676759 69.883 -114.3133
19.042970 70.020 -115.3601
19.409181 70.151 -116.4130
19.775392 70.266 -117.4362
20.141603 70.365 -118.3554
20.507814 70.457 -119.1156
20.874025 70.556 -119.7375
21.240236 70.669 -120.3237
21.606447 70.788 -120.9942
21.972658 70.896 -121.7945
22.338869 70.976 -122.6515
22.705080 71.026 -123.4202
23.071291 71.067 -123.9982
23.437502 71.126 -124.4295
23.803713 71.219 -124.9024
24.169924 71.331 -125.6201
24.536135 71.427 -126.6384
24.902346 71.479 -127.8105
25.268557 71.482 -128.8786
25.634768 71.467 -129.6469
26.000979 71.473 -130.1252
26.367190 71.526 -130.5305
26.733401 71.615 -131.1207
27.099612 71.703 -131.9938
27.465823 71.756 -133.0222
27.832033 71.768 -133.9561
28.198244 71.762 -134.6031
28.564455 71.776 -134.9633
28.930666 71.833 -135.2246
29.296877 71.926 -135.6172
29.663088 72.025 -136.2478
30.029299 72.102 -137.0468
30.395510 72.147 -137.8461
30.761721 72.172 -138.5076
31.127932 72.199 -139.0098
31.494143 72.241 -139.4414
31.860354 72.296 -139.9188
32.226565 72.351 -140.4942
32.592776 72.392 -141.1274
32.958987 72.416 -141.7283
33.325198 72.433 -142.2298
33.691409 72.456 -142.6375
34.057620 72.493 -143.0234
34.423831 72.539 -143.4709
34.790042 72.585 -144.0142
35.156253 72.617 -144.6156
35.522464 72.633 -145.1936
35.888675 72.640 -145.6800
36.254886 72.651 -146.0677
36.621097 72.676 -146.4173
36.987308 72.713 -146.8161
37.353519 72.751 -147.3157
37.719730 72.776 -147.8941
38.085941 72.782 -148.4678
38.452152 72.774 -148.9440
38.818363 72.766 -149.2825
39.184573 72.773 -149.5257
39.550784 72.801 -149.7745
39.916995 72.841 -150.1250
40.283206 72.880 -150.6084
40.649417 72.903 -151.1754
41.015628 72.906 -151.7303
41.381839 72.896 -152.1899
41.748050 72.886 -152.5291
42.114261 72.887 -152.7894
42.480472 72.903 -153.0450
42.846683 72.926 -153.3543
43.212894 72.949 -153.7274
43.579105 72.966 -154.1304
43.945316 72.975 -154.5167
44.311527 72.983 -154.8611
44.677738 72.995 -155.1752
45.043949 73.013 -155.4960
45.410160 73.035 -155.8581
45.776371 73.053 -156.2690
46.142582 73.063 -156.7030
46.508793 73.064 -157.1173
46.875004 73.061 -157.4773
47.241215 73.059 -157.7775
47.607426 73.063 -158.0437
47.973637 73.076 -158.3169
48.339848 73.093 -158.6283
48.706059 73.108 -158.9828
49.072270 73.118 -159.3597
49.438481 73.121 -159.7287
49.804692 73.121 -160.0690
50.170902 73.122 -160.3791
50.537113 73.124 -160.6712
50.903324 73.128 -160.9594
51.269535 73.132 -161.2489
51.635746 73.136 -161.5367
52.001957 73.139 -161.8185
52.368168 73.143 -162.0954
52.734379 73.147 -162.3729
53.100590 73.151 -162.6548
53.466801 73.154 -162.9388
53.833012 73.156 -163.2188
54.199223 73.158 -163.4926
54.565434 73.160 -163.7650
54.931645 73.162 -164.0436
55.297856 73.164 -164.3290
55.664067 73.162 -164.6098
56.030278 73.160 -164.8698
56.396489 73.159 -165.1033
56.762700 73.163 -165.3258
57.128911 73.173 -165.5676
57.495122 73.185 -165.8538
57.861333 73.193 -166.1830
58.227544 73.192 -166.5239
58.593755 73.184 -166.8336
58.959966 73.173 -167.0853
59.326177 73.166 -167.2863
59.692388 73.166 -167.4725
60.058599 73.172 -167.6825
60.424810 73.177 -167.9326
60.791021 73.178 -168.2073
61.157232 73.172 -168.4741
61.523442 73.162 -168.7060
61.889653 73.153 -168.8982
62.255864 73.147 -169.0672
62.622075 73.146 -169.2364
62.988286 73.146 -169.4212
63.354497 73.146 -169.6228
63.720708 73.145 -169.8335
64.086919 73.142 -170.0449
64.453130 73.139 -170.2541
64.819341 73.136 -170.4633
65.185552 73.133 -170.6751
65.551763 73.130 -170.8903
65.917974 73.126 -171.1075
66.284185 73.122 -171.3244
66.650396 73.117 -171.5394
67.016607 73.112 -171.7511
67.382818 73.106 -171.9576
67.749029 73.100 -172.1561
68.115240 73.093 -172.3447
68.481451 73.088 -172.5239
68.847662 73.085 -172.6985
69.213873 73.083 -172.8764
69.580084 73.081 -173.0656
69.946295 73.080 -173.2695
70.312506 73.076 -173.4838
70.678717 73.069 -173.6979
71.044928 73.060 -173.9004
71.411139 73.050 -174.0863
71.777350 73.041 -174.2605
72.143561 73.034 -174.4343
72.509771 73.027 -174.6169
72.875982 73.020 -174.8082
73.242193 73.010 -174.9983
73.608404 72.999 -175.1746
73.974615 72.988 -175.3306
74.340826 72.980 -175.4706
74.707037 72.975 -175.6060
75.073248 72.973 -175.7481
75.439459 72.973 -175.9033
75.805670 72.975 -176.0742
76.171881 72.976 -176.2632
76.538092 72.977 -176.4729
76.904303 72.974 -176.7008
77.270514 72.965 -176.9329
77.636725 72.950 -177.1444
78.002936 72.932 -177.3104
78.369147 72.915 -177.4218
78.735358 72.903 -177.4954
79.101569 72.900 -177.5670
79.467780 72.902 -177.6725
79.833991 72.905 -177.8266
80.200202 72.903 -178.0153
80.566413 72.894 -178.2067
80.932624 72.881 -178.3723
81.298835 72.868 -178.5038
81.665046 72.857 -178.6155
82.031257 72.851 -178.7318
82.397468 72.846 -178.8700
82.763679 72.841 -179.0300
83.129890 72.832 -179.1977
83.496101 72.822 -179.3571
83.862311 72.811 -179.5017
84.228522 72.801 -179.6373
84.594733 72.793 -179.7757
84.960944 72.786 -179.9243
85.327155 72.778 179.9194
85.693366 72.768 179.7668
86.059577 72.757 179.6290
86.425788 72.747 179.5092
86.791999 72.740 179.4000
87.158210 72.735 179.2881
87.524421 72.732 179.1626
87.890632 72.729 179.0208
88.256843 72.723 178.8689
88.623054 72.716 178.7177
88.989265 72.706 178.5753
89.355476 72.696 178.4446
89.721687 72.685 178.3233
90.087898 72.675 178.2076
90.454109 72.666 178.0953
90.820320 72.656 177.9861
91.186531 72.647 177.8798
91.552742 72.639 177.7747
91.918953 72.631 177.6672
92.285164 72.624 177.5542
92.651375 72.617 177.4344
93.017586 72.610 177.3096
93.383797 72.601 177.1831
93.750008 72.593 177.0577
94.116219 72.583 176.9347
94.482430 72.574 176.8143
94.848641 72.565 176.6960
95.214851 72.556 176.5803
95.581062 72.547 176.4675
95.947273 72.538 176.3577
96.313484 72.529 176.2502
96.679695 72.521 176.1439
97.045906 72.512 176.0380
97.412117 72.504 175.9323
97.778328 72.496 175.8270
98.144539 72.488 175.7224
98.510750 72.479 175.6184
98.876961 72.470 175.5148
99.243172 72.461 175.4118
99.609383 72.452 175.3101
99.975594 72.442 175.2103
100.341805 72.432 175.1123
100.708016 72.423 175.0151
101.074227 72.414 174.9172
101.440438 72.404 174.8173
101.806649 72.395 174.7153
102.172860 72.385 174.6128
102.539071 72.374 174.5123
102.905282 72.364 174.4156
103.271493 72.353 174.3235
103.637704 72.343 174.2347
104.003915 72.334 174.1468
104.370126 72.326 174.0574
104.736337 72.318 173.9649
105.102548 72.311 173.8688
105.468759 72.303 173.7695
105.834970 72.295 173.6679
106.201180 72.287 173.5648
106.567391 72.278 173.4617
106.933602 72.268 173.3604
107.299813 72.258 173.2634
107.666024 72.247 173.1730
108.032235 72.236 173.0897
108.398446 72.226 173.0123
108.764657 72.217 172.9377
109.130868 72.208 172.8623
109.497079 72.200 172.7840
109.863290 72.192 172.7025
110.229501 72.184 172.6186
110.595712 72.176 172.5336
110.961923 72.167 172.4479
111.328134 72.158 172.3610
111.694345 72.149 172.2726
112.060556 72.140 172.1837
112.426767 72.130 172.0962
112.792978 72.119 172.0127
113.159189 72.108 171.9346
113.525400 72.098 171.8613
113.891611 72.088 171.7905
114.257822 72.079 171.7195
114.624033 72.070 171.6463
114.990244 72.062 171.5701
115.356455 72.053 171.4919
115.722666 72.044 171.4128
116.088877 72.035 171.3339
116.455088 72.026 171.2557
116.821299 72.017 171.1784
117.187510 72.007 171.1019
117.553720 71.998 171.0265
117.919931 71.988 170.9521
118.286142 71.978 170.8785
118.652353 71.969 170.8051
119.018564 71.959 170.7313
119.384775 71.950 170.6575
119.750986 71.940 170.5844
120.117197 71.929 170.5137
120.483408 71.919 170.4472
120.849619 71.908 170.3852
121.215830 71.898 170.3267
121.582041 71.889 170.2694
121.948252 71.880 170.2104
122.314463 71.872 170.1478
122.680674 71.863 170.0813
123.046885 71.854 170.0126
123.413096 71.844 169.9443
123.779307 71.834 169.8790
124.145518 71.824 169.8177
124.511729 71.814 169.7599
124.877940 71.805 169.7042
125.244151 71.796 169.6486
125.610362 71.789 169.5921
125.976573 71.781 169.5342
126.342784 71.774 169.4747
126.708995 71.767 169.4138
127.075206 71.760 169.3509
127.441417 71.754 169.2858
127.807628 71.747 169.2187
128.173839 71.739 169.1509
128.540049 71.732 169.0837
128.906260 71.724 169.0182
129.272471 71.716 168.9547
129.638682 71.708 168.8927
130.004893 71.699 168.8316
130.371104 71.691 168.7714
130.737315 71.682 168.7129
131.103526 71.674 168.6570
131.469737 71.665 168.6045
131.835948 71.656 168.5551
132.202159 71.647 168.5078
132.568370 71.639 168.4613
132.934581 71.631 168.4149
133.300792 71.623 168.3681
133.667003 71.616 168.3207
134.033214 71.608 168.2722
134.399425 71.601 168.2225
134.765636 71.593 168.1712
135.131847 71.586 168.1187
135.498058 71.578 168.0659
135.864269 71.570 168.0137
136.230480 71.562 167.9626
136.596691 71.554 167.9126
136.962902 71.547 167.8629
137.329113 71.540 167.8123
137.695324 71.533 167.7597
138.061535 71.526 167.7042
138.427746 71.520 167.6458
138.793957 71.512 167.5852
139.160168 71.504 167.5246
139.526379 71.495 167.4663
139.892589 71.486 167.4129
140.258800 71.476 167.3659
140.625011 71.467 167.3254
140.991222 71.458 167.2897
141.357433 71.450 167.2564
141.723644 71.442 167.2229
142.089855 71.435 167.1877
142.456066 71.428 167.1504
142.822277 71.421 167.1111
143.188488 71.414 167.0704
143.554699 71.406 167.0289
143.920910 71.399 166.9866
144.287121 71.391 166.9441
144.653332 71.383 166.9015
145.019543 71.375 166.8593
145.385754 71.367 166.8174
145.751965 71.359 166.7760
146.118176 71.350 166.7349
146.484387 71.342 166.6940
146.850598 71.333 166.6537
