* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 5:34:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EN1000 Olina Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.631 -21.3069
0.732422 66.778 -42.2598
1.098633 63.234 -62.0594
1.464844 56.549 -76.8517
1.831055 43.745 -9.0960
2.197266 54.430 31.1640
2.563477 57.333 15.6669
2.929688 57.150 -2.8422
3.295899 54.915 -19.3518
3.662110 51.004 -26.3860
4.028321 48.150 -11.0636
4.394532 50.299 -2.2626
4.760743 53.050 -15.7326
5.126954 54.952 -35.2933
5.493164 56.075 -52.8262
5.859375 56.585 -64.5828
6.225586 56.904 -68.9445
6.591797 57.663 -67.8648
6.958008 58.990 -66.6346
7.324219 60.370 -68.0661
7.690430 61.398 -71.1634
8.056641 62.014 -74.0430
8.422852 62.372 -75.5158
8.789063 62.687 -75.5714
9.155274 63.080 -75.1521
9.521485 63.523 -75.1930
9.887696 63.923 -75.9161
10.253907 64.167 -77.0257
10.620118 64.318 -78.2288
10.986329 64.450 -79.4888
11.352540 64.581 -80.9251
11.718751 64.706 -82.5917
12.084962 64.820 -84.4014
12.451173 64.932 -86.2265
12.817384 65.104 -88.0169
13.183595 65.304 -89.7973
13.549806 65.513 -91.5719
13.916017 65.722 -93.2663
14.282228 65.930 -94.7779
14.648439 66.150 -96.0756
15.014650 66.388 -97.2368
15.380861 66.635 -98.3754
15.747072 66.870 -99.5366
16.113283 67.081 -100.6633
16.479493 67.270 -101.6577
16.845704 67.439 -102.4714
17.211915 67.601 -103.1446
17.578126 67.761 -103.7695
17.944337 67.915 -104.4247
18.310548 68.057 -105.1394
18.676759 68.183 -105.9054
19.042970 68.294 -106.7064
19.409181 68.393 -107.5325
19.775392 68.484 -108.3765
20.141603 68.572 -109.2338
20.507814 68.663 -110.1115
20.874025 68.759 -111.0325
21.240236 68.857 -112.0184
21.606447 68.951 -113.0589
21.972658 69.036 -114.0996
22.338869 69.116 -115.0684
22.705080 69.199 -115.9240
23.071291 69.297 -116.6887
23.437502 69.411 -117.4325
23.803713 69.535 -118.2187
24.169924 69.656 -119.0565
24.536135 69.765 -119.8993
24.902346 69.860 -120.6855
25.268557 69.949 -121.3841
25.634768 70.037 -122.0095
26.000979 70.124 -122.5998
26.367190 70.208 -123.1803
26.733401 70.285 -123.7461
27.099612 70.355 -124.2747
27.465823 70.423 -124.7557
27.832033 70.495 -125.2110
28.198244 70.573 -125.6888
28.564455 70.654 -126.2360
28.930666 70.731 -126.8693
29.296877 70.795 -127.5637
29.663088 70.845 -128.2659
30.029299 70.883 -128.9228
30.395510 70.918 -129.5078
30.761721 70.957 -130.0330
31.127932 71.005 -130.5365
31.494143 71.058 -131.0578
31.860354 71.114 -131.6148
32.226565 71.167 -132.1981
32.592776 71.215 -132.7832
32.958987 71.259 -133.3485
33.325198 71.303 -133.8877
33.691409 71.347 -134.4084
34.057620 71.392 -134.9228
34.423831 71.436 -135.4393
34.790042 71.479 -135.9596
35.156253 71.520 -136.4812
35.522464 71.558 -136.9999
35.888675 71.593 -137.5099
36.254886 71.625 -138.0048
36.621097 71.656 -138.4800
36.987308 71.688 -138.9373
37.353519 71.721 -139.3877
37.719730 71.757 -139.8468
38.085941 71.791 -140.3251
38.452152 71.822 -140.8190
38.818363 71.848 -141.3104
39.184573 71.870 -141.7761
39.550784 71.891 -142.2017
39.916995 71.914 -142.5929
40.283206 71.943 -142.9739
40.649417 71.978 -143.3746
41.015628 72.013 -143.8137
41.381839 72.043 -144.2874
41.748050 72.067 -144.7717
42.114261 72.084 -145.2365
42.480472 72.096 -145.6613
42.846683 72.110 -146.0452
43.212894 72.127 -146.4042
43.579105 72.147 -146.7608
43.945316 72.171 -147.1322
44.311527 72.194 -147.5241
44.677738 72.215 -147.9323
45.043949 72.234 -148.3469
45.410160 72.248 -148.7557
45.776371 72.261 -149.1472
46.142582 72.271 -149.5141
46.508793 72.284 -149.8561
46.875004 72.298 -150.1832
47.241215 72.316 -150.5118
47.607426 72.336 -150.8566
47.973637 72.356 -151.2228
48.339848 72.372 -151.6030
48.706059 72.384 -151.9825
49.072270 72.394 -152.3484
49.438481 72.402 -152.6967
49.804692 72.410 -153.0324
50.170902 72.419 -153.3634
50.537113 72.429 -153.6952
50.903324 72.438 -154.0275
51.269535 72.445 -154.3565
51.635746 72.453 -154.6785
52.001957 72.461 -154.9934
52.368168 72.470 -155.3056
52.734379 72.481 -155.6222
53.100590 72.492 -155.9491
53.466801 72.501 -156.2865
53.833012 72.509 -156.6263
54.199223 72.514 -156.9545
54.565434 72.517 -157.2592
54.931645 72.522 -157.5390
55.297856 72.531 -157.8064
55.664067 72.542 -158.0799
56.030278 72.554 -158.3712
56.396489 72.565 -158.6764
56.762700 72.572 -158.9790
57.128911 72.577 -159.2644
57.495122 72.583 -159.5333
57.861333 72.591 -159.8027
58.227544 72.598 -160.0914
58.593755 72.603 -160.4001
58.959966 72.601 -160.7058
59.326177 72.594 -160.9753
59.692388 72.587 -161.1907
60.058599 72.586 -161.3680
60.424810 72.595 -161.5512
60.791021 72.610 -161.7855
61.157232 72.624 -162.0878
61.523442 72.631 -162.4361
61.889653 72.628 -162.7851
62.255864 72.619 -163.0948
62.622075 72.609 -163.3532
62.988286 72.604 -163.5784
63.354497 72.604 -163.8011
63.720708 72.607 -164.0432
64.086919 72.610 -164.3065
64.453130 72.611 -164.5770
64.819341 72.611 -164.8378
65.185552 72.609 -165.0808
65.551763 72.609 -165.3086
65.917974 72.612 -165.5290
66.284185 72.615 -165.7481
66.650396 72.619 -165.9668
67.016607 72.624 -166.1825
67.382818 72.629 -166.3942
67.749029 72.636 -166.6055
68.115240 72.643 -166.8252
68.481451 72.651 -167.0622
68.847662 72.656 -167.3190
69.213873 72.657 -167.5879
69.580084 72.652 -167.8528
69.946295 72.643 -168.0972
70.312506 72.632 -168.3139
70.678717 72.621 -168.5095
71.044928 72.611 -168.6979
71.411139 72.599 -168.8889
71.777350 72.585 -169.0776
72.143561 72.568 -169.2464
72.509771 72.551 -169.3780
72.875982 72.536 -169.4716
73.242193 72.530 -169.5491
73.608404 72.531 -169.6468
73.974615 72.538 -169.7949
74.340826 72.543 -170.0018
74.707037 72.544 -170.2499
75.073248 72.537 -170.5075
75.439459 72.525 -170.7451
75.805670 72.511 -170.9482
76.171881 72.498 -171.1198
76.538092 72.490 -171.2743
76.904303 72.486 -171.4291
77.270514 72.485 -171.5984
77.636725 72.486 -171.7896
78.002936 72.486 -172.0024
78.369147 72.484 -172.2281
78.735358 72.478 -172.4529
79.101569 72.470 -172.6630
79.467780 72.461 -172.8515
79.833991 72.454 -173.0222
80.200202 72.449 -173.1879
80.566413 72.447 -173.3627
80.932624 72.444 -173.5540
81.298835 72.440 -173.7581
81.665046 72.432 -173.9628
82.031257 72.422 -174.1549
82.397468 72.411 -174.3279
82.763679 72.401 -174.4845
83.129890 72.394 -174.6347
83.496101 72.388 -174.7894
83.862311 72.382 -174.9546
84.228522 72.376 -175.1287
84.594733 72.368 -175.3043
84.960944 72.358 -175.4727
85.327155 72.347 -175.6280
85.693366 72.337 -175.7692
86.059577 72.329 -175.8999
86.425788 72.321 -176.0258
86.791999 72.316 -176.1522
87.158210 72.311 -176.2823
87.524421 72.307 -176.4173
87.890632 72.302 -176.5566
88.256843 72.297 -176.6987
88.623054 72.291 -176.8415
88.989265 72.285 -176.9832
89.355476 72.279 -177.1229
89.721687 72.272 -177.2611
90.087898 72.265 -177.3995
90.454109 72.259 -177.5402
90.820320 72.251 -177.6837
91.186531 72.243 -177.8291
91.552742 72.235 -177.9738
91.918953 72.225 -178.1155
92.285164 72.216 -178.2531
92.651375 72.206 -178.3873
93.017586 72.197 -178.5199
93.383797 72.188 -178.6524
93.750008 72.179 -178.7854
94.116219 72.171 -178.9184
94.482430 72.162 -179.0507
94.848641 72.154 -179.1818
95.214851 72.145 -179.3116
95.581062 72.137 -179.4399
95.947273 72.128 -179.5668
96.313484 72.120 -179.6920
96.679695 72.111 -179.8155
97.045906 72.103 -179.9375
97.412117 72.095 179.9421
97.778328 72.086 179.8235
98.144539 72.078 179.7069
98.510750 72.069 179.5923
98.876961 72.061 179.4792
99.243172 72.053 179.3664
99.609383 72.045 179.2527
99.975594 72.036 179.1378
100.341805 72.027 179.0223
100.708016 72.018 178.9079
101.074227 72.009 178.7961
101.440438 71.999 178.6875
101.806649 71.989 178.5816
102.172860 71.980 178.4764
102.539071 71.971 178.3706
102.905282 71.962 178.2632
103.271493 71.953 178.1551
103.637704 71.944 178.0473
104.003915 71.935 177.9413
104.370126 71.925 177.8372
104.736337 71.916 177.7342
105.102548 71.908 177.6311
105.468759 71.899 177.5271
105.834970 71.891 177.4219
106.201180 71.882 177.3159
106.567391 71.873 177.2100
106.933602 71.864 177.1045
107.299813 71.855 176.9995
107.666024 71.845 176.8952
108.032235 71.836 176.7922
108.398446 71.826 176.6913
108.764657 71.816 176.5936
109.130868 71.806 176.4997
109.497079 71.796 176.4092
109.863290 71.787 176.3210
110.229501 71.778 176.2333
110.595712 71.770 176.1450
110.961923 71.761 176.0555
111.328134 71.752 175.9651
111.694345 71.743 175.8745
112.060556 71.734 175.7844
112.426767 71.725 175.6954
112.792978 71.716 175.6080
113.159189 71.706 175.5219
113.525400 71.696 175.4372
113.891611 71.687 175.3536
114.257822 71.677 175.2711
114.624033 71.668 175.1896
114.990244 71.658 175.1090
115.356455 71.649 175.0291
115.722666 71.640 174.9493
116.088877 71.631 174.8690
116.455088 71.622 174.7878
116.821299 71.613 174.7052
117.187510 71.604 174.6212
117.553720 71.595 174.5364
117.919931 71.586 174.4514
118.286142 71.577 174.3672
118.652353 71.567 174.2845
119.018564 71.557 174.2037
119.384775 71.547 174.1251
119.750986 71.537 174.0486
120.117197 71.527 173.9742
120.483408 71.517 173.9018
120.849619 71.507 173.8309
121.215830 71.498 173.7610
121.582041 71.489 173.6913
121.948252 71.480 173.6212
122.314463 71.471 173.5504
122.680674 71.461 173.4789
123.046885 71.452 173.4077
123.413096 71.443 173.3371
123.779307 71.433 173.2676
124.145518 71.424 173.1990
124.511729 71.415 173.1309
124.877940 71.406 173.0627
125.244151 71.397 172.9942
125.610362 71.388 172.9258
125.976573 71.380 172.8582
126.342784 71.371 172.7921
126.708995 71.362 172.7275
127.075206 71.354 172.6641
127.441417 71.345 172.6012
127.807628 71.337 172.5382
128.173839 71.329 172.4749
128.540049 71.321 172.4116
128.906260 71.312 172.3487
129.272471 71.304 172.2866
129.638682 71.296 172.2251
130.004893 71.288 172.1638
130.371104 71.280 172.1019
130.737315 71.272 172.0392
131.103526 71.264 171.9757
131.469737 71.256 171.9119
131.835948 71.248 171.8484
132.202159 71.239 171.7861
132.568370 71.231 171.7252
132.934581 71.222 171.6657
133.300792 71.214 171.6073
133.667003 71.206 171.5496
134.033214 71.198 171.4924
134.399425 71.191 171.4357
134.765636 71.183 171.3797
135.131847 71.175 171.3246
135.498058 71.167 171.2708
135.864269 71.160 171.2181
136.230480 71.152 171.1664
136.596691 71.145 171.1151
136.962902 71.138 171.0634
137.329113 71.131 171.0106
137.695324 71.124 170.9562
138.061535 71.116 170.9005
138.427746 71.108 170.8440
138.793957 71.100 170.7882
139.160168 71.092 170.7343
139.526379 71.083 170.6829
139.892589 71.074 170.6340
140.258800 71.065 170.5869
140.625011 71.057 170.5408
140.991222 71.048 170.4948
141.357433 71.040 170.4486
141.723644 71.031 170.4023
142.089855 71.023 170.3559
142.456066 71.015 170.3096
142.822277 71.006 170.2637
143.188488 70.998 170.2181
143.554699 70.989 170.1732
143.920910 70.981 170.1291
144.287121 70.973 170.0861
144.653332 70.964 170.0438
145.019543 70.957 170.0021
145.385754 70.949 169.9605
145.751965 70.941 169.9187
146.118176 70.933 169.8765
