* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 4:43:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 Stock Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.304 -21.7855
0.732422 64.483 -43.2950
1.098633 61.010 -63.9076
1.464844 54.494 -80.6778
1.831055 39.575 -20.8638
2.197266 51.662 31.1618
2.563477 54.888 14.5480
2.929688 54.905 -4.9455
3.295899 52.876 -22.7757
3.662110 49.100 -32.4149
4.028321 45.657 -19.1970
4.394532 47.497 -5.0972
4.760743 50.458 -15.3100
5.126954 52.461 -33.2553
5.493164 53.602 -50.0122
5.859375 54.109 -61.6156
6.225586 54.413 -66.3428
6.591797 55.108 -65.8538
6.958008 56.339 -64.9436
7.324219 57.648 -66.3402
7.690430 58.656 -69.2510
8.056641 59.301 -71.9811
8.422852 59.727 -73.5189
8.789063 60.116 -73.9733
9.155274 60.550 -74.2055
9.521485 60.986 -74.9072
9.887696 61.345 -76.0987
10.253907 61.540 -77.4137
10.620118 61.653 -78.5902
10.986329 61.768 -79.6823
11.352540 61.905 -80.9092
11.718751 62.049 -82.3809
12.084962 62.184 -84.0108
12.451173 62.319 -85.6464
12.817384 62.515 -87.2242
13.183595 62.742 -88.7885
13.549806 62.983 -90.3884
13.916017 63.223 -91.9913
14.282228 63.454 -93.5038
14.648439 63.680 -94.8577
15.014650 63.905 -96.0619
15.380861 64.130 -97.1741
15.747072 64.346 -98.2366
16.113283 64.549 -99.2459
16.479493 64.740 -100.1765
16.845704 64.911 -101.0172
17.211915 65.066 -101.7774
17.578126 65.206 -102.4693
17.944337 65.336 -103.0988
18.310548 65.463 -103.6854
18.676759 65.594 -104.2828
19.042970 65.729 -104.9650
19.409181 65.860 -105.7772
19.775392 65.978 -106.6996
20.141603 66.083 -107.6639
20.507814 66.181 -108.6097
20.874025 66.281 -109.5306
21.240236 66.387 -110.4640
21.606447 66.493 -111.4348
21.972658 66.591 -112.4104
22.338869 66.682 -113.3139
22.705080 66.774 -114.0873
23.071291 66.879 -114.7470
23.437502 67.003 -115.3796
23.803713 67.138 -116.0760
24.169924 67.269 -116.8603
24.536135 67.381 -117.6746
24.902346 67.473 -118.4262
25.268557 67.557 -119.0587
25.634768 67.644 -119.5935
26.000979 67.741 -120.1147
26.367190 67.842 -120.7109
26.733401 67.934 -121.4169
27.099612 68.006 -122.1948
27.465823 68.054 -122.9588
27.832033 68.083 -123.6252
28.198244 68.107 -124.1574
28.564455 68.141 -124.5840
28.930666 68.191 -124.9794
29.296877 68.256 -125.4198
29.663088 68.327 -125.9437
30.029299 68.396 -126.5412
30.395510 68.459 -127.1732
30.761721 68.516 -127.8020
31.127932 68.569 -128.4096
31.494143 68.621 -128.9961
31.860354 68.673 -129.5649
32.226565 68.722 -130.1135
32.592776 68.771 -130.6367
32.958987 68.819 -131.1357
33.325198 68.868 -131.6193
33.691409 68.916 -132.0959
34.057620 68.963 -132.5648
34.423831 69.008 -133.0186
34.790042 69.054 -133.4582
35.156253 69.102 -133.9029
35.522464 69.151 -134.3817
35.888675 69.196 -134.9075
36.254886 69.232 -135.4576
36.621097 69.256 -135.9805
36.987308 69.276 -136.4317
37.353519 69.301 -136.8129
37.719730 69.338 -137.1794
38.085941 69.385 -137.6047
38.452152 69.431 -138.1233
38.818363 69.463 -138.6982
39.184573 69.478 -139.2397
39.550784 69.485 -139.6661
39.916995 69.499 -139.9642
40.283206 69.532 -140.2047
40.649417 69.585 -140.4991
41.015628 69.645 -140.9244
41.381839 69.694 -141.4741
41.748050 69.723 -142.0665
42.114261 69.732 -142.6004
42.480472 69.733 -143.0170
42.846683 69.740 -143.3292
43.212894 69.759 -143.6026
43.579105 69.788 -143.9056
43.945316 69.818 -144.2672
44.311527 69.845 -144.6703
44.677738 69.864 -145.0770
45.043949 69.881 -145.4607
45.410160 69.897 -145.8215
45.776371 69.917 -146.1786
46.142582 69.937 -146.5490
46.508793 69.956 -146.9343
46.875004 69.971 -147.3207
47.241215 69.984 -147.6910
47.607426 69.995 -148.0353
47.973637 70.007 -148.3553
48.339848 70.022 -148.6604
48.706059 70.039 -148.9619
49.072270 70.057 -149.2691
49.438481 70.076 -149.5870
49.804692 70.095 -149.9162
50.170902 70.111 -150.2525
50.537113 70.124 -150.5891
50.903324 70.135 -150.9189
51.269535 70.145 -151.2388
51.635746 70.154 -151.5494
52.001957 70.162 -151.8542
52.368168 70.171 -152.1552
52.734379 70.178 -152.4522
53.100590 70.186 -152.7440
53.466801 70.195 -153.0303
53.833012 70.204 -153.3140
54.199223 70.215 -153.5993
54.565434 70.227 -153.8903
54.931645 70.239 -154.1892
55.297856 70.252 -154.4967
55.664067 70.264 -154.8120
56.030278 70.274 -155.1314
56.396489 70.282 -155.4482
56.762700 70.289 -155.7530
57.128911 70.294 -156.0387
57.495122 70.301 -156.3054
57.861333 70.310 -156.5627
58.227544 70.322 -156.8258
58.593755 70.333 -157.1062
58.959966 70.342 -157.4034
59.326177 70.347 -157.7030
59.692388 70.347 -157.9843
60.058599 70.345 -158.2325
60.424810 70.343 -158.4476
60.791021 70.345 -158.6439
61.157232 70.350 -158.8408
61.523442 70.357 -159.0514
61.889653 70.364 -159.2769
62.255864 70.370 -159.5098
62.622075 70.374 -159.7423
62.988286 70.378 -159.9732
63.354497 70.382 -160.2072
63.720708 70.385 -160.4490
64.086919 70.387 -160.6973
64.453130 70.388 -160.9450
64.819341 70.387 -161.1849
65.185552 70.386 -161.4155
65.551763 70.386 -161.6420
65.917974 70.387 -161.8717
66.284185 70.388 -162.1064
66.650396 70.387 -162.3408
67.016607 70.386 -162.5663
67.382818 70.384 -162.7783
67.749029 70.384 -162.9805
68.115240 70.386 -163.1825
68.481451 70.388 -163.3924
68.847662 70.390 -163.6110
69.213873 70.390 -163.8316
69.580084 70.389 -164.0459
69.946295 70.387 -164.2499
70.312506 70.386 -164.4462
70.678717 70.384 -164.6406
71.044928 70.383 -164.8369
71.411139 70.381 -165.0336
71.777350 70.377 -165.2263
72.143561 70.373 -165.4114
72.509771 70.370 -165.5894
72.875982 70.367 -165.7649
73.242193 70.365 -165.9434
73.608404 70.363 -166.1288
73.974615 70.361 -166.3220
74.340826 70.358 -166.5211
74.707037 70.354 -166.7230
75.073248 70.348 -166.9230
75.439459 70.341 -167.1152
75.805670 70.333 -167.2942
76.171881 70.326 -167.4579
76.538092 70.321 -167.6095
76.904303 70.319 -167.7574
77.270514 70.320 -167.9121
77.636725 70.322 -168.0810
78.002936 70.325 -168.2655
78.369147 70.326 -168.4613
78.735358 70.325 -168.6609
79.101569 70.322 -168.8577
79.467780 70.318 -169.0467
79.833991 70.312 -169.2248
80.200202 70.307 -169.3898
80.566413 70.301 -169.5410
80.932624 70.297 -169.6811
81.298835 70.295 -169.8170
81.665046 70.294 -169.9584
82.031257 70.294 -170.1134
82.397468 70.294 -170.2846
82.763679 70.291 -170.4667
83.129890 70.285 -170.6496
83.496101 70.277 -170.8229
83.862311 70.268 -170.9817
84.228522 70.259 -171.1273
84.594733 70.251 -171.2655
84.960944 70.243 -171.4016
85.327155 70.236 -171.5375
85.693366 70.229 -171.6708
86.059577 70.223 -171.7987
86.425788 70.218 -171.9214
86.791999 70.214 -172.0439
87.158210 70.213 -172.1750
87.524421 70.213 -172.3219
87.890632 70.212 -172.4867
88.256843 70.208 -172.6636
88.623054 70.202 -172.8416
88.989265 70.193 -173.0086
89.355476 70.183 -173.1573
89.721687 70.173 -173.2878
90.087898 70.165 -173.4069
90.454109 70.158 -173.5243
90.820320 70.153 -173.6469
91.186531 70.148 -173.7765
91.552742 70.143 -173.9092
91.918953 70.136 -174.0394
92.285164 70.129 -174.1631
92.651375 70.122 -174.2807
93.017586 70.117 -174.3961
93.383797 70.112 -174.5143
93.750008 70.108 -174.6385
94.116219 70.103 -174.7681
94.482430 70.098 -174.9003
94.848641 70.091 -175.0316
95.214851 70.084 -175.1597
95.581062 70.077 -175.2843
95.947273 70.070 -175.4059
96.313484 70.063 -175.5252
96.679695 70.055 -175.6421
97.045906 70.048 -175.7564
97.412117 70.041 -175.8683
97.778328 70.034 -175.9787
98.144539 70.027 -176.0889
98.510750 70.020 -176.1995
98.876961 70.014 -176.3111
99.243172 70.007 -176.4232
99.609383 70.000 -176.5355
99.975594 69.994 -176.6478
100.341805 69.987 -176.7599
100.708016 69.980 -176.8717
101.074227 69.973 -176.9830
101.440438 69.965 -177.0935
101.806649 69.958 -177.2029
102.172860 69.950 -177.3108
102.539071 69.943 -177.4168
102.905282 69.935 -177.5204
103.271493 69.927 -177.6213
103.637704 69.920 -177.7200
104.003915 69.913 -177.8179
104.370126 69.906 -177.9165
104.736337 69.899 -178.0168
105.102548 69.892 -178.1185
105.468759 69.884 -178.2200
105.834970 69.876 -178.3194
106.201180 69.868 -178.4157
106.567391 69.859 -178.5089
106.933602 69.851 -178.6003
107.299813 69.843 -178.6913
107.666024 69.836 -178.7826
108.032235 69.828 -178.8742
108.398446 69.820 -178.9655
108.764657 69.812 -179.0560
109.130868 69.804 -179.1456
109.497079 69.796 -179.2350
109.863290 69.789 -179.3247
110.229501 69.781 -179.4150
110.595712 69.774 -179.5058
110.961923 69.766 -179.5966
111.328134 69.758 -179.6868
111.694345 69.750 -179.7761
112.060556 69.743 -179.8642
112.426767 69.735 -179.9509
112.792978 69.727 179.9636
113.159189 69.719 179.8793
113.525400 69.712 179.7958
113.891611 69.704 179.7130
114.257822 69.696 179.6305
114.624033 69.689 179.5482
114.990244 69.681 179.4660
115.356455 69.673 179.3843
115.722666 69.665 179.3035
116.088877 69.657 179.2241
116.455088 69.648 179.1463
116.821299 69.640 179.0700
117.187510 69.631 178.9947
117.553720 69.623 178.9199
117.919931 69.615 178.8453
118.286142 69.607 178.7708
118.652353 69.599 178.6968
119.018564 69.590 178.6236
119.384775 69.582 178.5514
119.750986 69.574 178.4802
120.117197 69.566 178.4095
120.483408 69.559 178.3390
120.849619 69.551 178.2679
121.215830 69.544 178.1960
121.582041 69.537 178.1237
121.948252 69.529 178.0511
122.314463 69.521 177.9788
122.680674 69.514 177.9070
123.046885 69.506 177.8358
123.413096 69.498 177.7648
123.779307 69.490 177.6941
124.145518 69.482 177.6243
124.511729 69.474 177.5562
124.877940 69.466 177.4902
125.244151 69.458 177.4265
125.610362 69.450 177.3644
125.976573 69.443 177.3026
126.342784 69.436 177.2403
126.708995 69.429 177.1771
127.075206 69.422 177.1134
127.441417 69.415 177.0498
127.807628 69.408 176.9868
128.173839 69.401 176.9244
128.540049 69.394 176.8621
128.906260 69.387 176.7994
129.272471 69.380 176.7364
129.638682 69.373 176.6730
130.004893 69.366 176.6097
130.371104 69.359 176.5469
130.737315 69.352 176.4849
131.103526 69.345 176.4241
131.469737 69.338 176.3651
131.835948 69.330 176.3079
132.202159 69.323 176.2526
132.568370 69.317 176.1987
132.934581 69.310 176.1454
133.300792 69.304 176.0920
133.667003 69.298 176.0378
134.033214 69.291 175.9833
134.399425 69.285 175.9289
134.765636 69.278 175.8755
135.131847 69.271 175.8237
135.498058 69.264 175.7736
135.864269 69.257 175.7250
136.230480 69.251 175.6771
136.596691 69.244 175.6291
136.962902 69.238 175.5802
137.329113 69.231 175.5300
137.695324 69.225 175.4785
138.061535 69.218 175.4259
138.427746 69.211 175.3729
138.793957 69.204 175.3201
139.160168 69.197 175.2680
139.526379 69.189 175.2167
139.892589 69.182 175.1660
140.258800 69.175 175.1157
140.625011 69.168 175.0658
140.991222 69.160 175.0162
141.357433 69.153 174.9673
141.723644 69.146 174.9191
142.089855 69.139 174.8716
142.456066 69.132 174.8248
142.822277 69.125 174.7785
143.188488 69.118 174.7331
143.554699 69.111 174.6885
143.920910 69.104 174.6452
144.287121 69.097 174.6029
144.653332 69.090 174.5615
145.019543 69.083 174.5206
