* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:06:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EW100P Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.083 -22.7611
0.732422 68.197 -45.2548
1.098633 64.542 -66.7995
1.464844 57.335 -83.5015
1.831055 46.149 13.3478
2.197266 57.676 26.7642
2.563477 60.702 7.2961
2.929688 61.122 -13.7808
3.295899 60.039 -32.7002
3.662110 58.046 -44.6614
4.028321 56.545 -43.8018
4.394532 57.598 -38.4072
4.760743 59.991 -42.7916
5.126954 61.987 -53.5462
5.493164 63.242 -64.8858
5.859375 63.894 -73.5336
6.225586 64.282 -78.0119
6.591797 64.819 -79.0511
6.958008 65.672 -79.3533
7.324219 66.629 -80.9757
7.690430 67.420 -83.8665
8.056641 67.950 -86.9444
8.422852 68.286 -89.3137
8.789063 68.560 -90.7982
9.155274 68.864 -91.8814
9.521485 69.195 -93.1610
9.887696 69.502 -94.8560
10.253907 69.680 -96.8122
10.620118 69.779 -98.8058
10.986329 69.858 -100.7595
11.352540 69.935 -102.7260
11.718751 70.010 -104.7452
12.084962 70.078 -106.7655
12.451173 70.147 -108.7007
12.817384 70.275 -110.5279
13.183595 70.427 -112.3020
13.549806 70.586 -114.0751
13.916017 70.735 -115.8183
14.282228 70.870 -117.4392
14.648439 70.997 -118.8725
15.014650 71.128 -120.1481
15.380861 71.265 -121.3638
15.747072 71.395 -122.5917
16.113283 71.510 -123.8156
16.479493 71.609 -124.9595
16.845704 71.694 -125.9733
17.211915 71.778 -126.8911
17.578126 71.865 -127.8099
17.944337 71.950 -128.8099
18.310548 72.020 -129.8957
18.676759 72.070 -131.0052
19.042970 72.105 -132.0679
19.409181 72.136 -133.0586
19.775392 72.174 -134.0062
20.141603 72.223 -134.9630
20.507814 72.280 -135.9657
20.874025 72.337 -137.0172
21.240236 72.390 -138.0918
21.606447 72.436 -139.1514
21.972658 72.478 -140.1596
22.338869 72.517 -141.0945
22.705080 72.559 -141.9579
23.071291 72.604 -142.7733
23.437502 72.652 -143.5697
23.803713 72.696 -144.3589
24.169924 72.732 -145.1244
24.536135 72.760 -145.8356
24.902346 72.785 -146.4774
25.268557 72.812 -147.0710
25.634768 72.843 -147.6665
26.000979 72.873 -148.3087
26.367190 72.894 -149.0033
26.733401 72.901 -149.7119
27.099612 72.895 -150.3769
27.465823 72.884 -150.9615
27.832033 72.877 -151.4735
28.198244 72.881 -151.9601
28.564455 72.895 -152.4759
28.930666 72.914 -153.0495
29.296877 72.930 -153.6697
29.663088 72.942 -154.3003
30.029299 72.951 -154.9077
30.395510 72.962 -155.4840
30.761721 72.978 -156.0486
31.127932 72.997 -156.6281
31.494143 73.014 -157.2311
31.860354 73.025 -157.8375
32.226565 73.028 -158.4112
32.592776 73.028 -158.9262
32.958987 73.029 -159.3855
33.325198 73.034 -159.8183
33.691409 73.042 -160.2558
34.057620 73.048 -160.7074
34.423831 73.049 -161.1554
34.790042 73.046 -161.5737
35.156253 73.044 -161.9530
35.522464 73.047 -162.3139
35.888675 73.056 -162.6955
36.254886 73.068 -163.1299
36.621097 73.075 -163.6205
36.987308 73.072 -164.1398
37.353519 73.060 -164.6443
37.719730 73.040 -165.0969
38.085941 73.020 -165.4834
38.452152 73.005 -165.8174
38.818363 72.997 -166.1313
39.184573 72.997 -166.4605
39.550784 72.999 -166.8265
39.916995 73.000 -167.2285
40.283206 72.996 -167.6461
40.649417 72.987 -168.0521
41.015628 72.975 -168.4279
41.381839 72.963 -168.7727
41.748050 72.953 -169.1015
42.114261 72.946 -169.4330
42.480472 72.939 -169.7776
42.846683 72.930 -170.1320
43.212894 72.919 -170.4841
43.579105 72.906 -170.8222
43.945316 72.892 -171.1422
44.311527 72.880 -171.4481
44.677738 72.869 -171.7491
45.043949 72.860 -172.0534
45.410160 72.852 -172.3648
45.776371 72.843 -172.6812
46.142582 72.832 -172.9957
46.508793 72.820 -173.2997
46.875004 72.807 -173.5867
47.241215 72.794 -173.8559
47.607426 72.783 -174.1126
47.973637 72.774 -174.3657
48.339848 72.766 -174.6228
48.706059 72.758 -174.8862
49.072270 72.748 -175.1524
49.438481 72.737 -175.4150
49.804692 72.726 -175.6693
50.170902 72.714 -175.9154
50.537113 72.703 -176.1577
50.903324 72.692 -176.4021
51.269535 72.682 -176.6520
51.635746 72.670 -176.9057
52.001957 72.657 -177.1576
52.368168 72.643 -177.4010
52.734379 72.629 -177.6331
53.100590 72.616 -177.8568
53.466801 72.605 -178.0807
53.833012 72.595 -178.3132
54.199223 72.584 -178.5576
54.565434 72.570 -178.8073
54.931645 72.553 -179.0483
55.297856 72.534 -179.2662
55.664067 72.515 -179.4549
56.030278 72.499 -179.6223
56.396489 72.486 -179.7869
56.762700 72.476 -179.9671
57.128911 72.464 179.8309
57.495122 72.449 179.6182
57.861333 72.430 179.4176
58.227544 72.409 179.2482
58.593755 72.390 179.1118
58.959966 72.377 178.9886
59.326177 72.369 178.8491
59.692388 72.364 178.6710
60.058599 72.358 178.4533
60.424810 72.347 178.2155
60.791021 72.331 177.9840
61.157232 72.313 177.7764
61.523442 72.295 177.5925
61.889653 72.281 177.4189
62.255864 72.269 177.2409
62.622075 72.257 177.0533
62.988286 72.244 176.8621
63.354497 72.229 176.6780
63.720708 72.213 176.5082
64.086919 72.199 176.3521
64.453130 72.185 176.2028
64.819341 72.173 176.0531
65.185552 72.161 175.9000
65.551763 72.148 175.7454
65.917974 72.134 175.5941
66.284185 72.119 175.4499
66.650396 72.104 175.3124
67.016607 72.089 175.1779
67.382818 72.074 175.0417
67.749029 72.058 174.9019
68.115240 72.042 174.7617
68.481451 72.024 174.6271
68.847662 72.006 174.5026
69.213873 71.988 174.3868
69.580084 71.973 174.2723
69.946295 71.958 174.1496
70.312506 71.944 174.0145
70.678717 71.929 173.8714
71.044928 71.912 173.7298
71.411139 71.894 173.5972
71.777350 71.877 173.4734
72.143561 71.862 173.3512
72.509771 71.846 173.2236
72.875982 71.830 173.0909
73.242193 71.812 172.9622
73.608404 71.794 172.8480
73.974615 71.776 172.7519
74.340826 71.760 172.6657
74.707037 71.748 172.5747
75.073248 71.736 172.4680
75.439459 71.723 172.3467
75.805670 71.708 172.2231
76.171881 71.691 172.1118
76.538092 71.673 172.0195
76.904303 71.658 171.9402
77.270514 71.646 171.8583
77.636725 71.637 171.7587
78.002936 71.627 171.6352
78.369147 71.614 171.4933
78.735358 71.597 171.3479
79.101569 71.577 171.2155
79.467780 71.555 171.1084
79.833991 71.533 171.0298
80.200202 71.514 170.9726
80.566413 71.500 170.9218
80.932624 71.490 170.8610
81.298835 71.481 170.7789
81.665046 71.472 170.6752
82.031257 71.461 170.5593
82.397468 71.447 170.4456
82.763679 71.431 170.3449
83.129890 71.416 170.2591
83.496101 71.401 170.1819
83.862311 71.389 170.1045
84.228522 71.377 170.0211
84.594733 71.365 169.9321
84.960944 71.352 169.8413
85.327155 71.338 169.7520
85.693366 71.324 169.6651
86.059577 71.310 169.5797
86.425788 71.295 169.4956
86.791999 71.280 169.4149
87.158210 71.264 169.3396
87.524421 71.249 169.2701
87.890632 71.234 169.2029
88.256843 71.219 169.1333
88.623054 71.205 169.0586
88.989265 71.190 168.9802
89.355476 71.174 168.9026
89.721687 71.158 168.8303
90.087898 71.142 168.7645
90.454109 71.126 168.7028
90.820320 71.111 168.6410
91.186531 71.096 168.5766
91.552742 71.082 168.5099
91.918953 71.067 168.4434
92.285164 71.053 168.3790
92.651375 71.038 168.3170
93.017586 71.024 168.2560
93.383797 71.011 168.1945
93.750008 70.997 168.1322
94.116219 70.984 168.0700
94.482430 70.970 168.0093
94.848641 70.957 167.9506
95.214851 70.943 167.8932
95.581062 70.930 167.8359
95.947273 70.916 167.7784
96.313484 70.903 167.7217
96.679695 70.889 167.6671
97.045906 70.875 167.6153
97.412117 70.861 167.5657
97.778328 70.848 167.5164
98.144539 70.835 167.4656
98.510750 70.821 167.4132
98.876961 70.808 167.3602
99.243172 70.794 167.3088
99.609383 70.780 167.2604
99.975594 70.766 167.2150
100.341805 70.753 167.1709
100.708016 70.741 167.1259
101.074227 70.728 167.0784
101.440438 70.716 167.0281
101.806649 70.704 166.9767
102.172860 70.691 166.9262
102.539071 70.677 166.8788
102.905282 70.664 166.8351
103.271493 70.651 166.7943
103.637704 70.639 166.7547
104.003915 70.626 166.7145
104.370126 70.614 166.6729
104.736337 70.601 166.6300
105.102548 70.588 166.5874
105.468759 70.575 166.5469
105.834970 70.561 166.5099
106.201180 70.547 166.4764
106.567391 70.534 166.4454
106.933602 70.521 166.4149
107.299813 70.509 166.3831
107.666024 70.496 166.3486
108.032235 70.484 166.3113
108.398446 70.472 166.2724
108.764657 70.459 166.2330
109.130868 70.447 166.1943
109.497079 70.434 166.1563
109.863290 70.422 166.1183
110.229501 70.410 166.0793
110.595712 70.397 166.0391
110.961923 70.384 165.9993
111.328134 70.371 165.9621
111.694345 70.358 165.9299
112.060556 70.344 165.9039
112.426767 70.332 165.8826
112.792978 70.320 165.8634
113.159189 70.309 165.8426
113.525400 70.298 165.8183
113.891611 70.287 165.7904
114.257822 70.276 165.7610
114.624033 70.264 165.7327
114.990244 70.252 165.7078
115.356455 70.240 165.6866
115.722666 70.228 165.6678
116.088877 70.216 165.6489
116.455088 70.205 165.6279
116.821299 70.194 165.6036
117.187510 70.183 165.5762
117.553720 70.172 165.5471
117.919931 70.160 165.5182
118.286142 70.147 165.4911
118.652353 70.135 165.4672
119.018564 70.122 165.4466
119.384775 70.110 165.4294
119.750986 70.098 165.4148
120.117197 70.087 165.4014
120.483408 70.076 165.3875
120.849619 70.066 165.3712
121.215830 70.056 165.3515
121.582041 70.046 165.3284
121.948252 70.035 165.3034
122.314463 70.023 165.2791
122.680674 70.011 165.2580
123.046885 69.999 165.2417
123.413096 69.987 165.2300
123.779307 69.975 165.2213
124.145518 69.964 165.2136
124.511729 69.954 165.2049
124.877940 69.944 165.1940
125.244151 69.935 165.1804
125.610362 69.925 165.1644
125.976573 69.916 165.1463
126.342784 69.907 165.1268
126.708995 69.897 165.1069
127.075206 69.887 165.0876
127.441417 69.877 165.0696
127.807628 69.868 165.0531
128.173839 69.858 165.0373
128.540049 69.849 165.0211
128.906260 69.841 165.0034
129.272471 69.832 164.9842
129.638682 69.823 164.9639
130.004893 69.814 164.9438
130.371104 69.804 164.9248
130.737315 69.795 164.9075
131.103526 69.785 164.8920
131.469737 69.775 164.8782
131.835948 69.766 164.8661
132.202159 69.756 164.8557
132.568370 69.746 164.8472
132.934581 69.737 164.8404
133.300792 69.727 164.8349
133.667003 69.718 164.8300
134.033214 69.709 164.8253
134.399425 69.700 164.8203
134.765636 69.690 164.8153
135.131847 69.681 164.8108
135.498058 69.671 164.8074
135.864269 69.662 164.8055
136.230480 69.652 164.8049
136.596691 69.643 164.8054
136.962902 69.634 164.8062
137.329113 69.626 164.8067
137.695324 69.617 164.8062
138.061535 69.609 164.8043
138.427746 69.602 164.8005
138.793957 69.594 164.7950
139.160168 69.586 164.7878
139.526379 69.578 164.7795
139.892589 69.570 164.7711
140.258800 69.562 164.7635
140.625011 69.554 164.7576
140.991222 69.545 164.7535
141.357433 69.537 164.7512
141.723644 69.529 164.7501
142.089855 69.521 164.7496
142.456066 69.513 164.7494
142.822277 69.505 164.7492
143.188488 69.498 164.7492
143.554699 69.490 164.7497
143.920910 69.482 164.7505
144.287121 69.474 164.7517
144.653332 69.466 164.7529
145.019543 69.458 164.7539
145.385754 69.450 164.7549
145.751965 69.442 164.7560
146.118176 69.434 164.7573
146.484387 69.426 164.7587
146.850598 69.418 164.7598
147.216809 69.411 164.7600
147.583020 69.403 164.7589
147.949231 69.395 164.7566
148.315442 69.387 164.7535
148.681653 69.378 164.7508
149.047864 69.370 164.7493
