* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 20, 2023 7:32:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Twilight Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.036 161.6230
0.732422 59.478 144.3639
1.098633 56.641 130.4559
1.464844 52.191 127.0130
1.831055 48.220 154.0666
2.197266 50.755 179.9481
2.563477 53.585 177.3215
2.929688 55.021 166.6391
3.295899 55.595 155.6311
3.662110 55.838 147.3607
4.028321 56.268 142.4238
4.394532 57.180 138.9283
4.760743 58.432 134.5992
5.126954 59.696 129.0218
5.493164 60.775 123.1273
5.859375 61.646 117.9341
6.225586 62.390 113.9303
6.591797 63.099 110.9550
6.958008 63.813 108.4654
7.324219 64.504 106.0059
7.690430 65.127 103.4672
8.056641 65.659 100.9882
8.422852 66.114 98.7167
8.789063 66.519 96.6595
9.155274 66.893 94.7010
9.521485 67.236 92.7235
9.887696 67.539 90.7018
10.253907 67.736 88.6937
10.620118 67.873 86.7629
10.986329 67.993 84.9158
11.352540 68.108 83.1035
11.718751 68.218 81.2743
12.084962 68.318 79.4211
12.451173 68.407 77.5835
12.817384 68.541 75.8128
13.183595 68.681 74.1367
13.549806 68.818 72.5497
13.916017 68.953 71.0315
14.282228 69.084 69.5696
14.648439 69.206 68.1690
15.014650 69.319 66.8443
15.380861 69.422 65.6071
15.747072 69.519 64.4567
16.113283 69.617 63.3783
16.479493 69.723 62.3468
16.845704 69.826 61.3348
17.211915 69.921 60.3215
17.578126 70.006 59.3013
17.944337 70.078 58.2865
18.310548 70.138 57.3002
18.676759 70.189 56.3626
19.042970 70.237 55.4778
19.409181 70.285 54.6298
19.775392 70.336 53.7908
20.141603 70.391 52.9363
20.507814 70.446 52.0591
20.874025 70.497 51.1735
21.240236 70.542 50.3078
21.606447 70.582 49.4897
21.972658 70.623 48.7315
22.338869 70.667 48.0231
22.705080 70.717 47.3374
23.071291 70.769 46.6478
23.437502 70.820 45.9444
23.803713 70.863 45.2409
24.169924 70.899 44.5652
24.536135 70.928 43.9410
24.902346 70.954 43.3736
25.268557 70.981 42.8494
25.634768 71.010 42.3479
26.000979 71.038 41.8561
26.367190 71.065 41.3718
26.733401 71.091 40.8955
27.099612 71.118 40.4208
27.465823 71.146 39.9338
27.832033 71.173 39.4233
28.198244 71.196 38.8929
28.564455 71.214 38.3617
28.930666 71.229 37.8522
29.296877 71.242 37.3745
29.663088 71.258 36.9200
30.029299 71.278 36.4696
30.395510 71.298 36.0110
30.761721 71.317 35.5486
31.127932 71.333 35.0989
31.494143 71.348 34.6761
31.860354 71.363 34.2802
32.226565 71.380 33.8986
32.592776 71.397 33.5190
32.958987 71.412 33.1419
33.325198 71.424 32.7813
33.691409 71.435 32.4521
34.057620 71.447 32.1545
34.423831 71.463 31.8686
34.790042 71.483 31.5646
35.156253 71.503 31.2219
35.522464 71.519 30.8429
35.888675 71.527 30.4515
36.254886 71.528 30.0789
36.621097 71.526 29.7453
36.987308 71.524 29.4509
37.353519 71.525 29.1788
37.719730 71.531 28.9070
38.085941 71.540 28.6206
38.452152 71.549 28.3161
38.818363 71.557 27.9990
39.184573 71.562 27.6789
39.550784 71.566 27.3655
39.916995 71.568 27.0666
40.283206 71.571 26.7864
40.649417 71.574 26.5245
41.015628 71.580 26.2749
41.381839 71.588 26.0286
41.748050 71.596 25.7786
42.114261 71.604 25.5239
42.480472 71.611 25.2702
42.846683 71.617 25.0252
43.212894 71.622 24.7923
43.579105 71.628 24.5681
43.945316 71.635 24.3451
44.311527 71.643 24.1175
44.677738 71.649 23.8857
45.043949 71.654 23.6552
45.410160 71.658 23.4318
45.776371 71.662 23.2171
46.142582 71.666 23.0076
46.508793 71.671 22.7984
46.875004 71.675 22.5873
47.241215 71.679 22.3765
47.607426 71.682 22.1700
47.973637 71.684 21.9702
48.339848 71.687 21.7761
48.706059 71.691 21.5845
49.072270 71.694 21.3928
49.438481 71.697 21.2009
49.804692 71.700 21.0108
50.170902 71.702 20.8246
50.537113 71.705 20.6436
50.903324 71.707 20.4680
51.269535 71.710 20.2971
51.635746 71.714 20.1289
52.001957 71.718 19.9597
52.368168 71.724 19.7842
52.734379 71.729 19.5991
53.100590 71.732 19.4060
53.466801 71.733 19.2125
53.833012 71.733 19.0291
54.199223 71.731 18.8627
54.565434 71.730 18.7120
54.931645 71.732 18.5683
55.297856 71.735 18.4215
55.664067 71.738 18.2671
56.030278 71.741 18.1078
56.396489 71.744 17.9492
56.762700 71.746 17.7927
57.128911 71.749 17.6331
57.495122 71.752 17.4634
57.861333 71.754 17.2830
58.227544 71.751 17.1028
58.593755 71.746 16.9408
58.959966 71.739 16.8107
59.326177 71.735 16.7116
59.692388 71.736 16.6259
60.058599 71.743 16.5288
60.424810 71.751 16.4024
60.791021 71.759 16.2458
61.157232 71.763 16.0733
61.523442 71.763 15.9051
61.889653 71.761 15.7548
62.255864 71.760 15.6236
62.622075 71.760 15.5031
62.988286 71.761 15.3825
63.354497 71.762 15.2560
63.720708 71.763 15.1246
64.086919 71.763 14.9938
64.453130 71.762 14.8680
64.819341 71.761 14.7483
65.185552 71.760 14.6327
65.551763 71.760 14.5178
65.917974 71.760 14.4013
66.284185 71.761 14.2824
66.650396 71.761 14.1613
67.016607 71.760 14.0384
67.382818 71.760 13.9145
67.749029 71.758 13.7908
68.115240 71.756 13.6695
68.481451 71.754 13.5527
68.847662 71.752 13.4411
69.213873 71.750 13.3331
69.580084 71.749 13.2259
69.946295 71.749 13.1168
70.312506 71.748 13.0051
70.678717 71.747 12.8924
71.044928 71.746 12.7812
71.411139 71.745 12.6726
71.777350 71.744 12.5654
72.143561 71.743 12.4575
72.509771 71.742 12.3480
72.875982 71.740 12.2389
73.242193 71.737 12.1344
73.608404 71.734 12.0383
73.974615 71.731 11.9509
74.340826 71.730 11.8683
74.707037 71.729 11.7850
75.073248 71.730 11.6970
75.439459 71.730 11.6044
75.805670 71.730 11.5098
76.171881 71.729 11.4159
76.538092 71.729 11.3226
76.904303 71.730 11.2271
77.270514 71.730 11.1268
77.636725 71.729 11.0218
78.002936 71.728 10.9161
78.369147 71.725 10.8151
78.735358 71.722 10.7220
79.101569 71.720 10.6359
79.467780 71.719 10.5518
79.833991 71.719 10.4645
80.200202 71.718 10.3711
80.566413 71.718 10.2727
80.932624 71.717 10.1727
81.298835 71.715 10.0744
81.665046 71.712 9.9795
82.031257 71.709 9.8878
82.397468 71.707 9.7982
82.763679 71.704 9.7101
83.129890 71.702 9.6232
83.496101 71.699 9.5381
83.862311 71.696 9.4549
84.228522 71.693 9.3738
84.594733 71.691 9.2947
84.960944 71.688 9.2172
85.327155 71.686 9.1410
85.693366 71.684 9.0652
86.059577 71.683 8.9893
86.425788 71.681 8.9133
86.791999 71.679 8.8374
87.158210 71.678 8.7627
87.524421 71.676 8.6897
87.890632 71.674 8.6184
88.256843 71.673 8.5479
88.623054 71.673 8.4771
88.989265 71.672 8.4049
89.355476 71.672 8.3306
89.721687 71.672 8.2534
90.087898 71.672 8.1726
90.454109 71.671 8.0877
90.820320 71.670 7.9995
91.186531 71.668 7.9105
91.552742 71.665 7.8241
91.918953 71.662 7.7435
92.285164 71.658 7.6697
92.651375 71.655 7.6010
93.017586 71.653 7.5337
93.383797 71.652 7.4648
93.750008 71.650 7.3931
94.116219 71.648 7.3201
94.482430 71.646 7.2483
94.848641 71.644 7.1796
95.214851 71.642 7.1136
95.581062 71.640 7.0486
95.947273 71.639 6.9823
96.313484 71.637 6.9140
96.679695 71.635 6.8446
97.045906 71.633 6.7758
97.412117 71.631 6.7091
97.778328 71.628 6.6445
98.144539 71.626 6.5812
98.510750 71.623 6.5182
98.876961 71.621 6.4554
99.243172 71.619 6.3930
99.609383 71.616 6.3315
99.975594 71.614 6.2706
100.341805 71.612 6.2096
100.708016 71.610 6.1474
101.074227 71.608 6.0837
101.440438 71.605 6.0190
101.806649 71.603 5.9544
102.172860 71.600 5.8910
102.539071 71.598 5.8290
102.905282 71.595 5.7682
103.271493 71.593 5.7078
103.637704 71.591 5.6469
104.003915 71.589 5.5854
104.370126 71.587 5.5235
104.736337 71.585 5.4620
105.102548 71.582 5.4014
105.468759 71.580 5.3421
105.834970 71.578 5.2839
106.201180 71.575 5.2263
106.567391 71.573 5.1691
106.933602 71.571 5.1117
107.299813 71.569 5.0541
107.666024 71.567 4.9965
108.032235 71.564 4.9388
108.398446 71.562 4.8813
108.764657 71.559 4.8242
109.130868 71.557 4.7682
109.497079 71.554 4.7140
109.863290 71.551 4.6622
110.229501 71.548 4.6126
110.595712 71.546 4.5640
110.961923 71.544 4.5147
111.328134 71.543 4.4631
111.694345 71.541 4.4085
112.060556 71.539 4.3513
112.426767 71.537 4.2931
112.792978 71.535 4.2355
113.159189 71.532 4.1800
113.525400 71.529 4.1265
113.891611 71.526 4.0743
114.257822 71.524 4.0221
114.624033 71.522 3.9688
114.990244 71.519 3.9142
115.356455 71.517 3.8590
115.722666 71.514 3.8043
116.088877 71.511 3.7516
116.455088 71.508 3.7013
116.821299 71.505 3.6530
117.187510 71.503 3.6058
117.553720 71.501 3.5584
117.919931 71.499 3.5102
118.286142 71.497 3.4610
118.652353 71.496 3.4113
119.018564 71.494 3.3613
119.384775 71.492 3.3109
119.750986 71.491 3.2598
120.117197 71.489 3.2078
120.483408 71.487 3.1552
120.849619 71.485 3.1030
121.215830 71.482 3.0523
121.582041 71.479 3.0038
121.948252 71.477 2.9571
122.314463 71.474 2.9113
122.680674 71.472 2.8649
123.046885 71.469 2.8170
123.413096 71.467 2.7677
123.779307 71.464 2.7182
124.145518 71.461 2.6700
124.511729 71.457 2.6247
124.877940 71.454 2.5828
125.244151 71.451 2.5434
125.610362 71.449 2.5048
125.976573 71.448 2.4652
126.342784 71.447 2.4234
126.708995 71.446 2.3790
127.075206 71.445 2.3327
127.441417 71.444 2.2855
127.807628 71.443 2.2383
128.173839 71.441 2.1913
128.540049 71.440 2.1447
128.906260 71.439 2.0985
129.272471 71.437 2.0528
129.638682 71.436 2.0078
130.004893 71.434 1.9637
130.371104 71.433 1.9205
130.737315 71.431 1.8779
131.103526 71.430 1.8359
131.469737 71.428 1.7944
131.835948 71.427 1.7535
132.202159 71.425 1.7132
132.568370 71.424 1.6737
132.934581 71.422 1.6348
133.300792 71.421 1.5962
133.667003 71.419 1.5580
134.033214 71.418 1.5200
134.399425 71.416 1.4822
134.765636 71.415 1.4445
135.131847 71.414 1.4068
135.498058 71.412 1.3688
135.864269 71.411 1.3306
136.230480 71.410 1.2920
136.596691 71.409 1.2532
136.962902 71.407 1.2141
137.329113 71.406 1.1747
137.695324 71.405 1.1348
138.061535 71.403 1.0943
138.427746 71.402 1.0534
138.793957 71.401 1.0127
139.160168 71.399 0.9726
139.526379 71.397 0.9334
139.892589 71.396 0.8948
140.258800 71.394 0.8564
140.625011 71.393 0.8175
140.991222 71.392 0.7775
141.357433 71.391 0.7362
141.723644 71.389 0.6941
142.089855 71.387 0.6517
142.456066 71.385 0.6100
142.822277 71.383 0.5697
143.188488 71.381 0.5313
143.554699 71.378 0.4949
143.920910 71.376 0.4599
144.287121 71.374 0.4258
144.653332 71.373 0.3919
145.019543 71.371 0.3577
145.385754 71.370 0.3230
145.751965 71.368 0.2877
146.118176 71.367 0.2523
146.484387 71.365 0.2170
146.850598 71.364 0.1823
147.216809 71.362 0.1482
147.583020 71.361 0.1146
147.949231 71.360 0.0812
148.315442 71.358 0.0477
148.681653 71.357 0.0139
149.047864 71.356 -0.0200
149.414075 71.354 -0.0537
149.780286 71.353 -0.0871
150.146497 71.351 -0.1200
150.512708 71.349 -0.1521
150.878918 71.348 -0.1838
151.245129 71.346 -0.2151
151.611340 71.344 -0.2465
151.977551 71.343 -0.2780
152.343762 71.341 -0.3100
152.709973 71.340 -0.3425
