* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 20, 2023 7:31:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Twilight Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.875 -23.5724
0.732422 63.950 -46.9041
1.098633 60.170 -69.3529
1.464844 52.370 -86.8187
1.831055 44.261 28.8944
2.197266 54.847 26.2061
2.563477 57.778 5.7589
2.929688 58.322 -14.6529
3.295899 57.485 -31.3747
3.662110 55.953 -39.4901
4.028321 55.298 -35.8511
4.394532 56.830 -31.7790
4.760743 59.072 -36.6429
5.126954 60.812 -46.3270
5.493164 61.882 -56.1077
5.859375 62.473 -63.2710
6.225586 62.932 -66.8701
6.591797 63.591 -68.0726
6.958008 64.496 -69.2455
7.324219 65.424 -71.6686
7.690430 66.172 -74.9642
8.056641 66.695 -78.1612
8.422852 67.069 -80.5999
8.789063 67.409 -82.2782
9.155274 67.776 -83.6839
9.521485 68.154 -85.2886
9.887696 68.495 -87.2045
10.253907 68.713 -89.2647
10.620118 68.853 -91.2877
10.986329 68.968 -93.2304
11.352540 69.071 -95.1474
11.718751 69.163 -97.0691
12.084962 69.241 -98.9509
12.451173 69.316 -100.7332
12.817384 69.457 -102.4212
13.183595 69.619 -104.0859
13.549806 69.783 -105.7847
13.916017 69.934 -107.4929
14.282228 70.064 -109.1199
14.648439 70.181 -110.5872
15.014650 70.295 -111.8943
15.380861 70.413 -113.1099
15.747072 70.530 -114.3062
16.113283 70.641 -115.5010
16.479493 70.745 -116.6578
16.845704 70.832 -117.7321
17.211915 70.910 -118.7126
17.578126 70.984 -119.6266
17.944337 71.056 -120.5141
18.310548 71.125 -121.4032
18.676759 71.190 -122.3045
19.042970 71.249 -123.2198
19.409181 71.303 -124.1464
19.775392 71.350 -125.0749
20.141603 71.394 -125.9883
20.507814 71.437 -126.8709
20.874025 71.482 -127.7216
21.240236 71.530 -128.5560
21.606447 71.580 -129.3931
21.972658 71.629 -130.2365
22.338869 71.673 -131.0686
22.705080 71.711 -131.8607
23.071291 71.746 -132.5907
23.437502 71.782 -133.2555
23.803713 71.821 -133.8704
24.169924 71.863 -134.4602
24.536135 71.907 -135.0481
24.902346 71.950 -135.6469
25.268557 71.989 -136.2553
25.634768 72.021 -136.8595
26.000979 72.048 -137.4440
26.367190 72.072 -138.0053
26.733401 72.096 -138.5577
27.099612 72.118 -139.1229
27.465823 72.135 -139.7084
27.832033 72.144 -140.2931
28.198244 72.146 -140.8366
28.564455 72.147 -141.3096
28.930666 72.154 -141.7208
29.296877 72.173 -142.1173
29.663088 72.202 -142.5533
30.029299 72.232 -143.0520
30.395510 72.256 -143.5917
30.761721 72.273 -144.1251
31.127932 72.284 -144.6150
31.494143 72.296 -145.0564
31.860354 72.311 -145.4709
32.226565 72.328 -145.8820
32.592776 72.343 -146.2945
32.958987 72.356 -146.6945
33.325198 72.367 -147.0661
33.691409 72.379 -147.4093
34.057620 72.394 -147.7431
34.423831 72.412 -148.0943
34.790042 72.428 -148.4790
35.156253 72.439 -148.8911
35.522464 72.441 -149.3047
35.888675 72.437 -149.6866
36.254886 72.429 -150.0151
36.621097 72.425 -150.2931
36.987308 72.427 -150.5482
37.353519 72.436 -150.8174
37.719730 72.448 -151.1244
38.085941 72.457 -151.4646
38.452152 72.462 -151.8101
38.818363 72.463 -152.1310
39.184573 72.465 -152.4191
39.550784 72.472 -152.6936
39.916995 72.483 -152.9846
40.283206 72.494 -153.3072
40.649417 72.500 -153.6459
41.015628 72.499 -153.9650
41.381839 72.495 -154.2344
41.748050 72.494 -154.4522
42.114261 72.499 -154.6470
42.480472 72.511 -154.8576
42.846683 72.525 -155.1069
43.212894 72.536 -155.3903
43.579105 72.541 -155.6836
43.945316 72.542 -155.9625
44.311527 72.542 -156.2174
44.677738 72.543 -156.4549
45.043949 72.545 -156.6881
45.410160 72.547 -156.9249
45.776371 72.549 -157.1643
46.142582 72.551 -157.4010
46.508793 72.552 -157.6317
46.875004 72.554 -157.8575
47.241215 72.556 -158.0821
47.607426 72.557 -158.3074
47.973637 72.559 -158.5314
48.339848 72.559 -158.7498
48.706059 72.559 -158.9597
49.072270 72.560 -159.1613
49.438481 72.562 -159.3585
49.804692 72.564 -159.5566
50.170902 72.568 -159.7605
50.537113 72.570 -159.9719
50.903324 72.571 -160.1883
51.269535 72.570 -160.4025
51.635746 72.568 -160.6057
52.001957 72.564 -160.7914
52.368168 72.562 -160.9604
52.734379 72.562 -161.1207
53.100590 72.564 -161.2835
53.466801 72.568 -161.4575
53.833012 72.572 -161.6441
54.199223 72.575 -161.8387
54.565434 72.577 -162.0357
54.931645 72.577 -162.2322
55.297856 72.578 -162.4281
55.664067 72.576 -162.6217
56.030278 72.574 -162.8075
56.396489 72.570 -162.9781
56.762700 72.567 -163.1301
57.128911 72.567 -163.2692
57.495122 72.569 -163.4088
57.861333 72.574 -163.5615
58.227544 72.578 -163.7316
58.593755 72.580 -163.9120
58.959966 72.581 -164.0910
59.326177 72.579 -164.2603
59.692388 72.578 -164.4209
60.058599 72.578 -164.5790
60.424810 72.577 -164.7396
60.791021 72.575 -164.9007
61.157232 72.572 -165.0547
61.523442 72.568 -165.1953
61.889653 72.565 -165.3228
62.255864 72.564 -165.4445
62.622075 72.564 -165.5692
62.988286 72.564 -165.7008
63.354497 72.564 -165.8370
63.720708 72.563 -165.9731
64.086919 72.562 -166.1062
64.453130 72.560 -166.2381
64.819341 72.560 -166.3724
65.185552 72.558 -166.5106
65.551763 72.557 -166.6510
65.917974 72.554 -166.7899
66.284185 72.551 -166.9257
66.650396 72.548 -167.0597
67.016607 72.546 -167.1946
67.382818 72.542 -167.3310
67.749029 72.538 -167.4655
68.115240 72.534 -167.5937
68.481451 72.529 -167.7131
68.847662 72.526 -167.8262
69.213873 72.524 -167.9387
69.580084 72.523 -168.0556
69.946295 72.522 -168.1783
70.312506 72.521 -168.3036
70.678717 72.518 -168.4276
71.044928 72.516 -168.5481
71.411139 72.514 -168.6657
71.777350 72.512 -168.7825
72.143561 72.510 -168.8996
72.509771 72.507 -169.0164
72.875982 72.504 -169.1317
73.242193 72.501 -169.2443
73.608404 72.497 -169.3539
73.974615 72.493 -169.4590
74.340826 72.488 -169.5578
74.707037 72.484 -169.6491
75.073248 72.481 -169.7343
75.439459 72.480 -169.8192
75.805670 72.480 -169.9114
76.171881 72.481 -170.0169
76.538092 72.481 -170.1357
76.904303 72.479 -170.2622
77.270514 72.476 -170.3887
77.636725 72.472 -170.5095
78.002936 72.467 -170.6236
78.369147 72.462 -170.7330
78.735358 72.458 -170.8398
79.101569 72.453 -170.9437
79.467780 72.449 -171.0424
79.833991 72.445 -171.1347
80.200202 72.442 -171.2225
80.566413 72.440 -171.3108
80.932624 72.440 -171.4049
81.298835 72.440 -171.5072
81.665046 72.439 -171.6161
82.031257 72.437 -171.7278
82.397468 72.434 -171.8381
82.763679 72.430 -171.9444
83.129890 72.425 -172.0448
83.496101 72.420 -172.1377
83.862311 72.415 -172.2222
84.228522 72.410 -172.2989
84.594733 72.407 -172.3714
84.960944 72.406 -172.4457
85.327155 72.405 -172.5276
85.693366 72.404 -172.6194
86.059577 72.402 -172.7179
86.425788 72.398 -172.8162
86.791999 72.394 -172.9074
87.158210 72.389 -172.9883
87.524421 72.385 -173.0614
87.890632 72.383 -173.1328
88.256843 72.382 -173.2092
88.623054 72.382 -173.2945
88.989265 72.381 -173.3884
89.355476 72.379 -173.4870
89.721687 72.376 -173.5849
90.087898 72.372 -173.6781
90.454109 72.368 -173.7648
90.820320 72.364 -173.8463
91.186531 72.361 -173.9256
91.552742 72.359 -174.0061
91.918953 72.356 -174.0893
92.285164 72.354 -174.1748
92.651375 72.351 -174.2606
93.017586 72.348 -174.3443
93.383797 72.345 -174.4253
93.750008 72.342 -174.5039
94.116219 72.339 -174.5816
94.482430 72.336 -174.6591
94.848641 72.333 -174.7367
95.214851 72.330 -174.8138
95.581062 72.327 -174.8900
95.947273 72.324 -174.9659
96.313484 72.321 -175.0422
96.679695 72.317 -175.1198
97.045906 72.314 -175.1984
97.412117 72.310 -175.2770
97.778328 72.306 -175.3541
98.144539 72.302 -175.4286
98.510750 72.298 -175.5007
98.876961 72.293 -175.5715
99.243172 72.290 -175.6425
99.609383 72.286 -175.7146
99.975594 72.283 -175.7882
100.341805 72.279 -175.8623
100.708016 72.275 -175.9357
101.074227 72.271 -176.0073
101.440438 72.268 -176.0772
101.806649 72.265 -176.1463
102.172860 72.262 -176.2159
102.539071 72.259 -176.2874
102.905282 72.257 -176.3612
103.271493 72.254 -176.4367
103.637704 72.251 -176.5124
104.003915 72.248 -176.5864
104.370126 72.244 -176.6573
104.736337 72.240 -176.7249
105.102548 72.237 -176.7895
105.468759 72.233 -176.8524
105.834970 72.230 -176.9146
106.201180 72.227 -176.9767
106.567391 72.225 -177.0386
106.933602 72.222 -177.0998
107.299813 72.219 -177.1604
107.666024 72.216 -177.2207
108.032235 72.213 -177.2815
108.398446 72.210 -177.3433
108.764657 72.208 -177.4063
109.130868 72.205 -177.4700
109.497079 72.201 -177.5335
109.863290 72.198 -177.5966
110.229501 72.195 -177.6593
110.595712 72.191 -177.7221
110.961923 72.188 -177.7854
111.328134 72.184 -177.8488
111.694345 72.180 -177.9118
112.060556 72.176 -177.9736
112.426767 72.172 -178.0338
112.792978 72.168 -178.0926
113.159189 72.165 -178.1507
113.525400 72.162 -178.2091
113.891611 72.158 -178.2686
114.257822 72.155 -178.3297
114.624033 72.152 -178.3923
114.990244 72.149 -178.4560
115.356455 72.145 -178.5200
115.722666 72.141 -178.5833
116.088877 72.137 -178.6448
116.455088 72.133 -178.7039
116.821299 72.128 -178.7605
117.187510 72.124 -178.8151
117.553720 72.120 -178.8685
117.919931 72.117 -178.9215
118.286142 72.113 -178.9748
118.652353 72.110 -179.0286
119.018564 72.107 -179.0827
119.384775 72.103 -179.1368
119.750986 72.100 -179.1907
120.117197 72.096 -179.2441
120.483408 72.093 -179.2972
120.849619 72.090 -179.3502
121.215830 72.086 -179.4034
121.582041 72.083 -179.4572
121.948252 72.080 -179.5114
122.314463 72.076 -179.5656
122.680674 72.072 -179.6194
123.046885 72.068 -179.6723
123.413096 72.065 -179.7240
123.779307 72.061 -179.7748
124.145518 72.058 -179.8254
124.511729 72.055 -179.8766
124.877940 72.052 -179.9288
125.244151 72.049 -179.9820
125.610362 72.046 179.9641
125.976573 72.043 179.9106
126.342784 72.040 179.8582
126.708995 72.037 179.8074
127.075206 72.033 179.7582
127.441417 72.031 179.7102
127.807628 72.028 179.6631
128.173839 72.025 179.6166
128.540049 72.023 179.5706
128.906260 72.020 179.5250
129.272471 72.018 179.4797
129.638682 72.016 179.4338
130.004893 72.014 179.3867
130.371104 72.013 179.3380
130.737315 72.011 179.2878
131.103526 72.009 179.2367
131.469737 72.007 179.1857
131.835948 72.004 179.1355
132.202159 72.002 179.0860
132.568370 72.000 179.0368
132.934581 71.997 178.9874
133.300792 71.995 178.9377
133.667003 71.993 178.8879
134.033214 71.990 178.8389
134.399425 71.987 178.7912
134.765636 71.984 178.7450
135.131847 71.982 178.7000
135.498058 71.980 178.6553
135.864269 71.977 178.6103
136.230480 71.976 178.5642
136.596691 71.974 178.5167
136.962902 71.972 178.4676
137.329113 71.970 178.4171
137.695324 71.968 178.3655
138.061535 71.965 178.3139
138.427746 71.962 178.2629
138.793957 71.959 178.2134
139.160168 71.956 178.1659
139.526379 71.953 178.1203
139.892589 71.950 178.0764
140.258800 71.947 178.0339
140.625011 71.944 177.9924
140.991222 71.941 177.9520
141.357433 71.938 177.9129
141.723644 71.935 177.8749
142.089855 71.932 177.8380
142.456066 71.929 177.8015
142.822277 71.927 177.7649
143.188488 71.925 177.7277
143.554699 71.923 177.6899
143.920910 71.920 177.6515
144.287121 71.918 177.6125
