* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2023 7:05:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MDR-EX800S TV Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.962 -25.5483
0.732422 62.967 -51.1408
1.098633 58.957 -76.8690
1.464844 49.900 -103.3085
1.831055 46.684 55.3763
2.197266 55.764 29.2463
2.563477 58.527 5.5351
2.929688 59.132 -15.3819
3.295899 58.452 -30.8435
3.662110 57.257 -36.1966
4.028321 57.229 -30.7950
4.394532 59.114 -27.6669
4.760743 61.317 -32.9323
5.126954 62.934 -42.0407
5.493164 63.914 -50.8566
5.859375 64.491 -57.0934
6.225586 65.014 -60.2413
6.591797 65.752 -61.7233
6.958008 66.682 -63.5982
7.324219 67.586 -66.6586
7.690430 68.307 -70.3580
8.056641 68.830 -73.8178
8.422852 69.237 -76.5468
8.789063 69.625 -78.6543
9.155274 70.032 -80.6007
9.521485 70.431 -82.7341
9.887696 70.783 -85.0654
10.253907 71.005 -87.4072
10.620118 71.158 -89.6208
10.986329 71.300 -91.7261
11.352540 71.439 -93.8269
11.718751 71.567 -95.9736
12.084962 71.675 -98.1156
12.451173 71.769 -100.1702
12.817384 71.906 -102.1115
13.183595 72.053 -103.9841
13.549806 72.198 -105.8400
13.916017 72.331 -107.6737
14.282228 72.446 -109.4249
14.648439 72.550 -111.0396
15.014650 72.651 -112.5223
15.380861 72.754 -113.9306
15.747072 72.855 -115.3219
16.113283 72.949 -116.7082
16.479493 73.037 -118.0578
16.845704 73.111 -119.3341
17.211915 73.176 -120.5291
17.578126 73.237 -121.6650
17.944337 73.295 -122.7727
18.310548 73.349 -123.8707
18.676759 73.398 -124.9631
19.042970 73.442 -126.0475
19.409181 73.480 -127.1195
19.775392 73.514 -128.1718
20.141603 73.546 -129.1955
20.507814 73.579 -130.1882
20.874025 73.614 -131.1610
21.240236 73.650 -132.1326
21.606447 73.685 -133.1113
21.972658 73.713 -134.0817
22.338869 73.735 -135.0111
22.705080 73.753 -135.8728
23.071291 73.773 -136.6673
23.437502 73.797 -137.4215
23.803713 73.823 -138.1665
24.169924 73.848 -138.9144
24.536135 73.868 -139.6530
24.902346 73.882 -140.3614
25.268557 73.895 -141.0293
25.634768 73.908 -141.6654
26.000979 73.923 -142.2906
26.367190 73.938 -142.9242
26.733401 73.952 -143.5761
27.099612 73.962 -144.2441
27.465823 73.966 -144.9165
27.832033 73.965 -145.5744
28.198244 73.959 -146.1985
28.564455 73.953 -146.7777
28.930666 73.951 -147.3188
29.296877 73.954 -147.8450
29.663088 73.962 -148.3829
30.029299 73.972 -148.9452
30.395510 73.979 -149.5224
30.761721 73.983 -150.0909
31.127932 73.984 -150.6309
31.494143 73.985 -151.1388
31.860354 73.987 -151.6270
32.226565 73.992 -152.1113
32.592776 73.995 -152.5982
32.958987 73.996 -153.0820
33.325198 73.994 -153.5504
33.691409 73.990 -153.9953
34.057620 73.985 -154.4166
34.423831 73.982 -154.8225
34.790042 73.979 -155.2236
35.156253 73.977 -155.6284
35.522464 73.974 -156.0391
35.888675 73.970 -156.4517
36.254886 73.964 -156.8581
36.621097 73.957 -157.2529
36.987308 73.952 -157.6380
37.353519 73.948 -158.0247
37.719730 73.946 -158.4257
38.085941 73.943 -158.8452
38.452152 73.935 -159.2715
38.818363 73.923 -159.6810
39.184573 73.908 -160.0513
39.550784 73.895 -160.3771
39.916995 73.888 -160.6746
40.283206 73.887 -160.9735
40.649417 73.890 -161.2985
41.015628 73.892 -161.6545
41.381839 73.890 -162.0247
41.748050 73.882 -162.3828
42.114261 73.872 -162.7106
42.480472 73.863 -163.0085
42.846683 73.857 -163.2927
43.212894 73.853 -163.5826
43.579105 73.849 -163.8864
43.945316 73.843 -164.1972
44.311527 73.834 -164.5000
44.677738 73.825 -164.7852
45.043949 73.818 -165.0563
45.410160 73.813 -165.3275
45.776371 73.809 -165.6123
46.142582 73.805 -165.9130
46.508793 73.798 -166.2190
46.875004 73.788 -166.5147
47.241215 73.777 -166.7907
47.607426 73.768 -167.0490
47.973637 73.760 -167.3004
48.339848 73.754 -167.5557
48.706059 73.749 -167.8185
49.072270 73.742 -168.0848
49.438481 73.735 -168.3476
49.804692 73.726 -168.6025
50.170902 73.718 -168.8502
50.537113 73.710 -169.0934
50.903324 73.702 -169.3342
51.269535 73.694 -169.5720
51.635746 73.685 -169.8051
52.001957 73.677 -170.0329
52.368168 73.669 -170.2572
52.734379 73.661 -170.4806
53.100590 73.654 -170.7049
53.466801 73.646 -170.9297
53.833012 73.638 -171.1539
54.199223 73.631 -171.3772
54.565434 73.623 -171.5999
54.931645 73.615 -171.8224
55.297856 73.606 -172.0434
55.664067 73.597 -172.2601
56.030278 73.589 -172.4708
56.396489 73.581 -172.6775
56.762700 73.573 -172.8854
57.128911 73.566 -173.0992
57.495122 73.558 -173.3182
57.861333 73.548 -173.5347
58.227544 73.536 -173.7381
58.593755 73.524 -173.9223
58.959966 73.514 -174.0917
59.326177 73.508 -174.2597
59.692388 73.504 -174.4405
60.058599 73.499 -174.6404
60.424810 73.493 -174.8541
60.791021 73.484 -175.0683
61.157232 73.473 -175.2710
61.523442 73.462 -175.4578
61.889653 73.451 -175.6328
62.255864 73.441 -175.8038
62.622075 73.433 -175.9764
62.988286 73.424 -176.1516
63.354497 73.415 -176.3270
63.720708 73.405 -176.5001
64.086919 73.396 -176.6707
64.453130 73.386 -176.8401
64.819341 73.377 -177.0094
65.185552 73.367 -177.1785
65.551763 73.357 -177.3463
65.917974 73.347 -177.5118
66.284185 73.337 -177.6751
66.650396 73.327 -177.8367
67.016607 73.317 -177.9974
67.382818 73.307 -178.1577
67.749029 73.297 -178.3178
68.115240 73.287 -178.4781
68.481451 73.277 -178.6389
68.847662 73.267 -178.7997
69.213873 73.256 -178.9597
69.580084 73.245 -179.1172
69.946295 73.234 -179.2706
70.312506 73.223 -179.4189
70.678717 73.212 -179.5631
71.044928 73.202 -179.7057
71.411139 73.193 -179.8496
71.777350 73.184 -179.9966
72.143561 73.175 179.8540
72.509771 73.165 179.7050
72.875982 73.155 179.5600
73.242193 73.145 179.4203
73.608404 73.136 179.2842
73.974615 73.127 179.1471
74.340826 73.119 179.0048
74.707037 73.110 178.8565
75.073248 73.100 178.7056
75.439459 73.089 178.5579
75.805670 73.076 178.4189
76.171881 73.064 178.2900
76.538092 73.052 178.1691
76.904303 73.041 178.0522
77.270514 73.030 177.9356
77.636725 73.020 177.8178
78.002936 73.011 177.6985
78.369147 73.001 177.5780
78.735358 72.991 177.4563
79.101569 72.981 177.3340
79.467780 72.971 177.2126
79.833991 72.960 177.0942
80.200202 72.950 176.9802
80.566413 72.941 176.8692
80.932624 72.933 176.7573
81.298835 72.925 176.6394
81.665046 72.919 176.5120
82.031257 72.911 176.3755
82.397468 72.902 176.2343
82.763679 72.892 176.0942
83.129890 72.880 175.9605
83.496101 72.868 175.8349
83.862311 72.857 175.7161
84.228522 72.846 175.6010
84.594733 72.835 175.4868
84.960944 72.825 175.3723
85.327155 72.814 175.2585
85.693366 72.803 175.1475
86.059577 72.792 175.0403
86.425788 72.781 174.9365
86.791999 72.771 174.8337
87.158210 72.761 174.7295
87.524421 72.752 174.6224
87.890632 72.741 174.5135
88.256843 72.731 174.4051
88.623054 72.720 174.2998
88.989265 72.709 174.1984
89.355476 72.698 174.0992
89.721687 72.688 173.9996
90.087898 72.678 173.8975
90.454109 72.668 173.7927
90.820320 72.658 173.6871
91.186531 72.647 173.5831
91.552742 72.636 173.4818
91.918953 72.626 173.3831
92.285164 72.616 173.2854
92.651375 72.606 173.1874
93.017586 72.597 173.0887
93.383797 72.587 172.9901
93.750008 72.577 172.8926
94.116219 72.567 172.7971
94.482430 72.558 172.7034
94.848641 72.548 172.6103
95.214851 72.539 172.5171
95.581062 72.529 172.4236
95.947273 72.519 172.3306
96.313484 72.509 172.2397
96.679695 72.499 172.1517
97.045906 72.489 172.0665
97.412117 72.479 171.9828
97.778328 72.469 171.8986
98.144539 72.459 171.8126
98.510750 72.450 171.7250
98.876961 72.440 171.6371
99.243172 72.429 171.5506
99.609383 72.419 171.4658
99.975594 72.409 171.3822
100.341805 72.399 171.2984
100.708016 72.389 171.2132
101.074227 72.379 171.1265
101.440438 72.370 171.0391
101.806649 72.359 170.9522
102.172860 72.349 170.8669
102.539071 72.339 170.7834
102.905282 72.328 170.7014
103.271493 72.318 170.6202
103.637704 72.308 170.5393
104.003915 72.298 170.4583
104.370126 72.288 170.3776
104.736337 72.278 170.2977
105.102548 72.268 170.2197
105.468759 72.257 170.1443
105.834970 72.247 170.0715
106.201180 72.237 170.0001
106.567391 72.227 169.9286
106.933602 72.218 169.8558
107.299813 72.208 169.7815
107.666024 72.199 169.7067
108.032235 72.189 169.6324
108.398446 72.179 169.5590
108.764657 72.170 169.4860
109.130868 72.160 169.4122
109.497079 72.151 169.3371
109.863290 72.142 169.2609
110.229501 72.132 169.1850
110.595712 72.122 169.1109
110.961923 72.112 169.0389
111.328134 72.102 168.9684
111.694345 72.093 168.8980
112.060556 72.083 168.8268
112.426767 72.073 168.7552
112.792978 72.064 168.6840
113.159189 72.054 168.6141
113.525400 72.044 168.5457
113.891611 72.034 168.4779
114.257822 72.024 168.4102
114.624033 72.014 168.3424
114.990244 72.004 168.2752
115.356455 71.993 168.2099
115.722666 71.983 168.1470
116.088877 71.972 168.0861
116.455088 71.962 168.0263
116.821299 71.952 167.9662
117.187510 71.943 167.9056
117.553720 71.933 167.8448
117.919931 71.923 167.7849
118.286142 71.913 167.7265
118.652353 71.903 167.6697
119.018564 71.894 167.6134
119.384775 71.884 167.5564
119.750986 71.876 167.4977
120.117197 71.867 167.4369
120.483408 71.858 167.3745
120.849619 71.848 167.3116
121.215830 71.839 167.2491
121.582041 71.829 167.1877
121.948252 71.820 167.1278
122.314463 71.810 167.0689
122.680674 71.800 167.0106
123.046885 71.791 166.9523
123.413096 71.781 166.8937
123.779307 71.772 166.8347
124.145518 71.762 166.7754
124.511729 71.753 166.7161
124.877940 71.743 166.6571
125.244151 71.734 166.5989
125.610362 71.725 166.5420
125.976573 71.715 166.4868
126.342784 71.706 166.4338
126.708995 71.697 166.3827
127.075206 71.689 166.3332
127.441417 71.681 166.2842
127.807628 71.673 166.2348
128.173839 71.665 166.1844
128.540049 71.657 166.1331
128.906260 71.649 166.0813
129.272471 71.641 166.0300
129.638682 71.633 165.9796
130.004893 71.625 165.9303
130.371104 71.617 165.8817
130.737315 71.609 165.8333
131.103526 71.602 165.7846
131.469737 71.594 165.7359
131.835948 71.586 165.6877
132.202159 71.577 165.6407
132.568370 71.569 165.5950
132.934581 71.561 165.5504
133.300792 71.553 165.5060
133.667003 71.545 165.4614
134.033214 71.537 165.4161
134.399425 71.529 165.3705
134.765636 71.521 165.3252
135.131847 71.513 165.2807
135.498058 71.505 165.2369
135.864269 71.497 165.1932
136.230480 71.490 165.1487
136.596691 71.482 165.1025
136.962902 71.475 165.0543
137.329113 71.467 165.0043
137.695324 71.459 164.9536
138.061535 71.450 164.9030
138.427746 71.441 164.8538
138.793957 71.433 164.8068
139.160168 71.424 164.7620
139.526379 71.415 164.7192
139.892589 71.406 164.6777
140.258800 71.398 164.6370
140.625011 71.390 164.5965
140.991222 71.382 164.5562
141.357433 71.374 164.5161
141.723644 71.366 164.4764
142.089855 71.359 164.4374
142.456066 71.351 164.3989
142.822277 71.343 164.3608
143.188488 71.336 164.3229
143.554699 71.328 164.2855
143.920910 71.320 164.2487
144.287121 71.313 164.2129
144.653332 71.305 164.1780
145.019543 71.297 164.1439
145.385754 71.290 164.1102
145.751965 71.282 164.0763
146.118176 71.275 164.0419
146.484387 71.267 164.0071
146.850598 71.260 163.9718
147.216809 71.252 163.9363
147.583020 71.244 163.9009
147.949231 71.236 163.8655
