* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2023 7:09:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MDR-EX800ST Stock Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.635 158.7395
0.732422 58.777 137.2517
1.098633 55.286 114.9175
1.464844 49.056 88.7749
1.831055 36.515 19.7513
2.197266 41.993 -89.4120
2.563477 43.430 -109.9097
2.929688 39.411 -96.9935
3.295899 42.589 -35.1726
3.662110 48.922 -28.5906
4.028321 52.198 -35.0752
4.394532 53.769 -41.5393
4.760743 54.465 -44.5713
5.126954 55.007 -43.7128
5.493164 55.870 -41.5969
5.859375 56.969 -41.3906
6.225586 57.964 -43.6505
6.591797 58.688 -47.1205
6.958008 59.181 -50.4845
7.324219 59.589 -53.1581
7.690430 60.039 -55.3861
8.056641 60.564 -57.7733
8.422852 61.110 -60.6429
8.789063 61.617 -63.8449
9.155274 62.069 -67.0179
9.521485 62.487 -69.9055
9.887696 62.899 -72.4817
10.253907 63.246 -74.8681
10.620118 63.560 -77.1778
10.986329 63.857 -79.4351
11.352540 64.127 -81.6067
11.718751 64.367 -83.6632
12.084962 64.578 -85.5986
12.451173 64.761 -87.4102
12.817384 64.965 -89.0832
13.183595 65.155 -90.6101
13.549806 65.335 -92.0215
13.916017 65.510 -93.3881
14.282228 65.678 -94.7824
14.648439 65.833 -96.2332
15.014650 65.969 -97.7158
15.380861 66.089 -99.1845
15.747072 66.199 -100.6121
16.113283 66.310 -102.0042
16.479493 66.430 -103.3824
16.845704 66.549 -104.7594
17.211915 66.665 -106.1311
17.578126 66.776 -107.4832
17.944337 66.881 -108.7986
18.310548 66.981 -110.0573
18.676759 67.077 -111.2372
19.042970 67.173 -112.3301
19.409181 67.274 -113.3607
19.775392 67.380 -114.3853
20.141603 67.485 -115.4546
20.507814 67.575 -116.5641
20.874025 67.641 -117.6394
21.240236 67.687 -118.5792
21.606447 67.729 -119.3341
21.972658 67.785 -119.9606
22.338869 67.863 -120.5967
22.705080 67.951 -121.3665
23.071291 68.027 -122.2912
23.437502 68.077 -123.2788
23.803713 68.102 -124.1967
24.169924 68.117 -124.9671
24.536135 68.141 -125.6146
24.902346 68.180 -126.2328
25.268557 68.228 -126.9000
25.634768 68.274 -127.6180
26.000979 68.310 -128.3230
26.367190 68.344 -128.9511
26.733401 68.385 -129.4986
27.099612 68.441 -130.0296
27.465823 68.507 -130.6259
27.832033 68.572 -131.3235
28.198244 68.622 -132.0858
28.564455 68.652 -132.8304
28.930666 68.667 -133.4803
29.296877 68.679 -134.0074
29.663088 68.696 -134.4399
30.029299 68.724 -134.8375
30.395510 68.759 -135.2539
30.761721 68.795 -135.7123
31.127932 68.827 -136.2047
31.494143 68.853 -136.7070
31.860354 68.873 -137.1973
32.226565 68.889 -137.6652
32.592776 68.904 -138.1117
32.958987 68.920 -138.5423
33.325198 68.936 -138.9621
33.691409 68.952 -139.3739
34.057620 68.970 -139.7807
34.423831 68.989 -140.1864
34.790042 69.008 -140.5949
35.156253 69.027 -141.0054
35.522464 69.044 -141.4113
35.888675 69.060 -141.8048
36.254886 69.076 -142.1854
36.621097 69.094 -142.5645
36.987308 69.112 -142.9590
37.353519 69.126 -143.3743
37.719730 69.131 -143.7902
38.085941 69.127 -144.1618
38.452152 69.119 -144.4442
38.818363 69.116 -144.6253
39.184573 69.129 -144.7475
39.550784 69.161 -144.8950
39.916995 69.207 -145.1505
40.283206 69.252 -145.5481
40.649417 69.283 -146.0538
41.015628 69.294 -146.5851
41.381839 69.287 -147.0552
41.748050 69.273 -147.4160
42.114261 69.263 -147.6761
42.480472 69.264 -147.8853
42.846683 69.276 -148.1015
43.212894 69.294 -148.3588
43.579105 69.310 -148.6572
43.945316 69.322 -148.9732
44.311527 69.329 -149.2785
44.677738 69.333 -149.5555
45.043949 69.338 -149.8032
45.410160 69.346 -150.0329
45.776371 69.356 -150.2606
46.142582 69.367 -150.4982
46.508793 69.378 -150.7485
46.875004 69.386 -151.0045
47.241215 69.392 -151.2542
47.607426 69.396 -151.4879
47.973637 69.400 -151.7045
48.339848 69.406 -151.9119
48.706059 69.413 -152.1220
49.072270 69.421 -152.3430
49.438481 69.428 -152.5736
49.804692 69.434 -152.8055
50.170902 69.438 -153.0289
50.537113 69.442 -153.2394
50.903324 69.447 -153.4400
51.269535 69.454 -153.6382
51.635746 69.462 -153.8397
52.001957 69.470 -154.0453
52.368168 69.478 -154.2515
52.734379 69.486 -154.4549
53.100590 69.494 -154.6559
53.466801 69.502 -154.8582
53.833012 69.510 -155.0644
54.199223 69.515 -155.2721
54.565434 69.519 -155.4733
54.931645 69.521 -155.6590
55.297856 69.524 -155.8265
55.664067 69.527 -155.9830
56.030278 69.533 -156.1416
56.396489 69.538 -156.3115
56.762700 69.541 -156.4900
57.128911 69.541 -156.6615
57.495122 69.539 -156.8078
57.861333 69.538 -156.9224
58.227544 69.541 -157.0179
58.593755 69.551 -157.1219
58.959966 69.564 -157.2616
59.326177 69.577 -157.4466
59.692388 69.585 -157.6636
60.058599 69.586 -157.8840
60.424810 69.582 -158.0814
60.791021 69.577 -158.2457
61.157232 69.575 -158.3851
61.523442 69.575 -158.5177
61.889653 69.577 -158.6570
62.255864 69.580 -158.8044
62.622075 69.581 -158.9521
62.988286 69.583 -159.0921
63.354497 69.585 -159.2239
63.720708 69.588 -159.3552
64.086919 69.592 -159.4943
64.453130 69.596 -159.6430
64.819341 69.599 -159.7950
65.185552 69.600 -159.9411
65.551763 69.601 -160.0770
65.917974 69.603 -160.2060
66.284185 69.605 -160.3356
66.650396 69.608 -160.4706
67.016607 69.609 -160.6090
67.382818 69.610 -160.7439
67.749029 69.610 -160.8700
68.115240 69.610 -160.9883
68.481451 69.611 -161.1050
68.847662 69.613 -161.2257
69.213873 69.614 -161.3507
69.580084 69.615 -161.4741
69.946295 69.614 -161.5894
70.312506 69.614 -161.6952
70.678717 69.615 -161.7962
71.044928 69.618 -161.8999
71.411139 69.621 -162.0106
71.777350 69.623 -162.1268
72.143561 69.624 -162.2432
72.509771 69.624 -162.3550
72.875982 69.624 -162.4610
73.242193 69.624 -162.5622
73.608404 69.624 -162.6596
73.974615 69.624 -162.7520
74.340826 69.624 -162.8377
74.707037 69.624 -162.9180
75.073248 69.627 -162.9991
75.439459 69.631 -163.0900
75.805670 69.635 -163.1972
76.171881 69.637 -163.3199
76.538092 69.636 -163.4487
76.904303 69.632 -163.5705
77.270514 69.626 -163.6747
77.636725 69.621 -163.7591
78.002936 69.618 -163.8313
78.369147 69.618 -163.9042
78.735358 69.620 -163.9890
79.101569 69.623 -164.0905
79.467780 69.625 -164.2049
79.833991 69.625 -164.3239
80.200202 69.624 -164.4396
80.566413 69.623 -164.5484
80.932624 69.622 -164.6515
81.298835 69.622 -164.7517
81.665046 69.622 -164.8503
82.031257 69.622 -164.9463
82.397468 69.623 -165.0376
82.763679 69.623 -165.1243
83.129890 69.625 -165.2090
83.496101 69.628 -165.2957
83.862311 69.630 -165.3864
84.228522 69.632 -165.4804
84.594733 69.634 -165.5746
84.960944 69.634 -165.6667
85.327155 69.635 -165.7567
85.693366 69.635 -165.8466
86.059577 69.634 -165.9375
86.425788 69.632 -166.0272
86.791999 69.629 -166.1103
87.158210 69.626 -166.1820
87.524421 69.623 -166.2419
87.890632 69.622 -166.2958
88.256843 69.623 -166.3534
88.623054 69.626 -166.4228
88.989265 69.628 -166.5067
89.355476 69.629 -166.6003
89.721687 69.629 -166.6950
90.087898 69.627 -166.7833
90.454109 69.625 -166.8630
90.820320 69.624 -166.9374
91.186531 69.623 -167.0125
91.552742 69.623 -167.0920
91.918953 69.623 -167.1754
92.285164 69.621 -167.2579
92.651375 69.619 -167.3349
93.017586 69.617 -167.4045
93.383797 69.616 -167.4689
93.750008 69.615 -167.5327
94.116219 69.615 -167.5996
94.482430 69.615 -167.6700
94.848641 69.614 -167.7420
95.214851 69.613 -167.8125
95.581062 69.611 -167.8803
95.947273 69.610 -167.9461
96.313484 69.609 -168.0115
96.679695 69.609 -168.0776
97.045906 69.608 -168.1442
97.412117 69.607 -168.2105
97.778328 69.606 -168.2758
98.144539 69.606 -168.3407
98.510750 69.605 -168.4060
98.876961 69.605 -168.4719
99.243172 69.604 -168.5377
99.609383 69.603 -168.6022
99.975594 69.603 -168.6647
100.341805 69.602 -168.7260
100.708016 69.601 -168.7873
101.074227 69.601 -168.8501
101.440438 69.600 -168.9144
101.806649 69.599 -168.9790
102.172860 69.598 -169.0422
102.539071 69.596 -169.1023
102.905282 69.594 -169.1590
103.271493 69.592 -169.2133
103.637704 69.591 -169.2666
104.003915 69.590 -169.3208
104.370126 69.590 -169.3772
104.736337 69.589 -169.4365
105.102548 69.588 -169.4981
105.468759 69.587 -169.5608
105.834970 69.586 -169.6228
106.201180 69.584 -169.6824
106.567391 69.583 -169.7389
106.933602 69.582 -169.7924
107.299813 69.581 -169.8443
107.666024 69.580 -169.8963
108.032235 69.581 -169.9495
108.398446 69.581 -170.0045
108.764657 69.581 -170.0607
109.130868 69.581 -170.1174
109.497079 69.580 -170.1738
109.863290 69.580 -170.2299
110.229501 69.579 -170.2855
110.595712 69.578 -170.3402
110.961923 69.576 -170.3934
111.328134 69.574 -170.4442
111.694345 69.572 -170.4922
112.060556 69.570 -170.5383
112.426767 69.569 -170.5836
112.792978 69.568 -170.6297
113.159189 69.566 -170.6774
113.525400 69.565 -170.7264
113.891611 69.563 -170.7758
114.257822 69.561 -170.8246
114.624033 69.560 -170.8726
114.990244 69.558 -170.9202
115.356455 69.557 -170.9682
115.722666 69.555 -171.0170
116.088877 69.554 -171.0668
116.455088 69.553 -171.1175
116.821299 69.552 -171.1688
117.187510 69.551 -171.2205
117.553720 69.550 -171.2723
117.919931 69.549 -171.3234
118.286142 69.548 -171.3728
118.652353 69.546 -171.4201
119.018564 69.545 -171.4658
119.384775 69.545 -171.5110
119.750986 69.544 -171.5570
120.117197 69.543 -171.6043
120.483408 69.543 -171.6523
120.849619 69.541 -171.6997
121.215830 69.540 -171.7455
121.582041 69.539 -171.7895
121.948252 69.537 -171.8324
122.314463 69.536 -171.8752
122.680674 69.535 -171.9187
123.046885 69.534 -171.9627
123.413096 69.533 -172.0067
123.779307 69.532 -172.0502
124.145518 69.530 -172.0936
124.511729 69.529 -172.1371
124.877940 69.528 -172.1813
125.244151 69.528 -172.2258
125.610362 69.527 -172.2699
125.976573 69.526 -172.3125
126.342784 69.525 -172.3536
126.708995 69.525 -172.3934
127.075206 69.525 -172.4327
127.441417 69.525 -172.4723
127.807628 69.525 -172.5124
128.173839 69.525 -172.5530
128.540049 69.525 -172.5939
128.906260 69.524 -172.6352
129.272471 69.524 -172.6768
129.638682 69.524 -172.7187
130.004893 69.523 -172.7601
130.371104 69.522 -172.8005
130.737315 69.522 -172.8391
131.103526 69.521 -172.8762
131.469737 69.520 -172.9126
131.835948 69.520 -172.9497
132.202159 69.520 -172.9883
132.568370 69.520 -173.0286
132.934581 69.519 -173.0696
133.300792 69.519 -173.1103
133.667003 69.518 -173.1498
134.033214 69.517 -173.1880
134.399425 69.517 -173.2256
134.765636 69.516 -173.2634
135.131847 69.516 -173.3016
135.498058 69.516 -173.3398
135.864269 69.515 -173.3775
136.230480 69.515 -173.4140
136.596691 69.514 -173.4496
136.962902 69.514 -173.4846
137.329113 69.514 -173.5195
137.695324 69.513 -173.5542
138.061535 69.513 -173.5883
138.427746 69.513 -173.6211
138.793957 69.513 -173.6525
139.160168 69.513 -173.6831
139.526379 69.513 -173.7140
139.892589 69.513 -173.7460
140.258800 69.513 -173.7794
140.625011 69.514 -173.8135
140.991222 69.513 -173.8474
141.357433 69.513 -173.8802
141.723644 69.513 -173.9118
142.089855 69.513 -173.9429
142.456066 69.513 -173.9745
142.822277 69.513 -174.0072
