* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2023 7:08:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MDR-EX800ST Stock Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.889 -21.9453
0.732422 62.005 -43.5943
1.098633 58.369 -64.2573
1.464844 51.296 -80.3173
1.831055 38.724 11.0421
2.197266 50.630 32.9066
2.563477 53.462 15.5654
2.929688 53.383 -3.0123
3.295899 51.403 -18.1121
3.662110 48.134 -21.5780
4.028321 46.654 -5.7215
4.394532 49.067 0.5715
4.760743 51.588 -10.2136
5.126954 53.223 -25.7887
5.493164 54.121 -39.7674
5.859375 54.580 -48.9765
6.225586 55.066 -52.5975
6.591797 55.997 -53.0838
6.958008 57.283 -54.1680
7.324219 58.519 -57.0587
7.690430 59.462 -60.7225
8.056641 60.119 -63.8498
8.422852 60.627 -65.8556
8.789063 61.126 -67.0772
9.155274 61.652 -68.2930
9.521485 62.150 -69.9712
9.887696 62.554 -72.0162
10.253907 62.790 -74.0774
10.620118 62.939 -75.9351
10.986329 63.082 -77.6460
11.352540 63.238 -79.4112
11.718751 63.396 -81.3548
12.084962 63.543 -83.4425
12.451173 63.680 -85.5689
12.817384 63.862 -87.6706
13.183595 64.054 -89.7483
13.549806 64.244 -91.8063
13.916017 64.427 -93.8036
14.282228 64.602 -95.6753
14.648439 64.774 -97.3926
15.014650 64.948 -98.9876
15.380861 65.120 -100.5118
15.747072 65.282 -101.9779
16.113283 65.431 -103.3509
16.479493 65.575 -104.5966
16.845704 65.715 -105.7347
17.211915 65.852 -106.8359
17.578126 65.980 -107.9630
17.944337 66.088 -109.1166
18.310548 66.175 -110.2414
18.676759 66.245 -111.2841
19.042970 66.311 -112.2457
19.409181 66.381 -113.1783
19.775392 66.451 -114.1320
20.141603 66.520 -115.1089
20.507814 66.587 -116.0729
20.874025 66.656 -117.0020
21.240236 66.736 -117.9281
21.606447 66.825 -118.9186
21.972658 66.910 -120.0124
22.338869 66.979 -121.1698
22.705080 67.023 -122.2835
23.071291 67.051 -123.2447
23.437502 67.079 -124.0135
23.803713 67.121 -124.6430
24.169924 67.181 -125.2361
24.536135 67.250 -125.8739
24.902346 67.317 -126.5710
25.268557 67.374 -127.2884
25.634768 67.420 -127.9801
26.000979 67.461 -128.6298
26.367190 67.499 -129.2522
26.733401 67.535 -129.8667
27.099612 67.566 -130.4735
27.465823 67.592 -131.0577
27.832033 67.618 -131.6121
28.198244 67.647 -132.1553
28.564455 67.679 -132.7212
28.930666 67.708 -133.3273
29.296877 67.730 -133.9507
29.663088 67.742 -134.5396
30.029299 67.752 -135.0526
30.395510 67.769 -135.4962
30.761721 67.798 -135.9252
31.127932 67.834 -136.3996
31.494143 67.868 -136.9355
31.860354 67.892 -137.4911
32.226565 67.906 -138.0022
32.592776 67.919 -138.4384
32.958987 67.939 -138.8301
33.325198 67.966 -139.2413
33.691409 67.991 -139.7094
34.057620 68.004 -140.2057
34.423831 68.004 -140.6519
34.790042 67.999 -140.9844
35.156253 68.004 -141.2126
35.522464 68.028 -141.4228
35.888675 68.067 -141.7186
36.254886 68.105 -142.1426
36.621097 68.129 -142.6467
36.987308 68.135 -143.1290
37.353519 68.133 -143.5098
37.719730 68.138 -143.7901
38.085941 68.159 -144.0481
38.452152 68.192 -144.3788
38.818363 68.222 -144.8204
39.184573 68.237 -145.3265
39.550784 68.233 -145.7990
39.916995 68.218 -146.1542
40.283206 68.208 -146.3769
40.649417 68.212 -146.5263
41.015628 68.233 -146.6914
41.381839 68.261 -146.9320
41.748050 68.285 -147.2466
42.114261 68.299 -147.5876
42.480472 68.306 -147.9037
42.846683 68.311 -148.1764
43.212894 68.319 -148.4260
43.579105 68.330 -148.6865
43.945316 68.341 -148.9742
44.311527 68.347 -149.2749
44.677738 68.348 -149.5583
45.043949 68.348 -149.8043
45.410160 68.352 -150.0200
45.776371 68.360 -150.2330
46.142582 68.373 -150.4694
46.508793 68.384 -150.7329
46.875004 68.391 -151.0042
47.241215 68.394 -151.2569
47.607426 68.397 -151.4778
47.973637 68.403 -151.6761
48.339848 68.413 -151.8738
48.706059 68.426 -152.0894
49.072270 68.436 -152.3245
49.438481 68.444 -152.5656
49.804692 68.448 -152.7952
50.170902 68.451 -153.0048
50.537113 68.455 -153.1980
50.903324 68.461 -153.3851
51.269535 68.467 -153.5735
51.635746 68.473 -153.7631
52.001957 68.478 -153.9497
52.368168 68.485 -154.1323
52.734379 68.492 -154.3163
53.100590 68.501 -154.5106
53.466801 68.508 -154.7186
53.833012 68.514 -154.9338
54.199223 68.516 -155.1425
54.565434 68.517 -155.3333
54.931645 68.519 -155.5054
55.297856 68.523 -155.6689
55.664067 68.528 -155.8356
56.030278 68.533 -156.0085
56.396489 68.536 -156.1787
56.762700 68.539 -156.3332
57.128911 68.543 -156.4681
57.495122 68.551 -156.5961
57.861333 68.562 -156.7410
58.227544 68.575 -156.9221
58.593755 68.584 -157.1390
58.959966 68.586 -157.3692
59.326177 68.581 -157.5793
59.692388 68.571 -157.7437
60.058599 68.563 -157.8580
60.424810 68.560 -157.9403
60.791021 68.563 -158.0185
61.157232 68.570 -158.1159
61.523442 68.579 -158.2412
61.889653 68.587 -158.3892
62.255864 68.592 -158.5478
62.622075 68.595 -158.7059
62.988286 68.597 -158.8571
63.354497 68.597 -158.9998
63.720708 68.597 -159.1348
64.086919 68.598 -159.2645
64.453130 68.599 -159.3916
64.819341 68.601 -159.5194
65.185552 68.603 -159.6495
65.551763 68.605 -159.7818
65.917974 68.606 -159.9137
66.284185 68.607 -160.0425
66.650396 68.608 -160.1670
67.016607 68.609 -160.2884
67.382818 68.610 -160.4092
67.749029 68.612 -160.5310
68.115240 68.613 -160.6533
68.481451 68.614 -160.7736
68.847662 68.614 -160.8888
69.213873 68.615 -160.9975
69.580084 68.616 -161.1010
69.946295 68.617 -161.2034
70.312506 68.620 -161.3088
70.678717 68.622 -161.4198
71.044928 68.623 -161.5345
71.411139 68.623 -161.6478
71.777350 68.621 -161.7531
72.143561 68.619 -161.8477
72.509771 68.618 -161.9343
72.875982 68.618 -162.0204
73.242193 68.619 -162.1132
73.608404 68.619 -162.2141
73.974615 68.617 -162.3172
74.340826 68.614 -162.4134
74.707037 68.611 -162.4968
75.073248 68.609 -162.5702
75.439459 68.610 -162.6437
75.805670 68.613 -162.7283
76.171881 68.617 -162.8295
76.538092 68.619 -162.9441
76.904303 68.620 -163.0643
77.270514 68.620 -163.1832
77.636725 68.620 -163.2987
78.002936 68.619 -163.4118
78.369147 68.618 -163.5225
78.735358 68.616 -163.6265
79.101569 68.614 -163.7177
79.467780 68.613 -163.7930
79.833991 68.614 -163.8571
80.200202 68.619 -163.9218
80.566413 68.625 -163.9999
80.932624 68.632 -164.0982
81.298835 68.637 -164.2127
81.665046 68.638 -164.3310
82.031257 68.636 -164.4389
82.397468 68.633 -164.5277
82.763679 68.630 -164.5974
83.129890 68.629 -164.6556
83.496101 68.629 -164.7124
83.862311 68.631 -164.7759
84.228522 68.634 -164.8496
84.594733 68.636 -164.9328
84.960944 68.637 -165.0222
85.327155 68.636 -165.1135
85.693366 68.635 -165.2027
86.059577 68.633 -165.2862
86.425788 68.632 -165.3629
86.791999 68.631 -165.4345
87.158210 68.632 -165.5056
87.524421 68.633 -165.5819
87.890632 68.636 -165.6671
88.256843 68.637 -165.7607
88.623054 68.638 -165.8578
88.989265 68.637 -165.9514
89.355476 68.635 -166.0364
89.721687 68.633 -166.1114
90.087898 68.632 -166.1793
90.454109 68.632 -166.2449
90.820320 68.632 -166.3115
91.186531 68.632 -166.3800
91.552742 68.632 -166.4485
91.918953 68.632 -166.5146
92.285164 68.631 -166.5770
92.651375 68.630 -166.6366
93.017586 68.630 -166.6953
93.383797 68.629 -166.7548
93.750008 68.629 -166.8159
94.116219 68.629 -166.8779
94.482430 68.628 -166.9394
94.848641 68.627 -166.9999
95.214851 68.627 -167.0593
95.581062 68.626 -167.1186
95.947273 68.626 -167.1787
96.313484 68.626 -167.2406
96.679695 68.626 -167.3045
97.045906 68.626 -167.3702
97.412117 68.626 -167.4371
97.778328 68.626 -167.5045
98.144539 68.625 -167.5713
98.510750 68.624 -167.6365
98.876961 68.623 -167.6996
99.243172 68.622 -167.7605
99.609383 68.621 -167.8195
99.975594 68.620 -167.8771
100.341805 68.619 -167.9336
100.708016 68.618 -167.9891
101.074227 68.617 -168.0437
101.440438 68.617 -168.0979
101.806649 68.617 -168.1524
102.172860 68.617 -168.2082
102.539071 68.616 -168.2657
102.905282 68.616 -168.3250
103.271493 68.615 -168.3850
103.637704 68.614 -168.4443
104.003915 68.613 -168.5018
104.370126 68.612 -168.5573
104.736337 68.611 -168.6111
105.102548 68.610 -168.6641
105.468759 68.609 -168.7172
105.834970 68.609 -168.7708
106.201180 68.608 -168.8249
106.567391 68.608 -168.8790
106.933602 68.608 -168.9333
107.299813 68.608 -168.9876
107.666024 68.607 -169.0418
108.032235 68.607 -169.0955
108.398446 68.606 -169.1479
108.764657 68.605 -169.1983
109.130868 68.604 -169.2464
109.497079 68.604 -169.2927
109.863290 68.603 -169.3382
110.229501 68.603 -169.3836
110.595712 68.602 -169.4289
110.961923 68.601 -169.4738
111.328134 68.601 -169.5177
111.694345 68.600 -169.5608
112.060556 68.599 -169.6037
112.426767 68.599 -169.6473
112.792978 68.598 -169.6922
113.159189 68.598 -169.7389
113.525400 68.597 -169.7873
113.891611 68.597 -169.8375
114.257822 68.596 -169.8895
114.624033 68.595 -169.9430
114.990244 68.593 -169.9971
115.356455 68.591 -170.0502
115.722666 68.588 -170.1004
116.088877 68.586 -170.1466
116.455088 68.583 -170.1886
116.821299 68.581 -170.2276
117.187510 68.580 -170.2656
117.553720 68.579 -170.3040
117.919931 68.578 -170.3438
118.286142 68.578 -170.3848
118.652353 68.578 -170.4266
119.018564 68.577 -170.4689
119.384775 68.577 -170.5114
119.750986 68.576 -170.5542
120.117197 68.576 -170.5973
120.483408 68.575 -170.6402
120.849619 68.575 -170.6829
121.215830 68.574 -170.7250
121.582041 68.573 -170.7667
121.948252 68.572 -170.8083
122.314463 68.571 -170.8498
122.680674 68.569 -170.8910
123.046885 68.568 -170.9314
123.413096 68.566 -170.9703
123.779307 68.565 -171.0069
124.145518 68.563 -171.0414
124.511729 68.563 -171.0747
124.877940 68.563 -171.1081
125.244151 68.563 -171.1434
125.610362 68.564 -171.1814
125.976573 68.564 -171.2221
126.342784 68.565 -171.2643
126.708995 68.565 -171.3062
127.075206 68.564 -171.3460
127.441417 68.564 -171.3828
127.807628 68.564 -171.4169
128.173839 68.564 -171.4492
128.540049 68.564 -171.4813
128.906260 68.565 -171.5144
129.272471 68.565 -171.5492
129.638682 68.566 -171.5855
130.004893 68.566 -171.6228
130.371104 68.566 -171.6606
130.737315 68.566 -171.6979
131.103526 68.566 -171.7345
131.469737 68.566 -171.7701
131.835948 68.566 -171.8049
132.202159 68.566 -171.8393
132.568370 68.566 -171.8740
132.934581 68.566 -171.9095
133.300792 68.566 -171.9460
133.667003 68.566 -171.9833
134.033214 68.566 -172.0207
134.399425 68.565 -172.0573
134.765636 68.565 -172.0925
135.131847 68.564 -172.1257
135.498058 68.564 -172.1568
135.864269 68.563 -172.1862
136.230480 68.563 -172.2144
136.596691 68.563 -172.2421
136.962902 68.564 -172.2699
137.329113 68.564 -172.2986
137.695324 68.565 -172.3287
138.061535 68.566 -172.3605
138.427746 68.566 -172.3940
138.793957 68.567 -172.4288
139.160168 68.567 -172.4643
139.526379 68.567 -172.4998
139.892589 68.567 -172.5344
140.258800 68.566 -172.5678
140.625011 68.566 -172.6001
140.991222 68.565 -172.6313
141.357433 68.565 -172.6618
141.723644 68.564 -172.6916
142.089855 68.564 -172.7207
142.456066 68.564 -172.7494
142.822277 68.564 -172.7777
