* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2023 6:59:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MDR-EX800ST TV Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.110 171.1770
0.732422 57.341 159.8684
1.098633 55.619 143.4327
1.464844 52.509 115.8270
1.831055 49.670 60.9233
2.197266 52.522 4.2225
2.563477 56.047 -23.1941
2.929688 58.225 -36.9475
3.295899 59.613 -42.9924
3.662110 60.878 -44.0934
4.028321 62.381 -43.9043
4.394532 63.989 -45.3480
4.760743 65.413 -48.8162
5.126954 66.518 -53.2530
5.493164 67.339 -57.5375
5.859375 67.996 -61.0866
6.225586 68.617 -63.9970
6.591797 69.258 -66.7909
6.958008 69.895 -69.9034
7.324219 70.475 -73.3693
7.690430 70.970 -76.9188
8.056641 71.393 -80.2576
8.422852 71.780 -83.2733
8.789063 72.161 -86.0565
9.155274 72.537 -88.7638
9.521485 72.893 -91.4660
9.887696 73.211 -94.1120
10.253907 73.422 -96.6061
10.620118 73.577 -98.9032
10.986329 73.720 -101.0381
11.352540 73.853 -103.0809
11.718751 73.972 -105.0725
12.084962 74.070 -107.0032
12.451173 74.149 -108.8425
12.817384 74.261 -110.5796
13.183595 74.371 -112.2364
13.549806 74.473 -113.8463
13.916017 74.563 -115.4268
14.282228 74.643 -116.9743
14.648439 74.713 -118.4799
15.014650 74.777 -119.9455
15.380861 74.835 -121.3826
15.747072 74.889 -122.7983
16.113283 74.940 -124.1845
16.479493 74.995 -125.5241
16.845704 75.048 -126.8061
17.211915 75.099 -128.0349
17.578126 75.151 -129.2245
17.944337 75.201 -130.3865
18.310548 75.248 -131.5219
18.676759 75.292 -132.6241
19.042970 75.331 -133.6871
19.409181 75.366 -134.7095
19.775392 75.398 -135.6925
20.141603 75.427 -136.6365
20.507814 75.455 -137.5426
20.874025 75.482 -138.4167
21.240236 75.508 -139.2708
21.606447 75.532 -140.1176
21.972658 75.552 -140.9620
22.338869 75.568 -141.7985
22.705080 75.579 -142.6155
23.071291 75.587 -143.4053
23.437502 75.595 -144.1695
23.803713 75.603 -144.9165
24.169924 75.611 -145.6538
24.536135 75.619 -146.3822
24.902346 75.626 -147.0975
25.268557 75.633 -147.7955
25.634768 75.641 -148.4778
26.000979 75.650 -149.1499
26.367190 75.658 -149.8159
26.733401 75.663 -150.4719
27.099612 75.665 -151.1052
27.465823 75.666 -151.7015
27.832033 75.666 -152.2562
28.198244 75.670 -152.7814
28.564455 75.679 -153.3027
28.930666 75.689 -153.8448
29.296877 75.696 -154.4164
29.663088 75.698 -155.0026
30.029299 75.691 -155.5747
30.395510 75.680 -156.1082
30.761721 75.669 -156.5987
31.127932 75.660 -157.0633
31.494143 75.655 -157.5267
31.860354 75.651 -158.0040
32.226565 75.645 -158.4928
32.592776 75.637 -158.9801
32.958987 75.628 -159.4554
33.325198 75.620 -159.9180
33.691409 75.612 -160.3737
34.057620 75.604 -160.8259
34.423831 75.596 -161.2707
34.790042 75.587 -161.7006
35.156253 75.580 -162.1137
35.522464 75.574 -162.5168
35.888675 75.571 -162.9205
36.254886 75.567 -163.3304
36.621097 75.562 -163.7421
36.987308 75.555 -164.1463
37.353519 75.547 -164.5370
37.719730 75.539 -164.9163
38.085941 75.531 -165.2910
38.452152 75.522 -165.6644
38.818363 75.511 -166.0319
39.184573 75.500 -166.3848
39.550784 75.488 -166.7182
39.916995 75.478 -167.0375
40.283206 75.472 -167.3562
40.649417 75.469 -167.6877
41.015628 75.465 -168.0369
41.381839 75.459 -168.3974
41.748050 75.450 -168.7563
42.114261 75.439 -169.1026
42.480472 75.428 -169.4325
42.846683 75.418 -169.7502
43.212894 75.410 -170.0632
43.579105 75.402 -170.3776
43.945316 75.393 -170.6942
44.311527 75.384 -171.0094
44.677738 75.374 -171.3187
45.043949 75.364 -171.6192
45.410160 75.353 -171.9117
45.776371 75.343 -172.1992
46.142582 75.334 -172.4847
46.508793 75.324 -172.7685
46.875004 75.313 -173.0490
47.241215 75.302 -173.3241
47.607426 75.292 -173.5933
47.973637 75.282 -173.8588
48.339848 75.273 -174.1241
48.706059 75.264 -174.3919
49.072270 75.255 -174.6624
49.438481 75.246 -174.9332
49.804692 75.236 -175.2016
50.170902 75.226 -175.4659
50.537113 75.216 -175.7263
50.903324 75.206 -175.9840
51.269535 75.197 -176.2397
51.635746 75.186 -176.4925
52.001957 75.176 -176.7400
52.368168 75.165 -176.9801
52.734379 75.155 -177.2129
53.100590 75.145 -177.4415
53.466801 75.136 -177.6705
53.833012 75.128 -177.9041
54.199223 75.119 -178.1425
54.565434 75.108 -178.3820
54.931645 75.096 -178.6163
55.297856 75.084 -178.8406
55.664067 75.072 -179.0551
56.030278 75.061 -179.2650
56.396489 75.051 -179.4778
56.762700 75.041 -179.6974
57.128911 75.030 -179.9213
57.495122 75.017 179.8593
57.861333 75.003 179.6535
58.227544 74.991 179.4644
58.593755 74.981 179.2854
58.959966 74.974 179.1023
59.326177 74.970 178.9012
59.692388 74.965 178.6767
60.058599 74.958 178.4353
60.424810 74.946 178.1924
60.791021 74.932 177.9641
61.157232 74.917 177.7592
61.523442 74.902 177.5757
61.889653 74.890 177.4037
62.255864 74.880 177.2318
62.622075 74.871 177.0527
62.988286 74.862 176.8658
63.354497 74.851 176.6755
63.720708 74.840 176.4871
64.086919 74.828 176.3040
64.453130 74.816 176.1258
64.819341 74.804 175.9500
65.185552 74.793 175.7740
65.551763 74.781 175.5964
65.917974 74.770 175.4178
66.284185 74.758 175.2395
66.650396 74.745 175.0626
67.016607 74.733 174.8873
67.382818 74.720 174.7131
67.749029 74.708 174.5399
68.115240 74.695 174.3684
68.481451 74.682 174.2000
68.847662 74.669 174.0352
69.213873 74.657 173.8732
69.580084 74.645 173.7118
69.946295 74.634 173.5484
70.312506 74.622 173.3823
70.678717 74.611 173.2148
71.044928 74.599 173.0479
71.411139 74.588 172.8832
71.777350 74.576 172.7204
72.143561 74.564 172.5580
72.509771 74.552 172.3956
72.875982 74.540 172.2347
73.242193 74.527 172.0790
73.608404 74.514 171.9317
73.974615 74.501 171.7931
74.340826 74.490 171.6592
74.707037 74.480 171.5242
75.073248 74.470 171.3828
75.439459 74.461 171.2338
75.805670 74.450 171.0799
76.171881 74.438 170.9265
76.538092 74.425 170.7781
76.904303 74.412 170.6364
77.270514 74.398 170.5004
77.636725 74.385 170.3676
78.002936 74.373 170.2351
78.369147 74.361 170.1011
78.735358 74.349 169.9644
79.101569 74.337 169.8246
79.467780 74.324 169.6819
79.833991 74.311 169.5383
80.200202 74.298 169.3962
80.566413 74.284 169.2577
80.932624 74.271 169.1227
81.298835 74.258 168.9890
81.665046 74.246 168.8530
82.031257 74.234 168.7131
82.397468 74.221 168.5709
82.763679 74.207 168.4314
83.129890 74.193 168.2993
83.496101 74.179 168.1761
83.862311 74.167 168.0587
84.228522 74.156 167.9409
84.594733 74.145 167.8174
84.960944 74.135 167.6872
85.327155 74.125 167.5530
85.693366 74.113 167.4195
86.059577 74.101 167.2899
86.425788 74.089 167.1645
86.791999 74.077 167.0414
87.158210 74.065 166.9191
87.524421 74.053 166.7976
87.890632 74.040 166.6785
88.256843 74.028 166.5630
88.623054 74.016 166.4504
88.989265 74.004 166.3386
89.355476 73.993 166.2253
89.721687 73.982 166.1096
90.087898 73.970 165.9929
90.454109 73.958 165.8776
90.820320 73.945 165.7655
91.186531 73.933 165.6566
91.552742 73.921 165.5497
91.918953 73.909 165.4435
92.285164 73.897 165.3370
92.651375 73.885 165.2305
93.017586 73.873 165.1243
93.383797 73.861 165.0188
93.750008 73.849 164.9137
94.116219 73.838 164.8087
94.482430 73.826 164.7036
94.848641 73.814 164.5981
95.214851 73.802 164.4924
95.581062 73.790 164.3866
95.947273 73.778 164.2808
96.313484 73.766 164.1754
96.679695 73.754 164.0712
97.045906 73.742 163.9687
97.412117 73.729 163.8680
97.778328 73.717 163.7686
98.144539 73.705 163.6696
98.510750 73.694 163.5702
98.876961 73.682 163.4702
99.243172 73.670 163.3702
99.609383 73.658 163.2712
99.975594 73.646 163.1741
100.341805 73.634 163.0789
100.708016 73.622 162.9852
101.074227 73.611 162.8922
101.440438 73.599 162.7989
101.806649 73.588 162.7050
102.172860 73.576 162.6104
102.539071 73.565 162.5157
102.905282 73.554 162.4214
103.271493 73.542 162.3274
103.637704 73.531 162.2335
104.003915 73.519 162.1392
104.370126 73.508 162.0441
104.736337 73.496 161.9486
105.102548 73.484 161.8535
105.468759 73.472 161.7600
105.834970 73.459 161.6692
106.201180 73.447 161.5812
106.567391 73.434 161.4954
106.933602 73.423 161.4108
107.299813 73.411 161.3260
107.666024 73.399 161.2406
108.032235 73.388 161.1548
108.398446 73.376 161.0696
108.764657 73.363 160.9865
109.130868 73.351 160.9060
109.497079 73.339 160.8281
109.863290 73.327 160.7519
110.229501 73.316 160.6762
110.595712 73.304 160.6001
110.961923 73.293 160.5233
111.328134 73.281 160.4459
111.694345 73.270 160.3685
112.060556 73.258 160.2915
112.426767 73.247 160.2150
112.792978 73.235 160.1387
113.159189 73.224 160.0623
113.525400 73.213 159.9853
113.891611 73.201 159.9077
114.257822 73.190 159.8294
114.624033 73.178 159.7508
114.990244 73.166 159.6725
115.356455 73.154 159.5950
115.722666 73.142 159.5187
116.088877 73.131 159.4435
116.455088 73.119 159.3694
116.821299 73.107 159.2958
117.187510 73.095 159.2227
117.553720 73.084 159.1499
117.919931 73.072 159.0775
118.286142 73.061 159.0057
118.652353 73.050 158.9343
119.018564 73.039 158.8632
119.384775 73.027 158.7920
119.750986 73.016 158.7209
120.117197 73.005 158.6499
120.483408 72.994 158.5795
120.849619 72.982 158.5100
121.215830 72.971 158.4415
121.582041 72.960 158.3738
121.948252 72.949 158.3065
122.314463 72.938 158.2396
122.680674 72.927 158.1725
123.046885 72.916 158.1051
123.413096 72.905 158.0372
123.779307 72.894 157.9686
124.145518 72.884 157.8995
124.511729 72.873 157.8304
124.877940 72.862 157.7619
125.244151 72.852 157.6944
125.610362 72.841 157.6282
125.976573 72.831 157.5630
126.342784 72.821 157.4983
126.708995 72.811 157.4340
127.075206 72.801 157.3699
127.441417 72.791 157.3064
127.807628 72.781 157.2438
128.173839 72.771 157.1824
128.540049 72.761 157.1222
128.906260 72.751 157.0630
129.272471 72.741 157.0043
129.638682 72.731 156.9460
130.004893 72.722 156.8879
130.371104 72.712 156.8302
130.737315 72.702 156.7731
131.103526 72.692 156.7168
131.469737 72.683 156.6611
131.835948 72.673 156.6059
132.202159 72.663 156.5508
132.568370 72.654 156.4957
132.934581 72.644 156.4407
133.300792 72.635 156.3860
133.667003 72.625 156.3318
134.033214 72.616 156.2781
134.399425 72.606 156.2243
134.765636 72.597 156.1700
135.131847 72.587 156.1150
135.498058 72.578 156.0594
135.864269 72.569 156.0036
136.230480 72.559 155.9483
136.596691 72.549 155.8938
136.962902 72.539 155.8401
137.329113 72.530 155.7870
137.695324 72.520 155.7341
138.061535 72.510 155.6816
138.427746 72.500 155.6296
138.793957 72.491 155.5784
139.160168 72.481 155.5280
139.526379 72.472 155.4778
139.892589 72.462 155.4271
140.258800 72.453 155.3756
140.625011 72.444 155.3232
140.991222 72.434 155.2706
141.357433 72.425 155.2181
141.723644 72.415 155.1664
142.089855 72.405 155.1155
142.456066 72.396 155.0651
142.822277 72.386 155.0149
143.188488 72.377 154.9646
143.554699 72.367 154.9144
143.920910 72.358 154.8646
144.287121 72.349 154.8153
144.653332 72.339 154.7665
145.019543 72.330 154.7180
145.385754 72.321 154.6697
145.751965 72.312 154.6216
146.118176 72.303 154.5740
146.484387 72.294 154.5269
146.850598 72.285 154.4805
147.216809 72.277 154.4349
147.583020 72.268 154.3898
147.949231 72.260 154.3450
148.315442 72.251 154.3003
148.681653 72.243 154.2554
149.047864 72.234 154.2101
