* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 6:04:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MH755 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.049 164.0459
0.732422 68.382 147.5437
1.098633 65.221 128.9011
1.464844 59.641 100.2735
1.831055 54.628 20.3959
2.197266 60.443 -35.1024
2.563477 64.252 -51.5472
2.929688 66.546 -58.3580
3.295899 68.273 -61.3373
3.662110 69.803 -63.3089
4.028321 71.177 -65.8325
4.394532 72.333 -69.2409
4.760743 73.243 -73.1676
5.126954 73.937 -77.1202
5.493164 74.486 -80.7988
5.859375 74.963 -84.1861
6.225586 75.412 -87.4608
6.591797 75.844 -90.8137
6.958008 76.248 -94.3051
7.324219 76.612 -97.8529
7.690430 76.937 -101.3169
8.056641 77.234 -104.5910
8.422852 77.516 -107.6437
8.789063 77.790 -110.4986
9.155274 78.056 -113.1887
9.521485 78.309 -115.7268
9.887696 78.543 -118.1087
10.253907 78.687 -120.3332
10.620118 78.783 -122.4128
10.986329 78.863 -124.3658
11.352540 78.925 -126.2039
11.718751 78.970 -127.9299
12.084962 79.002 -129.5505
12.451173 79.026 -131.0886
12.817384 79.090 -132.5825
13.183595 79.154 -134.0682
13.549806 79.207 -135.5609
13.916017 79.247 -137.0513
14.282228 79.276 -138.5189
14.648439 79.298 -139.9508
15.014650 79.318 -141.3504
15.380861 79.337 -142.7306
15.747072 79.357 -144.0991
16.113283 79.381 -145.4506
16.479493 79.413 -146.7708
16.845704 79.445 -148.0475
17.211915 79.478 -149.2764
17.578126 79.511 -150.4610
17.944337 79.543 -151.6047
18.310548 79.574 -152.7056
18.676759 79.600 -153.7579
19.042970 79.624 -154.7570
19.409181 79.644 -155.7039
19.775392 79.661 -156.6059
20.141603 79.678 -157.4737
20.507814 79.692 -158.3174
20.874025 79.703 -159.1446
21.240236 79.710 -159.9595
21.606447 79.713 -160.7641
21.972658 79.711 -161.5588
22.338869 79.707 -162.3452
22.705080 79.700 -163.1259
23.071291 79.692 -163.9033
23.437502 79.682 -164.6775
23.803713 79.671 -165.4448
24.169924 79.660 -166.2008
24.536135 79.651 -166.9444
24.902346 79.643 -167.6803
25.268557 79.638 -168.4155
25.634768 79.632 -169.1513
26.000979 79.625 -169.8780
26.367190 79.614 -170.5783
26.733401 79.603 -171.2374
27.099612 79.593 -171.8542
27.465823 79.586 -172.4434
27.832033 79.581 -173.0254
28.198244 79.577 -173.6123
28.564455 79.568 -174.2000
28.930666 79.556 -174.7731
29.296877 79.539 -175.3179
29.663088 79.522 -175.8337
30.029299 79.506 -176.3327
30.395510 79.490 -176.8309
30.761721 79.474 -177.3363
31.127932 79.455 -177.8464
31.494143 79.435 -178.3530
31.860354 79.413 -178.8506
32.226565 79.391 -179.3403
32.592776 79.369 -179.8270
32.958987 79.347 179.6871
33.325198 79.325 179.2047
33.691409 79.302 178.7310
34.057620 79.280 178.2691
34.423831 79.259 177.8166
34.790042 79.239 177.3686
35.156253 79.219 176.9221
35.522464 79.198 176.4792
35.888675 79.176 176.0461
36.254886 79.153 175.6288
36.621097 79.130 175.2294
36.987308 79.107 174.8450
37.353519 79.085 174.4694
37.719730 79.065 174.0960
38.085941 79.044 173.7195
38.452152 79.023 173.3381
38.818363 79.000 172.9538
39.184573 78.975 172.5725
39.550784 78.948 172.2018
39.916995 78.920 171.8471
40.283206 78.894 171.5078
40.649417 78.870 171.1770
41.015628 78.847 170.8448
41.381839 78.825 170.5042
41.748050 78.803 170.1559
42.114261 78.779 169.8075
42.480472 78.753 169.4685
42.846683 78.727 169.1442
43.212894 78.702 168.8327
43.579105 78.678 168.5272
43.945316 78.654 168.2213
44.311527 78.631 167.9130
44.677738 78.606 167.6061
45.043949 78.581 167.3058
45.410160 78.555 167.0154
45.776371 78.529 166.7342
46.142582 78.503 166.4584
46.508793 78.479 166.1845
46.875004 78.453 165.9114
47.241215 78.428 165.6406
47.607426 78.402 165.3743
47.973637 78.377 165.1133
48.339848 78.352 164.8562
48.706059 78.328 164.5999
49.072270 78.303 164.3423
49.438481 78.279 164.0836
49.804692 78.254 163.8264
50.170902 78.228 163.5740
50.537113 78.202 163.3289
50.903324 78.177 163.0909
51.269535 78.151 162.8583
51.635746 78.126 162.6291
52.001957 78.102 162.4023
52.368168 78.077 162.1780
52.734379 78.052 161.9565
53.100590 78.028 161.7371
53.466801 78.003 161.5184
53.833012 77.978 161.2999
54.199223 77.953 161.0819
54.565434 77.928 160.8664
54.931645 77.902 160.6546
55.297856 77.876 160.4466
55.664067 77.851 160.2413
56.030278 77.825 160.0382
56.396489 77.799 159.8384
56.762700 77.773 159.6440
57.128911 77.748 159.4560
57.495122 77.723 159.2727
57.861333 77.699 159.0899
58.227544 77.676 158.9035
58.593755 77.653 158.7128
58.959966 77.628 158.5211
59.326177 77.603 158.3339
59.692388 77.577 158.1550
60.058599 77.551 157.9845
60.424810 77.525 157.8189
60.791021 77.501 157.6541
61.157232 77.476 157.4884
61.523442 77.451 157.3228
61.889653 77.426 157.1595
62.255864 77.401 156.9995
62.622075 77.375 156.8415
62.988286 77.351 156.6837
63.354497 77.325 156.5252
63.720708 77.300 156.3670
64.086919 77.274 156.2106
64.453130 77.249 156.0570
64.819341 77.224 155.9058
65.185552 77.199 155.7555
65.551763 77.174 155.6054
65.917974 77.149 155.4562
66.284185 77.124 155.3094
66.650396 77.099 155.1666
67.016607 77.074 155.0281
67.382818 77.050 154.8933
67.749029 77.025 154.7613
68.115240 77.001 154.6314
68.481451 76.977 154.5030
68.847662 76.953 154.3750
69.213873 76.929 154.2464
69.580084 76.905 154.1166
69.946295 76.880 153.9865
70.312506 76.855 153.8582
70.678717 76.829 153.7339
71.044928 76.803 153.6142
71.411139 76.778 153.4973
71.777350 76.754 153.3802
72.143561 76.729 153.2601
72.509771 76.704 153.1371
72.875982 76.679 153.0141
73.242193 76.653 152.8952
73.608404 76.627 152.7835
73.974615 76.602 152.6788
74.340826 76.578 152.5775
74.707037 76.556 152.4744
75.073248 76.534 152.3653
75.439459 76.512 152.2493
75.805670 76.490 152.1293
76.171881 76.466 152.0103
76.538092 76.441 151.8973
76.904303 76.416 151.7930
77.270514 76.392 151.6964
77.636725 76.368 151.6041
78.002936 76.345 151.5123
78.369147 76.322 151.4185
78.735358 76.300 151.3225
79.101569 76.277 151.2259
79.467780 76.253 151.1311
79.833991 76.230 151.0402
80.200202 76.206 150.9536
80.566413 76.183 150.8701
80.932624 76.160 150.7878
81.298835 76.138 150.7045
81.665046 76.116 150.6190
82.031257 76.094 150.5318
82.397468 76.071 150.4451
82.763679 76.048 150.3611
83.129890 76.025 150.2809
83.496101 76.003 150.2032
83.862311 75.981 150.1258
84.228522 75.959 150.0461
84.594733 75.937 149.9640
84.960944 75.915 149.8815
85.327155 75.893 149.8013
85.693366 75.871 149.7250
86.059577 75.849 149.6512
86.425788 75.828 149.5768
86.791999 75.807 149.4993
87.158210 75.786 149.4190
87.524421 75.764 149.3388
87.890632 75.742 149.2624
88.256843 75.720 149.1915
88.623054 75.699 149.1247
88.989265 75.678 149.0582
89.355476 75.658 148.9891
89.721687 75.637 148.9171
90.087898 75.616 148.8442
90.454109 75.595 148.7738
90.820320 75.573 148.7075
91.186531 75.551 148.6450
91.552742 75.530 148.5849
91.918953 75.508 148.5260
92.285164 75.487 148.4684
92.651375 75.466 148.4126
93.017586 75.444 148.3587
93.383797 75.423 148.3055
93.750008 75.402 148.2512
94.116219 75.382 148.1947
94.482430 75.361 148.1364
94.848641 75.339 148.0776
95.214851 75.318 148.0201
95.581062 75.297 147.9643
95.947273 75.275 147.9094
96.313484 75.254 147.8545
96.679695 75.234 147.7997
97.045906 75.213 147.7458
97.412117 75.192 147.6942
97.778328 75.172 147.6453
98.144539 75.152 147.5978
98.510750 75.133 147.5496
98.876961 75.115 147.4988
99.243172 75.096 147.4450
99.609383 75.077 147.3898
99.975594 75.058 147.3358
100.341805 75.039 147.2848
100.708016 75.019 147.2372
101.074227 75.000 147.1921
101.440438 74.981 147.1481
101.806649 74.962 147.1041
102.172860 74.942 147.0606
102.539071 74.923 147.0181
102.905282 74.903 146.9775
103.271493 74.883 146.9386
103.637704 74.863 146.9012
104.003915 74.844 146.8648
104.370126 74.824 146.8297
104.736337 74.804 146.7960
105.102548 74.785 146.7630
105.468759 74.766 146.7293
105.834970 74.747 146.6927
106.201180 74.729 146.6519
106.567391 74.710 146.6071
106.933602 74.691 146.5610
107.299813 74.672 146.5168
107.666024 74.652 146.4766
108.032235 74.633 146.4405
108.398446 74.614 146.4063
108.764657 74.596 146.3715
109.130868 74.579 146.3340
109.497079 74.562 146.2936
109.863290 74.545 146.2516
110.229501 74.527 146.2099
110.595712 74.509 146.1700
110.961923 74.491 146.1330
111.328134 74.473 146.0993
111.694345 74.455 146.0690
112.060556 74.437 146.0416
112.426767 74.419 146.0157
112.792978 74.402 145.9902
113.159189 74.384 145.9639
113.525400 74.367 145.9368
113.891611 74.349 145.9095
114.257822 74.330 145.8828
114.624033 74.312 145.8571
114.990244 74.293 145.8326
115.356455 74.274 145.8093
115.722666 74.254 145.7878
116.088877 74.235 145.7689
116.455088 74.215 145.7533
116.821299 74.197 145.7403
117.187510 74.179 145.7277
117.553720 74.162 145.7125
117.919931 74.145 145.6927
118.286142 74.129 145.6678
118.652353 74.112 145.6394
119.018564 74.096 145.6100
119.384775 74.079 145.5812
119.750986 74.062 145.5536
120.117197 74.046 145.5265
120.483408 74.030 145.4989
120.849619 74.014 145.4707
121.215830 73.998 145.4428
121.582041 73.982 145.4164
121.948252 73.965 145.3923
122.314463 73.949 145.3702
122.680674 73.933 145.3492
123.046885 73.917 145.3289
123.413096 73.901 145.3091
123.779307 73.884 145.2906
124.145518 73.867 145.2745
124.511729 73.851 145.2609
124.877940 73.834 145.2492
125.244151 73.818 145.2381
125.610362 73.803 145.2264
125.976573 73.787 145.2135
126.342784 73.771 145.1996
126.708995 73.756 145.1854
127.075206 73.740 145.1716
127.441417 73.724 145.1585
127.807628 73.708 145.1461
128.173839 73.693 145.1342
128.540049 73.677 145.1230
128.906260 73.662 145.1125
129.272471 73.647 145.1030
129.638682 73.633 145.0941
130.004893 73.619 145.0851
130.371104 73.605 145.0752
130.737315 73.591 145.0638
131.103526 73.578 145.0506
131.469737 73.564 145.0361
131.835948 73.551 145.0209
132.202159 73.537 145.0056
132.568370 73.523 144.9910
132.934581 73.509 144.9776
133.300792 73.494 144.9660
133.667003 73.480 144.9564
134.033214 73.465 144.9489
134.399425 73.451 144.9427
134.765636 73.437 144.9370
135.131847 73.423 144.9302
135.498058 73.410 144.9216
135.864269 73.396 144.9107
136.230480 73.383 144.8980
136.596691 73.369 144.8845
136.962902 73.355 144.8712
137.329113 73.341 144.8591
137.695324 73.327 144.8488
138.061535 73.313 144.8401
138.427746 73.299 144.8326
138.793957 73.286 144.8259
139.160168 73.273 144.8195
139.526379 73.260 144.8130
139.892589 73.247 144.8067
140.258800 73.235 144.8007
140.625011 73.222 144.7957
140.991222 73.209 144.7921
141.357433 73.197 144.7902
141.723644 73.184 144.7897
142.089855 73.172 144.7904
142.456066 73.160 144.7914
142.822277 73.147 144.7918
143.188488 73.135 144.7911
143.554699 73.123 144.7890
143.920910 73.110 144.7858
144.287121 73.097 144.7822
144.653332 73.084 144.7790
145.019543 73.070 144.7769
145.385754 73.057 144.7761
145.751965 73.043 144.7761
146.118176 73.029 144.7761
146.484387 73.016 144.7755
146.850598 73.003 144.7739
147.216809 72.990 144.7711
147.583020 72.976 144.7674
147.949231 72.963 144.7631
148.315442 72.950 144.7587
148.681653 72.937 144.7549
149.047864 72.924 144.7523
149.414075 72.911 144.7518
149.780286 72.898 144.7532
150.146497 72.885 144.7560
150.512708 72.873 144.7592
150.878918 72.862 144.7618
