* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2023 6:06:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MH755 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.655 -25.4450
0.732422 74.799 -50.6447
1.098633 71.149 -74.8611
1.464844 63.604 -93.2183
1.831055 56.216 13.0573
2.197266 66.811 11.1271
2.563477 70.328 -11.1334
2.929688 71.678 -33.7499
3.295899 71.847 -53.4841
3.662110 71.315 -67.3314
4.028321 70.779 -72.6118
4.394532 71.245 -71.7542
4.760743 72.745 -72.8120
5.126954 74.329 -78.4914
5.493164 75.448 -86.2627
5.859375 76.053 -93.3720
6.225586 76.340 -98.1350
6.591797 76.607 -100.3571
6.958008 77.061 -101.4287
7.324219 77.651 -103.0409
7.690430 78.188 -105.6956
8.056641 78.552 -108.7965
8.422852 78.751 -111.5409
8.789063 78.880 -113.5625
9.155274 79.028 -115.0949
9.521485 79.218 -116.6455
9.887696 79.409 -118.5094
10.253907 79.489 -120.6127
10.620118 79.495 -122.7201
10.986329 79.481 -124.6895
11.352540 79.471 -126.5450
11.718751 79.471 -128.3687
12.084962 79.473 -130.1746
12.451173 79.475 -131.9026
12.817384 79.530 -133.5091
13.183595 79.606 -135.0283
13.549806 79.689 -136.5304
13.916017 79.766 -138.0331
14.282228 79.826 -139.4706
14.648439 79.870 -140.7571
15.014650 79.913 -141.8736
15.380861 79.961 -142.8912
15.747072 80.014 -143.9062
16.113283 80.061 -144.9556
16.479493 80.098 -145.9977
16.845704 80.119 -146.9660
17.211915 80.132 -147.8380
17.578126 80.147 -148.6544
17.944337 80.165 -149.4790
18.310548 80.183 -150.3465
18.676759 80.194 -151.2474
19.042970 80.200 -152.1525
19.409181 80.203 -153.0434
19.775392 80.206 -153.9201
20.141603 80.213 -154.7883
20.507814 80.223 -155.6477
20.874025 80.236 -156.4943
21.240236 80.251 -157.3282
21.606447 80.267 -158.1504
21.972658 80.281 -158.9537
22.338869 80.294 -159.7193
22.705080 80.305 -160.4303
23.071291 80.319 -161.0893
23.437502 80.335 -161.7206
23.803713 80.353 -162.3521
24.169924 80.367 -162.9915
24.536135 80.374 -163.6212
24.902346 80.374 -164.2161
25.268557 80.371 -164.7682
25.634768 80.368 -165.2937
26.000979 80.367 -165.8196
26.367190 80.363 -166.3620
26.733401 80.356 -166.9169
27.099612 80.345 -167.4686
27.465823 80.331 -168.0048
27.832033 80.318 -168.5245
28.198244 80.306 -169.0353
28.564455 80.298 -169.5465
28.930666 80.292 -170.0652
29.296877 80.287 -170.5949
29.663088 80.282 -171.1338
30.029299 80.276 -171.6727
30.395510 80.267 -172.1966
30.761721 80.259 -172.6924
31.127932 80.251 -173.1585
31.494143 80.246 -173.6060
31.860354 80.243 -174.0499
32.226565 80.240 -174.4972
32.592776 80.234 -174.9417
32.958987 80.225 -175.3714
33.325198 80.215 -175.7807
33.691409 80.205 -176.1753
34.057620 80.196 -176.5668
34.423831 80.185 -176.9617
34.790042 80.172 -177.3564
35.156253 80.157 -177.7420
35.522464 80.142 -178.1143
35.888675 80.127 -178.4786
36.254886 80.114 -178.8460
36.621097 80.102 -179.2253
36.987308 80.089 -179.6161
37.353519 80.075 179.9898
37.719730 80.058 179.6027
38.085941 80.041 179.2294
38.452152 80.025 178.8705
38.818363 80.010 178.5218
39.184573 79.996 178.1779
39.550784 79.983 177.8356
39.916995 79.970 177.4959
40.283206 79.957 177.1625
40.649417 79.944 176.8387
41.015628 79.932 176.5242
41.381839 79.921 176.2143
41.748050 79.910 175.9028
42.114261 79.899 175.5866
42.480472 79.887 175.2680
42.846683 79.872 174.9525
43.212894 79.857 174.6446
43.579105 79.841 174.3454
43.945316 79.824 174.0527
44.311527 79.808 173.7645
44.677738 79.792 173.4802
45.043949 79.776 173.2002
45.410160 79.761 172.9231
45.776371 79.746 172.6454
46.142582 79.732 172.3642
46.508793 79.717 172.0798
46.875004 79.701 171.7968
47.241215 79.684 171.5212
47.607426 79.666 171.2559
47.973637 79.650 170.9984
48.339848 79.635 170.7427
48.706059 79.620 170.4835
49.072270 79.605 170.2198
49.438481 79.588 169.9560
49.804692 79.571 169.6980
50.170902 79.553 169.4493
50.537113 79.536 169.2086
50.903324 79.520 168.9707
51.269535 79.505 168.7307
51.635746 79.490 168.4874
52.001957 79.473 168.2444
52.368168 79.456 168.0074
52.734379 79.439 167.7796
53.100590 79.423 167.5587
53.466801 79.408 167.3387
53.833012 79.394 167.1139
54.199223 79.379 166.8831
54.565434 79.364 166.6505
54.931645 79.347 166.4221
55.297856 79.329 166.2023
55.664067 79.311 165.9918
56.030278 79.293 165.7880
56.396489 79.276 165.5872
56.762700 79.260 165.3866
57.128911 79.243 165.1840
57.495122 79.226 164.9783
57.861333 79.209 164.7705
58.227544 79.191 164.5638
58.593755 79.171 164.3627
58.959966 79.152 164.1705
59.326177 79.133 163.9859
59.692388 79.116 163.8031
60.058599 79.100 163.6148
60.424810 79.085 163.4175
60.791021 79.068 163.2132
61.157232 79.051 163.0084
61.523442 79.033 162.8095
61.889653 79.014 162.6187
62.255864 78.996 162.4341
62.622075 78.978 162.2526
62.988286 78.960 162.0724
63.354497 78.942 161.8947
63.720708 78.924 161.7216
64.086919 78.906 161.5537
64.453130 78.888 161.3894
64.819341 78.871 161.2254
65.185552 78.854 161.0591
65.551763 78.836 160.8906
65.917974 78.818 160.7216
66.284185 78.800 160.5551
66.650396 78.781 160.3925
67.016607 78.762 160.2327
67.382818 78.744 160.0730
67.749029 78.726 159.9106
68.115240 78.708 159.7447
68.481451 78.690 159.5771
68.847662 78.670 159.4111
69.213873 78.651 159.2491
69.580084 78.631 159.0909
69.946295 78.612 158.9337
70.312506 78.593 158.7751
70.678717 78.573 158.6163
71.044928 78.552 158.4626
71.411139 78.530 158.3215
71.777350 78.508 158.1974
72.143561 78.489 158.0868
72.509771 78.474 157.9782
72.875982 78.461 157.8568
73.242193 78.449 157.7120
73.608404 78.436 157.5439
73.974615 78.420 157.3635
74.340826 78.400 157.1871
74.707037 78.377 157.0276
75.073248 78.354 156.8885
75.439459 78.333 156.7633
75.805670 78.313 156.6412
76.171881 78.295 156.5141
76.538092 78.277 156.3809
76.904303 78.258 156.2463
77.270514 78.238 156.1161
77.636725 78.218 155.9930
78.002936 78.199 155.8752
78.369147 78.181 155.7589
78.735358 78.164 155.6415
79.101569 78.146 155.5231
79.467780 78.129 155.4045
79.833991 78.112 155.2861
80.200202 78.095 155.1668
80.566413 78.078 155.0456
80.932624 78.061 154.9236
81.298835 78.043 154.8036
81.665046 78.024 154.6888
82.031257 78.006 154.5793
82.397468 77.988 154.4725
82.763679 77.970 154.3642
83.129890 77.953 154.2518
83.496101 77.935 154.1366
83.862311 77.917 154.0215
84.228522 77.898 153.9091
84.594733 77.880 153.7985
84.960944 77.862 153.6865
85.327155 77.843 153.5704
85.693366 77.825 153.4514
86.059577 77.805 153.3343
86.425788 77.784 153.2245
86.791999 77.763 153.1249
87.158210 77.743 153.0330
87.524421 77.725 152.9427
87.890632 77.708 152.8488
88.256843 77.691 152.7495
88.623054 77.674 152.6471
88.989265 77.656 152.5461
89.355476 77.638 152.4497
89.721687 77.620 152.3580
90.087898 77.603 152.2689
90.454109 77.587 152.1797
90.820320 77.570 152.0887
91.186531 77.554 151.9960
91.552742 77.538 151.9026
91.918953 77.521 151.8092
92.285164 77.505 151.7161
92.651375 77.488 151.6229
93.017586 77.472 151.5293
93.383797 77.455 151.4354
93.750008 77.438 151.3416
94.116219 77.420 151.2491
94.482430 77.402 151.1586
94.848641 77.385 151.0706
95.214851 77.367 150.9849
95.581062 77.350 150.9004
95.947273 77.333 150.8161
96.313484 77.316 150.7309
96.679695 77.299 150.6447
97.045906 77.282 150.5581
97.412117 77.264 150.4719
97.778328 77.247 150.3870
98.144539 77.229 150.3041
98.510750 77.211 150.2237
98.876961 77.194 150.1460
99.243172 77.176 150.0706
99.609383 77.159 149.9969
99.975594 77.142 149.9235
100.341805 77.125 149.8494
100.708016 77.108 149.7744
101.074227 77.091 149.6992
101.440438 77.074 149.6250
101.806649 77.057 149.5529
102.172860 77.039 149.4829
102.539071 77.022 149.4142
102.905282 77.006 149.3452
103.271493 76.989 149.2746
103.637704 76.973 149.2024
104.003915 76.956 149.1292
104.370126 76.939 149.0564
104.736337 76.922 148.9849
105.102548 76.905 148.9147
105.468759 76.888 148.8453
105.834970 76.871 148.7759
106.201180 76.854 148.7065
106.567391 76.837 148.6378
106.933602 76.820 148.5712
107.299813 76.803 148.5075
107.666024 76.787 148.4464
108.032235 76.771 148.3863
108.398446 76.756 148.3253
108.764657 76.741 148.2618
109.130868 76.725 148.1958
109.497079 76.710 148.1284
109.863290 76.694 148.0607
110.229501 76.678 147.9936
110.595712 76.662 147.9270
110.961923 76.646 147.8606
111.328134 76.629 147.7945
111.694345 76.612 147.7294
112.060556 76.595 147.6667
112.426767 76.577 147.6066
112.792978 76.560 147.5483
113.159189 76.544 147.4900
113.525400 76.527 147.4298
113.891611 76.510 147.3676
114.257822 76.493 147.3049
114.624033 76.476 147.2446
114.990244 76.458 147.1887
115.356455 76.440 147.1378
115.722666 76.424 147.0903
116.088877 76.408 147.0437
116.455088 76.392 146.9958
116.821299 76.377 146.9458
117.187510 76.363 146.8940
117.553720 76.348 146.8417
117.919931 76.333 146.7902
118.286142 76.318 146.7398
118.652353 76.303 146.6904
119.018564 76.288 146.6416
119.384775 76.273 146.5926
119.750986 76.258 146.5431
120.117197 76.243 146.4931
120.483408 76.228 146.4431
120.849619 76.212 146.3940
121.215830 76.196 146.3467
121.582041 76.181 146.3015
121.948252 76.165 146.2577
122.314463 76.150 146.2137
122.680674 76.135 146.1678
123.046885 76.120 146.1191
123.413096 76.104 146.0679
123.779307 76.089 146.0159
124.145518 76.073 145.9651
124.511729 76.057 145.9168
124.877940 76.041 145.8710
125.244151 76.026 145.8270
125.610362 76.011 145.7834
125.976573 75.997 145.7399
126.342784 75.983 145.6963
126.708995 75.969 145.6532
127.075206 75.955 145.6111
127.441417 75.941 145.5696
127.807628 75.928 145.5284
128.173839 75.914 145.4870
128.540049 75.901 145.4452
128.906260 75.887 145.4034
129.272471 75.873 145.3625
129.638682 75.859 145.3231
130.004893 75.846 145.2853
130.371104 75.832 145.2491
130.737315 75.818 145.2135
131.103526 75.805 145.1776
131.469737 75.792 145.1407
131.835948 75.779 145.1028
132.202159 75.766 145.0645
132.568370 75.752 145.0264
132.934581 75.739 144.9893
133.300792 75.726 144.9532
133.667003 75.713 144.9177
134.033214 75.700 144.8820
134.399425 75.687 144.8458
134.765636 75.674 144.8092
135.131847 75.661 144.7729
135.498058 75.648 144.7375
135.864269 75.635 144.7034
136.230480 75.622 144.6702
136.596691 75.609 144.6371
136.962902 75.596 144.6035
137.329113 75.583 144.5688
137.695324 75.570 144.5338
138.061535 75.557 144.4990
138.427746 75.543 144.4653
138.793957 75.529 144.4331
139.160168 75.516 144.4024
139.526379 75.502 144.3726
139.892589 75.489 144.3428
140.258800 75.475 144.3126
140.625011 75.462 144.2816
140.991222 75.449 144.2500
141.357433 75.436 144.2180
141.723644 75.422 144.1862
142.089855 75.409 144.1548
142.456066 75.396 144.1241
142.822277 75.383 144.0939
143.188488 75.370 144.0643
143.554699 75.358 144.0348
143.920910 75.345 144.0055
144.287121 75.333 143.9764
144.653332 75.320 143.9476
145.019543 75.308 143.9193
145.385754 75.296 143.8917
145.751965 75.284 143.8646
146.118176 75.271 143.8382
146.484387 75.259 143.8123
146.850598 75.247 143.7870
147.216809 75.234 143.7626
147.583020 75.222 143.7393
147.949231 75.209 143.7169
148.315442 75.197 143.6952
148.681653 75.185 143.6736
149.047864 75.173 143.6516
149.414075 75.160 143.6289
149.780286 75.148 143.6055
150.146497 75.136 143.5817
