* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 2, 2023 4:26:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XBA-N3 Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 60.567 168.7991
0.732422 59.466 156.0600
1.098633 57.283 139.5336
1.464844 53.512 112.8300
1.831055 49.773 54.9648
2.197266 53.009 -4.2835
2.563477 56.664 -29.1080
2.929688 58.817 -40.1577
3.295899 60.241 -43.7167
3.662110 61.639 -43.0380
4.028321 63.277 -42.0754
4.394532 64.936 -43.2431
4.760743 66.347 -46.3753
5.126954 67.422 -50.2565
5.493164 68.229 -53.8400
5.859375 68.902 -56.7039
6.225586 69.559 -59.0906
6.591797 70.236 -61.5520
6.958008 70.896 -64.4346
7.324219 71.489 -67.6694
7.690430 71.998 -70.9474
8.056641 72.447 -74.0029
8.422852 72.872 -76.7789
8.789063 73.298 -79.3991
9.155274 73.720 -82.0086
9.521485 74.119 -84.6419
9.887696 74.483 -87.2213
10.253907 74.737 -89.6495
10.620118 74.940 -91.8943
10.986329 75.132 -93.9991
11.352540 75.314 -96.0286
11.718751 75.480 -98.0117
12.084962 75.623 -99.9340
12.451173 75.747 -101.7711
12.817384 75.908 -103.5236
13.183595 76.063 -105.2190
13.549806 76.206 -106.8861
13.916017 76.334 -108.5324
14.282228 76.448 -110.1465
14.648439 76.549 -111.7178
15.014650 76.643 -113.2517
15.380861 76.732 -114.7647
15.747072 76.814 -116.2678
16.113283 76.893 -117.7564
16.479493 76.976 -119.2157
16.845704 77.054 -120.6350
17.211915 77.128 -122.0152
17.578126 77.200 -123.3640
17.944337 77.269 -124.6854
18.310548 77.333 -125.9754
18.676759 77.393 -127.2268
19.042970 77.450 -128.4366
19.409181 77.503 -129.6086
19.775392 77.553 -130.7490
20.141603 77.600 -131.8609
20.507814 77.644 -132.9438
20.874025 77.684 -133.9969
21.240236 77.720 -135.0232
21.606447 77.752 -136.0273
21.972658 77.780 -137.0131
22.338869 77.805 -137.9812
22.705080 77.826 -138.9312
23.071291 77.845 -139.8645
23.437502 77.862 -140.7843
23.803713 77.876 -141.6933
24.169924 77.889 -142.5922
24.536135 77.901 -143.4795
24.902346 77.911 -144.3540
25.268557 77.921 -145.2159
25.634768 77.930 -146.0657
26.000979 77.938 -146.9014
26.367190 77.944 -147.7197
26.733401 77.950 -148.5183
27.099612 77.956 -149.2983
27.465823 77.962 -150.0638
27.832033 77.967 -150.8177
28.198244 77.970 -151.5588
28.564455 77.971 -152.2828
28.930666 77.971 -152.9863
29.296877 77.970 -153.6707
29.663088 77.969 -154.3410
30.029299 77.966 -155.0023
30.395510 77.963 -155.6568
30.761721 77.958 -156.3030
31.127932 77.952 -156.9394
31.494143 77.945 -157.5663
31.860354 77.937 -158.1856
32.226565 77.928 -158.7989
32.592776 77.918 -159.4050
32.958987 77.907 -160.0018
33.325198 77.896 -160.5877
33.691409 77.885 -161.1637
34.057620 77.874 -161.7326
34.423831 77.864 -162.2967
34.790042 77.854 -162.8566
35.156253 77.843 -163.4109
35.522464 77.831 -163.9571
35.888675 77.818 -164.4928
36.254886 77.805 -165.0164
36.621097 77.792 -165.5282
36.987308 77.779 -166.0296
37.353519 77.767 -166.5239
37.719730 77.754 -167.0135
38.085941 77.741 -167.4992
38.452152 77.727 -167.9796
38.818363 77.712 -168.4525
39.184573 77.696 -168.9164
39.550784 77.680 -169.3719
39.916995 77.664 -169.8208
40.283206 77.649 -170.2647
40.649417 77.634 -170.7039
41.015628 77.618 -171.1379
41.381839 77.603 -171.5667
41.748050 77.587 -171.9906
42.114261 77.571 -172.4099
42.480472 77.555 -172.8244
42.846683 77.539 -173.2333
43.212894 77.523 -173.6359
43.579105 77.507 -174.0328
43.945316 77.490 -174.4252
44.311527 77.474 -174.8141
44.677738 77.458 -175.1991
45.043949 77.441 -175.5791
45.410160 77.424 -175.9531
45.776371 77.407 -176.3211
46.142582 77.389 -176.6840
46.508793 77.372 -177.0428
46.875004 77.355 -177.3975
47.241215 77.337 -177.7474
47.607426 77.319 -178.0917
47.973637 77.301 -178.4306
48.339848 77.284 -178.7655
48.706059 77.267 -179.0982
49.072270 77.249 -179.4297
49.438481 77.232 -179.7598
49.804692 77.214 179.9130
50.170902 77.195 179.5904
50.537113 77.177 179.2733
50.903324 77.159 178.9614
51.269535 77.140 178.6544
51.635746 77.122 178.3519
52.001957 77.103 178.0543
52.368168 77.085 177.7610
52.734379 77.067 177.4707
53.100590 77.049 177.1810
53.466801 77.031 176.8909
53.833012 77.013 176.6017
54.199223 76.993 176.3165
54.565434 76.974 176.0381
54.931645 76.955 175.7661
55.297856 76.936 175.4973
55.664067 76.918 175.2279
56.030278 76.900 174.9577
56.396489 76.881 174.6902
56.762700 76.862 174.4296
57.128911 76.843 174.1768
57.495122 76.825 173.9273
57.861333 76.808 173.6744
58.227544 76.791 173.4153
58.593755 76.772 173.1537
58.959966 76.752 172.8986
59.326177 76.731 172.6571
59.692388 76.711 172.4300
60.058599 76.692 172.2104
60.424810 76.674 171.9894
60.791021 76.657 171.7618
61.157232 76.639 171.5291
61.523442 76.620 171.2975
61.889653 76.601 171.0723
62.255864 76.581 170.8546
62.622075 76.561 170.6415
62.988286 76.542 170.4294
63.354497 76.523 170.2164
63.720708 76.503 170.0036
64.086919 76.482 169.7932
64.453130 76.462 169.5862
64.819341 76.442 169.3819
65.185552 76.422 169.1788
65.551763 76.402 168.9761
65.917974 76.382 168.7750
66.284185 76.361 168.5775
66.650396 76.341 168.3850
67.016607 76.320 168.1971
67.382818 76.301 168.0115
67.749029 76.282 167.8256
68.115240 76.263 167.6379
68.481451 76.244 167.4492
68.847662 76.224 167.2618
69.213873 76.203 167.0784
69.580084 76.183 166.9003
69.946295 76.162 166.7273
70.312506 76.142 166.5579
70.678717 76.123 166.3901
71.044928 76.104 166.2225
71.411139 76.085 166.0542
71.777350 76.065 165.8852
72.143561 76.046 165.7158
72.509771 76.027 165.5468
72.875982 76.007 165.3795
73.242193 75.987 165.2148
73.608404 75.967 165.0531
73.974615 75.947 164.8940
74.340826 75.927 164.7371
74.707037 75.907 164.5817
75.073248 75.888 164.4277
75.439459 75.868 164.2752
75.805670 75.849 164.1243
76.171881 75.829 163.9744
76.538092 75.810 163.8256
76.904303 75.791 163.6778
77.270514 75.771 163.5316
77.636725 75.752 163.3873
78.002936 75.733 163.2448
78.369147 75.713 163.1036
78.735358 75.694 162.9629
79.101569 75.675 162.8227
79.467780 75.656 162.6835
79.833991 75.636 162.5463
80.200202 75.617 162.4113
80.566413 75.598 162.2781
80.932624 75.579 162.1463
81.298835 75.560 162.0156
81.665046 75.541 161.8865
82.031257 75.523 161.7595
82.397468 75.504 161.6341
82.763679 75.486 161.5089
83.129890 75.467 161.3828
83.496101 75.448 161.2562
83.862311 75.429 161.1317
84.228522 75.410 161.0121
84.594733 75.390 160.8984
84.960944 75.372 160.7881
85.327155 75.354 160.6766
85.693366 75.337 160.5604
86.059577 75.319 160.4399
86.425788 75.300 160.3195
86.791999 75.281 160.2039
87.158210 75.261 160.0950
87.524421 75.243 159.9902
87.890632 75.225 159.8843
88.256843 75.207 159.7744
88.623054 75.189 159.6617
88.989265 75.170 159.5509
89.355476 75.150 159.4463
89.721687 75.131 159.3482
90.087898 75.113 159.2526
90.454109 75.096 159.1546
90.820320 75.079 159.0517
91.186531 75.061 158.9458
91.552742 75.042 158.8416
91.918953 75.023 158.7424
92.285164 75.005 158.6487
92.651375 74.986 158.5575
93.017586 74.969 158.4653
93.383797 74.951 158.3707
93.750008 74.933 158.2749
94.116219 74.915 158.1804
94.482430 74.897 158.0889
94.848641 74.878 158.0002
95.214851 74.860 157.9128
95.581062 74.842 157.8254
95.947273 74.824 157.7378
96.313484 74.806 157.6512
96.679695 74.788 157.5664
97.045906 74.771 157.4832
97.412117 74.754 157.4000
97.778328 74.736 157.3154
98.144539 74.719 157.2290
98.510750 74.702 157.1425
98.876961 74.684 157.0581
99.243172 74.666 156.9773
99.609383 74.648 156.8999
99.975594 74.631 156.8241
100.341805 74.614 156.7482
100.708016 74.597 156.6714
101.074227 74.580 156.5946
101.440438 74.563 156.5193
101.806649 74.546 156.4464
102.172860 74.529 156.3756
102.539071 74.513 156.3058
102.905282 74.496 156.2355
103.271493 74.480 156.1642
103.637704 74.464 156.0919
104.003915 74.447 156.0190
104.370126 74.430 155.9462
104.736337 74.413 155.8740
105.102548 74.396 155.8033
105.468759 74.378 155.7355
105.834970 74.360 155.6713
106.201180 74.343 155.6108
106.567391 74.326 155.5521
106.933602 74.310 155.4922
107.299813 74.294 155.4282
107.666024 74.278 155.3596
108.032235 74.261 155.2886
108.398446 74.244 155.2196
108.764657 74.226 155.1562
109.130868 74.209 155.0992
109.497079 74.192 155.0456
109.863290 74.176 154.9905
110.229501 74.161 154.9305
110.595712 74.145 154.8660
110.961923 74.129 154.8005
111.328134 74.112 154.7385
111.694345 74.095 154.6822
112.060556 74.078 154.6304
112.426767 74.062 154.5793
112.792978 74.047 154.5255
113.159189 74.032 154.4684
113.525400 74.017 154.4097
113.891611 74.001 154.3525
114.257822 73.984 154.2984
114.624033 73.968 154.2470
114.990244 73.952 154.1967
115.356455 73.937 154.1461
115.722666 73.921 154.0956
116.088877 73.905 154.0464
116.455088 73.888 154.0001
116.821299 73.872 153.9564
117.187510 73.857 153.9135
117.553720 73.842 153.8696
117.919931 73.826 153.8235
118.286142 73.811 153.7760
118.652353 73.795 153.7288
119.018564 73.779 153.6829
119.384775 73.764 153.6379
119.750986 73.748 153.5926
120.117197 73.733 153.5463
120.483408 73.717 153.4997
120.849619 73.701 153.4549
121.215830 73.684 153.4133
121.582041 73.669 153.3747
121.948252 73.653 153.3365
122.314463 73.639 153.2961
122.680674 73.624 153.2528
123.046885 73.609 153.2085
123.413096 73.593 153.1665
123.779307 73.577 153.1284
124.145518 73.563 153.0925
124.511729 73.548 153.0549
124.877940 73.534 153.0121
125.244151 73.520 152.9647
125.610362 73.506 152.9176
125.976573 73.491 152.8770
126.342784 73.475 152.8461
126.708995 73.461 152.8230
127.075206 73.448 152.8011
127.441417 73.436 152.7740
127.807628 73.424 152.7392
128.173839 73.411 152.6993
128.540049 73.398 152.6597
128.906260 73.384 152.6244
129.272471 73.370 152.5935
129.638682 73.357 152.5639
130.004893 73.345 152.5320
130.371104 73.332 152.4969
130.737315 73.318 152.4612
131.103526 73.304 152.4283
131.469737 73.290 152.4004
131.835948 73.277 152.3758
132.202159 73.264 152.3512
132.568370 73.252 152.3235
132.934581 73.239 152.2923
133.300792 73.226 152.2603
133.667003 73.212 152.2306
134.033214 73.199 152.2048
134.399425 73.186 152.1815
134.765636 73.173 152.1575
135.131847 73.161 152.1304
135.498058 73.148 152.1000
135.864269 73.135 152.0690
136.230480 73.122 152.0409
136.596691 73.108 152.0180
136.962902 73.094 151.9998
137.329113 73.082 151.9833
137.695324 73.070 151.9649
138.061535 73.058 151.9425
138.427746 73.047 151.9161
138.793957 73.035 151.8877
139.160168 73.022 151.8595
139.526379 73.009 151.8331
139.892589 72.996 151.8091
140.258800 72.983 151.7874
140.625011 72.970 151.7680
140.991222 72.957 151.7512
141.357433 72.944 151.7367
141.723644 72.932 151.7232
142.089855 72.920 151.7087
142.456066 72.909 151.6911
142.822277 72.897 151.6700
143.188488 72.885 151.6469
143.554699 72.872 151.6243
143.920910 72.859 151.6049
144.287121 72.846 151.5892
144.653332 72.834 151.5756
145.019543 72.822 151.5614
145.385754 72.810 151.5444
145.751965 72.798 151.5244
146.118176 72.786 151.5033
146.484387 72.773 151.4840
146.850598 72.760 151.4684
147.216809 72.748 151.4558
147.583020 72.736 151.4439
147.949231 72.724 151.4300
148.315442 72.713 151.4124
148.681653 72.701 151.3923
149.047864 72.689 151.3720
149.414075 72.677 151.3543
149.780286 72.664 151.3405
