* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 23, 2023 5:58:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DTE500 Final E L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.179 161.7579
0.732422 66.594 143.2653
1.098633 60.751 122.6746
1.464844 44.237 3.1405
1.831055 60.642 -71.2549
2.197266 65.098 -85.9266
2.563477 66.885 -94.5346
2.929688 67.633 -97.7774
3.295899 68.244 -96.7023
3.662110 69.162 -94.7542
4.028321 70.226 -94.9446
4.394532 71.105 -97.4074
4.760743 71.669 -100.7531
5.126954 71.985 -103.6916
5.493164 72.221 -105.7212
5.859375 72.516 -107.2356
6.225586 72.899 -109.0063
6.591797 73.300 -111.4326
6.958008 73.645 -114.3201
7.324219 73.916 -117.2035
7.690430 74.149 -119.7412
8.056641 74.390 -121.9009
8.422852 74.662 -123.8747
8.789063 74.950 -125.8476
9.155274 75.224 -127.8437
9.521485 75.468 -129.7580
9.887696 75.680 -131.4817
10.253907 75.802 -132.9901
10.620118 75.884 -134.3364
10.986329 75.957 -135.5887
11.352540 76.017 -136.7828
11.718751 76.061 -137.9239
12.084962 76.090 -139.0173
12.451173 76.109 -140.0809
12.817384 76.163 -141.1349
13.183595 76.212 -142.1838
13.549806 76.249 -143.2190
13.916017 76.280 -144.2372
14.282228 76.307 -145.2522
14.648439 76.334 -146.2859
15.014650 76.358 -147.3472
15.380861 76.379 -148.4210
15.747072 76.396 -149.4782
16.113283 76.419 -150.4969
16.479493 76.455 -151.4756
16.845704 76.496 -152.4281
17.211915 76.540 -153.3658
17.578126 76.583 -154.2858
17.944337 76.623 -155.1718
18.310548 76.658 -156.0052
18.676759 76.690 -156.7759
19.042970 76.719 -157.4863
19.409181 76.747 -158.1481
19.775392 76.773 -158.7750
20.141603 76.797 -159.3765
20.507814 76.817 -159.9538
20.874025 76.833 -160.5032
21.240236 76.847 -161.0248
21.606447 76.862 -161.5318
21.972658 76.878 -162.0516
22.338869 76.895 -162.6132
22.705080 76.908 -163.2278
23.071291 76.913 -163.8789
23.437502 76.909 -164.5294
23.803713 76.899 -165.1441
24.169924 76.888 -165.7106
24.536135 76.883 -166.2428
24.902346 76.883 -166.7651
25.268557 76.888 -167.2930
25.634768 76.895 -167.8255
26.000979 76.903 -168.3540
26.367190 76.913 -168.8762
26.733401 76.922 -169.3982
27.099612 76.930 -169.9239
27.465823 76.932 -170.4417
27.832033 76.928 -170.9256
28.198244 76.920 -171.3528
28.564455 76.915 -171.7256
28.930666 76.914 -172.0753
29.296877 76.916 -172.4421
29.663088 76.916 -172.8446
30.029299 76.909 -173.2633
30.395510 76.892 -173.6552
30.761721 76.873 -173.9886
31.127932 76.859 -174.2742
31.494143 76.854 -174.5629
31.860354 76.854 -174.9104
32.226565 76.851 -175.3317
32.592776 76.836 -175.7843
32.958987 76.809 -176.1933
33.325198 76.778 -176.5046
33.691409 76.758 -176.7278
34.057620 76.754 -176.9352
34.423831 76.764 -177.2127
34.790042 76.774 -177.5983
35.156253 76.772 -178.0538
35.522464 76.753 -178.4915
35.888675 76.725 -178.8327
36.254886 76.700 -179.0606
36.621097 76.689 -179.2294
36.987308 76.692 -179.4245
37.353519 76.702 -179.7050
37.719730 76.706 179.9307
38.085941 76.697 179.5350
38.452152 76.676 179.1711
38.818363 76.649 178.8757
39.184573 76.624 178.6442
39.550784 76.605 178.4457
39.916995 76.593 178.2466
40.283206 76.585 178.0282
40.649417 76.578 177.7870
41.015628 76.571 177.5261
41.381839 76.563 177.2486
41.748050 76.553 176.9586
42.114261 76.538 176.6653
42.480472 76.520 176.3839
42.846683 76.499 176.1291
43.212894 76.478 175.9073
43.579105 76.460 175.7122
43.945316 76.446 175.5277
44.311527 76.435 175.3372
44.677738 76.426 175.1307
45.043949 76.416 174.9083
45.410160 76.405 174.6761
45.776371 76.393 174.4415
46.142582 76.378 174.2091
46.508793 76.363 173.9800
46.875004 76.346 173.7540
47.241215 76.329 173.5325
47.607426 76.310 173.3188
47.973637 76.290 173.1170
48.339848 76.270 172.9301
48.706059 76.251 172.7575
49.072270 76.234 172.5957
49.438481 76.218 172.4390
49.804692 76.204 172.2822
50.170902 76.192 172.1224
50.537113 76.180 171.9583
50.903324 76.169 171.7897
51.269535 76.158 171.6164
51.635746 76.147 171.4381
52.001957 76.134 171.2563
52.368168 76.120 171.0755
52.734379 76.104 170.9015
53.100590 76.087 170.7392
53.466801 76.071 170.5890
53.833012 76.056 170.4451
54.199223 76.042 170.2986
54.565434 76.029 170.1423
54.931645 76.015 169.9746
55.297856 76.000 169.8004
55.664067 75.983 169.6268
56.030278 75.965 169.4591
56.396489 75.946 169.2981
56.762700 75.928 169.1418
57.128911 75.909 168.9895
57.495122 75.889 168.8434
57.861333 75.870 168.7078
58.227544 75.851 168.5837
58.593755 75.835 168.4669
58.959966 75.821 168.3478
59.326177 75.808 168.2175
59.692388 75.795 168.0732
60.058599 75.780 167.9216
60.424810 75.762 167.7747
60.791021 75.743 167.6436
61.157232 75.724 167.5323
61.523442 75.706 167.4353
61.889653 75.691 167.3420
62.255864 75.677 167.2424
62.622075 75.664 167.1324
62.988286 75.650 167.0146
63.354497 75.635 166.8949
63.720708 75.619 166.7783
64.086919 75.602 166.6654
64.453130 75.586 166.5536
64.819341 75.570 166.4395
65.185552 75.554 166.3221
65.551763 75.537 166.2034
65.917974 75.520 166.0867
66.284185 75.503 165.9739
66.650396 75.487 165.8645
67.016607 75.471 165.7559
67.382818 75.455 165.6459
67.749029 75.439 165.5350
68.115240 75.424 165.4252
68.481451 75.408 165.3192
68.847662 75.392 165.2179
69.213873 75.378 165.1197
69.580084 75.363 165.0222
69.946295 75.349 164.9238
70.312506 75.335 164.8253
70.678717 75.320 164.7294
71.044928 75.305 164.6392
71.411139 75.290 164.5563
71.777350 75.275 164.4801
72.143561 75.260 164.4084
72.509771 75.246 164.3383
72.875982 75.232 164.2673
73.242193 75.218 164.1943
73.608404 75.203 164.1194
73.974615 75.188 164.0435
74.340826 75.172 163.9678
74.707037 75.156 163.8932
75.073248 75.139 163.8195
75.439459 75.122 163.7458
75.805670 75.104 163.6708
76.171881 75.087 163.5941
76.538092 75.070 163.5157
76.904303 75.052 163.4365
77.270514 75.035 163.3565
77.636725 75.018 163.2749
78.002936 75.002 163.1899
78.369147 74.986 163.1005
78.735358 74.970 163.0073
79.101569 74.953 162.9126
79.467780 74.937 162.8198
79.833991 74.921 162.7316
80.200202 74.905 162.6490
80.566413 74.890 162.5719
80.932624 74.875 162.4997
81.298835 74.862 162.4320
81.665046 74.849 162.3683
82.031257 74.837 162.3073
82.397468 74.826 162.2469
82.763679 74.814 162.1847
83.129890 74.803 162.1200
83.496101 74.790 162.0544
83.862311 74.777 161.9917
84.228522 74.762 161.9354
84.594733 74.747 161.8869
84.960944 74.732 161.8447
85.327155 74.718 161.8046
85.693366 74.704 161.7625
86.059577 74.690 161.7156
86.425788 74.676 161.6636
86.791999 74.662 161.6075
87.158210 74.647 161.5491
87.524421 74.632 161.4893
87.890632 74.617 161.4284
88.256843 74.601 161.3667
88.623054 74.586 161.3049
88.989265 74.571 161.2437
89.355476 74.556 161.1838
89.721687 74.541 161.1255
90.087898 74.527 161.0680
90.454109 74.514 161.0103
90.820320 74.500 160.9521
91.186531 74.487 160.8939
91.552742 74.473 160.8372
91.918953 74.460 160.7838
92.285164 74.446 160.7348
92.651375 74.432 160.6900
93.017586 74.419 160.6481
93.383797 74.406 160.6071
93.750008 74.393 160.5652
94.116219 74.380 160.5217
94.482430 74.367 160.4769
94.848641 74.354 160.4318
95.214851 74.340 160.3872
95.581062 74.325 160.3439
95.947273 74.311 160.3019
96.313484 74.296 160.2607
96.679695 74.282 160.2196
97.045906 74.268 160.1782
97.412117 74.255 160.1356
97.778328 74.241 160.0916
98.144539 74.228 160.0462
98.510750 74.215 159.9996
98.876961 74.202 159.9524
99.243172 74.189 159.9054
99.609383 74.176 159.8593
99.975594 74.163 159.8145
100.341805 74.150 159.7713
100.708016 74.137 159.7294
101.074227 74.125 159.6888
101.440438 74.112 159.6494
101.806649 74.100 159.6113
102.172860 74.087 159.5746
102.539071 74.075 159.5391
102.905282 74.062 159.5046
103.271493 74.050 159.4706
103.637704 74.037 159.4365
104.003915 74.024 159.4022
104.370126 74.011 159.3674
104.736337 73.998 159.3324
105.102548 73.985 159.2974
105.468759 73.972 159.2629
105.834970 73.959 159.2289
106.201180 73.945 159.1956
106.567391 73.932 159.1622
106.933602 73.920 159.1282
107.299813 73.907 159.0930
107.666024 73.894 159.0563
108.032235 73.881 159.0188
108.398446 73.868 158.9816
108.764657 73.855 158.9462
109.130868 73.842 158.9132
109.497079 73.829 158.8825
109.863290 73.817 158.8531
110.229501 73.805 158.8236
110.595712 73.793 158.7931
110.961923 73.782 158.7614
111.328134 73.770 158.7291
111.694345 73.758 158.6971
112.060556 73.745 158.6665
112.426767 73.733 158.6378
112.792978 73.721 158.6108
113.159189 73.708 158.5851
113.525400 73.696 158.5596
113.891611 73.684 158.5336
114.257822 73.672 158.5067
114.624033 73.660 158.4788
114.990244 73.648 158.4504
115.356455 73.635 158.4222
115.722666 73.622 158.3948
116.088877 73.609 158.3688
116.455088 73.596 158.3444
116.821299 73.584 158.3215
117.187510 73.571 158.2996
117.553720 73.559 158.2779
117.919931 73.546 158.2556
118.286142 73.534 158.2322
118.652353 73.522 158.2080
119.018564 73.510 158.1837
119.384775 73.498 158.1602
119.750986 73.486 158.1378
120.117197 73.473 158.1165
120.483408 73.461 158.0960
120.849619 73.449 158.0760
121.215830 73.437 158.0569
121.582041 73.425 158.0391
121.948252 73.412 158.0232
122.314463 73.401 158.0089
122.680674 73.389 157.9951
123.046885 73.378 157.9805
123.413096 73.367 157.9638
123.779307 73.356 157.9448
124.145518 73.345 157.9238
124.511729 73.333 157.9019
124.877940 73.322 157.8801
125.244151 73.310 157.8590
125.610362 73.299 157.8389
125.976573 73.287 157.8199
126.342784 73.276 157.8019
126.708995 73.265 157.7849
127.075206 73.253 157.7687
127.441417 73.242 157.7531
127.807628 73.232 157.7375
128.173839 73.221 157.7219
128.540049 73.210 157.7061
128.906260 73.200 157.6902
129.272471 73.189 157.6744
129.638682 73.178 157.6590
130.004893 73.167 157.6445
130.371104 73.157 157.6313
130.737315 73.146 157.6197
131.103526 73.135 157.6098
131.469737 73.124 157.6013
131.835948 73.114 157.5935
132.202159 73.104 157.5856
132.568370 73.094 157.5770
132.934581 73.084 157.5676
133.300792 73.073 157.5576
133.667003 73.063 157.5478
134.033214 73.052 157.5386
134.399425 73.041 157.5304
134.765636 73.030 157.5233
135.131847 73.019 157.5171
135.498058 73.007 157.5118
135.864269 72.996 157.5074
136.230480 72.985 157.5038
136.596691 72.973 157.5010
136.962902 72.962 157.4990
137.329113 72.951 157.4975
137.695324 72.940 157.4965
138.061535 72.929 157.4958
138.427746 72.918 157.4952
138.793957 72.907 157.4947
139.160168 72.896 157.4945
139.526379 72.885 157.4951
139.892589 72.874 157.4968
140.258800 72.863 157.5000
140.625011 72.852 157.5047
140.991222 72.841 157.5106
141.357433 72.830 157.5175
141.723644 72.819 157.5255
142.089855 72.808 157.5352
142.456066 72.797 157.5473
142.822277 72.785 157.5623
143.188488 72.775 157.5797
143.554699 72.764 157.5988
143.920910 72.753 157.6183
144.287121 72.743 157.6375
144.653332 72.733 157.6564
145.019543 72.722 157.6757
145.385754 72.712 157.6961
145.751965 72.701 157.7184
146.118176 72.690 157.7429
146.484387 72.680 157.7692
146.850598 72.669 157.7971
147.216809 72.659 157.8264
147.583020 72.649 157.8568
147.949231 72.640 157.8885
148.315442 72.630 157.9214
148.681653 72.621 157.9557
149.047864 72.612 157.9913
149.414075 72.603 158.0282
149.780286 72.594 158.0663
150.146497 72.586 158.1056
150.512708 72.578 158.1458
