* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 23, 2023 5:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DTE500 Final E R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.906 -24.5572
0.732422 71.565 -48.2922
1.098633 69.175 -69.5489
1.464844 65.505 -83.4740
1.831055 61.397 -75.4596
2.197266 62.347 -52.4184
2.563477 65.671 -54.9936
2.929688 67.843 -69.2455
3.295899 68.920 -84.8317
3.662110 69.209 -97.4309
4.028321 69.110 -104.4625
4.394532 69.249 -105.6769
4.760743 70.064 -104.9207
5.126954 71.257 -106.3934
5.493164 72.295 -110.3470
5.859375 72.955 -114.9135
6.225586 73.296 -118.3738
6.591797 73.529 -120.0440
6.958008 73.850 -120.5511
7.324219 74.291 -121.1706
7.690430 74.736 -122.6046
8.056641 75.069 -124.6182
8.422852 75.270 -126.5906
8.789063 75.398 -128.1238
9.155274 75.527 -129.2907
9.521485 75.688 -130.4531
9.887696 75.854 -131.8727
10.253907 75.921 -133.5184
10.620118 75.921 -135.1899
10.986329 75.906 -136.7409
11.352540 75.902 -138.1808
11.718751 75.913 -139.6031
12.084962 75.932 -141.0565
12.451173 75.951 -142.5015
12.817384 76.015 -143.8731
13.183595 76.090 -145.1523
13.549806 76.167 -146.3710
13.916017 76.241 -147.5554
14.282228 76.305 -148.6846
14.648439 76.356 -149.7126
15.014650 76.402 -150.6222
15.380861 76.448 -151.4512
15.747072 76.494 -152.2608
16.113283 76.537 -153.0827
16.479493 76.575 -153.9006
16.845704 76.601 -154.6797
17.211915 76.619 -155.4099
17.578126 76.636 -156.1174
17.944337 76.652 -156.8391
18.310548 76.664 -157.5901
18.676759 76.671 -158.3576
19.042970 76.673 -159.1216
19.409181 76.675 -159.8754
19.775392 76.678 -160.6259
20.141603 76.683 -161.3765
20.507814 76.691 -162.1183
20.874025 76.699 -162.8367
21.240236 76.711 -163.5275
21.606447 76.727 -164.1999
21.972658 76.744 -164.8650
22.338869 76.761 -165.5220
22.705080 76.775 -166.1568
23.071291 76.785 -166.7543
23.437502 76.794 -167.3102
23.803713 76.801 -167.8317
24.169924 76.807 -168.3287
24.536135 76.812 -168.8065
24.902346 76.813 -169.2675
25.268557 76.813 -169.7167
25.634768 76.810 -170.1619
26.000979 76.805 -170.6076
26.367190 76.795 -171.0494
26.733401 76.783 -171.4775
27.099612 76.769 -171.8878
27.465823 76.757 -172.2883
27.832033 76.747 -172.6946
28.198244 76.739 -173.1175
28.564455 76.730 -173.5536
28.930666 76.719 -173.9889
29.296877 76.707 -174.4100
29.663088 76.698 -174.8135
30.029299 76.690 -175.2053
30.395510 76.685 -175.5934
30.761721 76.682 -175.9805
31.127932 76.678 -176.3636
31.494143 76.675 -176.7390
31.860354 76.671 -177.1061
32.226565 76.667 -177.4672
32.592776 76.663 -177.8255
32.958987 76.657 -178.1824
33.325198 76.650 -178.5367
33.691409 76.640 -178.8862
34.057620 76.627 -179.2283
34.423831 76.613 -179.5603
34.790042 76.597 -179.8808
35.156253 76.580 179.8093
35.522464 76.563 179.5067
35.888675 76.547 179.2072
36.254886 76.531 178.9068
36.621097 76.514 178.6036
36.987308 76.498 178.2970
37.353519 76.480 177.9894
37.719730 76.460 177.6870
38.085941 76.440 177.3983
38.452152 76.419 177.1307
38.818363 76.400 176.8841
39.184573 76.385 176.6476
39.550784 76.374 176.4037
39.916995 76.364 176.1386
40.283206 76.353 175.8513
40.649417 76.339 175.5554
41.015628 76.320 175.2713
41.381839 76.298 175.0141
41.748050 76.276 174.7860
42.114261 76.256 174.5781
42.480472 76.239 174.3770
42.846683 76.223 174.1733
43.212894 76.207 173.9646
43.579105 76.191 173.7532
43.945316 76.175 173.5430
44.311527 76.159 173.3363
44.677738 76.142 173.1340
45.043949 76.127 172.9349
45.410160 76.112 172.7367
45.776371 76.097 172.5373
46.142582 76.083 172.3357
46.508793 76.068 172.1329
46.875004 76.053 171.9312
47.241215 76.038 171.7326
47.607426 76.022 171.5374
47.973637 76.007 171.3445
48.339848 75.991 171.1523
48.706059 75.975 170.9610
49.072270 75.959 170.7716
49.438481 75.942 170.5852
49.804692 75.926 170.4017
50.170902 75.909 170.2199
50.537113 75.892 170.0387
50.903324 75.875 169.8583
51.269535 75.858 169.6801
51.635746 75.840 169.5059
52.001957 75.822 169.3364
52.368168 75.804 169.1718
52.734379 75.786 169.0116
53.100590 75.769 168.8554
53.466801 75.752 168.7029
53.833012 75.735 168.5529
54.199223 75.719 168.4040
54.565434 75.702 168.2544
54.931645 75.686 168.1040
55.297856 75.669 167.9553
55.664067 75.651 167.8118
56.030278 75.633 167.6755
56.396489 75.616 167.5441
56.762700 75.600 167.4113
57.128911 75.584 167.2707
57.495122 75.566 167.1214
57.861333 75.547 166.9711
58.227544 75.524 166.8323
58.593755 75.502 166.7154
58.959966 75.480 166.6203
59.326177 75.463 166.5353
59.692388 75.449 166.4427
60.058599 75.438 166.3300
60.424810 75.426 166.1953
60.791021 75.412 166.0481
61.157232 75.396 165.9014
61.523442 75.378 165.7637
61.889653 75.361 165.6365
62.255864 75.344 165.5163
62.622075 75.327 165.3997
62.988286 75.310 165.2863
63.354497 75.293 165.1775
63.720708 75.276 165.0740
64.086919 75.259 164.9739
64.453130 75.243 164.8743
64.819341 75.227 164.7730
65.185552 75.211 164.6707
65.551763 75.194 164.5697
65.917974 75.177 164.4719
66.284185 75.160 164.3772
66.650396 75.142 164.2841
67.016607 75.125 164.1906
67.382818 75.108 164.0956
67.749029 75.091 163.9995
68.115240 75.073 163.9031
68.481451 75.056 163.8080
68.847662 75.038 163.7151
69.213873 75.020 163.6249
69.580084 75.002 163.5370
69.946295 74.985 163.4503
70.312506 74.968 163.3639
70.678717 74.952 163.2770
71.044928 74.936 163.1898
71.411139 74.920 163.1023
71.777350 74.904 163.0148
72.143561 74.887 162.9276
72.509771 74.871 162.8412
72.875982 74.854 162.7570
73.242193 74.838 162.6761
73.608404 74.821 162.5985
73.974615 74.805 162.5223
74.340826 74.789 162.4445
74.707037 74.773 162.3635
75.073248 74.756 162.2805
75.439459 74.739 162.1998
75.805670 74.720 162.1261
76.171881 74.702 162.0615
76.538092 74.685 162.0032
76.904303 74.670 161.9451
77.270514 74.655 161.8814
77.636725 74.641 161.8102
78.002936 74.626 161.7343
78.369147 74.610 161.6588
78.735358 74.594 161.5879
79.101569 74.578 161.5223
79.467780 74.562 161.4600
79.833991 74.547 161.3984
80.200202 74.532 161.3360
80.566413 74.518 161.2731
80.932624 74.504 161.2104
81.298835 74.489 161.1479
81.665046 74.475 161.0847
82.031257 74.461 161.0198
82.397468 74.447 160.9536
82.763679 74.432 160.8880
83.129890 74.416 160.8253
83.496101 74.401 160.7670
83.862311 74.385 160.7130
84.228522 74.370 160.6615
84.594733 74.355 160.6105
84.960944 74.341 160.5585
85.327155 74.326 160.5052
85.693366 74.311 160.4516
86.059577 74.296 160.3991
86.425788 74.281 160.3484
86.791999 74.267 160.2993
87.158210 74.252 160.2506
87.524421 74.238 160.2009
87.890632 74.223 160.1495
88.256843 74.208 160.0972
88.623054 74.193 160.0457
88.989265 74.178 159.9963
89.355476 74.163 159.9491
89.721687 74.149 159.9027
90.087898 74.135 159.8553
90.454109 74.121 159.8057
90.820320 74.107 159.7545
91.186531 74.092 159.7031
91.552742 74.078 159.6533
91.918953 74.063 159.6058
92.285164 74.049 159.5602
92.651375 74.035 159.5154
93.017586 74.022 159.4703
93.383797 74.008 159.4247
93.750008 73.995 159.3789
94.116219 73.981 159.3338
94.482430 73.968 159.2905
94.848641 73.954 159.2494
95.214851 73.941 159.2106
95.581062 73.927 159.1735
95.947273 73.914 159.1368
96.313484 73.901 159.0995
96.679695 73.889 159.0612
97.045906 73.876 159.0221
97.412117 73.862 158.9830
97.778328 73.849 158.9449
98.144539 73.835 158.9083
98.510750 73.821 158.8730
98.876961 73.808 158.8389
99.243172 73.794 158.8053
99.609383 73.781 158.7720
99.975594 73.768 158.7388
100.341805 73.755 158.7053
100.708016 73.742 158.6708
101.074227 73.729 158.6349
101.440438 73.717 158.5974
101.806649 73.704 158.5587
102.172860 73.691 158.5198
102.539071 73.678 158.4814
102.905282 73.665 158.4443
103.271493 73.652 158.4088
103.637704 73.639 158.3748
104.003915 73.626 158.3420
104.370126 73.614 158.3100
104.736337 73.601 158.2783
105.102548 73.589 158.2463
105.468759 73.577 158.2137
105.834970 73.565 158.1804
106.201180 73.552 158.1467
106.567391 73.540 158.1133
106.933602 73.527 158.0811
107.299813 73.514 158.0506
107.666024 73.501 158.0218
108.032235 73.488 157.9941
108.398446 73.476 157.9669
108.764657 73.463 157.9394
109.130868 73.451 157.9115
109.497079 73.438 157.8834
109.863290 73.425 157.8558
110.229501 73.413 157.8293
110.595712 73.400 157.8042
110.961923 73.388 157.7800
111.328134 73.376 157.7559
111.694345 73.364 157.7307
112.060556 73.353 157.7038
112.426767 73.341 157.6753
112.792978 73.329 157.6462
113.159189 73.317 157.6178
113.525400 73.305 157.5910
113.891611 73.292 157.5657
114.257822 73.280 157.5413
114.624033 73.269 157.5167
114.990244 73.257 157.4915
115.356455 73.245 157.4659
115.722666 73.233 157.4409
116.088877 73.221 157.4175
116.455088 73.208 157.3961
116.821299 73.196 157.3761
117.187510 73.185 157.3564
117.553720 73.173 157.3362
117.919931 73.161 157.3149
118.286142 73.150 157.2930
118.652353 73.138 157.2710
119.018564 73.126 157.2497
119.384775 73.114 157.2292
119.750986 73.102 157.2094
120.117197 73.090 157.1900
120.483408 73.079 157.1707
120.849619 73.067 157.1512
121.215830 73.055 157.1314
121.582041 73.044 157.1110
121.948252 73.033 157.0895
122.314463 73.022 157.0669
122.680674 73.010 157.0433
123.046885 72.999 157.0193
123.413096 72.987 156.9960
123.779307 72.976 156.9739
124.145518 72.964 156.9535
124.511729 72.953 156.9344
124.877940 72.942 156.9162
125.244151 72.932 156.8981
125.610362 72.921 156.8799
125.976573 72.911 156.8616
126.342784 72.901 156.8433
126.708995 72.891 156.8256
127.075206 72.881 156.8088
127.441417 72.871 156.7932
127.807628 72.861 156.7789
128.173839 72.850 156.7660
128.540049 72.840 156.7538
128.906260 72.830 156.7419
129.272471 72.820 156.7292
129.638682 72.810 156.7153
130.004893 72.800 156.7002
130.371104 72.790 156.6843
130.737315 72.780 156.6685
131.103526 72.770 156.6533
131.469737 72.759 156.6393
131.835948 72.749 156.6262
132.202159 72.739 156.6139
132.568370 72.729 156.6018
132.934581 72.719 156.5896
133.300792 72.709 156.5772
133.667003 72.700 156.5646
134.033214 72.690 156.5519
134.399425 72.681 156.5394
134.765636 72.671 156.5271
135.131847 72.662 156.5151
135.498058 72.653 156.5035
135.864269 72.643 156.4922
136.230480 72.634 156.4814
136.596691 72.624 156.4709
136.962902 72.615 156.4608
137.329113 72.605 156.4510
137.695324 72.596 156.4416
138.061535 72.586 156.4327
138.427746 72.576 156.4242
138.793957 72.566 156.4161
139.160168 72.556 156.4082
139.526379 72.546 156.4003
139.892589 72.536 156.3923
140.258800 72.526 156.3839
140.625011 72.516 156.3754
140.991222 72.506 156.3666
141.357433 72.496 156.3577
141.723644 72.486 156.3486
142.089855 72.476 156.3396
142.456066 72.465 156.3305
142.822277 72.455 156.3217
143.188488 72.445 156.3135
143.554699 72.435 156.3062
143.920910 72.425 156.2999
144.287121 72.414 156.2947
144.653332 72.404 156.2906
145.019543 72.394 156.2872
145.385754 72.384 156.2844
145.751965 72.374 156.2822
146.118176 72.364 156.2804
146.484387 72.354 156.2791
146.850598 72.344 156.2783
147.216809 72.334 156.2780
147.583020 72.324 156.2780
147.949231 72.314 156.2784
148.315442 72.304 156.2792
148.681653 72.294 156.2804
149.047864 72.284 156.2820
149.414075 72.274 156.2839
149.780286 72.264 156.2859
150.146497 72.254 156.2879
150.512708 72.243 156.2898
