* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2023 11:49:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DTE500 Foam Tips L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 81.310 164.2059
0.732422 79.497 147.8510
1.098633 75.934 129.1339
1.464844 69.047 96.6270
1.831055 66.484 -8.2712
2.197266 73.565 -47.8378
2.563477 77.069 -60.9501
2.929688 79.088 -67.2904
3.295899 80.537 -70.2795
3.662110 81.803 -72.0253
4.028321 82.966 -74.0485
4.394532 83.970 -76.8850
4.760743 84.766 -80.2960
5.126954 85.368 -83.7959
5.493164 85.837 -87.0389
5.859375 86.246 -89.9764
6.225586 86.643 -92.7970
6.591797 87.036 -95.7222
6.958008 87.408 -98.8235
7.324219 87.743 -101.9972
7.690430 88.041 -105.0694
8.056641 88.318 -107.9217
8.422852 88.592 -110.5473
8.789063 88.869 -113.0153
9.155274 89.143 -115.3884
9.521485 89.400 -117.6697
9.887696 89.634 -119.8133
10.253907 89.771 -121.7759
10.620118 89.861 -123.5569
10.986329 89.941 -125.1982
11.352540 90.012 -126.7503
11.718751 90.067 -128.2397
12.084962 90.106 -129.6649
12.451173 90.128 -131.0174
12.817384 90.191 -132.3045
13.183595 90.252 -133.5528
13.549806 90.306 -134.7926
13.916017 90.352 -136.0403
14.282228 90.389 -137.2932
14.648439 90.419 -138.5394
15.014650 90.443 -139.7694
15.380861 90.465 -140.9810
15.747072 90.487 -142.1736
16.113283 90.513 -143.3436
16.479493 90.549 -144.4834
16.845704 90.586 -145.5865
17.211915 90.625 -146.6516
17.578126 90.665 -147.6806
17.944337 90.704 -148.6748
18.310548 90.741 -149.6321
18.676759 90.776 -150.5481
19.042970 90.807 -151.4194
19.409181 90.835 -152.2458
19.775392 90.859 -153.0300
20.141603 90.881 -153.7773
20.507814 90.901 -154.4964
20.874025 90.919 -155.1979
21.240236 90.932 -155.8910
21.606447 90.940 -156.5766
21.972658 90.942 -157.2451
22.338869 90.940 -157.8838
22.705080 90.938 -158.4898
23.071291 90.941 -159.0807
23.437502 90.948 -159.6902
23.803713 90.958 -160.3465
24.169924 90.964 -161.0510
24.536135 90.961 -161.7707
24.902346 90.950 -162.4559
25.268557 90.937 -163.0708
25.634768 90.929 -163.6171
26.000979 90.930 -164.1324
26.367190 90.938 -164.6625
26.733401 90.948 -165.2287
27.099612 90.952 -165.8138
27.465823 90.948 -166.3765
27.832033 90.939 -166.8815
28.198244 90.931 -167.3246
28.564455 90.928 -167.7331
28.930666 90.930 -168.1449
29.296877 90.932 -168.5822
29.663088 90.930 -169.0403
30.029299 90.923 -169.4967
30.395510 90.911 -169.9320
30.761721 90.898 -170.3438
31.127932 90.887 -170.7453
31.494143 90.877 -171.1525
31.860354 90.866 -171.5705
32.226565 90.853 -171.9928
32.592776 90.839 -172.4089
32.958987 90.825 -172.8148
33.325198 90.811 -173.2145
33.691409 90.798 -173.6129
34.057620 90.784 -174.0085
34.423831 90.770 -174.3918
34.790042 90.755 -174.7536
35.156253 90.741 -175.0931
35.522464 90.730 -175.4205
35.888675 90.721 -175.7489
36.254886 90.712 -176.0837
36.621097 90.701 -176.4183
36.987308 90.687 -176.7394
37.353519 90.673 -177.0383
37.719730 90.659 -177.3186
38.085941 90.648 -177.5941
38.452152 90.638 -177.8788
38.818363 90.628 -178.1781
39.184573 90.615 -178.4874
39.550784 90.600 -178.7976
39.916995 90.583 -179.1029
40.283206 90.566 -179.4027
40.649417 90.549 -179.6983
41.015628 90.530 -179.9874
41.381839 90.511 179.7355
41.748050 90.491 179.4750
42.114261 90.474 179.2280
42.480472 90.460 178.9841
42.846683 90.448 178.7307
43.212894 90.436 178.4624
43.579105 90.422 178.1849
43.945316 90.406 177.9114
44.311527 90.388 177.6539
44.677738 90.370 177.4162
45.043949 90.353 177.1926
45.410160 90.338 176.9737
45.776371 90.324 176.7529
46.142582 90.309 176.5294
46.508793 90.294 176.3063
46.875004 90.278 176.0869
47.241215 90.261 175.8728
47.607426 90.245 175.6642
47.973637 90.228 175.4607
48.339848 90.212 175.2617
48.706059 90.196 175.0649
49.072270 90.181 174.8663
49.438481 90.166 174.6620
49.804692 90.150 174.4525
50.170902 90.134 174.2424
50.537113 90.116 174.0386
50.903324 90.098 173.8454
51.269535 90.081 173.6610
51.635746 90.065 173.4803
52.001957 90.050 173.2983
52.368168 90.035 173.1141
52.734379 90.020 172.9303
53.100590 90.005 172.7495
53.466801 89.990 172.5721
53.833012 89.975 172.3979
54.199223 89.960 172.2272
54.565434 89.945 172.0621
54.931645 89.931 171.9020
55.297856 89.918 171.7417
55.664067 89.906 171.5731
56.030278 89.892 171.3935
56.396489 89.875 171.2137
56.762700 89.853 171.0559
57.128911 89.831 170.9415
57.495122 89.812 170.8720
57.861333 89.802 170.8210
58.227544 89.800 170.7441
58.593755 89.803 170.6037
58.959966 89.803 170.3925
59.326177 89.793 170.1391
59.692388 89.772 169.8918
60.058599 89.742 169.6923
60.424810 89.711 169.5553
60.791021 89.683 169.4656
61.157232 89.662 169.3922
61.523442 89.646 169.3077
61.889653 89.632 169.2006
62.255864 89.617 169.0746
62.622075 89.601 168.9399
62.988286 89.584 168.8052
63.354497 89.565 168.6738
63.720708 89.547 168.5457
64.086919 89.529 168.4199
64.453130 89.512 168.2954
64.819341 89.495 168.1718
65.185552 89.479 168.0487
65.551763 89.463 167.9258
65.917974 89.447 167.8033
66.284185 89.431 167.6820
66.650396 89.415 167.5632
67.016607 89.399 167.4483
67.382818 89.383 167.3382
67.749029 89.367 167.2331
68.115240 89.351 167.1312
68.481451 89.337 167.0292
68.847662 89.322 166.9242
69.213873 89.306 166.8167
69.580084 89.289 166.7112
69.946295 89.271 166.6138
70.312506 89.254 166.5269
70.678717 89.238 166.4452
71.044928 89.224 166.3586
71.411139 89.210 166.2589
71.777350 89.195 166.1478
72.143561 89.177 166.0370
72.509771 89.158 165.9398
72.875982 89.140 165.8610
73.242193 89.125 165.7905
73.608404 89.113 165.7101
73.974615 89.102 165.6060
74.340826 89.089 165.4805
74.707037 89.072 165.3515
75.073248 89.052 165.2413
75.439459 89.031 165.1619
75.805670 89.012 165.1071
76.171881 88.998 165.0576
76.538092 88.987 164.9937
76.904303 88.977 164.9079
77.270514 88.964 164.8078
77.636725 88.949 164.7087
78.002936 88.931 164.6224
78.369147 88.914 164.5510
78.735358 88.899 164.4878
79.101569 88.885 164.4237
79.467780 88.871 164.3538
79.833991 88.857 164.2786
80.200202 88.843 164.2014
80.566413 88.829 164.1243
80.932624 88.815 164.0468
81.298835 88.800 163.9678
81.665046 88.785 163.8882
82.031257 88.770 163.8113
82.397468 88.754 163.7400
82.763679 88.739 163.6741
83.129890 88.724 163.6095
83.496101 88.711 163.5415
83.862311 88.697 163.4686
84.228522 88.682 163.3946
84.594733 88.667 163.3256
84.960944 88.651 163.2651
85.327155 88.637 163.2107
85.693366 88.624 163.1548
86.059577 88.612 163.0900
86.425788 88.600 163.0148
86.791999 88.585 162.9346
87.158210 88.569 162.8590
87.524421 88.552 162.7951
87.890632 88.536 162.7440
88.256843 88.521 162.7005
88.623054 88.507 162.6571
88.989265 88.495 162.6081
89.355476 88.483 162.5520
89.721687 88.470 162.4908
90.087898 88.457 162.4282
90.454109 88.443 162.3668
90.820320 88.429 162.3081
91.186531 88.415 162.2526
91.552742 88.402 162.1994
91.918953 88.389 162.1472
92.285164 88.376 162.0939
92.651375 88.363 162.0374
93.017586 88.351 161.9771
93.383797 88.337 161.9147
93.750008 88.323 161.8542
94.116219 88.308 161.7993
94.482430 88.293 161.7517
94.848641 88.279 161.7094
95.214851 88.267 161.6674
95.581062 88.254 161.6211
95.947273 88.242 161.5691
96.313484 88.229 161.5145
96.679695 88.216 161.4626
97.045906 88.202 161.4179
97.412117 88.188 161.3803
97.778328 88.176 161.3456
98.144539 88.165 161.3079
98.510750 88.155 161.2637
98.876961 88.144 161.2136
99.243172 88.132 161.1611
99.609383 88.120 161.1100
99.975594 88.108 161.0618
100.341805 88.095 161.0153
100.708016 88.083 160.9684
101.074227 88.071 160.9207
101.440438 88.058 160.8737
101.806649 88.044 160.8304
102.172860 88.030 160.7929
102.539071 88.017 160.7605
102.905282 88.005 160.7300
103.271493 87.993 160.6977
103.637704 87.982 160.6612
104.003915 87.971 160.6201
104.370126 87.960 160.5757
104.736337 87.948 160.5295
105.102548 87.935 160.4833
105.468759 87.922 160.4392
105.834970 87.908 160.4006
106.201180 87.894 160.3711
106.567391 87.880 160.3516
106.933602 87.869 160.3380
107.299813 87.859 160.3214
107.666024 87.850 160.2930
108.032235 87.841 160.2499
108.398446 87.830 160.1987
108.764657 87.817 160.1517
109.130868 87.803 160.1194
109.497079 87.789 160.1015
109.863290 87.779 160.0867
110.229501 87.770 160.0599
110.595712 87.762 160.0134
110.961923 87.750 159.9532
111.328134 87.736 159.8952
111.694345 87.720 159.8547
112.060556 87.704 159.8357
112.426767 87.691 159.8281
112.792978 87.681 159.8156
113.159189 87.673 159.7868
113.525400 87.664 159.7422
113.891611 87.652 159.6922
114.257822 87.639 159.6490
114.624033 87.626 159.6183
114.990244 87.613 159.5969
115.356455 87.603 159.5764
115.722666 87.593 159.5497
116.088877 87.583 159.5148
116.455088 87.573 159.4756
116.821299 87.561 159.4380
117.187510 87.548 159.4072
117.553720 87.536 159.3847
117.919931 87.524 159.3688
118.286142 87.513 159.3553
118.652353 87.504 159.3399
119.018564 87.495 159.3189
119.384775 87.485 159.2916
119.750986 87.476 159.2595
120.117197 87.465 159.2261
120.483408 87.454 159.1948
120.849619 87.443 159.1670
121.215830 87.432 159.1424
121.582041 87.420 159.1193
121.948252 87.410 159.0963
122.314463 87.399 159.0728
122.680674 87.388 159.0490
123.046885 87.378 159.0253
123.413096 87.367 159.0014
123.779307 87.357 158.9770
124.145518 87.346 158.9521
124.511729 87.335 158.9280
124.877940 87.324 158.9062
125.244151 87.314 158.8879
125.610362 87.305 158.8726
125.976573 87.296 158.8578
126.342784 87.288 158.8405
126.708995 87.281 158.8181
127.075206 87.273 158.7901
127.441417 87.264 158.7590
127.807628 87.254 158.7283
128.173839 87.244 158.7010
128.540049 87.233 158.6786
128.906260 87.222 158.6603
129.272471 87.212 158.6450
129.638682 87.202 158.6318
130.004893 87.192 158.6205
130.371104 87.183 158.6106
130.737315 87.175 158.5994
131.103526 87.168 158.5832
131.469737 87.161 158.5590
131.835948 87.153 158.5275
132.202159 87.143 158.4944
132.568370 87.133 158.4674
132.934581 87.122 158.4516
133.300792 87.113 158.4449
133.667003 87.105 158.4381
134.033214 87.099 158.4207
134.399425 87.093 158.3882
134.765636 87.085 158.3461
135.131847 87.074 158.3078
135.498058 87.061 158.2859
135.864269 87.049 158.2837
136.230480 87.039 158.2932
136.596691 87.033 158.2999
136.962902 87.027 158.2935
137.329113 87.021 158.2740
137.695324 87.013 158.2507
138.061535 87.004 158.2338
138.427746 86.995 158.2263
138.793957 86.988 158.2217
139.160168 86.981 158.2101
139.526379 86.975 158.1864
139.892589 86.967 158.1556
140.258800 86.957 158.1284
140.625011 86.946 158.1133
140.991222 86.936 158.1094
141.357433 86.928 158.1075
141.723644 86.921 158.0977
142.089855 86.914 158.0772
142.456066 86.905 158.0525
142.822277 86.895 158.0335
143.188488 86.884 158.0255
143.554699 86.876 158.0248
143.920910 86.868 158.0224
144.287121 86.861 158.0115
144.653332 86.854 157.9936
145.019543 86.845 157.9762
145.385754 86.836 157.9663
145.751965 86.828 157.9633
146.118176 86.821 157.9590
146.484387 86.816 157.9445
146.850598 86.809 157.9181
147.216809 86.800 157.8880
147.583020 86.789 157.8666
147.949231 86.778 157.8615
148.315442 86.768 157.8692
148.681653 86.760 157.8781
149.047864 86.754 157.8766
149.414075 86.749 157.8616
149.780286 86.741 157.8386
150.146497 86.732 157.8170
