* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2023 11:48:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DTE500 Foam Tips R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.499 -24.9973
0.732422 86.737 -49.5754
1.098633 83.349 -72.5906
1.464844 76.904 -87.9920
1.831055 68.633 -23.7973
2.197266 77.655 -1.6764
2.563477 81.461 -20.8154
2.929688 83.037 -43.0663
3.295899 83.405 -63.4267
3.662110 83.003 -78.6418
4.028321 82.387 -85.6231
4.394532 82.536 -85.0045
4.760743 83.830 -84.3689
5.126954 85.414 -88.3624
5.493164 86.593 -95.1259
5.859375 87.237 -101.7191
6.225586 87.514 -106.1647
6.591797 87.733 -107.9816
6.958008 88.139 -108.4513
7.324219 88.711 -109.4302
7.690430 89.248 -111.5939
8.056641 89.610 -114.3539
8.422852 89.796 -116.8195
8.789063 89.905 -118.5444
9.155274 90.041 -119.7576
9.521485 90.230 -121.0302
9.887696 90.426 -122.7062
10.253907 90.506 -124.6948
10.620118 90.503 -126.7039
10.986329 90.482 -128.5506
11.352540 90.471 -130.2671
11.718751 90.477 -131.9781
12.084962 90.488 -133.7267
12.451173 90.493 -135.4395
12.817384 90.548 -137.0296
13.183595 90.618 -138.4939
13.549806 90.699 -139.9001
13.916017 90.777 -141.2925
14.282228 90.842 -142.6334
14.648439 90.891 -143.8445
15.014650 90.935 -144.8937
15.380861 90.982 -145.8344
15.747072 91.033 -146.7561
16.113283 91.079 -147.7043
16.479493 91.120 -148.6524
16.845704 91.144 -149.5476
17.211915 91.160 -150.3743
17.578126 91.176 -151.1708
17.944337 91.191 -151.9903
18.310548 91.201 -152.8514
18.676759 91.202 -153.7301
19.042970 91.197 -154.5927
19.409181 91.193 -155.4292
19.775392 91.191 -156.2551
20.141603 91.194 -157.0865
20.507814 91.201 -157.9197
20.874025 91.208 -158.7370
21.240236 91.217 -159.5256
21.606447 91.230 -160.2873
21.972658 91.245 -161.0301
22.338869 91.260 -161.7541
22.705080 91.273 -162.4498
23.071291 91.284 -163.1073
23.437502 91.294 -163.7242
23.803713 91.301 -164.3036
24.169924 91.307 -164.8486
24.536135 91.311 -165.3636
24.902346 91.316 -165.8626
25.268557 91.320 -166.3698
25.634768 91.321 -166.9045
26.000979 91.313 -167.4612
26.367190 91.295 -168.0070
26.733401 91.270 -168.5037
27.099612 91.245 -168.9404
27.465823 91.228 -169.3463
27.832033 91.218 -169.7708
28.198244 91.212 -170.2466
28.564455 91.204 -170.7679
28.930666 91.191 -171.3001
29.296877 91.173 -171.8098
29.663088 91.156 -172.2854
30.029299 91.142 -172.7355
30.395510 91.130 -173.1721
30.761721 91.120 -173.5979
31.127932 91.111 -174.0087
31.494143 91.103 -174.4037
31.860354 91.096 -174.7889
32.226565 91.089 -175.1711
32.592776 91.081 -175.5504
32.958987 91.070 -175.9205
33.325198 91.057 -176.2766
33.691409 91.043 -176.6219
34.057620 91.028 -176.9638
34.423831 91.011 -177.3055
34.790042 90.991 -177.6415
35.156253 90.970 -177.9632
35.522464 90.948 -178.2696
35.888675 90.929 -178.5706
36.254886 90.911 -178.8803
36.621097 90.893 -179.2050
36.987308 90.874 -179.5376
37.353519 90.853 -179.8633
37.719730 90.833 179.8280
38.085941 90.815 179.5338
38.452152 90.800 179.2410
38.818363 90.788 178.9364
39.184573 90.775 178.6174
39.550784 90.761 178.2947
39.916995 90.743 177.9853
40.283206 90.726 177.7012
40.649417 90.710 177.4420
41.015628 90.696 177.1949
41.381839 90.685 176.9438
41.748050 90.674 176.6806
42.114261 90.660 176.4101
42.480472 90.643 176.1448
42.846683 90.624 175.8954
43.212894 90.604 175.6628
43.579105 90.585 175.4395
43.945316 90.567 175.2180
44.311527 90.547 174.9972
44.677738 90.528 174.7822
45.043949 90.508 174.5770
45.410160 90.490 174.3785
45.776371 90.473 174.1773
46.142582 90.458 173.9656
46.508793 90.442 173.7439
46.875004 90.424 173.5201
47.241215 90.405 173.3035
47.607426 90.386 173.0975
47.973637 90.367 172.8991
48.339848 90.349 172.7030
48.706059 90.332 172.5067
49.072270 90.315 172.3115
49.438481 90.297 172.1198
49.804692 90.279 171.9317
50.170902 90.262 171.7449
50.537113 90.246 171.5576
50.903324 90.228 171.3701
51.269535 90.210 171.1857
51.635746 90.192 171.0078
52.001957 90.173 170.8380
52.368168 90.156 170.6748
52.734379 90.139 170.5135
53.100590 90.123 170.3491
53.466801 90.107 170.1790
53.833012 90.089 170.0068
54.199223 90.070 169.8412
54.565434 90.051 169.6908
54.931645 90.032 169.5566
55.297856 90.017 169.4291
55.664067 90.003 169.2929
56.030278 89.990 169.1382
56.396489 89.975 168.9693
56.762700 89.957 168.8032
57.128911 89.936 168.6570
57.495122 89.917 168.5349
57.861333 89.901 168.4224
58.227544 89.888 168.2962
58.593755 89.877 168.1403
58.959966 89.862 167.9585
59.326177 89.841 167.7734
59.692388 89.816 167.6126
60.058599 89.790 167.4925
60.424810 89.767 167.4080
60.791021 89.750 167.3355
61.157232 89.739 167.2470
61.523442 89.729 167.1253
61.889653 89.718 166.9735
62.255864 89.703 166.8113
62.622075 89.683 166.6623
62.988286 89.662 166.5395
63.354497 89.642 166.4388
63.720708 89.626 166.3439
64.086919 89.611 166.2391
64.453130 89.596 166.1208
64.819341 89.579 165.9977
65.185552 89.560 165.8824
65.551763 89.542 165.7798
65.917974 89.525 165.6838
66.284185 89.509 165.5839
66.650396 89.493 165.4749
67.016607 89.475 165.3623
67.382818 89.456 165.2571
67.749029 89.437 165.1656
68.115240 89.420 165.0830
68.481451 89.405 164.9971
68.847662 89.391 164.8976
69.213873 89.375 164.7851
69.580084 89.358 164.6702
69.946295 89.339 164.5653
70.312506 89.320 164.4752
70.678717 89.302 164.3949
71.044928 89.286 164.3149
71.411139 89.270 164.2293
71.777350 89.254 164.1393
72.143561 89.238 164.0504
72.509771 89.222 163.9656
72.875982 89.206 163.8826
73.242193 89.192 163.7963
73.608404 89.177 163.7045
73.974615 89.161 163.6107
74.340826 89.144 163.5205
74.707037 89.128 163.4355
75.073248 89.113 163.3509
75.439459 89.098 163.2593
75.805670 89.082 163.1591
76.171881 89.065 163.0572
76.538092 89.045 162.9657
76.904303 89.025 162.8925
77.270514 89.006 162.8356
77.636725 88.990 162.7845
78.002936 88.977 162.7280
78.369147 88.964 162.6616
78.735358 88.950 162.5875
79.101569 88.936 162.5096
79.467780 88.922 162.4295
79.833991 88.907 162.3470
80.200202 88.890 162.2655
80.566413 88.871 162.1931
80.932624 88.853 162.1379
81.298835 88.835 162.1005
81.665046 88.821 162.0697
82.031257 88.810 162.0284
82.397468 88.800 161.9651
82.763679 88.788 161.8821
83.129890 88.773 161.7938
83.496101 88.756 161.7153
83.862311 88.738 161.6529
84.228522 88.721 161.6014
84.594733 88.706 161.5507
84.960944 88.691 161.4948
85.327155 88.676 161.4359
85.693366 88.660 161.3812
86.059577 88.645 161.3350
86.425788 88.631 161.2944
86.791999 88.619 161.2516
87.158210 88.608 161.1990
87.524421 88.596 161.1345
87.890632 88.584 161.0622
88.256843 88.569 160.9893
88.623054 88.554 160.9220
88.989265 88.538 160.8627
89.355476 88.522 160.8104
89.721687 88.507 160.7624
90.087898 88.492 160.7162
90.454109 88.477 160.6708
90.820320 88.463 160.6256
91.186531 88.449 160.5800
91.552742 88.436 160.5325
91.918953 88.423 160.4823
92.285164 88.409 160.4292
92.651375 88.396 160.3750
93.017586 88.381 160.3223
93.383797 88.367 160.2734
93.750008 88.352 160.2291
94.116219 88.339 160.1879
94.482430 88.326 160.1472
94.848641 88.313 160.1042
95.214851 88.301 160.0579
95.581062 88.288 160.0087
95.947273 88.274 159.9595
96.313484 88.260 159.9138
96.679695 88.246 159.8733
97.045906 88.233 159.8370
97.412117 88.220 159.8010
97.778328 88.207 159.7612
98.144539 88.195 159.7167
98.510750 88.181 159.6713
98.876961 88.166 159.6310
99.243172 88.152 159.5998
99.609383 88.138 159.5753
99.975594 88.126 159.5503
100.341805 88.115 159.5169
100.708016 88.105 159.4728
101.074227 88.093 159.4225
101.440438 88.079 159.3743
101.806649 88.065 159.3339
102.172860 88.052 159.3002
102.539071 88.040 159.2669
102.905282 88.029 159.2272
103.271493 88.017 159.1797
103.637704 88.004 159.1292
104.003915 87.990 159.0842
104.370126 87.975 159.0505
104.736337 87.960 159.0284
105.102548 87.947 159.0123
105.468759 87.936 158.9944
105.834970 87.926 158.9696
106.201180 87.915 158.9373
106.567391 87.904 158.9009
106.933602 87.892 158.8647
107.299813 87.880 158.8311
107.666024 87.868 158.7994
108.032235 87.856 158.7676
108.398446 87.844 158.7343
108.764657 87.831 158.7000
109.130868 87.818 158.6669
109.497079 87.805 158.6369
109.863290 87.792 158.6102
110.229501 87.779 158.5854
110.595712 87.767 158.5606
110.961923 87.755 158.5349
111.328134 87.743 158.5081
111.694345 87.731 158.4803
112.060556 87.720 158.4508
112.426767 87.708 158.4188
112.792978 87.696 158.3846
113.159189 87.684 158.3507
113.525400 87.671 158.3205
113.891611 87.658 158.2958
114.257822 87.646 158.2752
114.624033 87.635 158.2543
114.990244 87.625 158.2284
115.356455 87.615 158.1963
115.722666 87.604 158.1614
116.088877 87.592 158.1295
116.455088 87.580 158.1047
116.821299 87.568 158.0871
117.187510 87.557 158.0725
117.553720 87.547 158.0560
117.919931 87.537 158.0348
118.286142 87.527 158.0099
118.652353 87.516 157.9841
119.018564 87.505 157.9596
119.384775 87.493 157.9374
119.750986 87.482 157.9171
120.117197 87.470 157.8983
120.483408 87.458 157.8810
120.849619 87.446 157.8648
121.215830 87.435 157.8484
121.582041 87.424 157.8302
121.948252 87.412 157.8094
122.314463 87.401 157.7871
122.680674 87.389 157.7655
123.046885 87.377 157.7463
123.413096 87.365 157.7292
123.779307 87.354 157.7128
124.145518 87.344 157.6953
124.511729 87.334 157.6755
124.877940 87.324 157.6524
125.244151 87.316 157.6248
125.610362 87.308 157.5912
125.976573 87.300 157.5527
126.342784 87.290 157.5134
126.708995 87.278 157.4801
127.075206 87.267 157.4581
127.441417 87.255 157.4477
127.807628 87.245 157.4439
128.173839 87.237 157.4396
128.540049 87.229 157.4303
128.906260 87.221 157.4166
129.272471 87.213 157.4018
129.638682 87.205 157.3875
130.004893 87.197 157.3716
130.371104 87.190 157.3508
130.737315 87.181 157.3243
131.103526 87.171 157.2972
131.469737 87.159 157.2775
131.835948 87.147 157.2709
132.202159 87.137 157.2751
132.568370 87.129 157.2807
132.934581 87.122 157.2762
133.300792 87.116 157.2564
133.667003 87.108 157.2253
134.033214 87.098 157.1938
134.399425 87.086 157.1728
134.765636 87.074 157.1658
135.131847 87.064 157.1679
135.498058 87.056 157.1693
135.864269 87.049 157.1622
136.230480 87.042 157.1454
136.596691 87.034 157.1237
136.962902 87.025 157.1039
137.329113 87.015 157.0895
137.695324 87.006 157.0790
138.061535 86.998 157.0681
138.427746 86.989 157.0536
138.793957 86.981 157.0367
139.160168 86.971 157.0212
139.526379 86.962 157.0102
139.892589 86.953 157.0034
140.258800 86.945 156.9966
140.625011 86.937 156.9857
140.991222 86.929 156.9695
141.357433 86.921 156.9508
141.723644 86.912 156.9343
142.089855 86.902 156.9232
142.456066 86.893 156.9176
142.822277 86.884 156.9152
143.188488 86.876 156.9135
143.554699 86.869 156.9111
143.920910 86.862 156.9068
144.287121 86.855 156.8987
144.653332 86.848 156.8853
145.019543 86.841 156.8666
145.385754 86.833 156.8468
145.751965 86.824 156.8316
146.118176 86.814 156.8248
146.484387 86.805 156.8242
146.850598 86.798 156.8226
147.216809 86.791 156.8130
147.583020 86.784 156.7945
147.949231 86.775 156.7741
148.315442 86.765 156.7610
148.681653 86.754 156.7598
149.047864 86.746 156.7656
149.414075 86.739 156.7673
149.780286 86.733 156.7566
150.146497 86.726 156.7338
150.512708 86.718 156.7074
