* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 7:47:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EST50 W1 R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.769 -24.6975
0.732422 72.411 -48.6462
1.098633 69.984 -70.3059
1.464844 66.212 -85.0215
1.831055 61.750 -77.4500
2.197266 62.585 -51.8759
2.563477 66.073 -54.1854
2.929688 68.302 -68.9336
3.295899 69.388 -85.0688
3.662110 69.654 -98.1527
4.028321 69.503 -105.4688
4.394532 69.586 -106.5848
4.760743 70.393 -105.4842
5.126954 71.619 -106.7477
5.493164 72.689 -110.6890
5.859375 73.363 -115.3218
6.225586 73.704 -118.8280
6.591797 73.930 -120.4736
6.958008 74.248 -120.9039
7.324219 74.693 -121.4581
7.690430 75.142 -122.8695
8.056641 75.474 -124.8797
8.422852 75.669 -126.8286
8.789063 75.793 -128.3017
9.155274 75.925 -129.3941
9.521485 76.096 -130.5117
9.887696 76.274 -131.9423
10.253907 76.349 -133.6466
10.620118 76.353 -135.3962
10.986329 76.338 -137.0201
11.352540 76.330 -138.5174
11.718751 76.339 -139.9846
12.084962 76.356 -141.4758
12.451173 76.372 -142.9507
12.817384 76.432 -144.3385
13.183595 76.504 -145.6179
13.549806 76.581 -146.8253
13.916017 76.657 -147.9963
14.282228 76.723 -149.1181
14.648439 76.778 -150.1468
15.014650 76.827 -151.0637
15.380861 76.874 -151.9042
15.747072 76.921 -152.7284
16.113283 76.963 -153.5670
16.479493 77.000 -154.4013
16.845704 77.023 -155.1934
17.211915 77.039 -155.9307
17.578126 77.053 -156.6403
17.944337 77.067 -157.3620
18.310548 77.078 -158.1141
18.676759 77.084 -158.8849
19.042970 77.086 -159.6538
19.409181 77.088 -160.4132
19.775392 77.091 -161.1703
20.141603 77.098 -161.9305
20.507814 77.106 -162.6862
20.874025 77.116 -163.4225
21.240236 77.127 -164.1319
21.606447 77.141 -164.8194
21.972658 77.157 -165.4928
22.338869 77.173 -166.1498
22.705080 77.185 -166.7783
23.071291 77.196 -167.3679
23.437502 77.205 -167.9201
23.803713 77.214 -168.4464
24.169924 77.221 -168.9566
24.536135 77.224 -169.4519
24.902346 77.224 -169.9283
25.268557 77.222 -170.3866
25.634768 77.218 -170.8363
26.000979 77.213 -171.2888
26.367190 77.205 -171.7489
26.733401 77.193 -172.2116
27.099612 77.180 -172.6698
27.465823 77.166 -173.1212
27.832033 77.152 -173.5700
28.198244 77.139 -174.0213
28.564455 77.126 -174.4749
28.930666 77.114 -174.9267
29.296877 77.103 -175.3722
29.663088 77.092 -175.8097
30.029299 77.083 -176.2392
30.395510 77.075 -176.6594
30.761721 77.067 -177.0674
31.127932 77.059 -177.4619
31.494143 77.053 -177.8454
31.860354 77.046 -178.2218
32.226565 77.037 -178.5923
32.592776 77.027 -178.9536
32.958987 77.015 -179.3006
33.325198 77.002 -179.6313
33.691409 76.988 -179.9490
34.057620 76.973 179.7404
34.423831 76.958 179.4326
34.790042 76.941 179.1267
35.156253 76.924 178.8235
35.522464 76.906 178.5228
35.888675 76.887 178.2234
36.254886 76.868 177.9245
36.621097 76.849 177.6271
36.987308 76.830 177.3322
37.353519 76.812 177.0396
37.719730 76.794 176.7477
38.085941 76.776 176.4560
38.452152 76.758 176.1669
38.818363 76.739 175.8845
39.184573 76.721 175.6114
39.550784 76.704 175.3462
39.916995 76.688 175.0846
40.283206 76.672 174.8234
40.649417 76.656 174.5636
41.015628 76.639 174.3094
41.381839 76.621 174.0646
41.748050 76.603 173.8295
42.114261 76.585 173.6010
42.480472 76.567 173.3759
42.846683 76.549 173.1530
43.212894 76.530 172.9333
43.579105 76.511 172.7181
43.945316 76.491 172.5071
44.311527 76.472 172.2988
44.677738 76.453 172.0917
45.043949 76.434 171.8857
45.410160 76.414 171.6822
45.776371 76.394 171.4830
46.142582 76.374 171.2894
46.508793 76.354 171.1014
46.875004 76.334 170.9184
47.241215 76.315 170.7399
47.607426 76.295 170.5661
47.973637 76.276 170.3984
48.339848 76.257 170.2380
48.706059 76.238 170.0854
49.072270 76.221 169.9388
49.438481 76.205 169.7941
49.804692 76.190 169.6466
50.170902 76.176 169.4933
50.537113 76.163 169.3336
50.903324 76.149 169.1691
51.269535 76.135 169.0022
51.635746 76.121 168.8342
52.001957 76.107 168.6651
52.368168 76.092 168.4944
52.734379 76.077 168.3218
53.100590 76.062 168.1485
53.466801 76.045 167.9767
53.833012 76.028 167.8094
54.199223 76.011 167.6478
54.565434 75.994 167.4910
54.931645 75.977 167.3359
55.297856 75.960 167.1796
55.664067 75.943 167.0217
56.030278 75.924 166.8658
56.396489 75.905 166.7169
56.762700 75.885 166.5773
57.128911 75.866 166.4436
57.495122 75.848 166.3093
57.861333 75.829 166.1695
58.227544 75.810 166.0262
58.593755 75.789 165.8881
58.959966 75.767 165.7640
59.326177 75.746 165.6566
59.692388 75.727 165.5586
60.058599 75.711 165.4581
60.424810 75.697 165.3458
60.791021 75.683 165.2207
61.157232 75.668 165.0889
61.523442 75.652 164.9578
61.889653 75.635 164.8307
62.255864 75.619 164.7065
62.622075 75.602 164.5824
62.988286 75.585 164.4581
63.354497 75.567 164.3369
63.720708 75.548 164.2222
64.086919 75.530 164.1146
64.453130 75.511 164.0111
64.819341 75.494 163.9069
65.185552 75.476 163.7994
65.551763 75.458 163.6896
65.917974 75.438 163.5809
66.284185 75.418 163.4764
66.650396 75.398 163.3766
67.016607 75.379 163.2792
67.382818 75.359 163.1813
67.749029 75.340 163.0812
68.115240 75.320 162.9796
68.481451 75.300 162.8785
68.847662 75.279 162.7805
69.213873 75.258 162.6870
69.580084 75.237 162.5977
69.946295 75.217 162.5111
70.312506 75.198 162.4258
70.678717 75.178 162.3407
71.044928 75.159 162.2563
71.411139 75.139 162.1742
71.777350 75.119 162.0959
72.143561 75.100 162.0223
72.509771 75.080 161.9526
72.875982 75.062 161.8849
73.242193 75.043 161.8175
73.608404 75.025 161.7491
73.974615 75.007 161.6803
74.340826 74.988 161.6122
74.707037 74.970 161.5460
75.073248 74.951 161.4817
75.439459 74.933 161.4183
75.805670 74.914 161.3546
76.171881 74.896 161.2896
76.538092 74.878 161.2234
76.904303 74.859 161.1568
77.270514 74.841 161.0909
77.636725 74.822 161.0262
78.002936 74.802 160.9630
78.369147 74.783 160.9019
78.735358 74.763 160.8435
79.101569 74.744 160.7888
79.467780 74.724 160.7384
79.833991 74.705 160.6923
80.200202 74.687 160.6489
80.566413 74.669 160.6058
80.932624 74.651 160.5610
81.298835 74.634 160.5135
81.665046 74.616 160.4649
82.031257 74.598 160.4182
82.397468 74.579 160.3764
82.763679 74.561 160.3402
83.129890 74.543 160.3076
83.496101 74.526 160.2744
83.862311 74.510 160.2373
84.228522 74.493 160.1962
84.594733 74.475 160.1541
84.960944 74.456 160.1157
85.327155 74.437 160.0845
85.693366 74.417 160.0601
86.059577 74.399 160.0399
86.425788 74.380 160.0203
86.791999 74.362 160.0005
87.158210 74.342 159.9826
87.524421 74.323 159.9707
87.890632 74.302 159.9678
88.256843 74.283 159.9739
88.623054 74.264 159.9861
88.989265 74.245 160.0003
89.355476 74.227 160.0144
89.721687 74.209 160.0301
90.087898 74.190 160.0528
90.454109 74.170 160.0891
90.820320 74.151 160.1434
91.186531 74.134 160.2156
91.552742 74.120 160.3002
91.918953 74.110 160.3884
92.285164 74.103 160.4720
92.651375 74.099 160.5461
93.017586 74.096 160.6100
93.383797 74.095 160.6658
93.750008 74.095 160.7161
94.116219 74.097 160.7608
94.482430 74.101 160.7973
94.848641 74.106 160.8215
95.214851 74.113 160.8304
95.581062 74.119 160.8234
95.947273 74.126 160.8024
96.313484 74.133 160.7698
96.679695 74.139 160.7274
97.045906 74.144 160.6750
97.412117 74.150 160.6115
97.778328 74.155 160.5355
98.144539 74.159 160.4472
98.510750 74.161 160.3481
98.876961 74.162 160.2410
99.243172 74.161 160.1282
99.609383 74.158 160.0123
99.975594 74.154 159.8948
100.341805 74.148 159.7770
100.708016 74.141 159.6601
101.074227 74.133 159.5451
101.440438 74.124 159.4327
101.806649 74.113 159.3237
102.172860 74.102 159.2183
102.539071 74.090 159.1166
102.905282 74.078 159.0189
103.271493 74.065 158.9246
103.637704 74.052 158.8335
104.003915 74.039 158.7451
104.370126 74.025 158.6596
104.736337 74.010 158.5775
105.102548 73.995 158.4996
105.468759 73.980 158.4266
105.834970 73.965 158.3583
106.201180 73.950 158.2939
106.567391 73.935 158.2321
106.933602 73.920 158.1717
107.299813 73.905 158.1120
107.666024 73.891 158.0532
108.032235 73.876 157.9958
108.398446 73.861 157.9404
108.764657 73.845 157.8875
109.130868 73.830 157.8374
109.497079 73.815 157.7900
109.863290 73.800 157.7452
110.229501 73.785 157.7029
110.595712 73.771 157.6625
110.961923 73.756 157.6237
111.328134 73.742 157.5859
111.694345 73.728 157.5491
112.060556 73.714 157.5132
112.426767 73.700 157.4787
112.792978 73.686 157.4456
113.159189 73.673 157.4135
113.525400 73.659 157.3816
113.891611 73.645 157.3494
114.257822 73.632 157.3168
114.624033 73.618 157.2847
114.990244 73.604 157.2542
115.356455 73.589 157.2264
115.722666 73.575 157.2017
116.088877 73.561 157.1792
116.455088 73.548 157.1578
116.821299 73.535 157.1364
117.187510 73.522 157.1142
117.553720 73.509 157.0912
117.919931 73.496 157.0680
118.286142 73.483 157.0448
118.652353 73.471 157.0220
119.018564 73.458 156.9994
119.384775 73.446 156.9770
119.750986 73.434 156.9547
120.117197 73.422 156.9323
120.483408 73.410 156.9095
120.849619 73.398 156.8860
121.215830 73.386 156.8616
121.582041 73.375 156.8361
121.948252 73.363 156.8097
122.314463 73.351 156.7827
122.680674 73.339 156.7557
123.046885 73.327 156.7289
123.413096 73.314 156.7025
123.779307 73.302 156.6762
124.145518 73.290 156.6503
124.511729 73.277 156.6252
124.877940 73.265 156.6011
125.244151 73.253 156.5786
125.610362 73.241 156.5576
125.976573 73.229 156.5379
126.342784 73.217 156.5190
126.708995 73.206 156.5005
127.075206 73.195 156.4823
127.441417 73.183 156.4642
127.807628 73.172 156.4466
128.173839 73.160 156.4295
128.540049 73.149 156.4130
128.906260 73.138 156.3970
129.272471 73.126 156.3816
129.638682 73.115 156.3666
130.004893 73.103 156.3522
130.371104 73.092 156.3385
130.737315 73.080 156.3256
131.103526 73.069 156.3137
131.469737 73.057 156.3028
131.835948 73.046 156.2928
132.202159 73.035 156.2832
132.568370 73.024 156.2739
132.934581 73.013 156.2646
133.300792 73.002 156.2553
133.667003 72.992 156.2463
134.033214 72.981 156.2379
134.399425 72.970 156.2305
134.765636 72.959 156.2242
135.131847 72.948 156.2191
135.498058 72.938 156.2148
135.864269 72.927 156.2109
136.230480 72.917 156.2071
136.596691 72.907 156.2029
136.962902 72.896 156.1986
137.329113 72.886 156.1947
137.695324 72.876 156.1916
138.061535 72.865 156.1897
138.427746 72.855 156.1891
138.793957 72.845 156.1891
139.160168 72.834 156.1893
139.526379 72.825 156.1891
139.892589 72.815 156.1887
140.258800 72.805 156.1880
140.625011 72.795 156.1876
140.991222 72.786 156.1875
141.357433 72.776 156.1877
141.723644 72.767 156.1882
142.089855 72.757 156.1885
142.456066 72.748 156.1885
142.822277 72.739 156.1882
143.188488 72.730 156.1878
143.554699 72.721 156.1874
143.920910 72.712 156.1871
144.287121 72.703 156.1868
144.653332 72.694 156.1861
145.019543 72.686 156.1848
145.385754 72.677 156.1826
145.751965 72.668 156.1794
146.118176 72.659 156.1757
146.484387 72.649 156.1718
146.850598 72.640 156.1686
147.216809 72.630 156.1661
147.583020 72.621 156.1642
147.949231 72.611 156.1625
148.315442 72.602 156.1602
148.681653 72.592 156.1566
149.047864 72.582 156.1517
149.414075 72.573 156.1456
149.780286 72.563 156.1390
150.146497 72.552 156.1324
150.512708 72.542 156.1266
