* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 5:19:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SR5 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.363 -32.5717
0.732422 67.170 -64.3388
1.098633 64.773 -94.2029
1.464844 60.007 -118.9979
1.831055 48.163 -94.9040
2.197266 58.471 -24.8800
2.563477 64.297 -41.8803
2.929688 67.043 -62.0324
3.295899 68.243 -80.0636
3.662110 68.445 -93.7540
4.028321 68.148 -101.1233
4.394532 68.090 -102.1029
4.760743 68.806 -101.2480
5.126954 69.936 -103.3881
5.493164 70.870 -108.5713
5.859375 71.371 -114.5507
6.225586 71.507 -119.3026
6.591797 71.521 -121.8982
6.958008 71.663 -122.9502
7.324219 71.991 -124.0326
7.690430 72.363 -126.1161
8.056641 72.619 -128.9519
8.422852 72.720 -131.7273
8.789063 72.732 -133.8516
9.155274 72.755 -135.3392
9.521485 72.836 -136.6606
9.887696 72.945 -138.2268
10.253907 72.959 -140.0579
10.620118 72.897 -141.9036
10.986329 72.811 -143.5531
11.352540 72.734 -145.0055
11.718751 72.675 -146.3965
12.084962 72.623 -147.8135
12.451173 72.567 -149.2169
12.817384 72.552 -150.5202
13.183595 72.550 -151.7068
13.549806 72.558 -152.8438
13.916017 72.567 -153.9938
14.282228 72.564 -155.1365
14.648439 72.546 -156.1913
15.014650 72.524 -157.1080
15.380861 72.509 -157.9249
15.747072 72.503 -158.7328
16.113283 72.501 -159.5873
16.479493 72.496 -160.4637
16.845704 72.478 -161.2961
17.211915 72.456 -162.0495
17.578126 72.437 -162.7512
17.944337 72.423 -163.4568
18.310548 72.410 -164.1946
18.676759 72.392 -164.9471
19.042970 72.369 -165.6809
19.409181 72.347 -166.3835
19.775392 72.328 -167.0690
20.141603 72.312 -167.7526
20.507814 72.298 -168.4302
20.874025 72.284 -169.0851
21.240236 72.272 -169.7101
21.606447 72.263 -170.3164
21.972658 72.256 -170.9189
22.338869 72.248 -171.5156
22.705080 72.236 -172.0878
23.071291 72.223 -172.6198
23.437502 72.213 -173.1175
23.803713 72.204 -173.6034
24.169924 72.195 -174.0950
24.536135 72.183 -174.5887
24.902346 72.167 -175.0670
25.268557 72.149 -175.5180
25.634768 72.131 -175.9480
26.000979 72.115 -176.3743
26.367190 72.099 -176.8082
26.733401 72.082 -177.2477
27.099612 72.063 -177.6840
27.465823 72.043 -178.1129
27.832033 72.025 -178.5378
28.198244 72.007 -178.9628
28.564455 71.988 -179.3858
28.930666 71.970 -179.8009
29.296877 71.954 179.7943
29.663088 71.938 179.3953
30.029299 71.924 178.9961
30.395510 71.910 178.5972
30.761721 71.895 178.2069
31.127932 71.880 177.8332
31.494143 71.865 177.4760
31.860354 71.851 177.1273
32.226565 71.837 176.7798
32.592776 71.823 176.4332
32.958987 71.807 176.0938
33.325198 71.790 175.7669
33.691409 71.774 175.4516
34.057620 71.757 175.1420
34.423831 71.741 174.8328
34.790042 71.725 174.5228
35.156253 71.708 174.2141
35.522464 71.691 173.9077
35.888675 71.674 173.6029
36.254886 71.656 173.2991
36.621097 71.639 172.9969
36.987308 71.622 172.6979
37.353519 71.605 172.4021
37.719730 71.589 172.1077
38.085941 71.573 171.8130
38.452152 71.557 171.5196
38.818363 71.540 171.2308
39.184573 71.524 170.9498
39.550784 71.508 170.6759
39.916995 71.493 170.4059
40.283206 71.478 170.1371
40.649417 71.464 169.8692
41.015628 71.450 169.6041
41.381839 71.435 169.3434
41.748050 71.420 169.0874
42.114261 71.405 168.8361
42.480472 71.389 168.5900
42.846683 71.374 168.3487
43.212894 71.360 168.1102
43.579105 71.345 167.8707
43.945316 71.331 167.6279
44.311527 71.317 167.3833
44.677738 71.301 167.1421
45.043949 71.285 166.9083
45.410160 71.270 166.6808
45.776371 71.256 166.4545
46.142582 71.242 166.2247
46.508793 71.228 165.9920
46.875004 71.213 165.7622
47.241215 71.197 165.5404
47.607426 71.182 165.3262
47.973637 71.169 165.1136
48.339848 71.155 164.8967
48.706059 71.142 164.6745
49.072270 71.127 164.4528
49.438481 71.111 164.2380
49.804692 71.096 164.0325
50.170902 71.081 163.8322
50.537113 71.068 163.6301
50.903324 71.055 163.4222
51.269535 71.041 163.2101
51.635746 71.027 162.9997
52.001957 71.011 162.7965
52.368168 70.996 162.6018
52.734379 70.982 162.4123
53.100590 70.969 162.2222
53.466801 70.957 162.0275
53.833012 70.944 161.8281
54.199223 70.930 161.6285
54.565434 70.916 161.4340
54.931645 70.901 161.2474
55.297856 70.887 161.0677
55.664067 70.874 160.8899
56.030278 70.861 160.7095
56.396489 70.848 160.5250
56.762700 70.834 160.3391
57.128911 70.820 160.1557
57.495122 70.805 159.9776
57.861333 70.790 159.8041
58.227544 70.776 159.6323
58.593755 70.762 159.4597
58.959966 70.748 159.2861
59.326177 70.734 159.1131
59.692388 70.719 158.9431
60.058599 70.705 158.7769
60.424810 70.691 158.6129
60.791021 70.678 158.4485
61.157232 70.666 158.2812
61.523442 70.653 158.1107
61.889653 70.640 157.9385
62.255864 70.626 157.7678
62.622075 70.612 157.6014
62.988286 70.598 157.4402
63.354497 70.584 157.2827
63.720708 70.570 157.1263
64.086919 70.556 156.9692
64.453130 70.543 156.8111
64.819341 70.529 156.6536
65.185552 70.514 156.4985
65.551763 70.500 156.3464
65.917974 70.486 156.1962
66.284185 70.472 156.0464
66.650396 70.458 155.8957
67.016607 70.444 155.7441
67.382818 70.430 155.5926
67.749029 70.416 155.4419
68.115240 70.401 155.2929
68.481451 70.387 155.1461
68.847662 70.372 155.0016
69.213873 70.358 154.8591
69.580084 70.344 154.7176
69.946295 70.331 154.5760
70.312506 70.317 154.4337
70.678717 70.304 154.2905
71.044928 70.290 154.1473
71.411139 70.277 154.0047
71.777350 70.263 153.8635
72.143561 70.249 153.7241
72.509771 70.235 153.5867
72.875982 70.221 153.4518
73.242193 70.207 153.3192
73.608404 70.193 153.1880
73.974615 70.180 153.0570
74.340826 70.167 152.9249
74.707037 70.153 152.7915
75.073248 70.140 152.6576
75.439459 70.126 152.5245
75.805670 70.112 152.3933
76.171881 70.098 152.2643
76.538092 70.084 152.1370
76.904303 70.070 152.0103
77.270514 70.057 151.8839
77.636725 70.043 151.7572
78.002936 70.030 151.6305
78.369147 70.017 151.5040
78.735358 70.003 151.3779
79.101569 69.990 151.2526
79.467780 69.977 151.1281
79.833991 69.963 151.0044
80.200202 69.950 150.8815
80.566413 69.937 150.7595
80.932624 69.924 150.6380
81.298835 69.911 150.5172
81.665046 69.898 150.3973
82.031257 69.885 150.2784
82.397468 69.872 150.1605
82.763679 69.859 150.0433
83.129890 69.846 149.9263
83.496101 69.834 149.8088
83.862311 69.821 149.6907
84.228522 69.808 149.5724
84.594733 69.795 149.4551
84.960944 69.782 149.3403
85.327155 69.768 149.2285
85.693366 69.755 149.1198
86.059577 69.742 149.0130
86.425788 69.730 148.9066
86.791999 69.717 148.7994
87.158210 69.705 148.6908
87.524421 69.693 148.5809
87.890632 69.681 148.4704
88.256843 69.668 148.3604
88.623054 69.656 148.2516
88.989265 69.643 148.1440
89.355476 69.631 148.0370
89.721687 69.618 147.9296
90.087898 69.606 147.8210
90.454109 69.594 147.7116
90.820320 69.581 147.6022
91.186531 69.568 147.4939
91.552742 69.555 147.3874
91.918953 69.543 147.2826
92.285164 69.530 147.1787
92.651375 69.518 147.0750
93.017586 69.506 146.9713
93.383797 69.493 146.8679
93.750008 69.481 146.7654
94.116219 69.469 146.6643
94.482430 69.456 146.5645
94.848641 69.444 146.4657
95.214851 69.432 146.3675
95.581062 69.420 146.2696
95.947273 69.409 146.1720
96.313484 69.397 146.0748
96.679695 69.385 145.9781
97.045906 69.373 145.8820
97.412117 69.361 145.7859
97.778328 69.350 145.6897
98.144539 69.338 145.5928
98.510750 69.326 145.4953
98.876961 69.314 145.3979
99.243172 69.301 145.3017
99.609383 69.289 145.2073
99.975594 69.277 145.1152
100.341805 69.265 145.0247
100.708016 69.253 144.9346
101.074227 69.241 144.8439
101.440438 69.230 144.7518
101.806649 69.218 144.6589
102.172860 69.207 144.5660
102.539071 69.195 144.4742
102.905282 69.183 144.3840
103.271493 69.171 144.2949
103.637704 69.160 144.2063
104.003915 69.148 144.1176
104.370126 69.137 144.0285
104.736337 69.125 143.9395
105.102548 69.114 143.8515
105.468759 69.102 143.7646
105.834970 69.090 143.6790
106.201180 69.078 143.5940
106.567391 69.067 143.5092
106.933602 69.056 143.4241
107.299813 69.044 143.3386
107.666024 69.033 143.2528
108.032235 69.021 143.1669
108.398446 69.010 143.0811
108.764657 68.999 142.9957
109.130868 68.987 142.9110
109.497079 68.976 142.8273
109.863290 68.964 142.7444
110.229501 68.953 142.6625
110.595712 68.942 142.5812
110.961923 68.931 142.4999
111.328134 68.920 142.4183
111.694345 68.910 142.3360
112.060556 68.899 142.2531
112.426767 68.888 142.1699
112.792978 68.877 142.0869
113.159189 68.866 142.0049
113.525400 68.855 141.9243
113.891611 68.844 141.8453
114.257822 68.832 141.7675
114.624033 68.821 141.6907
114.990244 68.810 141.6145
115.356455 68.799 141.5387
115.722666 68.788 141.4632
116.088877 68.777 141.3879
116.455088 68.766 141.3127
116.821299 68.756 141.2374
117.187510 68.745 141.1619
117.553720 68.734 141.0864
117.919931 68.723 141.0110
118.286142 68.712 140.9361
118.652353 68.701 140.8620
119.018564 68.690 140.7886
119.384775 68.679 140.7156
119.750986 68.669 140.6428
120.117197 68.658 140.5698
120.483408 68.648 140.4968
120.849619 68.637 140.4240
121.215830 68.626 140.3516
121.582041 68.616 140.2797
121.948252 68.606 140.2082
122.314463 68.595 140.1367
122.680674 68.585 140.0648
123.046885 68.575 139.9927
123.413096 68.565 139.9207
123.779307 68.554 139.8492
124.145518 68.544 139.7786
124.511729 68.534 139.7092
124.877940 68.524 139.6407
125.244151 68.514 139.5727
125.610362 68.505 139.5046
125.976573 68.496 139.4363
126.342784 68.487 139.3673
126.708995 68.478 139.2978
127.075206 68.469 139.2280
127.441417 68.460 139.1583
127.807628 68.452 139.0890
128.173839 68.443 139.0201
128.540049 68.434 138.9518
128.906260 68.425 138.8837
129.272471 68.416 138.8160
129.638682 68.407 138.7486
130.004893 68.398 138.6817
130.371104 68.389 138.6154
130.737315 68.381 138.5496
131.103526 68.372 138.4845
131.469737 68.364 138.4198
131.835948 68.355 138.3552
132.202159 68.347 138.2904
132.568370 68.339 138.2255
132.934581 68.330 138.1603
133.300792 68.322 138.0954
133.667003 68.313 138.0311
134.033214 68.304 137.9677
134.399425 68.296 137.9054
134.765636 68.287 137.8440
135.131847 68.279 137.7831
135.498058 68.271 137.7222
135.864269 68.262 137.6607
136.230480 68.254 137.5985
136.596691 68.246 137.5356
136.962902 68.238 137.4724
137.329113 68.229 137.4089
137.695324 68.221 137.3456
138.061535 68.212 137.2826
138.427746 68.204 137.2199
138.793957 68.195 137.1579
139.160168 68.187 137.0965
139.526379 68.178 137.0359
139.892589 68.170 136.9758
140.258800 68.162 136.9161
140.625011 68.154 136.8566
140.991222 68.146 136.7972
141.357433 68.138 136.7380
141.723644 68.130 136.6793
142.089855 68.122 136.6213
142.456066 68.114 136.5641
142.822277 68.106 136.5075
143.188488 68.098 136.4512
143.554699 68.090 136.3947
143.920910 68.082 136.3382
144.287121 68.074 136.2816
144.653332 68.066 136.2252
145.019543 68.058 136.1694
145.385754 68.050 136.1144
145.751965 68.041 136.0601
146.118176 68.033 136.0065
146.484387 68.025 135.9533
146.850598 68.017 135.9003
147.216809 68.009 135.8472
147.583020 68.001 135.7940
147.949231 67.993 135.7409
148.315442 67.985 135.6879
148.681653 67.977 135.6350
149.047864 67.969 135.5823
149.414075 67.961 135.5295
149.780286 67.954 135.4764
150.146497 67.946 135.4229
150.512708 67.938 135.3689
150.878918 67.931 135.3146
