* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 5:20:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SR5 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 51.875 -89.1152
0.732422 55.719 -119.3095
1.098633 55.740 -141.6858
1.464844 51.161 -157.0775
1.831055 43.633 -45.9488
2.197266 57.210 -36.9250
2.563477 62.391 -51.4509
2.929688 65.081 -66.0313
3.295899 66.424 -78.3452
3.662110 66.969 -87.0722
4.028321 67.210 -91.6132
4.394532 67.612 -93.1786
4.760743 68.329 -94.6153
5.126954 69.135 -97.7985
5.493164 69.762 -102.4535
5.859375 70.120 -107.3240
6.225586 70.284 -111.3220
6.591797 70.408 -114.1146
6.958008 70.617 -116.2227
7.324219 70.912 -118.4644
7.690430 71.210 -121.2059
8.056641 71.432 -124.2038
8.422852 71.570 -126.9865
8.789063 71.668 -129.2737
9.155274 71.779 -131.1429
9.521485 71.918 -132.8786
9.887696 72.061 -134.6816
10.253907 72.106 -136.5298
10.620118 72.087 -138.2768
10.986329 72.050 -139.8251
11.352540 72.012 -141.2050
11.718751 71.979 -142.5158
12.084962 71.942 -143.8183
12.451173 71.896 -145.0975
12.817384 71.888 -146.3117
13.183595 71.885 -147.4564
13.549806 71.882 -148.5707
13.916017 71.877 -149.6897
14.282228 71.865 -150.8063
14.648439 71.846 -151.8831
15.014650 71.826 -152.8977
15.380861 71.810 -153.8689
15.747072 71.800 -154.8349
16.113283 71.795 -155.8124
16.479493 71.795 -156.7801
16.845704 71.792 -157.7016
17.211915 71.789 -158.5611
17.578126 71.790 -159.3736
17.944337 71.793 -160.1646
18.310548 71.796 -160.9430
18.676759 71.796 -161.6971
19.042970 71.794 -162.4126
19.409181 71.790 -163.0898
19.775392 71.787 -163.7420
20.141603 71.783 -164.3804
20.507814 71.779 -165.0037
20.874025 71.772 -165.6054
21.240236 71.763 -166.1858
21.606447 71.755 -166.7559
21.972658 71.745 -167.3268
22.338869 71.733 -167.8983
22.705080 71.719 -168.4598
23.071291 71.703 -169.0019
23.437502 71.688 -169.5275
23.803713 71.676 -170.0489
24.169924 71.665 -170.5750
24.536135 71.654 -171.1032
24.902346 71.641 -171.6228
25.268557 71.630 -172.1262
25.634768 71.619 -172.6152
26.000979 71.611 -173.0967
26.367190 71.602 -173.5743
26.733401 71.593 -174.0437
27.099612 71.582 -174.4973
27.465823 71.572 -174.9311
27.832033 71.561 -175.3475
28.198244 71.551 -175.7518
28.564455 71.541 -176.1482
28.930666 71.531 -176.5385
29.296877 71.520 -176.9242
29.663088 71.509 -177.3070
30.029299 71.496 -177.6872
30.395510 71.482 -178.0624
30.761721 71.467 -178.4286
31.127932 71.452 -178.7847
31.494143 71.437 -179.1339
31.860354 71.423 -179.4821
32.226565 71.410 -179.8327
32.592776 71.396 179.8152
32.958987 71.382 179.4648
33.325198 71.368 179.1183
33.691409 71.355 178.7751
34.057620 71.341 178.4344
34.423831 71.327 178.0977
34.790042 71.313 177.7684
35.156253 71.300 177.4487
35.522464 71.287 177.1370
35.888675 71.274 176.8294
36.254886 71.262 176.5233
36.621097 71.249 176.2200
36.987308 71.236 175.9227
37.353519 71.222 175.6331
37.719730 71.209 175.3494
38.085941 71.195 175.0679
38.452152 71.182 174.7868
38.818363 71.168 174.5074
39.184573 71.154 174.2322
39.550784 71.140 173.9625
39.916995 71.126 173.6964
40.283206 71.113 173.4309
40.649417 71.101 173.1643
41.015628 71.088 172.8971
41.381839 71.076 172.6312
41.748050 71.063 172.3683
42.114261 71.050 172.1092
42.480472 71.037 171.8540
42.846683 71.024 171.6025
43.212894 71.012 171.3543
43.579105 70.999 171.1087
43.945316 70.987 170.8649
44.311527 70.975 170.6226
44.677738 70.962 170.3821
45.043949 70.950 170.1447
45.410160 70.937 169.9112
45.776371 70.924 169.6817
46.142582 70.912 169.4557
46.508793 70.899 169.2325
46.875004 70.887 169.0107
47.241215 70.875 168.7888
47.607426 70.863 168.5654
47.973637 70.851 168.3407
48.339848 70.838 168.1167
48.706059 70.825 167.8967
49.072270 70.812 167.6829
49.438481 70.798 167.4749
49.804692 70.786 167.2699
50.170902 70.775 167.0646
50.537113 70.763 166.8572
50.903324 70.752 166.6490
51.269535 70.740 166.4421
51.635746 70.728 166.2387
52.001957 70.716 166.0389
52.368168 70.704 165.8418
52.734379 70.692 165.6465
53.100590 70.681 165.4524
53.466801 70.669 165.2595
53.833012 70.658 165.0674
54.199223 70.646 164.8757
54.565434 70.634 164.6836
54.931645 70.623 164.4914
55.297856 70.611 164.2998
55.664067 70.599 164.1100
56.030278 70.586 163.9232
56.396489 70.574 163.7394
56.762700 70.562 163.5577
57.128911 70.550 163.3768
57.495122 70.539 163.1957
57.861333 70.527 163.0144
58.227544 70.515 162.8341
58.593755 70.503 162.6566
58.959966 70.491 162.4830
59.326177 70.479 162.3126
59.692388 70.467 162.1435
60.058599 70.456 161.9736
60.424810 70.445 161.8019
60.791021 70.434 161.6290
61.157232 70.422 161.4567
61.523442 70.410 161.2867
61.889653 70.397 161.1201
62.255864 70.385 160.9565
62.622075 70.372 160.7952
62.988286 70.360 160.6349
63.354497 70.348 160.4745
63.720708 70.336 160.3130
64.086919 70.323 160.1507
64.453130 70.311 159.9885
64.819341 70.298 159.8279
65.185552 70.285 159.6701
65.551763 70.272 159.5154
65.917974 70.259 159.3628
66.284185 70.247 159.2108
66.650396 70.235 159.0587
67.016607 70.223 158.9063
67.382818 70.210 158.7544
67.749029 70.198 158.6039
68.115240 70.185 158.4551
68.481451 70.173 158.3082
68.847662 70.161 158.1624
69.213873 70.148 158.0175
69.580084 70.136 157.8730
69.946295 70.124 157.7289
70.312506 70.112 157.5852
70.678717 70.099 157.4421
71.044928 70.087 157.2998
71.411139 70.074 157.1581
71.777350 70.062 157.0166
72.143561 70.050 156.8751
72.509771 70.038 156.7334
72.875982 70.025 156.5919
73.242193 70.013 156.4510
73.608404 70.001 156.3114
73.974615 69.988 156.1733
74.340826 69.976 156.0367
74.707037 69.964 155.9011
75.073248 69.952 155.7662
75.439459 69.940 155.6317
75.805670 69.928 155.4977
76.171881 69.916 155.3645
76.538092 69.904 155.2322
76.904303 69.892 155.1011
77.270514 69.880 154.9714
77.636725 69.867 154.8432
78.002936 69.855 154.7170
78.369147 69.843 154.5928
78.735358 69.831 154.4702
79.101569 69.820 154.3479
79.467780 69.809 154.2247
79.833991 69.798 154.0996
80.200202 69.786 153.9728
80.566413 69.775 153.8452
80.932624 69.763 153.7184
81.298835 69.751 153.5934
81.665046 69.739 153.4706
82.031257 69.727 153.3496
82.397468 69.715 153.2296
82.763679 69.703 153.1099
83.129890 69.692 152.9904
83.496101 69.680 152.8707
83.862311 69.669 152.7508
84.228522 69.657 152.6308
84.594733 69.645 152.5112
84.960944 69.633 152.3926
85.327155 69.622 152.2755
85.693366 69.610 152.1600
86.059577 69.598 152.0454
86.425788 69.587 151.9309
86.791999 69.576 151.8159
87.158210 69.565 151.7002
87.524421 69.553 151.5843
87.890632 69.542 151.4690
88.256843 69.530 151.3552
88.623054 69.518 151.2434
88.989265 69.507 151.1337
89.355476 69.495 151.0256
89.721687 69.484 150.9185
90.087898 69.473 150.8116
90.454109 69.462 150.7043
90.820320 69.452 150.5964
91.186531 69.441 150.4879
91.552742 69.430 150.3795
91.918953 69.418 150.2719
92.285164 69.407 150.1655
92.651375 69.396 150.0604
93.017586 69.384 149.9565
93.383797 69.373 149.8533
93.750008 69.362 149.7508
94.116219 69.351 149.6487
94.482430 69.340 149.5467
94.848641 69.329 149.4446
95.214851 69.318 149.3421
95.581062 69.307 149.2390
95.947273 69.297 149.1353
96.313484 69.285 149.0317
96.679695 69.274 148.9290
97.045906 69.263 148.8276
97.412117 69.251 148.7278
97.778328 69.240 148.6293
98.144539 69.229 148.5315
98.510750 69.218 148.4339
98.876961 69.207 148.3361
99.243172 69.196 148.2382
99.609383 69.185 148.1407
99.975594 69.174 148.0439
100.341805 69.163 147.9484
100.708016 69.152 147.8539
101.074227 69.141 147.7602
101.440438 69.131 147.6666
101.806649 69.120 147.5725
102.172860 69.110 147.4776
102.539071 69.100 147.3820
102.905282 69.089 147.2861
103.271493 69.079 147.1905
103.637704 69.068 147.0955
104.003915 69.058 147.0015
104.370126 69.047 146.9084
104.736337 69.036 146.8161
105.102548 69.026 146.7245
105.468759 69.016 146.6334
105.834970 69.005 146.5424
106.201180 68.995 146.4517
106.567391 68.984 146.3613
106.933602 68.974 146.2716
107.299813 68.964 146.1828
107.666024 68.953 146.0949
108.032235 68.943 146.0076
108.398446 68.933 145.9203
108.764657 68.922 145.8327
109.130868 68.912 145.7446
109.497079 68.902 145.6561
109.863290 68.892 145.5674
110.229501 68.881 145.4788
110.595712 68.871 145.3910
110.961923 68.860 145.3043
111.328134 68.849 145.2194
111.694345 68.838 145.1360
112.060556 68.828 145.0537
112.426767 68.818 144.9717
112.792978 68.808 144.8891
113.159189 68.798 144.8057
113.525400 68.788 144.7217
113.891611 68.777 144.6380
114.257822 68.767 144.5553
114.624033 68.757 144.4738
114.990244 68.747 144.3932
115.356455 68.737 144.3128
115.722666 68.727 144.2322
116.088877 68.717 144.1513
116.455088 68.707 144.0705
116.821299 68.697 143.9901
117.187510 68.686 143.9102
117.553720 68.676 143.8305
117.919931 68.666 143.7509
118.286142 68.656 143.6710
118.652353 68.646 143.5911
119.018564 68.636 143.5115
119.384775 68.626 143.4324
119.750986 68.616 143.3540
120.117197 68.606 143.2762
120.483408 68.596 143.1989
120.849619 68.586 143.1217
121.215830 68.577 143.0447
121.582041 68.567 142.9682
121.948252 68.557 142.8921
122.314463 68.548 142.8163
122.680674 68.538 142.7408
123.046885 68.529 142.6652
123.413096 68.520 142.5894
123.779307 68.511 142.5138
124.145518 68.501 142.4387
124.511729 68.492 142.3646
124.877940 68.483 142.2920
125.244151 68.474 142.2207
125.610362 68.465 142.1504
125.976573 68.457 142.0805
126.342784 68.448 142.0107
126.708995 68.440 141.9409
127.075206 68.432 141.8713
127.441417 68.423 141.8023
127.807628 68.415 141.7336
128.173839 68.407 141.6649
128.540049 68.399 141.5955
128.906260 68.391 141.5248
129.272471 68.383 141.4531
129.638682 68.375 141.3807
130.004893 68.367 141.3084
130.371104 68.358 141.2368
130.737315 68.350 141.1660
131.103526 68.342 141.0960
131.469737 68.333 141.0264
131.835948 68.325 140.9570
132.202159 68.317 140.8876
132.568370 68.310 140.8184
132.934581 68.302 140.7494
133.300792 68.294 140.6806
133.667003 68.286 140.6120
134.033214 68.279 140.5435
134.399425 68.271 140.4752
134.765636 68.264 140.4072
135.131847 68.256 140.3398
135.498058 68.248 140.2730
135.864269 68.240 140.2068
136.230480 68.233 140.1412
136.596691 68.225 140.0759
136.962902 68.217 140.0112
137.329113 68.209 139.9469
137.695324 68.202 139.8831
138.061535 68.194 139.8196
138.427746 68.186 139.7563
138.793957 68.178 139.6931
139.160168 68.170 139.6299
139.526379 68.163 139.5671
139.892589 68.155 139.5049
140.258800 68.147 139.4434
140.625011 68.139 139.3825
140.991222 68.131 139.3220
141.357433 68.124 139.2613
141.723644 68.117 139.2002
142.089855 68.109 139.1385
142.456066 68.102 139.0765
142.822277 68.095 139.0143
143.188488 68.087 138.9523
143.554699 68.080 138.8905
143.920910 68.072 138.8291
144.287121 68.065 138.7680
144.653332 68.058 138.7072
145.019543 68.051 138.6464
145.385754 68.043 138.5857
145.751965 68.036 138.5251
146.118176 68.029 138.4646
146.484387 68.021 138.4043
146.850598 68.014 138.3444
147.216809 68.007 138.2849
147.583020 67.999 138.2260
147.949231 67.992 138.1675
148.315442 67.985 138.1093
148.681653 67.977 138.0512
149.047864 67.970 137.9932
149.414075 67.963 137.9353
149.780286 67.956 137.8774
150.146497 67.948 137.8197
150.512708 67.941 137.7621
150.878918 67.934 137.7047
