* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 3:56:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Elise X Sym Helios SE Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.285 158.4453
0.732422 70.433 136.9594
1.098633 66.925 115.6705
1.464844 60.451 95.1357
1.831055 38.739 99.0641
2.197266 54.898 -133.9643
2.563477 57.613 -154.8453
2.929688 55.646 -179.5856
3.295899 48.412 137.2461
3.662110 48.795 16.0215
4.028321 54.871 -19.1360
4.394532 56.610 -32.3991
4.760743 56.572 -31.8895
5.126954 57.221 -19.0656
5.493164 59.545 -10.1114
5.859375 61.792 -11.2669
6.225586 63.175 -17.1344
6.591797 63.785 -23.4070
6.958008 63.963 -27.8317
7.324219 64.135 -30.1088
7.690430 64.585 -31.8965
8.056641 65.263 -35.1010
8.422852 65.956 -40.0710
8.789063 66.536 -45.9131
9.155274 67.012 -51.5872
9.521485 67.465 -56.5445
9.887696 67.965 -60.8369
10.253907 68.451 -64.8082
10.620118 68.919 -68.6790
10.986329 69.356 -72.4067
11.352540 69.744 -75.8395
11.718751 70.093 -78.9117
12.084962 70.413 -81.6980
12.451173 70.706 -84.3250
12.817384 71.007 -86.8609
13.183595 71.271 -89.2960
13.549806 71.497 -91.6077
13.916017 71.697 -93.8246
14.282228 71.880 -96.0229
14.648439 72.045 -98.2682
15.014650 72.190 -100.5691
15.380861 72.314 -102.8866
15.747072 72.426 -105.1816
16.113283 72.539 -107.4485
16.479493 72.663 -109.7068
16.845704 72.789 -111.9664
17.211915 72.911 -114.2078
17.578126 73.031 -116.3940
17.944337 73.149 -118.4979
18.310548 73.267 -120.5158
18.676759 73.384 -122.4573
19.042970 73.497 -124.3261
19.409181 73.602 -126.1137
19.775392 73.698 -127.8102
20.141603 73.787 -129.4177
20.507814 73.871 -130.9512
20.874025 73.946 -132.4289
21.240236 74.013 -133.8635
21.606447 74.070 -135.2634
21.972658 74.120 -136.6396
22.338869 74.162 -138.0065
22.705080 74.197 -139.3744
23.071291 74.223 -140.7414
23.437502 74.243 -142.0955
23.803713 74.259 -143.4266
24.169924 74.274 -144.7370
24.536135 74.292 -146.0401
24.902346 74.312 -147.3477
25.268557 74.331 -148.6589
25.634768 74.350 -149.9596
26.000979 74.367 -151.2330
26.367190 74.383 -152.4689
26.733401 74.399 -153.6655
27.099612 74.416 -154.8243
27.465823 74.431 -155.9461
27.832033 74.446 -157.0312
28.198244 74.459 -158.0831
28.564455 74.469 -159.1084
28.930666 74.476 -160.1119
29.296877 74.478 -161.0922
29.663088 74.474 -162.0435
30.029299 74.467 -162.9625
30.395510 74.458 -163.8549
30.761721 74.449 -164.7337
31.127932 74.438 -165.6118
31.494143 74.426 -166.4944
31.860354 74.410 -167.3789
32.226565 74.392 -168.2590
32.592776 74.373 -169.1306
32.958987 74.354 -169.9922
33.325198 74.334 -170.8433
33.691409 74.314 -171.6821
34.057620 74.295 -172.5065
34.423831 74.277 -173.3163
34.790042 74.260 -174.1132
35.156253 74.243 -174.8978
35.522464 74.226 -175.6680
35.888675 74.208 -176.4194
36.254886 74.190 -177.1491
36.621097 74.172 -177.8592
36.987308 74.154 -178.5560
37.353519 74.135 -179.2464
37.719730 74.115 -179.9328
38.085941 74.092 179.3871
38.452152 74.066 178.7194
38.818363 74.037 178.0693
39.184573 74.007 177.4392
39.550784 73.977 176.8269
39.916995 73.948 176.2269
40.283206 73.920 175.6315
40.649417 73.894 175.0340
41.015628 73.867 174.4310
41.381839 73.840 173.8239
41.748050 73.811 173.2176
42.114261 73.780 172.6184
42.480472 73.749 172.0312
42.846683 73.717 171.4585
43.212894 73.685 170.9009
43.579105 73.654 170.3578
43.945316 73.623 169.8270
44.311527 73.595 169.3040
44.677738 73.567 168.7833
45.043949 73.539 168.2614
45.410160 73.510 167.7391
45.776371 73.480 167.2226
46.142582 73.449 166.7199
46.508793 73.417 166.2359
46.875004 73.386 165.7682
47.241215 73.357 165.3083
47.607426 73.330 164.8454
47.973637 73.303 164.3729
48.339848 73.274 163.8924
48.706059 73.243 163.4138
49.072270 73.209 162.9504
49.438481 73.174 162.5121
49.804692 73.140 162.0986
50.170902 73.109 161.6987
50.537113 73.082 161.2949
50.903324 73.055 160.8738
51.269535 73.028 160.4336
51.635746 72.996 159.9857
52.001957 72.961 159.5477
52.368168 72.923 159.1319
52.734379 72.885 158.7388
53.100590 72.849 158.3585
53.466801 72.814 157.9791
53.833012 72.780 157.5961
54.199223 72.745 157.2138
54.565434 72.709 156.8397
54.931645 72.674 156.4755
55.297856 72.641 156.1153
55.664067 72.610 155.7502
56.030278 72.578 155.3775
56.396489 72.545 155.0042
56.762700 72.511 154.6426
57.128911 72.477 154.2995
57.495122 72.446 153.9695
57.861333 72.417 153.6383
58.227544 72.389 153.2935
58.593755 72.359 152.9355
58.959966 72.325 152.5785
59.326177 72.289 152.2408
59.692388 72.251 151.9316
60.058599 72.215 151.6453
60.424810 72.181 151.3660
60.791021 72.149 151.0798
61.157232 72.116 150.7836
61.523442 72.081 150.4850
61.889653 72.045 150.1936
62.255864 72.009 149.9122
62.622075 71.974 149.6352
62.988286 71.941 149.3535
63.354497 71.907 149.0621
63.720708 71.872 148.7639
64.086919 71.835 148.4662
64.453130 71.798 148.1761
64.819341 71.761 147.8959
65.185552 71.726 147.6236
65.551763 71.691 147.3553
65.917974 71.658 147.0888
66.284185 71.625 146.8235
66.650396 71.594 146.5603
67.016607 71.562 146.2997
67.382818 71.531 146.0411
67.749029 71.501 145.7829
68.115240 71.470 145.5238
68.481451 71.439 145.2640
68.847662 71.406 145.0066
69.213873 71.372 144.7570
69.580084 71.338 144.5202
69.946295 71.303 144.2972
70.312506 71.270 144.0834
70.678717 71.238 143.8707
71.044928 71.207 143.6521
71.411139 71.176 143.4265
71.777350 71.144 143.1987
72.143561 71.111 142.9753
72.509771 71.078 142.7598
72.875982 71.047 142.5494
73.242193 71.016 142.3376
73.608404 70.987 142.1189
73.974615 70.957 141.8920
74.340826 70.926 141.6609
74.707037 70.894 141.4318
75.073248 70.861 141.2107
75.439459 70.828 141.0006
75.805670 70.795 140.8009
76.171881 70.764 140.6075
76.538092 70.734 140.4144
76.904303 70.706 140.2162
77.270514 70.677 140.0116
77.636725 70.647 139.8036
78.002936 70.616 139.5987
78.369147 70.585 139.4012
78.735358 70.554 139.2103
79.101569 70.524 139.0203
79.467780 70.495 138.8255
79.833991 70.465 138.6252
80.200202 70.434 138.4248
80.566413 70.402 138.2319
80.932624 70.369 138.0503
81.298835 70.337 137.8778
81.665046 70.307 137.7087
82.031257 70.276 137.5400
82.397468 70.246 137.3734
82.763679 70.216 137.2134
83.129890 70.187 137.0607
83.496101 70.160 136.9092
83.862311 70.135 136.7490
84.228522 70.110 136.5730
84.594733 70.083 136.3835
84.960944 70.054 136.1912
85.327155 70.022 136.0090
85.693366 69.989 135.8443
86.059577 69.958 135.6955
86.425788 69.928 135.5551
86.791999 69.899 135.4155
87.158210 69.873 135.2726
87.524421 69.846 135.1257
87.890632 69.821 134.9749
88.256843 69.796 134.8188
88.623054 69.772 134.6562
88.989265 69.747 134.4880
89.355476 69.720 134.3187
89.721687 69.693 134.1544
90.087898 69.666 133.9993
90.454109 69.639 133.8525
90.820320 69.613 133.7095
91.186531 69.588 133.5645
91.552742 69.564 133.4150
91.918953 69.539 133.2622
92.285164 69.513 133.1105
92.651375 69.486 132.9644
93.017586 69.458 132.8265
93.383797 69.431 132.6962
93.750008 69.405 132.5705
94.116219 69.380 132.4448
94.482430 69.355 132.3155
94.848641 69.329 132.1813
95.214851 69.303 132.0445
95.581062 69.276 131.9104
95.947273 69.248 131.7847
96.313484 69.220 131.6699
96.679695 69.193 131.5635
97.045906 69.168 131.4585
97.412117 69.144 131.3479
97.778328 69.121 131.2288
98.144539 69.097 131.1039
98.510750 69.072 130.9798
98.876961 69.047 130.8615
99.243172 69.022 130.7495
99.609383 68.999 130.6389
99.975594 68.977 130.5237
100.341805 68.954 130.4011
100.708016 68.931 130.2736
101.074227 68.907 130.1481
101.440438 68.882 130.0302
101.806649 68.857 129.9213
102.172860 68.834 129.8169
102.539071 68.811 129.7101
102.905282 68.790 129.5963
103.271493 68.767 129.4756
103.637704 68.743 129.3536
104.003915 68.718 129.2369
104.370126 68.693 129.1296
104.736337 68.668 129.0311
105.102548 68.644 128.9370
105.468759 68.621 128.8425
105.834970 68.599 128.7445
106.201180 68.577 128.6435
106.567391 68.554 128.5414
106.933602 68.532 128.4403
107.299813 68.509 128.3404
107.666024 68.487 128.2406
108.032235 68.465 128.1400
108.398446 68.443 128.0385
108.764657 68.421 127.9376
109.130868 68.398 127.8387
109.497079 68.376 127.7425
109.863290 68.354 127.6480
110.229501 68.332 127.5535
110.595712 68.311 127.4577
110.961923 68.290 127.3606
111.328134 68.269 127.2631
111.694345 68.247 127.1666
112.060556 68.226 127.0721
112.426767 68.204 126.9796
112.792978 68.183 126.8890
113.159189 68.161 126.8003
113.525400 68.140 126.7138
113.891611 68.118 126.6302
114.257822 68.097 126.5498
114.624033 68.076 126.4725
114.990244 68.055 126.3975
115.356455 68.035 126.3237
115.722666 68.016 126.2496
116.088877 67.997 126.1744
116.455088 67.977 126.0974
116.821299 67.958 126.0189
117.187510 67.939 125.9396
117.553720 67.920 125.8600
117.919931 67.901 125.7805
118.286142 67.882 125.7002
118.652353 67.862 125.6183
119.018564 67.843 125.5345
119.384775 67.823 125.4495
119.750986 67.803 125.3652
120.117197 67.782 125.2841
120.483408 67.762 125.2082
120.849619 67.741 125.1380
121.215830 67.721 125.0724
121.582041 67.702 125.0091
121.948252 67.683 124.9453
122.314463 67.666 124.8782
122.680674 67.649 124.8059
123.046885 67.632 124.7276
123.413096 67.615 124.6442
123.779307 67.597 124.5579
124.145518 67.578 124.4725
124.511729 67.558 124.3912
124.877940 67.538 124.3162
125.244151 67.519 124.2474
125.610362 67.500 124.1829
125.976573 67.483 124.1201
126.342784 67.466 124.0563
126.708995 67.450 123.9906
127.075206 67.434 123.9226
127.441417 67.418 123.8529
127.807628 67.402 123.7823
128.173839 67.386 123.7112
128.540049 67.370 123.6402
128.906260 67.354 123.5701
129.272471 67.338 123.5015
129.638682 67.322 123.4348
130.004893 67.306 123.3703
130.371104 67.291 123.3076
130.737315 67.276 123.2458
131.103526 67.262 123.1840
131.469737 67.248 123.1209
131.835948 67.234 123.0551
132.202159 67.220 122.9859
132.568370 67.205 122.9135
132.934581 67.189 122.8401
133.300792 67.173 122.7690
133.667003 67.155 122.7036
134.033214 67.137 122.6464
134.399425 67.120 122.5974
134.765636 67.103 122.5543
135.131847 67.087 122.5135
135.498058 67.072 122.4713
135.864269 67.058 122.4256
136.230480 67.044 122.3757
136.596691 67.030 122.3218
136.962902 67.017 122.2639
137.329113 67.004 122.2020
137.695324 66.990 122.1356
138.061535 66.976 122.0654
138.427746 66.961 121.9933
138.793957 66.946 121.9223
139.160168 66.930 121.8559
139.526379 66.914 121.7962
139.892589 66.898 121.7433
140.258800 66.883 121.6953
140.625011 66.869 121.6494
140.991222 66.856 121.6025
141.357433 66.844 121.5531
141.723644 66.833 121.5006
142.089855 66.821 121.4456
142.456066 66.810 121.3884
142.822277 66.798 121.3294
143.188488 66.786 121.2684
143.554699 66.774 121.2057
143.920910 66.762 121.1422
144.287121 66.748 121.0798
144.653332 66.734 121.0209
145.019543 66.719 120.9675
145.385754 66.704 120.9207
145.751965 66.689 120.8802
146.118176 66.674 120.8447
146.484387 66.661 120.8119
146.850598 66.648 120.7797
147.216809 66.636 120.7455
147.583020 66.625 120.7075
147.949231 66.615 120.6641
148.315442 66.604 120.6144
148.681653 66.594 120.5591
149.047864 66.583 120.4996
149.414075 66.571 120.4380
149.780286 66.559 120.3767
150.146497 66.546 120.3171
