* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 3:57:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Elise X Sym Helios SE Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.130 -22.0089
0.732422 72.232 -43.9204
1.098633 68.572 -65.5440
1.464844 61.428 -85.9157
1.831055 43.144 47.2794
2.197266 60.043 45.7143
2.563477 62.767 26.3660
2.929688 62.246 8.4025
3.295899 59.414 -3.7445
3.662110 55.076 3.5122
4.028321 55.044 30.6734
4.394532 58.066 29.2157
4.760743 59.949 11.1445
5.126954 60.926 -10.7613
5.493164 61.401 -30.3518
5.859375 61.655 -43.7015
6.225586 62.129 -49.5935
6.591797 63.250 -51.2482
6.958008 64.822 -53.5819
7.324219 66.295 -58.0073
7.690430 67.381 -63.2188
8.056641 68.091 -67.6893
8.422852 68.590 -70.6879
8.789063 69.059 -72.5273
9.155274 69.572 -74.1568
9.521485 70.079 -76.2919
9.887696 70.501 -78.9798
10.253907 70.744 -81.8755
10.620118 70.884 -84.6909
10.986329 71.003 -87.4040
11.352540 71.129 -90.1663
11.718751 71.256 -93.0809
12.084962 71.376 -96.0956
12.451173 71.493 -99.0812
12.817384 71.666 -101.9631
13.183595 71.864 -104.7615
13.549806 72.071 -107.5178
13.916017 72.273 -110.2091
14.282228 72.460 -112.7478
14.648439 72.636 -115.0588
15.014650 72.809 -117.1494
15.380861 72.983 -119.1004
15.747072 73.149 -120.9931
16.113283 73.299 -122.8472
16.479493 73.432 -124.6280
16.845704 73.541 -126.3019
17.211915 73.635 -127.8816
17.578126 73.720 -129.4194
17.944337 73.794 -130.9650
18.310548 73.854 -132.5326
18.676759 73.902 -134.1075
19.042970 73.941 -135.6752
19.409181 73.976 -137.2402
19.775392 74.011 -138.8159
20.141603 74.046 -140.4053
20.507814 74.083 -141.9940
20.874025 74.120 -143.5626
21.240236 74.160 -145.1017
21.606447 74.202 -146.6120
21.972658 74.246 -148.0916
22.338869 74.288 -149.5267
22.705080 74.328 -150.8983
23.071291 74.366 -152.1979
23.437502 74.404 -153.4346
23.803713 74.440 -154.6262
24.169924 74.472 -155.7833
24.536135 74.496 -156.9037
24.902346 74.514 -157.9810
25.268557 74.527 -159.0182
25.634768 74.536 -160.0306
26.000979 74.541 -161.0366
26.367190 74.541 -162.0453
26.733401 74.536 -163.0536
27.099612 74.525 -164.0549
27.465823 74.513 -165.0473
27.832033 74.500 -166.0358
28.198244 74.487 -167.0261
28.564455 74.474 -168.0188
28.930666 74.461 -169.0093
29.296877 74.449 -169.9925
29.663088 74.438 -170.9646
30.029299 74.427 -171.9221
30.395510 74.416 -172.8595
30.761721 74.406 -173.7700
31.127932 74.395 -174.6507
31.494143 74.386 -175.5042
31.860354 74.376 -176.3363
32.226565 74.364 -177.1501
32.592776 74.350 -177.9434
32.958987 74.333 -178.7118
33.325198 74.314 -179.4546
33.691409 74.294 179.8229
34.057620 74.272 179.1127
34.423831 74.248 178.4092
34.790042 74.222 177.7111
35.156253 74.194 177.0200
35.522464 74.165 176.3363
35.888675 74.136 175.6580
36.254886 74.106 174.9830
36.621097 74.076 174.3108
36.987308 74.046 173.6419
37.353519 74.017 172.9770
37.719730 73.988 172.3155
38.085941 73.959 171.6580
38.452152 73.930 171.0074
38.818363 73.901 170.3681
39.184573 73.872 169.7429
39.550784 73.844 169.1312
39.916995 73.815 168.5300
40.283206 73.787 167.9379
40.649417 73.758 167.3570
41.015628 73.728 166.7917
41.381839 73.697 166.2441
41.748050 73.666 165.7112
42.114261 73.636 165.1861
42.480472 73.606 164.6629
42.846683 73.575 164.1398
43.212894 73.542 163.6192
43.579105 73.509 163.1050
43.945316 73.474 162.5995
44.311527 73.440 162.1021
44.677738 73.406 161.6106
45.043949 73.372 161.1234
45.410160 73.338 160.6401
45.776371 73.304 160.1620
46.142582 73.269 159.6909
46.508793 73.235 159.2277
46.875004 73.202 158.7721
47.241215 73.168 158.3220
47.607426 73.135 157.8757
47.973637 73.102 157.4327
48.339848 73.068 156.9952
48.706059 73.033 156.5662
49.072270 72.999 156.1468
49.438481 72.964 155.7352
49.804692 72.930 155.3272
50.170902 72.897 154.9200
50.537113 72.863 154.5139
50.903324 72.828 154.1116
51.269535 72.793 153.7160
51.635746 72.758 153.3275
52.001957 72.724 152.9442
52.368168 72.690 152.5644
52.734379 72.655 152.1880
53.100590 72.621 151.8166
53.466801 72.587 151.4511
53.833012 72.553 151.0909
54.199223 72.519 150.7345
54.565434 72.485 150.3822
54.931645 72.451 150.0355
55.297856 72.416 149.6961
55.664067 72.382 149.3633
56.030278 72.347 149.0339
56.396489 72.313 148.7042
56.762700 72.278 148.3737
57.128911 72.242 148.0465
57.495122 72.204 147.7278
57.861333 72.167 147.4202
58.227544 72.130 147.1202
58.593755 72.095 146.8201
58.959966 72.061 146.5129
59.326177 72.027 146.1963
59.692388 71.991 145.8749
60.058599 71.954 145.5572
60.424810 71.917 145.2503
60.791021 71.879 144.9562
61.157232 71.843 144.6711
61.523442 71.809 144.3887
61.889653 71.775 144.1040
62.255864 71.742 143.8164
62.622075 71.709 143.5293
62.988286 71.675 143.2466
63.354497 71.640 142.9704
63.720708 71.606 142.6992
64.086919 71.571 142.4302
64.453130 71.537 142.1617
64.819341 71.501 141.8949
65.185552 71.465 141.6334
65.551763 71.429 141.3805
65.917974 71.393 141.1361
66.284185 71.357 140.8966
66.650396 71.323 140.6564
67.016607 71.289 140.4111
67.382818 71.255 140.1605
67.749029 71.220 139.9084
68.115240 71.183 139.6605
68.481451 71.146 139.4218
68.847662 71.109 139.1935
69.213873 71.074 138.9738
69.580084 71.039 138.7583
69.946295 71.006 138.5427
70.312506 70.974 138.3246
70.678717 70.942 138.1033
71.044928 70.910 137.8804
71.411139 70.877 137.6584
71.777350 70.844 137.4401
72.143561 70.811 137.2268
72.509771 70.779 137.0179
72.875982 70.747 136.8104
73.242193 70.716 136.5997
73.608404 70.684 136.3835
73.974615 70.652 136.1632
74.340826 70.618 135.9446
74.707037 70.583 135.7347
75.073248 70.547 135.5376
75.439459 70.513 135.3518
75.805670 70.479 135.1714
76.171881 70.448 134.9905
76.538092 70.416 134.8064
76.904303 70.385 134.6205
77.270514 70.354 134.4362
77.636725 70.323 134.2545
78.002936 70.293 134.0737
78.369147 70.263 133.8909
78.735358 70.232 133.7057
79.101569 70.201 133.5206
79.467780 70.169 133.3393
79.833991 70.137 133.1639
80.200202 70.106 132.9932
80.566413 70.075 132.8240
80.932624 70.044 132.6546
81.298835 70.012 132.4860
81.665046 69.981 132.3208
82.031257 69.950 132.1602
82.397468 69.919 132.0024
82.763679 69.890 131.8442
83.129890 69.860 131.6832
83.496101 69.831 131.5207
83.862311 69.802 131.3603
84.228522 69.773 131.2042
84.594733 69.745 131.0509
84.960944 69.718 130.8955
85.327155 69.691 130.7334
85.693366 69.664 130.5647
86.059577 69.636 130.3951
86.425788 69.606 130.2327
86.791999 69.575 130.0835
87.158210 69.546 129.9468
87.524421 69.517 129.8165
87.890632 69.491 129.6843
88.256843 69.464 129.5451
88.623054 69.438 129.3990
88.989265 69.410 129.2505
89.355476 69.381 129.1053
89.721687 69.351 128.9669
90.087898 69.322 128.8348
90.454109 69.294 128.7062
90.820320 69.266 128.5771
91.186531 69.239 128.4445
91.552742 69.212 128.3080
91.918953 69.185 128.1688
92.285164 69.157 128.0295
92.651375 69.130 127.8922
93.017586 69.102 127.7584
93.383797 69.075 127.6283
93.750008 69.048 127.5016
94.116219 69.021 127.3775
94.482430 68.996 127.2548
94.848641 68.971 127.1320
95.214851 68.946 127.0070
95.581062 68.922 126.8788
95.947273 68.897 126.7482
96.313484 68.871 126.6179
96.679695 68.843 126.4924
97.045906 68.816 126.3756
97.412117 68.788 126.2681
97.778328 68.762 126.1669
98.144539 68.736 126.0667
98.510750 68.712 125.9619
98.876961 68.688 125.8505
99.243172 68.663 125.7336
99.609383 68.637 125.6157
99.975594 68.611 125.5015
100.341805 68.585 125.3934
100.708016 68.559 125.2912
101.074227 68.534 125.1921
101.440438 68.511 125.0921
101.806649 68.488 124.9885
102.172860 68.465 124.8803
102.539071 68.443 124.7684
102.905282 68.421 124.6548
103.271493 68.398 124.5417
103.637704 68.375 124.4304
104.003915 68.352 124.3217
104.370126 68.329 124.2158
104.736337 68.306 124.1123
105.102548 68.283 124.0112
105.468759 68.261 123.9118
105.834970 68.238 123.8135
106.201180 68.215 123.7158
106.567391 68.192 123.6189
106.933602 68.169 123.5241
107.299813 68.146 123.4329
107.666024 68.122 123.3458
108.032235 68.099 123.2619
108.398446 68.077 123.1786
108.764657 68.055 123.0933
109.130868 68.034 123.0047
109.497079 68.012 122.9136
109.863290 67.990 122.8223
110.229501 67.967 122.7327
110.595712 67.945 122.6449
110.961923 67.924 122.5575
111.328134 67.903 122.4681
111.694345 67.882 122.3758
112.060556 67.861 122.2811
112.426767 67.840 122.1859
112.792978 67.818 122.0923
113.159189 67.797 122.0012
113.525400 67.775 121.9127
113.891611 67.754 121.8260
114.257822 67.732 121.7411
114.624033 67.711 121.6583
114.990244 67.690 121.5778
115.356455 67.670 121.4994
115.722666 67.650 121.4221
116.088877 67.630 121.3446
116.455088 67.610 121.2661
116.821299 67.590 121.1868
117.187510 67.569 121.1076
117.553720 67.549 121.0302
117.919931 67.528 120.9557
118.286142 67.507 120.8848
118.652353 67.486 120.8171
119.018564 67.466 120.7512
119.384775 67.446 120.6849
119.750986 67.427 120.6163
120.117197 67.408 120.5446
120.483408 67.388 120.4702
120.849619 67.368 120.3950
121.215830 67.348 120.3210
121.582041 67.328 120.2497
121.948252 67.308 120.1809
122.314463 67.288 120.1137
122.680674 67.269 120.0466
123.046885 67.251 119.9788
123.413096 67.232 119.9098
123.779307 67.215 119.8396
124.145518 67.197 119.7679
124.511729 67.180 119.6945
124.877940 67.163 119.6191
125.244151 67.145 119.5425
125.610362 67.128 119.4658
125.976573 67.110 119.3906
126.342784 67.093 119.3183
126.708995 67.075 119.2500
127.075206 67.057 119.1863
127.441417 67.039 119.1270
127.807628 67.022 119.0715
128.173839 67.005 119.0180
128.540049 66.989 118.9646
128.906260 66.974 118.9091
129.272471 66.959 118.8505
129.638682 66.944 118.7890
130.004893 66.928 118.7261
130.371104 66.912 118.6636
130.737315 66.896 118.6028
131.103526 66.881 118.5439
131.469737 66.865 118.4861
131.835948 66.850 118.4281
132.202159 66.834 118.3695
132.568370 66.819 118.3106
132.934581 66.803 118.2525
133.300792 66.788 118.1965
133.667003 66.772 118.1431
134.033214 66.757 118.0919
134.399425 66.743 118.0414
134.765636 66.729 117.9895
135.131847 66.715 117.9344
135.498058 66.701 117.8757
135.864269 66.687 117.8137
136.230480 66.673 117.7502
136.596691 66.658 117.6868
136.962902 66.642 117.6251
137.329113 66.627 117.5655
137.695324 66.611 117.5081
138.061535 66.595 117.4523
138.427746 66.580 117.3981
138.793957 66.565 117.3453
139.160168 66.550 117.2938
139.526379 66.535 117.2433
139.892589 66.520 117.1933
140.258800 66.506 117.1434
140.625011 66.492 117.0934
140.991222 66.478 117.0435
141.357433 66.464 116.9939
141.723644 66.450 116.9451
142.089855 66.437 116.8976
142.456066 66.423 116.8513
142.822277 66.409 116.8064
143.188488 66.396 116.7628
143.554699 66.382 116.7199
143.920910 66.370 116.6773
144.287121 66.357 116.6341
144.653332 66.344 116.5896
145.019543 66.331 116.5438
145.385754 66.319 116.4969
145.751965 66.306 116.4498
146.118176 66.293 116.4036
146.484387 66.280 116.3586
146.850598 66.267 116.3148
147.216809 66.254 116.2714
147.583020 66.242 116.2276
147.949231 66.230 116.1829
148.315442 66.218 116.1372
148.681653 66.206 116.0908
149.047864 66.195 116.0444
149.414075 66.183 115.9986
149.780286 66.171 115.9539
150.146497 66.159 115.9104
150.512708 66.148 115.8680
