* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 3, 2023 5:57:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.277 -22.2357
0.732422 72.341 -44.2796
1.098633 68.565 -65.6702
1.464844 60.935 -83.6826
1.831055 49.921 38.7809
2.197266 61.867 37.8708
2.563477 64.538 18.4420
2.929688 64.493 -0.9863
3.295899 62.738 -16.9918
3.662110 59.967 -23.3519
4.028321 58.542 -14.9415
4.394532 60.346 -11.2790
4.760743 62.756 -21.6843
5.126954 64.532 -37.0882
5.493164 65.622 -51.4452
5.859375 66.212 -61.7147
6.225586 66.668 -66.8107
6.591797 67.403 -68.2417
6.958008 68.485 -69.3194
7.324219 69.608 -71.9187
7.690430 70.499 -75.6004
8.056641 71.100 -79.1553
8.422852 71.509 -81.7734
8.789063 71.873 -83.4679
9.155274 72.269 -84.8817
9.521485 72.676 -86.6319
9.887696 73.030 -88.8470
10.253907 73.233 -91.2755
10.620118 73.346 -93.6462
10.986329 73.442 -95.8949
11.352540 73.549 -98.1317
11.718751 73.665 -100.4630
12.084962 73.781 -102.8761
12.451173 73.897 -105.2792
12.817384 74.064 -107.6083
13.183595 74.251 -109.8705
13.549806 74.443 -112.0940
13.916017 74.627 -114.2600
14.282228 74.799 -116.2999
14.648439 74.962 -118.1567
15.014650 75.123 -119.8410
15.380861 75.285 -121.4227
15.747072 75.441 -122.9679
16.113283 75.585 -124.4879
16.479493 75.716 -125.9484
16.845704 75.830 -127.3196
17.211915 75.934 -128.6150
17.578126 76.031 -129.8830
17.944337 76.120 -131.1671
18.310548 76.199 -132.4765
18.676759 76.267 -133.7937
19.042970 76.328 -135.1025
19.409181 76.386 -136.4059
19.775392 76.444 -137.7184
20.141603 76.502 -139.0470
20.507814 76.562 -140.3816
20.874025 76.620 -141.7036
21.240236 76.679 -142.9993
21.606447 76.739 -144.2640
21.972658 76.801 -145.4960
22.338869 76.864 -146.6914
22.705080 76.926 -147.8462
23.071291 76.989 -148.9616
23.437502 77.050 -150.0441
23.803713 77.108 -151.0983
24.169924 77.161 -152.1210
24.536135 77.208 -153.1053
24.902346 77.252 -154.0518
25.268557 77.294 -154.9743
25.634768 77.334 -155.8939
26.000979 77.369 -156.8232
26.367190 77.397 -157.7580
26.733401 77.419 -158.6824
27.099612 77.436 -159.5840
27.465823 77.452 -160.4646
27.832033 77.469 -161.3383
28.198244 77.489 -162.2192
28.564455 77.508 -163.1121
28.930666 77.527 -164.0116
29.296877 77.546 -164.9087
29.663088 77.564 -165.7973
30.029299 77.583 -166.6743
30.395510 77.602 -167.5377
30.761721 77.620 -168.3844
31.127932 77.639 -169.2124
31.494143 77.658 -170.0219
31.860354 77.676 -170.8151
32.226565 77.693 -171.5935
32.592776 77.708 -172.3563
32.958987 77.722 -173.1025
33.325198 77.734 -173.8336
33.691409 77.745 -174.5539
34.057620 77.755 -175.2686
34.423831 77.762 -175.9802
34.790042 77.768 -176.6877
35.156253 77.772 -177.3889
35.522464 77.775 -178.0833
35.888675 77.777 -178.7727
36.254886 77.778 -179.4597
36.621097 77.780 179.8539
36.987308 77.782 179.1675
37.353519 77.783 178.4816
37.719730 77.784 177.7982
38.085941 77.784 177.1202
38.452152 77.784 176.4509
38.818363 77.785 175.7923
39.184573 77.786 175.1428
39.550784 77.787 174.4980
39.916995 77.789 173.8544
40.283206 77.791 173.2118
40.649417 77.791 172.5748
41.015628 77.789 171.9492
41.381839 77.787 171.3383
41.748050 77.784 170.7401
42.114261 77.782 170.1500
42.480472 77.779 169.5631
42.846683 77.777 168.9772
43.212894 77.773 168.3918
43.579105 77.770 167.8072
43.945316 77.765 167.2237
44.311527 77.760 166.6423
44.677738 77.753 166.0653
45.043949 77.746 165.4949
45.410160 77.739 164.9323
45.776371 77.733 164.3759
46.142582 77.727 163.8226
46.508793 77.721 163.2701
46.875004 77.715 162.7178
47.241215 77.708 162.1666
47.607426 77.701 161.6182
47.973637 77.694 161.0739
48.339848 77.685 160.5343
48.706059 77.676 160.0007
49.072270 77.666 159.4743
49.438481 77.657 158.9556
49.804692 77.647 158.4435
50.170902 77.638 157.9354
50.537113 77.630 157.4279
50.903324 77.622 156.9190
51.269535 77.613 156.4084
51.635746 77.604 155.8976
52.001957 77.594 155.3890
52.368168 77.584 154.8847
52.734379 77.574 154.3855
53.100590 77.563 153.8910
53.466801 77.553 153.3999
53.833012 77.543 152.9108
54.199223 77.532 152.4236
54.565434 77.521 151.9394
54.931645 77.509 151.4601
55.297856 77.496 150.9879
55.664067 77.484 150.5229
56.030278 77.471 150.0641
56.396489 77.459 149.6084
56.762700 77.447 149.1531
57.128911 77.435 148.6964
57.495122 77.422 148.2385
57.861333 77.408 147.7814
58.227544 77.394 147.3279
58.593755 77.379 146.8803
58.959966 77.365 146.4381
59.326177 77.351 145.9983
59.692388 77.338 145.5564
60.058599 77.326 145.1090
60.424810 77.313 144.6562
60.791021 77.299 144.2014
61.157232 77.284 143.7496
61.523442 77.268 143.3049
61.889653 77.252 142.8688
62.255864 77.237 142.4398
62.622075 77.222 142.0152
62.988286 77.207 141.5925
63.354497 77.193 141.1706
63.720708 77.178 140.7497
64.086919 77.162 140.3302
64.453130 77.146 139.9129
64.819341 77.130 139.4984
65.185552 77.113 139.0874
65.551763 77.096 138.6802
65.917974 77.079 138.2767
66.284185 77.062 137.8758
66.650396 77.045 137.4766
67.016607 77.027 137.0783
67.382818 77.009 136.6810
67.749029 76.991 136.2857
68.115240 76.973 135.8932
68.481451 76.955 135.5040
68.847662 76.937 135.1169
69.213873 76.920 134.7302
69.580084 76.903 134.3422
69.946295 76.885 133.9528
70.312506 76.867 133.5636
70.678717 76.849 133.1772
71.044928 76.830 132.7960
71.411139 76.811 132.4203
71.777350 76.793 132.0488
72.143561 76.775 131.6792
72.509771 76.757 131.3097
72.875982 76.740 130.9399
73.242193 76.722 130.5707
73.608404 76.704 130.2032
73.974615 76.686 129.8378
74.340826 76.668 129.4736
74.707037 76.650 129.1094
75.073248 76.632 128.7449
75.439459 76.613 128.3808
75.805670 76.593 128.0195
76.171881 76.573 127.6633
76.538092 76.553 127.3137
76.904303 76.533 126.9697
77.270514 76.514 126.6284
77.636725 76.496 126.2860
78.002936 76.477 125.9400
78.369147 76.458 125.5909
78.735358 76.438 125.2419
79.101569 76.418 124.8976
79.467780 76.397 124.5609
79.833991 76.376 124.2318
80.200202 76.356 123.9070
80.566413 76.337 123.5816
80.932624 76.320 123.2519
81.298835 76.302 122.9162
81.665046 76.284 122.5752
82.031257 76.265 122.2314
82.397468 76.246 121.8878
82.763679 76.226 121.5471
83.129890 76.205 121.2115
83.496101 76.184 120.8821
83.862311 76.163 120.5589
84.228522 76.143 120.2405
84.594733 76.124 119.9248
84.960944 76.105 119.6099
85.327155 76.086 119.2949
85.693366 76.067 118.9804
86.059577 76.047 118.6680
86.425788 76.028 118.3593
86.791999 76.008 118.0547
87.158210 75.989 117.7531
87.524421 75.970 117.4521
87.890632 75.951 117.1491
88.256843 75.932 116.8430
88.623054 75.911 116.5350
88.989265 75.890 116.2286
89.355476 75.868 115.9280
89.721687 75.846 115.6352
90.087898 75.824 115.3492
90.454109 75.803 115.0657
90.820320 75.783 114.7798
91.186531 75.763 114.4886
91.552742 75.744 114.1923
91.918953 75.724 113.8936
92.285164 75.703 113.5958
92.651375 75.682 113.3008
93.017586 75.662 113.0083
93.383797 75.641 112.7176
93.750008 75.621 112.4287
94.116219 75.601 112.1431
94.482430 75.581 111.8615
94.848641 75.561 111.5834
95.214851 75.543 111.3054
95.581062 75.525 111.0238
95.947273 75.506 110.7368
96.313484 75.487 110.4462
96.679695 75.467 110.1569
97.045906 75.445 109.8740
97.412117 75.423 109.5996
97.778328 75.401 109.3329
98.144539 75.380 109.0703
98.510750 75.359 108.8089
98.876961 75.338 108.5475
99.243172 75.317 108.2865
99.609383 75.297 108.0263
99.975594 75.277 107.7659
100.341805 75.257 107.5034
100.708016 75.237 107.2375
101.074227 75.217 106.9686
101.440438 75.197 106.6993
101.806649 75.176 106.4323
102.172860 75.154 106.1692
102.539071 75.133 105.9095
102.905282 75.113 105.6516
103.271493 75.092 105.3937
103.637704 75.072 105.1355
104.003915 75.052 104.8776
104.370126 75.031 104.6216
104.736337 75.010 104.3684
105.102548 74.990 104.1187
105.468759 74.969 103.8727
105.834970 74.948 103.6302
106.201180 74.928 103.3907
106.567391 74.908 103.1531
106.933602 74.889 102.9160
107.299813 74.870 102.6782
107.666024 74.851 102.4385
108.032235 74.832 102.1969
108.398446 74.812 101.9541
108.764657 74.792 101.7113
109.130868 74.771 101.4698
109.497079 74.750 101.2307
109.863290 74.729 100.9945
110.229501 74.708 100.7612
110.595712 74.687 100.5300
110.961923 74.667 100.2997
111.328134 74.646 100.0697
111.694345 74.625 99.8401
112.060556 74.605 99.6119
112.426767 74.584 99.3861
112.792978 74.563 99.1631
113.159189 74.543 98.9421
113.525400 74.524 98.7216
113.891611 74.504 98.5004
114.257822 74.485 98.2780
114.624033 74.466 98.0553
114.990244 74.447 97.8332
115.356455 74.428 97.6119
115.722666 74.409 97.3910
116.088877 74.390 97.1697
116.455088 74.371 96.9478
116.821299 74.351 96.7259
117.187510 74.331 96.5061
117.553720 74.310 96.2903
117.919931 74.289 96.0792
118.286142 74.269 95.8725
118.652353 74.249 95.6685
119.018564 74.229 95.4656
119.384775 74.210 95.2624
119.750986 74.191 95.0583
120.117197 74.172 94.8534
120.483408 74.154 94.6476
120.849619 74.135 94.4409
121.215830 74.117 94.2332
121.582041 74.098 94.0245
121.948252 74.079 93.8155
122.314463 74.060 93.6072
122.680674 74.041 93.4005
123.046885 74.021 93.1960
123.413096 74.002 92.9936
123.779307 73.983 92.7926
124.145518 73.964 92.5925
124.511729 73.946 92.3931
124.877940 73.927 92.1946
125.244151 73.908 91.9977
125.610362 73.890 91.8027
125.976573 73.872 91.6095
126.342784 73.854 91.4177
126.708995 73.836 91.2265
127.075206 73.818 91.0356
127.441417 73.800 90.8452
127.807628 73.782 90.6553
128.173839 73.764 90.4659
128.540049 73.746 90.2770
128.906260 73.728 90.0885
129.272471 73.710 89.9006
129.638682 73.692 89.7138
130.004893 73.674 89.5283
130.371104 73.656 89.3444
130.737315 73.638 89.1614
131.103526 73.621 88.9784
131.469737 73.604 88.7946
131.835948 73.587 88.6096
132.202159 73.571 88.4236
132.568370 73.554 88.2372
132.934581 73.537 88.0509
133.300792 73.520 87.8657
133.667003 73.503 87.6826
134.033214 73.485 87.5027
134.399425 73.467 87.3268
134.765636 73.450 87.1550
135.131847 73.433 86.9863
135.498058 73.416 86.8192
135.864269 73.400 86.6522
136.230480 73.384 86.4845
136.596691 73.367 86.3163
136.962902 73.351 86.1485
137.329113 73.334 85.9818
137.695324 73.318 85.8163
138.061535 73.301 85.6512
138.427746 73.285 85.4855
138.793957 73.269 85.3186
139.160168 73.252 85.1506
139.526379 73.235 84.9824
139.892589 73.218 84.8147
140.258800 73.201 84.6485
140.625011 73.183 84.4840
140.991222 73.166 84.3212
141.357433 73.149 84.1596
141.723644 73.132 83.9990
142.089855 73.115 83.8387
142.456066 73.099 83.6785
142.822277 73.082 83.5179
143.188488 73.066 83.3569
143.554699 73.050 83.1954
143.920910 73.034 83.0336
144.287121 73.018 82.8717
144.653332 73.001 82.7104
145.019543 72.985 82.5502
145.385754 72.968 82.3918
145.751965 72.951 82.2357
146.118176 72.935 82.0824
146.484387 72.918 81.9318
146.850598 72.902 81.7831
147.216809 72.886 81.6356
147.583020 72.871 81.4882
147.949231 72.855 81.3401
148.315442 72.840 81.1912
148.681653 72.825 81.0416
149.047864 72.810 80.8917
149.414075 72.794 80.7422
149.780286 72.778 80.5934
150.146497 72.763 80.4457
150.512708 72.747 80.2993
