* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 3:03:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan’er Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.471 -166.3741
0.732422 55.307 -172.2198
1.098633 55.404 169.5178
1.464844 53.403 139.1158
1.831055 50.657 81.3540
2.197266 53.576 14.8695
2.563477 57.542 -19.7671
2.929688 59.822 -39.5892
3.295899 60.904 -51.0243
3.662110 61.497 -55.1913
4.028321 62.365 -54.4985
4.394532 63.749 -54.0154
4.760743 65.229 -56.6458
5.126954 66.407 -61.6165
5.493164 67.193 -67.1022
5.859375 67.694 -71.7415
6.225586 68.099 -75.1036
6.591797 68.560 -77.7210
6.958008 69.099 -80.4929
7.324219 69.630 -83.8640
7.690430 70.073 -87.6183
8.056641 70.410 -91.2599
8.422852 70.684 -94.4455
8.789063 70.952 -97.1800
9.155274 71.236 -99.7101
9.521485 71.523 -102.2505
9.887696 71.782 -104.8128
10.253907 71.926 -107.2639
10.620118 72.011 -109.4915
10.986329 72.087 -111.5061
11.352540 72.162 -113.4081
11.718751 72.228 -115.2780
12.084962 72.274 -117.1121
12.451173 72.299 -118.8544
12.817384 72.361 -120.4726
13.183595 72.425 -121.9954
13.549806 72.485 -123.4824
13.916017 72.538 -124.9669
14.282228 72.577 -126.4352
14.648439 72.607 -127.8549
15.014650 72.631 -129.2156
15.380861 72.654 -130.5377
15.747072 72.677 -131.8462
16.113283 72.701 -133.1423
16.479493 72.730 -134.4049
16.845704 72.757 -135.6154
17.211915 72.784 -136.7767
17.578126 72.813 -137.9066
17.944337 72.840 -139.0139
18.310548 72.864 -140.0872
18.676759 72.884 -141.1076
19.042970 72.903 -142.0704
19.409181 72.923 -142.9911
19.775392 72.943 -143.8906
20.141603 72.962 -144.7756
20.507814 72.977 -145.6350
20.874025 72.988 -146.4558
21.240236 72.996 -147.2391
21.606447 73.004 -148.0001
21.972658 73.010 -148.7518
22.338869 73.012 -149.4911
22.705080 73.010 -150.2030
23.071291 73.006 -150.8776
23.437502 73.006 -151.5245
23.803713 73.010 -152.1694
24.169924 73.015 -152.8364
24.536135 73.019 -153.5311
24.902346 73.018 -154.2375
25.268557 73.011 -154.9289
25.634768 73.000 -155.5829
26.000979 72.989 -156.1920
26.367190 72.980 -156.7640
26.733401 72.975 -157.3168
27.099612 72.972 -157.8672
27.465823 72.969 -158.4217
27.832033 72.964 -158.9719
28.198244 72.956 -159.5009
28.564455 72.947 -159.9967
28.930666 72.941 -160.4646
29.296877 72.938 -160.9263
29.663088 72.938 -161.4054
30.029299 72.935 -161.9091
30.395510 72.928 -162.4221
30.761721 72.916 -162.9186
31.127932 72.901 -163.3818
31.494143 72.888 -163.8159
31.860354 72.877 -164.2393
32.226565 72.868 -164.6680
32.592776 72.859 -165.1035
32.958987 72.848 -165.5352
33.325198 72.836 -165.9534
33.691409 72.825 -166.3585
34.057620 72.815 -166.7585
34.423831 72.804 -167.1583
34.790042 72.793 -167.5524
35.156253 72.780 -167.9295
35.522464 72.769 -168.2839
35.888675 72.760 -168.6243
36.254886 72.754 -168.9694
36.621097 72.750 -169.3348
36.987308 72.743 -169.7212
37.353519 72.732 -170.1128
37.719730 72.716 -170.4884
38.085941 72.699 -170.8356
38.452152 72.682 -171.1580
38.818363 72.669 -171.4713
39.184573 72.656 -171.7909
39.550784 72.644 -172.1212
39.916995 72.629 -172.4536
40.283206 72.612 -172.7737
40.649417 72.596 -173.0726
41.015628 72.581 -173.3532
41.381839 72.569 -173.6272
41.748050 72.559 -173.9064
42.114261 72.549 -174.1954
42.480472 72.538 -174.4891
42.846683 72.526 -174.7785
43.212894 72.512 -175.0564
43.579105 72.499 -175.3215
43.945316 72.487 -175.5775
44.311527 72.475 -175.8299
44.677738 72.465 -176.0840
45.043949 72.455 -176.3433
45.410160 72.444 -176.6084
45.776371 72.431 -176.8757
46.142582 72.416 -177.1372
46.508793 72.400 -177.3848
46.875004 72.384 -177.6154
47.241215 72.370 -177.8343
47.607426 72.358 -178.0530
47.973637 72.347 -178.2810
48.339848 72.336 -178.5195
48.706059 72.323 -178.7607
49.072270 72.309 -178.9944
49.438481 72.295 -179.2163
49.804692 72.282 -179.4302
50.170902 72.270 -179.6441
50.537113 72.259 -179.8627
50.903324 72.248 179.9157
51.269535 72.235 179.6972
51.635746 72.222 179.4865
52.001957 72.209 179.2833
52.368168 72.196 179.0842
52.734379 72.183 178.8861
53.100590 72.171 178.6881
53.466801 72.158 178.4912
53.833012 72.144 178.2956
54.199223 72.131 178.1010
54.565434 72.116 177.9081
54.931645 72.101 177.7203
55.297856 72.085 177.5416
55.664067 72.071 177.3719
56.030278 72.058 177.2042
56.396489 72.048 177.0271
56.762700 72.037 176.8331
57.128911 72.024 176.6257
57.495122 72.008 176.4196
57.861333 71.990 176.2324
58.227544 71.971 176.0723
58.593755 71.956 175.9327
58.959966 71.944 175.7957
59.326177 71.936 175.6449
59.692388 71.927 175.4762
60.058599 71.917 175.2976
60.424810 71.906 175.1211
60.791021 71.894 174.9519
61.157232 71.882 174.7857
61.523442 71.871 174.6152
61.889653 71.858 174.4393
62.255864 71.842 174.2665
62.622075 71.825 174.1091
62.988286 71.808 173.9727
63.354497 71.792 173.8508
63.720708 71.779 173.7294
64.086919 71.767 173.5973
64.453130 71.755 173.4531
64.819341 71.742 173.3046
65.185552 71.727 173.1600
65.551763 71.713 173.0217
65.917974 71.699 172.8854
66.284185 71.685 172.7462
66.650396 71.672 172.6035
67.016607 71.657 172.4619
67.382818 71.642 172.3258
67.749029 71.627 172.1954
68.115240 71.613 172.0670
68.481451 71.599 171.9362
68.847662 71.585 171.8032
69.213873 71.570 171.6722
69.580084 71.554 171.5478
69.946295 71.539 171.4317
70.312506 71.524 171.3214
70.678717 71.511 171.2122
71.044928 71.498 171.1008
71.411139 71.485 170.9855
71.777350 71.473 170.8670
72.143561 71.459 170.7469
72.509771 71.445 170.6279
72.875982 71.431 170.5131
73.242193 71.417 170.4045
73.608404 71.404 170.3005
73.974615 71.392 170.1954
74.340826 71.381 170.0822
74.707037 71.369 169.9573
75.073248 71.357 169.8244
75.439459 71.342 169.6929
75.805670 71.326 169.5720
76.171881 71.309 169.4645
76.538092 71.294 169.3653
76.904303 71.281 169.2661
77.270514 71.267 169.1625
77.636725 71.253 169.0573
78.002936 71.238 168.9572
78.369147 71.224 168.8663
78.735358 71.210 168.7811
79.101569 71.198 168.6927
79.467780 71.187 168.5945
79.833991 71.174 168.4886
80.200202 71.159 168.3845
80.566413 71.143 168.2921
80.932624 71.128 168.2141
81.298835 71.113 168.1437
81.665046 71.101 168.0704
82.031257 71.089 167.9883
82.397468 71.075 167.9005
82.763679 71.060 167.8156
83.129890 71.045 167.7399
83.496101 71.030 167.6735
83.862311 71.017 167.6105
84.228522 71.005 167.5448
84.594733 70.993 167.4736
84.960944 70.982 167.3976
85.327155 70.971 167.3168
85.693366 70.961 167.2292
86.059577 70.949 167.1329
86.425788 70.937 167.0300
86.791999 70.922 166.9283
87.158210 70.906 166.8375
87.524421 70.890 166.7623
87.890632 70.875 166.6993
88.256843 70.863 166.6378
88.623054 70.853 166.5680
88.989265 70.842 166.4867
89.355476 70.830 166.3989
89.721687 70.817 166.3132
90.087898 70.803 166.2355
90.454109 70.790 166.1656
90.820320 70.777 166.0989
91.186531 70.764 166.0306
91.552742 70.752 165.9600
91.918953 70.739 165.8894
92.285164 70.725 165.8224
92.651375 70.711 165.7603
93.017586 70.698 165.7012
93.383797 70.685 165.6418
93.750008 70.673 165.5807
94.116219 70.660 165.5187
94.482430 70.646 165.4586
94.848641 70.633 165.4023
95.214851 70.620 165.3492
95.581062 70.608 165.2963
95.947273 70.597 165.2399
96.313484 70.586 165.1788
96.679695 70.574 165.1142
97.045906 70.563 165.0486
97.412117 70.551 164.9839
97.778328 70.539 164.9198
98.144539 70.527 164.8549
98.510750 70.515 164.7884
98.876961 70.503 164.7215
99.243172 70.489 164.6577
99.609383 70.475 164.6005
99.975594 70.462 164.5513
100.341805 70.449 164.5083
100.708016 70.437 164.4673
101.074227 70.426 164.4246
101.440438 70.414 164.3783
101.806649 70.403 164.3304
102.172860 70.391 164.2839
102.539071 70.379 164.2411
102.905282 70.367 164.2009
103.271493 70.356 164.1596
103.637704 70.345 164.1135
104.003915 70.333 164.0618
104.370126 70.321 164.0081
104.736337 70.307 163.9580
105.102548 70.293 163.9162
105.468759 70.280 163.8821
105.834970 70.268 163.8503
106.201180 70.258 163.8134
106.567391 70.248 163.7667
106.933602 70.237 163.7111
107.299813 70.225 163.6530
107.666024 70.212 163.5997
108.032235 70.198 163.5554
108.398446 70.185 163.5187
108.764657 70.173 163.4842
109.130868 70.162 163.4462
109.497079 70.152 163.4026
109.863290 70.140 163.3561
110.229501 70.128 163.3115
110.595712 70.116 163.2726
110.961923 70.104 163.2391
111.328134 70.093 163.2073
111.694345 70.082 163.1725
112.060556 70.071 163.1332
112.426767 70.060 163.0914
112.792978 70.048 163.0516
113.159189 70.036 163.0168
113.525400 70.023 162.9875
113.891611 70.012 162.9612
114.257822 70.000 162.9344
114.624033 69.990 162.9055
114.990244 69.979 162.8743
115.356455 69.968 162.8417
115.722666 69.957 162.8088
116.088877 69.946 162.7755
116.455088 69.935 162.7421
116.821299 69.924 162.7081
117.187510 69.913 162.6735
117.553720 69.902 162.6375
117.919931 69.891 162.5996
118.286142 69.880 162.5606
118.652353 69.867 162.5231
119.018564 69.854 162.4905
119.384775 69.842 162.4655
119.750986 69.829 162.4473
120.117197 69.818 162.4324
120.483408 69.808 162.4161
120.849619 69.799 162.3951
121.215830 69.789 162.3696
121.582041 69.779 162.3417
121.948252 69.769 162.3148
122.314463 69.758 162.2900
122.680674 69.748 162.2667
123.046885 69.738 162.2422
123.413096 69.728 162.2147
123.779307 69.718 162.1840
124.145518 69.706 162.1526
124.511729 69.694 162.1246
124.877940 69.682 162.1035
125.244151 69.671 162.0898
125.610362 69.661 162.0803
125.976573 69.653 162.0692
126.342784 69.646 162.0518
126.708995 69.638 162.0268
127.075206 69.630 161.9977
127.441417 69.620 161.9697
127.807628 69.611 161.9458
128.173839 69.602 161.9255
128.540049 69.593 161.9056
128.906260 69.584 161.8836
129.272471 69.575 161.8602
129.638682 69.565 161.8390
130.004893 69.556 161.8226
130.371104 69.546 161.8108
130.737315 69.538 161.7995
131.103526 69.530 161.7847
131.469737 69.522 161.7653
131.835948 69.513 161.7438
132.202159 69.503 161.7238
132.568370 69.494 161.7070
132.934581 69.485 161.6918
133.300792 69.476 161.6752
133.667003 69.467 161.6562
134.033214 69.457 161.6372
134.399425 69.447 161.6215
134.765636 69.438 161.6103
135.131847 69.429 161.6011
135.498058 69.421 161.5889
135.864269 69.414 161.5707
136.230480 69.406 161.5471
136.596691 69.398 161.5229
136.962902 69.389 161.5029
137.329113 69.380 161.4891
137.695324 69.371 161.4794
138.061535 69.364 161.4696
138.427746 69.357 161.4561
138.793957 69.350 161.4385
139.160168 69.343 161.4191
139.526379 69.335 161.4016
139.892589 69.326 161.3889
140.258800 69.318 161.3817
140.625011 69.310 161.3782
140.991222 69.302 161.3745
141.357433 69.295 161.3674
141.723644 69.287 161.3560
142.089855 69.279 161.3428
142.456066 69.269 161.3330
142.822277 69.259 161.3308
143.188488 69.249 161.3364
143.554699 69.240 161.3447
143.920910 69.232 161.3491
144.287121 69.224 161.3456
144.653332 69.216 161.3356
145.019543 69.207 161.3248
145.385754 69.197 161.3187
145.751965 69.187 161.3177
146.118176 69.179 161.3175
146.484387 69.171 161.3123
146.850598 69.164 161.3001
147.216809 69.155 161.2845
147.583020 69.146 161.2718
147.949231 69.137 161.2660
148.315442 69.129 161.2654
148.681653 69.122 161.2641
149.047864 69.115 161.2566
149.414075 69.109 161.2421
