* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 3:02:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan’er Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.373 -30.4373
0.732422 65.506 -61.6491
1.098633 61.786 -95.6253
1.464844 54.226 -145.0412
1.831055 52.709 82.3539
2.197266 59.914 29.6951
2.563477 62.965 -1.7981
2.929688 64.092 -27.2664
3.295899 63.985 -46.9039
3.662110 63.121 -57.8595
4.028321 62.587 -57.5029
4.394532 63.695 -53.0390
4.760743 65.708 -55.0205
5.126954 67.390 -62.5311
5.493164 68.415 -71.3816
5.859375 68.900 -78.6856
6.225586 69.147 -83.0441
6.591797 69.505 -84.9228
6.958008 70.115 -86.3432
7.324219 70.819 -88.8909
7.690430 71.400 -92.5272
8.056641 71.769 -96.3147
8.422852 71.982 -99.4243
8.789063 72.156 -101.6680
9.155274 72.374 -103.4915
9.521485 72.628 -105.4629
9.887696 72.859 -107.7675
10.253907 72.953 -110.1916
10.620118 72.963 -112.4464
10.986329 72.961 -114.4409
11.352540 72.974 -116.3034
11.718751 72.998 -118.1951
12.084962 73.014 -120.1432
12.451173 73.013 -122.0510
12.817384 73.053 -123.8275
13.183595 73.103 -125.4759
13.549806 73.159 -127.0633
13.916017 73.211 -128.6289
14.282228 73.254 -130.1431
14.648439 73.287 -131.5558
15.014650 73.318 -132.8640
15.380861 73.350 -134.1170
15.747072 73.376 -135.3555
16.113283 73.393 -136.5595
16.479493 73.407 -137.6677
16.845704 73.417 -138.6504
17.211915 73.436 -139.5575
17.578126 73.465 -140.4877
17.944337 73.492 -141.5047
18.310548 73.505 -142.5867
18.676759 73.498 -143.6520
19.042970 73.481 -144.6307
19.409181 73.463 -145.5143
19.775392 73.452 -146.3451
20.141603 73.449 -147.1673
20.507814 73.450 -147.9917
20.874025 73.452 -148.8040
21.240236 73.457 -149.5945
21.606447 73.465 -150.3713
21.972658 73.475 -151.1466
22.338869 73.484 -151.9176
22.705080 73.492 -152.6680
23.071291 73.499 -153.3885
23.437502 73.507 -154.0909
23.803713 73.515 -154.7975
24.169924 73.518 -155.5158
24.536135 73.513 -156.2251
24.902346 73.498 -156.8903
25.268557 73.479 -157.4891
25.634768 73.461 -158.0287
26.000979 73.448 -158.5382
26.367190 73.437 -159.0476
26.733401 73.428 -159.5717
27.099612 73.417 -160.1107
27.465823 73.404 -160.6587
27.832033 73.389 -161.2091
28.198244 73.370 -161.7535
28.564455 73.350 -162.2809
28.930666 73.328 -162.7819
29.296877 73.308 -163.2531
29.663088 73.290 -163.6974
30.029299 73.276 -164.1179
30.395510 73.266 -164.5137
30.761721 73.261 -164.8848
31.127932 73.264 -165.2421
31.494143 73.276 -165.6111
31.860354 73.293 -166.0228
32.226565 73.312 -166.4961
32.592776 73.325 -167.0260
32.958987 73.327 -167.5849
33.325198 73.318 -168.1354
33.691409 73.299 -168.6445
34.057620 73.272 -169.0920
34.423831 73.244 -169.4725
34.790042 73.216 -169.7939
35.156253 73.193 -170.0751
35.522464 73.175 -170.3401
35.888675 73.161 -170.6103
36.254886 73.149 -170.8980
36.621097 73.137 -171.2053
36.987308 73.125 -171.5277
37.353519 73.110 -171.8591
37.719730 73.093 -172.1940
38.085941 73.075 -172.5268
38.452152 73.056 -172.8521
38.818363 73.038 -173.1676
39.184573 73.020 -173.4769
39.550784 73.005 -173.7881
39.916995 72.991 -174.1078
40.283206 72.978 -174.4357
40.649417 72.964 -174.7647
41.015628 72.949 -175.0868
41.381839 72.934 -175.3985
41.748050 72.920 -175.7012
42.114261 72.905 -175.9963
42.480472 72.891 -176.2819
42.846683 72.878 -176.5545
43.212894 72.865 -176.8143
43.579105 72.854 -177.0674
43.945316 72.845 -177.3220
44.311527 72.836 -177.5819
44.677738 72.825 -177.8434
45.043949 72.813 -178.0985
45.410160 72.800 -178.3426
45.776371 72.787 -178.5774
46.142582 72.775 -178.8091
46.508793 72.762 -179.0425
46.875004 72.749 -179.2777
47.241215 72.734 -179.5116
47.607426 72.719 -179.7412
47.973637 72.703 -179.9657
48.339848 72.687 179.8140
48.706059 72.671 179.5964
49.072270 72.656 179.3805
49.438481 72.640 179.1655
49.804692 72.625 178.9504
50.170902 72.611 178.7352
50.537113 72.597 178.5205
50.903324 72.584 178.3068
51.269535 72.571 178.0926
51.635746 72.559 177.8755
52.001957 72.548 177.6536
52.368168 72.535 177.4289
52.734379 72.522 177.2069
53.100590 72.507 176.9937
53.466801 72.493 176.7928
53.833012 72.478 176.6031
54.199223 72.465 176.4213
54.565434 72.453 176.2435
54.931645 72.441 176.0674
55.297856 72.429 175.8917
55.664067 72.417 175.7156
56.030278 72.405 175.5391
56.396489 72.392 175.3622
56.762700 72.379 175.1856
57.128911 72.365 175.0096
57.495122 72.351 174.8340
57.861333 72.336 174.6589
58.227544 72.320 174.4863
58.593755 72.303 174.3191
58.959966 72.287 174.1584
59.326177 72.272 174.0021
59.692388 72.258 173.8448
60.058599 72.245 173.6818
60.424810 72.233 173.5119
60.791021 72.219 173.3386
61.157232 72.205 173.1667
61.523442 72.191 172.9988
61.889653 72.177 172.8351
62.255864 72.164 172.6750
62.622075 72.150 172.5193
62.988286 72.136 172.3710
63.354497 72.121 172.2315
63.720708 72.108 172.0993
64.086919 72.095 171.9695
64.453130 72.084 171.8370
64.819341 72.072 171.6994
65.185552 72.061 171.5576
65.551763 72.048 171.4145
65.917974 72.034 171.2730
66.284185 72.019 171.1344
66.650396 72.004 170.9992
67.016607 71.989 170.8671
67.382818 71.973 170.7377
67.749029 71.957 170.6107
68.115240 71.941 170.4859
68.481451 71.926 170.3635
68.847662 71.911 170.2430
69.213873 71.896 170.1235
69.580084 71.882 170.0027
69.946295 71.869 169.8788
70.312506 71.856 169.7509
70.678717 71.842 169.6202
71.044928 71.829 169.4889
71.411139 71.815 169.3591
71.777350 71.800 169.2322
72.143561 71.786 169.1090
72.509771 71.772 168.9900
72.875982 71.757 168.8755
73.242193 71.743 168.7652
73.608404 71.729 168.6583
73.974615 71.715 168.5541
74.340826 71.702 168.4524
74.707037 71.689 168.3530
75.073248 71.676 168.2545
75.439459 71.664 168.1539
75.805670 71.651 168.0480
76.171881 71.638 167.9366
76.538092 71.624 167.8237
76.904303 71.608 167.7160
77.270514 71.592 167.6173
77.636725 71.577 167.5254
78.002936 71.563 167.4332
78.369147 71.549 167.3341
78.735358 71.535 167.2278
79.101569 71.519 167.1210
79.467780 71.503 167.0222
79.833991 71.487 166.9344
80.200202 71.473 166.8523
80.566413 71.461 166.7650
80.932624 71.449 166.6652
81.298835 71.437 166.5548
81.665046 71.422 166.4445
82.031257 71.405 166.3472
82.397468 71.389 166.2682
82.763679 71.375 166.2020
83.129890 71.364 166.1353
83.496101 71.355 166.0562
83.862311 71.346 165.9615
84.228522 71.335 165.8579
84.594733 71.321 165.7568
84.960944 71.307 165.6661
85.327155 71.293 165.5864
85.693366 71.280 165.5117
86.059577 71.267 165.4350
86.425788 71.255 165.3538
86.791999 71.242 165.2697
87.158210 71.228 165.1871
87.524421 71.214 165.1085
87.890632 71.199 165.0342
88.256843 71.185 164.9629
88.623054 71.171 164.8936
88.989265 71.157 164.8257
89.355476 71.144 164.7582
89.721687 71.131 164.6891
90.087898 71.118 164.6165
90.454109 71.105 164.5403
90.820320 71.092 164.4632
91.186531 71.078 164.3894
91.552742 71.064 164.3213
91.918953 71.050 164.2578
92.285164 71.038 164.1948
92.651375 71.026 164.1279
93.017586 71.015 164.0555
93.383797 71.003 163.9799
93.750008 70.990 163.9052
94.116219 70.976 163.8354
94.482430 70.963 163.7715
94.848641 70.949 163.7115
95.214851 70.937 163.6525
95.581062 70.924 163.5927
95.947273 70.912 163.5320
96.313484 70.899 163.4721
96.679695 70.886 163.4147
97.045906 70.873 163.3596
97.412117 70.860 163.3051
97.778328 70.848 163.2489
98.144539 70.836 163.1897
98.510750 70.824 163.1280
98.876961 70.811 163.0654
99.243172 70.798 163.0038
99.609383 70.785 162.9444
99.975594 70.772 162.8870
100.341805 70.759 162.8309
100.708016 70.746 162.7755
101.074227 70.734 162.7202
101.440438 70.721 162.6649
101.806649 70.709 162.6103
102.172860 70.696 162.5576
102.539071 70.684 162.5077
102.905282 70.672 162.4607
103.271493 70.660 162.4148
103.637704 70.649 162.3676
104.003915 70.638 162.3178
104.370126 70.626 162.2660
104.736337 70.614 162.2145
105.102548 70.602 162.1655
105.468759 70.589 162.1198
105.834970 70.576 162.0760
106.201180 70.564 162.0326
106.567391 70.551 161.9889
106.933602 70.539 161.9456
107.299813 70.526 161.9038
107.666024 70.513 161.8632
108.032235 70.501 161.8230
108.398446 70.489 161.7820
108.764657 70.476 161.7402
109.130868 70.464 161.6983
109.497079 70.452 161.6569
109.863290 70.440 161.6158
110.229501 70.428 161.5743
110.595712 70.416 161.5322
110.961923 70.405 161.4897
111.328134 70.393 161.4475
111.694345 70.382 161.4052
112.060556 70.371 161.3619
112.426767 70.360 161.3169
112.792978 70.348 161.2711
113.159189 70.336 161.2265
113.525400 70.324 161.1856
113.891611 70.311 161.1493
114.257822 70.299 161.1167
114.624033 70.288 161.0857
114.990244 70.277 161.0545
115.356455 70.265 161.0226
115.722666 70.254 160.9903
116.088877 70.243 160.9584
116.455088 70.232 160.9275
116.821299 70.220 160.8976
117.187510 70.209 160.8688
117.553720 70.198 160.8403
117.919931 70.187 160.8111
118.286142 70.176 160.7796
118.652353 70.165 160.7451
119.018564 70.154 160.7086
119.384775 70.142 160.6733
119.750986 70.129 160.6425
120.117197 70.117 160.6175
120.483408 70.105 160.5962
120.849619 70.095 160.5740
121.215830 70.085 160.5469
121.582041 70.074 160.5141
121.948252 70.063 160.4789
122.314463 70.051 160.4460
122.680674 70.040 160.4180
123.046885 70.028 160.3936
123.413096 70.017 160.3691
123.779307 70.007 160.3416
124.145518 69.995 160.3121
124.511729 69.984 160.2845
124.877940 69.972 160.2627
125.244151 69.962 160.2465
125.610362 69.953 160.2313
125.976573 69.945 160.2115
126.342784 69.937 160.1841
126.708995 69.928 160.1513
127.075206 69.919 160.1191
127.441417 69.908 160.0929
127.807628 69.898 160.0740
128.173839 69.888 160.0595
128.540049 69.879 160.0443
128.906260 69.871 160.0249
129.272471 69.863 160.0007
129.638682 69.854 159.9738
130.004893 69.845 159.9468
130.371104 69.835 159.9214
130.737315 69.825 159.8981
131.103526 69.815 159.8769
131.469737 69.806 159.8578
131.835948 69.796 159.8414
132.202159 69.787 159.8273
132.568370 69.778 159.8141
132.934581 69.769 159.7999
133.300792 69.761 159.7830
133.667003 69.753 159.7636
134.033214 69.744 159.7437
134.399425 69.734 159.7260
134.765636 69.725 159.7117
135.131847 69.716 159.7000
135.498058 69.707 159.6885
135.864269 69.699 159.6750
136.230480 69.690 159.6595
136.596691 69.681 159.6442
136.962902 69.672 159.6308
137.329113 69.663 159.6195
137.695324 69.655 159.6080
138.061535 69.647 159.5938
138.427746 69.638 159.5759
138.793957 69.629 159.5563
139.160168 69.620 159.5386
139.526379 69.610 159.5250
139.892589 69.601 159.5151
140.258800 69.592 159.5059
140.625011 69.584 159.4938
140.991222 69.576 159.4774
141.357433 69.568 159.4579
141.723644 69.559 159.4389
142.089855 69.549 159.4235
142.456066 69.540 159.4131
142.822277 69.531 159.4064
143.188488 69.523 159.4003
143.554699 69.515 159.3916
143.920910 69.508 159.3793
144.287121 69.499 159.3649
144.653332 69.490 159.3519
145.019543 69.481 159.3441
145.385754 69.471 159.3424
145.751965 69.463 159.3448
146.118176 69.455 159.3468
146.484387 69.448 159.3440
146.850598 69.441 159.3344
147.216809 69.433 159.3196
147.583020 69.424 159.3037
147.949231 69.415 159.2912
148.315442 69.405 159.2845
148.681653 69.395 159.2832
149.047864 69.386 159.2842
149.414075 69.378 159.2836
149.780286 69.370 159.2786
