* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:00:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HBB Kai Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.560 -114.6719
0.732422 80.022 -139.8222
1.098633 80.632 -167.5279
1.464844 78.211 155.5992
1.831055 74.879 80.0759
2.197266 80.283 7.1489
2.563477 84.878 -25.6584
2.929688 87.336 -46.5574
3.295899 88.452 -60.8004
3.662110 88.842 -68.6492
4.028321 89.204 -70.6216
4.394532 90.074 -70.3168
4.760743 91.305 -72.0398
5.126954 92.423 -76.6078
5.493164 93.182 -82.4674
5.859375 93.599 -87.9048
6.225586 93.840 -91.9427
6.591797 94.103 -94.6835
6.958008 94.483 -97.0712
7.324219 94.926 -99.9626
7.690430 95.316 -103.4541
8.056641 95.595 -107.0656
8.422852 95.781 -110.2794
8.789063 95.939 -112.9191
9.155274 96.118 -115.1913
9.521485 96.317 -117.4164
9.887696 96.502 -119.7294
10.253907 96.575 -122.0296
10.620118 96.580 -124.1490
10.986329 96.569 -126.0277
11.352540 96.559 -127.7471
11.718751 96.551 -129.4247
12.084962 96.532 -131.1016
12.451173 96.497 -132.7346
12.817384 96.496 -134.2736
13.183595 96.500 -135.7252
13.549806 96.503 -137.1433
13.916017 96.502 -138.5687
14.282228 96.492 -139.9886
14.648439 96.473 -141.3612
15.014650 96.452 -142.6656
15.380861 96.435 -143.9241
15.747072 96.422 -145.1734
16.113283 96.413 -146.4230
16.479493 96.409 -147.6465
16.845704 96.403 -148.8109
17.211915 96.399 -149.9110
17.578126 96.398 -150.9696
17.944337 96.398 -152.0084
18.310548 96.395 -153.0244
18.676759 96.388 -153.9955
19.042970 96.379 -154.9073
19.409181 96.370 -155.7713
19.775392 96.362 -156.6138
20.141603 96.353 -157.4486
20.507814 96.340 -158.2662
20.874025 96.322 -159.0476
21.240236 96.303 -159.7874
21.606447 96.285 -160.5007
21.972658 96.267 -161.2121
22.338869 96.249 -161.9308
22.705080 96.228 -162.6484
23.071291 96.205 -163.3499
23.437502 96.182 -164.0308
23.803713 96.162 -164.7008
24.169924 96.143 -165.3729
24.536135 96.126 -166.0502
24.902346 96.107 -166.7263
25.268557 96.088 -167.3904
25.634768 96.068 -168.0364
26.000979 96.049 -168.6649
26.367190 96.030 -169.2742
26.733401 96.010 -169.8619
27.099612 95.990 -170.4248
27.465823 95.971 -170.9654
27.832033 95.953 -171.4910
28.198244 95.935 -172.0073
28.564455 95.916 -172.5165
28.930666 95.895 -173.0149
29.296877 95.873 -173.4983
29.663088 95.849 -173.9658
30.029299 95.825 -174.4190
30.395510 95.802 -174.8603
30.761721 95.779 -175.2938
31.127932 95.756 -175.7245
31.494143 95.735 -176.1586
31.860354 95.714 -176.6001
32.226565 95.691 -177.0474
32.592776 95.667 -177.4925
32.958987 95.643 -177.9268
33.325198 95.618 -178.3467
33.691409 95.595 -178.7573
34.057620 95.573 -179.1661
34.423831 95.550 -179.5760
34.790042 95.527 -179.9807
35.156253 95.501 179.6318
35.522464 95.476 179.2712
35.888675 95.453 178.9354
36.254886 95.433 178.6108
36.621097 95.416 178.2782
36.987308 95.400 177.9242
37.353519 95.381 177.5508
37.719730 95.357 177.1749
38.085941 95.328 176.8210
38.452152 95.296 176.5052
38.818363 95.267 176.2255
39.184573 95.242 175.9614
39.550784 95.222 175.6880
39.916995 95.202 175.3909
40.283206 95.182 175.0751
40.649417 95.158 174.7585
41.015628 95.133 174.4575
41.381839 95.108 174.1753
41.748050 95.086 173.9015
42.114261 95.065 173.6229
42.480472 95.045 173.3342
42.846683 95.023 173.0406
43.212894 95.000 172.7516
43.579105 94.977 172.4724
43.945316 94.954 172.2007
44.311527 94.931 171.9321
44.677738 94.907 171.6653
45.043949 94.883 171.4049
45.410160 94.858 171.1574
45.776371 94.833 170.9251
46.142582 94.810 170.7035
46.508793 94.789 170.4835
46.875004 94.770 170.2576
47.241215 94.750 170.0228
47.607426 94.730 169.7817
47.973637 94.709 169.5399
48.339848 94.686 169.3023
48.706059 94.663 169.0720
49.072270 94.639 168.8501
49.438481 94.616 168.6359
49.804692 94.593 168.4285
50.170902 94.570 168.2268
50.537113 94.549 168.0299
50.903324 94.528 167.8358
51.269535 94.508 167.6415
51.635746 94.488 167.4437
52.001957 94.468 167.2413
52.368168 94.447 167.0364
52.734379 94.424 166.8347
53.100590 94.400 166.6422
53.466801 94.376 166.4623
53.833012 94.352 166.2928
54.199223 94.330 166.1271
54.565434 94.309 165.9583
54.931645 94.288 165.7833
55.297856 94.266 165.6052
55.664067 94.243 165.4301
56.030278 94.220 165.2623
56.396489 94.199 165.1001
56.762700 94.178 164.9365
57.128911 94.158 164.7644
57.495122 94.137 164.5839
57.861333 94.114 164.4034
58.227544 94.089 164.2361
58.593755 94.063 164.0903
58.959966 94.040 163.9627
59.326177 94.021 163.8392
59.692388 94.004 163.7046
60.058599 93.987 163.5524
60.424810 93.967 163.3901
60.791021 93.946 163.2328
61.157232 93.923 163.0927
61.523442 93.901 162.9697
61.889653 93.882 162.8531
62.255864 93.864 162.7292
62.622075 93.847 162.5919
62.988286 93.828 162.4456
63.354497 93.807 162.3007
63.720708 93.785 162.1650
64.086919 93.762 162.0392
64.453130 93.741 161.9176
64.819341 93.720 161.7936
65.185552 93.699 161.6653
65.551763 93.677 161.5358
65.917974 93.654 161.4105
66.284185 93.631 161.2932
66.650396 93.607 161.1839
67.016607 93.585 161.0801
67.382818 93.563 160.9789
67.749029 93.542 160.8780
68.115240 93.521 160.7765
68.481451 93.501 160.6738
68.847662 93.481 160.5695
69.213873 93.460 160.4633
69.580084 93.439 160.3565
69.946295 93.418 160.2507
70.312506 93.397 160.1481
70.678717 93.375 160.0497
71.044928 93.354 159.9553
71.411139 93.333 159.8632
71.777350 93.313 159.7711
72.143561 93.294 159.6772
72.509771 93.274 159.5809
72.875982 93.254 159.4827
73.242193 93.234 159.3840
73.608404 93.214 159.2866
73.974615 93.193 159.1922
74.340826 93.172 159.1022
74.707037 93.151 159.0170
75.073248 93.130 158.9365
75.439459 93.110 158.8602
75.805670 93.090 158.7866
76.171881 93.071 158.7144
76.538092 93.052 158.6422
76.904303 93.034 158.5685
77.270514 93.016 158.4919
77.636725 92.998 158.4115
78.002936 92.980 158.3274
78.369147 92.961 158.2412
78.735358 92.941 158.1553
79.101569 92.920 158.0723
79.467780 92.899 157.9936
79.833991 92.879 157.9193
80.200202 92.858 157.8483
80.566413 92.838 157.7794
80.932624 92.818 157.7117
81.298835 92.798 157.6446
81.665046 92.778 157.5781
82.031257 92.759 157.5122
82.397468 92.739 157.4476
82.763679 92.719 157.3850
83.129890 92.700 157.3251
83.496101 92.681 157.2685
83.862311 92.662 157.2147
84.228522 92.644 157.1622
84.594733 92.627 157.1088
84.960944 92.610 157.0521
85.327155 92.594 156.9909
85.693366 92.576 156.9268
86.059577 92.558 156.8627
86.425788 92.539 156.8026
86.791999 92.520 156.7487
87.158210 92.501 156.7006
87.524421 92.482 156.6555
87.890632 92.465 156.6102
88.256843 92.447 156.5634
88.623054 92.429 156.5162
88.989265 92.410 156.4718
89.355476 92.392 156.4322
89.721687 92.374 156.3965
90.087898 92.357 156.3617
90.454109 92.341 156.3237
90.820320 92.325 156.2808
91.186531 92.309 156.2339
91.552742 92.292 156.1862
91.918953 92.275 156.1400
92.285164 92.258 156.0959
92.651375 92.242 156.0524
93.017586 92.225 156.0074
93.383797 92.208 155.9603
93.750008 92.191 155.9124
94.116219 92.173 155.8657
94.482430 92.155 155.8224
94.848641 92.137 155.7828
95.214851 92.119 155.7464
95.581062 92.102 155.7115
95.947273 92.084 155.6774
96.313484 92.067 155.6434
96.679695 92.050 155.6100
97.045906 92.033 155.5770
97.412117 92.016 155.5448
97.778328 91.999 155.5135
98.144539 91.982 155.4833
98.510750 91.966 155.4543
98.876961 91.949 155.4259
99.243172 91.933 155.3975
99.609383 91.918 155.3682
99.975594 91.902 155.3380
100.341805 91.886 155.3072
100.708016 91.870 155.2769
101.074227 91.855 155.2473
101.440438 91.839 155.2182
101.806649 91.823 155.1888
102.172860 91.808 155.1590
102.539071 91.792 155.1293
102.905282 91.776 155.1009
103.271493 91.760 155.0747
103.637704 91.745 155.0508
104.003915 91.729 155.0281
104.370126 91.714 155.0055
104.736337 91.698 154.9819
105.102548 91.683 154.9577
105.468759 91.667 154.9343
105.834970 91.650 154.9127
106.201180 91.634 154.8937
106.567391 91.618 154.8770
106.933602 91.602 154.8621
107.299813 91.586 154.8484
107.666024 91.570 154.8356
108.032235 91.555 154.8234
108.398446 91.540 154.8110
108.764657 91.525 154.7977
109.130868 91.510 154.7829
109.497079 91.495 154.7667
109.863290 91.480 154.7496
110.229501 91.466 154.7322
110.595712 91.451 154.7152
110.961923 91.436 154.6984
111.328134 91.422 154.6821
111.694345 91.407 154.6664
112.060556 91.392 154.6518
112.426767 91.378 154.6389
112.792978 91.363 154.6279
113.159189 91.349 154.6187
113.525400 91.335 154.6107
113.891611 91.321 154.6036
114.257822 91.307 154.5971
114.624033 91.293 154.5911
114.990244 91.279 154.5854
115.356455 91.266 154.5796
115.722666 91.252 154.5728
116.088877 91.239 154.5648
116.455088 91.225 154.5560
116.821299 91.210 154.5474
117.187510 91.195 154.5398
117.553720 91.181 154.5340
117.919931 91.166 154.5301
118.286142 91.151 154.5275
118.652353 91.136 154.5255
119.018564 91.122 154.5232
119.384775 91.108 154.5203
119.750986 91.094 154.5165
120.117197 91.080 154.5122
120.483408 91.066 154.5074
120.849619 91.052 154.5025
121.215830 91.039 154.4974
121.582041 91.026 154.4921
121.948252 91.013 154.4860
122.314463 91.000 154.4790
122.680674 90.987 154.4716
123.046885 90.974 154.4644
123.413096 90.961 154.4583
123.779307 90.948 154.4540
124.145518 90.935 154.4517
124.511729 90.923 154.4507
124.877940 90.911 154.4501
125.244151 90.899 154.4493
125.610362 90.887 154.4481
125.976573 90.876 154.4471
126.342784 90.864 154.4467
126.708995 90.852 154.4473
127.075206 90.841 154.4489
127.441417 90.829 154.4510
127.807628 90.817 154.4534
128.173839 90.806 154.4559
128.540049 90.794 154.4586
128.906260 90.782 154.4619
129.272471 90.771 154.4659
129.638682 90.759 154.4707
130.004893 90.748 154.4765
130.371104 90.736 154.4831
130.737315 90.725 154.4904
131.103526 90.714 154.4981
131.469737 90.703 154.5060
131.835948 90.693 154.5137
132.202159 90.683 154.5209
132.568370 90.672 154.5275
132.934581 90.662 154.5337
133.300792 90.652 154.5396
133.667003 90.642 154.5455
134.033214 90.631 154.5518
134.399425 90.621 154.5588
134.765636 90.610 154.5673
135.131847 90.599 154.5771
135.498058 90.589 154.5883
135.864269 90.578 154.6000
136.230480 90.568 154.6110
136.596691 90.558 154.6205
136.962902 90.548 154.6284
137.329113 90.537 154.6352
137.695324 90.526 154.6422
138.061535 90.515 154.6505
138.427746 90.504 154.6603
138.793957 90.493 154.6715
139.160168 90.482 154.6831
139.526379 90.471 154.6943
139.892589 90.460 154.7048
140.258800 90.450 154.7145
140.625011 90.439 154.7234
140.991222 90.429 154.7318
141.357433 90.419 154.7399
141.723644 90.408 154.7475
142.089855 90.398 154.7551
142.456066 90.388 154.7631
142.822277 90.378 154.7717
143.188488 90.368 154.7812
143.554699 90.358 154.7915
143.920910 90.348 154.8024
144.287121 90.339 154.8139
144.653332 90.329 154.8259
145.019543 90.320 154.8384
145.385754 90.311 154.8517
145.751965 90.301 154.8659
146.118176 90.292 154.8808
146.484387 90.283 154.8962
146.850598 90.274 154.9121
147.216809 90.265 154.9285
147.583020 90.256 154.9453
147.949231 90.247 154.9626
148.315442 90.237 154.9802
148.681653 90.228 154.9979
149.047864 90.219 155.0154
149.414075 90.210 155.0326
149.780286 90.201 155.0491
150.146497 90.192 155.0648
150.512708 90.183 155.0799
