* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:03:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HBB Kai Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 91.773 -31.3436
0.732422 90.020 -63.3210
1.098633 86.540 -97.5545
1.464844 79.485 -143.6238
1.831055 76.031 81.9013
2.197266 84.148 24.3132
2.563477 87.651 -7.8483
2.929688 89.127 -33.6963
3.295899 89.341 -54.0127
3.662110 88.736 -66.6520
4.028321 88.150 -69.0798
4.394532 88.822 -65.5218
4.760743 90.550 -66.0288
5.126954 92.175 -72.1618
5.493164 93.214 -80.3838
5.859375 93.701 -87.6842
6.225586 93.890 -92.3722
6.591797 94.123 -94.4675
6.958008 94.596 -95.7015
7.324219 95.208 -97.8425
7.690430 95.737 -101.1661
8.056641 96.069 -104.8466
8.422852 96.232 -107.9835
8.789063 96.340 -110.2458
9.155274 96.490 -111.9874
9.521485 96.688 -113.8097
9.887696 96.877 -115.9940
10.253907 96.938 -118.3804
10.620118 96.910 -120.6584
10.986329 96.861 -122.6763
11.352540 96.822 -124.5175
11.718751 96.797 -126.3429
12.084962 96.771 -128.2069
12.451173 96.734 -130.0347
12.817384 96.737 -131.7408
13.183595 96.756 -133.3303
13.549806 96.782 -134.8790
13.916017 96.807 -136.4329
14.282228 96.818 -137.9530
14.648439 96.816 -139.3614
15.014650 96.813 -140.6301
15.380861 96.816 -141.8132
15.747072 96.823 -142.9910
16.113283 96.829 -144.1908
16.479493 96.829 -145.3689
16.845704 96.818 -146.4665
17.211915 96.805 -147.4735
17.578126 96.796 -148.4376
17.944337 96.789 -149.4147
18.310548 96.778 -150.4173
18.676759 96.759 -151.4137
19.042970 96.735 -152.3687
19.409181 96.712 -153.2801
19.775392 96.694 -154.1747
20.141603 96.680 -155.0767
20.507814 96.667 -155.9848
20.874025 96.652 -156.8793
21.240236 96.636 -157.7446
21.606447 96.621 -158.5782
21.972658 96.606 -159.3828
22.338869 96.591 -160.1541
22.705080 96.577 -160.8849
23.071291 96.566 -161.5784
23.437502 96.558 -162.2532
23.803713 96.553 -162.9304
24.169924 96.544 -163.6145
24.536135 96.532 -164.2904
24.902346 96.514 -164.9399
25.268557 96.496 -165.5601
25.634768 96.477 -166.1636
26.000979 96.457 -166.7621
26.367190 96.433 -167.3514
26.733401 96.408 -167.9164
27.099612 96.382 -168.4501
27.465823 96.361 -168.9670
27.832033 96.344 -169.4944
28.198244 96.327 -170.0495
28.564455 96.308 -170.6246
28.930666 96.285 -171.1942
29.296877 96.259 -171.7361
29.663088 96.235 -172.2470
30.029299 96.213 -172.7400
30.395510 96.194 -173.2298
30.761721 96.176 -173.7207
31.127932 96.156 -174.2065
31.494143 96.136 -174.6785
31.860354 96.114 -175.1324
32.226565 96.093 -175.5685
32.592776 96.072 -175.9892
32.958987 96.052 -176.3979
33.325198 96.033 -176.8006
33.691409 96.015 -177.2040
34.057620 95.996 -177.6122
34.423831 95.975 -178.0222
34.790042 95.952 -178.4261
35.156253 95.928 -178.8173
35.522464 95.903 -179.1952
35.888675 95.880 -179.5657
36.254886 95.857 -179.9350
36.621097 95.835 179.6955
36.987308 95.812 179.3288
37.353519 95.789 178.9684
37.719730 95.767 178.6149
38.085941 95.745 178.2662
38.452152 95.724 177.9203
38.818363 95.703 177.5773
39.184573 95.683 177.2380
39.550784 95.662 176.9030
39.916995 95.642 176.5714
40.283206 95.622 176.2437
40.649417 95.601 175.9218
41.015628 95.579 175.6090
41.381839 95.557 175.3076
41.748050 95.535 175.0178
42.114261 95.513 174.7377
42.480472 95.493 174.4639
42.846683 95.473 174.1921
43.212894 95.454 173.9173
43.579105 95.434 173.6358
43.945316 95.414 173.3481
44.311527 95.392 173.0600
44.677738 95.368 172.7801
45.043949 95.343 172.5149
45.410160 95.319 172.2646
45.776371 95.296 172.0234
46.142582 95.275 171.7840
46.508793 95.255 171.5413
46.875004 95.236 171.2943
47.241215 95.216 171.0443
47.607426 95.196 170.7927
47.973637 95.175 170.5415
48.339848 95.154 170.2938
48.706059 95.131 170.0533
49.072270 95.109 169.8219
49.438481 95.087 169.5982
49.804692 95.066 169.3776
50.170902 95.046 169.1560
50.537113 95.027 168.9324
50.903324 95.006 168.7090
51.269535 94.986 168.4888
51.635746 94.965 168.2728
52.001957 94.945 168.0603
52.368168 94.924 167.8502
52.734379 94.904 167.6429
53.100590 94.884 167.4395
53.466801 94.864 167.2393
53.833012 94.844 167.0409
54.199223 94.824 166.8425
54.565434 94.804 166.6450
54.931645 94.784 166.4515
55.297856 94.763 166.2648
55.664067 94.743 166.0844
56.030278 94.723 165.9070
56.396489 94.703 165.7290
56.762700 94.683 165.5503
57.128911 94.663 165.3742
57.495122 94.641 165.2043
57.861333 94.621 165.0410
58.227544 94.600 164.8806
58.593755 94.581 164.7181
58.959966 94.561 164.5521
59.326177 94.540 164.3855
59.692388 94.518 164.2239
60.058599 94.497 164.0705
60.424810 94.476 163.9233
60.791021 94.457 163.7767
61.157232 94.438 163.6248
61.523442 94.419 163.4662
61.889653 94.400 163.3043
62.255864 94.380 163.1447
62.622075 94.359 162.9913
62.988286 94.338 162.8434
63.354497 94.318 162.6981
63.720708 94.297 162.5524
64.086919 94.276 162.4063
64.453130 94.255 162.2627
64.819341 94.234 162.1243
65.185552 94.213 161.9919
65.551763 94.192 161.8633
65.917974 94.172 161.7354
66.284185 94.152 161.6064
66.650396 94.132 161.4767
67.016607 94.112 161.3481
67.382818 94.091 161.2219
67.749029 94.070 161.0984
68.115240 94.050 160.9771
68.481451 94.029 160.8579
68.847662 94.009 160.7406
69.213873 93.989 160.6247
69.580084 93.969 160.5092
69.946295 93.949 160.3927
70.312506 93.929 160.2750
70.678717 93.909 160.1576
71.044928 93.888 160.0427
71.411139 93.867 159.9320
71.777350 93.847 159.8250
72.143561 93.827 159.7195
72.509771 93.807 159.6129
72.875982 93.788 159.5041
73.242193 93.769 159.3939
73.608404 93.749 159.2843
73.974615 93.729 159.1770
74.340826 93.709 159.0724
74.707037 93.690 158.9698
75.073248 93.671 158.8674
75.439459 93.652 158.7644
75.805670 93.632 158.6608
76.171881 93.613 158.5582
76.538092 93.593 158.4581
76.904303 93.573 158.3618
77.270514 93.553 158.2694
77.636725 93.532 158.1809
78.002936 93.512 158.0963
78.369147 93.493 158.0159
78.735358 93.473 157.9399
79.101569 93.454 157.8671
79.467780 93.436 157.7944
79.833991 93.419 157.7180
80.200202 93.402 157.6353
80.566413 93.385 157.5470
80.932624 93.366 157.4574
81.298835 93.346 157.3719
81.665046 93.326 157.2944
82.031257 93.306 157.2246
82.397468 93.287 157.1587
82.763679 93.270 157.0914
83.129890 93.252 157.0193
83.496101 93.235 156.9424
83.862311 93.217 156.8640
84.228522 93.198 156.7880
84.594733 93.179 156.7162
84.960944 93.161 156.6476
85.327155 93.143 156.5797
85.693366 93.125 156.5104
86.059577 93.107 156.4398
86.425788 93.089 156.3703
86.791999 93.071 156.3041
87.158210 93.053 156.2418
87.524421 93.035 156.1818
87.890632 93.017 156.1212
88.256843 93.000 156.0582
88.623054 92.983 155.9932
88.989265 92.965 155.9280
89.355476 92.947 155.8648
89.721687 92.928 155.8042
90.087898 92.910 155.7454
90.454109 92.892 155.6870
90.820320 92.874 155.6283
91.186531 92.856 155.5699
91.552742 92.838 155.5128
91.918953 92.820 155.4580
92.285164 92.802 155.4057
92.651375 92.784 155.3556
93.017586 92.767 155.3070
93.383797 92.750 155.2590
93.750008 92.734 155.2104
94.116219 92.718 155.1604
94.482430 92.702 155.1085
94.848641 92.686 155.0551
95.214851 92.669 155.0017
95.581062 92.653 154.9498
95.947273 92.636 154.9006
96.313484 92.619 154.8544
96.679695 92.602 154.8106
97.045906 92.586 154.7682
97.412117 92.569 154.7264
97.778328 92.553 154.6846
98.144539 92.537 154.6430
98.510750 92.521 154.6015
98.876961 92.505 154.5601
99.243172 92.489 154.5187
99.609383 92.472 154.4770
99.975594 92.456 154.4348
100.341805 92.440 154.3924
100.708016 92.424 154.3498
101.074227 92.408 154.3076
101.440438 92.391 154.2664
101.806649 92.374 154.2272
102.172860 92.357 154.1907
102.539071 92.341 154.1574
102.905282 92.325 154.1269
103.271493 92.309 154.0978
103.637704 92.294 154.0684
104.003915 92.279 154.0367
104.370126 92.265 154.0024
104.736337 92.250 153.9659
105.102548 92.235 153.9290
105.468759 92.219 153.8934
105.834970 92.204 153.8601
106.201180 92.188 153.8289
106.567391 92.173 153.7987
106.933602 92.157 153.7682
107.299813 92.142 153.7366
107.666024 92.127 153.7040
108.032235 92.112 153.6710
108.398446 92.096 153.6387
108.764657 92.080 153.6076
109.130868 92.064 153.5778
109.497079 92.048 153.5491
109.863290 92.033 153.5215
110.229501 92.017 153.4949
110.595712 92.001 153.4697
110.961923 91.985 153.4465
111.328134 91.969 153.4254
111.694345 91.954 153.4062
112.060556 91.939 153.3883
112.426767 91.924 153.3709
112.792978 91.910 153.3529
113.159189 91.896 153.3333
113.525400 91.882 153.3117
113.891611 91.868 153.2882
114.257822 91.854 153.2638
114.624033 91.840 153.2399
114.990244 91.825 153.2179
115.356455 91.810 153.1985
115.722666 91.795 153.1814
116.088877 91.780 153.1656
116.455088 91.766 153.1502
116.821299 91.751 153.1346
117.187510 91.737 153.1191
117.553720 91.722 153.1043
117.919931 91.707 153.0905
118.286142 91.693 153.0777
118.652353 91.678 153.0652
119.018564 91.664 153.0526
119.384775 91.650 153.0396
119.750986 91.635 153.0263
120.117197 91.621 153.0133
120.483408 91.607 153.0008
120.849619 91.592 152.9889
121.215830 91.578 152.9772
121.582041 91.564 152.9656
121.948252 91.551 152.9541
122.314463 91.537 152.9426
122.680674 91.523 152.9310
123.046885 91.510 152.9191
123.413096 91.497 152.9065
123.779307 91.484 152.8932
124.145518 91.471 152.8796
124.511729 91.458 152.8666
124.877940 91.445 152.8549
125.244151 91.432 152.8451
125.610362 91.420 152.8370
125.976573 91.408 152.8301
126.342784 91.397 152.8235
126.708995 91.385 152.8167
127.075206 91.374 152.8094
127.441417 91.363 152.8013
127.807628 91.352 152.7927
128.173839 91.341 152.7837
128.540049 91.329 152.7744
128.906260 91.318 152.7650
129.272471 91.306 152.7559
129.638682 91.294 152.7473
130.004893 91.282 152.7392
130.371104 91.270 152.7315
130.737315 91.258 152.7241
131.103526 91.246 152.7166
131.469737 91.234 152.7090
131.835948 91.223 152.7019
132.202159 91.211 152.6954
132.568370 91.199 152.6899
132.934581 91.187 152.6855
133.300792 91.175 152.6820
133.667003 91.164 152.6789
134.033214 91.153 152.6756
134.399425 91.142 152.6719
134.765636 91.131 152.6677
135.131847 91.120 152.6636
135.498058 91.109 152.6600
135.864269 91.099 152.6576
136.230480 91.088 152.6567
136.596691 91.077 152.6571
136.962902 91.067 152.6586
137.329113 91.056 152.6606
137.695324 91.046 152.6629
138.061535 91.036 152.6650
138.427746 91.026 152.6667
138.793957 91.016 152.6678
139.160168 91.006 152.6685
139.526379 90.996 152.6689
139.892589 90.986 152.6694
140.258800 90.975 152.6707
140.625011 90.965 152.6732
140.991222 90.954 152.6767
141.357433 90.944 152.6812
141.723644 90.933 152.6860
142.089855 90.923 152.6908
142.456066 90.912 152.6953
142.822277 90.902 152.6996
143.188488 90.891 152.7038
143.554699 90.881 152.7081
143.920910 90.870 152.7126
144.287121 90.859 152.7175
144.653332 90.849 152.7228
145.019543 90.838 152.7286
145.385754 90.827 152.7349
145.751965 90.816 152.7416
146.118176 90.805 152.7487
146.484387 90.795 152.7562
146.850598 90.784 152.7637
147.216809 90.774 152.7711
147.583020 90.764 152.7781
147.949231 90.754 152.7848
148.315442 90.744 152.7910
148.681653 90.734 152.7968
149.047864 90.724 152.8024
149.414075 90.714 152.8079
149.780286 90.704 152.8133
150.146497 90.695 152.8187
