* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:21:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Starsea s.01 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.178 161.1553
0.732422 57.309 141.7472
1.098633 53.759 120.0856
1.464844 47.496 87.2963
1.831055 42.656 0.3787
2.197266 47.868 -50.3076
2.563477 50.565 -63.2542
2.929688 52.057 -63.6294
3.295899 53.703 -59.1197
3.662110 55.644 -56.4753
4.028321 57.378 -57.3718
4.394532 58.651 -60.1176
4.760743 59.508 -62.8948
5.126954 60.132 -64.7664
5.493164 60.714 -65.8219
5.859375 61.347 -66.8179
6.225586 62.000 -68.4036
6.591797 62.600 -70.6450
6.958008 63.110 -73.1792
7.324219 63.547 -75.6093
7.690430 63.962 -77.7696
8.056641 64.390 -79.7514
8.422852 64.838 -81.7376
8.789063 65.287 -83.8192
9.155274 65.716 -85.9446
9.521485 66.116 -87.9974
9.887696 66.493 -89.8968
10.253907 66.783 -91.6387
10.620118 67.033 -93.2680
10.986329 67.271 -94.8277
11.352540 67.493 -96.3311
11.718751 67.696 -97.7711
12.084962 67.880 -99.1427
12.451173 68.050 -100.4548
12.817384 68.252 -101.7253
13.183595 68.448 -102.9704
13.549806 68.629 -104.1995
13.916017 68.796 -105.4189
14.282228 68.950 -106.6344
14.648439 69.093 -107.8507
15.014650 69.227 -109.0684
15.380861 69.352 -110.2831
15.747072 69.470 -111.4901
16.113283 69.589 -112.6879
16.479493 69.713 -113.8788
16.845704 69.834 -115.0638
17.211915 69.951 -116.2384
17.578126 70.062 -117.3924
17.944337 70.169 -118.5151
18.310548 70.273 -119.6005
18.676759 70.374 -120.6491
19.042970 70.471 -121.6659
19.409181 70.565 -122.6554
19.775392 70.655 -123.6194
20.141603 70.740 -124.5574
20.507814 70.821 -125.4686
20.874025 70.897 -126.3538
21.240236 70.968 -127.2160
21.606447 71.033 -128.0596
21.972658 71.094 -128.8894
22.338869 71.151 -129.7086
22.705080 71.202 -130.5184
23.071291 71.250 -131.3183
23.437502 71.294 -132.1074
23.803713 71.336 -132.8868
24.169924 71.375 -133.6589
24.536135 71.414 -134.4267
24.902346 71.450 -135.1917
25.268557 71.486 -135.9518
25.634768 71.519 -136.7029
26.000979 71.551 -137.4408
26.367190 71.582 -138.1633
26.733401 71.611 -138.8707
27.099612 71.640 -139.5638
27.465823 71.668 -140.2430
27.832033 71.694 -140.9071
28.198244 71.718 -141.5543
28.564455 71.740 -142.1838
28.930666 71.762 -142.7967
29.296877 71.781 -143.3956
29.663088 71.800 -143.9835
30.029299 71.817 -144.5631
30.395510 71.832 -145.1355
30.761721 71.845 -145.7012
31.127932 71.856 -146.2601
31.494143 71.866 -146.8117
31.860354 71.873 -147.3554
32.226565 71.880 -147.8909
32.592776 71.885 -148.4186
32.958987 71.890 -148.9394
33.325198 71.895 -149.4547
33.691409 71.899 -149.9657
34.057620 71.903 -150.4725
34.423831 71.906 -150.9740
34.790042 71.909 -151.4675
35.156253 71.910 -151.9507
35.522464 71.912 -152.4225
35.888675 71.913 -152.8836
36.254886 71.914 -153.3363
36.621097 71.915 -153.7826
36.987308 71.916 -154.2231
37.353519 71.915 -154.6568
37.719730 71.914 -155.0820
38.085941 71.912 -155.4981
38.452152 71.909 -155.9061
38.818363 71.906 -156.3082
39.184573 71.903 -156.7059
39.550784 71.899 -157.0998
39.916995 71.894 -157.4886
40.283206 71.889 -157.8710
40.649417 71.884 -158.2467
41.015628 71.879 -158.6171
41.381839 71.874 -158.9839
41.748050 71.868 -159.3482
42.114261 71.862 -159.7093
42.480472 71.856 -160.0650
42.846683 71.849 -160.4134
43.212894 71.841 -160.7539
43.579105 71.835 -161.0878
43.945316 71.828 -161.4172
44.311527 71.821 -161.7436
44.677738 71.814 -162.0669
45.043949 71.807 -162.3855
45.410160 71.799 -162.6979
45.776371 71.791 -163.0041
46.142582 71.783 -163.3057
46.508793 71.775 -163.6049
46.875004 71.767 -163.9027
47.241215 71.758 -164.1977
47.607426 71.748 -164.4869
47.973637 71.737 -164.7677
48.339848 71.727 -165.0398
48.706059 71.717 -165.3054
49.072270 71.708 -165.5681
49.438481 71.700 -165.8310
49.804692 71.691 -166.0949
50.170902 71.682 -166.3584
50.537113 71.672 -166.6186
50.903324 71.662 -166.8732
51.269535 71.652 -167.1215
51.635746 71.642 -167.3641
52.001957 71.632 -167.6026
52.368168 71.622 -167.8382
52.734379 71.612 -168.0716
53.100590 71.602 -168.3026
53.466801 71.592 -168.5309
53.833012 71.581 -168.7562
54.199223 71.571 -168.9790
54.565434 71.560 -169.1997
54.931645 71.550 -169.4188
55.297856 71.539 -169.6360
55.664067 71.528 -169.8505
56.030278 71.516 -170.0615
56.396489 71.505 -170.2684
56.762700 71.494 -170.4714
57.128911 71.483 -170.6715
57.495122 71.472 -170.8692
57.861333 71.461 -171.0650
58.227544 71.450 -171.2583
58.593755 71.439 -171.4488
58.959966 71.428 -171.6362
59.326177 71.418 -171.8206
59.692388 71.407 -172.0022
60.058599 71.396 -172.1812
60.424810 71.385 -172.3573
60.791021 71.374 -172.5302
61.157232 71.363 -172.7000
61.523442 71.352 -172.8672
61.889653 71.341 -173.0318
62.255864 71.330 -173.1943
62.622075 71.319 -173.3544
62.988286 71.307 -173.5127
63.354497 71.296 -173.6699
63.720708 71.284 -173.8270
64.086919 71.272 -173.9839
64.453130 71.260 -174.1397
64.819341 71.247 -174.2927
65.185552 71.234 -174.4415
65.551763 71.222 -174.5865
65.917974 71.210 -174.7294
66.284185 71.198 -174.8725
66.650396 71.187 -175.0167
67.016607 71.175 -175.1608
67.382818 71.163 -175.3024
67.749029 71.151 -175.4397
68.115240 71.139 -175.5724
68.481451 71.127 -175.7026
68.847662 71.116 -175.8325
69.213873 71.105 -175.9634
69.580084 71.093 -176.0947
69.946295 71.081 -176.2245
70.312506 71.069 -176.3512
70.678717 71.057 -176.4740
71.044928 71.045 -176.5932
71.411139 71.033 -176.7097
71.777350 71.021 -176.8243
72.143561 71.009 -176.9376
72.509771 70.998 -177.0504
72.875982 70.987 -177.1630
73.242193 70.976 -177.2760
73.608404 70.964 -177.3891
73.974615 70.953 -177.5011
74.340826 70.941 -177.6113
74.707037 70.929 -177.7193
75.073248 70.918 -177.8256
75.439459 70.907 -177.9313
75.805670 70.895 -178.0367
76.171881 70.884 -178.1413
76.538092 70.872 -178.2439
76.904303 70.861 -178.3430
77.270514 70.849 -178.4386
77.636725 70.838 -178.5318
78.002936 70.827 -178.6244
78.369147 70.817 -178.7179
78.735358 70.806 -178.8125
79.101569 70.795 -178.9073
79.467780 70.785 -179.0010
79.833991 70.774 -179.0926
80.200202 70.763 -179.1818
80.566413 70.752 -179.2691
80.932624 70.741 -179.3551
81.298835 70.731 -179.4398
81.665046 70.720 -179.5232
82.031257 70.710 -179.6054
82.397468 70.700 -179.6869
82.763679 70.690 -179.7684
83.129890 70.680 -179.8503
83.496101 70.669 -179.9324
83.862311 70.659 179.9866
84.228522 70.648 179.9082
84.594733 70.637 179.8334
84.960944 70.626 179.7618
85.327155 70.616 179.6924
85.693366 70.606 179.6232
86.059577 70.596 179.5534
86.425788 70.587 179.4828
86.791999 70.577 179.4119
87.158210 70.567 179.3417
87.524421 70.557 179.2725
87.890632 70.547 179.2039
88.256843 70.538 179.1357
88.623054 70.528 179.0674
88.989265 70.518 178.9994
89.355476 70.509 178.9323
89.721687 70.499 178.8666
90.087898 70.489 178.8027
90.454109 70.479 178.7405
90.820320 70.470 178.6795
91.186531 70.460 178.6189
91.552742 70.451 178.5583
91.918953 70.442 178.4976
92.285164 70.433 178.4373
92.651375 70.424 178.3777
93.017586 70.414 178.3192
93.383797 70.405 178.2618
93.750008 70.396 178.2050
94.116219 70.387 178.1483
94.482430 70.378 178.0917
94.848641 70.369 178.0354
95.214851 70.360 177.9800
95.581062 70.351 177.9258
95.947273 70.341 177.8732
96.313484 70.332 177.8216
96.679695 70.323 177.7708
97.045906 70.314 177.7206
97.412117 70.305 177.6711
97.778328 70.296 177.6225
98.144539 70.287 177.5749
98.510750 70.279 177.5281
98.876961 70.270 177.4816
99.243172 70.262 177.4350
99.609383 70.253 177.3882
99.975594 70.245 177.3412
100.341805 70.237 177.2946
100.708016 70.228 177.2482
101.074227 70.220 177.2025
101.440438 70.211 177.1574
101.806649 70.203 177.1132
102.172860 70.194 177.0700
102.539071 70.186 177.0278
102.905282 70.178 176.9860
103.271493 70.170 176.9444
103.637704 70.162 176.9027
104.003915 70.153 176.8611
104.370126 70.145 176.8201
104.736337 70.137 176.7801
105.102548 70.129 176.7413
105.468759 70.120 176.7034
105.834970 70.112 176.6661
106.201180 70.104 176.6293
106.567391 70.096 176.5934
106.933602 70.088 176.5588
107.299813 70.080 176.5253
107.666024 70.073 176.4923
108.032235 70.065 176.4592
108.398446 70.058 176.4252
108.764657 70.050 176.3904
109.130868 70.043 176.3555
109.497079 70.035 176.3208
109.863290 70.028 176.2866
110.229501 70.020 176.2527
110.595712 70.012 176.2188
110.961923 70.005 176.1846
111.328134 69.997 176.1508
111.694345 69.989 176.1181
112.060556 69.981 176.0871
112.426767 69.973 176.0576
112.792978 69.966 176.0292
113.159189 69.958 176.0013
113.525400 69.951 175.9733
113.891611 69.944 175.9454
114.257822 69.937 175.9178
114.624033 69.930 175.8906
114.990244 69.922 175.8638
115.356455 69.916 175.8370
115.722666 69.909 175.8101
116.088877 69.902 175.7830
116.455088 69.895 175.7557
116.821299 69.888 175.7286
117.187510 69.881 175.7021
117.553720 69.874 175.6763
117.919931 69.867 175.6514
118.286142 69.860 175.6273
118.652353 69.853 175.6039
119.018564 69.846 175.5808
119.384775 69.840 175.5574
119.750986 69.833 175.5335
120.117197 69.827 175.5091
120.483408 69.820 175.4847
120.849619 69.814 175.4608
121.215830 69.807 175.4379
121.582041 69.800 175.4158
121.948252 69.794 175.3942
122.314463 69.788 175.3723
122.680674 69.781 175.3498
123.046885 69.775 175.3267
123.413096 69.769 175.3034
123.779307 69.763 175.2805
124.145518 69.756 175.2586
124.511729 69.750 175.2380
124.877940 69.744 175.2186
125.244151 69.738 175.2003
125.610362 69.732 175.1829
125.976573 69.727 175.1662
126.342784 69.721 175.1501
126.708995 69.716 175.1343
127.075206 69.712 175.1187
127.441417 69.707 175.1030
127.807628 69.702 175.0872
128.173839 69.698 175.0708
128.540049 69.693 175.0540
128.906260 69.688 175.0368
129.272471 69.684 175.0198
129.638682 69.679 175.0032
130.004893 69.674 174.9875
130.371104 69.669 174.9726
130.737315 69.665 174.9583
131.103526 69.661 174.9442
131.469737 69.656 174.9297
131.835948 69.652 174.9145
132.202159 69.648 174.8983
132.568370 69.644 174.8815
132.934581 69.640 174.8643
133.300792 69.636 174.8472
133.667003 69.631 174.8307
134.033214 69.627 174.8153
134.399425 69.622 174.8008
134.765636 69.618 174.7872
135.131847 69.614 174.7742
135.498058 69.609 174.7614
135.864269 69.605 174.7487
136.230480 69.601 174.7360
136.596691 69.597 174.7232
136.962902 69.593 174.7105
137.329113 69.588 174.6978
137.695324 69.584 174.6851
138.061535 69.580 174.6726
138.427746 69.576 174.6605
138.793957 69.571 174.6487
139.160168 69.567 174.6374
139.526379 69.563 174.6265
139.892589 69.559 174.6157
140.258800 69.554 174.6050
140.625011 69.550 174.5942
140.991222 69.546 174.5832
141.357433 69.542 174.5719
141.723644 69.538 174.5605
142.089855 69.534 174.5491
142.456066 69.530 174.5379
142.822277 69.526 174.5271
143.188488 69.522 174.5167
143.554699 69.518 174.5069
143.920910 69.514 174.4976
144.287121 69.510 174.4887
144.653332 69.506 174.4803
145.019543 69.502 174.4722
145.385754 69.498 174.4643
145.751965 69.495 174.4566
146.118176 69.491 174.4490
146.484387 69.488 174.4413
146.850598 69.484 174.4337
